Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Cantharellus_cinnabarinus,34,3.2455,4.1788,500,0.9935,5,4.0972,0.9954,0.0019,10033,15.2790,4.8909,3.4797,2.6298,2.8554,8.3805,18.9965,0.4354,8.9733,4.3465,1.2638,1.8262,3.4413,0.3292,12.7464,2.0901,0.0000,0.1640,0.0722,1.4628,0.0000,1.8956,0.1072,1.6433,0.0000,0.3110,0.5307,0.1872,1.3768,0.2851,0.0000,5.9795,0.0178,1.0000,0.0024,0.4659,0.0000,0.0000,2.194E-2,5.0000,0.0119,0.1804,0.0000,0.0000,1.911E-4,10.0000,0.0342,0.0821,0.0000,0.0000,3.737E-6,14.2991,0.0676,0.0481,0.0000,0.0000,2.586E-7,25.6575,0.2384,0.0177,0.0882,0.0000,1.758E-9,15.2493,0.0781,0.0434,0.0294,0.0000,1.532E-7,14.2991,0.0676,0.0481,0.0000,0.0000,2.586E-7,31.8058,0.3365,0.0116,0.1765,0.0000,2.066E-10,31.8058,0.3365,0.0116,0.1765,0.0000,2.066E-10,6.1925,0.0155,0.1464,0.0000,0.0000,6.729E-5,16.2027,0.0895,0.0394,0.0588,0.0000,9.459E-8
Cantharellus_cinnabarinus,35,3.4223,4.3101,500,0.9949,4,2.3434,0.8255,0.1489,10034,14.3842,4.0302,3.8587,0.4262,2.6646,9.3096,22.2686,0.1388,6.5973,2.2563,1.5212,0.0720,4.6709,0.0541,19.0890,1.3225,0.2020,0.1669,0.0945,1.2438,0.0000,1.4887,0.5700,1.3168,0.0000,0.2287,0.3563,0.0000,1.2436,0.4037,0.0208,5.8191,0.0151,1.0000,0.0019,0.3945,0.0000,0.2500,1.729E-1,5.0000,0.0125,0.1259,0.0000,0.2500,7.224E-3,10.0000,0.0431,0.0545,0.0000,0.2500,6.215E-4,12.5582,0.0693,0.0400,0.0000,0.2500,2.477E-4,23.9910,0.2447,0.0157,0.0857,0.2500,1.543E-5,15.9176,0.1170,0.0286,0.0286,0.2500,9.159E-5,12.5582,0.0693,0.0400,0.0000,0.2500,2.477E-4,2.2897,0.0045,0.2500,0.0000,0.2500,5.081E-2,48.9607,0.6630,0.0041,0.2571,0.2500,2.721E-7,5.1784,0.0132,0.1213,0.0000,0.2500,6.488E-3,14.2385,0.0931,0.0335,0.0286,0.2500,1.464E-4
Cantharellus_cinnabarinus,35,3.4208,4.3469,500,0.9946,4,1.3352,0.9533,0.0246,10035,11.3808,5.3647,1.9730,4.1793,3.4199,9.7151,15.9716,0.3257,16.2132,0.7733,3.1934,2.2494,3.0143,0.2110,11.5882,0.8104,0.0447,0.2083,0.7901,1.3929,0.0000,1.0975,0.0189,1.8101,0.0225,0.4015,0.3131,0.0130,3.2772,0.2268,0.0000,5.8285,0.0152,1.0000,0.0020,0.4253,0.0000,0.0000,3.272E-2,5.0000,0.0114,0.1553,0.0000,0.0000,5.81E-4,10.0000,0.0334,0.0690,0.0000,0.2500,1.244E-3,10.1818,0.0344,0.0673,0.0000,0.2500,1.156E-3,28.1394,0.2687,0.0124,0.0857,0.5000,9.011E-4,17.6359,0.1113,0.0286,0.0286,0.5000,4.723E-3,19.8795,0.1497,0.0234,0.0286,0.5000,3.189E-3,6.0019,0.0146,0.1292,0.0000,0.2500,7.799E-3,6.0018,0.0146,0.1292,0.0000,0.0000,2.791E-4,5.6562,0.0134,0.1375,0.0000,0.0000,3.576E-4,15.9338,0.0882,0.0338,0.0286,0.5000,6.543E-3
Cantharellus_cinnabarinus,35,3.5460,4.4650,500,0.9957,4,0.3227,0.8876,0.0705,10034,12.0820,2.2993,8.2646,3.7664,2.2937,9.5391,21.1517,1.5502,10.1730,0.0722,3.1869,0.6048,2.9982,0.0133,11.9747,0.9961,0.1808,0.3235,0.0037,1.3764,0.0000,2.1217,0.1448,1.9518,0.0054,0.6222,0.0821,0.2271,1.5692,0.4250,0.0000,5.6969,0.0132,1.0000,0.0017,0.4249,0.0000,0.0000,3.258E-2,5.0000,0.0095,0.1390,0.0000,0.2500,9.628E-3,10.0000,0.0316,0.0539,0.0000,0.2500,6.016E-4,13.6972,0.0707,0.0318,0.0000,0.7500,1.212E-1,22.6055,0.2378,0.0147,0.0857,0.7500,5.771E-2,14.6431,0.0868,0.0286,0.0286,0.7500,1.096E-1,13.6972,0.0707,0.0318,0.0000,0.7500,1.212E-1,2.6270,0.0043,0.2500,0.0000,0.2500,5.081E-2,10.4699,0.0358,0.0498,0.0000,0.2500,4.764E-4,5.7046,0.0117,0.1195,0.0000,0.2500,6.213E-3,14.3346,0.0801,0.0296,0.0286,0.7500,1.132E-1
Cantharellus_cinnabarinus,35,3.2832,4.2446,500,0.9942,4,0.8753,0.9004,0.0509,10034,24.4569,6.0131,1.1814,0.6920,3.2269,8.5095,19.1438,0.1833,12.5608,0.7390,0.7583,3.0499,6.3067,0.0616,0.0948,0.3240,0.2455,0.1817,0.4860,0.9098,0.0044,4.7308,0.3627,1.1371,0.0000,0.5452,0.9602,1.0230,1.5681,0.5433,0.0000,5.9608,0.0173,1.0000,0.0022,0.4698,0.0000,0.0000,4.871E-2,5.0000,0.0116,0.1700,0.0000,0.2500,1.715E-2,10.0000,0.0353,0.0740,0.0000,0.2500,1.534E-3,14.2162,0.0732,0.0432,0.0000,0.7500,1.618E-1,23.0477,0.2143,0.0194,0.0857,0.7500,7.55E-2,17.6524,0.1226,0.0304,0.0286,0.7500,1.162E-1,14.2162,0.0732,0.0432,0.0000,0.7500,1.618E-1,3.1814,0.0065,0.2500,0.0000,0.2500,5.081E-2,2.8612,0.0058,0.2701,0.0000,0.0000,5.321E-3,6.0733,0.0152,0.1393,0.0000,0.2500,9.688E-3,15.2471,0.0846,0.0386,0.0286,0.7500,1.456E-1
Cantharellus_cinnabarinus,35,3.4224,4.3017,500,0.9927,4,1.2104,0.7830,0.1806,10034,13.1998,3.5786,3.6786,4.8131,1.6957,8.7358,19.7595,0.1244,12.8930,2.8004,0.8791,0.5014,4.6897,0.0281,4.7169,0.7437,0.0000,0.8421,0.6908,1.0554,0.0000,0.0000,9.3535,1.8998,0.0825,0.8884,0.3994,0.0066,1.6206,0.3229,0.0000,5.8050,0.0149,1.0000,0.0020,0.3944,0.0000,0.2500,1.728E-1,5.0000,0.0121,0.1269,0.0000,0.2500,7.391E-3,10.0000,0.0438,0.0543,0.0286,0.2500,6.148E-4,5.2734,0.0129,0.1197,0.0000,0.2500,6.243E-3,28.3140,0.3365,0.0117,0.0857,0.5000,8.032E-4,13.8116,0.0812,0.0350,0.0286,0.2500,1.667E-4,13.8116,0.0812,0.0350,0.0286,0.2500,1.667E-4,2.3031,0.0044,0.2500,0.0000,0.2500,5.081E-2,19.4739,0.1646,0.0210,0.0571,0.2500,3.661E-5,5.2734,0.0129,0.1197,0.0000,0.2500,6.243E-3,14.3725,0.0880,0.0330,0.0571,0.2500,1.4E-4
Cantharellus_cinnabarinus,36,3.4948,4.4329,500,0.9955,3,0.2708,0.9023,0.0536,10035,10.4398,5.4814,2.6870,5.4472,2.8864,8.1461,16.9132,0.8669,11.5794,1.2179,0.7154,0.6470,3.5710,0.0988,19.2924,0.5475,0.0080,0.4259,0.7073,0.7947,0.0000,2.4060,0.0393,1.6138,0.0000,0.9592,0.2402,0.1076,1.7157,0.4119,0.0331,5.7375,0.0137,1.0000,0.0019,0.4091,0.0000,0.0000,6.845E-2,5.0000,0.0108,0.1340,0.0000,0.3333,4.908E-2,10.0000,0.0359,0.0568,0.0000,0.3333,9.313E-3,14.7347,0.0839,0.0312,0.0000,0.6667,9.068E-2,32.4916,0.4050,0.0079,0.0833,1.0000,1E0,15.3837,0.0920,0.0292,0.0278,0.6667,8.506E-2,14.7347,0.0839,0.0312,0.0000,0.6667,9.068E-2,2.8048,0.0049,0.2268,0.0000,0.3333,1.31E-1,2.8044,0.0049,0.2268,0.0000,0.0000,1.167E-2,5.4232,0.0122,0.1229,0.0000,0.3333,4.158E-2,14.8548,0.0856,0.0309,0.0278,0.6667,8.984E-2
Cantharellus_cinnabarinus,35,3.3603,4.3045,500,0.9941,4,3.0171,0.9691,0.0237,10034,6.3254,8.0832,5.7870,3.5678,2.8565,10.1356,23.9554,0.1602,10.2938,4.0711,0.2730,2.9103,4.0419,0.0630,7.7201,0.3975,0.0000,0.1387,0.9993,1.3053,0.0000,1.7367,0.4993,1.8086,0.0000,0.2735,0.1282,0.1499,1.8553,0.4483,0.0153,5.8808,0.0160,1.0000,0.0020,0.4616,0.0000,0.0000,4.541E-2,5.0000,0.0108,0.1658,0.0000,0.0000,7.563E-4,10.0000,0.0334,0.0723,0.0000,0.2500,1.427E-3,10.9963,0.0408,0.0631,0.0000,0.2500,9.568E-4,27.4747,0.2561,0.0139,0.0857,0.2500,1.052E-5,14.1798,0.0696,0.0429,0.0571,0.2500,3.047E-4,10.9963,0.0408,0.0631,0.0000,0.2500,9.568E-4,7.0915,0.0182,0.1131,0.0000,0.0000,1.637E-4,7.0915,0.0182,0.1131,0.0000,0.0000,1.637E-4,6.0461,0.0141,0.1360,0.0000,0.0000,3.425E-4,15.8858,0.0861,0.0357,0.0571,0.2500,1.768E-4
Cantharellus_cinnabarinus,35,3.3962,4.2653,500,0.9937,4,1.6600,0.8725,0.0817,10034,16.7964,3.8702,6.8917,1.1648,2.8977,6.1315,25.2343,0.1423,14.0973,1.1166,2.0364,0.3245,3.6764,0.2446,7.6524,1.1424,0.0502,0.0983,0.5675,0.0050,0.0000,1.3860,0.2209,2.1569,0.0000,0.1654,0.4441,0.0054,1.1232,0.3263,0.0316,5.8339,0.0152,1.0000,0.0020,0.4209,0.0000,0.0000,3.138E-2,5.0000,0.0114,0.1498,0.0000,0.2500,1.193E-2,10.0000,0.0345,0.0634,0.0000,0.5000,2.212E-2,10.7351,0.0408,0.0570,0.0000,0.5000,1.805E-2,24.0292,0.2504,0.0153,0.0857,0.5000,1.385E-3,12.0391,0.0493,0.0475,0.0571,0.5000,1.272E-2,10.7351,0.0408,0.0570,0.0000,0.5000,1.805E-2,2.6866,0.0054,0.2500,0.0000,0.2500,5.081E-2,6.8545,0.0176,0.1059,0.0000,0.2500,4.378E-3,5.6241,0.0134,0.1328,0.0000,0.2500,8.444E-3,14.6055,0.0790,0.0340,0.0571,0.5000,6.62E-3
Cantharellus_cinnabarinus,36,3.3166,4.2034,500,0.9940,3,1.8660,0.7847,0.1742,10035,12.4518,5.4897,4.2670,0.2396,1.8106,10.0716,24.6895,0.2921,12.6601,0.8998,0.6028,0.2522,4.4127,0.1117,11.7041,1.1689,0.0398,0.1555,0.9175,1.2608,0.0000,1.4965,0.8360,1.9169,0.0000,0.2487,0.3455,0.0465,1.2837,0.3285,0.0000,5.9187,0.0167,1.0000,0.0022,0.4277,0.0000,0.3333,3.923E-1,5.0000,0.0123,0.1556,0.0000,0.3333,6.506E-2,10.0000,0.0373,0.0690,0.0000,0.3333,1.361E-2,12.8898,0.0611,0.0476,0.0000,0.3333,6.591E-3,27.4923,0.2869,0.0140,0.0833,0.3333,5.785E-4,13.7215,0.0689,0.0433,0.0556,0.3333,5.474E-3,12.8898,0.0611,0.0476,0.0000,0.3333,6.591E-3,1.7331,0.0037,0.3333,0.0000,0.3333,2.593E-1,60.4243,0.7604,0.0026,0.4167,0.3333,2.01E-5,5.6615,0.0146,0.1376,0.0000,0.3333,5.16E-2,15.1475,0.0854,0.0370,0.0556,0.3333,3.999E-3
