Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Carpelimus_species,73,4.0596,4.5945,500,0.9963,9,4.5944,0.9957,0.0008,10073,8.2623,2.6262,0.7213,2.5955,3.4823,8.1033,11.4111,5.9392,1.6743,11.8597,0.7116,0.0804,13.2085,0.0937,0.0523,2.0123,1.9195,0.0000,0.0647,4.7581,0.0000,3.1394,0.0000,0.0000,0.0000,15.7383,0.9187,0.4285,0.1988,0.0000,0.0000,5.2006,0.0080,1.0000,0.0025,0.1193,0.0000,0.0000,4.906E-9,5.0000,0.0261,0.0341,0.0000,0.0000,6.155E-14,10.0000,0.0944,0.0167,0.0000,0.0000,9.985E-17,15.4866,0.1829,0.0101,0.0000,0.0000,1.119E-18,24.9786,0.5039,0.0065,0.0822,0.0000,1.94E-20,15.6102,0.1831,0.0101,0.0137,0.0000,1.119E-18,15.4866,0.1829,0.0101,0.0000,0.0000,1.119E-18,24.9786,0.5039,0.0065,0.0822,0.0000,1.94E-20,24.9786,0.5039,0.0065,0.0822,0.0000,1.94E-20,2.1427,0.0071,0.0720,0.0000,0.0000,5.183E-11,9.3058,0.0839,0.0180,0.0000,0.0000,1.953E-16
Carpelimus_species,73,4.1234,4.6201,500,0.9962,9,3.5578,0.9897,0.0039,10073,1.3858,0.3830,3.0273,2.8751,4.2248,6.2735,17.7435,5.7693,0.9598,14.1433,0.0663,0.0564,11.4945,0.1244,0.0844,3.1592,2.4480,0.0000,0.0000,4.8071,0.0000,3.0627,0.0000,0.0000,0.0000,16.0416,0.9209,0.6422,0.2121,0.0947,0.0000,5.1358,0.0076,1.0000,0.0028,0.1000,0.0000,0.0000,9.973E-10,5.0000,0.0300,0.0289,0.0000,0.1111,4.254E-12,10.0000,0.1095,0.0147,0.0137,0.3333,8.136E-10,8.0964,0.0737,0.0179,0.0000,0.1111,9.209E-14,23.7652,0.5117,0.0065,0.0822,0.3333,5.965E-12,10.7898,0.1199,0.0137,0.0137,0.3333,5.361E-10,8.0964,0.0737,0.0179,0.0000,0.1111,9.209E-14,3.6952,0.0189,0.0378,0.0000,0.0000,1.585E-13,3.6952,0.0189,0.0378,0.0000,0.0000,1.585E-13,1.9698,0.0067,0.0633,0.0000,0.0000,1.64E-11,8.6558,0.0826,0.0169,0.0137,0.3333,1.858E-9
Carpelimus_species,74,4.0579,4.5895,500,0.9963,8,4.6261,0.9971,0.0009,10074,4.0573,0.6826,1.2686,2.0373,3.5056,9.4041,11.6968,4.3377,2.6009,12.8656,0.6048,0.0794,12.5102,0.1250,0.0948,2.8837,2.3822,0.0000,0.1965,4.9142,0.0000,3.3839,0.0000,0.0087,0.0000,18.9780,0.7762,0.4145,0.1567,0.0346,0.0000,5.1937,0.0080,1.0000,0.0028,0.1108,0.0000,0.0000,2.268E-8,5.0000,0.0275,0.0325,0.0000,0.0000,1.232E-12,10.0000,0.0940,0.0164,0.0000,0.0000,5.179E-15,16.4799,0.2195,0.0094,0.0000,0.0000,6.254E-17,23.7769,0.5030,0.0068,0.0811,0.1250,5.078E-15,16.4799,0.2195,0.0094,0.0135,0.0000,6.254E-17,16.4799,0.2195,0.0094,0.0000,0.0000,6.254E-17,21.8715,0.3862,0.0070,0.0676,0.0000,6.088E-18,21.8715,0.3862,0.0070,0.0676,0.0000,6.088E-18,2.0308,0.0071,0.0707,0.0000,0.0000,6.226E-10,9.2158,0.0832,0.0179,0.0000,0.0000,1.039E-14
Carpelimus_species,74,4.0504,4.5857,500,0.9962,8,4.7732,0.9976,0.0006,10074,5.7361,1.3503,2.6150,0.0945,3.6669,8.0627,14.3203,5.4429,3.1881,11.5554,0.0000,0.2560,11.1039,0.1020,0.1172,3.5858,1.8054,0.0000,0.1881,3.9794,0.0000,4.3401,0.0000,0.0000,0.0000,16.9279,1.0621,0.3386,0.1371,0.0242,0.0000,5.2198,0.0082,1.0000,0.0026,0.1165,0.0000,0.0000,3.402E-8,5.0000,0.0276,0.0339,0.0000,0.0000,1.764E-12,10.0000,0.0970,0.0169,0.0000,0.0000,6.576E-15,15.0497,0.1778,0.0108,0.0000,0.0000,1.878E-16,25.2823,0.5201,0.0066,0.0946,0.0000,3.394E-18,15.0497,0.1778,0.0108,0.0135,0.0000,1.878E-16,15.0497,0.1778,0.0108,0.0000,0.0000,1.878E-16,32.1326,0.6390,0.0058,0.1757,0.0000,1.207E-18,32.1326,0.6390,0.0058,0.1757,0.0000,1.207E-18,2.0927,0.0073,0.0719,0.0000,0.0000,7.117E-10,9.2615,0.0888,0.0183,0.0000,0.0000,1.239E-14
Carpelimus_species,74,4.0723,4.6019,500,0.9962,8,4.3546,0.9946,0.0009,10074,4.3602,0.0712,4.5607,1.2419,4.0503,7.2474,11.9434,7.6606,3.4845,13.2147,0.1611,0.2350,14.1851,0.1303,0.0699,2.5645,1.6570,0.0000,0.0805,3.9849,0.0000,3.0422,0.0000,0.0000,0.0000,14.6298,0.8568,0.4028,0.1652,0.0000,0.0000,5.1612,0.0078,1.0000,0.0027,0.1078,0.0000,0.0000,1.824E-8,5.0000,0.0274,0.0313,0.0000,0.0000,9.138E-13,10.0000,0.0986,0.0152,0.0000,0.0000,2.831E-15,15.3915,0.2138,0.0094,0.0000,0.0000,6.254E-17,23.5146,0.4781,0.0066,0.0946,0.2500,2.189E-12,15.5514,0.2180,0.0094,0.0135,0.0000,6.254E-17,15.3915,0.2138,0.0094,0.0000,0.0000,6.254E-17,17.5152,0.2774,0.0083,0.0270,0.0000,2.337E-17,17.5152,0.2774,0.0083,0.0270,0.0000,2.337E-17,2.0056,0.0068,0.0684,0.0000,0.0000,4.788E-10,8.9030,0.0762,0.0173,0.0000,0.0000,7.921E-15
Carpelimus_species,74,4.0678,4.5840,500,0.9961,8,4.3305,0.9941,0.0021,10074,5.8088,0.0392,1.3174,0.2695,4.6866,9.4261,13.7392,3.6635,2.9522,13.5482,0.0000,0.1187,12.6209,0.0803,0.0562,3.4248,2.5053,0.0000,0.0290,4.3042,0.0000,4.2199,0.0000,0.0000,0.0000,15.8565,1.0775,0.0761,0.1626,0.0175,0.0000,5.1914,0.0080,1.0000,0.0025,0.1158,0.0000,0.0000,3.243E-8,5.0000,0.0269,0.0326,0.0000,0.0000,1.263E-12,10.0000,0.0987,0.0162,0.0135,0.1250,2.29E-12,7.8572,0.0630,0.0206,0.0000,0.0000,3.303E-14,24.4419,0.5362,0.0067,0.0946,0.1250,4.578E-15,11.9452,0.1232,0.0135,0.0135,0.1250,6.461E-13,7.8572,0.0630,0.0206,0.0000,0.0000,3.303E-14,7.8572,0.0630,0.0206,0.0000,0.0000,3.303E-14,7.8572,0.0630,0.0206,0.0000,0.0000,3.303E-14,2.1091,0.0071,0.0699,0.0000,0.0000,5.688E-10,9.1161,0.0822,0.0178,0.0135,0.1250,4.404E-12
Carpelimus_species,74,4.0941,4.5985,500,0.9962,8,4.1030,0.9940,0.0011,10074,4.1612,1.3218,0.0247,0.0995,2.8155,7.7514,11.9528,7.4551,5.4939,14.2579,0.0000,0.8176,12.0575,0.0967,0.0716,4.7035,1.5381,0.0000,0.1127,3.9017,0.0000,3.1499,0.0000,0.0000,0.0000,15.8083,1.3004,0.3756,0.7324,0.0000,0.0000,5.1528,0.0077,1.0000,0.0026,0.1166,0.0000,0.0000,3.425E-8,5.0000,0.0254,0.0325,0.0000,0.0000,1.232E-12,10.0000,0.0896,0.0152,0.0000,0.0000,2.831E-15,14.0891,0.1616,0.0100,0.0000,0.1250,8.074E-14,22.9751,0.5489,0.0067,0.0946,0.3750,7.167E-10,14.2097,0.1725,0.0100,0.0135,0.1250,8.074E-14,14.0891,0.1616,0.0100,0.0000,0.1250,8.074E-14,13.5036,0.1491,0.0106,0.0000,0.0000,1.62E-16,13.5036,0.1491,0.0106,0.0000,0.0000,1.62E-16,2.1502,0.0068,0.0700,0.0000,0.0000,5.753E-10,9.0158,0.0790,0.0171,0.0000,0.0000,7.221E-15
Carpelimus_species,74,4.0596,4.5776,500,0.9962,8,4.5332,0.9962,0.0009,10074,2.2827,0.6798,3.2348,3.1471,4.4041,8.1724,12.5249,6.3792,1.0245,16.6308,0.5984,0.0392,11.3151,0.1214,0.1705,2.8619,2.1382,0.0000,0.0348,4.5371,0.0000,3.7032,0.0000,0.0000,0.0000,14.3587,1.0372,0.3866,0.1229,0.0946,0.0000,5.2106,0.0081,1.0000,0.0024,0.1214,0.0000,0.0000,4.718E-8,5.0000,0.0264,0.0345,0.0000,0.0000,2.028E-12,10.0000,0.0940,0.0170,0.0000,0.0000,6.892E-15,13.8029,0.1502,0.0118,0.0000,0.0000,3.791E-16,24.4476,0.5061,0.0066,0.0811,0.1250,4.121E-15,13.8029,0.1502,0.0118,0.0135,0.0000,3.791E-16,13.8029,0.1502,0.0118,0.0000,0.0000,3.791E-16,21.0354,0.3600,0.0073,0.0541,0.0000,8.477E-18,21.0354,0.3600,0.0073,0.0541,0.0000,8.477E-18,2.1615,0.0072,0.0726,0.0000,0.0000,7.686E-10,9.3762,0.0856,0.0182,0.0000,0.0000,1.186E-14
Carpelimus_species,74,4.0986,4.6233,500,0.9963,8,3.9516,0.9865,0.0088,10074,5.4633,2.5444,2.9502,0.7725,4.9642,7.6728,12.4663,3.5994,0.1499,11.4993,0.4461,0.4903,15.7429,0.1243,0.0513,3.5044,3.2780,0.0000,0.0193,4.0731,0.0000,2.8732,0.0000,0.0000,0.0000,16.2033,0.8618,0.1302,0.1194,0.0000,0.0000,5.1463,0.0077,1.0000,0.0028,0.1029,0.0000,0.0000,1.261E-8,5.0000,0.0282,0.0297,0.0000,0.1250,1.581E-10,10.0000,0.1077,0.0147,0.0000,0.1250,1.167E-12,15.5258,0.2079,0.0092,0.0000,0.1250,4.535E-14,24.5603,0.5239,0.0065,0.0946,0.1250,3.703E-15,15.5258,0.2079,0.0092,0.0135,0.1250,4.535E-14,15.5258,0.2079,0.0092,0.0000,0.1250,4.535E-14,1.5310,0.0050,0.0792,0.0000,0.1250,1.457E-7,1.5283,0.0050,0.0792,0.0000,0.0000,1.55E-9,1.9002,0.0068,0.0685,0.0000,0.1250,5.318E-8,8.6628,0.0824,0.0170,0.0000,0.1250,3.2E-12
Carpelimus_species,74,4.0509,4.5853,500,0.9962,8,4.7920,0.9974,0.0006,10074,6.5318,2.7330,0.3079,0.7519,2.6945,8.7502,12.1454,6.6073,0.9906,16.2034,0.0000,0.3328,12.1070,0.0957,0.1430,2.8484,1.9987,0.0000,0.1254,4.5900,0.0000,4.2229,0.0000,0.0000,0.0000,14.1843,0.8654,0.5482,0.1957,0.0266,0.0000,5.2107,0.0081,1.0000,0.0025,0.1189,0.0000,0.0000,4E-8,5.0000,0.0263,0.0336,0.0000,0.0000,1.606E-12,10.0000,0.0973,0.0166,0.0000,0.0000,5.703E-15,15.7704,0.1888,0.0101,0.0000,0.0000,1.105E-16,24.2689,0.4933,0.0068,0.0811,0.0000,4.31E-18,15.7704,0.1888,0.0101,0.0135,0.0000,1.105E-16,15.7704,0.1888,0.0101,0.0000,0.0000,1.105E-16,44.6041,0.6772,0.0047,0.3649,0.0000,2.245E-19,44.6041,0.6772,0.0047,0.3649,0.0000,2.245E-19,2.1630,0.0072,0.0708,0.0000,0.0000,6.297E-10,9.1964,0.0815,0.0182,0.0000,0.0000,1.186E-14
