Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Catocala_blandula,54,2.9383,3.7561,500,0.9661,7,2.0166,0.9433,0.0328,10054,10.7427,6.3367,3.5402,3.0714,3.1219,15.1863,7.1841,1.5009,0.3352,0.7914,0.0373,14.4805,5.8099,1.2666,6.2868,1.0357,0.0831,0.1870,3.5954,0.0102,1.3856,0.0000,0.0000,0.1819,0.0721,0.7150,5.8133,6.8619,0.3669,0.0000,0.0000,6.2962,0.0248,1.0000,0.0034,0.5074,0.0185,0.0000,8.654E-3,5.0000,0.0164,0.2372,0.0370,0.1429,9.937E-4,10.0000,0.0376,0.1318,0.0370,0.1429,3.253E-5,0.0045,0.0001,0.9494,0.0000,0.0000,6.951E-1,25.2995,0.1606,0.0322,0.0926,0.4286,3.491E-5,19.2174,0.0981,0.0556,0.0556,0.2857,1.015E-5,22.2430,0.1251,0.0426,0.0556,0.2857,2.731E-6,9.2472,0.0335,0.1428,0.0370,0.1429,5.215E-5,14.2617,0.0625,0.0869,0.0370,0.1429,2.796E-6,6.2458,0.0211,0.2018,0.0370,0.1429,3.911E-4,19.5663,0.1014,0.0539,0.0556,0.2857,8.722E-6
Catocala_blandula,54,2.9315,3.7504,500,0.9633,7,2.5689,0.9219,0.0502,10054,16.9721,4.5154,2.2156,2.4820,3.5544,7.9099,8.8192,2.3414,1.3688,1.7248,0.0000,15.6134,7.4631,0.0881,12.7467,0.6289,0.1899,0.0147,1.2515,0.0116,1.7683,0.0000,0.0000,0.1144,0.1823,0.5548,4.4663,2.6680,0.3345,0.0000,0.0000,6.3144,0.0253,1.0000,0.0034,0.4854,0.0185,0.0000,6.347E-3,5.0000,0.0170,0.2229,0.0556,0.1429,6.944E-4,10.0000,0.0415,0.1230,0.0556,0.2857,4.771E-4,0.0045,0.0001,0.9446,0.0000,0.0000,6.71E-1,31.6421,0.2643,0.0195,0.0741,0.2857,5.722E-8,15.2711,0.0754,0.0741,0.0741,0.2857,4.13E-5,31.6421,0.2643,0.0195,0.0741,0.2857,5.722E-8,8.3651,0.0327,0.1465,0.0556,0.1429,6.053E-5,8.3651,0.0327,0.1465,0.0556,0.1429,6.053E-5,2.9464,0.0098,0.3082,0.0370,0.1429,4.417E-3,18.7318,0.1081,0.0549,0.0741,0.2857,9.54E-6
Catocala_blandula,55,2.8746,3.6992,500,0.9661,6,2.8014,0.9455,0.0297,10055,27.5784,2.5169,2.4225,2.0365,3.9478,8.8196,7.9265,0.3457,0.2053,0.7636,0.0000,12.4621,6.7839,0.1806,4.3809,0.8530,0.1561,0.0000,3.2112,0.0609,0.6801,0.0078,0.1390,0.2758,0.2323,0.8323,4.4523,7.9077,0.8214,0.0000,0.0000,6.3630,0.0267,1.0000,0.0036,0.5054,0.0364,0.0000,1.667E-2,5.0000,0.0180,0.2380,0.0364,0.0000,1.817E-4,10.0000,0.0405,0.1344,0.0364,0.3333,3.896E-3,0.0014,0.0001,0.9706,0.0000,0.0000,8.359E-1,27.9167,0.1964,0.0281,0.0909,0.3333,8.994E-6,22.2909,0.1340,0.0451,0.0364,0.3333,5.742E-5,22.2909,0.1340,0.0451,0.0364,0.3333,5.742E-5,8.0800,0.0307,0.1647,0.0364,0.1667,6.272E-4,8.0755,0.0306,0.1647,0.0364,0.0000,1.996E-5,6.1159,0.0225,0.2067,0.0364,0.0000,7.791E-5,19.3084,0.1075,0.0576,0.0364,0.3333,1.501E-4
Catocala_blandula,55,2.7997,3.6394,500,0.9646,6,4.7410,0.9985,0.0005,10055,17.0952,7.0582,2.6685,2.4655,5.7659,5.8008,8.0573,2.1518,0.6408,0.0757,0.0027,14.3923,8.0518,0.4177,10.2963,0.7398,0.1972,0.0821,2.1515,0.0280,2.9305,0.0124,0.2805,0.2631,0.1428,0.5956,4.2615,2.5973,0.7775,0.0000,0.0000,6.4644,0.0298,1.0000,0.0041,0.4996,0.0364,0.0000,1.554E-2,5.0000,0.0198,0.2364,0.0364,0.0000,1.745E-4,10.0000,0.0456,0.1354,0.0364,0.0000,6.15E-6,0.0016,0.0001,0.9681,0.0000,0.0000,8.231E-1,27.9091,0.2123,0.0317,0.0909,0.0000,1.02E-9,19.3434,0.1193,0.0609,0.0545,0.0000,5.084E-8,19.0520,0.1165,0.0623,0.0364,0.0000,5.823E-8,59.3904,0.8313,0.0037,0.3273,0.0000,2.483E-15,59.3904,0.8313,0.0037,0.3273,0.0000,2.483E-15,6.0662,0.0249,0.2067,0.0364,0.0000,7.791E-5,18.7478,0.1141,0.0637,0.0364,0.0000,6.712E-8
Catocala_blandula,55,3.0191,3.8632,500,0.9744,6,1.5745,0.8132,0.1436,10055,17.9538,4.0927,3.8603,5.7735,4.0564,7.6858,8.7530,0.3150,0.2805,2.4296,0.0014,15.1045,6.2516,0.1678,6.4942,1.0747,0.0687,0.1307,2.7696,0.0566,1.9665,0.0000,0.0530,0.1790,0.0889,0.7994,4.7925,3.7349,1.0654,0.0000,0.0000,6.2257,0.0231,1.0000,0.0035,0.4170,0.0182,0.1667,4.937E-2,5.0000,0.0191,0.1896,0.0182,0.1667,1.236E-3,10.0000,0.0442,0.1049,0.0364,0.3333,1.526E-3,0.0009,0.0000,0.9594,0.0000,0.1667,9.779E-1,32.4863,0.2891,0.0157,0.0909,0.3333,8.917E-7,17.6624,0.1025,0.0517,0.0545,0.3333,9.861E-5,17.6624,0.1025,0.0517,0.0364,0.3333,9.861E-5,5.9775,0.0232,0.1667,0.0182,0.1667,6.648E-4,7.2132,0.0286,0.1431,0.0182,0.1667,3.172E-4,5.1689,0.0197,0.1853,0.0182,0.1667,1.108E-3,18.0077,0.1057,0.0502,0.0545,0.3333,8.793E-5
Catocala_blandula,54,2.8477,3.6994,500,0.9632,7,3.7196,0.9817,0.0137,10054,19.7092,3.1795,5.6028,1.7265,5.8396,9.5476,6.1742,1.8034,0.4401,2.0298,0.0557,13.6298,6.4476,1.2492,7.2524,0.7419,0.1030,0.0000,2.1505,0.0117,3.4488,0.0000,0.1819,0.1653,0.1455,0.8367,4.7227,1.9374,0.8501,0.0169,0.0000,6.4008,0.0278,1.0000,0.0038,0.5093,0.0370,0.0000,8.882E-3,5.0000,0.0182,0.2426,0.0370,0.0000,4.944E-5,10.0000,0.0417,0.1388,0.0370,0.0000,9.9E-7,0.0028,0.0001,0.9637,0.0000,0.0000,7.719E-1,23.7837,0.1516,0.0418,0.0926,0.1429,3.587E-8,17.4021,0.0904,0.0712,0.0741,0.1429,8.574E-7,22.7472,0.1391,0.0456,0.0741,0.1429,6.011E-8,12.7966,0.0583,0.1066,0.0556,0.1429,9.346E-6,12.7966,0.0583,0.1066,0.0370,0.0000,1.567E-7,6.1858,0.0234,0.2089,0.0370,0.0000,1.734E-5,19.4674,0.1072,0.0599,0.0741,0.1429,3.06E-7
Catocala_blandula,55,2.9125,3.7274,500,0.9680,6,2.9668,0.8982,0.0901,10055,19.3420,5.4207,2.1907,2.0543,5.7183,8.4543,6.3531,1.7108,0.5893,0.2267,1.0478,16.5813,4.2710,0.3237,9.4014,0.7430,0.0919,0.0000,1.8277,0.0103,2.9433,0.0417,0.2696,0.2334,0.7585,0.7510,4.2620,3.7253,0.6570,0.0000,0.0000,6.3432,0.0260,1.0000,0.0035,0.5054,0.0182,0.1667,1.145E-1,5.0000,0.0170,0.2355,0.0364,0.1667,3.494E-3,10.0000,0.0401,0.1311,0.0364,0.1667,2.068E-4,0.0042,0.0001,0.9443,0.0000,0.0000,7.091E-1,27.2308,0.1946,0.0288,0.0909,0.1667,1.169E-7,19.2341,0.1023,0.0563,0.0545,0.1667,3.232E-6,17.9212,0.0918,0.0632,0.0364,0.1667,5.71E-6,7.7830,0.0291,0.1667,0.0364,0.1667,6.648E-4,47.5810,0.5996,0.0056,0.2364,0.1667,3.2E-11,6.2724,0.0221,0.1994,0.0364,0.1667,1.577E-3,19.1941,0.1022,0.0565,0.0545,0.1667,3.289E-6
Catocala_blandula,56,2.9139,3.7582,500,0.9679,5,3.4829,0.9533,0.0397,10056,21.3468,8.3662,2.4026,1.9244,3.3551,5.3426,7.5877,0.8618,0.4274,1.5123,0.0000,11.2714,7.3654,0.2363,0.6639,1.4149,0.1076,0.1396,5.8625,0.0198,0.7300,0.0000,0.1836,0.2665,0.1248,0.9994,6.0305,10.2998,1.1570,0.0000,0.0000,6.3520,0.0263,1.0000,0.0035,0.4850,0.0357,0.0000,2.683E-2,5.0000,0.0181,0.2217,0.0357,0.2000,9.93E-3,10.0000,0.0425,0.1235,0.0357,0.2000,1.049E-3,0.0025,0.0001,0.9597,0.0000,0.0000,8.142E-1,27.8742,0.2106,0.0266,0.0714,0.2000,2.432E-6,20.0540,0.1231,0.0505,0.0536,0.2000,3.125E-5,20.0540,0.1231,0.0505,0.0357,0.2000,3.125E-5,5.7657,0.0215,0.2000,0.0357,0.2000,6.717E-3,60.8473,0.8150,0.0034,0.4107,0.2000,6.516E-10,5.9691,0.0223,0.1948,0.0357,0.2000,6.079E-3,18.5697,0.1089,0.0570,0.0357,0.2000,5.031E-5
Catocala_blandula,55,3.0294,3.8086,500,0.9642,6,0.8123,0.8809,0.0642,10055,22.7472,3.2001,3.3101,3.0430,4.8984,5.7864,8.3217,1.0551,1.0535,3.3564,0.0429,15.4215,5.1839,0.6377,4.6443,0.5918,0.0528,0.0000,3.6444,0.1239,0.3598,0.0201,0.2736,0.0775,0.1043,0.7936,5.6062,5.2339,0.4156,0.0000,0.0000,6.1996,0.0221,1.0000,0.0030,0.4914,0.0182,0.0000,1.408E-2,5.0000,0.0148,0.2191,0.0545,0.1667,2.476E-3,10.0000,0.0367,0.1171,0.0545,0.1667,1.19E-4,0.0332,0.0003,0.8728,0.0000,0.0000,4.421E-1,21.0654,0.1200,0.0390,0.0727,0.6667,2.053E-2,17.3569,0.0831,0.0553,0.0545,0.5000,2.979E-3,17.3569,0.0831,0.0553,0.0545,0.5000,2.979E-3,6.9874,0.0225,0.1667,0.0545,0.1667,6.648E-4,10.8732,0.0415,0.1065,0.0545,0.1667,7.496E-5,2.4363,0.0070,0.3405,0.0364,0.1667,1.968E-2,18.6214,0.0955,0.0489,0.0727,0.6667,3.148E-2
Catocala_blandula,56,3.1179,4.0073,500,0.9811,5,-1.6403,0.6685,0.1508,10056,16.2087,4.7843,3.4575,3.9097,5.6342,7.2458,8.4580,2.4647,0.0318,0.2513,0.0000,14.4663,7.5245,0.2258,8.3661,2.9081,0.1493,0.1211,0.9400,0.0261,2.0735,0.0000,0.1786,0.2656,0.1809,0.4361,5.4751,3.4050,0.8120,0.0000,0.0000,6.1278,0.0208,1.0000,0.0032,0.3989,0.0179,0.2000,8.617E-2,5.0000,0.0178,0.1700,0.0179,0.8000,6.062E-1,10.0000,0.0446,0.0913,0.0179,0.8000,3.804E-1,0.0706,0.0003,0.7312,0.0000,0.2000,5.932E-1,28.1874,0.2379,0.0188,0.0714,0.8000,9.051E-2,15.5690,0.0890,0.0536,0.0536,0.8000,2.408E-1,25.7603,0.1968,0.0229,0.0536,0.8000,1.092E-1,2.0959,0.0065,0.2911,0.0179,0.2000,2.753E-2,2.0959,0.0065,0.2911,0.0179,0.2000,2.753E-2,5.0175,0.0179,0.1696,0.0179,0.8000,6.053E-1,17.5144,0.1067,0.0455,0.0536,0.8000,2.079E-1
