Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Catocala_ultronia,66,3.1390,3.8147,500,0.9854,8,2.9410,0.9011,0.0868,10066,5.4784,6.2934,2.5190,2.0242,9.8601,17.1744,2.0021,0.0000,0.1745,5.2907,0.4583,8.1558,5.4200,6.1844,18.9427,1.9028,0.0129,0.0717,1.4744,0.0000,0.1828,0.9167,0.0646,0.0226,0.1543,1.2054,2.7145,0.0131,1.2625,0.0238,0.0000,6.1352,0.0205,1.0000,0.0026,0.4888,0.0000,0.1250,3.051E-2,5.0000,0.0135,0.2010,0.0152,0.1250,8.731E-5,10.0000,0.0372,0.0986,0.0152,0.1250,6.646E-7,2.3463,0.0059,0.3346,0.0000,0.1250,2.656E-3,21.2684,0.1390,0.0305,0.0909,0.1250,1.911E-10,12.2426,0.0507,0.0758,0.0758,0.1250,1.074E-7,11.5404,0.0462,0.0822,0.0152,0.1250,1.876E-7,8.1491,0.0263,0.1250,0.0152,0.1250,3.393E-6,24.9115,0.1854,0.0219,0.1061,0.1250,1.869E-11,6.2928,0.0180,0.1636,0.0152,0.1250,2.152E-5,17.0177,0.0910,0.0458,0.0758,0.1250,3.245E-9
Catocala_ultronia,66,3.1563,3.7935,500,0.9858,8,2.5916,0.9006,0.0822,10066,6.4415,4.9057,2.4348,1.9197,8.8483,18.3857,1.9495,0.0000,1.0497,4.5337,0.4486,10.7651,4.4661,5.3937,21.3569,1.6673,0.0000,0.0237,0.6384,0.6409,0.1536,0.9001,0.0716,0.0000,0.3782,0.6455,1.8611,0.0287,0.0491,0.0427,0.0000,6.0966,0.0197,1.0000,0.0025,0.4754,0.0000,0.1250,2.563E-2,5.0000,0.0138,0.1915,0.0152,0.1250,6.298E-5,10.0000,0.0360,0.0943,0.0303,0.1250,4.859E-7,2.3415,0.0057,0.3225,0.0000,0.1250,2.082E-3,24.5383,0.1901,0.0217,0.0909,0.3750,2.526E-7,13.1467,0.0566,0.0649,0.0758,0.1250,3.648E-8,20.1086,0.1303,0.0318,0.0758,0.2500,2.735E-8,7.8699,0.0252,0.1250,0.0152,0.1250,3.393E-6,16.6494,0.0902,0.0444,0.0758,0.1250,2.618E-9,6.0111,0.0174,0.1632,0.0152,0.1250,2.117E-5,16.7210,0.0911,0.0441,0.0758,0.2500,1.909E-7
Catocala_ultronia,67,3.0444,3.7006,500,0.9823,7,4.1445,0.9963,0.0012,10067,4.4437,4.3946,5.8507,1.2884,9.3633,20.8743,0.8829,0.0000,0.3722,2.5131,0.5671,8.7792,5.2117,5.9118,21.0052,1.9382,0.0000,0.0000,1.0571,0.0000,0.1318,0.8429,0.2423,0.0496,0.1845,1.0521,1.9871,0.0262,0.9777,0.0522,0.0000,6.2120,0.0223,1.0000,0.0029,0.5199,0.0000,0.0000,1.027E-2,5.0000,0.0137,0.2239,0.0299,0.0000,2.821E-5,10.0000,0.0350,0.1126,0.0448,0.0000,2.301E-7,4.1685,0.0112,0.2568,0.0000,0.0000,7.361E-5,21.6367,0.1396,0.0335,0.0896,0.0000,4.711E-11,13.6554,0.0587,0.0746,0.0746,0.0000,1.286E-8,29.4419,0.2693,0.0171,0.1045,0.0000,4.25E-13,38.8218,0.4610,0.0082,0.2239,0.0000,2.59E-15,38.8218,0.4610,0.0082,0.2239,0.0000,2.59E-15,4.1685,0.0112,0.2568,0.0000,0.0000,7.361E-5,17.5907,0.0912,0.0495,0.0896,0.0000,7.249E-10
Catocala_ultronia,66,3.0569,3.7301,500,0.9829,8,4.1568,0.9863,0.0114,10066,5.2370,6.1304,2.8935,1.6788,8.8422,23.5151,2.0984,0.0000,0.1172,1.7429,0.5630,8.4339,4.9374,6.3604,19.9797,2.0561,0.0161,0.0000,0.9391,0.0000,0.6862,0.7860,0.0678,0.0824,0.2067,0.8546,1.5509,0.0000,0.1387,0.0855,0.0000,6.1819,0.0216,1.0000,0.0028,0.4901,0.0000,0.0000,3.327E-3,5.0000,0.0142,0.2052,0.0303,0.0000,3.149E-6,10.0000,0.0373,0.1041,0.0303,0.0000,1.38E-8,3.3332,0.0090,0.2752,0.0000,0.0000,3.288E-5,19.7249,0.1177,0.0375,0.0909,0.1250,7.999E-10,12.8126,0.0550,0.0758,0.0758,0.1250,1.074E-7,28.6060,0.2568,0.0174,0.1061,0.1250,3.782E-12,10.4462,0.0403,0.0988,0.0303,0.1250,6.739E-7,10.4406,0.0402,0.0988,0.0303,0.0000,9.114E-9,3.3332,0.0090,0.2752,0.0000,0.0000,3.288E-5,17.2215,0.0917,0.0480,0.0909,0.1250,4.488E-9
Catocala_ultronia,66,3.1521,3.7881,500,0.9841,8,2.7189,0.9508,0.0277,10066,4.5280,2.2147,6.3300,2.3829,9.4957,19.7456,4.8305,0.0000,0.0094,5.3287,0.3425,10.2854,6.4272,4.1058,17.8794,1.3464,0.0000,0.0613,0.6082,0.0000,0.1355,0.8368,0.0382,0.0033,0.1371,0.6161,2.0638,0.0000,0.2206,0.0267,0.0000,6.1094,0.0199,1.0000,0.0026,0.4971,0.0000,0.0000,3.73E-3,5.0000,0.0130,0.2078,0.0000,0.1250,1.096E-4,10.0000,0.0340,0.1021,0.0758,0.2500,2.645E-5,5.7018,0.0153,0.1857,0.0000,0.1250,5.098E-5,16.6252,0.0800,0.0480,0.0909,0.2500,3.142E-7,12.5002,0.0487,0.0758,0.0758,0.2500,4.644E-6,24.8725,0.1840,0.0218,0.1061,0.2500,2.86E-9,8.1765,0.0245,0.1296,0.0303,0.1250,4.366E-6,4.4879,0.0114,0.2266,0.0000,0.0000,6.953E-6,5.7018,0.0153,0.1857,0.0000,0.1250,5.098E-5,17.3055,0.0860,0.0447,0.1061,0.2500,2.067E-7
Catocala_ultronia,66,3.1466,3.8042,500,0.9859,8,2.9573,0.9287,0.0583,10066,2.2592,5.4864,3.7604,4.2949,7.2490,21.0075,5.0815,0.0055,0.1295,0.8487,0.2192,10.2027,6.0302,4.7177,19.2043,2.9759,0.0000,0.0000,1.2168,0.0000,0.1341,0.8700,0.0792,0.0681,0.2143,0.8597,3.0267,0.0000,0.0585,0.0000,0.0000,6.1040,0.0199,1.0000,0.0027,0.4785,0.0000,0.1250,2.672E-2,5.0000,0.0134,0.1963,0.0303,0.1250,7.443E-5,10.0000,0.0357,0.0965,0.0303,0.1250,5.693E-7,4.3747,0.0114,0.2186,0.0000,0.1250,1.541E-4,24.4770,0.1916,0.0224,0.0909,0.3750,2.953E-7,13.7593,0.0609,0.0626,0.0606,0.1250,2.845E-8,13.3373,0.0578,0.0655,0.0303,0.1250,3.887E-8,8.0029,0.0253,0.1250,0.0303,0.1250,3.393E-6,21.2554,0.1405,0.0296,0.0758,0.1250,1.553E-10,4.3747,0.0114,0.2186,0.0000,0.1250,1.541E-4,17.0223,0.0907,0.0444,0.0758,0.1250,2.618E-9
Catocala_ultronia,67,3.1664,3.7842,500,0.9819,7,2.0094,0.9179,0.0566,10067,9.5386,4.7740,3.8660,0.6217,7.5981,16.3480,0.5224,0.0000,0.2256,3.2647,0.8189,10.0502,6.0329,5.9608,22.1632,1.2780,0.0064,0.0124,0.7811,0.0000,0.3534,1.1132,0.0000,0.0854,0.0665,0.8297,2.4489,0.0000,1.2400,0.0000,0.0000,6.0897,0.0195,1.0000,0.0025,0.4910,0.0000,0.0000,6.881E-3,5.0000,0.0127,0.2013,0.0149,0.1429,3.849E-4,10.0000,0.0349,0.0975,0.0448,0.1429,5.526E-6,1.3264,0.0032,0.4409,0.0000,0.0000,3.241E-3,24.4608,0.1801,0.0217,0.0896,0.2857,9.642E-8,14.2445,0.0612,0.0597,0.0597,0.2857,1.438E-5,13.9687,0.0590,0.0616,0.0448,0.2857,1.675E-5,7.1689,0.0206,0.1428,0.0448,0.1429,5.218E-5,10.0726,0.0353,0.0967,0.0448,0.1429,5.234E-6,5.3618,0.0138,0.1893,0.0149,0.1429,2.701E-4,17.0566,0.0847,0.0438,0.0746,0.2857,3.145E-6
Catocala_ultronia,67,3.2568,3.8823,500,0.9805,7,1.0574,0.8635,0.0719,10067,3.2066,5.5941,4.9975,0.2099,7.3260,19.0800,2.1901,0.0367,0.1094,1.2819,0.9257,8.9740,6.5927,6.4189,24.5309,2.6738,0.0000,0.0000,0.5711,0.0000,0.1472,0.6621,0.4009,0.2339,0.2629,0.8244,2.5760,0.0933,0.0678,0.0123,0.0000,6.0025,0.0177,1.0000,0.0023,0.4557,0.0149,0.1429,3.822E-2,5.0000,0.0125,0.1818,0.0149,0.2857,3.004E-3,10.0000,0.0344,0.0863,0.0597,0.4286,1.569E-3,0.4925,0.0013,0.5697,0.0000,0.0000,1.947E-2,28.8403,0.2774,0.0125,0.0896,0.5714,6.609E-5,11.1583,0.0415,0.0746,0.0746,0.4286,9.017E-4,20.1705,0.1284,0.0274,0.0746,0.5714,6.639E-4,4.4130,0.0109,0.2018,0.0149,0.1429,3.915E-4,4.4130,0.0109,0.2018,0.0149,0.1429,3.915E-4,5.5414,0.0143,0.1657,0.0149,0.2857,1.95E-3,16.4709,0.0822,0.0401,0.0746,0.4286,8.233E-5
Catocala_ultronia,68,3.0855,3.7172,500,0.9831,6,3.3029,0.9792,0.0139,10068,2.1697,4.9142,6.0292,2.9421,9.4663,17.7292,3.6983,0.0000,0.2480,3.9671,0.2170,9.1488,6.9641,4.4377,20.5084,1.5919,0.0063,0.0000,1.2126,0.0000,0.0652,1.1610,0.1944,0.0000,0.2005,0.7554,2.1797,0.0000,0.1381,0.0000,0.0546,6.1782,0.0214,1.0000,0.0028,0.4995,0.0000,0.0000,1.553E-2,5.0000,0.0139,0.2094,0.0294,0.0000,8.425E-5,10.0000,0.0366,0.1047,0.0294,0.0000,1.316E-6,3.4152,0.0089,0.2763,0.0000,0.0000,4.451E-4,19.6921,0.1188,0.0374,0.0882,0.1667,4.279E-7,13.0746,0.0558,0.0735,0.0735,0.1667,1.208E-5,12.5785,0.0523,0.0777,0.0441,0.1667,1.586E-5,10.7240,0.0405,0.0960,0.0441,0.1667,4.512E-5,10.7208,0.0405,0.0960,0.0441,0.0000,7.851E-7,3.4152,0.0089,0.2763,0.0000,0.0000,4.451E-4,17.1638,0.0900,0.0479,0.0882,0.1667,1.449E-6
Catocala_ultronia,67,3.0766,3.7176,500,0.9847,7,3.5206,0.9900,0.0046,10067,1.9035,6.0246,6.9843,0.2963,7.8073,18.3818,4.8137,0.0000,0.6270,3.8377,0.3312,10.0270,6.3302,6.7238,19.1638,1.7446,0.0000,0.0432,0.9209,0.0000,0.2639,0.5792,0.0455,0.0000,0.4440,0.8957,1.5295,0.0000,0.2240,0.0573,0.0000,6.1810,0.0215,1.0000,0.0028,0.5219,0.0000,0.0000,1.055E-2,5.0000,0.0132,0.2229,0.0000,0.0000,2.734E-5,10.0000,0.0346,0.1116,0.0299,0.0000,2.15E-7,5.1592,0.0136,0.2173,0.0000,0.0000,2.291E-5,17.8019,0.0911,0.0470,0.0896,0.0000,5.055E-10,12.9212,0.0501,0.0793,0.0746,0.0000,1.967E-8,12.2376,0.0455,0.0857,0.0299,0.0000,3.402E-8,19.8495,0.1124,0.0383,0.1045,0.0000,1.218E-10,19.8495,0.1124,0.0383,0.1045,0.0000,1.218E-10,5.1592,0.0136,0.2173,0.0000,0.0000,2.291E-5,17.5965,0.0887,0.0480,0.0896,0.0000,5.852E-10
