Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Celastrina_neglecta,31,3.4831,4.6212,500,0.9959,4,2.8082,0.9869,0.0056,10031,5.4318,4.1630,2.6044,1.6573,5.1514,23.4448,0.1344,6.2405,8.5993,0.0741,0.0879,3.0944,5.6997,0.5907,19.9105,0.0000,0.3089,0.0000,0.7438,5.0176,0.0000,0.8071,0.8830,0.7469,0.4183,2.3979,0.1940,0.6383,0.9601,0.0000,0.0000,5.7607,0.0143,1.0000,0.0019,0.4433,0.0000,0.0000,3.863E-2,5.0000,0.0104,0.1705,0.0000,0.0000,8.445E-4,10.0000,0.0282,0.0804,0.0000,0.0000,4.168E-5,12.0645,0.0388,0.0614,0.0000,0.0000,1.422E-5,41.4065,0.4784,0.0047,0.0968,0.5000,1.309E-4,17.6320,0.0860,0.0323,0.0323,0.0000,1.088E-6,29.3561,0.2471,0.0117,0.0323,0.5000,8.036E-4,18.3356,0.0963,0.0300,0.0323,0.0000,8.108E-7,18.3356,0.0963,0.0300,0.0323,0.0000,8.108E-7,5.7318,0.0125,0.1505,0.0000,0.0000,5.135E-4,17.8424,0.0876,0.0316,0.0323,0.0000,9.974E-7
Celastrina_neglecta,31,3.5367,4.6717,500,0.9948,4,2.2828,0.9720,0.0123,10031,4.4477,3.8242,4.6352,3.8830,3.4171,20.1678,3.6615,6.6234,3.8233,0.0428,0.1062,2.4930,6.3318,0.6871,24.1931,0.3347,0.2598,0.0000,0.9730,3.3462,0.0000,1.0143,0.1390,0.6366,0.0189,2.2469,0.6831,1.1494,0.8610,0.0000,0.0000,5.7088,0.0134,1.0000,0.0017,0.4366,0.0000,0.0000,3.635E-2,5.0000,0.0100,0.1615,0.0000,0.0000,6.803E-4,10.0000,0.0290,0.0722,0.0323,0.0000,2.714E-5,7.5733,0.0176,0.1041,0.0000,0.0000,1.173E-4,42.5406,0.5300,0.0040,0.0968,0.7500,1.586E-2,16.5384,0.0786,0.0323,0.0323,0.5000,5.993E-3,36.6512,0.3944,0.0061,0.0323,0.7500,2.41E-2,11.4237,0.0374,0.0596,0.0323,0.0000,1.263E-5,11.4237,0.0374,0.0596,0.0323,0.0000,1.263E-5,5.7162,0.0119,0.1421,0.0000,0.0000,4.073E-4,17.2158,0.0847,0.0300,0.0323,0.5000,5.189E-3
Celastrina_neglecta,31,3.4685,4.5028,500,0.9931,4,3.2728,0.9818,0.0130,10031,6.0851,8.0112,1.1874,0.2893,5.5282,19.5234,0.4779,3.5079,0.0000,0.0334,0.0029,3.6197,7.4582,0.5328,30.6051,0.0808,0.1467,0.0000,0.2426,5.1972,0.0000,1.3984,0.0476,0.4253,0.2982,1.7163,0.1414,0.3307,3.1123,0.0000,0.0000,5.7882,0.0146,1.0000,0.0019,0.4466,0.0000,0.0000,3.979E-2,5.0000,0.0107,0.1692,0.0000,0.0000,8.191E-4,10.0000,0.0298,0.0780,0.0323,0.0000,3.694E-5,8.8655,0.0241,0.0914,0.0000,0.0000,6.984E-5,39.8552,0.4913,0.0053,0.0968,0.2500,5.877E-7,11.5945,0.0387,0.0632,0.0645,0.2500,9.621E-4,29.6967,0.2821,0.0109,0.0645,0.2500,5.09E-6,11.5822,0.0387,0.0632,0.0323,0.0000,1.596E-5,11.5822,0.0387,0.0632,0.0323,0.0000,1.596E-5,5.7535,0.0128,0.1485,0.0000,0.0000,4.868E-4,17.2704,0.0849,0.0325,0.0645,0.2500,1.34E-4
Celastrina_neglecta,31,3.5412,4.6468,500,0.9948,4,2.1938,0.9715,0.0164,10031,4.6298,6.1032,2.2970,2.0149,4.9642,21.1425,0.1887,8.1875,0.9073,0.0030,0.0048,2.9539,9.6562,0.5701,13.8221,0.0531,0.3324,0.0000,1.3069,5.6835,0.0651,1.3600,0.0000,1.0035,0.3908,9.6796,0.2743,0.5797,1.8259,0.0000,0.0000,5.6974,0.0133,1.0000,0.0019,0.4063,0.0000,0.0000,2.726E-2,5.0000,0.0109,0.1533,0.0000,0.0000,5.526E-4,10.0000,0.0292,0.0711,0.0323,0.2500,1.36E-3,7.5178,0.0187,0.1021,0.0000,0.0000,1.086E-4,40.0774,0.5117,0.0048,0.0645,0.7500,1.9E-2,16.3468,0.0759,0.0323,0.0323,0.2500,1.315E-4,33.5923,0.3695,0.0074,0.0323,0.7500,2.918E-2,8.7815,0.0235,0.0846,0.0323,0.0000,5.132E-5,8.7815,0.0235,0.0846,0.0323,0.0000,5.132E-5,5.3166,0.0117,0.1452,0.0000,0.0000,4.439E-4,17.1024,0.0835,0.0297,0.0323,0.2500,1.025E-4
Celastrina_neglecta,31,3.6406,4.7692,500,0.9978,4,-0.2190,0.7854,0.1061,10031,3.5188,2.5059,1.4983,1.6468,4.8970,23.4246,1.4797,2.6676,1.4421,0.5631,0.0186,2.3035,8.0163,0.3775,29.3456,0.4491,0.2307,0.0000,2.8349,4.4348,0.0000,1.8711,0.0000,0.3426,0.0290,3.0521,0.1145,2.0586,0.8772,0.0000,0.0000,5.6144,0.0123,1.0000,0.0018,0.3375,0.0000,0.2500,1.148E-1,5.0000,0.0126,0.1181,0.0000,0.7500,3.952E-1,10.0000,0.0365,0.0548,0.0000,0.7500,2.019E-1,32.0217,0.3275,0.0077,0.0000,0.7500,3.035E-2,39.5721,0.4916,0.0047,0.0968,0.7500,1.861E-2,32.0217,0.3275,0.0077,0.0000,0.7500,3.035E-2,32.0217,0.3275,0.0077,0.0000,0.7500,3.035E-2,1.7951,0.0033,0.2500,0.0000,0.2500,5.08E-2,3.7468,0.0085,0.1511,0.0000,0.2500,1.224E-2,4.5286,0.0108,0.1292,0.0000,0.7500,4.25E-1,16.2145,0.0965,0.0273,0.0000,0.7500,1.049E-1
Celastrina_neglecta,32,3.5374,4.6093,500,0.9941,3,2.2394,0.7783,0.1807,10032,6.6039,4.6117,2.5898,0.0450,5.6750,15.2802,0.4195,3.9944,2.9331,0.0075,0.0000,4.1638,8.0002,0.6380,24.9170,0.0000,0.3141,0.0000,0.3822,4.4707,0.0000,1.0685,8.0895,2.0676,0.2693,1.5205,0.1351,0.6260,1.1775,0.0000,0.0000,5.7303,0.0138,1.0000,0.0022,0.3670,0.0000,0.3333,3.052E-1,5.0000,0.0130,0.1417,0.0000,0.3333,5.458E-2,10.0000,0.0325,0.0684,0.0312,0.3333,1.339E-2,5.9314,0.0160,0.1223,0.0000,0.3333,4.122E-2,38.4193,0.4721,0.0056,0.0938,0.3333,9.313E-5,16.5873,0.0844,0.0313,0.0312,0.3333,2.878E-3,36.2322,0.3926,0.0066,0.0312,0.3333,1.293E-4,1.2698,0.0027,0.3333,0.0000,0.3333,2.593E-1,82.0182,0.8838,0.0008,0.7500,0.3333,1.907E-6,4.7622,0.0121,0.1475,0.0000,0.3333,5.887E-2,16.7695,0.0871,0.0307,0.0312,0.3333,2.77E-3
Celastrina_neglecta,32,3.4852,4.5106,500,0.9919,3,1.7660,0.8917,0.0849,10032,3.3317,4.0658,4.9072,2.5597,4.9310,21.5003,0.3194,11.6709,3.8241,0.8480,0.0000,3.3683,9.5384,0.3761,17.3982,0.0461,0.1117,0.0000,2.2656,2.4515,0.0365,2.4318,0.0000,0.7756,0.1574,1.7511,0.1435,0.6520,0.5379,0.0000,0.0000,5.7727,0.0145,1.0000,0.0021,0.3981,0.0000,0.0000,6.31E-2,5.0000,0.0122,0.1551,0.0312,0.3333,6.471E-2,10.0000,0.0320,0.0751,0.0312,0.3333,1.606E-2,3.9011,0.0090,0.1885,0.0000,0.3333,9.32E-2,38.0157,0.4213,0.0062,0.0938,0.3333,1.141E-4,17.8657,0.0970,0.0313,0.0312,0.3333,2.878E-3,32.5415,0.3069,0.0093,0.0312,0.3333,2.562E-4,1.6936,0.0034,0.3162,0.0000,0.3333,2.367E-1,1.6925,0.0034,0.3162,0.0000,0.0000,3.161E-2,3.9011,0.0090,0.1885,0.0000,0.3333,9.32E-2,17.6331,0.0958,0.0320,0.0312,0.3333,3.006E-3
Celastrina_neglecta,32,3.4538,4.5592,500,0.9941,3,3.4719,0.9807,0.0146,10032,7.5136,3.1593,1.3036,0.2515,4.4244,20.2780,5.1436,8.5403,3.5385,1.2619,0.0184,4.5126,8.2253,0.7005,15.0596,0.0379,0.1296,0.0000,0.8672,3.2407,0.0000,1.0598,5.5447,0.6583,0.0589,2.5975,0.0591,0.7930,1.0221,0.0000,0.0000,5.7921,0.0147,1.0000,0.0018,0.4356,0.0000,0.0000,8.266E-2,5.0000,0.0111,0.1586,0.0000,0.0000,3.989E-3,10.0000,0.0308,0.0716,0.0312,0.0000,3.666E-4,6.6482,0.0167,0.1194,0.0000,0.0000,1.703E-3,41.3958,0.5248,0.0052,0.0938,0.3333,8.032E-5,16.6511,0.0904,0.0313,0.0312,0.3333,2.878E-3,30.9876,0.3226,0.0101,0.0312,0.3333,3.02E-4,11.8940,0.0429,0.0551,0.0312,0.0000,1.675E-4,11.8940,0.0429,0.0551,0.0312,0.0000,1.675E-4,5.5963,0.0129,0.1425,0.0000,0.0000,2.896E-3,16.2666,0.0856,0.0326,0.0312,0.3333,3.118E-3
Celastrina_neglecta,32,3.4961,4.4686,500,0.9922,3,3.6171,0.9749,0.0199,10032,4.2198,5.9781,2.4539,0.6018,3.5313,15.8259,1.4071,3.6690,5.1719,0.0008,0.0000,2.8626,10.5158,0.6456,29.9572,0.0000,0.3201,0.0000,0.8780,2.8338,0.0000,1.7268,0.0000,0.4571,0.3925,4.2704,0.1968,0.2138,1.8698,0.0000,0.0000,5.7414,0.0138,1.0000,0.0018,0.4370,0.0000,0.0000,8.345E-2,5.0000,0.0101,0.1604,0.0000,0.0000,4.126E-3,10.0000,0.0300,0.0714,0.0625,0.3333,1.455E-2,7.2147,0.0172,0.1087,0.0000,0.0000,1.283E-3,36.3133,0.4280,0.0063,0.0938,0.3333,1.178E-4,10.9584,0.0353,0.0625,0.0625,0.3333,1.123E-2,26.3956,0.2418,0.0130,0.0625,0.3333,4.994E-4,9.7580,0.0289,0.0738,0.0312,0.0000,4.014E-4,9.7580,0.0289,0.0738,0.0312,0.0000,4.014E-4,5.7706,0.0123,0.1393,0.0000,0.0000,2.7E-3,16.7371,0.0847,0.0310,0.0625,0.3333,2.824E-3
Celastrina_neglecta,32,3.4962,4.5340,500,0.9941,3,2.3664,0.9477,0.0398,10032,6.3783,3.8883,3.5480,0.0731,6.2493,21.5156,0.4674,6.6941,1.3090,0.0315,0.0215,4.3064,9.5004,0.2502,24.6410,0.0090,0.3213,0.0000,0.3476,4.8871,0.0026,1.3753,0.0000,0.4265,0.1138,1.6851,0.2168,0.7364,1.0044,0.0000,0.0000,5.7625,0.0142,1.0000,0.0018,0.4544,0.0000,0.0000,9.385E-2,5.0000,0.0101,0.1726,0.0000,0.0000,5.146E-3,10.0000,0.0275,0.0792,0.0312,0.3333,1.784E-2,7.3176,0.0173,0.1173,0.0000,0.3333,3.807E-2,37.7872,0.4447,0.0058,0.0938,0.3333,9.989E-5,17.4548,0.0839,0.0313,0.0312,0.3333,2.878E-3,33.5138,0.3605,0.0078,0.0312,0.3333,1.804E-4,5.8057,0.0123,0.1498,0.0000,0.0000,3.363E-3,5.8057,0.0123,0.1498,0.0000,0.0000,3.363E-3,5.8057,0.0123,0.1498,0.0000,0.0000,3.363E-3,17.3415,0.0809,0.0317,0.0312,0.3333,2.951E-3
