Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Cicurina_breviaria,39,4.8157,5.3613,500,0.9981,5,5.1989,0.9988,0.0006,10039,10.9540,6.4352,3.2670,2.2051,3.3568,3.5068,6.0733,1.3195,0.0000,0.0000,0.0011,1.8289,7.0443,0.0000,5.3539,6.5307,0.0028,0.0000,0.0000,0.0000,0.0098,1.4894,0.3869,0.4123,0.0406,31.0345,8.0393,0.0284,0.0155,0.6640,0.0000,4.4182,0.0036,1.0000,0.0008,0.1395,0.0000,0.0000,5.275E-5,5.0000,0.0117,0.0195,0.0000,0.0000,2.837E-9,10.0000,0.0837,0.0056,0.0000,0.0000,5.401E-12,14.3401,0.3441,0.0038,0.0000,0.0000,7.771E-13,21.6731,0.6033,0.0034,0.0256,0.2000,6.561E-10,14.3401,0.3441,0.0038,0.0000,0.0000,7.771E-13,14.3401,0.3441,0.0038,0.0000,0.0000,7.771E-13,14.3401,0.3441,0.0038,0.0000,0.0000,7.771E-13,14.3401,0.3441,0.0038,0.0000,0.0000,7.771E-13,2.7192,0.0033,0.0511,0.0000,0.0000,3.484E-7,8.0052,0.0409,0.0082,0.0000,0.0000,3.636E-11
Cicurina_breviaria,39,4.8161,5.3673,500,0.9981,5,5.4101,0.9976,0.0005,10039,4.9983,12.7858,0.8074,4.0664,3.3540,5.3598,3.6489,2.1247,0.0000,3.1432,0.1199,2.7620,7.7677,0.0000,4.5204,6.1087,0.1424,0.0000,0.0000,0.0000,0.0025,2.8151,0.0000,0.3716,0.0000,27.5260,7.5076,0.0504,0.0091,0.0083,0.0000,4.4152,0.0036,1.0000,0.0008,0.1301,0.0000,0.0000,3.726E-5,5.0000,0.0132,0.0179,0.0000,0.0000,1.853E-9,10.0000,0.0926,0.0056,0.0000,0.0000,5.401E-12,16.5078,0.5224,0.0037,0.0000,0.0000,6.801E-13,24.0381,0.6089,0.0033,0.0513,0.0000,3.838E-13,16.5078,0.5224,0.0037,0.0000,0.0000,6.801E-13,16.5078,0.5224,0.0037,0.0000,0.0000,6.801E-13,24.0381,0.6089,0.0033,0.0513,0.0000,3.838E-13,24.0381,0.6089,0.0033,0.0513,0.0000,3.838E-13,2.5790,0.0033,0.0497,0.0000,0.0000,3.034E-7,7.8226,0.0463,0.0082,0.0000,0.0000,3.636E-11
Cicurina_breviaria,39,4.8154,5.3719,500,0.9981,5,5.3934,0.9984,0.0006,10039,3.3547,10.9370,4.0348,0.1081,4.1774,2.9652,7.6346,1.3911,0.0000,2.9123,0.1450,3.5919,7.4715,0.1685,4.1167,6.2860,0.1308,0.0000,0.0000,0.0000,0.0078,1.5370,1.3107,0.4156,0.1248,29.2131,7.9030,0.0316,0.0202,0.0000,0.0105,4.4011,0.0035,1.0000,0.0008,0.1259,0.0000,0.0000,3.164E-5,5.0000,0.0123,0.0176,0.0000,0.0000,1.704E-9,10.0000,0.1012,0.0054,0.0000,0.0000,4.503E-12,16.2844,0.5288,0.0037,0.0000,0.0000,6.801E-13,17.9598,0.5774,0.0037,0.0513,0.0000,6.801E-13,16.2844,0.5288,0.0037,0.0000,0.0000,6.801E-13,16.2844,0.5288,0.0037,0.0000,0.0000,6.801E-13,16.2844,0.5288,0.0037,0.0000,0.0000,6.801E-13,16.2844,0.5288,0.0037,0.0000,0.0000,6.801E-13,2.4993,0.0032,0.0511,0.0000,0.0000,3.484E-7,7.6750,0.0414,0.0081,0.0000,0.0000,3.42E-11
Cicurina_breviaria,39,4.8221,5.3673,500,0.9981,5,5.3413,0.9974,0.0006,10039,12.0998,8.8498,0.0260,0.2111,3.5063,4.5740,2.4066,2.2354,0.0000,2.7890,0.0112,3.9185,8.1617,0.0000,3.8808,6.1697,0.1055,0.0000,0.0000,0.0000,0.0061,1.0390,0.2029,0.3896,0.1028,31.8993,7.2896,0.0234,0.0917,0.0100,0.0000,4.4172,0.0036,1.0000,0.0008,0.1333,0.0000,0.0000,4.206E-5,5.0000,0.0114,0.0193,0.0000,0.0000,2.695E-9,10.0000,0.0944,0.0055,0.0000,0.0000,4.936E-12,16.5089,0.5323,0.0037,0.0000,0.0000,6.801E-13,21.5080,0.5800,0.0034,0.0513,0.0000,4.456E-13,16.5089,0.5323,0.0037,0.0000,0.0000,6.801E-13,16.5089,0.5323,0.0037,0.0000,0.0000,6.801E-13,21.5080,0.5800,0.0034,0.0513,0.0000,4.456E-13,21.5080,0.5800,0.0034,0.0513,0.0000,4.456E-13,2.5962,0.0033,0.0523,0.0000,0.0000,3.912E-7,7.8846,0.0411,0.0082,0.0000,0.0000,3.636E-11
Cicurina_breviaria,40,4.8021,5.3405,500,0.9980,4,5.3140,0.9972,0.0005,10040,6.2690,10.6890,0.0164,4.3972,6.1160,4.4810,2.3055,0.8005,0.0000,2.6253,0.0072,2.5440,6.8211,0.0051,4.1387,6.7107,0.1045,0.0000,0.0000,0.0000,0.0113,1.3815,0.0000,0.4049,0.0010,32.1544,7.5658,0.0922,0.2037,0.1539,0.0000,4.4349,0.0036,1.0000,0.0009,0.1241,0.0000,0.0000,2.372E-4,5.0000,0.0142,0.0178,0.0000,0.0000,1.01E-7,10.0000,0.0972,0.0057,0.0000,0.0000,1.039E-9,15.1831,0.5221,0.0040,0.0000,0.0000,2.519E-10,18.0949,0.5769,0.0038,0.0500,0.0000,2.052E-10,15.1831,0.5221,0.0040,0.0000,0.0000,2.519E-10,15.1831,0.5221,0.0040,0.0000,0.0000,2.519E-10,18.0949,0.5769,0.0038,0.0500,0.0000,2.052E-10,18.0949,0.5769,0.0038,0.0500,0.0000,2.052E-10,2.4784,0.0033,0.0508,0.0000,0.0000,6.658E-6,7.7841,0.0463,0.0084,0.0000,0.0000,4.9E-9
Cicurina_breviaria,40,4.8281,5.3495,500,0.9980,4,5.0349,0.9972,0.0008,10040,5.2801,11.6686,0.8465,2.5905,2.9316,4.8759,5.3769,2.7214,0.0000,0.8775,0.0021,1.0601,6.6173,0.0387,4.3059,6.6643,0.1244,0.0000,0.0000,0.1110,0.0018,1.3327,0.2812,0.4004,0.1079,32.7002,8.3517,0.0194,0.0077,0.7040,0.0000,4.4023,0.0035,1.0000,0.0008,0.1398,0.0000,0.0000,3.824E-4,5.0000,0.0111,0.0182,0.0000,0.0000,1.104E-7,10.0000,0.1082,0.0052,0.0000,0.0000,7.196E-10,13.3596,0.3467,0.0040,0.0000,0.0000,2.519E-10,20.3689,0.6388,0.0036,0.1000,0.5000,7.677E-5,13.3596,0.3467,0.0040,0.0000,0.0000,2.519E-10,13.3596,0.3467,0.0040,0.0000,0.0000,2.519E-10,13.3596,0.3467,0.0040,0.0000,0.0000,2.519E-10,13.3596,0.3467,0.0040,0.0000,0.0000,2.519E-10,2.6882,0.0032,0.0512,0.0000,0.0000,6.869E-6,7.6078,0.0421,0.0081,0.0000,0.0000,4.236E-9
Cicurina_breviaria,40,4.8015,5.3423,500,0.9980,4,5.3794,0.9973,0.0005,10040,2.6249,12.3036,2.2520,2.6571,4.5890,7.9230,2.0594,0.9744,0.0000,1.5745,0.0086,2.5715,9.2775,0.0113,4.8433,6.3965,0.1099,0.0000,0.0000,0.0000,0.0109,1.5979,0.0323,0.4177,0.0060,29.8034,7.6529,0.0429,0.1142,0.1455,0.0000,4.4361,0.0036,1.0000,0.0008,0.1271,0.0000,0.0000,2.609E-4,5.0000,0.0135,0.0182,0.0000,0.0000,1.104E-7,10.0000,0.0940,0.0057,0.0000,0.0000,1.039E-9,15.0718,0.5189,0.0040,0.0000,0.0000,2.519E-10,23.6067,0.6051,0.0034,0.0500,0.0000,1.315E-10,15.0718,0.5189,0.0040,0.0000,0.0000,2.519E-10,15.0718,0.5189,0.0040,0.0000,0.0000,2.519E-10,23.6067,0.6051,0.0034,0.0500,0.0000,1.315E-10,23.6067,0.6051,0.0034,0.0500,0.0000,1.315E-10,2.5358,0.0033,0.0502,0.0000,0.0000,6.35E-6,7.8571,0.0452,0.0084,0.0000,0.0000,4.9E-9
Cicurina_breviaria,40,4.8052,5.3532,500,0.9980,4,5.3911,0.9976,0.0006,10040,2.3142,15.0692,4.7532,0.3592,4.2941,6.0703,4.9549,1.7581,0.0011,3.3640,0.0045,2.3771,7.5959,0.0000,3.6108,6.1238,0.1242,0.0000,0.0000,0.0000,0.0033,2.4195,0.0000,0.3449,0.0499,26.5982,7.6116,0.0292,0.1602,0.0082,0.0000,4.4064,0.0036,1.0000,0.0008,0.1224,0.0000,0.0000,2.245E-4,5.0000,0.0141,0.0164,0.0000,0.0000,7.295E-8,10.0000,0.1257,0.0053,0.0000,0.0000,7.765E-10,16.0258,0.5327,0.0038,0.0000,0.0000,2.052E-10,23.6182,0.6087,0.0034,0.0500,0.0000,1.315E-10,16.0258,0.5327,0.0038,0.0000,0.0000,2.052E-10,16.0258,0.5327,0.0038,0.0000,0.0000,2.052E-10,23.6182,0.6087,0.0034,0.0500,0.0000,1.315E-10,23.6182,0.6087,0.0034,0.0500,0.0000,1.315E-10,2.4388,0.0032,0.0490,0.0000,0.0000,5.767E-6,7.4690,0.0436,0.0081,0.0000,0.0000,4.236E-9
Cicurina_breviaria,40,4.7949,5.3402,500,0.9980,4,5.4240,0.9986,0.0005,10040,7.1578,11.3853,1.5875,0.5580,2.8419,4.0828,5.7153,1.8881,0.0000,1.5852,0.0066,1.4277,7.7249,0.0000,5.3907,6.1454,0.1132,0.0335,0.0000,0.0000,0.0147,1.3628,0.1945,0.4700,0.0139,30.0725,7.7883,0.0683,0.0798,2.2914,0.0000,4.4343,0.0036,1.0000,0.0009,0.1232,0.0000,0.0000,2.304E-4,5.0000,0.0140,0.0178,0.0000,0.0000,1.01E-7,10.0000,0.0942,0.0057,0.0000,0.0000,1.039E-9,16.4068,0.5152,0.0038,0.0000,0.0000,2.052E-10,23.7119,0.6062,0.0034,0.0500,0.0000,1.315E-10,16.4068,0.5152,0.0038,0.0000,0.0000,2.052E-10,16.4068,0.5152,0.0038,0.0000,0.0000,2.052E-10,36.7204,0.6494,0.0029,0.2750,0.0000,6.961E-11,36.7204,0.6494,0.0029,0.2750,0.0000,6.961E-11,2.4466,0.0033,0.0515,0.0000,0.0000,7.031E-6,7.7701,0.0457,0.0084,0.0000,0.0000,4.9E-9
Cicurina_breviaria,40,4.7949,5.3402,500,0.9980,4,5.4240,0.9986,0.0005,10040,7.1578,11.3853,1.5875,0.5580,2.8419,4.0828,5.7153,1.8881,0.0000,1.5852,0.0066,1.4277,7.7249,0.0000,5.3907,6.1454,0.1132,0.0335,0.0000,0.0000,0.0147,1.3628,0.1945,0.4700,0.0139,30.0725,7.7883,0.0683,0.0798,2.2914,0.0000,4.4343,0.0036,1.0000,0.0009,0.1232,0.0000,0.0000,2.304E-4,5.0000,0.0140,0.0178,0.0000,0.0000,1.01E-7,10.0000,0.0942,0.0057,0.0000,0.0000,1.039E-9,16.4068,0.5152,0.0038,0.0000,0.0000,2.052E-10,23.7119,0.6062,0.0034,0.0500,0.0000,1.315E-10,16.4068,0.5152,0.0038,0.0000,0.0000,2.052E-10,16.4068,0.5152,0.0038,0.0000,0.0000,2.052E-10,36.7204,0.6494,0.0029,0.2750,0.0000,6.961E-11,36.7204,0.6494,0.0029,0.2750,0.0000,6.961E-11,2.4466,0.0033,0.0515,0.0000,0.0000,7.031E-6,7.7701,0.0457,0.0084,0.0000,0.0000,4.9E-9
