Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Cisseps_fulvicollis,34,4.1692,4.9867,500,0.9969,4,5.2052,0.9983,0.0005,10034,6.9319,5.1089,1.8295,2.7551,2.8583,10.2443,11.0007,0.0000,0.0000,0.1664,0.3136,4.0175,17.1307,0.0175,16.8159,0.2821,0.2070,1.0374,1.4247,0.0049,0.0108,0.0872,13.4572,0.0000,0.0706,0.7150,0.9730,0.0000,2.3993,0.1153,0.0251,5.0571,0.0067,1.0000,0.0010,0.2900,0.0000,0.0000,7.074E-3,5.0000,0.0087,0.0719,0.0000,0.0000,2.666E-5,10.0000,0.0346,0.0258,0.0294,0.0000,4.439E-7,8.0519,0.0218,0.0367,0.0000,0.0000,1.809E-6,31.3483,0.4324,0.0036,0.0882,0.0000,1.657E-10,9.2681,0.0289,0.0294,0.0294,0.0000,7.471E-7,8.0519,0.0218,0.0367,0.0000,0.0000,1.809E-6,43.0620,0.6778,0.0023,0.2647,0.0000,2.761E-11,43.0620,0.6778,0.0023,0.2647,0.0000,2.761E-11,4.1856,0.0062,0.0890,0.0000,0.0000,6.273E-5,13.4216,0.0737,0.0156,0.0294,0.0000,5.994E-8
Cisseps_fulvicollis,34,4.1597,4.9943,500,0.9971,4,5.5004,0.9992,0.0002,10034,4.5365,6.4216,4.1674,0.5896,2.9537,9.0226,13.7759,0.0000,0.1212,1.9745,0.5815,4.5347,14.2871,0.0574,18.4840,0.6816,0.1554,0.7138,0.1296,0.0000,0.0079,3.0450,8.1536,0.0378,0.2763,0.4424,0.8502,0.0000,2.6871,1.2907,0.0209,5.0736,0.0068,1.0000,0.0010,0.2993,0.0000,0.0000,8.023E-3,5.0000,0.0087,0.0732,0.0000,0.0000,2.863E-5,10.0000,0.0330,0.0261,0.0294,0.0000,4.648E-7,9.0951,0.0273,0.0307,0.0000,0.0000,8.878E-7,33.0558,0.4623,0.0033,0.0882,0.0000,1.17E-10,9.3468,0.0286,0.0294,0.0294,0.0000,7.471E-7,9.0951,0.0273,0.0307,0.0000,0.0000,8.878E-7,68.2914,0.7805,0.0013,0.6176,0.0000,2.818E-12,68.2914,0.7805,0.0013,0.6176,0.0000,2.818E-12,4.2704,0.0063,0.0888,0.0000,0.0000,6.217E-5,13.2604,0.0706,0.0158,0.0588,0.0000,6.305E-8
Cisseps_fulvicollis,34,4.2475,5.0707,500,0.9970,4,3.2832,0.9927,0.0027,10034,5.8548,1.4266,0.2178,2.2912,2.7620,18.9729,15.2380,0.0801,0.9218,0.1840,0.3756,5.6566,13.3277,0.0300,13.6091,0.9439,0.0000,1.3546,0.0000,0.0000,0.0086,0.0407,3.1490,0.0096,0.2161,0.1780,1.0943,0.0039,11.2360,0.8125,0.0046,4.9825,0.0061,1.0000,0.0008,0.3191,0.0000,0.0000,1.037E-2,5.0000,0.0069,0.0789,0.0000,0.0000,3.882E-5,10.0000,0.0282,0.0267,0.0294,0.0000,5.089E-7,8.2586,0.0186,0.0375,0.0000,0.0000,1.972E-6,30.2641,0.4783,0.0031,0.0882,0.7500,1.23E-2,9.5125,0.0251,0.0294,0.0294,0.0000,7.471E-7,8.2586,0.0186,0.0375,0.0000,0.0000,1.972E-6,14.4096,0.0772,0.0130,0.0294,0.0000,2.818E-8,14.4096,0.0772,0.0130,0.0294,0.0000,2.818E-8,4.4854,0.0058,0.0907,0.0000,0.0000,6.765E-5,13.6586,0.0650,0.0145,0.0294,0.0000,4.361E-8
Cisseps_fulvicollis,35,4.4042,5.1813,500,0.9981,3,0.7149,0.8050,0.1553,10035,11.3005,1.7603,3.0469,4.1444,1.2244,13.7409,14.3330,1.7080,0.1102,0.3811,0.1108,2.3663,16.9343,0.0000,14.7639,0.4517,0.0686,1.1220,0.0795,0.0000,0.0000,0.5967,7.6928,0.1060,0.0528,0.6308,0.7077,0.0000,2.5504,0.0161,0.0000,4.8233,0.0054,1.0000,0.0012,0.1720,0.0000,0.3333,7.857E-2,5.0000,0.0120,0.0399,0.0000,0.3333,4.64E-3,10.0000,0.0525,0.0150,0.0000,0.3333,6.725E-4,15.2530,0.1499,0.0084,0.0000,0.3333,2.09E-4,29.8847,0.4914,0.0033,0.0857,0.6667,9.833E-3,15.2530,0.1499,0.0084,0.0000,0.3333,2.09E-4,15.2530,0.1499,0.0084,0.0000,0.3333,2.09E-4,0.2302,0.0003,0.3333,0.0000,0.3333,2.593E-1,16.5728,0.1818,0.0075,0.0286,0.3333,1.667E-4,2.9350,0.0049,0.0732,0.0000,0.3333,1.531E-2,11.5037,0.0741,0.0124,0.0000,0.3333,4.543E-4
Cisseps_fulvicollis,34,4.2875,5.0745,500,0.9975,4,2.1842,0.7936,0.1772,10034,4.6137,4.2821,2.4709,2.2323,2.4439,17.4132,12.6528,0.0000,0.0000,4.6656,0.3112,3.9779,12.4231,0.0257,15.3231,0.6035,0.1331,0.5382,0.0273,0.0158,0.0000,0.0883,10.9787,0.0288,0.1678,0.3287,0.5990,0.0000,2.7427,0.8507,0.0621,4.9378,0.0060,1.0000,0.0010,0.2242,0.0000,0.2500,3.752E-2,5.0000,0.0106,0.0522,0.0000,0.2500,5.474E-4,10.0000,0.0419,0.0201,0.0294,0.2500,3.214E-5,9.0236,0.0340,0.0236,0.0000,0.2500,5.178E-5,30.6127,0.4448,0.0033,0.0882,0.5000,6.461E-5,9.0492,0.0344,0.0236,0.0294,0.2500,5.178E-5,9.0236,0.0340,0.0236,0.0000,0.2500,5.178E-5,0.8323,0.0008,0.2500,0.0000,0.2500,5.081E-2,24.5506,0.2782,0.0049,0.0588,0.2500,4.641E-7,3.4906,0.0055,0.0801,0.0000,0.2500,1.934E-3,12.7753,0.0714,0.0139,0.0294,0.2500,1.052E-5
Cisseps_fulvicollis,34,4.2343,5.0467,500,0.9974,4,4.2501,0.9944,0.0035,10034,7.2608,4.2189,1.1195,1.3694,2.1214,13.0500,15.1735,1.3515,0.2155,3.0161,0.2995,5.3130,11.5135,0.0141,14.5404,0.5083,0.0748,0.6695,0.0987,0.0000,0.0000,0.0636,13.3798,0.0465,0.1755,0.3173,0.6664,0.0784,3.0042,0.2211,0.1186,4.9981,0.0063,1.0000,0.0009,0.2782,0.0000,0.0000,5.986E-3,5.0000,0.0085,0.0652,0.0000,0.0000,1.805E-5,10.0000,0.0368,0.0226,0.0294,0.0000,2.619E-7,9.8812,0.0358,0.0230,0.0000,0.0000,2.809E-7,33.3718,0.6058,0.0032,0.0882,0.5000,6.077E-5,9.9063,0.0358,0.0230,0.0294,0.0000,2.809E-7,9.8812,0.0358,0.0230,0.0000,0.0000,2.809E-7,11.6223,0.0561,0.0175,0.0294,0.0000,9.466E-8,11.6223,0.0561,0.0175,0.0294,0.0000,9.466E-8,4.0711,0.0059,0.0846,0.0000,0.0000,5.125E-5,12.9481,0.0728,0.0147,0.0294,0.2500,1.269E-5
Cisseps_fulvicollis,34,4.1696,4.9933,500,0.9971,4,4.5941,0.9963,0.0017,10034,7.2541,1.7062,4.2370,2.5224,1.3973,15.4296,8.7380,0.0000,0.0034,3.4681,0.5654,2.8409,19.5023,0.0393,25.5171,0.1816,0.0794,0.4682,1.4683,0.0000,0.0122,0.0198,0.8648,0.0129,0.0847,0.0308,1.1634,0.0000,1.8682,0.5247,0.0000,5.0515,0.0066,1.0000,0.0009,0.3266,0.0000,0.0000,1.138E-2,5.0000,0.0071,0.0818,0.0000,0.0000,4.482E-5,10.0000,0.0301,0.0273,0.0294,0.0000,5.56E-7,9.6945,0.0288,0.0289,0.0000,0.0000,6.977E-7,31.2858,0.4704,0.0034,0.0882,0.2500,1.552E-7,9.6945,0.0288,0.0289,0.0294,0.0000,6.977E-7,9.6945,0.0288,0.0289,0.0000,0.0000,6.977E-7,17.6228,0.1394,0.0096,0.0588,0.0000,8.379E-9,17.6228,0.1394,0.0096,0.0588,0.0000,8.379E-9,4.6311,0.0062,0.0905,0.0000,0.0000,6.706E-5,13.4560,0.0685,0.0155,0.0588,0.0000,5.843E-8
Cisseps_fulvicollis,34,4.1456,4.9801,500,0.9970,4,5.4025,0.9986,0.0004,10034,3.8400,4.3508,1.6635,3.8720,2.4205,11.8453,11.8343,0.0000,0.2919,0.0386,0.3105,3.2644,19.1345,0.0262,22.0679,0.3175,0.1510,0.5786,0.1968,0.0000,0.0063,2.7525,6.5344,0.0512,0.2521,0.1906,1.0357,0.0000,1.9041,1.0295,0.0391,5.0850,0.0069,1.0000,0.0009,0.3138,0.0000,0.0000,9.701E-3,5.0000,0.0082,0.0767,0.0000,0.0000,3.468E-5,10.0000,0.0322,0.0274,0.0294,0.0000,5.642E-7,9.0454,0.0258,0.0327,0.0000,0.0000,1.142E-6,32.1557,0.4654,0.0036,0.0882,0.0000,1.657E-10,9.6226,0.0297,0.0294,0.0294,0.0000,7.471E-7,9.0454,0.0258,0.0327,0.0000,0.0000,1.142E-6,46.1144,0.7348,0.0022,0.2647,0.0000,2.311E-11,46.1144,0.7348,0.0022,0.2647,0.0000,2.311E-11,4.4174,0.0064,0.0897,0.0000,0.0000,6.473E-5,13.4476,0.0698,0.0160,0.0294,0.0000,6.628E-8
Cisseps_fulvicollis,34,4.2321,5.0254,500,0.9973,4,3.2416,0.9764,0.0179,10034,6.9804,5.2641,1.1857,1.6732,2.8099,14.3389,10.3439,4.9780,0.0128,2.9379,0.1122,2.6215,19.3407,0.0414,14.0035,0.1475,0.1516,0.8186,0.0662,0.0000,0.0377,1.7392,0.4231,0.0146,0.1686,0.4229,1.2109,0.0000,6.4456,1.6186,0.0908,4.9983,0.0063,1.0000,0.0009,0.3066,0.0000,0.0000,8.832E-3,5.0000,0.0075,0.0764,0.0000,0.2500,1.684E-3,10.0000,0.0305,0.0258,0.0000,0.2500,6.746E-5,10.3769,0.0335,0.0241,0.0000,0.2500,5.51E-5,29.6365,0.4132,0.0035,0.0882,0.5000,7.266E-5,10.4003,0.0335,0.0241,0.0294,0.2500,5.51E-5,10.3769,0.0335,0.0241,0.0000,0.2500,5.51E-5,4.5649,0.0064,0.0857,0.0000,0.0000,5.396E-5,4.5649,0.0064,0.0857,0.0000,0.0000,5.396E-5,4.3197,0.0059,0.0916,0.0000,0.0000,7.037E-5,13.4621,0.0636,0.0147,0.0294,0.2500,1.269E-5
Cisseps_fulvicollis,35,4.4845,5.2231,500,0.9980,3,-0.8979,0.7585,0.1787,10035,8.2246,4.0869,1.8452,4.0268,4.0886,10.0800,14.0527,0.0012,0.2869,0.3053,0.2051,2.7923,13.2239,0.0000,14.5003,0.7133,0.0000,0.3690,0.3639,0.0000,0.0000,2.7916,0.3936,0.1216,0.3212,0.1345,0.9863,0.3136,10.5064,5.2180,0.0468,4.7467,0.0050,1.0000,0.0015,0.1211,0.0000,0.3333,4.043E-2,5.0000,0.0163,0.0313,0.0000,0.6667,9.096E-2,10.0000,0.0553,0.0132,0.0000,0.6667,3.895E-2,10.9951,0.0716,0.0115,0.0000,0.6667,3.399E-2,31.0072,0.5887,0.0031,0.0857,0.6667,9.239E-3,10.9951,0.0716,0.0115,0.0000,0.6667,3.399E-2,10.9951,0.0716,0.0115,0.0000,0.6667,3.399E-2,0.1078,0.0001,0.3333,0.0000,0.3333,2.593E-1,3.5622,0.0092,0.0445,0.0000,0.3333,5.776E-3,2.1716,0.0046,0.0693,0.0000,0.3333,1.373E-2,10.9951,0.0716,0.0115,0.0000,0.6667,3.399E-2
