Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Cladura_flavoferruginea,100,4.0734,4.4694,500,0.9950,12,4.4217,0.9945,0.0011,10100,2.1668,1.4344,4.7757,0.3754,1.5934,4.1991,0.0418,0.0440,0.0000,2.6891,0.0028,0.4095,17.2825,0.1960,0.0402,3.5753,0.0439,3.0405,1.4573,0.1933,6.3202,12.3683,0.0000,0.4101,3.9850,4.9916,6.2705,0.1119,3.1108,18.8706,0.0000,5.1995,0.0080,1.0000,0.0016,0.1514,0.0000,0.0000,1.449E-10,5.0000,0.0249,0.0248,0.0000,0.0000,5.29E-20,10.0000,0.1757,0.0110,0.0000,0.0000,3.105E-24,14.9532,0.5439,0.0094,0.0000,0.0000,4.795E-25,18.6138,0.6136,0.0090,0.0900,0.3333,2.082E-14,14.9532,0.5439,0.0094,0.0000,0.0000,4.795E-25,14.9532,0.5439,0.0094,0.0000,0.0000,4.795E-25,14.9532,0.5439,0.0094,0.0000,0.0000,4.795E-25,14.9532,0.5439,0.0094,0.0000,0.0000,4.795E-25,2.8103,0.0071,0.0556,0.0000,0.0000,8.81E-16,6.3699,0.0471,0.0179,0.0000,0.0000,1.097E-21
Cladura_flavoferruginea,100,4.0518,4.4634,500,0.9950,12,4.5004,0.9955,0.0009,10100,2.8481,3.0589,2.9268,0.1368,2.0236,4.3612,0.1610,0.0154,0.0000,3.7296,0.0304,0.6028,11.1959,0.6770,0.0769,3.6515,0.1249,1.6287,0.2607,0.0303,6.2630,15.1502,0.0000,0.4110,3.1280,5.8461,10.3768,2.1968,2.7684,16.3189,0.0000,5.2217,0.0082,1.0000,0.0015,0.1666,0.0000,0.0000,4.583E-10,5.0000,0.0223,0.0267,0.0000,0.0000,1.332E-19,10.0000,0.1586,0.0112,0.0000,0.0000,3.847E-24,12.8339,0.5826,0.0099,0.0000,0.0000,8.874E-25,17.4580,0.5926,0.0093,0.0600,0.0000,4.224E-25,12.8339,0.5826,0.0099,0.0000,0.0000,8.874E-25,12.8339,0.5826,0.0099,0.0000,0.0000,8.874E-25,34.1168,0.6125,0.0072,0.1300,0.0000,2.032E-26,34.1168,0.6125,0.0072,0.1300,0.0000,2.032E-26,2.9423,0.0073,0.0579,0.0000,0.0000,1.426E-15,6.5393,0.0484,0.0183,0.0000,0.0000,1.426E-21
Cladura_flavoferruginea,101,4.0440,4.4586,500,0.9950,11,4.5181,0.9966,0.0008,10101,3.0267,0.8555,2.7435,2.2301,1.2037,5.4009,0.1710,0.0000,0.0000,2.9622,0.0465,0.5337,10.0270,0.6687,0.3598,4.9068,0.1130,1.8632,0.1169,0.0087,6.1556,14.2810,0.0000,0.3545,3.0063,7.3917,8.5197,2.1639,2.5414,18.3481,0.0000,5.2043,0.0081,1.0000,0.0015,0.1572,0.0000,0.0000,1.45E-9,5.0000,0.0245,0.0248,0.0000,0.0000,2.231E-18,10.0000,0.2088,0.0108,0.0000,0.0000,2.31E-22,12.2385,0.5588,0.0100,0.0000,0.0000,9.989E-23,21.0290,0.5912,0.0087,0.0990,0.0000,2.194E-23,12.2385,0.5588,0.0100,0.0000,0.0000,9.989E-23,12.2385,0.5588,0.0100,0.0000,0.0000,9.989E-23,32.0388,0.6066,0.0074,0.1287,0.0000,3.782E-24,32.0388,0.6066,0.0074,0.1287,0.0000,3.782E-24,2.8280,0.0071,0.0559,0.0000,0.0000,1.677E-14,6.3118,0.0444,0.0180,0.0000,0.0000,6.498E-20
Cladura_flavoferruginea,101,4.0711,4.4652,500,0.9950,11,4.4729,0.9942,0.0010,10101,4.2102,2.0642,0.1915,3.1543,1.9049,3.7101,0.2000,0.0673,0.0000,2.2466,0.0331,0.4183,13.1636,0.6761,0.0446,3.4410,0.1883,0.4809,0.2455,0.0684,6.1692,16.4413,0.0161,0.5233,2.1749,6.7859,9.9638,0.8594,2.3030,17.6150,0.6392,5.1887,0.0080,1.0000,0.0017,0.1395,0.0000,0.0000,3.891E-10,5.0000,0.0262,0.0234,0.0000,0.0000,1.132E-18,10.0000,0.2062,0.0107,0.0000,0.0000,2.088E-22,13.5118,0.5659,0.0097,0.0000,0.0000,7.169E-23,15.7496,0.5819,0.0095,0.0495,0.0909,6.557E-20,13.5118,0.5659,0.0097,0.0000,0.0000,7.169E-23,13.5118,0.5659,0.0097,0.0000,0.0000,7.169E-23,14.9733,0.5671,0.0095,0.0297,0.0000,5.714E-23,14.9733,0.5671,0.0095,0.0297,0.0000,5.714E-23,2.6810,0.0070,0.0545,0.0000,0.0000,1.247E-14,6.1836,0.0457,0.0177,0.0000,0.0000,5.412E-20
Cladura_flavoferruginea,101,4.0549,4.4601,500,0.9950,11,4.4966,0.9956,0.0010,10101,5.4429,1.0112,0.5188,1.3816,1.5956,4.7835,1.3820,0.0000,0.0000,1.8017,0.0194,0.4337,14.7353,0.3394,0.0426,4.7793,0.4876,1.6265,0.1908,0.6372,5.5381,14.1636,0.0166,0.5336,2.2251,6.1343,10.4321,0.9963,2.3846,16.3665,0.0000,5.2077,0.0081,1.0000,0.0015,0.1541,0.0000,0.0000,1.167E-9,5.0000,0.0243,0.0248,0.0000,0.0000,2.231E-18,10.0000,0.2014,0.0109,0.0000,0.0000,2.555E-22,13.9038,0.5709,0.0097,0.0000,0.0000,7.169E-23,21.5679,0.5911,0.0087,0.0990,0.0000,2.194E-23,13.9038,0.5709,0.0097,0.0000,0.0000,7.169E-23,13.9038,0.5709,0.0097,0.0000,0.0000,7.169E-23,21.5679,0.5911,0.0087,0.0990,0.0000,2.194E-23,21.5679,0.5911,0.0087,0.0990,0.0000,2.194E-23,2.8361,0.0072,0.0545,0.0000,0.0000,1.247E-14,6.3778,0.0460,0.0180,0.0000,0.0000,6.498E-20
Cladura_flavoferruginea,101,4.0768,4.4636,500,0.9950,11,4.3292,0.9937,0.0012,10101,1.9817,3.9638,0.8333,3.4449,0.7278,3.1717,0.5435,0.0298,0.0000,1.8211,0.0336,0.3686,12.6022,0.1245,0.0418,3.4469,0.2244,1.8188,0.2500,0.0237,7.8983,15.7226,0.0000,0.5411,8.2992,5.0212,8.1978,0.4291,2.6785,15.7497,0.0102,5.1830,0.0079,1.0000,0.0016,0.1446,0.0000,0.0000,5.796E-10,5.0000,0.0275,0.0223,0.0000,0.0000,6.699E-19,10.0000,0.2020,0.0106,0.0000,0.0000,1.885E-22,11.5674,0.3960,0.0100,0.0000,0.0000,9.989E-23,19.6774,0.6013,0.0090,0.0990,0.2727,6.989E-15,12.3726,0.5893,0.0099,0.0099,0.1818,4.935E-17,11.5674,0.3960,0.0100,0.0000,0.0000,9.989E-23,11.5674,0.3960,0.0100,0.0000,0.0000,9.989E-23,11.5674,0.3960,0.0100,0.0000,0.0000,9.989E-23,2.6755,0.0070,0.0544,0.0000,0.0000,1.223E-14,6.0472,0.0486,0.0176,0.0000,0.0000,5.089E-20
Cladura_flavoferruginea,101,4.0607,4.4606,500,0.9950,11,4.4595,0.9944,0.0010,10101,2.6833,1.2275,3.7771,0.0767,1.4529,4.9702,0.1736,0.0000,0.0000,1.9043,0.0307,0.3655,15.4128,0.6520,0.0536,4.0894,0.2075,1.8859,0.2269,0.0651,5.9926,14.7274,0.0197,0.3712,2.2710,6.6893,8.1003,1.4286,1.8825,19.2625,0.0000,5.2112,0.0081,1.0000,0.0016,0.1508,0.0000,0.0000,9.156E-10,5.0000,0.0252,0.0250,0.0000,0.0000,2.434E-18,10.0000,0.1741,0.0110,0.0000,0.0000,2.822E-22,12.4603,0.5603,0.0100,0.0000,0.0000,9.989E-23,20.9615,0.5900,0.0088,0.0495,0.0909,3.077E-20,12.4603,0.5603,0.0100,0.0198,0.0909,1.089E-19,12.4603,0.5603,0.0100,0.0000,0.0000,9.989E-23,12.4603,0.5603,0.0100,0.0000,0.0000,9.989E-23,12.4603,0.5603,0.0100,0.0000,0.0000,9.989E-23,2.7617,0.0071,0.0567,0.0000,0.0000,1.957E-14,6.3605,0.0464,0.0181,0.0000,0.0000,6.902E-20
Cladura_flavoferruginea,101,4.0475,4.4592,500,0.9950,11,4.4096,0.9952,0.0011,10101,2.3674,1.2118,0.5197,0.7048,1.5173,4.8517,0.1669,0.0502,0.0000,1.8017,0.0357,0.3188,13.7674,0.5008,0.0824,4.2106,0.2836,3.2569,1.4856,0.0940,8.6790,14.6933,0.0000,0.2029,3.1943,4.3076,8.4931,1.2360,3.0254,18.9411,0.0000,5.2249,0.0082,1.0000,0.0015,0.1717,0.0000,0.0000,3.815E-9,5.0000,0.0220,0.0274,0.0000,0.0000,6.596E-18,10.0000,0.1766,0.0111,0.0000,0.0000,3.115E-22,12.3853,0.5329,0.0100,0.0000,0.0000,9.989E-23,30.9105,0.6158,0.0076,0.0990,0.2727,1.843E-15,12.3853,0.5329,0.0100,0.0000,0.0000,9.989E-23,12.3853,0.5329,0.0100,0.0000,0.0000,9.989E-23,12.3853,0.5329,0.0100,0.0000,0.0000,9.989E-23,12.3853,0.5329,0.0100,0.0000,0.0000,9.989E-23,3.0300,0.0073,0.0573,0.0000,0.0000,2.195E-14,6.6197,0.0451,0.0183,0.0000,0.0000,7.778E-20
Cladura_flavoferruginea,101,4.0489,4.4582,500,0.9950,11,4.4514,0.9939,0.0010,10101,3.0245,1.6296,3.0297,0.4442,1.8141,4.1126,0.1842,0.0418,0.0000,2.7097,0.0184,0.4958,13.6224,0.4628,0.0552,3.9040,0.2659,2.1491,0.2346,0.0659,6.0397,14.4704,0.0171,0.4941,3.0165,7.0038,8.3155,2.6035,1.0565,18.7184,0.0000,5.2290,0.0082,1.0000,0.0015,0.1648,0.0000,0.0000,2.441E-9,5.0000,0.0228,0.0269,0.0000,0.0000,5.398E-18,10.0000,0.1599,0.0113,0.0000,0.0000,3.784E-22,12.7798,0.5734,0.0100,0.0000,0.0000,9.989E-23,19.3555,0.5956,0.0091,0.0891,0.0909,4.286E-20,12.7798,0.5734,0.0100,0.0000,0.0000,9.989E-23,12.7798,0.5734,0.0100,0.0000,0.0000,9.989E-23,12.7798,0.5734,0.0100,0.0000,0.0000,9.989E-23,12.7798,0.5734,0.0100,0.0000,0.0000,9.989E-23,2.9494,0.0073,0.0574,0.0000,0.0000,2.237E-14,6.5587,0.0474,0.0184,0.0000,0.0000,8.253E-20
Cladura_flavoferruginea,101,4.0489,4.4554,500,0.9950,11,4.4490,0.9937,0.0009,10101,3.3811,0.2755,2.6590,1.0988,1.5393,4.5052,0.2275,0.0137,0.0000,3.1302,0.0249,0.7063,14.0417,0.5321,0.0200,3.9976,0.7507,1.3669,0.3330,0.0283,5.4531,14.1289,0.0120,0.6561,2.2341,8.5926,8.6500,1.6469,1.9166,18.0745,0.0036,5.2146,0.0081,1.0000,0.0015,0.1608,0.0000,0.0000,1.855E-9,5.0000,0.0236,0.0259,0.0000,0.0000,3.575E-18,10.0000,0.1911,0.0110,0.0000,0.0000,2.822E-22,12.5518,0.5685,0.0100,0.0000,0.0000,9.989E-23,21.5113,0.5974,0.0087,0.0990,0.0000,2.194E-23,12.5518,0.5685,0.0100,0.0000,0.0000,9.989E-23,12.5518,0.5685,0.0100,0.0000,0.0000,9.989E-23,21.5113,0.5974,0.0087,0.0990,0.0000,2.194E-23,21.5113,0.5974,0.0087,0.0990,0.0000,2.194E-23,2.8752,0.0072,0.0571,0.0000,0.0000,2.113E-14,6.4084,0.0447,0.0181,0.0000,0.0000,6.902E-20
