Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Condylolomia_participalis,87,3.5556,4.1165,500,0.9921,11,4.0472,0.9930,0.0029,10087,7.1644,7.1586,6.0045,4.1149,3.3326,9.6143,2.5010,0.2154,0.5197,3.1804,0.0000,0.4069,11.4638,0.2222,18.8868,0.5908,0.0554,0.0187,0.0208,0.0000,0.6766,2.2720,13.3592,1.3409,0.2470,0.7203,0.3797,0.4569,0.5444,4.5183,0.0134,5.6962,0.0130,1.0000,0.0021,0.2590,0.0000,0.0000,3.525E-7,5.0000,0.0182,0.0835,0.0115,0.0000,1.371E-12,10.0000,0.0582,0.0384,0.0115,0.0000,2.651E-16,1.5679,0.0037,0.2005,0.0000,0.0000,2.1E-8,26.3304,0.3419,0.0094,0.0920,0.0909,5.988E-20,11.4670,0.0743,0.0323,0.0345,0.0909,1.327E-14,10.4952,0.0644,0.0362,0.0115,0.0000,1.393E-16,10.4952,0.0644,0.0362,0.0115,0.0000,1.393E-16,10.4952,0.0644,0.0362,0.0115,0.0000,1.393E-16,1.5679,0.0037,0.2005,0.0000,0.0000,2.1E-8,12.2961,0.0837,0.0294,0.0575,0.0909,5.243E-15
Condylolomia_participalis,87,3.5937,4.1264,500,0.9909,11,3.7553,0.9761,0.0186,10087,4.1703,6.1989,4.9523,1.4066,3.7839,12.3956,1.2319,0.1502,0.5679,4.2923,0.0000,0.1653,12.4675,0.2674,30.0493,0.2899,0.2088,0.0000,0.0469,0.0000,0.1251,3.0859,8.6445,0.7809,0.6302,0.4244,0.2510,0.2941,0.3945,2.6487,0.0757,5.6884,0.0129,1.0000,0.0020,0.2701,0.0000,0.0000,5.571E-7,5.0000,0.0176,0.0835,0.0230,0.0909,1.67E-10,10.0000,0.0551,0.0374,0.0230,0.0909,5.652E-14,1.4281,0.0030,0.2192,0.0000,0.0000,5.612E-8,28.4192,0.4746,0.0084,0.0920,0.0909,1.971E-20,12.5816,0.0911,0.0277,0.0230,0.0909,2.81E-15,12.5816,0.0911,0.0277,0.0230,0.0909,2.81E-15,4.5712,0.0160,0.0909,0.0230,0.0909,3.89E-10,32.8115,0.5488,0.0072,0.1724,0.0909,4.307E-21,1.4281,0.0030,0.2192,0.0000,0.0000,5.612E-8,12.0600,0.0843,0.0292,0.0230,0.0909,4.901E-15
Condylolomia_participalis,88,3.5493,4.1187,500,0.9924,10,3.9954,0.9892,0.0075,10088,3.1618,5.5482,5.3366,4.2714,4.2030,11.1888,2.6588,0.0557,0.5964,2.2387,0.0000,0.2152,10.6443,0.3146,29.3613,0.4136,0.1482,0.7545,0.0338,0.0000,0.7964,2.8264,10.6767,1.0921,0.1185,0.6136,0.1344,0.2548,0.6967,1.6454,0.0000,5.7168,0.0133,1.0000,0.0021,0.2656,0.0000,0.0000,1.745E-6,5.0000,0.0179,0.0861,0.0114,0.0000,2.25E-11,10.0000,0.0560,0.0400,0.0114,0.1000,2.554E-12,1.5809,0.0038,0.2038,0.0000,0.0000,1.236E-7,25.3329,0.3167,0.0102,0.0795,0.1000,1.195E-17,11.9917,0.0781,0.0316,0.0341,0.1000,3.071E-13,11.9638,0.0779,0.0316,0.0114,0.1000,3.071E-13,5.2838,0.0196,0.0817,0.0114,0.1000,1.499E-9,5.2815,0.0196,0.0817,0.0114,0.0000,1.322E-11,1.5809,0.0038,0.2038,0.0000,0.0000,1.236E-7,12.4508,0.0823,0.0300,0.0341,0.1000,1.936E-13
Condylolomia_participalis,89,3.5682,4.0898,500,0.9923,9,3.9049,0.9933,0.0015,10089,7.2413,3.9466,2.9660,2.7128,3.5672,13.3595,1.2585,0.3451,0.8633,3.3945,0.0000,0.1980,12.1556,0.2610,20.5970,0.2252,0.2238,0.0294,0.0398,0.0000,0.1904,2.4390,14.5780,0.6225,0.4423,0.6060,0.1882,0.8719,0.5309,6.1461,0.0000,5.7038,0.0132,1.0000,0.0024,0.2432,0.0000,0.0000,2.98E-6,5.0000,0.0192,0.0843,0.0112,0.0000,2.139E-10,10.0000,0.0575,0.0399,0.0337,0.0000,2.589E-13,1.6534,0.0045,0.1854,0.0000,0.0000,2.582E-7,24.2191,0.2885,0.0109,0.0787,0.1111,1.78E-15,11.4465,0.0721,0.0337,0.0337,0.0000,5.606E-14,9.5009,0.0526,0.0425,0.0112,0.0000,4.544E-13,18.5048,0.1644,0.0168,0.0562,0.0000,1.038E-16,18.5048,0.1644,0.0168,0.0562,0.0000,1.038E-16,1.6534,0.0045,0.1854,0.0000,0.0000,2.582E-7,12.5614,0.0826,0.0297,0.0337,0.0000,1.817E-14
Condylolomia_participalis,89,3.5417,4.0954,500,0.9925,9,4.4889,0.9963,0.0009,10089,7.8533,4.4712,2.4656,4.2635,2.2666,13.1543,1.1678,0.0736,0.9649,2.6326,0.0000,0.1876,13.4082,0.2905,28.0221,0.2208,0.1484,0.0084,0.0338,0.0040,0.3292,2.6732,7.9952,1.0599,0.1889,0.5306,0.2450,0.8023,0.6471,3.8863,0.0053,5.7424,0.0137,1.0000,0.0021,0.2739,0.0000,0.0000,8.666E-6,5.0000,0.0184,0.0876,0.0112,0.0000,3.044E-10,10.0000,0.0567,0.0415,0.0112,0.0000,3.675E-13,1.9455,0.0049,0.1836,0.0000,0.0000,2.367E-7,23.5951,0.2721,0.0119,0.0787,0.0000,4.764E-18,12.3665,0.0826,0.0316,0.0225,0.0000,3.159E-14,12.2802,0.0819,0.0318,0.0112,0.0000,3.341E-14,36.0956,0.6457,0.0068,0.2135,0.0000,3.273E-20,36.0956,0.6457,0.0068,0.2135,0.0000,3.273E-20,1.9455,0.0049,0.1836,0.0000,0.0000,2.367E-7,12.6041,0.0871,0.0308,0.0449,0.0000,2.513E-14
Condylolomia_participalis,88,3.5539,4.1102,500,0.9923,10,3.6836,0.9868,0.0074,10088,7.8745,3.1767,2.8568,1.5055,2.3711,14.8641,2.0353,2.8952,1.1091,2.8996,0.0068,0.1866,10.7513,0.5228,22.6892,0.2905,0.1492,0.4259,0.0781,0.0000,0.3184,1.6088,14.6616,0.7005,0.2663,0.5154,0.2279,1.0271,0.4767,3.5089,0.0000,5.7245,0.0133,1.0000,0.0020,0.2877,0.0000,0.0000,3.881E-6,5.0000,0.0170,0.0922,0.0114,0.0000,4.434E-11,10.0000,0.0538,0.0418,0.0114,0.1000,3.775E-12,1.7539,0.0040,0.2074,0.0000,0.0000,1.471E-7,22.1801,0.2408,0.0124,0.0909,0.1000,6.809E-17,12.7245,0.0839,0.0303,0.0341,0.1000,2.115E-13,12.6946,0.0837,0.0303,0.0114,0.1000,2.115E-13,5.6107,0.0202,0.0824,0.0114,0.1000,1.617E-9,5.6097,0.0201,0.0824,0.0114,0.0000,1.439E-11,1.7539,0.0040,0.2074,0.0000,0.0000,1.471E-7,12.6946,0.0837,0.0303,0.0114,0.1000,2.115E-13
Condylolomia_participalis,88,3.6136,4.1876,500,0.9946,10,3.2895,0.9336,0.0588,10088,5.9353,1.9084,4.6977,4.4390,2.2225,14.1430,3.2196,0.1952,0.7093,3.0779,0.0000,0.1795,12.0716,0.3616,15.8785,0.2222,0.1439,0.0240,0.1283,0.0130,0.1593,3.4088,17.4286,0.8648,0.4114,0.4210,0.1622,0.8518,0.5817,6.1401,0.0000,5.6621,0.0127,1.0000,0.0025,0.2116,0.0000,0.1000,6.896E-6,5.0000,0.0223,0.0725,0.0000,0.1000,5.149E-10,10.0000,0.0645,0.0351,0.0000,0.1000,7.814E-13,10.5753,0.0720,0.0329,0.0000,0.1000,4.395E-13,27.7229,0.4442,0.0086,0.0909,0.2000,1.356E-15,11.0879,0.0794,0.0311,0.0341,0.1000,2.666E-13,10.5753,0.0720,0.0329,0.0000,0.1000,4.395E-13,3.3028,0.0131,0.1000,0.0000,0.1000,9.116E-9,19.1492,0.1901,0.0151,0.0455,0.1000,3.948E-16,3.0208,0.0112,0.1066,0.0000,0.1000,1.602E-8,11.9587,0.0889,0.0284,0.0341,0.1000,1.19E-13
Condylolomia_participalis,89,3.6750,4.1660,500,0.9926,9,2.0211,0.9189,0.0491,10089,8.0214,5.6821,2.3095,2.7897,1.7767,13.2753,3.4391,0.0000,0.7130,1.9171,0.0000,0.3473,11.6093,0.2663,15.4500,0.9876,0.0000,0.4999,0.0238,0.0008,0.1737,2.6134,16.3720,2.1413,0.0493,0.5198,0.2184,0.6184,0.8490,7.3360,0.0000,5.6062,0.0118,1.0000,0.0018,0.2760,0.0000,0.1111,2.29E-4,5.0000,0.0162,0.0754,0.0112,0.2222,4.363E-7,10.0000,0.0569,0.0321,0.0225,0.3333,8.475E-8,2.0620,0.0043,0.1711,0.0000,0.2222,1.117E-4,28.4419,0.5625,0.0078,0.0899,0.4444,3.613E-9,10.4384,0.0609,0.0302,0.0225,0.3333,5.927E-8,9.4482,0.0519,0.0348,0.0112,0.2222,2.088E-9,1.8719,0.0037,0.1840,0.0000,0.2222,1.808E-4,9.4482,0.0519,0.0348,0.0112,0.2222,2.088E-9,2.0620,0.0043,0.1711,0.0000,0.2222,1.117E-4,11.3164,0.0708,0.0270,0.0449,0.3333,3.007E-8
Condylolomia_participalis,88,3.7120,4.1931,500,0.9916,10,0.5103,0.8602,0.0796,10088,2.1649,8.0527,3.8142,5.1486,2.4193,14.7591,0.8362,0.0086,0.6579,2.3612,0.0014,0.0661,13.0155,0.3222,25.2779,0.3008,0.1617,0.4257,0.1101,0.0000,0.6262,3.6489,12.4368,0.6910,0.1323,0.4766,0.1670,0.1177,0.0933,1.7063,0.0000,5.5591,0.0113,1.0000,0.0023,0.2161,0.0000,0.1000,8.278E-6,5.0000,0.0183,0.0674,0.0227,0.5000,2.629E-4,10.0000,0.0633,0.0290,0.0341,0.6000,1.298E-4,1.4577,0.0036,0.1751,0.0000,0.1000,1.301E-6,26.4540,0.4959,0.0082,0.0909,0.6000,9.249E-7,10.0245,0.0633,0.0290,0.0341,0.6000,1.298E-4,16.4413,0.1589,0.0147,0.0341,0.6000,9.064E-6,1.4577,0.0036,0.1751,0.0114,0.2000,2.831E-5,1.4577,0.0036,0.1751,0.0000,0.1000,1.301E-6,1.4577,0.0036,0.1751,0.0000,0.1000,1.301E-6,10.9905,0.0749,0.0257,0.0341,0.6000,8.058E-5
Condylolomia_participalis,89,3.5730,4.0979,500,0.9927,9,3.5341,0.9796,0.0133,10089,3.9598,6.4856,5.3924,4.3299,2.4498,13.2918,1.1519,0.2013,0.2561,1.9031,0.0000,0.1160,12.2668,0.2551,22.3691,0.1712,0.1751,1.3419,0.0196,0.0000,0.4267,2.4822,11.7056,0.0612,0.2414,0.4429,0.1468,0.4150,0.3523,7.5620,0.0277,5.6922,0.0129,1.0000,0.0020,0.2713,0.0000,0.0000,7.959E-6,5.0000,0.0176,0.0847,0.0112,0.1111,2.214E-8,10.0000,0.0561,0.0381,0.0112,0.1111,3.83E-11,2.9077,0.0083,0.1345,0.0000,0.0000,1.441E-8,21.9897,0.2581,0.0120,0.0899,0.2222,1.258E-12,10.8432,0.0660,0.0342,0.0337,0.1111,1.632E-11,10.2623,0.0579,0.0369,0.0112,0.1111,2.974E-11,3.7032,0.0116,0.1111,0.0112,0.1111,1.884E-7,3.0370,0.0089,0.1300,0.0112,0.0000,1.064E-8,2.9077,0.0083,0.1345,0.0000,0.0000,1.441E-8,12.1878,0.0815,0.0293,0.0449,0.2222,6.395E-10
