Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Coreopsis_major,114,2.1443,2.6376,500,0.9609,13,2.8930,0.9702,0.0193,10114,2.0614,0.9919,0.0527,2.8913,3.1169,6.6414,8.2329,2.6381,0.4349,4.7862,0.0071,1.2311,6.3514,12.5647,0.1779,0.8935,0.9300,0.1858,0.9268,0.3165,27.7333,0.5449,0.0933,0.1360,1.2791,1.7810,1.6547,2.9468,6.4798,1.8901,0.0284,7.1373,0.0606,1.0000,0.0095,0.4900,0.0088,0.0000,9.391E-5,5.0000,0.0437,0.2716,0.0351,0.0000,4.377E-8,10.0000,0.0905,0.1812,0.0614,0.0769,1.359E-8,0.6750,0.0067,0.5399,0.0000,0.0000,3.315E-4,16.3325,0.1503,0.1225,0.0965,0.0769,1.317E-10,17.0263,0.1564,0.1177,0.1140,0.0769,8.156E-11,14.5544,0.1338,0.1359,0.0702,0.0769,4.493E-10,25.0027,0.2390,0.0769,0.1404,0.0769,5.184E-13,38.8793,0.3865,0.0375,0.2193,0.0769,9.622E-17,3.3643,0.0296,0.3256,0.0175,0.0000,4.621E-7,16.0814,0.1482,0.1243,0.0965,0.0769,1.563E-10
Coreopsis_major,114,2.3112,2.8206,500,0.9666,13,1.1386,0.9005,0.0284,10114,1.3890,3.4230,1.6319,1.2138,2.6133,5.6212,8.5259,1.0005,0.0769,2.9859,0.0000,0.9251,7.9717,12.9195,0.4670,1.6512,0.2239,0.1193,1.1554,0.6911,26.0299,0.4162,0.6234,0.0518,2.8020,1.7409,0.7937,3.0130,7.8269,2.0965,0.0000,6.9717,0.0509,1.0000,0.0077,0.4955,0.0088,0.0000,1.084E-4,5.0000,0.0363,0.2660,0.0263,0.1538,2.103E-5,10.0000,0.0749,0.1714,0.0351,0.1538,2.085E-7,0.4947,0.0042,0.5876,0.0000,0.0000,9.956E-4,17.3832,0.1387,0.1037,0.0965,0.3077,6.715E-7,17.3983,0.1388,0.1037,0.1053,0.3077,6.715E-7,29.8485,0.2714,0.0495,0.1404,0.6154,2.744E-4,11.4636,0.0859,0.1538,0.0526,0.1538,6.578E-8,14.1390,0.1105,0.1278,0.0789,0.1538,9.064E-9,3.0241,0.0214,0.3378,0.0088,0.0000,7.471E-7,17.1427,0.1373,0.1054,0.0965,0.3077,7.709E-7
Coreopsis_major,114,2.2683,2.7958,500,0.9705,13,1.4284,0.8803,0.0446,10114,2.0967,2.2618,0.0561,0.0000,2.3733,6.6618,8.5308,3.0786,0.4328,5.2062,0.0000,0.9546,6.1330,13.7278,0.4109,0.8293,1.4606,0.0452,1.2855,0.5224,26.7193,0.6081,0.1461,0.1915,2.6403,1.4285,0.9989,1.9337,8.5618,0.6451,0.0593,7.0415,0.0547,1.0000,0.0084,0.4956,0.0000,0.0769,1.547E-3,5.0000,0.0380,0.2675,0.0175,0.2308,2.336E-4,10.0000,0.0805,0.1723,0.0263,0.3077,4.895E-5,2.0572,0.0159,0.3953,0.0000,0.0769,1.202E-4,20.0373,0.1786,0.0909,0.0965,0.3077,2.147E-7,19.3679,0.1710,0.0944,0.0965,0.3077,2.992E-7,18.2783,0.1598,0.1007,0.0702,0.3077,5.188E-7,6.4845,0.0495,0.2308,0.0175,0.2308,6.055E-5,26.8712,0.2507,0.0625,0.1228,0.3077,8.241E-9,2.0572,0.0159,0.3953,0.0000,0.0769,1.202E-4,16.3496,0.1411,0.1130,0.0702,0.3077,1.401E-6
Coreopsis_major,115,2.1925,2.6880,500,0.9635,12,2.4491,0.9743,0.0088,10115,2.8457,0.2065,0.0417,1.0626,3.0904,7.8316,8.9228,1.6030,0.1476,5.4292,0.0206,1.5762,8.8525,10.1069,0.1412,1.8267,0.5856,0.2063,0.8272,0.5759,26.2274,0.5155,0.3676,0.1314,2.9928,1.1247,1.8718,2.6014,6.8885,1.3241,0.0545,7.0856,0.0574,1.0000,0.0089,0.5005,0.0087,0.0000,2.473E-4,5.0000,0.0399,0.2732,0.0261,0.0000,1.726E-7,10.0000,0.0834,0.1787,0.0522,0.0000,1.064E-9,0.6073,0.0057,0.5643,0.0000,0.0000,1.043E-3,19.4430,0.1755,0.0985,0.0957,0.0833,9.211E-11,19.4430,0.1755,0.0985,0.0957,0.0833,9.211E-11,19.4430,0.1755,0.0985,0.0957,0.0833,9.211E-11,22.4717,0.2050,0.0833,0.1391,0.0833,1.493E-11,16.5436,0.1453,0.1166,0.0957,0.0000,6.289E-12,3.8048,0.0302,0.3126,0.0174,0.0000,8.709E-7,16.3345,0.1435,0.1180,0.0957,0.0000,7.319E-12
Coreopsis_major,114,2.2804,2.7933,500,0.9687,13,0.6998,0.8269,0.0747,10114,0.3133,1.5056,1.1752,0.6082,4.0159,6.9835,5.8792,1.1652,0.5097,4.6875,0.0000,1.2061,9.5943,13.4715,0.3646,2.3785,0.6086,0.2591,0.8984,0.6873,25.3605,0.2774,0.3382,0.0988,2.6120,1.7773,0.6805,2.4345,9.1038,1.0055,0.0000,7.0363,0.0543,1.0000,0.0087,0.4868,0.0088,0.0769,1.269E-3,5.0000,0.0389,0.2663,0.0175,0.2308,2.236E-4,10.0000,0.0807,0.1730,0.0526,0.3077,5.06E-5,0.8637,0.0077,0.5054,0.0000,0.0769,1.928E-3,20.8179,0.1836,0.0859,0.0965,0.3846,2.572E-6,18.8552,0.1640,0.0965,0.0965,0.3077,3.61E-7,24.8870,0.2288,0.0683,0.1053,0.3846,4.469E-7,6.3655,0.0495,0.2329,0.0351,0.2308,6.602E-5,19.5843,0.1718,0.0923,0.0965,0.3077,2.469E-7,4.8429,0.0378,0.2706,0.0088,0.2308,2.589E-4,16.3493,0.1380,0.1124,0.0877,0.3077,1.339E-6
Coreopsis_major,115,2.2402,2.7519,500,0.9654,12,1.8633,0.9095,0.0342,10115,2.8463,0.3485,0.9987,0.1290,2.8255,8.1558,11.3066,0.0105,0.9078,1.4846,0.0080,0.9658,8.1476,13.3139,0.1910,1.0180,0.4206,0.4181,1.0106,0.6870,25.1764,1.2031,0.2214,0.0426,3.3026,2.7256,1.7043,2.8273,6.0477,1.4956,0.0595,7.0260,0.0537,1.0000,0.0083,0.4941,0.0087,0.0000,2.118E-4,5.0000,0.0379,0.2667,0.0261,0.0833,4.408E-6,10.0000,0.0778,0.1717,0.0522,0.2500,1.728E-5,0.6256,0.0054,0.5556,0.0000,0.0000,8.655E-4,20.7077,0.1855,0.0860,0.0957,0.3333,1.079E-6,20.3078,0.1820,0.0880,0.0870,0.3333,1.285E-6,25.6943,0.2344,0.0652,0.1043,0.4167,2.944E-6,8.7292,0.0679,0.1897,0.0522,0.1667,2.731E-6,5.6515,0.0428,0.2495,0.0261,0.0833,2.161E-6,2.0365,0.0156,0.3949,0.0087,0.0000,1.437E-5,16.3457,0.1409,0.1112,0.0696,0.3333,7.65E-6
Coreopsis_major,115,2.2227,2.7341,500,0.9651,12,2.0695,0.9413,0.0250,10115,2.7056,0.3202,0.7652,0.0237,3.4702,7.4067,8.8881,2.2007,0.2760,4.2313,0.0103,0.7709,7.7263,11.4263,0.2214,1.0633,0.4372,0.1761,1.0337,1.6073,24.9405,0.2794,0.2906,0.2099,3.8783,2.4097,0.8515,2.7630,8.1819,1.4349,0.0000,7.0752,0.0569,1.0000,0.0087,0.4946,0.0087,0.0000,2.144E-4,5.0000,0.0407,0.2709,0.0261,0.0833,5.198E-6,10.0000,0.0827,0.1780,0.0609,0.0833,5.691E-8,0.7450,0.0068,0.5330,0.0000,0.0000,5.253E-4,23.9394,0.2218,0.0770,0.0957,0.3333,4.615E-7,21.6862,0.1993,0.0870,0.0870,0.2500,4.92E-8,23.9394,0.2218,0.0770,0.0957,0.3333,4.615E-7,15.7569,0.1372,0.1219,0.0696,0.0833,9.412E-10,15.7569,0.1372,0.1219,0.0696,0.0833,9.412E-10,3.0247,0.0243,0.3414,0.0174,0.0000,2.505E-6,16.4751,0.1432,0.1169,0.0783,0.1667,2.504E-8
Coreopsis_major,114,2.2708,2.8383,500,0.9672,13,1.0219,0.8733,0.0433,10114,4.5742,0.1199,0.1657,0.9662,2.6015,7.3016,10.7569,2.7161,2.8902,3.1499,0.0000,0.4536,8.3112,13.7642,0.1468,0.8247,0.3495,0.3391,0.7637,1.0560,22.2124,0.3080,0.1786,0.2135,2.9806,1.1423,1.7424,2.1151,6.9940,0.7945,0.0676,7.0187,0.0533,1.0000,0.0077,0.5086,0.0088,0.0000,1.524E-4,5.0000,0.0367,0.2695,0.0175,0.2308,2.497E-4,10.0000,0.0767,0.1726,0.0439,0.3077,4.966E-5,0.4474,0.0040,0.6155,0.0000,0.0000,1.819E-3,21.1254,0.1882,0.0838,0.0965,0.3846,2.136E-6,19.2507,0.1655,0.0935,0.0965,0.3846,4.89E-6,18.4567,0.1582,0.0981,0.0789,0.3846,6.994E-6,6.5571,0.0491,0.2308,0.0351,0.2308,6.055E-5,9.2768,0.0713,0.1826,0.0439,0.2308,6.85E-6,5.0880,0.0373,0.2671,0.0175,0.2308,2.297E-4,16.4955,0.1394,0.1104,0.0789,0.3846,1.702E-5
Coreopsis_major,114,2.2647,2.7979,500,0.9666,13,2.0472,0.9206,0.0328,10114,2.7573,1.0291,0.6276,0.2380,3.1231,6.8579,8.7299,1.6404,0.4688,4.2567,0.0048,0.7336,7.5930,12.0922,0.1807,1.3852,0.4440,0.4051,0.8759,0.9144,26.4853,1.0955,0.2379,0.1129,2.1874,1.1479,0.5868,2.3999,7.9570,3.3940,0.0378,7.0101,0.0529,1.0000,0.0083,0.4741,0.0088,0.0000,6.113E-5,5.0000,0.0389,0.2564,0.0263,0.0769,8.002E-7,10.0000,0.0796,0.1650,0.0614,0.1538,1.389E-7,0.4184,0.0039,0.5827,0.0000,0.0000,8.92E-4,17.6442,0.1564,0.0993,0.0965,0.3077,4.606E-7,17.6442,0.1564,0.0993,0.0965,0.3077,4.606E-7,23.9604,0.2256,0.0697,0.1053,0.3077,2.144E-8,10.9433,0.0883,0.1538,0.0614,0.1538,6.578E-8,13.7334,0.1162,0.1267,0.0614,0.1538,8.2E-9,2.7737,0.0216,0.3362,0.0088,0.0769,1.868E-5,16.0301,0.1392,0.1095,0.0877,0.3077,1.065E-6
Coreopsis_major,114,2.2079,2.7337,500,0.9654,13,1.6106,0.9244,0.0302,10114,3.8516,1.5447,0.0370,0.0564,2.3209,7.1597,7.8164,3.0652,0.3764,4.6055,0.0000,0.7579,8.4302,13.3142,1.2843,0.6958,0.9131,0.5008,0.6849,0.4612,25.8093,0.4023,0.1083,0.0381,3.0817,0.9954,1.0501,2.6412,5.9637,2.0226,0.0109,7.0811,0.0572,1.0000,0.0086,0.5137,0.0088,0.0000,1.737E-4,5.0000,0.0401,0.2858,0.0263,0.0769,2.847E-6,10.0000,0.0790,0.1903,0.0439,0.0769,2.422E-8,0.6115,0.0056,0.5789,0.0000,0.0000,8.201E-4,20.4425,0.1695,0.0979,0.0965,0.2308,1.746E-8,20.4425,0.1695,0.0979,0.0965,0.2308,1.746E-8,24.4922,0.2145,0.0776,0.1053,0.2308,1.822E-9,13.9235,0.1124,0.1459,0.0614,0.1538,3.743E-8,13.9215,0.1123,0.1459,0.0614,0.0769,1.05E-9,2.9547,0.0237,0.3609,0.0088,0.0769,4.231E-5,17.4001,0.1409,0.1176,0.0789,0.2308,1.028E-7
