Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Corvus_brachyrhynchos,2439,0.5711,0.6490,500,0.8086,273,0.6494,0.8102,0.0100,12433,2.0717,4.8696,2.6961,2.4947,10.2288,8.2258,0.1914,0.0000,0.0257,1.8029,0.0079,0.2698,1.9751,1.5810,0.1798,0.1469,0.3121,0.0410,0.1701,20.1068,30.3303,5.8984,2.7386,0.9996,0.1597,0.3477,0.2016,1.3624,0.4177,0.1469,0.0000,8.8649,0.2790,1.0000,0.0537,0.8310,0.0066,0.0073,5.1E-13,5.0000,0.1429,0.6143,0.0312,0.0220,2.509E-35,10.0000,0.2318,0.4895,0.0689,0.0549,1.548E-51,0.1829,0.0258,0.9441,0.0000,0.0037,8.598E-5,13.8294,0.2901,0.4279,0.0996,0.0696,1.679E-63,31.3435,0.4512,0.2618,0.2620,0.2491,0E0,21.5241,0.3760,0.3405,0.1603,0.1319,0E0,32.1296,0.4564,0.2564,0.2690,0.2564,0E0,22.4884,0.3861,0.3315,0.1706,0.1355,0E0,2.9805,0.1034,0.6967,0.0180,0.0147,1.607E-25,6.4699,0.1712,0.5694,0.0410,0.0366,8.854E-40
Corvus_brachyrhynchos,2440,0.5771,0.6553,500,0.8098,272,0.5740,0.7911,0.0108,12434,6.9488,4.0526,0.1603,3.0859,13.0807,8.6392,0.1158,0.0026,0.6488,0.0000,0.0061,0.3337,1.9841,1.2907,0.1185,0.1404,0.1538,0.0650,0.3391,13.6226,33.4168,2.5530,4.3884,0.4045,0.1570,0.5868,0.2769,2.1184,1.1362,0.1732,0.0000,8.8593,0.2772,1.0000,0.0528,0.8272,0.0070,0.0074,2.637E-13,5.0000,0.1418,0.6102,0.0328,0.0404,1.641E-32,10.0000,0.2321,0.4852,0.0697,0.0772,1.444E-47,0.0953,0.0212,0.9632,0.0000,0.0000,6.293E-4,13.7513,0.2894,0.4250,0.1000,0.1250,2.954E-51,31.4275,0.4546,0.2591,0.2586,0.2794,0E0,23.2025,0.3923,0.3223,0.1754,0.1985,1.989E-64,30.0001,0.4440,0.2689,0.2447,0.2684,0E0,25.6047,0.4126,0.3021,0.1963,0.2132,0E0,3.7522,0.1191,0.6574,0.0234,0.0294,6.865E-28,6.4249,0.1688,0.5661,0.0422,0.0478,4.405E-38
Corvus_brachyrhynchos,2440,0.5836,0.6575,500,0.8102,272,0.5152,0.7760,0.0121,12435,8.1888,2.0732,1.1901,1.6838,13.9114,10.0731,0.1931,0.0044,0.9580,0.0491,0.0081,0.4199,1.8059,1.2900,0.0395,0.2058,0.1739,0.0215,0.3453,14.1794,31.2248,1.6887,5.6706,0.5247,0.1956,0.3407,0.3279,1.8249,1.2727,0.0995,0.0157,8.8491,0.2745,1.0000,0.0521,0.8123,0.0061,0.0110,4.263E-14,5.0000,0.1468,0.5998,0.0348,0.0662,1.256E-29,10.0000,0.2358,0.4791,0.0697,0.1103,3.724E-42,0.0422,0.0131,0.9749,0.0000,0.0000,4.075E-3,13.8817,0.2951,0.4191,0.0996,0.1360,2.524E-50,31.2475,0.4536,0.2586,0.2586,0.3235,4.159E-56,21.8918,0.3799,0.3315,0.1631,0.2243,6.374E-55,27.8789,0.4297,0.2825,0.2279,0.2831,2.574E-57,19.3955,0.3586,0.3554,0.1488,0.1765,7.615E-59,2.6990,0.0982,0.6934,0.0180,0.0368,2.395E-22,6.3357,0.1729,0.5604,0.0455,0.0919,3.505E-31
Corvus_brachyrhynchos,2439,0.5798,0.6566,500,0.8102,273,0.5751,0.7910,0.0110,12435,5.9900,3.2452,0.6326,5.0114,12.1134,8.8134,0.2635,0.0068,0.2673,0.0345,0.0205,0.3763,2.2734,1.5168,0.0323,0.1875,0.2450,0.0432,0.3781,15.3488,31.0404,2.9533,4.5528,0.4426,0.1909,0.5255,0.2446,1.9223,1.2111,0.1167,0.0000,8.8554,0.2761,1.0000,0.0521,0.8254,0.0066,0.0037,5.053E-14,5.0000,0.1420,0.6086,0.0332,0.0366,1.572E-33,10.0000,0.2307,0.4833,0.0697,0.0989,1.055E-43,0.1365,0.0232,0.9526,0.0000,0.0000,1.132E-4,13.4406,0.2856,0.4277,0.0992,0.1245,7.238E-51,31.0887,0.4532,0.2603,0.2604,0.3004,9.13E-62,24.3564,0.4022,0.3110,0.1825,0.2418,1.123E-57,28.5185,0.4354,0.2784,0.2284,0.2784,2.649E-60,20.2775,0.3651,0.3478,0.1505,0.1868,6.189E-59,3.2142,0.1082,0.6791,0.0205,0.0220,1.818E-26,6.4499,0.1686,0.5639,0.0439,0.0549,2.964E-37
Corvus_brachyrhynchos,2441,0.5736,0.6530,500,0.8094,271,0.6177,0.8013,0.0111,12437,6.5763,2.2487,0.2399,3.6947,12.0431,6.9276,0.1157,0.0000,0.0690,2.0326,0.0026,0.2826,2.1023,1.3921,0.1723,0.2101,0.1227,0.1542,0.1751,15.0573,34.3042,2.7659,4.7216,0.7056,0.2147,0.3445,0.1846,1.7801,1.2235,0.1324,0.0038,8.8625,0.2781,1.0000,0.0525,0.8290,0.0061,0.0074,4.198E-13,5.0000,0.1425,0.6112,0.0320,0.0258,7.77E-35,10.0000,0.2310,0.4860,0.0729,0.0775,3.678E-47,0.1014,0.0223,0.9625,0.0000,0.0037,1.684E-3,14.3113,0.2975,0.4182,0.0995,0.1365,2.961E-50,31.8629,0.4588,0.2573,0.2577,0.2804,0E0,22.2867,0.3855,0.3314,0.1635,0.2030,6.085E-60,29.4655,0.4426,0.2739,0.2388,0.2731,4.265E-63,18.2004,0.3439,0.3716,0.1376,0.1624,4.474E-57,3.2911,0.1103,0.6788,0.0197,0.0221,2.708E-26,6.4107,0.1691,0.5678,0.0430,0.0369,1.029E-39
Corvus_brachyrhynchos,2445,0.5832,0.6596,500,0.8107,267,0.5333,0.7832,0.0121,12439,5.0162,5.7027,0.4109,0.8820,11.6775,7.3937,0.2348,0.0026,1.5428,2.1841,0.0000,0.2936,1.9213,1.1542,0.0795,0.1087,0.2448,0.0710,0.4540,16.4361,32.6208,1.8575,4.8819,0.4288,0.1340,0.5761,0.3327,1.9687,1.1992,0.1860,0.0039,8.8561,0.2763,1.0000,0.0521,0.8236,0.0065,0.0112,7.209E-13,5.0000,0.1432,0.6073,0.0303,0.0562,1.029E-29,10.0000,0.2326,0.4835,0.0658,0.0974,4.727E-43,0.1049,0.0213,0.9600,0.0000,0.0000,4.235E-4,13.4651,0.2860,0.4275,0.0998,0.1386,6.983E-47,31.4748,0.4548,0.2584,0.2585,0.2959,1.832E-62,22.3716,0.3846,0.3288,0.1640,0.2135,2.286E-57,29.1365,0.4408,0.2745,0.2384,0.2734,7.822E-62,17.9156,0.3434,0.3728,0.1333,0.1610,3.27E-56,2.9032,0.1019,0.6923,0.0155,0.0449,6.789E-21,6.4194,0.1690,0.5640,0.0421,0.0749,6.094E-33
Corvus_brachyrhynchos,2440,0.5811,0.6587,500,0.8104,272,0.4790,0.7729,0.0125,12435,1.8770,2.9921,3.3403,2.5001,11.2826,7.6169,0.1963,0.0000,0.1332,3.8646,0.0132,0.2211,2.3026,1.3302,0.0428,0.1513,0.1432,0.0409,0.4102,14.4385,33.5927,2.7309,6.5422,0.4951,0.1781,0.4895,0.2512,1.9773,0.6055,0.2407,0.0000,8.8548,0.2759,1.0000,0.0515,0.8257,0.0066,0.0184,6.121E-12,5.0000,0.1410,0.6064,0.0344,0.0662,1.069E-28,10.0000,0.2320,0.4808,0.0713,0.1176,2.132E-40,0.0883,0.0209,0.9647,0.0000,0.0037,2.353E-3,13.2961,0.2837,0.4277,0.1000,0.1581,1.17E-43,31.6138,0.4581,0.2569,0.2570,0.3382,5.178E-53,22.4379,0.3890,0.3268,0.1656,0.2353,8.619E-54,26.6706,0.4252,0.2922,0.2074,0.2904,4.57E-52,21.4612,0.3795,0.3356,0.1611,0.2206,1.691E-54,3.0895,0.1046,0.6840,0.0184,0.0441,2.556E-22,6.3859,0.1662,0.5636,0.0434,0.0846,6.271E-32
Corvus_brachyrhynchos,2445,0.5724,0.6510,500,0.8091,267,0.6438,0.8083,0.0108,12439,4.8679,2.5105,1.9248,2.7079,12.8597,7.3456,0.5904,0.0000,0.3786,1.4913,0.0102,0.3145,1.9185,1.3102,0.0397,0.2449,0.1374,0.0204,0.3758,16.7010,32.3580,2.5166,4.6359,0.4478,0.2093,0.4485,0.2390,1.7670,1.4784,0.1502,0.0000,8.8621,0.2780,1.0000,0.0530,0.8253,0.0061,0.0150,3.143E-12,5.0000,0.1444,0.6093,0.0323,0.0337,3.022E-33,10.0000,0.2355,0.4864,0.0675,0.0674,1.682E-48,0.1060,0.0211,0.9593,0.0000,0.0037,1.125E-3,13.6244,0.2884,0.4285,0.0998,0.0824,5.647E-59,31.6920,0.4541,0.2589,0.2585,0.2472,0E0,22.1704,0.3865,0.3333,0.1689,0.1386,0E0,31.8813,0.4555,0.2577,0.2642,0.2584,0E0,21.6670,0.3814,0.3380,0.1665,0.1273,0E0,2.9940,0.1043,0.6901,0.0168,0.0262,5.985E-24,6.3825,0.1721,0.5675,0.0429,0.0412,2.074E-38
Corvus_brachyrhynchos,2439,0.5805,0.6601,500,0.8108,273,0.5700,0.7884,0.0121,12433,3.6571,6.8760,1.8529,0.3580,12.5751,7.9283,0.6112,0.0027,0.0239,1.5113,0.0076,0.2928,2.2073,1.3861,0.0411,0.1891,0.1804,0.0865,0.3204,14.5905,33.1989,3.0328,4.2383,0.5316,0.1789,0.5277,0.2722,2.0366,1.0904,0.1716,0.0227,8.8564,0.2764,1.0000,0.0518,0.8210,0.0070,0.0147,7.086E-13,5.0000,0.1429,0.6044,0.0353,0.0623,9.831E-30,10.0000,0.2349,0.4819,0.0709,0.0842,5.526E-47,0.1096,0.0212,0.9576,0.0000,0.0037,7.472E-4,13.8342,0.2939,0.4217,0.0996,0.1282,1.498E-51,31.5194,0.4558,0.2587,0.2587,0.3150,1.737E-58,26.7706,0.4256,0.2927,0.2013,0.2601,1.294E-59,28.1933,0.4352,0.2821,0.2206,0.2821,6.005E-58,21.3405,0.3783,0.3385,0.1595,0.1941,3.5E-60,3.2719,0.1097,0.6722,0.0209,0.0440,8.262E-24,6.3096,0.1706,0.5645,0.0426,0.0696,1.666E-34
Corvus_brachyrhynchos,2440,0.5776,0.6550,500,0.8097,272,0.5919,0.7947,0.0109,12434,2.7823,1.9395,5.9936,3.7952,11.3656,8.6748,0.1793,0.0056,0.0138,1.2486,0.0110,0.3510,1.9840,1.3414,0.0964,0.2262,0.1743,0.0434,0.1729,14.3687,32.9426,2.8718,4.4479,0.5269,0.2296,0.3787,0.2787,2.1826,1.1977,0.1695,0.0066,8.8544,0.2758,1.0000,0.0520,0.8276,0.0070,0.0110,9.312E-13,5.0000,0.1414,0.6079,0.0328,0.0368,1.72E-33,10.0000,0.2310,0.4826,0.0684,0.0772,4.052E-48,0.1269,0.0232,0.9541,0.0000,0.0000,1.483E-4,13.2074,0.2795,0.4303,0.0988,0.0919,2.445E-57,31.1333,0.4522,0.2598,0.2598,0.2941,1.758E-63,22.2596,0.3857,0.3286,0.1672,0.2059,2.372E-60,28.5103,0.4354,0.2783,0.2361,0.2794,7.076E-60,19.9047,0.3615,0.3508,0.1463,0.1618,5.72E-64,3.7272,0.1169,0.6566,0.0225,0.0294,5.401E-28,6.4475,0.1688,0.5634,0.0455,0.0515,7.436E-38
