Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Corydalus_cornutus,31,4.6825,5.3339,500,0.9984,4,4.3777,0.9965,0.0007,10031,4.5024,0.9723,0.0183,4.2136,0.0696,28.5808,0.6561,0.1722,18.1066,25.2676,0.4212,0.9325,1.8306,1.3652,0.0000,0.9240,0.0058,0.0073,0.1333,4.1028,3.9361,0.2432,0.2526,0.0441,0.0000,0.1944,0.0000,0.0000,2.0373,0.9992,0.0109,4.5530,0.0042,1.0000,0.0017,0.0789,0.0000,0.0000,3.867E-5,5.0000,0.0254,0.0185,0.0000,0.0000,1.182E-7,10.0000,0.0843,0.0092,0.0000,0.0000,7.076E-9,19.9727,0.2830,0.0045,0.0000,0.2500,3.599E-7,29.2305,0.5067,0.0030,0.0968,0.5000,5.345E-5,19.9727,0.2830,0.0045,0.0000,0.2500,3.599E-7,19.9727,0.2830,0.0045,0.0000,0.2500,3.599E-7,16.9636,0.2197,0.0052,0.0000,0.0000,7.222E-10,16.9636,0.2197,0.0052,0.0000,0.0000,7.222E-10,1.7714,0.0038,0.0498,0.0000,0.0000,6.173E-6,9.8509,0.0832,0.0094,0.0000,0.0000,7.711E-9
Corydalus_cornutus,31,4.7628,5.3919,500,0.9984,4,3.3253,0.9700,0.0244,10031,3.1636,3.2443,1.3304,0.6607,0.6664,31.5669,1.1157,0.4968,20.8624,13.7403,4.1961,0.7536,1.0483,1.5026,0.2123,0.3153,0.0000,0.0000,0.1871,4.5061,5.7019,0.5182,0.0114,0.0000,0.0588,1.4788,0.9652,0.0000,0.9469,0.7497,0.0000,4.4659,0.0039,1.0000,0.0017,0.0704,0.0000,0.2500,1.321E-3,5.0000,0.0267,0.0167,0.0000,0.2500,1.856E-5,10.0000,0.0808,0.0080,0.0000,0.2500,2.017E-6,15.8215,0.2580,0.0049,0.0000,0.2500,4.645E-7,29.2480,0.5299,0.0029,0.0968,0.5000,4.996E-5,15.8215,0.2580,0.0049,0.0000,0.2500,4.645E-7,15.8215,0.2580,0.0049,0.0000,0.2500,4.645E-7,0.4263,0.0007,0.1145,0.0000,0.0000,1.721E-4,0.4263,0.0007,0.1145,0.0000,0.0000,1.721E-4,1.6719,0.0034,0.0463,0.0000,0.2500,3.822E-4,9.3469,0.0750,0.0087,0.0000,0.2500,2.593E-6
Corydalus_cornutus,31,4.8302,5.3933,500,0.9984,4,1.7808,0.9588,0.0257,10031,5.3548,2.4618,1.3106,0.1647,0.0012,29.6042,2.2696,0.2511,20.4123,16.0582,4.7669,0.2974,1.6498,1.8088,0.0000,0.7843,0.0071,0.0000,0.0383,4.7217,5.6543,0.0040,0.0009,0.0000,0.0221,1.2372,0.2037,0.0000,0.7677,0.1010,0.0463,4.3948,0.0036,1.0000,0.0019,0.0587,0.0000,0.2500,7.741E-4,5.0000,0.0282,0.0132,0.0000,0.5000,1.021E-3,10.0000,0.1107,0.0065,0.0000,0.5000,2.498E-4,16.9415,0.2742,0.0043,0.0000,0.5000,1.096E-4,30.1071,0.5782,0.0027,0.0968,0.7500,1.072E-2,16.9415,0.2742,0.0043,0.0000,0.5000,1.096E-4,16.9415,0.2742,0.0043,0.0000,0.5000,1.096E-4,0.2596,0.0004,0.1269,0.0000,0.2500,7.397E-3,0.2594,0.0004,0.1269,0.0000,0.0000,2.594E-4,1.4802,0.0032,0.0428,0.0000,0.2500,3.029E-4,8.1165,0.0659,0.0081,0.0000,0.5000,3.87E-4
Corydalus_cornutus,31,4.7276,5.3525,500,0.9984,4,2.8440,0.9481,0.0437,10031,7.4163,2.8519,0.2821,0.7964,1.2930,27.0033,2.7603,0.7763,20.2952,19.6498,3.0216,0.7324,1.1147,1.1786,0.0000,0.1444,0.0000,0.0144,0.0480,8.0216,0.0328,0.0045,0.3244,0.0000,0.0186,0.3045,0.0000,0.0000,0.2122,1.7015,0.0012,4.4975,0.0040,1.0000,0.0021,0.0628,0.0000,0.2500,9.443E-4,5.0000,0.0295,0.0156,0.0000,0.2500,1.487E-5,10.0000,0.1003,0.0078,0.0000,0.2500,1.87E-6,22.5273,0.3439,0.0038,0.0000,0.2500,2.168E-7,28.4320,0.4281,0.0030,0.0968,0.2500,1.068E-7,22.5273,0.3439,0.0038,0.0000,0.2500,2.168E-7,22.5273,0.3439,0.0038,0.0000,0.2500,2.168E-7,0.0866,0.0001,0.2035,0.0000,0.2500,2.855E-2,0.0865,0.0001,0.2035,0.0000,0.0000,1.714E-3,1.5531,0.0036,0.0445,0.0000,0.2500,3.399E-4,8.7931,0.0774,0.0089,0.0000,0.2500,2.775E-6
Corydalus_cornutus,31,4.6670,5.3184,500,0.9984,4,5.2043,0.9979,0.0005,10031,9.2773,3.1629,0.5310,0.4030,0.5732,31.2573,1.3038,0.6242,18.9416,18.4093,1.3899,1.6004,1.2098,1.8555,0.0000,0.2276,0.0000,0.0156,0.0934,6.1357,1.5828,0.0000,0.0733,0.0000,0.0874,0.9820,0.0434,0.0000,0.0666,0.1452,0.0078,4.5692,0.0043,1.0000,0.0017,0.0800,0.0000,0.0000,4.086E-5,5.0000,0.0252,0.0189,0.0000,0.0000,1.287E-7,10.0000,0.0859,0.0089,0.0000,0.0000,6.197E-9,20.1509,0.3229,0.0045,0.0000,0.0000,4.05E-10,30.9623,0.4879,0.0029,0.0968,0.0000,6.986E-11,20.1509,0.3229,0.0045,0.0000,0.0000,4.05E-10,20.1509,0.3229,0.0045,0.0000,0.0000,4.05E-10,30.9623,0.4879,0.0029,0.0968,0.0000,6.986E-11,30.9623,0.4879,0.0029,0.0968,0.0000,6.986E-11,1.8082,0.0038,0.0495,0.0000,0.0000,6.026E-6,9.4296,0.0766,0.0096,0.0000,0.0000,8.389E-9
Corydalus_cornutus,32,4.6418,5.2931,500,0.9983,3,5.6178,0.9994,0.0002,10032,5.3454,0.2529,0.3253,1.1132,0.3448,26.9696,1.1618,0.2780,17.3652,22.1633,4.9756,0.4143,1.3756,2.0749,0.0000,0.4137,0.0000,0.0712,0.1228,12.4785,0.1742,0.0155,0.2307,0.0000,0.0000,1.0992,0.0118,0.0000,0.2559,0.9595,0.0071,4.5947,0.0044,1.0000,0.0018,0.0789,0.0000,0.0000,4.921E-4,5.0000,0.0251,0.0186,0.0000,0.0000,6.477E-6,10.0000,0.0849,0.0089,0.0000,0.0000,6.982E-7,20.5998,0.3148,0.0045,0.0000,0.0000,9.026E-8,28.9293,0.4539,0.0032,0.0938,0.0000,3.246E-8,20.5998,0.3148,0.0045,0.0000,0.0000,9.026E-8,20.5998,0.3148,0.0045,0.0000,0.0000,9.026E-8,62.0300,0.7025,0.0014,0.5312,0.0000,2.718E-9,62.0300,0.7025,0.0014,0.5312,0.0000,2.718E-9,1.8110,0.0039,0.0489,0.0000,0.0000,1.172E-4,9.2341,0.0758,0.0098,0.0000,0.0000,9.322E-7
Corydalus_cornutus,32,4.6492,5.3077,500,0.9983,3,5.4459,0.9985,0.0004,10032,3.8671,1.4280,1.5869,0.5651,1.6016,32.4113,1.3181,0.4948,21.7898,20.4862,0.3680,1.0712,1.7240,2.0507,0.0000,0.0401,0.0000,0.0000,0.1212,7.2466,0.0000,0.0000,0.0000,0.0000,0.0830,1.3285,0.0292,0.0000,0.1195,0.2612,0.0078,4.5866,0.0044,1.0000,0.0017,0.0793,0.0000,0.0000,4.995E-4,5.0000,0.0267,0.0185,0.0000,0.0000,6.373E-6,10.0000,0.0905,0.0088,0.0000,0.0000,6.75E-7,21.9287,0.3433,0.0043,0.0000,0.0000,7.875E-8,29.5206,0.4913,0.0032,0.0938,0.0000,3.246E-8,21.9287,0.3433,0.0043,0.0000,0.0000,7.875E-8,21.9287,0.3433,0.0043,0.0000,0.0000,7.875E-8,44.4205,0.6538,0.0022,0.2500,0.0000,1.055E-8,44.4205,0.6538,0.0022,0.2500,0.0000,1.055E-8,1.7791,0.0039,0.0499,0.0000,0.0000,1.246E-4,9.1052,0.0700,0.0098,0.0000,0.0000,9.322E-7
Corydalus_cornutus,32,4.6440,5.3035,500,0.9983,3,5.5756,0.9992,0.0003,10032,7.5557,4.1122,2.9715,1.4382,0.7679,27.8910,1.9346,0.6194,16.9476,14.7085,0.4183,1.1131,1.3993,2.2880,0.0000,0.1261,0.0000,0.0444,0.0856,13.0964,0.0080,0.0000,0.0566,0.0000,0.0312,1.6313,0.0098,0.0000,0.5265,0.2009,0.0179,4.5814,0.0044,1.0000,0.0019,0.0743,0.0000,0.0000,4.095E-4,5.0000,0.0277,0.0182,0.0000,0.0000,6.07E-6,10.0000,0.0925,0.0087,0.0000,0.0000,6.522E-7,19.5127,0.3070,0.0047,0.0000,0.0000,1.028E-7,29.5446,0.4740,0.0031,0.0938,0.0000,2.951E-8,19.5127,0.3070,0.0047,0.0000,0.0000,1.028E-7,19.5127,0.3070,0.0047,0.0000,0.0000,1.028E-7,76.7097,0.7063,0.0008,0.5625,0.0000,5.071E-10,76.7097,0.7063,0.0008,0.5625,0.0000,5.071E-10,1.6933,0.0039,0.0489,0.0000,0.0000,1.172E-4,9.1235,0.0698,0.0097,0.0000,0.0000,9.04E-7
Corydalus_cornutus,32,4.6705,5.2996,500,0.9983,3,5.1635,0.9981,0.0007,10032,3.5661,2.5337,1.5874,0.8321,0.8190,34.0466,1.0488,0.5024,21.0062,12.9305,5.6645,1.4920,0.5708,1.4661,0.0000,0.4062,0.0000,0.0000,0.1997,4.5821,4.7136,0.0000,0.0782,0.0000,0.1332,0.7229,0.0246,0.0000,0.8361,0.2369,0.0000,4.5598,0.0043,1.0000,0.0017,0.0751,0.0000,0.0000,4.229E-4,5.0000,0.0285,0.0173,0.0000,0.0000,5.218E-6,10.0000,0.0938,0.0085,0.0000,0.0000,6.083E-7,18.6194,0.3046,0.0048,0.0000,0.0000,1.095E-7,29.1544,0.4724,0.0032,0.0938,0.0000,3.246E-8,18.6194,0.3046,0.0048,0.0000,0.0000,1.095E-7,18.6194,0.3046,0.0048,0.0000,0.0000,1.095E-7,34.0637,0.5607,0.0027,0.1250,0.0000,1.95E-8,34.0637,0.5607,0.0027,0.1250,0.0000,1.95E-8,1.7233,0.0038,0.0479,0.0000,0.0000,1.102E-4,9.0530,0.0781,0.0095,0.0000,0.0000,8.492E-7
Corydalus_cornutus,32,4.7897,5.3699,500,0.9984,3,2.2758,0.9476,0.0410,10032,3.0899,1.3285,0.8929,2.9555,2.7171,30.7771,0.3974,0.5680,18.1782,20.7346,4.5051,1.0400,1.7876,1.0348,0.0000,0.1015,0.0000,0.0257,0.0310,1.7019,3.2238,0.6427,0.2608,0.0000,0.0000,2.1637,0.0063,0.0000,1.0029,0.8331,0.0000,4.4363,0.0038,1.0000,0.0020,0.0590,0.0000,0.3333,1.004E-2,5.0000,0.0289,0.0143,0.0000,0.3333,6.038E-4,10.0000,0.1102,0.0069,0.0000,0.3333,1.413E-4,22.1378,0.3742,0.0037,0.0000,0.3333,4.071E-5,27.3099,0.5335,0.0031,0.0938,0.3333,2.859E-5,22.1378,0.3742,0.0037,0.0000,0.3333,4.071E-5,22.1378,0.3742,0.0037,0.0000,0.3333,4.071E-5,0.1471,0.0002,0.1529,0.0000,0.0000,3.575E-3,0.1471,0.0002,0.1529,0.0000,0.0000,3.575E-3,1.5220,0.0034,0.0426,0.0000,0.3333,5.281E-3,8.2757,0.0757,0.0084,0.0000,0.3333,2.092E-4
