Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Cosmia_calami,24,3.3838,4.5390,500,0.9964,5,0.4475,0.6782,0.1747,10024,9.8333,4.8020,2.1815,0.0619,4.8245,14.2576,2.9059,0.9328,0.3227,6.3132,1.5015,12.7254,4.7118,11.7855,12.5834,2.9363,0.0000,0.0000,2.0378,0.0000,2.0067,0.1845,0.0043,0.0000,0.4845,0.2671,0.0836,0.0000,2.1770,0.0718,0.0029,5.8478,0.0160,1.0000,0.0024,0.4380,0.0000,0.4000,3.85E-1,5.0000,0.0119,0.1939,0.0000,0.4000,5.337E-2,10.0000,0.0302,0.1030,0.0000,0.4000,9.297E-3,29.2593,0.1808,0.0174,0.0000,0.4000,5.095E-5,33.0314,0.2230,0.0124,0.0833,0.4000,1.858E-5,29.2593,0.1808,0.0174,0.0000,0.4000,5.095E-5,29.2593,0.1808,0.0174,0.0000,0.4000,5.095E-5,1.2908,0.0029,0.4000,0.0000,0.4000,3.175E-1,39.9109,0.3621,0.0062,0.1667,0.4000,2.344E-6,5.6558,0.0136,0.1764,0.0000,0.4000,4.138E-2,21.3959,0.1074,0.0345,0.0000,0.4000,3.903E-4
Cosmia_calami,27,3.4323,4.6229,500,0.9943,2,1.1528,0.8931,0.0730,10027,10.9462,6.9776,2.0870,1.3736,8.1989,16.6934,1.9751,0.3474,0.1097,4.8432,1.4282,11.8089,3.3731,8.8959,8.4058,4.2332,0.0000,0.0000,1.0100,0.0000,0.8026,0.7661,0.0000,0.0000,0.4316,0.4501,1.1609,0.0000,3.4044,0.2713,0.0058,5.8159,0.0152,1.0000,0.0022,0.4537,0.0000,0.0000,2.058E-1,5.0000,0.0111,0.1987,0.0000,0.5000,3.579E-1,10.0000,0.0271,0.1044,0.0000,0.5000,1.979E-1,13.3330,0.0413,0.0718,0.0000,0.5000,1.385E-1,31.5481,0.2232,0.0119,0.0741,0.5000,2.36E-2,19.8196,0.0843,0.0370,0.0370,0.5000,7.263E-2,13.3330,0.0413,0.0718,0.0000,0.5000,1.385E-1,4.6355,0.0101,0.2101,0.0000,0.0000,4.416E-2,4.6355,0.0101,0.2101,0.0000,0.0000,4.416E-2,5.7374,0.0132,0.1785,0.0000,0.5000,3.252E-1,20.8554,0.0921,0.0334,0.0741,0.5000,6.57E-2
Cosmia_calami,26,3.4677,4.6452,500,0.9964,3,1.8466,0.8238,0.1413,10026,11.9210,4.4635,1.0868,1.9180,5.1991,7.5016,1.9534,0.0963,0.4125,10.8247,1.0673,10.7703,4.8442,10.5742,13.8679,3.9846,0.0000,0.0000,0.6399,0.0000,1.1977,0.2781,0.0000,0.1398,0.4381,0.6994,1.1628,0.0224,4.4181,0.5184,0.0000,5.7707,0.0144,1.0000,0.0021,0.4567,0.0000,0.3333,4.352E-1,5.0000,0.0104,0.1973,0.0000,0.3333,1.014E-1,10.0000,0.0259,0.1022,0.0000,0.3333,2.922E-2,19.6776,0.0809,0.0368,0.0000,0.3333,3.964E-3,33.7832,0.2602,0.0085,0.0769,0.3333,2.144E-4,19.6776,0.0809,0.0368,0.0385,0.3333,3.964E-3,19.6776,0.0809,0.0368,0.0000,0.3333,3.964E-3,2.1617,0.0042,0.3333,0.0000,0.3333,2.593E-1,37.7228,0.4006,0.0057,0.1538,0.3333,9.66E-5,5.7822,0.0126,0.1757,0.0000,0.3333,8.18E-2,21.1281,0.0920,0.0319,0.0385,0.3333,2.991E-3
Cosmia_calami,26,3.5265,4.7400,500,0.9954,3,-0.6471,0.8207,0.0794,10026,15.0788,2.1069,2.1722,0.8172,5.1342,11.6113,2.0441,0.7027,2.4066,6.3394,1.3559,10.1843,5.3172,13.3247,11.1097,1.2652,0.3407,0.0000,2.5793,0.0477,0.4403,0.4117,0.2603,0.0000,0.4142,0.3209,0.2916,0.0871,3.4909,0.3447,0.0000,5.7172,0.0137,1.0000,0.0020,0.4404,0.0000,0.0000,8.539E-2,5.0000,0.0103,0.1834,0.0000,0.3333,8.859E-2,10.0000,0.0262,0.0921,0.0000,0.6667,2.515E-1,13.2995,0.0414,0.0629,0.0000,0.6667,1.772E-1,41.6301,0.4938,0.0040,0.0769,1.0000,1E0,17.9676,0.0707,0.0385,0.0385,0.6667,1.111E-1,23.1735,0.1145,0.0225,0.0385,1.0000,1E0,1.9370,0.0036,0.3333,0.0000,0.3333,2.593E-1,1.6087,0.0030,0.3636,0.0000,0.0000,4.805E-2,5.7063,0.0120,0.1644,0.0000,0.3333,7.217E-2,20.3011,0.0891,0.0303,0.0385,1.0000,1E0
Cosmia_calami,26,3.1961,4.4506,500,0.9949,3,5.5949,0.9996,0.0002,10026,5.2658,4.7857,2.9561,1.5761,7.2262,14.8590,2.7367,0.5328,2.0133,6.9831,1.0024,12.5714,6.5319,8.8654,10.3898,2.4226,0.0000,0.0000,1.0343,0.0000,0.8487,0.7972,0.0042,0.0319,0.9122,0.9541,0.5941,0.0066,3.6221,0.4659,0.0105,6.0531,0.0199,1.0000,0.0028,0.4631,0.0000,0.0000,9.931E-2,5.0000,0.0141,0.2117,0.0000,0.0000,9.494E-3,10.0000,0.0334,0.1153,0.0000,0.0000,1.533E-3,19.0652,0.0930,0.0496,0.0000,0.0000,1.218E-4,32.7818,0.2352,0.0162,0.0769,0.0000,4.219E-6,22.1614,0.1207,0.0385,0.0385,0.0000,5.707E-5,19.0652,0.0930,0.0496,0.0000,0.0000,1.218E-4,75.1462,0.8968,0.0009,0.5769,0.0000,7.233E-10,75.1462,0.8968,0.0009,0.5769,0.0000,7.233E-10,5.8685,0.0167,0.1882,0.0000,0.0000,6.667E-3,20.9706,0.1100,0.0424,0.0385,0.0000,7.617E-5
Cosmia_calami,28,3.3284,4.4902,500,0.9954,1,4.5515,0.9980,-1.0000,10028,13.7505,2.0618,1.1707,0.5908,4.9070,12.2576,2.0395,0.4874,2.7766,7.6116,1.1169,11.8645,4.0468,11.7240,11.1472,2.8329,0.0000,0.0000,0.7901,0.0000,1.3819,0.8813,0.0000,0.0407,0.7235,0.7740,0.4658,0.0000,3.8509,0.7060,0.0000,5.9205,0.0172,1.0000,0.0025,0.4462,0.0000,0.0000,4.462E-1,5.0000,0.0126,0.1989,0.0000,0.0000,1.989E-1,10.0000,0.0309,0.1061,0.0000,0.0000,1.061E-1,18.5770,0.0845,0.0458,0.0000,0.0000,4.577E-2,31.2783,0.2118,0.0152,0.0714,0.0000,1.516E-2,21.4334,0.1077,0.0357,0.0357,0.0000,3.57E-2,18.5770,0.0845,0.0458,0.0000,0.0000,4.577E-2,56.4540,0.7788,0.0019,0.3571,0.0000,1.895E-3,56.4540,0.7788,0.0019,0.3571,0.0000,1.895E-3,5.7395,0.0146,0.1789,0.0000,0.0000,1.789E-1,20.9876,0.1042,0.0371,0.0357,0.0000,3.71E-2
Cosmia_calami,26,3.2405,4.4735,500,0.9953,3,5.2857,0.9992,0.0004,10026,11.8746,2.0813,1.3393,1.2500,5.3658,10.2411,1.7430,0.5977,1.6006,12.1491,0.9471,11.4020,5.4955,10.5730,10.1169,2.2032,0.0000,0.0000,1.6395,0.0000,1.4467,0.4351,0.0133,0.0247,0.8985,0.8961,0.9381,0.0000,4.4013,0.3264,0.0000,6.0101,0.0190,1.0000,0.0027,0.4548,0.0000,0.0000,9.408E-2,5.0000,0.0136,0.2069,0.0000,0.0000,8.852E-3,10.0000,0.0326,0.1127,0.0000,0.0000,1.432E-3,20.0688,0.1017,0.0440,0.0000,0.0000,8.51E-5,34.5818,0.2545,0.0130,0.0769,0.0000,2.18E-6,21.6921,0.1136,0.0385,0.0385,0.0000,5.707E-5,20.0688,0.1017,0.0440,0.0000,0.0000,8.51E-5,59.9998,0.7992,0.0017,0.3846,0.0000,4.875E-9,59.9998,0.7992,0.0017,0.3846,0.0000,4.875E-9,5.7515,0.0160,0.1865,0.0000,0.0000,6.488E-3,21.0490,0.1079,0.0406,0.0385,0.0000,6.69E-5
Cosmia_calami,26,3.3497,4.5393,500,0.9943,3,2.9152,0.9300,0.0559,10026,6.6614,6.7771,1.1490,2.3813,7.4874,15.9996,1.6082,0.1773,0.2511,8.9443,2.3381,11.2597,5.4932,11.2496,8.4827,2.0395,0.0000,0.0000,0.4807,0.0000,1.3461,0.5637,0.0000,0.0278,1.0283,0.8194,0.5237,0.0000,2.5089,0.3991,0.0028,5.8795,0.0164,1.0000,0.0024,0.4388,0.0000,0.0000,8.447E-2,5.0000,0.0119,0.1943,0.0000,0.3333,9.858E-2,10.0000,0.0304,0.1033,0.0000,0.3333,2.983E-2,15.1921,0.0573,0.0611,0.0000,0.3333,1.076E-2,25.5575,0.1495,0.0241,0.0769,0.3333,1.72E-3,20.2488,0.0959,0.0385,0.0385,0.3333,4.333E-3,15.1921,0.0573,0.0611,0.0000,0.3333,1.076E-2,4.5956,0.0109,0.2069,0.0000,0.3333,1.107E-1,4.5933,0.0109,0.2069,0.0000,0.0000,8.852E-3,5.6820,0.0141,0.1758,0.0000,0.3333,8.189E-2,21.1396,0.1019,0.0356,0.0385,0.3333,3.713E-3
Cosmia_calami,26,3.3582,4.6129,500,0.9957,3,3.1938,0.9609,0.0308,10026,10.8746,1.8298,5.0254,1.4752,5.7490,13.2114,2.3367,0.4668,0.1951,6.8765,1.1267,15.0100,4.9799,8.4652,10.6504,1.9449,0.0000,0.0000,1.1092,0.0000,1.4946,0.6150,0.0521,0.0487,0.6802,0.6536,0.8035,0.0486,3.7175,0.4910,0.0681,5.8866,0.0166,1.0000,0.0025,0.4151,0.0000,0.0000,7.154E-2,5.0000,0.0135,0.1829,0.0000,0.0000,6.121E-3,10.0000,0.0321,0.0977,0.0000,0.3333,2.679E-2,17.1818,0.0748,0.0480,0.0000,0.3333,6.684E-3,31.0515,0.2221,0.0146,0.0769,0.3333,6.3E-4,19.6263,0.0943,0.0385,0.0385,0.3333,4.333E-3,17.1818,0.0748,0.0480,0.0000,0.3333,6.684E-3,8.6192,0.0262,0.1144,0.0000,0.0000,1.497E-3,8.6192,0.0262,0.1144,0.0000,0.0000,1.497E-3,5.2552,0.0142,0.1764,0.0000,0.0000,5.493E-3,20.4054,0.1004,0.0359,0.0385,0.3333,3.775E-3
Cosmia_calami,26,3.4593,4.6817,500,0.9931,3,1.6960,0.8231,0.1410,10026,12.3958,2.9278,1.1270,0.5066,7.7205,9.3703,2.1888,0.1211,1.5440,6.6705,0.8171,10.3467,5.2324,13.2728,11.8958,4.4425,0.0000,0.5164,0.6668,0.0000,0.4042,0.3400,0.0895,0.0535,0.2865,0.6021,0.3750,0.0916,5.8015,0.1933,0.0000,5.7663,0.0145,1.0000,0.0021,0.4314,0.0000,0.3333,3.977E-1,5.0000,0.0108,0.1857,0.0000,0.3333,9.066E-2,10.0000,0.0274,0.0948,0.0385,0.3333,2.523E-2,7.6811,0.0186,0.1268,0.0000,0.3333,4.414E-2,37.2217,0.3457,0.0066,0.0769,0.6667,1.962E-2,18.2265,0.0755,0.0385,0.0385,0.3333,4.333E-3,28.5055,0.1906,0.0142,0.0385,0.3333,5.961E-4,1.8884,0.0038,0.3333,0.0000,0.3333,2.593E-1,35.5310,0.3201,0.0076,0.0769,0.3333,1.715E-4,5.6024,0.0126,0.1697,0.0000,0.3333,7.659E-2,20.1494,0.0950,0.0318,0.0385,0.3333,2.973E-3
