Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Cupido_comyntas,45,3.7352,4.6866,500,0.9960,6,2.3378,0.8855,0.0977,10045,3.2436,2.6184,0.5830,3.2483,5.0925,11.0042,5.4563,0.5199,1.4358,1.7326,1.9730,2.2093,6.3080,0.6110,38.9788,2.2706,0.1678,0.0000,1.9957,3.2543,0.0000,2.3745,0.7560,1.3316,0.0000,0.4763,1.2809,1.0101,0.0258,0.0419,0.0000,5.5482,0.0112,1.0000,0.0018,0.3045,0.0000,0.1667,1.173E-2,5.0000,0.0123,0.1021,0.0000,0.1667,6.102E-5,10.0000,0.0386,0.0441,0.0222,0.1667,9.642E-7,9.1672,0.0326,0.0500,0.0000,0.1667,1.792E-6,40.5981,0.6485,0.0042,0.0667,0.5000,1.448E-6,11.9298,0.0570,0.0340,0.0444,0.1667,2.667E-7,35.2659,0.5228,0.0052,0.0444,0.5000,2.742E-6,2.8210,0.0058,0.1667,0.0000,0.1667,6.641E-4,14.5720,0.0823,0.0247,0.0444,0.1667,5.391E-8,4.3051,0.0101,0.1178,0.0000,0.1667,1.226E-4,14.3147,0.0782,0.0255,0.0444,0.1667,6.314E-8
Cupido_comyntas,46,3.6059,4.6036,500,0.9957,5,3.9755,0.9951,0.0011,10046,5.6758,1.1674,3.9623,1.1631,3.9365,13.0420,4.4685,0.5182,1.8335,0.1847,1.7294,1.1828,7.8088,0.6921,38.2312,2.2375,0.1379,0.0000,1.4386,2.6253,0.0000,2.8597,0.8040,0.7579,0.0000,0.8788,1.5369,0.9227,0.0000,0.1916,0.0130,5.6615,0.0125,1.0000,0.0019,0.3527,0.0000,0.0000,5.456E-3,5.0000,0.0118,0.1223,0.0000,0.0000,2.74E-5,10.0000,0.0360,0.0535,0.0217,0.0000,4.364E-7,7.7433,0.0231,0.0752,0.0000,0.0000,2.398E-6,43.3052,0.6625,0.0041,0.0870,0.4000,6.756E-7,16.9397,0.1028,0.0228,0.0217,0.0000,6.155E-9,16.9397,0.1028,0.0228,0.0217,0.0000,6.155E-9,30.2220,0.3670,0.0075,0.0652,0.0000,2.319E-11,30.2220,0.3670,0.0075,0.0652,0.0000,2.319E-11,4.8231,0.0113,0.1267,0.0000,0.0000,3.267E-5,14.9600,0.0793,0.0286,0.0217,0.0000,1.903E-8
Cupido_comyntas,46,3.6047,4.6362,500,0.9962,5,4.7442,0.9975,0.0011,10046,6.8064,2.9335,3.8652,2.1903,4.9482,12.3430,4.4014,0.9035,0.7017,0.3207,1.8230,1.1777,5.0680,0.7394,36.7439,1.3545,0.4043,0.0000,1.8481,3.2782,0.0158,2.9002,1.0038,0.5206,0.0000,0.7062,1.8706,1.0630,0.0063,0.0467,0.0158,5.6578,0.0125,1.0000,0.0019,0.3491,0.0000,0.0000,5.185E-3,5.0000,0.0118,0.1177,0.0000,0.0000,2.255E-5,10.0000,0.0382,0.0518,0.0217,0.0000,3.716E-7,9.6739,0.0358,0.0543,0.0000,0.0000,4.699E-7,42.6566,0.7164,0.0042,0.0870,0.2000,1.522E-9,17.4602,0.1150,0.0217,0.0217,0.0000,4.812E-9,18.6476,0.1312,0.0193,0.0217,0.0000,2.686E-9,31.6751,0.4183,0.0068,0.0652,0.0000,1.421E-11,31.6751,0.4183,0.0068,0.0652,0.0000,1.421E-11,4.8438,0.0113,0.1215,0.0000,0.0000,2.652E-5,14.8690,0.0824,0.0285,0.0217,0.0000,1.87E-8
Cupido_comyntas,46,3.6334,4.6118,500,0.9955,5,3.5037,0.9874,0.0077,10046,2.0206,5.4234,3.6243,0.3609,3.9345,13.4039,5.3768,0.2673,1.4013,0.7368,1.6673,0.5394,8.5142,0.7996,34.7283,2.2672,0.0511,0.0000,1.8956,2.1801,0.0000,6.1724,0.8695,0.6953,0.0000,0.4710,1.6062,0.9287,0.0000,0.0540,0.0104,5.6198,0.0120,1.0000,0.0018,0.3482,0.0000,0.0000,5.118E-3,5.0000,0.0114,0.1168,0.0000,0.0000,2.17E-5,10.0000,0.0380,0.0508,0.0217,0.0000,3.372E-7,7.2559,0.0205,0.0770,0.0000,0.0000,2.715E-6,36.5195,0.5295,0.0050,0.0870,0.2000,3.056E-9,16.0346,0.0915,0.0246,0.0217,0.2000,1.791E-6,16.0346,0.0915,0.0246,0.0217,0.2000,1.791E-6,10.5785,0.0426,0.0470,0.0217,0.0000,2.29E-7,10.5785,0.0426,0.0470,0.0217,0.0000,2.29E-7,4.8171,0.0108,0.1212,0.0000,0.0000,2.62E-5,15.0807,0.0786,0.0274,0.0217,0.2000,2.746E-6
Cupido_comyntas,46,3.6630,4.6568,500,0.9960,5,2.7416,0.9165,0.0705,10046,2.5653,2.6239,3.6118,2.6114,4.3557,12.7827,5.2099,0.8384,2.7720,1.1837,2.1339,1.0002,6.0396,0.1827,38.8924,1.1284,0.1769,0.0190,2.5300,1.3481,0.0185,2.0507,0.5998,0.5739,0.0000,0.8955,1.7943,1.7774,0.0000,0.2252,0.0585,5.6192,0.0121,1.0000,0.0018,0.3232,0.0000,0.2000,4.046E-2,5.0000,0.0126,0.1065,0.0000,0.2000,5.886E-4,10.0000,0.0431,0.0476,0.0217,0.2000,2.465E-5,8.4698,0.0311,0.0587,0.0000,0.2000,5.669E-5,42.2601,0.7051,0.0042,0.0870,0.4000,7.262E-7,15.4590,0.0939,0.0255,0.0217,0.2000,2.065E-6,15.4590,0.0939,0.0255,0.0217,0.2000,2.065E-6,2.3445,0.0047,0.2000,0.0000,0.2000,6.717E-3,23.0381,0.2085,0.0122,0.0435,0.2000,1.113E-7,4.5260,0.0108,0.1175,0.0000,0.2000,8.623E-4,14.7639,0.0879,0.0274,0.0217,0.2000,2.746E-6
Cupido_comyntas,46,3.7607,4.7085,500,0.9960,5,1.9104,0.8768,0.1013,10046,4.5109,4.1262,0.9407,0.8694,4.3315,13.1915,5.2660,0.2247,1.1729,2.2428,1.9533,1.7259,7.3891,0.4495,39.5063,1.2103,0.1317,0.0000,1.4388,2.3272,0.0817,2.4391,0.7496,0.4804,0.0000,0.2674,1.2258,1.5009,0.1467,0.0794,0.0203,5.5073,0.0108,1.0000,0.0017,0.2923,0.0000,0.2000,2.795E-2,5.0000,0.0126,0.0896,0.0000,0.2000,2.99E-4,10.0000,0.0426,0.0388,0.0217,0.2000,1.1E-5,5.7855,0.0161,0.0764,0.0000,0.2000,1.603E-4,39.3235,0.6394,0.0044,0.0870,0.6000,1.902E-4,15.0359,0.0969,0.0217,0.0217,0.4000,9.889E-5,24.2073,0.2581,0.0095,0.0217,0.4000,8.337E-6,1.9562,0.0036,0.2000,0.0000,0.2000,6.717E-3,12.8483,0.0755,0.0274,0.0217,0.2000,2.746E-6,4.2182,0.0097,0.1068,0.0000,0.2000,5.951E-4,13.8958,0.0839,0.0245,0.0217,0.4000,1.415E-4
Cupido_comyntas,46,3.7613,4.7364,500,0.9971,5,2.4395,0.8967,0.0878,10046,4.8876,1.8839,1.3955,0.3320,4.6302,14.1445,4.5738,0.0741,0.7161,0.6599,2.0854,1.3364,9.1194,0.5753,36.4631,1.1173,0.5314,0.0000,4.4619,2.7304,0.0145,3.2998,0.3746,0.4742,0.0000,1.7899,1.2114,0.9764,0.0038,0.0765,0.0609,5.4957,0.0106,1.0000,0.0018,0.2815,0.0000,0.2000,2.433E-2,5.0000,0.0128,0.0875,0.0000,0.2000,2.725E-4,10.0000,0.0453,0.0381,0.0000,0.2000,1.024E-5,13.1209,0.0755,0.0258,0.0000,0.2000,2.163E-6,41.1385,0.6801,0.0043,0.0652,0.4000,7.792E-7,14.6542,0.0928,0.0217,0.0217,0.2000,1.089E-6,13.1209,0.0755,0.0258,0.0000,0.2000,2.163E-6,1.8492,0.0035,0.2000,0.0000,0.2000,6.717E-3,22.0553,0.2079,0.0110,0.0217,0.2000,7.386E-8,4.1337,0.0096,0.1064,0.0000,0.2000,5.865E-4,13.6735,0.0808,0.0242,0.0217,0.2000,1.679E-6
Cupido_comyntas,46,3.5909,4.6068,500,0.9958,5,4.7574,0.9973,0.0008,10046,5.7556,0.5975,3.4638,1.6608,4.9162,10.1924,4.9564,0.2479,1.7130,0.5665,1.9539,0.8682,8.5445,0.4018,38.8801,1.2725,0.1780,0.0000,2.5662,2.5692,0.0000,3.3126,0.5932,0.6500,0.0000,0.5151,1.3548,2.1653,0.0000,0.1044,0.0000,5.6824,0.0128,1.0000,0.0019,0.3526,0.0000,0.0000,5.448E-3,5.0000,0.0122,0.1205,0.0000,0.0000,2.545E-5,10.0000,0.0388,0.0531,0.0217,0.0000,4.204E-7,8.3788,0.0278,0.0672,0.0000,0.0000,1.369E-6,41.8124,0.6728,0.0044,0.0870,0.0000,1.612E-12,17.7854,0.1195,0.0217,0.0217,0.0000,4.812E-9,17.9250,0.1204,0.0213,0.0217,0.0000,4.386E-9,41.8124,0.6728,0.0044,0.0870,0.0000,1.612E-12,41.8124,0.6728,0.0044,0.0870,0.0000,1.612E-12,4.8180,0.0116,0.1250,0.0000,0.0000,3.055E-5,14.9531,0.0842,0.0292,0.0217,0.0000,2.11E-8
Cupido_comyntas,46,3.6275,4.6222,500,0.9959,5,4.7088,0.9976,0.0009,10046,1.9839,2.3738,3.6477,1.5120,4.6362,11.2329,5.6244,1.6827,1.9213,2.3627,2.0320,0.8585,7.4977,0.6764,38.1311,1.5929,0.1003,0.0000,2.1249,2.4691,0.0000,2.0343,0.6340,0.6969,0.0000,0.7266,2.0794,1.2613,0.0000,0.0886,0.0182,5.6414,0.0123,1.0000,0.0019,0.3432,0.0000,0.0000,4.763E-3,5.0000,0.0119,0.1149,0.0000,0.0000,2E-5,10.0000,0.0385,0.0500,0.0217,0.0000,3.116E-7,8.3041,0.0275,0.0641,0.0000,0.0000,1.083E-6,38.1177,0.5644,0.0050,0.0870,0.0000,3.054E-12,16.9802,0.1095,0.0218,0.0217,0.0000,4.923E-9,16.9802,0.1095,0.0218,0.0217,0.0000,4.923E-9,38.1177,0.5644,0.0050,0.0870,0.0000,3.054E-12,38.1177,0.5644,0.0050,0.0870,0.0000,3.054E-12,4.7418,0.0111,0.1211,0.0000,0.0000,2.609E-5,14.6839,0.0818,0.0280,0.0217,0.0000,1.712E-8
Cupido_comyntas,46,3.6274,4.6309,500,0.9961,5,3.2548,0.9645,0.0287,10046,2.9249,3.5599,2.5756,2.0283,4.0531,14.0836,3.6145,0.3682,1.5669,1.0433,2.6079,0.6624,8.1386,0.5390,35.6654,1.2723,0.2212,0.0000,1.4989,3.1822,0.0138,2.5393,0.7172,0.6042,0.0000,4.0409,0.9147,1.4333,0.0061,0.1099,0.0148,5.6458,0.0123,1.0000,0.0019,0.3546,0.0000,0.0000,5.604E-3,5.0000,0.0116,0.1203,0.0000,0.2000,9.478E-4,10.0000,0.0366,0.0521,0.0217,0.2000,3.52E-5,9.2399,0.0318,0.0580,0.0000,0.2000,5.408E-5,36.3643,0.5128,0.0053,0.0870,0.2000,3.857E-9,17.2729,0.1096,0.0217,0.0217,0.2000,1.089E-6,20.5601,0.1552,0.0155,0.0217,0.2000,2.871E-7,3.5696,0.0074,0.1638,0.0000,0.2000,3.131E-3,3.5684,0.0074,0.1638,0.0000,0.0000,1.181E-4,4.8925,0.0111,0.1230,0.0000,0.2000,1.033E-3,14.8705,0.0796,0.0282,0.0217,0.2000,3.078E-6
