Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Danaus_plexippus,53,4.1847,4.7613,500,0.9970,7,4.9692,0.9975,0.0005,10053,3.2710,0.8272,0.5571,2.2487,0.5296,49.0739,6.8910,1.3209,0.0550,0.0148,0.0000,2.3377,4.2039,1.0202,17.9895,3.3837,0.0226,0.3331,0.0000,0.0000,0.0000,2.0199,0.9884,0.7319,0.0000,1.0900,0.0881,0.5271,0.4747,0.0000,0.0000,5.0432,0.0069,1.0000,0.0018,0.1280,0.0000,0.0000,5.636E-7,5.0000,0.0236,0.0273,0.0000,0.0000,1.117E-11,10.0000,0.1135,0.0128,0.0189,0.0000,5.729E-14,8.3896,0.0752,0.0152,0.0000,0.0000,1.891E-13,26.7545,0.5049,0.0057,0.0566,0.0000,1.884E-16,8.3896,0.0752,0.0152,0.0189,0.0000,1.891E-13,8.3896,0.0752,0.0152,0.0000,0.0000,1.891E-13,43.2902,0.6349,0.0037,0.2830,0.0000,9.148E-18,43.2902,0.6349,0.0037,0.2830,0.0000,9.148E-18,2.4543,0.0061,0.0604,0.0000,0.0000,2.926E-9,8.3371,0.0748,0.0153,0.0000,0.0000,1.98E-13
Danaus_plexippus,54,4.1672,4.7402,500,0.9969,6,4.8955,0.9972,0.0006,10054,3.7813,1.4699,0.5583,0.1257,0.5648,52.1399,5.6389,2.9324,0.2979,0.0201,0.0076,1.3096,3.7161,1.0971,15.1039,2.5472,0.0189,0.6248,2.3338,0.5145,0.0000,2.3866,0.4036,0.6098,0.0000,0.8786,0.0203,0.3792,0.5191,0.0000,0.0000,5.0589,0.0070,1.0000,0.0018,0.1341,0.0000,0.0000,5.809E-6,5.0000,0.0229,0.0277,0.0000,0.0000,4.469E-10,10.0000,0.1111,0.0130,0.0185,0.0000,4.893E-12,9.5376,0.1030,0.0136,0.0000,0.0000,6.402E-12,26.7676,0.5034,0.0057,0.0556,0.0000,3.321E-14,9.6106,0.1031,0.0136,0.0185,0.0000,6.402E-12,9.5376,0.1030,0.0136,0.0000,0.0000,6.402E-12,38.1565,0.5921,0.0043,0.2593,0.0000,6.12E-15,38.1565,0.5921,0.0043,0.2593,0.0000,6.12E-15,2.5150,0.0062,0.0607,0.0000,0.0000,4.988E-8,8.3248,0.0800,0.0156,0.0000,0.0000,1.45E-11
Danaus_plexippus,54,4.2607,4.7875,500,0.9970,6,3.0612,0.9490,0.0427,10054,1.1255,2.4966,0.2484,0.0599,0.5127,59.9446,2.9791,0.3155,0.0161,0.7974,0.0000,3.2109,3.4291,0.0000,8.4345,2.0754,0.0925,0.1472,0.5972,0.0000,0.0000,3.2294,8.0334,0.7016,0.0000,0.4020,0.0580,0.4772,0.6158,0.0000,0.0000,4.9571,0.0064,1.0000,0.0018,0.1103,0.0000,0.1667,8.897E-5,5.0000,0.0277,0.0219,0.0000,0.1667,2.955E-8,10.0000,0.1424,0.0110,0.0185,0.1667,9.751E-10,9.5887,0.1286,0.0114,0.0000,0.1667,1.164E-9,24.5115,0.4871,0.0057,0.0741,0.3333,1.536E-8,9.5887,0.1286,0.0114,0.0185,0.1667,1.164E-9,9.5887,0.1286,0.0114,0.0000,0.1667,1.164E-9,0.5212,0.0008,0.1667,0.0000,0.1667,6.651E-4,14.0202,0.2323,0.0085,0.0185,0.1667,2.573E-10,2.2972,0.0056,0.0529,0.0000,0.1667,2.379E-6,7.5717,0.0692,0.0141,0.0000,0.1667,3.332E-9
Danaus_plexippus,54,4.1988,4.7631,500,0.9970,6,4.8074,0.9974,0.0009,10054,2.3937,0.6290,0.6293,0.1219,1.2942,55.2053,5.7381,1.5584,0.0133,0.4082,0.0000,0.7431,3.4280,0.9411,17.0985,2.7256,0.0156,0.3792,0.0006,0.0000,0.0000,3.8031,0.4025,0.7031,0.0000,1.1437,0.0584,0.3209,0.2450,0.0000,0.0000,5.0072,0.0067,1.0000,0.0017,0.1206,0.0000,0.0000,3.084E-6,5.0000,0.0258,0.0252,0.0000,0.0000,2.539E-10,10.0000,0.1150,0.0120,0.0185,0.0000,3.039E-12,9.0306,0.0921,0.0132,0.0000,0.0000,5.359E-12,25.7409,0.4910,0.0057,0.0741,0.1667,3.498E-11,9.0989,0.0927,0.0132,0.0185,0.0000,5.359E-12,9.0306,0.0921,0.0132,0.0000,0.0000,5.359E-12,19.5682,0.3647,0.0068,0.0185,0.0000,9.572E-14,19.5682,0.3647,0.0068,0.0185,0.0000,9.572E-14,2.3319,0.0059,0.0592,0.0000,0.0000,4.296E-8,8.0988,0.0793,0.0148,0.0000,0.0000,1.059E-11
Danaus_plexippus,54,4.2335,4.7828,500,0.9970,6,3.3394,0.9815,0.0131,10054,2.2334,1.4301,0.4080,0.3837,0.2172,58.1942,2.5926,1.6204,0.0095,0.0715,0.0000,1.2878,5.0715,0.9516,16.7707,2.1995,0.1861,0.1875,0.0103,0.0127,0.0000,3.5994,0.2736,0.5808,0.0000,1.1454,0.0228,0.3798,0.1598,0.0000,0.0000,4.9940,0.0066,1.0000,0.0016,0.1244,0.0000,0.0000,3.711E-6,5.0000,0.0243,0.0246,0.0000,0.1667,5.26E-8,10.0000,0.1210,0.0118,0.0000,0.1667,1.38E-9,11.1710,0.1543,0.0107,0.0000,0.1667,8.505E-10,24.5360,0.4337,0.0057,0.0926,0.5000,3.598E-6,11.2961,0.1558,0.0107,0.0185,0.1667,8.505E-10,11.1710,0.1543,0.0107,0.0000,0.1667,8.505E-10,1.5025,0.0028,0.0899,0.0000,0.1667,3.262E-5,1.5015,0.0028,0.0899,0.0000,0.0000,5.284E-7,2.4339,0.0058,0.0562,0.0000,0.1667,3.205E-6,8.0239,0.0769,0.0146,0.0000,0.1667,3.96E-9
Danaus_plexippus,54,4.1710,4.7648,500,0.9970,6,5.0106,0.9979,0.0005,10054,1.3404,1.7017,2.2311,0.4417,0.5997,50.5557,4.3918,4.5686,0.6098,0.0493,0.0119,3.1583,3.3407,1.0144,16.3108,2.8623,0.0221,0.5253,0.0000,0.0000,0.0000,1.4227,2.2222,0.6969,0.0000,1.0525,0.0628,0.4357,0.3684,0.0030,0.0000,5.0585,0.0070,1.0000,0.0018,0.1308,0.0000,0.0000,5.006E-6,5.0000,0.0238,0.0278,0.0000,0.0000,4.567E-10,10.0000,0.1112,0.0130,0.0185,0.0000,4.893E-12,9.7689,0.1038,0.0133,0.0000,0.0000,5.605E-12,28.6205,0.5242,0.0055,0.0926,0.0000,2.68E-14,9.7689,0.1038,0.0133,0.0185,0.0000,5.605E-12,9.7689,0.1038,0.0133,0.0000,0.0000,5.605E-12,48.5387,0.6865,0.0035,0.3704,0.0000,1.78E-15,48.5387,0.6865,0.0035,0.3704,0.0000,1.78E-15,2.4998,0.0062,0.0609,0.0000,0.0000,5.087E-8,8.3109,0.0772,0.0156,0.0000,0.0000,1.45E-11
Danaus_plexippus,54,4.1933,4.7507,500,0.9970,6,4.7789,0.9975,0.0010,10054,2.1822,1.0454,1.2889,0.2890,0.4239,49.4045,3.3901,2.8811,0.0073,0.0907,0.0000,0.3243,3.2185,1.0093,25.1924,3.2054,0.2307,0.3408,0.0000,0.5923,0.0000,2.5376,0.4525,0.5159,0.0000,0.8046,0.0244,0.1237,0.4244,0.0000,0.0000,5.0279,0.0068,1.0000,0.0017,0.1283,0.0000,0.0000,4.462E-6,5.0000,0.0242,0.0264,0.0000,0.0000,3.353E-10,10.0000,0.1088,0.0125,0.0185,0.0000,3.874E-12,9.7400,0.1037,0.0128,0.0000,0.0000,4.462E-12,26.0711,0.5041,0.0057,0.0926,0.1667,3.498E-11,9.8189,0.1075,0.0128,0.0185,0.0000,4.462E-12,9.7400,0.1037,0.0128,0.0000,0.0000,4.462E-12,19.9644,0.3707,0.0069,0.0185,0.0000,1.045E-13,19.9644,0.3707,0.0069,0.0185,0.0000,1.045E-13,2.4403,0.0060,0.0600,0.0000,0.0000,4.654E-8,8.3180,0.0763,0.0151,0.0000,0.0000,1.194E-11
Danaus_plexippus,55,4.2514,4.7742,500,0.9969,5,2.8022,0.9826,0.0098,10055,1.8025,0.6722,0.1780,0.7107,0.7941,56.1513,2.7498,2.5465,0.0106,0.8685,0.0062,1.0661,3.9894,0.9297,18.5777,3.7423,0.0000,0.2720,0.0191,0.0000,0.0033,2.3334,0.1126,0.8726,0.0000,0.4687,0.1142,0.6357,0.3729,0.0000,0.0000,4.9789,0.0065,1.0000,0.0018,0.1109,0.0000,0.0000,1.677E-5,5.0000,0.0275,0.0229,0.0000,0.2000,1.344E-6,10.0000,0.1242,0.0115,0.0182,0.2000,8.775E-8,6.8630,0.0577,0.0164,0.0000,0.2000,3.578E-7,29.5712,0.5420,0.0050,0.0909,0.8000,2.462E-2,6.9064,0.0593,0.0164,0.0182,0.2000,3.578E-7,6.8630,0.0577,0.0164,0.0000,0.2000,3.578E-7,1.9885,0.0047,0.0612,0.0000,0.0000,8.56E-7,1.9885,0.0047,0.0612,0.0000,0.0000,8.56E-7,2.2197,0.0057,0.0548,0.0000,0.2000,4.311E-5,7.8784,0.0719,0.0144,0.0182,0.2000,2.137E-7
Danaus_plexippus,54,4.2835,4.8404,500,0.9972,6,3.2256,0.9647,0.0285,10054,2.9363,1.0615,0.9054,0.6277,0.4306,52.2442,2.9284,2.3745,0.4652,0.5250,0.0345,5.0841,3.7549,0.9347,14.0548,3.8759,0.0695,1.8097,0.0071,0.0000,0.0000,3.2445,0.6821,0.0000,0.0000,0.9426,0.1215,0.3510,0.5342,0.0000,0.0000,4.9543,0.0064,1.0000,0.0020,0.0979,0.0000,0.1667,4.949E-5,5.0000,0.0277,0.0211,0.0000,0.1667,2.457E-8,10.0000,0.1380,0.0110,0.0000,0.1667,9.751E-10,23.5256,0.4665,0.0058,0.0000,0.3333,1.646E-8,25.6247,0.5051,0.0056,0.0741,0.3333,1.431E-8,23.5256,0.4665,0.0058,0.0000,0.3333,1.646E-8,23.5256,0.4665,0.0058,0.0000,0.3333,1.646E-8,0.4139,0.0007,0.1667,0.0000,0.1667,6.651E-4,14.8448,0.2314,0.0081,0.0000,0.1667,2.023E-10,2.0763,0.0056,0.0537,0.0000,0.1667,2.562E-6,7.5554,0.0729,0.0140,0.0000,0.1667,3.217E-9
Danaus_plexippus,54,4.2558,4.7466,500,0.9968,6,3.2549,0.9894,0.0040,10054,2.2841,1.3516,2.1087,1.5671,0.4138,52.5823,7.3988,4.1796,0.0013,0.3969,0.0000,0.6538,2.8068,0.9750,15.3854,1.9627,0.0153,0.1718,0.0000,0.0000,0.0000,1.5841,2.5130,0.7241,0.0173,0.5492,0.0314,0.0002,0.3225,0.0035,0.0000,4.9649,0.0064,1.0000,0.0016,0.1180,0.0000,0.0000,2.694E-6,5.0000,0.0279,0.0225,0.0185,0.3333,3.693E-6,10.0000,0.1231,0.0114,0.0185,0.3333,2.521E-7,4.6851,0.0232,0.0243,0.0000,0.0000,2.043E-10,24.9994,0.4756,0.0056,0.0926,0.5000,3.413E-6,6.0790,0.0457,0.0185,0.0185,0.3333,1.705E-6,4.6851,0.0232,0.0243,0.0000,0.0000,2.043E-10,4.6851,0.0232,0.0243,0.0000,0.0000,2.043E-10,4.6851,0.0232,0.0243,0.0000,0.0000,2.043E-10,2.3078,0.0056,0.0545,0.0000,0.0000,2.622E-8,8.0049,0.0751,0.0142,0.0185,0.3333,6E-7
