Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Diadophis_punctatus,124,2.7812,3.3820,500,0.9864,14,2.6963,0.9404,0.0406,10124,1.4335,4.6006,2.5505,3.5186,6.0593,14.2805,2.2375,0.2504,0.0182,1.0980,0.0105,0.8070,10.2673,1.3576,20.2698,0.6455,0.4917,0.1297,0.4202,15.3307,0.6868,6.1199,4.3615,0.8477,0.5752,0.1953,0.2168,0.1549,0.7283,0.3365,0.0000,6.5070,0.0301,1.0000,0.0038,0.4750,0.0000,0.0714,4.905E-4,5.0000,0.0201,0.1956,0.0000,0.0714,7.017E-9,10.0000,0.0567,0.1001,0.0161,0.1429,7.551E-11,5.7261,0.0242,0.1742,0.0000,0.0714,1.601E-9,24.6938,0.2570,0.0294,0.0968,0.2143,4.819E-15,15.9237,0.1204,0.0565,0.0565,0.1429,8.651E-14,19.2377,0.1628,0.0432,0.0565,0.1429,3.51E-15,9.1267,0.0489,0.1105,0.0161,0.1429,2.44E-10,23.3459,0.2381,0.0321,0.0887,0.1429,1.026E-16,5.7261,0.0242,0.1742,0.0000,0.0714,1.601E-9,14.1517,0.0989,0.0661,0.0484,0.1429,5.563E-13
Diadophis_punctatus,125,2.8904,3.4520,500,0.9871,13,0.9461,0.8730,0.0519,10125,3.5643,2.2270,0.1440,2.6064,5.3546,15.8086,0.7529,0.4698,0.0274,1.2287,0.0000,0.3283,9.6859,0.5050,24.1729,0.5264,0.5265,0.2756,0.2979,13.8348,0.9526,9.1946,1.8126,1.0913,1.3834,0.7806,0.4513,0.6093,0.5792,0.7938,0.0143,6.3749,0.0262,1.0000,0.0035,0.4284,0.0000,0.1538,2.576E-3,5.0000,0.0202,0.1689,0.0160,0.2308,3.278E-6,10.0000,0.0568,0.0854,0.0240,0.3077,1.259E-7,4.2818,0.0164,0.1913,0.0000,0.1538,6.666E-7,23.2004,0.2285,0.0269,0.0960,0.5385,5.481E-7,18.0953,0.1488,0.0400,0.0400,0.4615,2.271E-7,15.5336,0.1206,0.0495,0.0240,0.3846,3.695E-8,4.2818,0.0164,0.1913,0.0000,0.1538,6.666E-7,4.2818,0.0164,0.1913,0.0000,0.1538,6.666E-7,4.2818,0.0164,0.1913,0.0000,0.1538,6.666E-7,13.8057,0.0982,0.0579,0.0240,0.3846,1.245E-7
Diadophis_punctatus,124,2.7869,3.3682,500,0.9850,14,0.5496,0.8201,0.0733,10124,3.8631,7.8092,2.1123,0.1269,5.9547,11.9694,4.0872,0.0733,0.0259,0.2127,0.0000,1.3227,9.8395,0.2849,20.8336,0.4771,0.2907,0.4104,0.3689,11.4205,6.4639,5.9131,3.3655,0.3674,0.3727,0.2771,0.3603,0.8309,0.4356,0.1304,0.0000,6.5071,0.0299,1.0000,0.0038,0.5075,0.0000,0.1429,7.541E-3,5.0000,0.0192,0.2172,0.0081,0.2857,9.736E-5,10.0000,0.0492,0.1136,0.0161,0.3571,3.681E-6,2.7802,0.0099,0.3220,0.0000,0.1429,5.591E-5,26.6155,0.2679,0.0252,0.0968,0.5000,1.889E-8,16.9121,0.1148,0.0561,0.0565,0.4286,2.17E-7,16.8928,0.1144,0.0561,0.0484,0.4286,2.17E-7,4.1542,0.0154,0.2491,0.0081,0.2143,3.841E-5,12.4715,0.0675,0.0870,0.0403,0.3571,3.813E-7,6.2664,0.0258,0.1803,0.0081,0.3571,1.667E-4,15.1858,0.0940,0.0661,0.0484,0.4286,7.599E-7
Diadophis_punctatus,124,2.7818,3.3437,500,0.9842,14,2.4197,0.9665,0.0123,10124,0.5792,5.6602,2.2194,2.5003,7.2304,16.7963,1.8094,0.2771,0.0125,0.8910,0.0068,1.4815,11.2882,0.3806,18.3811,0.7722,0.2012,0.0961,0.2747,15.9000,0.4545,6.8890,2.0186,0.8644,0.6313,0.4634,0.1374,0.9107,0.5393,0.3332,0.0000,6.5111,0.0301,1.0000,0.0039,0.4979,0.0000,0.0000,5.758E-5,5.0000,0.0193,0.2100,0.0161,0.0000,3.243E-10,10.0000,0.0516,0.1069,0.0323,0.0714,2.993E-12,4.0683,0.0151,0.2458,0.0000,0.0000,2.931E-9,23.5117,0.2258,0.0317,0.0968,0.2857,9.145E-13,17.6673,0.1330,0.0499,0.0484,0.2143,1.505E-12,17.6673,0.1330,0.0499,0.0484,0.2143,1.505E-12,13.4152,0.0812,0.0741,0.0323,0.0714,2.639E-14,13.4152,0.0812,0.0741,0.0323,0.0714,2.639E-14,4.0683,0.0151,0.2458,0.0000,0.0000,2.931E-9,14.5299,0.0944,0.0664,0.0403,0.1429,5.866E-13
Diadophis_punctatus,124,2.8354,3.3341,500,0.9818,14,1.9815,0.9166,0.0361,10124,2.6272,3.4094,3.1938,3.7936,6.1492,13.2122,1.3002,0.1161,0.0240,0.2128,0.0000,1.0416,11.4068,0.0659,19.7933,0.5549,0.2728,0.0866,0.3799,13.0103,0.6811,9.7474,3.9051,1.2921,1.4628,0.4303,0.3483,0.2799,0.5171,0.6854,0.0000,6.4559,0.0284,1.0000,0.0037,0.4678,0.0000,0.0714,4.068E-4,5.0000,0.0195,0.1923,0.0323,0.2143,2.71E-6,10.0000,0.0526,0.0983,0.0403,0.2143,2.267E-9,2.8447,0.0103,0.2865,0.0000,0.0714,9.022E-7,24.3507,0.2519,0.0273,0.0968,0.4286,7.909E-10,15.2858,0.1049,0.0565,0.0565,0.3571,9.05E-9,17.3806,0.1300,0.0466,0.0565,0.3571,1.682E-9,4.8594,0.0187,0.1969,0.0323,0.2143,3.451E-6,10.6381,0.0569,0.0914,0.0403,0.2143,1.037E-9,2.8447,0.0103,0.2865,0.0000,0.0714,9.022E-7,14.1805,0.0929,0.0628,0.0565,0.2857,7.575E-10
Diadophis_punctatus,124,2.7305,3.3343,500,0.9847,14,3.0615,0.9811,0.0078,10124,2.9045,0.6644,3.6859,3.1450,5.8153,14.8393,2.1623,0.1338,0.4905,1.4501,0.0097,0.7350,10.4085,0.3226,22.1507,0.7247,0.4357,0.2128,0.4597,13.2330,1.6900,5.9291,4.5014,0.6568,1.0391,0.2874,0.2583,0.5397,0.6869,0.4280,0.0000,6.5382,0.0310,1.0000,0.0038,0.5022,0.0000,0.0000,6.486E-5,5.0000,0.0194,0.2077,0.0161,0.0000,2.785E-10,10.0000,0.0532,0.1061,0.0242,0.0714,2.72E-12,4.0911,0.0153,0.2430,0.0000,0.0000,2.501E-9,25.4738,0.2769,0.0281,0.0968,0.1429,2.05E-17,15.7084,0.1124,0.0598,0.0565,0.1429,1.685E-13,13.9162,0.0931,0.0706,0.0242,0.0714,1.423E-14,13.7981,0.0921,0.0714,0.0242,0.0714,1.643E-14,9.9801,0.0530,0.1064,0.0242,0.0000,2.377E-14,4.0911,0.0153,0.2430,0.0000,0.0000,2.501E-9,14.2795,0.0965,0.0683,0.0323,0.0714,9.148E-15
Diadophis_punctatus,124,2.7390,3.3163,500,0.9845,14,3.2342,0.9814,0.0091,10124,4.9376,2.5245,1.3864,2.1675,6.3470,13.5125,4.2141,0.1293,0.0051,0.6582,0.0183,1.5031,10.5797,0.4740,19.2709,0.6068,0.4811,0.1261,0.5238,13.6082,2.1335,6.2960,4.6025,0.9497,0.9025,0.2139,0.2419,0.8909,0.4642,0.2076,0.0230,6.5607,0.0318,1.0000,0.0042,0.4939,0.0000,0.0000,5.136E-5,5.0000,0.0206,0.2121,0.0161,0.0000,3.722E-10,10.0000,0.0547,0.1109,0.0161,0.0714,4.834E-12,4.5452,0.0185,0.2280,0.0000,0.0000,1.024E-9,23.7562,0.2210,0.0339,0.0968,0.1429,1.953E-16,17.1518,0.1277,0.0565,0.0565,0.0714,7.93E-16,18.4334,0.1469,0.0509,0.0565,0.0714,2.037E-16,14.4787,0.0973,0.0714,0.0484,0.0714,1.643E-14,18.4334,0.1469,0.0509,0.0565,0.0714,2.037E-16,4.5452,0.0185,0.2280,0.0000,0.0000,1.024E-9,14.7434,0.1006,0.0697,0.0484,0.0714,1.208E-14
Diadophis_punctatus,124,2.7227,3.3153,500,0.9847,14,3.6270,0.9920,0.0024,10124,1.7181,3.7829,1.0914,3.9068,7.5920,15.1835,4.8349,0.1215,0.0456,0.1332,0.0080,1.0305,12.6576,0.9519,20.6912,0.6029,0.4859,0.2242,0.4720,11.6396,0.4581,7.5719,0.3314,1.0045,1.2315,0.3533,0.3406,0.4201,0.4939,0.5817,0.0394,6.5587,0.0318,1.0000,0.0042,0.4921,0.0000,0.0000,4.883E-5,5.0000,0.0210,0.2114,0.0081,0.0000,3.555E-10,10.0000,0.0553,0.1125,0.0242,0.0000,5.205E-14,4.2236,0.0169,0.2397,0.0000,0.0000,2.07E-9,22.8051,0.2132,0.0362,0.0968,0.0000,6.513E-21,18.4205,0.1408,0.0509,0.0484,0.0000,7.769E-19,15.6149,0.1053,0.0646,0.0323,0.0000,2.204E-17,23.5994,0.2291,0.0342,0.1048,0.0000,2.966E-21,23.5994,0.2291,0.0342,0.1048,0.0000,2.966E-21,4.2236,0.0169,0.2397,0.0000,0.0000,2.07E-9,14.8134,0.0968,0.0696,0.0323,0.0000,6.305E-17
Diadophis_punctatus,124,2.7610,3.3457,500,0.9842,14,2.5332,0.9613,0.0188,10124,1.9901,3.8438,3.0713,0.6156,7.7895,14.0249,1.4552,0.0604,0.0000,2.8857,0.0000,0.8932,11.7725,0.6856,22.0228,0.6476,0.2929,0.2544,0.2305,12.7832,1.1431,7.4559,1.9065,1.0345,0.8036,0.3387,0.5710,0.1203,0.3291,0.9514,0.0268,6.5187,0.0303,1.0000,0.0039,0.4950,0.0000,0.0000,5.297E-5,5.0000,0.0198,0.2118,0.0161,0.0714,1.938E-8,10.0000,0.0513,0.1103,0.0161,0.0714,4.511E-12,2.5308,0.0093,0.3312,0.0000,0.0000,1.91E-7,23.4918,0.2118,0.0325,0.0968,0.2857,1.166E-12,18.5188,0.1403,0.0484,0.0484,0.1429,1.372E-14,15.2308,0.0992,0.0649,0.0242,0.1429,4.487E-13,11.2048,0.0609,0.0967,0.0242,0.0714,8.239E-13,11.2048,0.0609,0.0967,0.0242,0.0714,8.239E-13,6.1492,0.0260,0.1786,0.0161,0.0714,2.195E-9,14.9135,0.0951,0.0669,0.0242,0.1429,6.405E-13
Diadophis_punctatus,125,2.7522,3.3308,500,0.9843,13,3.0618,0.9423,0.0483,10125,6.9529,0.4874,0.6339,2.1660,6.8098,15.5701,1.5026,0.2574,0.0000,0.7495,0.0000,1.0857,12.7273,0.3168,19.7879,0.5511,0.4199,0.1453,0.4304,13.4446,0.5314,7.4197,3.3680,1.0051,1.3225,0.6945,0.4221,0.2132,0.4062,0.5787,0.0000,6.5457,0.0313,1.0000,0.0040,0.4796,0.0000,0.0769,1.073E-3,5.0000,0.0212,0.2052,0.0160,0.0769,5.885E-8,10.0000,0.0550,0.1089,0.0240,0.0769,3.266E-11,3.3262,0.0133,0.2726,0.0000,0.0769,1.638E-6,25.4999,0.2573,0.0296,0.0960,0.0769,5.789E-18,15.8499,0.1125,0.0619,0.0640,0.0769,3.898E-14,13.8222,0.0890,0.0743,0.0320,0.0769,3.412E-13,13.4632,0.0864,0.0769,0.0320,0.0769,5.196E-13,27.8980,0.2909,0.0252,0.1200,0.0769,8.269E-19,3.3262,0.0133,0.2726,0.0000,0.0769,1.638E-6,14.6773,0.1005,0.0687,0.0480,0.0769,1.355E-13
