Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dichomeris_ligulella,23,3.4419,4.6164,500,0.9962,1,5.8094,0.9994,-1.0000,10023,28.3168,4.9099,0.8360,0.5868,5.5428,6.6922,2.8107,1.7618,0.0069,6.1883,0.1041,7.8537,21.3614,3.4132,0.4189,1.9650,0.0000,0.4289,2.3422,0.2505,0.0000,0.0000,0.0111,0.0202,3.7052,0.0365,0.0002,0.0047,0.4319,0.0000,0.0000,5.7752,0.0149,1.0000,0.0022,0.4515,0.0000,0.0000,4.515E-1,5.0000,0.0103,0.1917,0.0000,0.0000,1.917E-1,10.0000,0.0268,0.0949,0.0000,0.0000,9.488E-2,20.1416,0.0955,0.0309,0.0000,0.0000,3.093E-2,31.0545,0.2509,0.0122,0.0870,0.0000,1.217E-2,20.1744,0.0956,0.0309,0.0435,0.0000,3.093E-2,20.1416,0.0955,0.0309,0.0000,0.0000,3.093E-2,73.8178,0.9147,0.0008,0.6522,0.0000,7.982E-4,73.8178,0.9147,0.0008,0.6522,0.0000,7.982E-4,5.9566,0.0127,0.1650,0.0000,0.0000,1.65E-1,19.7878,0.0910,0.0321,0.0000,0.0000,3.213E-2
Dichomeris_ligulella,21,3.2944,4.5686,500,0.9960,3,5.9677,0.9998,0.0001,10021,27.7582,6.1278,0.7397,0.5309,3.7948,7.4139,3.1085,0.0115,0.0217,4.9475,0.0605,9.1330,20.3913,3.8741,1.7049,2.6401,0.0000,0.1425,2.1718,0.2137,0.0000,0.0000,0.0591,0.0256,4.6840,0.0660,0.0000,0.0568,0.3219,0.0000,0.0000,5.9242,0.0175,1.0000,0.0026,0.4669,0.0000,0.0000,1.018E-1,5.0000,0.0116,0.2065,0.0000,0.0000,8.801E-3,10.0000,0.0283,0.1054,0.0000,0.0000,1.17E-3,21.6648,0.1134,0.0313,0.0000,0.0000,3.076E-5,33.9226,0.2999,0.0119,0.0952,0.0000,1.675E-6,21.6992,0.1142,0.0313,0.0476,0.0000,3.076E-5,21.6648,0.1134,0.0313,0.0000,0.0000,3.076E-5,87.8858,0.9314,0.0003,0.7143,0.0000,2.683E-11,87.8858,0.9314,0.0003,0.7143,0.0000,2.683E-11,6.1109,0.0147,0.1753,0.0000,0.0000,5.39E-3,19.8519,0.0968,0.0372,0.0000,0.0000,5.157E-5
Dichomeris_ligulella,21,3.4863,4.6567,500,0.9956,3,3.1554,0.8613,0.1130,10021,27.8180,8.9136,0.0086,0.0013,2.7680,7.0255,3.1443,1.5761,0.0011,5.9818,0.0089,6.8300,22.5555,3.8181,0.0702,2.8135,0.1295,0.0000,1.5567,0.3504,0.0000,0.0000,0.0000,0.0259,4.5089,0.0041,0.0000,0.0023,0.0878,0.0000,0.0000,5.7309,0.0142,1.0000,0.0020,0.4683,0.0000,0.0000,1.027E-1,5.0000,0.0091,0.1928,0.0000,0.3333,9.718E-2,10.0000,0.0246,0.0912,0.0000,0.3333,2.344E-2,17.6955,0.0723,0.0368,0.0000,0.3333,3.968E-3,28.1765,0.2147,0.0140,0.0952,0.3333,5.801E-4,17.6955,0.0723,0.0368,0.0476,0.3333,3.968E-3,17.6955,0.0723,0.0368,0.0000,0.3333,3.968E-3,2.2507,0.0040,0.3333,0.0000,0.3333,2.592E-1,83.9129,0.9215,0.0004,0.6667,0.3333,4.779E-7,6.2781,0.0121,0.1560,0.0000,0.3333,6.539E-2,19.4031,0.0879,0.0307,0.0476,0.3333,2.776E-3
Dichomeris_ligulella,21,3.7518,4.9666,500,0.9978,3,0.8405,0.8226,0.1182,10021,26.9670,3.7270,4.2047,0.0004,3.1198,5.2538,4.6120,0.0000,0.0838,3.3328,0.0000,6.6906,28.7539,3.3832,0.0444,2.3319,0.0000,1.6128,1.4651,0.0126,0.0000,0.0000,0.2287,0.0306,2.3887,0.1105,0.3517,0.0031,1.2907,0.0000,0.0000,5.4639,0.0106,1.0000,0.0015,0.4361,0.0000,0.3333,4.046E-1,5.0000,0.0077,0.1673,0.0000,0.3333,7.464E-2,10.0000,0.0216,0.0763,0.0000,0.3333,1.659E-2,22.6469,0.1134,0.0166,0.0000,0.6667,4.888E-2,40.5948,0.4291,0.0035,0.0952,0.6667,1.044E-2,22.6469,0.1134,0.0166,0.0000,0.6667,4.888E-2,22.6469,0.1134,0.0166,0.0000,0.6667,4.888E-2,1.8440,0.0025,0.3333,0.0000,0.3333,2.592E-1,10.9588,0.0251,0.0669,0.0000,0.3333,1.281E-2,5.7795,0.0093,0.1460,0.0000,0.3333,5.772E-2,19.5000,0.0790,0.0236,0.0000,0.6667,6.9E-2
Dichomeris_ligulella,21,3.8965,4.9930,500,0.9980,3,-4.3155,0.3811,0.2499,10021,27.9594,7.2248,5.1803,2.1270,2.2669,5.0712,1.1665,2.7867,0.0000,0.0000,1.2308,9.8017,22.9057,3.3083,3.5840,1.1036,0.0000,0.0000,1.4990,0.2609,0.0000,0.0000,0.0046,0.0912,1.9715,0.0662,0.0055,0.1227,0.2616,0.0000,0.0000,5.3206,0.0090,1.0000,0.0013,0.4143,0.0000,0.6667,7.991E-1,5.0000,0.0068,0.1629,0.0000,0.6667,4.133E-1,10.0000,0.0184,0.0735,0.0000,0.6667,2.048E-1,28.0461,0.1974,0.0080,0.0000,0.6667,2.376E-2,30.6502,0.2640,0.0062,0.0952,1.0000,1E0,28.0461,0.1974,0.0080,0.0000,0.6667,2.376E-2,28.0461,0.1974,0.0080,0.0000,0.6667,2.376E-2,0.1438,0.0003,0.6667,0.0000,0.6667,9.63E-1,29.6362,0.2476,0.0068,0.0476,0.6667,2.022E-2,5.6890,0.0081,0.1442,0.0000,0.6667,3.732E-1,19.4223,0.0727,0.0204,0.0000,0.6667,5.984E-2
Dichomeris_ligulella,21,3.8671,5.1295,500,0.9981,3,-1.5821,0.7468,0.0994,10021,25.0584,5.1886,0.0000,0.9476,2.6694,5.2630,3.7511,2.8417,0.1146,5.2042,0.0001,5.8104,28.0940,3.6386,0.0252,2.1983,0.0000,0.0000,2.1752,0.4056,0.0000,0.0000,0.0000,0.0581,4.5221,0.0320,0.0938,0.3042,1.6036,0.0000,0.0000,5.3530,0.0094,1.0000,0.0014,0.3872,0.0000,0.3333,3.337E-1,5.0000,0.0079,0.1459,0.0000,0.6667,3.769E-1,10.0000,0.0222,0.0666,0.0000,0.6667,1.867E-1,23.8030,0.1497,0.0134,0.0000,1.0000,1E0,39.1085,0.4018,0.0035,0.0952,1.0000,1E0,23.8030,0.1497,0.0134,0.0000,1.0000,1E0,23.8030,0.1497,0.0134,0.0000,1.0000,1E0,1.4207,0.0019,0.3333,0.0000,0.3333,2.592E-1,0.5235,0.0008,0.4813,0.0000,0.0000,1.115E-1,5.2461,0.0083,0.1396,0.0000,0.6667,3.631E-1,19.2509,0.0842,0.0211,0.0000,1.0000,1E0
Dichomeris_ligulella,22,3.5957,4.8606,500,0.9972,2,2.2778,0.8999,0.0703,10022,24.5665,4.6566,1.0281,0.0842,3.7489,6.4718,3.7988,1.7869,0.0833,4.1622,0.0136,10.1564,26.2024,3.4439,1.9002,2.0929,0.0000,0.2587,2.0835,0.0584,0.0000,0.0000,0.0000,0.0184,2.9713,0.0158,0.0032,0.0004,0.3936,0.0000,0.0000,5.6270,0.0127,1.0000,0.0019,0.4232,0.0000,0.0000,1.791E-1,5.0000,0.0095,0.1736,0.0000,0.5000,3.171E-1,10.0000,0.0253,0.0839,0.0000,0.5000,1.608E-1,21.0802,0.1040,0.0247,0.0000,0.5000,4.888E-2,41.3236,0.4316,0.0043,0.0909,0.5000,8.563E-3,21.0802,0.1040,0.0247,0.0455,0.5000,4.888E-2,21.0802,0.1040,0.0247,0.0000,0.5000,4.888E-2,4.1863,0.0077,0.1996,0.0000,0.0000,3.982E-2,4.1863,0.0077,0.1996,0.0000,0.0000,3.982E-2,5.6001,0.0110,0.1576,0.0000,0.5000,2.903E-1,19.9407,0.0928,0.0276,0.0000,0.5000,5.451E-2
Dichomeris_ligulella,21,3.4540,4.6325,500,0.9965,3,3.0476,0.8732,0.1031,10021,29.5914,6.2295,2.4569,2.0077,1.6232,3.8540,3.1548,2.8104,0.0000,4.7485,0.0161,7.6628,23.8937,0.0845,2.5944,3.2635,0.0000,1.3232,0.7247,0.3079,0.0000,0.0000,0.0204,0.0652,2.9842,0.2092,0.0000,0.0000,0.3737,0.0000,0.0000,5.7650,0.0148,1.0000,0.0021,0.4560,0.0000,0.0000,9.485E-2,5.0000,0.0100,0.1923,0.0000,0.3333,9.671E-2,10.0000,0.0260,0.0954,0.0000,0.3333,2.557E-2,21.5571,0.1034,0.0280,0.0000,0.3333,2.315E-3,36.0264,0.3371,0.0085,0.0952,0.3333,2.146E-4,21.5571,0.1034,0.0280,0.0476,0.3333,2.315E-3,21.5571,0.1034,0.0280,0.0000,0.3333,2.315E-3,2.1515,0.0040,0.3333,0.0000,0.3333,2.592E-1,67.7926,0.8757,0.0008,0.5714,0.3333,1.911E-6,6.0490,0.0126,0.1630,0.0000,0.3333,7.101E-2,20.3010,0.0927,0.0317,0.0000,0.3333,2.957E-3
Dichomeris_ligulella,23,3.5449,4.6195,500,0.9959,1,1.8558,0.9828,-1.0000,10023,27.1138,7.2781,0.0624,0.0122,3.2018,6.7048,1.8599,1.9448,0.0050,6.7944,0.1235,6.2829,26.0707,3.2701,0.8650,2.3098,0.0000,0.1207,1.5161,0.1393,0.0000,0.0000,0.0251,0.0000,3.8250,0.0285,0.0000,0.0136,0.4326,0.0000,0.0000,5.6751,0.0133,1.0000,0.0019,0.4721,0.0000,0.0000,4.721E-1,5.0000,0.0085,0.2022,0.0000,0.0000,2.022E-1,10.0000,0.0222,0.0968,0.0000,0.0000,9.678E-2,21.0922,0.1022,0.0263,0.0000,0.0000,2.634E-2,27.5248,0.1881,0.0146,0.0870,1.0000,1E0,21.1313,0.1022,0.0263,0.0435,0.0000,2.634E-2,21.0922,0.1022,0.0263,0.0000,0.0000,2.634E-2,25.6940,0.1569,0.0173,0.0435,0.0000,1.726E-2,25.6940,0.1569,0.0173,0.0435,0.0000,1.726E-2,6.4019,0.0115,0.1617,0.0000,0.0000,1.617E-1,20.1623,0.0875,0.0290,0.0000,0.0000,2.903E-2
Dichomeris_ligulella,22,3.6037,4.7488,500,0.9954,2,2.0161,0.8544,0.1028,10022,22.1739,13.7731,2.3979,0.0475,1.4821,7.6162,2.8168,2.3833,0.0000,6.0797,0.1642,7.1723,20.8601,3.4334,0.7368,2.8248,0.0000,0.0000,1.2559,0.1470,0.0000,0.0000,0.0006,0.0045,4.0864,0.1647,0.0000,0.0230,0.3559,0.0000,0.0000,5.6132,0.0125,1.0000,0.0017,0.4419,0.0000,0.0000,1.953E-1,5.0000,0.0085,0.1645,0.0000,0.5000,3.02E-1,10.0000,0.0257,0.0742,0.0000,0.5000,1.43E-1,11.6093,0.0337,0.0598,0.0000,0.5000,1.16E-1,37.2991,0.3825,0.0063,0.0909,0.5000,1.253E-2,13.8205,0.0478,0.0455,0.0455,0.5000,8.893E-2,11.6093,0.0337,0.0598,0.0000,0.5000,1.16E-1,2.4097,0.0037,0.2910,0.0000,0.5000,4.973E-1,2.4092,0.0037,0.2910,0.0000,0.0000,8.466E-2,5.8166,0.0108,0.1415,0.0000,0.5000,2.63E-1,18.5874,0.0910,0.0273,0.0455,0.5000,5.393E-2
