Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dicranomyia_divisa,27,4.6684,5.6228,500,0.9987,4,5.6047,0.9984,0.0004,10027,7.7230,7.0846,1.4143,0.0979,5.8443,5.3372,2.3185,2.2625,0.0000,3.4730,0.6940,1.7258,31.5293,0.0000,11.4847,2.8193,0.1509,0.1883,0.0000,0.0000,0.0000,1.0447,0.0000,0.4280,0.1008,4.8405,7.6194,0.0000,0.0953,1.6384,0.0852,4.5444,0.0039,1.0000,0.0007,0.2069,0.0000,0.0000,1.834E-3,5.0000,0.0076,0.0484,0.0000,0.0000,5.474E-6,10.0000,0.0298,0.0160,0.0000,0.0000,6.483E-8,23.5317,0.4875,0.0026,0.0000,0.0000,4.521E-11,27.5940,0.6565,0.0024,0.0370,0.0000,3.282E-11,23.5317,0.4875,0.0026,0.0000,0.0000,4.521E-11,23.5317,0.4875,0.0026,0.0000,0.0000,4.521E-11,27.5940,0.6565,0.0024,0.0370,0.0000,3.282E-11,27.5940,0.6565,0.0024,0.0370,0.0000,3.282E-11,3.3198,0.0037,0.0782,0.0000,0.0000,3.737E-5,12.9159,0.0549,0.0094,0.0000,0.0000,7.724E-9
Dicranomyia_divisa,28,4.6726,5.5926,500,0.9986,3,5.5864,0.9987,0.0006,10028,7.5907,0.7769,4.6434,2.2477,9.7843,5.2567,4.5633,1.2787,0.0000,4.2335,0.2933,2.2075,28.5854,0.0000,10.3695,3.4190,0.1787,0.2030,0.0000,0.0000,0.0000,1.2875,0.0000,0.5034,0.1166,3.8057,7.3742,0.0000,1.0501,0.1510,0.0798,4.5666,0.0040,1.0000,0.0007,0.2176,0.0000,0.0000,1.03E-2,5.0000,0.0075,0.0497,0.0000,0.0000,1.225E-4,10.0000,0.0299,0.0162,0.0000,0.0000,4.216E-6,23.1284,0.4854,0.0028,0.0000,0.0000,2.177E-8,27.0174,0.6517,0.0025,0.0357,0.0000,1.549E-8,23.1284,0.4854,0.0028,0.0000,0.0000,2.177E-8,23.1284,0.4854,0.0028,0.0000,0.0000,2.177E-8,27.0174,0.6517,0.0025,0.0357,0.0000,1.549E-8,27.0174,0.6517,0.0025,0.0357,0.0000,1.549E-8,3.5107,0.0038,0.0766,0.0000,0.0000,4.492E-4,12.7991,0.0527,0.0096,0.0000,0.0000,8.773E-7
Dicranomyia_divisa,28,4.7434,5.6045,500,0.9986,3,3.1459,0.9683,0.0245,10028,5.5377,4.8214,1.5100,1.3247,9.8244,7.7862,5.1388,1.5964,0.0000,1.3153,0.4631,0.6232,30.8340,0.0000,12.0088,4.2512,0.1650,0.2499,0.0000,0.0000,0.0000,0.3166,0.0000,0.4036,0.0428,4.3926,7.1434,0.0000,0.0982,0.1526,0.0000,4.4955,0.0037,1.0000,0.0007,0.2021,0.0000,0.0000,8.259E-3,5.0000,0.0076,0.0438,0.0000,0.3333,5.582E-3,10.0000,0.0307,0.0134,0.0000,0.3333,5.309E-4,21.8978,0.4455,0.0027,0.0000,0.3333,2.171E-5,25.7399,0.6848,0.0026,0.0714,0.6667,7.758E-3,21.8978,0.4455,0.0027,0.0000,0.3333,2.171E-5,21.8978,0.4455,0.0027,0.0000,0.3333,2.171E-5,2.6821,0.0026,0.0917,0.0000,0.0000,7.722E-4,2.6821,0.0026,0.0917,0.0000,0.0000,7.722E-4,3.3152,0.0035,0.0731,0.0000,0.3333,1.525E-2,12.0633,0.0515,0.0089,0.0000,0.3333,2.349E-4
Dicranomyia_divisa,28,4.6788,5.6002,500,0.9986,3,5.6574,0.9985,0.0004,10028,4.7951,6.6020,1.2369,2.8068,6.8062,7.4198,2.3952,1.1434,0.0000,2.8585,0.1373,1.8482,35.9437,0.0000,11.3356,1.9587,0.1938,0.2225,0.0000,0.0000,0.0000,0.6964,0.0000,0.6289,0.0724,2.7727,7.5537,0.0000,0.4120,0.1118,0.0482,4.5431,0.0039,1.0000,0.0008,0.1990,0.0000,0.0000,7.886E-3,5.0000,0.0078,0.0459,0.0000,0.0000,9.652E-5,10.0000,0.0303,0.0151,0.0000,0.0000,3.414E-6,22.9113,0.4860,0.0028,0.0000,0.0000,2.177E-8,25.1704,0.6798,0.0027,0.0357,0.0000,1.952E-8,22.9113,0.4860,0.0028,0.0000,0.0000,2.177E-8,22.9113,0.4860,0.0028,0.0000,0.0000,2.177E-8,37.1455,0.6958,0.0021,0.1429,0.0000,9.184E-9,37.1455,0.6958,0.0021,0.1429,0.0000,9.184E-9,3.2376,0.0037,0.0766,0.0000,0.0000,4.492E-4,12.5612,0.0511,0.0093,0.0000,0.0000,7.976E-7
Dicranomyia_divisa,28,4.6679,5.5975,500,0.9986,3,5.5961,0.9982,0.0003,10028,7.9552,6.9984,0.3759,0.5966,6.0437,8.4344,2.5241,4.1000,0.0075,1.6540,0.3129,2.3144,33.5692,0.0000,9.2160,3.1847,0.2523,0.1101,0.0000,0.0000,0.0000,1.2264,0.0000,0.5751,0.1886,2.4497,7.4926,0.1016,0.0793,0.2372,0.0000,4.5595,0.0040,1.0000,0.0008,0.2041,0.0000,0.0000,8.506E-3,5.0000,0.0081,0.0476,0.0000,0.0000,1.076E-4,10.0000,0.0297,0.0159,0.0000,0.0000,3.986E-6,23.1054,0.4868,0.0027,0.0000,0.0000,1.952E-8,27.6323,0.6838,0.0025,0.0357,0.0000,1.549E-8,23.1054,0.4868,0.0027,0.0000,0.0000,1.952E-8,23.1054,0.4868,0.0027,0.0000,0.0000,1.952E-8,37.4200,0.7037,0.0021,0.2143,0.0000,9.184E-9,37.4200,0.7037,0.0021,0.2143,0.0000,9.184E-9,3.2490,0.0038,0.0784,0.0000,0.0000,4.815E-4,12.7895,0.0518,0.0095,0.0000,0.0000,8.502E-7
Dicranomyia_divisa,28,4.7150,5.6356,500,0.9986,3,4.2824,0.9958,0.0025,10028,5.4336,8.4940,0.6849,1.0952,7.5554,8.2621,1.5453,3.1551,0.0000,3.2744,1.1939,1.1916,34.2839,0.0000,7.1069,2.7665,0.0869,0.2217,0.0000,0.0000,0.0000,2.0430,0.0000,0.2642,0.0365,2.9891,7.4121,0.0000,0.1880,0.7000,0.0158,4.5006,0.0037,1.0000,0.0006,0.2133,0.0000,0.0000,9.705E-3,5.0000,0.0074,0.0450,0.0000,0.0000,9.097E-5,10.0000,0.0265,0.0144,0.0000,0.0000,2.961E-6,27.0018,0.6688,0.0025,0.0000,0.3333,1.861E-5,27.0018,0.6688,0.0025,0.0000,0.3333,1.861E-5,27.0018,0.6688,0.0025,0.0000,0.3333,1.861E-5,27.0018,0.6688,0.0025,0.0000,0.3333,1.861E-5,11.4891,0.0381,0.0102,0.0000,0.0000,1.052E-6,11.4891,0.0381,0.0102,0.0000,0.0000,1.052E-6,3.3528,0.0036,0.0743,0.0000,0.0000,4.1E-4,12.1328,0.0456,0.0090,0.0000,0.3333,2.402E-4
Dicranomyia_divisa,28,4.6788,5.6002,500,0.9986,3,5.6574,0.9985,0.0004,10028,4.7951,6.6020,1.2369,2.8068,6.8062,7.4198,2.3952,1.1434,0.0000,2.8585,0.1373,1.8482,35.9437,0.0000,11.3356,1.9587,0.1938,0.2225,0.0000,0.0000,0.0000,0.6964,0.0000,0.6289,0.0724,2.7727,7.5537,0.0000,0.4120,0.1118,0.0482,4.5431,0.0039,1.0000,0.0008,0.1990,0.0000,0.0000,7.886E-3,5.0000,0.0078,0.0459,0.0000,0.0000,9.652E-5,10.0000,0.0303,0.0151,0.0000,0.0000,3.414E-6,22.9113,0.4860,0.0028,0.0000,0.0000,2.177E-8,25.1704,0.6798,0.0027,0.0357,0.0000,1.952E-8,22.9113,0.4860,0.0028,0.0000,0.0000,2.177E-8,22.9113,0.4860,0.0028,0.0000,0.0000,2.177E-8,37.1455,0.6958,0.0021,0.1429,0.0000,9.184E-9,37.1455,0.6958,0.0021,0.1429,0.0000,9.184E-9,3.2376,0.0037,0.0766,0.0000,0.0000,4.492E-4,12.5612,0.0511,0.0093,0.0000,0.0000,7.976E-7
Dicranomyia_divisa,28,4.6734,5.6022,500,0.9986,3,5.7130,0.9991,0.0004,10028,7.0063,5.5281,1.4128,1.2709,7.2216,7.2683,3.0996,2.1542,0.0000,2.4565,0.8313,2.2843,29.8168,0.0000,12.0122,3.1249,0.2371,0.1696,0.0000,0.0000,0.0000,0.7996,0.0000,0.3348,0.0243,4.6707,7.6718,0.0000,0.1882,0.1981,0.2178,4.5309,0.0039,1.0000,0.0008,0.1912,0.0000,0.0000,6.986E-3,5.0000,0.0081,0.0438,0.0000,0.0000,8.39E-5,10.0000,0.0316,0.0145,0.0000,0.0000,3.023E-6,22.8714,0.4963,0.0028,0.0000,0.0000,2.177E-8,25.1158,0.6757,0.0027,0.0357,0.0000,1.952E-8,22.8714,0.4963,0.0028,0.0000,0.0000,2.177E-8,22.8714,0.4963,0.0028,0.0000,0.0000,2.177E-8,51.1356,0.7221,0.0016,0.2500,0.0000,4.062E-9,51.1356,0.7221,0.0016,0.2500,0.0000,4.062E-9,3.1752,0.0037,0.0747,0.0000,0.0000,4.167E-4,12.3729,0.0506,0.0092,0.0000,0.0000,7.722E-7
Dicranomyia_divisa,28,4.6919,5.5975,500,0.9986,3,5.3368,0.9978,0.0004,10028,9.0937,3.9528,0.1825,2.9655,5.7944,8.5928,1.7989,5.3284,0.0000,2.1024,0.9326,2.0081,29.7787,0.0000,7.0022,5.8787,0.1976,0.1940,0.0000,0.0000,0.0000,1.3104,0.0000,0.4897,0.1567,4.2483,7.3941,0.0335,0.2376,0.2234,0.1029,4.5409,0.0039,1.0000,0.0007,0.2075,0.0000,0.0000,8.937E-3,5.0000,0.0072,0.0480,0.0000,0.0000,1.104E-4,10.0000,0.0301,0.0153,0.0000,0.0000,3.552E-6,22.7396,0.5074,0.0028,0.0000,0.0000,2.177E-8,26.4687,0.6943,0.0026,0.0714,0.3333,2.013E-5,22.7396,0.5074,0.0028,0.0000,0.0000,2.177E-8,22.7396,0.5074,0.0028,0.0000,0.0000,2.177E-8,24.0473,0.5508,0.0027,0.0357,0.0000,1.952E-8,24.0473,0.5508,0.0027,0.0357,0.0000,1.952E-8,3.4054,0.0037,0.0762,0.0000,0.0000,4.422E-4,12.7032,0.0565,0.0093,0.0000,0.0000,7.976E-7
Dicranomyia_divisa,28,4.6726,5.5926,500,0.9986,3,5.5864,0.9987,0.0006,10028,7.5907,0.7769,4.6434,2.2477,9.7843,5.2567,4.5633,1.2787,0.0000,4.2335,0.2933,2.2075,28.5854,0.0000,10.3695,3.4190,0.1787,0.2030,0.0000,0.0000,0.0000,1.2875,0.0000,0.5034,0.1166,3.8057,7.3742,0.0000,1.0501,0.1510,0.0798,4.5666,0.0040,1.0000,0.0007,0.2176,0.0000,0.0000,1.03E-2,5.0000,0.0075,0.0497,0.0000,0.0000,1.225E-4,10.0000,0.0299,0.0162,0.0000,0.0000,4.216E-6,23.1284,0.4854,0.0028,0.0000,0.0000,2.177E-8,27.0174,0.6517,0.0025,0.0357,0.0000,1.549E-8,23.1284,0.4854,0.0028,0.0000,0.0000,2.177E-8,23.1284,0.4854,0.0028,0.0000,0.0000,2.177E-8,27.0174,0.6517,0.0025,0.0357,0.0000,1.549E-8,27.0174,0.6517,0.0025,0.0357,0.0000,1.549E-8,3.5107,0.0038,0.0766,0.0000,0.0000,4.492E-4,12.7991,0.0527,0.0096,0.0000,0.0000,8.773E-7
