Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dicranomyia_species,46,4.3816,5.0695,500,0.9977,6,4.8903,0.9971,0.0006,10046,7.6036,0.1514,1.4217,1.7194,10.0391,2.9688,1.5772,5.5460,0.5821,7.7203,0.3394,2.7618,28.6245,0.0000,0.7993,8.0565,0.1252,0.0000,0.0000,0.0000,0.0052,0.6618,0.0000,0.5376,0.1730,2.0096,8.7880,5.6503,0.0342,2.0245,0.0793,4.8666,0.0055,1.0000,0.0011,0.1876,0.0000,0.0000,4.364E-5,5.0000,0.0111,0.0440,0.0000,0.0000,7.254E-9,10.0000,0.0489,0.0148,0.0000,0.0000,1.065E-11,18.7765,0.2481,0.0051,0.0000,0.0000,1.712E-14,24.4509,0.5865,0.0042,0.0870,0.1667,7.637E-12,18.7765,0.2481,0.0051,0.0000,0.0000,1.712E-14,18.7765,0.2481,0.0051,0.0000,0.0000,1.712E-14,18.7765,0.2481,0.0051,0.0000,0.0000,1.712E-14,18.7765,0.2481,0.0051,0.0000,0.0000,1.712E-14,3.1205,0.0051,0.0761,0.0000,0.0000,1.935E-7,10.8631,0.0555,0.0128,0.0000,0.0000,4.483E-12
Dicranomyia_species,46,4.3506,5.0668,500,0.9977,6,5.2666,0.9985,0.0005,10046,7.4630,4.1016,0.4618,1.0704,8.3090,4.9786,4.0184,0.1599,0.0453,6.3537,0.9387,0.9588,24.3188,0.0000,1.6211,8.4178,0.0473,0.0000,0.0000,11.2703,0.0000,1.0093,0.0000,0.6222,0.1602,1.0726,8.6827,2.0931,0.0162,1.8093,0.0000,4.9068,0.0058,1.0000,0.0012,0.1854,0.0000,0.0000,4.067E-5,5.0000,0.0117,0.0440,0.0000,0.0000,7.254E-9,10.0000,0.0492,0.0156,0.0000,0.0000,1.457E-11,20.2712,0.3315,0.0050,0.0000,0.0000,1.52E-14,25.7997,0.5313,0.0041,0.0652,0.0000,4.621E-15,20.2712,0.3315,0.0050,0.0000,0.0000,1.52E-14,20.2712,0.3315,0.0050,0.0000,0.0000,1.52E-14,43.7677,0.7152,0.0030,0.3478,0.0000,7.092E-16,43.7677,0.7152,0.0030,0.3478,0.0000,7.092E-16,3.0912,0.0053,0.0766,0.0000,0.0000,2.028E-7,11.0039,0.0616,0.0134,0.0000,0.0000,5.889E-12
Dicranomyia_species,47,4.4029,5.0821,500,0.9977,5,3.7387,0.9646,0.0307,10047,7.8563,4.9741,0.2370,0.3646,9.2385,8.8238,1.9418,2.0435,0.0921,5.2251,0.8581,0.5792,19.2149,0.0212,0.0435,10.6870,0.0472,0.0000,0.0000,0.0000,0.0000,1.4515,0.0000,0.5656,0.1354,1.5149,8.3078,13.5582,0.0481,2.1704,0.0000,4.8462,0.0054,1.0000,0.0011,0.1810,0.0000,0.0000,1.945E-4,5.0000,0.0118,0.0389,0.0000,0.2000,1.111E-5,10.0000,0.0522,0.0129,0.0000,0.2000,1.387E-7,21.6020,0.5272,0.0045,0.0000,0.2000,2.005E-9,24.4050,0.5632,0.0043,0.0851,0.2000,1.672E-9,21.6020,0.5272,0.0045,0.0000,0.2000,2.005E-9,21.6020,0.5272,0.0045,0.0000,0.2000,2.005E-9,1.0768,0.0012,0.1727,0.0000,0.2000,3.832E-3,1.0765,0.0012,0.1727,0.0000,0.0000,1.536E-4,3.0248,0.0050,0.0718,0.0000,0.2000,1.25E-4,10.1554,0.0553,0.0126,0.0000,0.2000,1.264E-7
Dicranomyia_species,47,4.3721,5.0465,500,0.9976,5,4.7813,0.9971,0.0009,10047,6.9388,0.4511,1.9478,4.2784,7.1012,3.8220,1.9487,6.4048,0.4993,8.2337,0.5112,0.5840,23.7071,0.0000,0.6365,8.3472,0.0943,0.0000,0.0000,0.0110,0.0000,1.0456,0.0000,0.5151,0.2079,1.5070,8.9173,10.2312,0.0269,1.9905,0.0417,4.8801,0.0056,1.0000,0.0012,0.1825,0.0000,0.0000,2.027E-4,5.0000,0.0116,0.0427,0.0000,0.0000,1.419E-7,10.0000,0.0510,0.0146,0.0000,0.0000,6.705E-10,17.2250,0.2195,0.0059,0.0000,0.0000,6.984E-12,24.2775,0.5796,0.0043,0.0851,0.2000,1.672E-9,17.2250,0.2195,0.0059,0.0000,0.0000,6.984E-12,17.2250,0.2195,0.0059,0.0000,0.0000,6.984E-12,17.2250,0.2195,0.0059,0.0000,0.0000,6.984E-12,17.2250,0.2195,0.0059,0.0000,0.0000,6.984E-12,3.0476,0.0052,0.0751,0.0000,0.0000,2.396E-6,10.7376,0.0598,0.0130,0.0000,0.0000,3.769E-10
Dicranomyia_species,47,4.3883,5.0621,500,0.9977,5,3.7000,0.9872,0.0080,10047,11.5776,1.9072,0.0748,1.5922,6.6375,4.4898,1.0991,7.4514,0.0154,7.8026,0.2926,0.7658,23.9713,0.3018,0.0727,8.1850,0.1103,0.0000,0.0210,0.0512,0.0154,2.0686,0.0000,0.4941,0.2536,0.5256,8.1513,10.2315,0.0230,1.7872,0.0303,4.8750,0.0056,1.0000,0.0011,0.1900,0.0000,0.0000,2.477E-4,5.0000,0.0117,0.0417,0.0000,0.2000,1.462E-5,10.0000,0.0508,0.0143,0.0000,0.2000,2.086E-7,20.2617,0.3443,0.0049,0.0000,0.2000,2.818E-9,23.4855,0.5059,0.0044,0.0638,0.2000,1.833E-9,20.2617,0.3443,0.0049,0.0000,0.2000,2.818E-9,20.2617,0.3443,0.0049,0.0000,0.2000,2.818E-9,4.4228,0.0096,0.0487,0.0000,0.0000,2.731E-7,4.4228,0.0096,0.0487,0.0000,0.0000,2.731E-7,3.1614,0.0052,0.0721,0.0000,0.0000,1.943E-6,10.6300,0.0572,0.0129,0.0000,0.2000,1.387E-7
Dicranomyia_species,47,4.3575,5.0466,500,0.9976,5,4.4889,0.9977,0.0011,10047,10.5425,0.3944,1.5150,3.1592,8.2994,6.2086,1.0835,4.6345,0.0312,6.3845,0.6877,1.5124,19.7987,0.0134,0.0562,8.2813,0.0524,0.7591,0.0000,0.0294,0.0000,0.9348,0.0000,0.1950,0.1226,0.4163,8.2830,13.6396,0.7391,2.2263,0.0000,4.8583,0.0055,1.0000,0.0011,0.1804,0.0000,0.0000,1.908E-4,5.0000,0.0118,0.0406,0.0000,0.0000,1.104E-7,10.0000,0.0492,0.0143,0.0000,0.0000,6.048E-10,18.4671,0.2534,0.0053,0.0000,0.0000,4.085E-12,24.5351,0.5259,0.0041,0.0851,0.4000,6.754E-7,18.4671,0.2534,0.0053,0.0000,0.0000,4.085E-12,18.4671,0.2534,0.0053,0.0000,0.0000,4.085E-12,18.4671,0.2534,0.0053,0.0000,0.0000,4.085E-12,18.4671,0.2534,0.0053,0.0000,0.0000,4.085E-12,3.0675,0.0051,0.0728,0.0000,0.0000,2.039E-6,10.7126,0.0574,0.0127,0.0000,0.0000,3.356E-10
Dicranomyia_species,47,4.3508,5.0597,500,0.9977,5,5.2418,0.9983,0.0005,10047,8.9697,1.9883,1.5974,1.6071,10.5079,4.2206,3.3306,2.9012,0.1710,6.2041,0.2500,1.1331,27.3782,0.0000,1.9402,8.4810,0.0687,0.0000,0.0000,0.0000,0.0000,1.3218,0.0000,0.5328,0.2022,1.9523,8.6122,4.4578,0.0222,2.1497,0.0000,4.8917,0.0057,1.0000,0.0012,0.1802,0.0000,0.0000,1.898E-4,5.0000,0.0119,0.0417,0.0000,0.0000,1.262E-7,10.0000,0.0538,0.0145,0.0000,0.0000,6.48E-10,20.2765,0.3260,0.0050,0.0000,0.0000,3.053E-12,24.2602,0.5410,0.0044,0.0638,0.0000,1.611E-12,20.2765,0.3260,0.0050,0.0000,0.0000,3.053E-12,20.2765,0.3260,0.0050,0.0000,0.0000,3.053E-12,50.1571,0.7063,0.0026,0.3404,0.0000,1.161E-13,50.1571,0.7063,0.0026,0.3404,0.0000,1.161E-13,3.0468,0.0053,0.0743,0.0000,0.0000,2.257E-6,10.6446,0.0620,0.0132,0.0000,0.0000,4.065E-10
Dicranomyia_species,47,4.3477,5.0532,500,0.9976,5,4.8453,0.9975,0.0008,10047,13.3791,2.4110,1.1829,0.6191,5.2390,4.5066,1.4743,1.6434,0.1039,2.8538,0.0934,0.7433,29.0126,0.0000,0.0837,6.4570,0.0656,0.0000,0.0158,15.3646,0.0063,1.5652,0.0000,0.4201,0.2218,1.4907,7.4877,0.1337,0.4073,3.0181,0.0000,4.8793,0.0056,1.0000,0.0011,0.1944,0.0000,0.0000,2.775E-4,5.0000,0.0109,0.0458,0.0000,0.0000,2.012E-7,10.0000,0.0452,0.0153,0.0000,0.0000,8.461E-10,18.5116,0.2496,0.0053,0.0000,0.0000,4.085E-12,23.8637,0.5825,0.0043,0.0851,0.2000,1.672E-9,18.5116,0.2496,0.0053,0.0000,0.0000,4.085E-12,18.5116,0.2496,0.0053,0.0000,0.0000,4.085E-12,18.5116,0.2496,0.0053,0.0000,0.0000,4.085E-12,18.5116,0.2496,0.0053,0.0000,0.0000,4.085E-12,3.1742,0.0052,0.0775,0.0000,0.0000,2.802E-6,10.8964,0.0562,0.0130,0.0000,0.0000,3.769E-10
Dicranomyia_species,47,4.3606,5.0446,500,0.9976,5,4.6432,0.9964,0.0007,10047,12.1532,3.8122,0.0379,0.8532,7.2443,4.1285,0.7410,4.7198,2.5132,0.8120,1.0275,0.1689,25.6200,0.0000,0.0943,8.3561,0.0799,0.4320,0.0000,13.6813,0.0000,0.7436,0.0000,0.1642,0.0823,0.9012,8.0048,1.7737,0.0475,1.8075,0.0000,4.8893,0.0056,1.0000,0.0011,0.1965,0.0000,0.0000,2.928E-4,5.0000,0.0113,0.0456,0.0000,0.0000,1.969E-7,10.0000,0.0440,0.0156,0.0000,0.0000,9.318E-10,18.8122,0.2657,0.0052,0.0000,0.0000,3.714E-12,24.2506,0.5768,0.0042,0.0851,0.2000,1.522E-9,18.8122,0.2657,0.0052,0.0000,0.0000,3.714E-12,18.8122,0.2657,0.0052,0.0000,0.0000,3.714E-12,18.8122,0.2657,0.0052,0.0000,0.0000,3.714E-12,18.8122,0.2657,0.0052,0.0000,0.0000,3.714E-12,3.2167,0.0053,0.0763,0.0000,0.0000,2.593E-6,10.9801,0.0556,0.0131,0.0000,0.0000,3.915E-10
Dicranomyia_species,47,4.3505,5.0483,500,0.9977,5,5.0577,0.9977,0.0007,10047,13.9479,1.6434,2.4088,0.4457,9.6289,5.5769,0.5333,4.3324,0.0634,2.0743,0.1677,2.2953,27.0233,0.0000,1.2408,4.5729,0.0527,0.0000,0.0000,12.3387,0.0000,0.8562,0.0000,0.4664,0.1569,1.1628,7.0416,0.0406,0.0223,1.7397,0.1670,4.8939,0.0057,1.0000,0.0011,0.1924,0.0000,0.0000,2.636E-4,5.0000,0.0110,0.0444,0.0000,0.0000,1.724E-7,10.0000,0.0474,0.0152,0.0000,0.0000,8.19E-10,20.0234,0.3140,0.0049,0.0000,0.0000,2.759E-12,24.8692,0.5387,0.0042,0.0638,0.0000,1.277E-12,20.0234,0.3140,0.0049,0.0000,0.0000,2.759E-12,20.0234,0.3140,0.0049,0.0000,0.0000,2.759E-12,24.8692,0.5387,0.0042,0.0638,0.0000,1.277E-12,24.8692,0.5387,0.0042,0.0638,0.0000,1.277E-12,3.1785,0.0053,0.0757,0.0000,0.0000,2.493E-6,10.8609,0.0580,0.0132,0.0000,0.0000,4.065E-10
