Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dicranota_species,235,2.6863,3.0780,500,0.9825,27,2.9165,0.9790,0.0046,10232,2.5757,1.5000,0.3848,0.1686,1.8263,2.6417,0.2485,0.1469,2.0736,7.0777,5.5680,0.2163,3.6402,0.0327,3.6791,1.5324,0.0000,1.0162,0.1638,0.7607,2.1624,0.0845,8.2030,0.2684,0.5352,20.1436,1.1460,1.5474,28.7593,1.2255,0.6715,6.5943,0.0326,1.0000,0.0039,0.3585,0.0043,0.0000,1.813E-12,5.0000,0.0360,0.1257,0.0043,0.0000,4.745E-43,10.0000,0.0994,0.0698,0.0298,0.0370,0E0,0.7356,0.0028,0.4153,0.0000,0.0000,3.504E-10,22.8024,0.3426,0.0308,0.0979,0.1481,0E0,14.6641,0.1761,0.0484,0.0511,0.0741,0E0,13.9858,0.1650,0.0506,0.0340,0.0741,0E0,12.4135,0.1373,0.0570,0.0340,0.0741,0E0,12.4072,0.1372,0.0570,0.0340,0.0370,0E0,4.2896,0.0276,0.1413,0.0043,0.0000,7.361E-38,9.7754,0.0952,0.0713,0.0298,0.0370,0E0
Dicranota_species,235,2.7109,3.1080,500,0.9830,27,2.5085,0.9688,0.0071,10233,2.3074,1.1645,0.4678,0.0117,2.2218,3.1576,0.1481,0.6578,1.6007,8.0131,7.8993,0.1778,3.4454,0.0800,2.9290,1.6087,0.0000,1.5036,0.1497,0.3725,1.2565,0.3033,4.1398,0.5851,0.2638,21.3875,2.0604,0.5045,29.6220,1.8430,0.1176,6.5729,0.0320,1.0000,0.0039,0.3505,0.0043,0.0000,7.587E-13,5.0000,0.0357,0.1225,0.0043,0.0370,9.176E-41,10.0000,0.1009,0.0677,0.0298,0.1481,1.957E-59,0.9268,0.0036,0.3641,0.0000,0.0000,3.284E-12,26.2846,0.4187,0.0263,0.0979,0.2963,0E0,14.6633,0.1804,0.0468,0.0468,0.1852,0E0,11.9906,0.1306,0.0570,0.0340,0.1852,4.96E-65,7.9634,0.0700,0.0835,0.0128,0.0741,9.937E-57,7.7584,0.0662,0.0853,0.0128,0.0370,3.26E-60,4.1497,0.0271,0.1412,0.0043,0.0370,7.279E-35,9.6795,0.0937,0.0699,0.0298,0.1481,1.705E-57
Dicranota_species,236,2.7202,3.1162,500,0.9827,26,2.0735,0.9385,0.0270,10233,1.4408,0.3000,1.3546,0.8458,1.5563,3.6004,1.7737,0.0254,3.6751,5.5391,8.3285,0.3179,3.3195,0.1882,5.1524,2.1454,0.0000,1.1083,0.1456,0.0055,0.8257,0.3555,3.5551,1.1563,0.2980,21.8992,1.4293,1.3194,26.6733,1.6331,0.0323,6.5576,0.0315,1.0000,0.0042,0.3294,0.0042,0.0385,3.498E-12,5.0000,0.0363,0.1180,0.0042,0.1154,4.151E-34,10.0000,0.1039,0.0657,0.0254,0.1923,5.644E-53,0.3489,0.0014,0.5128,0.0000,0.0385,2.345E-6,24.7026,0.3957,0.0275,0.0975,0.3462,0E0,15.3956,0.1975,0.0436,0.0424,0.2308,0E0,14.9489,0.1903,0.0449,0.0339,0.2308,0E0,5.1462,0.0375,0.1154,0.0085,0.1154,6.142E-35,3.4461,0.0214,0.1555,0.0042,0.0385,4.032E-30,4.0495,0.0268,0.1386,0.0042,0.1154,1.702E-28,9.5057,0.0959,0.0688,0.0254,0.1538,1.413E-55
Dicranota_species,236,2.7499,3.1394,500,0.9847,26,1.9925,0.9251,0.0291,10233,1.7142,0.9887,1.6697,0.7814,2.0457,3.3593,0.3021,0.0042,2.3709,7.9665,6.7779,0.1134,3.2855,0.0420,3.6039,1.5201,0.0120,0.6582,0.2424,0.8792,2.6455,0.1635,6.9198,0.8234,0.0809,23.9252,0.9069,1.7044,22.1182,2.3419,0.0327,6.5234,0.0305,1.0000,0.0038,0.3198,0.0000,0.0769,2.131E-11,5.0000,0.0382,0.1088,0.0000,0.1538,7.03E-34,10.0000,0.1125,0.0610,0.0254,0.2308,9.146E-52,6.1502,0.0514,0.0925,0.0000,0.1538,1.972E-40,22.9887,0.3720,0.0287,0.0975,0.3077,0E0,14.9930,0.1990,0.0424,0.0424,0.2308,0E0,14.4575,0.1923,0.0439,0.0339,0.2308,0E0,3.1619,0.0188,0.1538,0.0000,0.1538,6.514E-23,7.7494,0.0724,0.0759,0.0085,0.1538,4.929E-50,3.9474,0.0259,0.1305,0.0000,0.1538,1.175E-27,9.0620,0.0950,0.0665,0.0212,0.2308,3.102E-47
Dicranota_species,236,2.6595,3.0614,500,0.9816,26,2.9880,0.9781,0.0072,10233,1.1232,0.3718,1.9209,1.9718,2.1965,3.4077,0.2680,0.4821,2.1183,6.1515,7.4515,0.2104,2.7579,0.0279,2.7369,0.7794,0.0213,0.8689,0.2231,0.2948,1.6975,0.4689,8.2837,0.5084,0.1337,22.3243,1.4486,1.4218,26.3610,1.9415,0.0267,6.6244,0.0337,1.0000,0.0040,0.3638,0.0042,0.0000,7.776E-12,5.0000,0.0355,0.1300,0.0085,0.0385,9.376E-37,10.0000,0.0976,0.0722,0.0297,0.0769,2.352E-63,0.3033,0.0013,0.5775,0.0000,0.0000,6.474E-6,25.1914,0.3901,0.0290,0.0975,0.0769,0E0,15.3444,0.1919,0.0476,0.0508,0.0769,0E0,15.3444,0.1919,0.0476,0.0424,0.0769,0E0,9.3579,0.0885,0.0769,0.0212,0.0769,2.812E-59,30.6543,0.4902,0.0239,0.1653,0.0769,0E0,4.2884,0.0286,0.1460,0.0042,0.0385,2.569E-32,9.8136,0.0952,0.0736,0.0212,0.0769,4.114E-62
Dicranota_species,236,2.6733,3.0668,500,0.9825,26,2.9569,0.9789,0.0065,10233,1.3860,1.0786,1.4551,0.5594,2.4413,3.2680,0.5212,0.2576,2.2950,7.2098,8.0473,0.1276,3.0511,0.0000,4.8058,1.2533,0.0118,1.2371,0.3353,0.2967,1.1675,0.0598,3.9698,0.4952,0.1751,22.7003,1.5059,1.6660,27.1342,1.4608,0.0273,6.6034,0.0331,1.0000,0.0043,0.3322,0.0042,0.0000,2.412E-13,5.0000,0.0384,0.1230,0.0042,0.0385,4.939E-39,10.0000,0.1035,0.0698,0.0212,0.0385,0E0,0.7295,0.0031,0.3848,0.0000,0.0000,5.71E-11,24.6052,0.3806,0.0292,0.0975,0.1538,0E0,14.0230,0.1683,0.0508,0.0508,0.0385,0E0,11.7887,0.1297,0.0600,0.0254,0.0385,0E0,14.4997,0.1757,0.0491,0.0508,0.0385,0E0,14.4997,0.1757,0.0491,0.0508,0.0385,0E0,4.0411,0.0280,0.1436,0.0042,0.0385,6.267E-33,9.6686,0.0969,0.0720,0.0212,0.0385,0E0
Dicranota_species,236,2.6651,3.0568,500,0.9822,26,3.0365,0.9831,0.0031,10233,0.8482,1.7565,0.2136,0.6210,2.2005,2.8826,0.4447,0.2922,4.1007,7.3507,6.7534,0.1857,3.5033,0.0181,3.9747,1.2265,0.0000,1.3360,0.3864,0.3900,0.6848,0.3599,3.5809,0.6092,0.1496,26.4895,1.7287,1.1003,24.9727,1.8299,0.0097,6.6113,0.0333,1.0000,0.0042,0.3436,0.0042,0.0000,9.092E-13,5.0000,0.0379,0.1252,0.0042,0.0000,1.033E-41,10.0000,0.1039,0.0711,0.0254,0.0000,0E0,0.5557,0.0023,0.4472,0.0000,0.0000,7.165E-9,23.1107,0.3440,0.0314,0.0975,0.1154,0E0,15.6401,0.1949,0.0466,0.0466,0.0769,0E0,11.8157,0.1311,0.0612,0.0254,0.0000,0E0,11.8976,0.1333,0.0608,0.0297,0.0769,0E0,11.8822,0.1324,0.0608,0.0297,0.0000,0E0,4.0599,0.0282,0.1455,0.0042,0.0000,2.247E-35,9.7836,0.0996,0.0726,0.0254,0.0000,0E0
Dicranota_species,236,2.6667,3.0706,500,0.9826,26,2.9828,0.9801,0.0054,10234,1.0478,0.8972,1.8439,0.4456,2.0371,2.4442,0.7215,0.2117,1.6633,13.9200,6.8026,0.2183,2.5872,0.0676,5.3859,0.8745,0.0341,0.7472,0.5930,0.2337,1.0441,0.1415,1.3686,0.1965,0.2117,24.5390,1.8022,1.7509,24.6042,1.4013,0.1639,6.5993,0.0328,1.0000,0.0041,0.3490,0.0042,0.0000,1.659E-12,5.0000,0.0356,0.1252,0.0042,0.0000,1.023E-41,10.0000,0.1001,0.0701,0.0212,0.0769,0E0,0.8664,0.0035,0.3744,0.0000,0.0000,2.189E-11,23.6395,0.3708,0.0299,0.0975,0.1538,0E0,14.7547,0.1749,0.0480,0.0466,0.0769,0E0,13.8396,0.1630,0.0512,0.0381,0.0769,0E0,9.0363,0.0865,0.0769,0.0169,0.0769,2.772E-59,21.3338,0.3153,0.0331,0.0805,0.0769,0E0,4.1843,0.0279,0.1432,0.0042,0.0000,5.434E-36,9.7554,0.0950,0.0717,0.0212,0.0769,8.119E-64
Dicranota_species,236,2.6638,3.0589,500,0.9819,26,3.0499,0.9833,0.0024,10233,3.7323,1.9756,0.3621,0.2464,1.8818,2.7442,1.4274,0.2673,3.1069,7.0638,7.9206,0.2093,2.8898,0.0533,3.1090,0.7769,0.0287,1.1181,0.2610,0.2367,1.6771,0.0398,5.2694,0.6263,0.2452,23.1324,1.3213,1.8309,24.0278,2.3817,0.0368,6.5969,0.0328,1.0000,0.0039,0.3557,0.0042,0.0000,3.385E-12,5.0000,0.0351,0.1244,0.0085,0.0000,5.361E-42,10.0000,0.1041,0.0691,0.0254,0.0000,0E0,0.5395,0.0021,0.4703,0.0000,0.0000,3.134E-8,22.9482,0.3425,0.0309,0.0975,0.0385,0E0,15.2248,0.1941,0.0466,0.0466,0.0385,0E0,13.9554,0.1745,0.0506,0.0381,0.0385,0E0,18.4589,0.2528,0.0385,0.0720,0.0385,0E0,12.6261,0.1444,0.0555,0.0381,0.0000,0E0,4.2732,0.0278,0.1405,0.0042,0.0000,9.265E-37,9.6207,0.0970,0.0715,0.0212,0.0000,0E0
Dicranota_species,236,2.6753,3.0729,500,0.9821,26,2.9693,0.9799,0.0050,10234,4.0239,0.2718,1.4504,0.1350,1.9548,3.2232,0.1800,0.0523,1.2256,6.7831,8.5613,0.1436,3.6524,0.0108,7.8353,0.6705,0.0176,0.8413,0.3491,0.2235,2.0291,0.1285,2.4952,0.1550,0.5159,23.9731,1.1817,2.9481,22.5696,2.3709,0.0274,6.5865,0.0324,1.0000,0.0040,0.3526,0.0042,0.0000,2.448E-12,5.0000,0.0351,0.1245,0.0042,0.0000,5.762E-42,10.0000,0.0990,0.0691,0.0297,0.1154,9.916E-61,0.7684,0.0031,0.3996,0.0000,0.0000,2.058E-10,23.9090,0.3821,0.0290,0.0975,0.1923,0E0,13.8122,0.1672,0.0507,0.0508,0.1154,0E0,13.2579,0.1536,0.0528,0.0424,0.1154,0E0,8.4020,0.0772,0.0808,0.0297,0.0769,3.021E-56,7.1411,0.0608,0.0931,0.0169,0.0000,2.596E-57,4.1994,0.0274,0.1420,0.0042,0.0000,2.4E-36,9.7384,0.0954,0.0708,0.0297,0.1154,3.89E-59
