Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Diphascon_higginsi,125,3.5495,3.9969,500,0.9916,15,2.7106,0.9338,0.0456,10125,2.8021,0.0623,2.4182,4.0660,3.5893,1.7806,9.4798,0.1569,0.2435,2.0633,0.0000,3.8682,7.9860,1.1612,0.8889,0.5730,0.0000,4.0582,2.2401,0.0000,2.7787,3.0272,9.0472,0.4561,0.0148,33.3541,0.2473,0.8414,0.9714,1.7481,0.0763,5.7612,0.0135,1.0000,0.0019,0.3479,0.0000,0.0667,3.847E-6,5.0000,0.0128,0.1000,0.0080,0.1333,8.696E-12,10.0000,0.0463,0.0355,0.0240,0.1333,1.375E-17,3.0072,0.0064,0.1683,0.0000,0.1333,6.496E-9,20.1630,0.4898,0.0117,0.0720,0.4000,1.863E-14,12.2715,0.0744,0.0240,0.0240,0.1333,8.798E-20,13.1339,0.0897,0.0209,0.0240,0.2000,3.047E-18,3.8571,0.0089,0.1333,0.0080,0.1333,3.393E-10,12.5883,0.0789,0.0227,0.0240,0.1333,4.315E-20,3.0072,0.0064,0.1683,0.0000,0.1333,6.496E-9,10.7098,0.0542,0.0313,0.0240,0.1333,2.749E-18
Diphascon_higginsi,126,3.4462,3.9031,500,0.9884,14,4.2615,0.9946,0.0008,10126,5.2439,0.6380,2.2467,0.3149,3.8104,1.5971,7.9697,0.1210,0.7786,1.3702,0.0000,3.6260,10.7551,1.4392,1.1381,0.4885,0.0000,5.2319,2.1173,0.0956,3.5894,7.5588,7.8871,0.2079,0.0157,26.8557,0.3281,1.0608,1.5130,1.8657,0.1355,5.8827,0.0152,1.0000,0.0021,0.3870,0.0000,0.0000,1.692E-6,5.0000,0.0134,0.1219,0.0159,0.0000,1.593E-13,10.0000,0.0415,0.0474,0.0317,0.0000,2.892E-19,2.0246,0.0041,0.2635,0.0000,0.0000,7.771E-9,22.5251,0.4963,0.0119,0.0714,0.0000,1.21E-27,12.2421,0.0620,0.0324,0.0317,0.0000,1.4E-21,16.6902,0.1517,0.0170,0.0397,0.0000,1.664E-25,34.1751,0.6755,0.0092,0.2302,0.0000,3.038E-29,34.1751,0.6755,0.0092,0.2302,0.0000,3.038E-29,5.1407,0.0140,0.1183,0.0159,0.0000,1.053E-13,11.7151,0.0562,0.0354,0.0317,0.0000,4.767E-21
Diphascon_higginsi,126,3.5156,3.9787,500,0.9902,14,3.2386,0.9480,0.0362,10126,4.2773,2.9852,0.9040,2.3757,3.6016,2.7784,5.5486,0.0034,0.2037,1.6865,0.0024,5.5391,8.5269,1.7080,1.3311,1.0254,0.0000,3.1639,1.3596,0.0282,4.3597,4.7696,8.2068,1.0565,0.9442,30.7461,0.2466,0.3090,1.3586,0.9216,0.0323,5.8058,0.0142,1.0000,0.0019,0.3529,0.0000,0.0714,1.237E-5,5.0000,0.0136,0.1054,0.0238,0.1429,1.39E-10,10.0000,0.0432,0.0384,0.0238,0.1429,8.746E-16,2.7154,0.0060,0.1885,0.0000,0.0714,4.389E-9,23.0686,0.5302,0.0114,0.0952,0.1429,4.102E-22,12.7493,0.0819,0.0238,0.0238,0.1429,2.875E-18,15.0238,0.1317,0.0173,0.0238,0.1429,6.256E-20,3.7288,0.0089,0.1429,0.0159,0.1429,4.973E-9,23.0686,0.5302,0.0114,0.0952,0.1429,4.102E-22,2.7154,0.0060,0.1885,0.0000,0.0714,4.389E-9,10.8700,0.0533,0.0328,0.0238,0.1429,1.321E-16
Diphascon_higginsi,126,3.4575,3.9036,500,0.9888,14,4.1483,0.9931,0.0011,10126,1.8865,0.7638,0.3500,1.0181,5.5102,1.6469,9.2321,0.1504,0.5213,4.3461,0.0000,6.4843,7.9898,1.3644,1.1825,0.3775,0.0000,6.9859,1.3389,0.0344,2.7084,4.6724,8.5055,0.1316,0.0156,29.1839,0.2852,0.6870,0.4891,2.0906,0.0476,5.8329,0.0145,1.0000,0.0019,0.3670,0.0000,0.0000,8.034E-7,5.0000,0.0132,0.1126,0.0238,0.0000,5.255E-14,10.0000,0.0432,0.0422,0.0317,0.0000,5.622E-20,2.1196,0.0042,0.2389,0.0000,0.0000,1.971E-9,21.8911,0.4998,0.0119,0.0714,0.0000,1.077E-27,10.3491,0.0459,0.0397,0.0397,0.0000,2.416E-20,14.4201,0.1016,0.0206,0.0397,0.0000,2.546E-24,29.5931,0.6443,0.0098,0.2063,0.0000,7.291E-29,29.5931,0.6443,0.0098,0.2063,0.0000,7.291E-29,2.1196,0.0042,0.2389,0.0000,0.0000,1.971E-9,11.3005,0.0545,0.0337,0.0397,0.0000,2.412E-21
Diphascon_higginsi,127,3.5085,3.9647,500,0.9905,13,3.1386,0.9389,0.0420,10127,2.9879,0.6420,4.3560,1.1715,4.1686,1.2023,7.4399,0.0252,0.2380,1.4503,0.0000,5.9494,5.4957,1.2803,0.8532,0.5776,0.0625,4.7060,2.5098,0.0622,3.3943,10.1878,5.5626,0.3121,0.4964,30.1257,0.2856,0.8124,1.1337,2.3896,0.1218,5.7941,0.0140,1.0000,0.0019,0.3448,0.0000,0.0769,2.504E-5,5.0000,0.0138,0.1015,0.0157,0.1538,7.567E-10,10.0000,0.0450,0.0368,0.0236,0.1538,1.232E-14,2.4515,0.0051,0.1985,0.0000,0.0769,3.969E-8,21.7446,0.5253,0.0117,0.0945,0.1538,4.104E-20,11.1301,0.0570,0.0300,0.0315,0.1538,1.316E-15,15.9352,0.1941,0.0158,0.0315,0.1538,1.16E-18,3.3155,0.0076,0.1538,0.0157,0.1538,6.578E-8,23.1527,0.5410,0.0113,0.1181,0.1538,2.81E-20,2.4515,0.0051,0.1985,0.0000,0.0769,3.969E-8,10.7097,0.0516,0.0324,0.0236,0.1538,3.022E-15
Diphascon_higginsi,126,3.4885,3.9271,500,0.9873,14,3.4475,0.9691,0.0242,10126,3.0913,3.3646,2.5451,0.1409,4.7719,1.4245,9.2025,0.0213,0.2232,2.3017,0.0000,4.0918,7.2091,1.6821,1.1513,1.0727,0.0000,2.7447,1.8360,0.0302,3.6448,5.5793,7.9438,0.1147,0.0126,31.8358,0.2496,1.0285,0.3530,2.3310,0.0018,5.8056,0.0141,1.0000,0.0019,0.3567,0.0079,0.0000,5.399E-7,5.0000,0.0135,0.1072,0.0238,0.0714,3.131E-12,10.0000,0.0439,0.0389,0.0317,0.0714,6.323E-18,0.8219,0.0016,0.3897,0.0000,0.0000,1.862E-6,23.6989,0.5753,0.0111,0.0952,0.2857,2.634E-17,11.1460,0.0551,0.0317,0.0317,0.0714,4.436E-19,17.6361,0.2776,0.0136,0.0397,0.1429,3.642E-21,6.8994,0.0218,0.0714,0.0238,0.0714,1.638E-14,15.3674,0.1439,0.0166,0.0397,0.0714,9.947E-23,2.5962,0.0055,0.1996,0.0079,0.0714,9.095E-9,10.9563,0.0529,0.0328,0.0317,0.0714,6.868E-19
Diphascon_higginsi,126,3.5054,3.9389,500,0.9894,14,3.2377,0.9268,0.0647,10126,2.6292,1.3677,2.2460,0.0372,5.2743,1.5268,7.1790,0.0194,0.3195,5.9617,0.0025,4.0772,7.1759,1.6595,0.0621,0.5537,0.0000,5.9123,1.8698,0.0306,3.7982,7.5119,5.8637,0.0812,0.0846,30.2320,0.1814,1.1218,0.6258,2.4136,0.1813,5.7973,0.0141,1.0000,0.0019,0.3511,0.0000,0.0714,1.161E-5,5.0000,0.0139,0.1026,0.0159,0.0714,1.77E-12,10.0000,0.0449,0.0375,0.0159,0.0714,3.956E-18,1.4226,0.0027,0.2904,0.0000,0.0714,1.07E-6,20.9971,0.4667,0.0119,0.0873,0.1429,7.544E-22,10.9469,0.0563,0.0317,0.0317,0.0714,4.436E-19,15.1889,0.1521,0.0168,0.0317,0.0714,1.16E-22,6.6745,0.0210,0.0714,0.0159,0.0714,1.638E-14,18.6204,0.3538,0.0131,0.0476,0.0714,4.788E-24,4.7326,0.0128,0.1090,0.0159,0.0714,3.87E-12,10.8036,0.0548,0.0325,0.0317,0.0714,6.105E-19
Diphascon_higginsi,126,3.4688,3.8996,500,0.9886,14,3.9696,0.9936,0.0013,10126,4.3651,2.9796,1.5929,0.1471,5.7937,1.4899,5.9974,0.0583,0.1809,2.7610,0.0000,3.8587,9.0693,1.2761,2.7364,0.5265,0.0305,4.7889,0.5589,0.0335,3.5303,7.2218,3.0805,0.1531,0.0085,34.6352,0.3688,0.1286,1.3577,1.2631,0.0078,5.8411,0.0146,1.0000,0.0019,0.3839,0.0000,0.0000,1.508E-6,5.0000,0.0126,0.1175,0.0238,0.0000,9.584E-14,10.0000,0.0408,0.0426,0.0397,0.0000,6.405E-20,2.2282,0.0044,0.2421,0.0000,0.0000,2.383E-9,23.2530,0.5339,0.0113,0.0952,0.1429,3.695E-22,10.3760,0.0444,0.0397,0.0397,0.0000,2.416E-20,15.9214,0.1573,0.0169,0.0397,0.0000,1.534E-25,17.4813,0.2280,0.0145,0.0476,0.0000,1.846E-26,17.4813,0.2280,0.0145,0.0476,0.0000,1.846E-26,2.2282,0.0044,0.2421,0.0000,0.0000,2.383E-9,11.2430,0.0539,0.0340,0.0397,0.0000,2.727E-21
Diphascon_higginsi,126,3.4697,3.9126,500,0.9891,14,3.8456,0.9922,0.0015,10126,2.3400,1.3548,1.6999,3.3487,4.3798,1.5766,5.0283,0.0210,0.2896,2.2850,0.0000,6.7748,7.4642,2.3211,0.7335,1.5470,0.0000,4.5994,0.4834,0.0254,3.0975,5.0522,8.1250,0.0960,0.0611,34.0361,0.3402,0.0967,0.9362,1.8543,0.0323,5.8280,0.0145,1.0000,0.0020,0.3604,0.0000,0.0000,6.227E-7,5.0000,0.0136,0.1085,0.0238,0.0000,3.147E-14,10.0000,0.0441,0.0405,0.0317,0.0000,3.183E-20,2.4645,0.0052,0.2091,0.0000,0.0000,3.048E-10,22.0507,0.4539,0.0119,0.0873,0.1429,6.83E-22,11.3694,0.0568,0.0317,0.0317,0.0000,1.035E-21,15.7827,0.1662,0.0167,0.0397,0.0714,1.074E-22,13.8520,0.0988,0.0210,0.0397,0.0000,3.32E-24,13.8520,0.0988,0.0210,0.0397,0.0000,3.32E-24,2.4645,0.0052,0.2091,0.0000,0.0000,3.048E-10,11.0618,0.0533,0.0335,0.0317,0.0000,2.222E-21
Diphascon_higginsi,126,3.4744,3.9016,500,0.9886,14,3.3150,0.9623,0.0267,10126,5.6058,0.5461,1.3634,0.7371,4.6421,1.6259,7.6844,0.0887,0.2626,1.3158,0.0000,5.8636,9.3015,1.2682,0.9996,0.9434,0.0000,2.0558,1.4511,0.0436,2.5224,8.1102,6.1407,0.1539,0.1233,33.6495,0.3226,0.5669,0.6953,1.8666,0.0502,5.8393,0.0146,1.0000,0.0019,0.3785,0.0000,0.0714,2.974E-5,5.0000,0.0130,0.1158,0.0238,0.0714,8.451E-12,10.0000,0.0412,0.0430,0.0317,0.1429,3.315E-15,2.4418,0.0049,0.2230,0.0000,0.0714,3.742E-8,23.0510,0.4616,0.0113,0.0714,0.1429,3.695E-22,10.8153,0.0493,0.0371,0.0397,0.1429,5.831E-16,15.0744,0.1190,0.0193,0.0397,0.1429,2.284E-19,7.3308,0.0232,0.0714,0.0317,0.0714,1.638E-14,9.4991,0.0375,0.0471,0.0317,0.0714,7.529E-17,2.4418,0.0049,0.2230,0.0000,0.0714,3.742E-8,11.3479,0.0549,0.0339,0.0397,0.1429,1.949E-16
