Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Dolophilodes_distincta,555,1.9612,2.2109,500,0.9594,62,1.8137,0.9333,0.0122,10553,6.0556,4.1405,1.4859,0.0198,1.5435,1.5876,1.2432,0.7766,1.6317,3.8823,10.2443,0.4230,2.7659,0.0893,5.2866,0.2813,0.0489,0.5285,0.7497,1.0110,0.0798,0.5750,8.2449,1.2046,0.2822,31.2394,0.6610,1.6676,11.4328,0.7883,0.0292,7.3349,0.0677,1.0000,0.0086,0.4948,0.0018,0.0161,6.711E-15,5.0000,0.0471,0.2256,0.0216,0.0806,2.498E-39,10.0000,0.1201,0.1382,0.0360,0.1129,0E0,0.6792,0.0062,0.5583,0.0000,0.0000,1.25E-12,19.8383,0.2843,0.0768,0.0991,0.2258,0E0,18.6207,0.2672,0.0814,0.0811,0.2097,0E0,14.8838,0.1984,0.0997,0.0559,0.2097,0E0,10.9215,0.1346,0.1291,0.0378,0.1290,0E0,10.6777,0.1318,0.1313,0.0378,0.1129,0E0,4.2622,0.0386,0.2496,0.0126,0.0806,1.855E-34,9.3772,0.1101,0.1452,0.0324,0.1129,4.59E-62
Dolophilodes_distincta,555,1.9234,2.1905,500,0.9593,62,2.2707,0.9637,0.0049,10552,4.1329,6.2585,0.5106,0.2843,1.5994,1.7262,2.4893,0.1076,2.1913,5.6056,10.5382,0.4657,3.0066,0.0886,4.0686,0.2918,0.0352,0.5783,0.7147,1.0539,0.0683,0.7484,7.6299,0.6962,0.7987,31.3729,0.7740,1.3710,9.8169,0.9765,0.0000,7.3667,0.0700,1.0000,0.0089,0.5072,0.0000,0.0000,4.2E-15,5.0000,0.0476,0.2364,0.0180,0.0000,8.895E-46,10.0000,0.1181,0.1448,0.0432,0.0323,0E0,2.5271,0.0215,0.3479,0.0000,0.0000,2.133E-27,20.3679,0.2864,0.0782,0.0973,0.0968,0E0,18.7325,0.2635,0.0847,0.0847,0.0968,0E0,15.5822,0.2073,0.1001,0.0649,0.0806,0E0,17.5468,0.2434,0.0899,0.0829,0.0968,0E0,9.2348,0.1049,0.1540,0.0378,0.0000,0E0,3.7505,0.0334,0.2814,0.0072,0.0000,1.297E-36,9.5650,0.1113,0.1499,0.0414,0.0323,0E0
Dolophilodes_distincta,555,1.9636,2.2204,500,0.9602,62,1.7912,0.9301,0.0160,10552,4.0913,6.2451,0.2033,1.1317,1.4258,1.6662,1.1042,0.4176,0.1549,4.1864,9.7840,0.4174,2.8485,0.1156,3.3413,0.2906,0.0434,0.6494,0.9282,2.3967,0.0284,0.4653,9.4236,1.1957,0.5261,31.7314,0.4704,1.9717,11.8821,0.8189,0.0446,7.3310,0.0675,1.0000,0.0088,0.4851,0.0000,0.0161,1.955E-15,5.0000,0.0482,0.2256,0.0126,0.0484,7.149E-43,10.0000,0.1179,0.1379,0.0396,0.0645,0E0,1.9694,0.0169,0.3729,0.0000,0.0323,1.739E-22,20.4214,0.3055,0.0744,0.0991,0.2097,0E0,17.3834,0.2434,0.0861,0.0883,0.1935,0E0,13.9142,0.1825,0.1050,0.0577,0.1290,0E0,12.6048,0.1594,0.1142,0.0541,0.1129,0E0,10.9746,0.1342,0.1280,0.0414,0.0645,0E0,4.4099,0.0412,0.2440,0.0108,0.0484,8.843E-39,9.4122,0.1079,0.1446,0.0378,0.0645,0E0
Dolophilodes_distincta,555,1.9455,2.2013,500,0.9602,62,2.0412,0.9494,0.0094,10553,3.9070,0.5437,1.8567,1.7019,1.8139,1.8102,2.7079,0.4009,3.6212,6.9273,11.4936,0.2829,2.9374,0.1012,4.0210,0.6098,0.0099,0.5391,0.8121,0.9808,0.0737,0.4471,13.8402,0.8482,0.9528,25.4459,0.4561,1.9353,8.1637,0.7557,0.0028,7.3483,0.0687,1.0000,0.0091,0.4922,0.0000,0.0000,6.318E-16,5.0000,0.0482,0.2328,0.0090,0.0323,5.654E-43,10.0000,0.1166,0.1426,0.0396,0.0484,0E0,3.2335,0.0292,0.2993,0.0000,0.0323,7.026E-31,19.3993,0.2755,0.0801,0.0973,0.1613,0E0,18.5658,0.2633,0.0835,0.0829,0.1290,0E0,15.4926,0.2031,0.0984,0.0595,0.1129,0E0,13.4534,0.1690,0.1116,0.0595,0.1129,0E0,11.7922,0.1430,0.1248,0.0505,0.0484,0E0,3.2335,0.0292,0.2993,0.0000,0.0323,7.026E-31,9.6090,0.1094,0.1472,0.0342,0.0484,0E0
Dolophilodes_distincta,555,1.9416,2.1948,500,0.9596,62,1.9346,0.9458,0.0087,10552,3.9133,2.8080,1.3391,2.1904,1.5902,1.6850,3.0240,0.3819,0.0478,5.6051,13.6185,0.5393,2.5854,0.1029,4.4804,0.2914,0.0160,0.6761,0.7751,0.8043,0.0314,0.1892,8.6201,1.0244,0.9203,31.8246,0.4740,1.0977,8.6054,0.7329,0.0058,7.3558,0.0692,1.0000,0.0088,0.5082,0.0000,0.0000,4.716E-15,5.0000,0.0466,0.2366,0.0198,0.0484,2.384E-40,10.0000,0.1159,0.1437,0.0414,0.0806,0E0,2.6707,0.0229,0.3386,0.0000,0.0161,3.438E-27,19.4315,0.2731,0.0809,0.0991,0.1613,0E0,18.1981,0.2533,0.0861,0.0865,0.1452,0E0,14.5457,0.1872,0.1053,0.0523,0.1290,0E0,13.4472,0.1698,0.1129,0.0523,0.1129,0E0,8.5299,0.0921,0.1627,0.0324,0.0484,7.465E-64,4.1881,0.0377,0.2642,0.0072,0.0323,1.669E-36,9.6193,0.1095,0.1483,0.0414,0.0806,0E0
Dolophilodes_distincta,555,1.9261,2.1693,500,0.9585,62,2.3043,0.9651,0.0043,10552,3.2663,0.5053,0.1673,4.0931,1.4468,1.6170,3.0097,0.1020,0.0039,4.7405,11.9242,0.4141,3.4292,0.1939,6.5508,0.3646,0.0528,0.6304,1.3373,0.8816,0.0481,0.4133,11.6625,0.8550,1.3776,25.9778,0.4609,3.5674,10.1017,0.7341,0.0706,7.3693,0.0702,1.0000,0.0091,0.5038,0.0000,0.0000,2.758E-15,5.0000,0.0479,0.2382,0.0162,0.0000,2.41E-45,10.0000,0.1168,0.1461,0.0414,0.0161,0E0,1.9094,0.0166,0.3953,0.0000,0.0000,1.027E-22,19.6001,0.2789,0.0821,0.0973,0.0645,0E0,17.9774,0.2485,0.0888,0.0883,0.0323,0E0,15.5565,0.2079,0.1012,0.0577,0.0323,0E0,22.0452,0.3209,0.0734,0.1243,0.0806,0E0,18.4748,0.2578,0.0866,0.0919,0.0323,0E0,3.6467,0.0329,0.2871,0.0036,0.0000,1.208E-35,9.6471,0.1119,0.1503,0.0414,0.0161,0E0
Dolophilodes_distincta,555,1.9500,2.2068,500,0.9591,62,1.9871,0.9466,0.0089,10553,7.7065,1.1198,1.4517,1.3736,1.5523,1.9210,0.9779,0.4463,1.0381,2.4321,13.3002,0.4371,2.9755,0.3256,5.7659,0.2690,0.0515,0.9915,0.6120,1.2064,0.0541,0.2147,10.9565,1.1539,0.7589,29.4814,0.4206,1.3515,8.5659,1.0559,0.0325,7.3443,0.0683,1.0000,0.0087,0.5052,0.0000,0.0000,3.269E-15,5.0000,0.0462,0.2331,0.0198,0.0323,6.588E-43,10.0000,0.1142,0.1418,0.0378,0.0806,0E0,1.5638,0.0130,0.4286,0.0000,0.0000,4.879E-20,19.8408,0.2849,0.0778,0.0937,0.1290,0E0,18.7542,0.2674,0.0821,0.0829,0.1290,0E0,16.5163,0.2279,0.0920,0.0523,0.1129,0E0,15.6245,0.2094,0.0967,0.0505,0.0968,0E0,15.9040,0.2152,0.0951,0.0523,0.0968,0E0,4.2948,0.0385,0.2566,0.0162,0.0323,6.303E-38,9.5945,0.1078,0.1466,0.0342,0.0645,0E0
Dolophilodes_distincta,556,1.9295,2.1762,500,0.9590,61,2.0614,0.9493,0.0093,10553,5.0887,0.7058,2.8440,0.5640,1.8249,1.6721,2.7187,0.1013,2.5854,4.3018,8.4984,0.6213,3.4266,0.1289,7.1440,0.2834,0.0035,0.4961,0.6937,1.4684,0.0662,0.4739,10.7268,0.8451,1.1264,26.9523,0.6125,1.8383,11.1998,0.9360,0.0515,7.3670,0.0700,1.0000,0.0089,0.5136,0.0000,0.0000,1.473E-14,5.0000,0.0459,0.2399,0.0144,0.0492,5.993E-39,10.0000,0.1152,0.1455,0.0342,0.0656,0E0,2.1656,0.0183,0.3799,0.0000,0.0164,1.304E-22,18.5480,0.2553,0.0854,0.0953,0.1148,0E0,17.5729,0.2389,0.0899,0.0899,0.1148,0E0,16.1098,0.2162,0.0974,0.0629,0.0984,0E0,15.9368,0.2131,0.0984,0.0629,0.0984,0E0,16.1098,0.2162,0.0974,0.0629,0.0984,0E0,3.5887,0.0318,0.2931,0.0054,0.0328,3.029E-31,9.6336,0.1079,0.1499,0.0324,0.0656,0E0
Dolophilodes_distincta,556,1.9659,2.2220,500,0.9600,61,1.6012,0.9266,0.0119,10553,6.9578,3.5523,0.1792,0.7948,1.2909,1.8863,0.7646,0.2932,0.1517,5.3453,10.1536,0.3989,3.0162,0.0853,3.9799,0.3054,0.0024,0.7017,0.7420,0.7706,0.0515,0.5864,12.2316,1.2991,0.4544,29.2084,0.4346,1.5290,11.9510,0.6918,0.1902,7.3169,0.0665,1.0000,0.0082,0.4801,0.0000,0.0000,2.177E-16,5.0000,0.0486,0.2154,0.0162,0.0820,5.972E-41,10.0000,0.1248,0.1330,0.0414,0.1475,8.787E-62,1.2594,0.0102,0.4399,0.0000,0.0000,6.071E-19,19.1154,0.2784,0.0779,0.0989,0.2623,0E0,17.2750,0.2467,0.0854,0.0863,0.2459,0E0,15.3576,0.2158,0.0946,0.0594,0.1967,0E0,9.3777,0.1144,0.1396,0.0396,0.1475,2.203E-58,8.2912,0.0962,0.1527,0.0234,0.0984,8.783E-60,4.8738,0.0465,0.2190,0.0144,0.0656,6.711E-42,9.1080,0.1108,0.1426,0.0306,0.1311,1.793E-59
Dolophilodes_distincta,556,1.9384,2.1981,500,0.9598,61,2.1025,0.9544,0.0068,10553,5.9183,0.4133,2.6785,1.1004,1.6844,1.8456,3.5732,0.1009,0.4406,5.4304,9.2881,0.3597,3.7759,0.1128,3.3005,0.4112,0.0176,0.7081,0.9342,2.4667,0.0682,0.2528,10.0525,1.3061,0.7709,29.6349,0.4149,1.6316,10.7281,0.5210,0.0586,7.3583,0.0693,1.0000,0.0088,0.5079,0.0000,0.0000,7.495E-15,5.0000,0.0470,0.2362,0.0108,0.0328,1.75E-41,10.0000,0.1165,0.1438,0.0432,0.0492,0E0,2.8287,0.0238,0.3288,0.0000,0.0000,3.251E-29,20.2861,0.2921,0.0778,0.0989,0.1311,0E0,18.3525,0.2593,0.0854,0.0863,0.1148,0E0,16.9059,0.2318,0.0920,0.0665,0.0984,0E0,16.1636,0.2177,0.0958,0.0647,0.0984,0E0,13.3483,0.1685,0.1135,0.0540,0.0492,0E0,4.6792,0.0431,0.2464,0.0090,0.0328,2.592E-39,9.5883,0.1106,0.1487,0.0378,0.0328,0E0
