Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Drunella_longicornis,44,3.5394,4.2909,500,0.9952,5,4.5872,0.9972,0.0011,10043,3.5370,2.9800,0.1649,0.1126,3.6761,6.1238,3.2832,0.0289,0.2841,12.2840,16.5293,3.1780,3.8948,0.0036,2.4006,0.2802,0.7371,0.5601,0.3606,0.0000,1.1613,0.0251,0.3779,0.1246,0.0811,0.6312,1.8151,0.0782,34.8889,0.3976,0.0000,5.6829,0.0131,1.0000,0.0015,0.3301,0.0000,0.0000,3.918E-3,5.0000,0.0152,0.0891,0.0000,0.0000,5.621E-6,10.0000,0.0560,0.0409,0.0227,0.0000,1.148E-7,9.8781,0.0552,0.0416,0.0000,0.0000,1.249E-7,26.5632,0.3020,0.0106,0.0682,0.0000,1.31E-10,14.4447,0.1108,0.0259,0.0227,0.0000,1.163E-8,9.8781,0.0552,0.0416,0.0000,0.0000,1.249E-7,36.2199,0.5129,0.0066,0.1818,0.0000,1.226E-11,36.2199,0.5129,0.0066,0.1818,0.0000,1.226E-11,4.1685,0.0115,0.1072,0.0000,0.0000,1.418E-5,13.1449,0.0950,0.0292,0.0227,0.0000,2.114E-8
Drunella_longicornis,44,3.5596,4.3178,500,0.9952,5,4.2330,0.9956,0.0018,10043,3.8565,2.3246,1.0119,0.2139,3.6234,5.8691,2.6070,0.0432,0.6283,12.1885,14.8362,3.1992,4.0777,0.0217,1.9404,0.3663,0.0000,0.4246,0.4880,0.0000,0.4688,0.0000,0.4919,0.1260,0.0000,0.9329,2.0018,0.1083,37.5163,0.6301,0.0034,5.6778,0.0130,1.0000,0.0015,0.3347,0.0000,0.0000,4.198E-3,5.0000,0.0149,0.0910,0.0000,0.0000,6.243E-6,10.0000,0.0552,0.0417,0.0227,0.0000,1.264E-7,9.6913,0.0518,0.0434,0.0000,0.0000,1.542E-7,25.7973,0.2955,0.0112,0.0909,0.2000,7.665E-8,14.6475,0.1096,0.0254,0.0227,0.0000,1.055E-8,9.6913,0.0518,0.0434,0.0000,0.0000,1.542E-7,25.0427,0.2892,0.0116,0.0682,0.0000,2.146E-10,25.0427,0.2892,0.0116,0.0682,0.0000,2.146E-10,4.3252,0.0115,0.1057,0.0000,0.0000,1.322E-5,13.2853,0.0910,0.0291,0.0227,0.0000,2.078E-8
Drunella_longicornis,44,3.6463,4.3567,500,0.9955,5,-0.9459,0.8116,0.1627,10043,2.1733,4.8635,0.7432,1.4056,2.8457,5.8720,3.5369,0.0143,0.6300,12.0634,13.5214,3.2951,4.0398,0.0324,0.5602,0.2251,0.1089,0.6322,0.2025,0.0000,1.6745,0.0115,2.2110,0.3263,0.0000,2.8999,2.4914,0.0573,33.0624,0.5003,0.0000,5.6000,0.0121,1.0000,0.0022,0.2399,0.0000,0.2000,1.338E-2,5.0000,0.0184,0.0783,0.0000,0.2000,1.758E-4,10.0000,0.0572,0.0377,0.0227,0.2000,9.835E-6,8.9881,0.0477,0.0427,0.0000,0.2000,1.608E-5,24.9372,0.2602,0.0109,0.0682,0.4000,1.258E-5,15.1191,0.1155,0.0227,0.0227,0.2000,1.304E-6,17.4243,0.1518,0.0186,0.0227,0.2000,5.921E-7,1.4001,0.0032,0.2000,0.0000,0.2000,6.725E-3,17.4243,0.1518,0.0186,0.0227,0.2000,5.921E-7,3.4639,0.0107,0.1071,0.0000,0.2000,6.023E-4,13.2722,0.0959,0.0269,0.0227,0.2000,2.556E-6
Drunella_longicornis,44,3.6438,4.3370,500,0.9941,5,2.7770,0.9753,0.0131,10043,4.5276,3.8569,0.0516,2.4436,3.5193,5.5723,3.9782,0.0036,0.0858,8.8294,14.7953,3.5327,4.1681,0.0000,2.5048,0.2010,0.2165,0.3165,0.7221,0.0000,1.3466,0.0330,0.1787,0.0485,0.0935,1.0326,1.8165,0.0392,35.4258,0.6603,0.0000,5.5850,0.0118,1.0000,0.0013,0.3487,0.0000,0.0000,5.155E-3,5.0000,0.0139,0.0867,0.0000,0.0000,4.907E-6,10.0000,0.0548,0.0377,0.0227,0.2000,9.835E-6,5.5591,0.0164,0.0770,0.0000,0.0000,2.701E-6,21.0752,0.2165,0.0136,0.0909,0.4000,2.487E-5,10.1077,0.0552,0.0373,0.0455,0.2000,9.429E-6,10.1077,0.0552,0.0373,0.0227,0.2000,9.429E-6,5.5591,0.0164,0.0770,0.0000,0.0000,2.701E-6,5.5591,0.0164,0.0770,0.0000,0.0000,2.701E-6,4.3394,0.0104,0.1010,0.0000,0.0000,1.049E-5,13.1585,0.0890,0.0265,0.0455,0.4000,1.785E-4
Drunella_longicornis,44,3.6754,4.3727,500,0.9958,5,2.7132,0.9760,0.0134,10043,2.9255,2.2826,0.1336,0.0168,3.8000,5.2389,4.4019,0.1271,0.4148,13.8247,12.9894,3.5024,3.8179,0.0230,1.8687,0.1985,0.0372,0.6341,0.0145,0.0000,1.2475,0.0000,0.1552,0.1359,0.0261,0.6830,1.9138,0.0714,39.0714,0.4443,0.0000,5.5691,0.0116,1.0000,0.0014,0.3137,0.0000,0.0000,3.036E-3,5.0000,0.0152,0.0786,0.0000,0.2000,1.785E-4,10.0000,0.0573,0.0352,0.0000,0.2000,7.501E-6,12.6337,0.0901,0.0266,0.0000,0.2000,2.445E-6,24.2898,0.2678,0.0108,0.0909,0.4000,1.224E-5,14.2961,0.1107,0.0227,0.0227,0.4000,1.131E-4,12.6337,0.0901,0.0266,0.0000,0.2000,2.445E-6,4.8556,0.0143,0.0812,0.0000,0.0000,3.519E-6,4.8556,0.0143,0.0812,0.0000,0.0000,3.519E-6,4.0664,0.0103,0.0979,0.0000,0.0000,8.984E-6,12.8261,0.0929,0.0261,0.0227,0.4000,1.707E-4
Drunella_longicornis,44,3.6980,4.4621,500,0.9956,5,1.8668,0.9745,0.0073,10044,5.1642,2.0706,0.1268,0.0643,3.7710,4.5085,3.9819,0.0282,0.1669,7.0846,8.5196,3.2111,6.1453,0.0220,1.7466,0.3963,0.0959,0.3613,0.1717,0.0000,1.4534,0.0180,0.2755,0.0765,0.0203,0.8941,2.5757,0.0689,46.5185,0.4626,0.0000,5.5301,0.0112,1.0000,0.0014,0.2928,0.0000,0.0000,2.152E-3,5.0000,0.0155,0.0716,0.0000,0.0000,1.88E-6,10.0000,0.0622,0.0320,0.0227,0.6000,9.577E-3,8.1152,0.0406,0.0408,0.0000,0.2000,1.343E-5,24.9824,0.3102,0.0099,0.0909,0.6000,9.525E-4,11.0301,0.0727,0.0285,0.0227,0.6000,7.656E-3,8.1152,0.0406,0.0408,0.0000,0.2000,1.343E-5,7.9483,0.0383,0.0418,0.0000,0.0000,1.279E-7,7.9483,0.0383,0.0418,0.0000,0.0000,1.279E-7,3.8813,0.0099,0.0939,0.0000,0.0000,7.295E-6,12.1921,0.0852,0.0251,0.0455,0.6000,5.985E-3
Drunella_longicornis,44,3.5680,4.3335,500,0.9955,5,3.6580,0.9840,0.0120,10043,2.6055,2.2932,0.0480,0.2293,3.5535,4.9752,2.3936,0.0136,0.1440,19.2141,12.6183,2.4961,5.3667,0.0000,3.6996,0.4741,0.7114,0.1461,0.1727,0.0000,1.8867,0.0810,0.4404,0.1836,0.0499,0.9767,2.3145,0.0946,32.0680,0.7497,0.0000,5.6566,0.0127,1.0000,0.0015,0.3243,0.0000,0.0000,3.587E-3,5.0000,0.0158,0.0866,0.0000,0.0000,4.878E-6,10.0000,0.0574,0.0399,0.0227,0.2000,1.23E-5,9.8143,0.0550,0.0408,0.0000,0.2000,1.343E-5,28.6303,0.3632,0.0091,0.0909,0.2000,3.346E-8,15.4110,0.1170,0.0227,0.0227,0.2000,1.304E-6,9.8143,0.0550,0.0408,0.0000,0.2000,1.343E-5,6.1425,0.0222,0.0695,0.0000,0.0000,1.622E-6,6.1425,0.0222,0.0695,0.0000,0.0000,1.622E-6,4.1396,0.0112,0.1047,0.0000,0.0000,1.255E-5,13.1098,0.0883,0.0285,0.0227,0.2000,3.213E-6
Drunella_longicornis,44,3.8142,4.4591,500,0.9949,5,0.4006,0.9075,0.0478,10043,3.1545,3.8100,0.0919,0.0401,4.5436,5.2707,5.2195,0.0000,0.5310,7.1002,6.8217,2.6330,2.8190,0.0078,1.6333,0.1473,0.0800,0.5546,0.0000,0.0000,1.9525,0.0000,0.6605,0.2356,0.0148,0.0595,2.0793,0.0570,50.1651,0.3088,0.0087,5.4071,0.0098,1.0000,0.0013,0.2447,0.0000,0.2000,1.443E-2,5.0000,0.0166,0.0605,0.0000,0.4000,2.022E-3,10.0000,0.0621,0.0272,0.0455,0.8000,1.287E-1,5.2832,0.0185,0.0571,0.0000,0.4000,1.702E-3,24.6134,0.3490,0.0084,0.0909,0.8000,4.113E-2,6.5121,0.0277,0.0454,0.0455,0.6000,1.881E-2,5.2832,0.0185,0.0571,0.0000,0.4000,1.702E-3,1.3289,0.0020,0.2000,0.0000,0.2000,6.725E-3,3.6941,0.0099,0.0830,0.0000,0.2000,2.22E-4,3.4379,0.0088,0.0891,0.0000,0.2000,2.929E-4,11.8350,0.0841,0.0221,0.0455,0.8000,1.057E-1
Drunella_longicornis,44,3.6507,4.3720,500,0.9954,5,2.8298,0.9638,0.0274,10043,1.7529,2.1226,1.2364,0.2212,3.1593,4.4724,3.1829,0.0999,0.1490,15.8506,13.7421,2.4786,4.6883,0.0557,2.2500,0.1780,0.0873,0.4361,0.2743,0.0000,1.2888,0.0383,0.7682,0.2213,0.0000,0.1755,2.5371,0.1659,37.6291,0.7383,0.0000,5.5903,0.0119,1.0000,0.0014,0.2925,0.0000,0.0000,2.143E-3,5.0000,0.0167,0.0756,0.0000,0.2000,1.532E-4,10.0000,0.0607,0.0349,0.0000,0.2000,7.17E-6,11.0678,0.0738,0.0309,0.0000,0.2000,4.427E-6,23.1906,0.2739,0.0117,0.0909,0.4000,1.594E-5,12.6723,0.0931,0.0263,0.0227,0.2000,2.337E-6,11.0678,0.0738,0.0309,0.0000,0.2000,4.427E-6,2.2780,0.0045,0.1584,0.0000,0.2000,2.75E-3,2.2776,0.0045,0.1584,0.0000,0.0000,9.978E-5,3.7979,0.0105,0.0996,0.0000,0.2000,4.523E-4,12.5577,0.0922,0.0266,0.0227,0.2000,2.445E-6
Drunella_longicornis,45,3.5468,4.2768,500,0.9950,4,4.7327,0.9977,0.0009,10044,3.6735,2.1578,0.0534,0.8302,4.3320,4.7906,2.4811,0.0101,0.3889,10.8120,14.4504,3.1077,4.3929,0.0017,2.0669,0.3385,0.0400,0.6354,0.3380,0.0000,1.4573,0.0354,0.5622,0.2077,0.0000,0.6791,2.4540,0.1635,39.0305,0.5090,0.0000,5.6949,0.0132,1.0000,0.0015,0.3375,0.0000,0.0000,1.298E-2,5.0000,0.0151,0.0909,0.0000,0.0000,6.827E-5,10.0000,0.0549,0.0409,0.0000,0.0000,2.804E-6,10.1222,0.0573,0.0403,0.0000,0.0000,2.644E-6,24.8230,0.2908,0.0118,0.0889,0.0000,1.97E-8,13.7307,0.1042,0.0275,0.0222,0.0000,5.702E-7,10.1222,0.0573,0.0403,0.0000,0.0000,2.644E-6,46.5045,0.6478,0.0045,0.3111,0.0000,4.029E-10,46.5045,0.6478,0.0045,0.3111,0.0000,4.029E-10,4.2719,0.0117,0.1068,0.0000,0.0000,1.302E-4,12.9586,0.0927,0.0296,0.0222,0.0000,7.645E-7
