Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Drunella_species,44,3.3635,4.1189,500,0.9945,5,0.0889,0.8224,0.1532,10043,3.4500,0.5438,1.3920,0.1873,2.3198,4.3319,2.7931,0.2735,0.3830,15.3514,30.7155,1.2583,8.7262,0.2506,1.1429,0.8935,0.4279,0.2884,0.1796,0.0000,0.0981,0.0000,0.0000,0.0246,0.1331,16.4028,0.7894,0.3082,6.7205,0.6145,0.0000,5.8871,0.0166,1.0000,0.0037,0.2294,0.0000,0.2000,1.131E-2,5.0000,0.0250,0.0919,0.0000,0.2000,3.305E-4,10.0000,0.0690,0.0503,0.0000,0.2000,3.068E-5,12.0851,0.0899,0.0415,0.0000,0.2000,1.437E-5,25.4171,0.2638,0.0163,0.0909,0.2000,3.509E-7,17.0431,0.1510,0.0284,0.0227,0.2000,3.169E-6,12.0851,0.0899,0.0415,0.0000,0.2000,1.437E-5,1.3605,0.0051,0.2000,0.0000,0.2000,6.725E-3,26.3775,0.2820,0.0153,0.1136,0.2000,2.73E-7,3.1648,0.0141,0.1261,0.0000,0.2000,1.135E-3,13.9066,0.1149,0.0358,0.0227,0.2000,8.018E-6
Drunella_species,44,3.3302,4.1489,500,0.9939,5,1.8100,0.9321,0.0426,10043,2.2495,2.8156,0.2849,0.2761,2.0657,4.5753,2.1995,0.1971,1.5271,15.5724,38.0102,2.2196,6.5356,0.2364,1.6618,1.1240,0.4367,0.0100,0.1922,0.0013,0.0331,0.0028,0.3496,0.0140,0.1471,3.7683,1.7797,0.3820,10.5556,0.7768,0.0000,5.8899,0.0163,1.0000,0.0019,0.3590,0.0000,0.0000,5.959E-3,5.0000,0.0167,0.1076,0.0000,0.2000,6.134E-4,10.0000,0.0575,0.0518,0.0227,0.4000,1.283E-3,9.0533,0.0498,0.0578,0.0000,0.4000,1.763E-3,24.3046,0.2534,0.0160,0.0909,0.6000,2.489E-3,11.2248,0.0725,0.0454,0.0455,0.4000,8.735E-4,9.0533,0.0498,0.0578,0.0000,0.4000,1.763E-3,2.4701,0.0056,0.2000,0.0000,0.2000,6.725E-3,1.7896,0.0037,0.2533,0.0000,0.0000,1.043E-3,4.4971,0.0142,0.1193,0.0000,0.2000,9.158E-4,13.7193,0.1026,0.0359,0.0455,0.4000,4.398E-4
Drunella_species,44,3.3063,4.1431,500,0.9940,5,2.9053,0.9818,0.0086,10043,3.4353,1.5338,2.2094,0.0284,2.9324,6.0096,2.6557,0.5529,0.5653,14.2601,32.5967,1.5608,6.5649,0.1890,0.6962,1.3507,0.4035,0.1913,0.4279,0.0000,0.0197,0.0000,0.0638,0.0547,0.2803,9.8206,0.8237,0.2070,9.4500,1.1163,0.0000,5.9107,0.0166,1.0000,0.0020,0.3597,0.0000,0.0000,6.018E-3,5.0000,0.0165,0.1131,0.0000,0.0000,1.852E-5,10.0000,0.0571,0.0545,0.0000,0.0000,4.793E-7,12.1990,0.0805,0.0434,0.0000,0.2000,1.714E-5,24.9304,0.2570,0.0160,0.0909,0.4000,4.021E-5,14.5234,0.1091,0.0353,0.0455,0.2000,7.585E-6,12.1990,0.0805,0.0434,0.0000,0.2000,1.714E-5,10.1030,0.0592,0.0539,0.0000,0.0000,4.536E-7,10.1030,0.0592,0.0539,0.0000,0.0000,4.536E-7,4.6362,0.0144,0.1217,0.0000,0.0000,2.667E-5,14.1025,0.1037,0.0366,0.0227,0.2000,8.75E-6
Drunella_species,44,3.2943,4.0858,500,0.9939,5,3.2252,0.9794,0.0105,10043,1.8980,1.4034,2.6316,2.7181,2.3128,5.1459,2.4881,0.4396,0.3489,20.5575,29.5444,1.0764,6.8165,0.0017,0.4004,2.8305,0.1976,0.2059,0.1224,0.0000,0.0051,0.0011,0.0151,0.1251,0.2832,6.8718,0.6076,0.2382,9.5970,1.1159,0.0000,5.9250,0.0169,1.0000,0.0019,0.3774,0.0000,0.0000,7.654E-3,5.0000,0.0169,0.1120,0.0000,0.0000,1.764E-5,10.0000,0.0566,0.0543,0.0000,0.0000,4.706E-7,10.7491,0.0657,0.0500,0.0000,0.2000,2.996E-5,21.8444,0.2126,0.0198,0.0909,0.4000,7.55E-5,18.0206,0.1564,0.0264,0.0227,0.4000,1.765E-4,18.0206,0.1564,0.0264,0.0227,0.4000,1.765E-4,10.5021,0.0629,0.0513,0.0000,0.0000,3.546E-7,10.5021,0.0629,0.0513,0.0000,0.0000,3.546E-7,4.6752,0.0147,0.1197,0.0000,0.0000,2.456E-5,13.8177,0.1024,0.0372,0.0227,0.4000,4.88E-4
Drunella_species,44,3.2351,4.0351,500,0.9934,5,4.1096,0.9932,0.0045,10043,1.6805,2.3084,0.5156,0.5086,2.8567,4.2522,2.5325,0.2718,0.4603,14.0845,30.7776,0.8715,6.9192,0.1050,1.0243,1.6591,0.4104,0.2473,0.1932,0.0000,0.0133,0.0368,0.0168,0.0498,1.8511,12.6340,1.3669,0.3028,11.2676,0.7542,0.0281,5.9863,0.0181,1.0000,0.0020,0.3767,0.0000,0.0000,7.583E-3,5.0000,0.0179,0.1113,0.0000,0.0000,1.71E-5,10.0000,0.0633,0.0547,0.0000,0.0000,4.881E-7,10.4155,0.0679,0.0523,0.0000,0.0000,3.904E-7,22.9524,0.2348,0.0203,0.0909,0.2000,8.374E-7,15.2077,0.1299,0.0346,0.0455,0.0000,4.924E-8,10.4155,0.0679,0.0523,0.0000,0.0000,3.904E-7,18.7595,0.1772,0.0268,0.0682,0.0000,1.379E-8,18.7595,0.1772,0.0268,0.0682,0.0000,1.379E-8,4.6952,0.0156,0.1185,0.0000,0.0000,2.336E-5,13.5165,0.1081,0.0395,0.0227,0.0000,9.652E-8
Drunella_species,44,3.3015,4.0733,500,0.9938,5,1.1810,0.9521,0.0153,10043,2.4562,1.2310,0.3715,0.3665,2.5912,8.1335,3.3061,0.0548,1.0436,13.1760,23.6215,0.8796,6.6339,0.0211,0.2241,0.7926,0.1929,0.2929,0.1137,0.0000,0.0996,0.0249,0.0000,0.1760,0.7705,9.8318,1.1400,0.2452,21.8705,0.3389,0.0000,5.9244,0.0169,1.0000,0.0019,0.3884,0.0000,0.0000,8.842E-3,5.0000,0.0160,0.1122,0.0000,0.0000,1.78E-5,10.0000,0.0605,0.0535,0.0000,0.2000,3.912E-5,14.0113,0.1074,0.0365,0.0000,0.8000,1.698E-1,29.5206,0.3406,0.0127,0.0909,0.8000,6.212E-2,15.0674,0.1231,0.0336,0.0227,0.8000,1.569E-1,14.0113,0.1074,0.0365,0.0000,0.8000,1.698E-1,5.1042,0.0165,0.1099,0.0000,0.2000,6.659E-4,5.1013,0.0164,0.1099,0.0000,0.0000,1.605E-5,4.7753,0.0146,0.1177,0.0000,0.0000,2.258E-5,13.8195,0.1057,0.0372,0.0000,0.8000,1.728E-1
Drunella_species,44,3.3360,4.1026,500,0.9938,5,2.4348,0.9624,0.0239,10043,3.1177,1.7548,1.3979,0.0015,2.4070,5.1786,3.1218,0.1545,0.5651,15.5062,26.4265,0.8728,6.8420,0.0708,0.5237,1.5310,0.5338,1.1423,0.1771,0.0000,0.0342,0.0244,0.0903,0.0926,0.5740,12.4020,1.6727,0.4933,12.0515,1.2396,0.0000,5.8910,0.0164,1.0000,0.0018,0.3810,0.0000,0.0000,8.024E-3,5.0000,0.0169,0.1069,0.0000,0.2000,5.98E-4,10.0000,0.0616,0.0525,0.0227,0.2000,3.632E-5,9.0592,0.0498,0.0581,0.0000,0.2000,5.451E-5,24.2517,0.2490,0.0169,0.0909,0.4000,4.728E-5,16.0257,0.1299,0.0308,0.0227,0.2000,4.37E-6,16.0257,0.1299,0.0308,0.0227,0.2000,4.37E-6,3.7140,0.0098,0.1426,0.0000,0.2000,1.831E-3,3.7121,0.0098,0.1426,0.0000,0.0000,5.894E-5,4.5292,0.0142,0.1177,0.0000,0.2000,8.69E-4,14.1044,0.1051,0.0359,0.0227,0.2000,8.107E-6
Drunella_species,44,3.5434,4.3695,500,0.9960,5,-0.5308,0.8587,0.0683,10043,3.6602,0.4218,0.6073,0.3742,2.3570,4.5593,4.6622,0.4011,1.0465,16.8779,29.9020,1.2647,8.9248,0.4317,0.3357,1.9903,0.3055,0.2408,0.0747,0.0000,0.0000,0.0497,0.0133,0.0231,0.7734,7.5358,0.5606,0.3737,11.9630,0.2693,0.0000,5.6946,0.0134,1.0000,0.0017,0.2927,0.0000,0.2000,2.812E-2,5.0000,0.0198,0.0792,0.0000,0.6000,5.332E-2,10.0000,0.0641,0.0398,0.0000,0.8000,1.839E-1,13.4418,0.1028,0.0286,0.0000,0.8000,1.349E-1,33.7292,0.4024,0.0080,0.0909,1.0000,1E0,16.2851,0.1490,0.0227,0.0227,0.8000,1.085E-1,13.4418,0.1028,0.0286,0.0000,0.8000,1.349E-1,1.7357,0.0033,0.2000,0.0000,0.2000,6.725E-3,3.5580,0.0107,0.1082,0.0000,0.2000,6.268E-4,3.8230,0.0117,0.1014,0.0000,0.4000,8.896E-3,13.0992,0.1003,0.0296,0.0000,0.8000,1.394E-1
Drunella_species,44,3.2580,4.0584,500,0.9937,5,3.6335,0.9892,0.0066,10043,1.8249,1.1986,0.3313,0.0055,2.5104,4.9161,3.0994,0.3263,0.8297,18.3523,29.6612,1.5814,7.0039,0.2522,1.1585,2.4002,0.4732,0.3447,0.1190,0.0000,0.1203,0.0209,0.0211,0.1198,0.8234,9.3644,0.8307,0.1776,11.4272,0.6706,0.0352,5.9666,0.0176,1.0000,0.0020,0.4120,0.0000,0.0000,1.188E-2,5.0000,0.0147,0.1266,0.0000,0.0000,3.246E-5,10.0000,0.0536,0.0595,0.0000,0.0000,7.485E-7,11.9614,0.0742,0.0481,0.0000,0.0000,2.573E-7,28.6234,0.3184,0.0140,0.0909,0.2000,1.921E-7,13.9451,0.1022,0.0398,0.0455,0.2000,1.218E-5,11.9614,0.0742,0.0481,0.0000,0.0000,2.573E-7,13.8818,0.0993,0.0400,0.0227,0.0000,1.028E-7,13.8818,0.0993,0.0400,0.0227,0.0000,1.028E-7,5.1014,0.0153,0.1241,0.0000,0.0000,2.939E-5,14.2431,0.1051,0.0388,0.0455,0.2000,1.102E-5
Drunella_species,45,3.3639,4.1568,500,0.9938,4,1.2935,0.8786,0.0940,10045,4.0172,0.4021,0.8935,0.2829,2.4799,4.0251,5.5505,0.1106,0.0450,13.7321,37.3639,0.8605,5.4604,0.2759,0.5042,2.3927,0.9160,0.0474,0.1393,0.0000,0.7240,0.0406,0.0000,0.0255,1.2338,8.2047,0.8272,0.1474,8.6404,0.6571,0.0000,5.8725,0.0160,1.0000,0.0019,0.3559,0.0000,0.2500,1.322E-1,5.0000,0.0165,0.1008,0.0000,0.2500,3.792E-3,10.0000,0.0634,0.0472,0.0222,0.2500,4.054E-4,7.7956,0.0386,0.0622,0.0000,0.2500,9.185E-4,25.9446,0.3028,0.0141,0.0889,0.5000,1.177E-3,10.7521,0.0724,0.0436,0.0444,0.2500,3.208E-4,7.7956,0.0386,0.0622,0.0000,0.2500,9.185E-4,1.8073,0.0037,0.2500,0.0000,0.2500,5.077E-2,17.8852,0.1692,0.0238,0.0889,0.2500,5.292E-5,4.5390,0.0139,0.1114,0.0000,0.2500,5.068E-3,12.9907,0.0997,0.0353,0.0444,0.2500,1.719E-4
