Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ectopria_species,83,3.1282,3.6781,500,0.9899,10,1.8417,0.9346,0.0360,10082,1.9973,1.6909,1.0467,0.2043,0.4946,1.8710,4.5700,0.0302,3.0736,7.1743,13.0814,0.0247,1.2358,0.1656,1.4587,0.3187,0.1742,0.0091,0.5226,5.5594,0.4909,0.6354,2.8983,0.1329,2.7125,29.9438,2.7226,1.3673,14.3441,0.0492,0.0000,6.1588,0.0217,1.0000,0.0049,0.2320,0.0000,0.1000,1.54E-5,5.0000,0.0339,0.1008,0.0000,0.2000,3.968E-7,10.0000,0.0806,0.0593,0.0361,0.2000,6.186E-9,5.0645,0.0345,0.0999,0.0000,0.2000,3.701E-7,26.7632,0.2944,0.0194,0.0964,0.3000,1.196E-10,13.1684,0.1189,0.0454,0.0482,0.2000,7.516E-10,13.1399,0.1185,0.0455,0.0361,0.2000,7.647E-10,2.1885,0.0123,0.1615,0.0000,0.2000,1.526E-5,16.3023,0.1619,0.0362,0.0843,0.2000,1.244E-10,2.9499,0.0184,0.1382,0.0000,0.2000,4.6E-6,12.7770,0.1135,0.0468,0.0361,0.2000,9.538E-10
Ectopria_species,83,3.0400,3.5268,500,0.9867,10,3.1740,0.9721,0.0170,10082,1.6384,3.4951,2.1367,0.0834,0.5287,1.3581,1.2633,0.0075,9.2943,4.7782,15.1113,0.0715,1.1779,0.2305,0.2523,0.1288,0.0298,0.1333,0.7404,7.1355,1.1088,0.6867,0.7170,0.1887,2.7672,30.1697,2.2821,2.1098,10.2751,0.1000,0.0000,6.2808,0.0246,1.0000,0.0051,0.2615,0.0000,0.0000,1.493E-6,5.0000,0.0330,0.1152,0.0120,0.1000,3.192E-8,10.0000,0.0810,0.0678,0.0602,0.2000,1.784E-8,2.3616,0.0136,0.1776,0.0000,0.0000,3.13E-8,21.8763,0.2275,0.0296,0.0964,0.2000,2.486E-11,11.4099,0.0959,0.0602,0.0602,0.2000,6.96E-9,14.1715,0.1297,0.0486,0.0602,0.2000,1.283E-9,6.1266,0.0436,0.1000,0.0241,0.1000,9.084E-9,9.5913,0.0776,0.0703,0.0602,0.1000,3.94E-10,2.3616,0.0136,0.1776,0.0000,0.0000,3.13E-8,13.0452,0.1167,0.0530,0.0602,0.2000,2.531E-9
Ectopria_species,83,3.0952,3.6544,500,0.9894,10,2.3720,0.9447,0.0369,10082,3.4250,3.3607,0.2701,2.4796,0.7283,1.1679,0.4952,0.0550,3.6497,4.3272,11.9916,0.4860,1.1811,0.1252,0.2669,0.1008,0.3426,0.7321,1.4895,7.3771,0.4070,0.4895,4.1123,0.4246,2.7885,32.7592,2.3672,1.6820,10.6955,0.0603,0.1622,6.1677,0.0220,1.0000,0.0055,0.2137,0.0000,0.1000,7.522E-6,5.0000,0.0378,0.0947,0.0120,0.1000,5.616E-9,10.0000,0.0889,0.0572,0.0361,0.1000,6.247E-11,1.9677,0.0120,0.1583,0.0000,0.1000,5.353E-7,24.4094,0.2852,0.0225,0.0964,0.3000,3.316E-10,12.1938,0.1164,0.0482,0.0482,0.3000,6.378E-8,9.8308,0.0868,0.0580,0.0241,0.1000,7.066E-11,4.5862,0.0340,0.1000,0.0120,0.1000,9.084E-9,10.6618,0.0972,0.0543,0.0361,0.1000,3.875E-11,1.9677,0.0120,0.1583,0.0000,0.1000,5.353E-7,12.4436,0.1177,0.0473,0.0482,0.3000,5.61E-8
Ectopria_species,84,2.9997,3.5266,500,0.9870,9,3.2555,0.9887,0.0031,10083,3.5846,1.0301,0.1388,1.6147,0.9826,1.4863,3.7408,0.0049,2.5196,5.5558,15.0631,0.1021,2.1889,0.1789,0.7130,0.2330,0.3417,0.2990,0.8541,8.6015,0.7084,0.5743,4.8370,0.4929,2.8793,24.7416,1.5824,1.6296,13.0876,0.2333,0.0000,6.2703,0.0243,1.0000,0.0049,0.2650,0.0000,0.0000,6.445E-6,5.0000,0.0332,0.1146,0.0119,0.0000,3.422E-9,10.0000,0.0811,0.0683,0.0476,0.0000,3.248E-11,2.7710,0.0160,0.1637,0.0000,0.0000,8.461E-8,17.8310,0.1709,0.0382,0.0952,0.0000,1.725E-13,11.6782,0.0984,0.0595,0.0595,0.0000,9.355E-12,9.4308,0.0768,0.0718,0.0357,0.0000,5.074E-11,24.7572,0.2607,0.0247,0.1071,0.0000,3.416E-15,24.7572,0.2607,0.0247,0.1071,0.0000,3.416E-15,2.7710,0.0160,0.1637,0.0000,0.0000,8.461E-8,13.3562,0.1205,0.0524,0.0595,0.0000,2.961E-12
Ectopria_species,84,3.0069,3.5339,500,0.9875,9,3.1015,0.9856,0.0056,10083,0.3097,2.4836,0.1854,2.1673,0.7644,0.7085,4.3307,0.0084,4.9146,5.5368,18.6122,0.2965,1.3249,0.2064,2.4855,0.1571,0.0569,0.4672,0.9554,8.9436,1.2946,0.5335,2.3744,0.0721,2.9083,23.3756,1.1865,1.2597,11.9426,0.1376,0.0000,6.2913,0.0248,1.0000,0.0048,0.2787,0.0000,0.0000,1.014E-5,5.0000,0.0319,0.1211,0.0119,0.0000,5.599E-9,10.0000,0.0806,0.0717,0.0357,0.0000,5.011E-11,3.0939,0.0181,0.1624,0.0000,0.0000,7.837E-8,19.5558,0.1884,0.0354,0.0952,0.1111,2.153E-11,12.3022,0.1019,0.0595,0.0595,0.1111,1.34E-9,11.4182,0.0941,0.0639,0.0357,0.0000,1.769E-11,12.1976,0.1007,0.0600,0.0595,0.1111,1.431E-9,12.1768,0.1007,0.0600,0.0476,0.0000,1.008E-11,3.0939,0.0181,0.1624,0.0000,0.0000,7.837E-8,13.6961,0.1167,0.0535,0.0595,0.1111,5.716E-10
Ectopria_species,84,3.0986,3.6500,500,0.9892,9,1.4126,0.9229,0.0485,10084,6.6653,4.0311,0.0000,0.2224,0.3791,1.4159,0.8750,0.0000,5.7167,3.9705,11.9599,0.3008,2.0822,0.1907,4.0783,0.2207,0.1859,0.5637,0.9985,5.4938,1.1448,1.0405,5.9427,0.0706,2.4474,25.8853,2.5983,1.3525,9.9711,0.0826,0.1137,6.1964,0.0224,1.0000,0.0041,0.2660,0.0000,0.1111,1.721E-4,5.0000,0.0313,0.1094,0.0119,0.1111,1.665E-7,10.0000,0.0794,0.0643,0.0357,0.2222,1.451E-7,3.5185,0.0196,0.1378,0.0000,0.1111,1.029E-6,20.4517,0.1976,0.0291,0.0833,0.3333,4.686E-8,12.1516,0.1014,0.0537,0.0595,0.2222,4.237E-8,12.1286,0.1013,0.0537,0.0357,0.2222,4.237E-8,4.8928,0.0303,0.1111,0.0119,0.1111,1.878E-7,9.5342,0.0757,0.0669,0.0357,0.1111,3.412E-9,3.4220,0.0191,0.1402,0.0000,0.1111,1.177E-6,13.4182,0.1131,0.0486,0.0595,0.2222,2.111E-8
Ectopria_species,84,3.0925,3.6175,500,0.9883,9,1.8041,0.9390,0.0294,10083,1.4691,1.7775,0.4349,1.9184,0.8823,1.2131,1.8468,0.0057,7.2987,5.4511,13.6140,0.3539,1.2075,0.1296,1.3382,0.1604,0.0543,0.4258,1.1925,4.9443,1.6110,0.7580,0.4314,0.5873,2.2581,28.9912,2.1930,1.7566,15.5149,0.1150,0.0654,6.2161,0.0229,1.0000,0.0047,0.2652,0.0000,0.1111,1.683E-4,5.0000,0.0315,0.1120,0.0238,0.2222,6.465E-6,10.0000,0.0770,0.0644,0.0476,0.2222,1.467E-7,3.2173,0.0174,0.1490,0.0000,0.1111,1.893E-6,32.6778,0.4113,0.0148,0.0952,0.5556,5.662E-6,10.8819,0.0864,0.0595,0.0595,0.2222,8.547E-8,8.2480,0.0595,0.0764,0.0238,0.2222,4.749E-7,3.2173,0.0174,0.1490,0.0000,0.1111,1.893E-6,3.2173,0.0174,0.1490,0.0000,0.1111,1.893E-6,3.2173,0.0174,0.1490,0.0000,0.1111,1.893E-6,13.1004,0.1144,0.0496,0.0595,0.2222,2.429E-8
Ectopria_species,84,2.9878,3.5068,500,0.9872,9,3.5961,0.9884,0.0061,10083,2.7532,0.9909,0.0000,1.0020,1.0886,1.1574,2.6667,0.0061,3.2499,8.6156,15.4123,0.3278,2.3836,0.1912,6.5714,0.1581,0.1284,0.0629,0.7842,7.4751,0.5906,0.3419,0.4107,0.2180,3.2607,23.8872,2.0999,1.3078,12.7392,0.1184,0.0000,6.3001,0.0251,1.0000,0.0049,0.2673,0.0000,0.0000,6.962E-6,5.0000,0.0343,0.1146,0.0119,0.0000,3.422E-9,10.0000,0.0840,0.0685,0.0476,0.0000,3.334E-11,2.7526,0.0162,0.1652,0.0000,0.0000,9.178E-8,17.1995,0.1684,0.0406,0.0952,0.1111,6.359E-11,12.1268,0.1072,0.0577,0.0595,0.1111,1.052E-9,8.3701,0.0672,0.0794,0.0238,0.0000,1.26E-10,11.3858,0.0993,0.0612,0.0476,0.1111,1.673E-9,11.3684,0.0991,0.0612,0.0476,0.0000,1.203E-11,2.7526,0.0162,0.1652,0.0000,0.0000,9.178E-8,13.0253,0.1218,0.0540,0.0595,0.1111,6.151E-10
Ectopria_species,84,3.0761,3.6157,500,0.9891,9,2.5698,0.9767,0.0099,10083,1.7966,2.2668,1.3174,1.8752,0.9903,1.2093,1.5288,0.0153,8.9907,2.7489,20.4637,0.3362,1.0853,0.5483,0.1177,0.1111,0.0364,0.7061,0.8575,8.6013,0.8144,0.7789,2.5004,0.1481,2.0756,23.7213,1.7822,1.1480,11.4176,0.0108,0.0000,6.2057,0.0228,1.0000,0.0050,0.2486,0.0000,0.0000,3.631E-6,5.0000,0.0337,0.1071,0.0000,0.0000,1.856E-9,10.0000,0.0843,0.0637,0.0476,0.1111,2.294E-9,5.4607,0.0374,0.1009,0.0000,0.1111,8.776E-8,21.3219,0.2161,0.0284,0.0952,0.1111,3.676E-12,10.8220,0.0921,0.0595,0.0595,0.1111,1.34E-9,7.5961,0.0576,0.0792,0.0119,0.1111,1.301E-8,5.1363,0.0349,0.1052,0.0000,0.1111,1.226E-7,5.1295,0.0348,0.1052,0.0000,0.0000,1.582E-9,3.2855,0.0193,0.1395,0.0000,0.0000,2.006E-8,13.2566,0.1153,0.0491,0.0595,0.1111,2.904E-10
Ectopria_species,84,3.1290,3.6485,500,0.9888,9,1.7670,0.9430,0.0197,10083,3.6226,3.2000,0.1214,0.1075,0.7107,1.5921,0.5400,0.0667,7.5608,6.8482,16.5087,0.1218,2.5013,0.5027,4.1515,0.2218,0.1715,0.1296,0.7460,7.3953,1.1069,0.0695,0.5141,0.7209,2.7054,27.6397,1.6195,0.9742,7.8288,0.0007,0.0000,6.1584,0.0217,1.0000,0.0051,0.2213,0.0000,0.0000,1.271E-6,5.0000,0.0353,0.0962,0.0119,0.3333,5.146E-5,10.0000,0.0861,0.0580,0.0595,0.4444,6.797E-5,2.2345,0.0132,0.1527,0.0000,0.1111,2.303E-6,20.5905,0.2181,0.0272,0.0833,0.4444,1.704E-6,9.7232,0.0832,0.0595,0.0595,0.4444,7.674E-5,6.1977,0.0489,0.0835,0.0119,0.3333,2.28E-5,2.9757,0.0187,0.1312,0.0119,0.1111,6.985E-7,1.9968,0.0115,0.1618,0.0000,0.0000,7.582E-8,2.2345,0.0132,0.1527,0.0000,0.1111,2.303E-6,12.6986,0.1170,0.0468,0.0595,0.4444,2.416E-5
