Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ectopsocus_californicus,29,4.5543,5.5051,500,0.9986,4,5.6782,0.9994,0.0002,10029,21.2533,2.8283,0.0012,0.7318,3.2948,4.6096,5.4325,0.0593,0.0434,3.1005,0.0360,4.8792,26.3720,0.0000,6.2737,2.1590,0.2272,0.0000,0.0129,0.0000,0.0046,3.3885,0.0000,0.5044,0.1299,2.4925,10.2192,0.0000,1.9463,0.0000,0.0000,4.6710,0.0045,1.0000,0.0008,0.2069,0.0000,0.0000,1.832E-3,5.0000,0.0088,0.0468,0.0000,0.0000,4.783E-6,10.0000,0.0373,0.0160,0.0000,0.0000,6.478E-8,28.7039,0.6115,0.0027,0.0000,0.0000,5.253E-11,30.3016,0.6305,0.0027,0.0690,0.0000,5.253E-11,28.7039,0.6115,0.0027,0.0000,0.0000,5.253E-11,28.7039,0.6115,0.0027,0.0000,0.0000,5.253E-11,63.8433,0.7375,0.0012,0.5517,0.0000,2.05E-12,63.8433,0.7375,0.0012,0.5517,0.0000,2.05E-12,3.3996,0.0042,0.0746,0.0000,0.0000,3.094E-5,12.5760,0.0615,0.0106,0.0000,0.0000,1.248E-8
Ectopsocus_californicus,29,4.5599,5.4969,500,0.9986,4,5.4151,0.9988,0.0005,10029,12.2952,4.0193,3.3239,0.3306,3.4891,2.6513,5.4882,0.1628,0.1821,3.6910,0.0513,3.2766,28.6870,0.0000,8.6550,1.4937,0.1815,0.0383,0.0243,0.0117,0.0179,2.5205,0.0219,0.5374,0.1820,6.1399,9.9082,0.0000,2.5612,0.0581,0.0000,4.6788,0.0045,1.0000,0.0008,0.2169,0.0000,0.0000,2.212E-3,5.0000,0.0081,0.0512,0.0000,0.0000,6.846E-6,10.0000,0.0337,0.0172,0.0000,0.0000,8.854E-8,25.5057,0.5028,0.0029,0.0000,0.0000,6.991E-11,29.4589,0.6152,0.0026,0.0345,0.2500,6.956E-8,25.5057,0.5028,0.0029,0.0000,0.0000,6.991E-11,25.5057,0.5028,0.0029,0.0000,0.0000,6.991E-11,25.5057,0.5028,0.0029,0.0000,0.0000,6.991E-11,25.5057,0.5028,0.0029,0.0000,0.0000,6.991E-11,3.5341,0.0043,0.0778,0.0000,0.0000,3.659E-5,12.9102,0.0590,0.0107,0.0000,0.0000,1.296E-8
Ectopsocus_californicus,29,4.5666,5.5036,500,0.9986,4,5.5931,0.9986,0.0004,10029,18.2870,3.6849,0.9513,0.0807,3.9491,3.4659,4.7679,0.1770,0.1240,2.9709,0.0243,3.4406,26.7129,0.0000,8.5296,1.5182,0.2486,0.0757,0.0000,0.0000,0.0192,3.1255,0.0000,0.5269,0.1033,5.7634,9.8229,0.0000,1.5830,0.0471,0.0000,4.6469,0.0044,1.0000,0.0009,0.1893,0.0000,0.0000,1.283E-3,5.0000,0.0093,0.0432,0.0000,0.0000,3.475E-6,10.0000,0.0413,0.0150,0.0000,0.0000,5.004E-8,27.1033,0.6023,0.0029,0.0000,0.0000,6.991E-11,30.1187,0.6197,0.0027,0.0690,0.0000,5.253E-11,27.1033,0.6023,0.0029,0.0000,0.0000,6.991E-11,27.1033,0.6023,0.0029,0.0000,0.0000,6.991E-11,39.8219,0.7063,0.0022,0.2414,0.0000,2.316E-11,39.8219,0.7063,0.0022,0.2414,0.0000,2.316E-11,3.1552,0.0041,0.0744,0.0000,0.0000,3.061E-5,12.3344,0.0605,0.0104,0.0000,0.0000,1.156E-8
Ectopsocus_californicus,30,4.5641,5.4677,500,0.9985,3,5.1103,0.9986,0.0008,10030,13.0469,5.8471,1.4673,0.1974,2.3141,3.7159,3.4765,0.0907,0.3030,5.5240,0.0492,4.9905,27.2922,0.0000,8.3322,1.2593,0.2299,0.0274,0.0000,0.0162,0.0126,2.8925,0.0000,0.5557,0.1540,5.5794,9.9428,0.0000,2.5812,0.1023,0.0000,4.6590,0.0044,1.0000,0.0008,0.2162,0.0000,0.0000,1.01E-2,5.0000,0.0083,0.0483,0.0000,0.0000,1.124E-4,10.0000,0.0361,0.0157,0.0000,0.0000,3.835E-6,21.5711,0.3502,0.0035,0.0000,0.0000,4.249E-8,31.2918,0.6439,0.0025,0.1000,0.3333,1.861E-5,21.5711,0.3502,0.0035,0.0000,0.0000,4.249E-8,21.5711,0.3502,0.0035,0.0000,0.0000,4.249E-8,21.5711,0.3502,0.0035,0.0000,0.0000,4.249E-8,21.5711,0.3502,0.0035,0.0000,0.0000,4.249E-8,3.5080,0.0042,0.0751,0.0000,0.0000,4.231E-4,12.4381,0.0599,0.0105,0.0000,0.0000,1.147E-6
Ectopsocus_californicus,30,4.5709,5.4821,500,0.9985,3,5.6286,0.9990,0.0003,10030,16.1871,2.1275,0.8660,0.6770,3.4369,3.9134,2.8944,1.2691,0.3517,4.3573,0.0486,2.0355,29.9255,0.0000,8.7699,1.2812,0.1089,0.0399,0.0000,0.0168,0.0103,2.6560,0.0000,0.5080,0.0644,5.5934,10.6680,0.0000,2.1584,0.0349,0.0000,4.6398,0.0044,1.0000,0.0009,0.1851,0.0000,0.0000,6.346E-3,5.0000,0.0095,0.0415,0.0000,0.0000,7.135E-5,10.0000,0.0420,0.0143,0.0000,0.0000,2.898E-6,26.2649,0.5951,0.0030,0.0000,0.0000,2.676E-8,29.1877,0.6088,0.0028,0.0667,0.0000,2.176E-8,26.2649,0.5951,0.0030,0.0000,0.0000,2.676E-8,26.2649,0.5951,0.0030,0.0000,0.0000,2.676E-8,64.5945,0.7344,0.0012,0.5333,0.0000,1.713E-9,64.5945,0.7344,0.0012,0.5333,0.0000,1.713E-9,3.1230,0.0041,0.0724,0.0000,0.0000,3.792E-4,12.0579,0.0596,0.0103,0.0000,0.0000,1.083E-6
Ectopsocus_californicus,30,4.5772,5.4807,500,0.9985,3,5.3219,0.9978,0.0004,10030,15.3575,3.1074,3.7979,0.0899,2.5623,3.5608,7.4222,0.9562,0.8295,3.3556,0.0183,3.6479,31.0434,0.0000,5.7992,1.6597,0.0810,0.0000,0.0278,0.0115,0.0160,3.0528,0.0000,0.5627,0.2444,1.1215,9.5368,0.0000,0.8098,1.3279,0.0000,4.6445,0.0044,1.0000,0.0008,0.1940,0.0000,0.0000,7.303E-3,5.0000,0.0090,0.0433,0.0000,0.0000,8.102E-5,10.0000,0.0386,0.0148,0.0000,0.0000,3.213E-6,27.2870,0.5823,0.0028,0.0000,0.0000,2.176E-8,28.9230,0.6298,0.0028,0.0667,0.0000,2.176E-8,27.2870,0.5823,0.0028,0.0000,0.0000,2.176E-8,27.2870,0.5823,0.0028,0.0000,0.0000,2.176E-8,40.2036,0.6798,0.0021,0.2000,0.0000,9.178E-9,40.2036,0.6798,0.0021,0.2000,0.0000,9.178E-9,3.2439,0.0041,0.0729,0.0000,0.0000,3.871E-4,12.1554,0.0581,0.0104,0.0000,0.0000,1.115E-6
Ectopsocus_californicus,30,4.6550,5.4932,500,0.9985,3,2.7412,0.9729,0.0199,10030,17.0565,3.2957,3.4758,1.3659,1.5890,2.2873,4.1593,2.3577,0.6452,3.8634,0.0462,3.6122,28.2157,0.0000,7.0882,1.1053,0.2566,0.0000,0.0000,0.0000,0.0000,3.2953,0.0000,0.4753,0.1813,3.7955,9.5266,0.0000,2.2275,0.0785,0.0000,4.5656,0.0040,1.0000,0.0007,0.2026,0.0000,0.0000,8.315E-3,5.0000,0.0076,0.0425,0.0000,0.3333,5.259E-3,10.0000,0.0364,0.0131,0.0000,0.3333,5.073E-4,20.6567,0.2963,0.0032,0.0000,0.3333,3.047E-5,27.7871,0.6417,0.0027,0.1000,0.6667,8.054E-3,20.6567,0.2963,0.0032,0.0000,0.3333,3.047E-5,20.6567,0.2963,0.0032,0.0000,0.3333,3.047E-5,3.1789,0.0035,0.0758,0.0000,0.0000,4.35E-4,3.1789,0.0035,0.0758,0.0000,0.0000,4.35E-4,3.3221,0.0038,0.0721,0.0000,0.3333,1.484E-2,11.6874,0.0514,0.0096,0.0000,0.3333,2.731E-4
Ectopsocus_californicus,30,4.6062,5.4691,500,0.9985,3,4.6054,0.9972,0.0005,10030,17.6333,3.3568,5.0595,0.4236,2.3839,2.9958,5.6937,0.1253,0.0385,3.6573,0.0382,5.6769,29.9523,0.0000,0.0652,2.1341,0.2286,0.0309,0.0862,0.0117,0.0020,4.0664,0.0000,0.4990,0.1163,0.8796,9.8348,2.2490,2.6405,0.1206,0.0000,4.6108,0.0042,1.0000,0.0007,0.2134,0.0000,0.0000,9.713E-3,5.0000,0.0077,0.0470,0.0000,0.0000,1.036E-4,10.0000,0.0354,0.0149,0.0000,0.0000,3.278E-6,20.8300,0.3191,0.0033,0.0000,0.0000,3.562E-8,26.1959,0.5935,0.0028,0.0667,0.6667,8.352E-3,20.8300,0.3191,0.0033,0.0000,0.0000,3.562E-8,20.8300,0.3191,0.0033,0.0000,0.0000,3.562E-8,20.8300,0.3191,0.0033,0.0000,0.0000,3.562E-8,20.8300,0.3191,0.0033,0.0000,0.0000,3.562E-8,3.5087,0.0040,0.0739,0.0000,0.0000,4.032E-4,12.3608,0.0573,0.0100,0.0000,0.0000,9.911E-7
Ectopsocus_californicus,30,4.5637,5.4723,500,0.9985,3,5.5226,0.9985,0.0005,10030,19.9919,3.0633,1.6153,0.0127,3.5980,3.2820,4.9552,0.1698,0.3831,2.7064,0.0470,4.0188,25.6310,0.0000,7.0037,1.5757,0.1725,0.0557,0.0203,0.0000,0.0503,5.8423,0.0000,0.4327,0.1306,3.4128,10.2932,0.0276,1.4431,0.0651,0.0000,4.6749,0.0045,1.0000,0.0009,0.2002,0.0000,0.0000,8.024E-3,5.0000,0.0090,0.0460,0.0000,0.0000,9.71E-5,10.0000,0.0375,0.0157,0.0000,0.0000,3.835E-6,26.6657,0.5938,0.0030,0.0000,0.0000,2.676E-8,29.5462,0.6193,0.0028,0.0667,0.0000,2.176E-8,26.6657,0.5938,0.0030,0.0000,0.0000,2.676E-8,26.6657,0.5938,0.0030,0.0000,0.0000,2.676E-8,40.8805,0.6968,0.0021,0.2333,0.0000,9.178E-9,40.8805,0.6968,0.0021,0.2333,0.0000,9.178E-9,3.2820,0.0043,0.0761,0.0000,0.0000,4.402E-4,12.3539,0.0587,0.0107,0.0000,0.0000,1.214E-6
Ectopsocus_californicus,30,4.6015,5.4694,500,0.9985,3,4.9006,0.9979,0.0008,10030,13.1426,5.2551,3.3010,0.2138,2.4468,2.8728,4.5120,0.1554,0.0112,5.0396,0.0358,3.8507,30.4513,0.0000,6.3319,1.9488,0.1767,0.0800,0.0000,0.0168,0.0658,4.1678,0.0000,0.6953,0.1071,3.2910,10.1871,0.0000,1.5219,0.1219,0.0000,4.6101,0.0042,1.0000,0.0008,0.1882,0.0000,0.0000,6.67E-3,5.0000,0.0091,0.0425,0.0000,0.0000,7.662E-5,10.0000,0.0377,0.0144,0.0000,0.0000,2.959E-6,20.2430,0.2472,0.0036,0.0000,0.0000,4.624E-8,30.8853,0.6444,0.0025,0.1000,0.3333,1.861E-5,20.2430,0.2472,0.0036,0.0000,0.0000,4.624E-8,20.2430,0.2472,0.0036,0.0000,0.0000,4.624E-8,20.2430,0.2472,0.0036,0.0000,0.0000,4.624E-8,20.2430,0.2472,0.0036,0.0000,0.0000,4.624E-8,3.1500,0.0040,0.0732,0.0000,0.0000,3.919E-4,12.1359,0.0556,0.0100,0.0000,0.0000,9.911E-7
