Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Elaphria_versicolor,125,2.5203,3.2307,500,0.9832,15,3.0126,0.9314,0.0588,10125,3.9457,3.1468,4.6123,0.7979,2.2973,15.6708,0.1965,3.7630,2.4928,1.8033,0.0000,4.7011,16.2978,0.6209,3.0204,0.8660,1.2100,0.4457,0.0675,0.3400,4.0697,11.4633,8.8860,4.3637,0.0053,2.3394,0.5427,0.3835,0.3783,1.2653,0.0071,6.7768,0.0400,1.0000,0.0056,0.6093,0.0000,0.0667,6.286E-3,5.0000,0.0212,0.3131,0.0000,0.0667,9.232E-7,10.0000,0.0472,0.1813,0.0080,0.0667,5.179E-10,7.4832,0.0333,0.2344,0.0000,0.0667,1.768E-8,27.3011,0.2066,0.0418,0.0960,0.0667,7.113E-19,21.4184,0.1398,0.0669,0.0640,0.0667,5.021E-16,25.6653,0.1851,0.0477,0.0720,0.0667,4.529E-18,21.4556,0.1403,0.0667,0.0720,0.0667,4.819E-16,32.9772,0.2961,0.0268,0.1200,0.0667,1.416E-21,7.4832,0.0333,0.2344,0.0000,0.0667,1.768E-8,18.2688,0.1057,0.0866,0.0480,0.0667,1.845E-14
Elaphria_versicolor,127,2.5641,3.2424,500,0.9820,13,2.6405,0.9335,0.0462,10127,1.9470,2.5148,2.6966,2.6870,2.2129,19.1258,1.2935,1.6221,2.4856,3.6266,0.0000,4.6082,13.4440,0.7067,6.3388,1.9478,1.0059,0.6119,0.0988,1.9398,1.9433,13.0153,4.5135,1.9478,0.0077,4.3587,0.9249,0.4762,0.7489,1.1058,0.0444,6.7390,0.0382,1.0000,0.0052,0.6087,0.0000,0.0769,1.473E-2,5.0000,0.0208,0.3092,0.0000,0.0769,7.087E-6,10.0000,0.0452,0.1779,0.0079,0.0769,1.095E-8,6.5388,0.0275,0.2569,0.0000,0.0769,8.209E-7,24.1388,0.1623,0.0503,0.0866,0.2308,2.558E-11,21.5209,0.1336,0.0630,0.0630,0.1538,4.297E-12,21.9277,0.1362,0.0608,0.0630,0.1538,2.933E-12,18.2031,0.1031,0.0840,0.0551,0.0769,1.487E-12,18.2031,0.1031,0.0840,0.0551,0.0769,1.487E-12,6.5388,0.0275,0.2569,0.0000,0.0769,8.209E-7,18.2989,0.1038,0.0833,0.0630,0.1538,8.965E-11
Elaphria_versicolor,126,2.5641,3.2641,500,0.9832,14,2.5403,0.9432,0.0377,10126,6.6926,3.3938,0.8642,1.5370,3.3918,16.2570,0.9570,2.9243,3.3512,5.1276,0.0000,3.8269,14.4089,0.2218,7.7122,1.2317,1.6228,0.7735,0.0842,0.5787,4.6981,10.2947,3.3622,2.8304,0.0158,2.0083,0.0630,0.2200,0.2655,0.9653,0.3193,6.7509,0.0386,1.0000,0.0054,0.6395,0.0000,0.0000,1.915E-3,5.0000,0.0197,0.3333,0.0000,0.0714,6.056E-6,10.0000,0.0422,0.1920,0.0159,0.0714,5.536E-9,7.5386,0.0305,0.2481,0.0000,0.0714,1.452E-7,28.9602,0.2175,0.0345,0.0952,0.2143,2.695E-14,22.5537,0.1407,0.0601,0.0635,0.1429,1.818E-13,25.6804,0.1759,0.0459,0.0635,0.1429,7.338E-15,18.3382,0.0951,0.0873,0.0476,0.0714,2.201E-13,18.3382,0.0951,0.0873,0.0476,0.0714,2.201E-13,7.5386,0.0305,0.2481,0.0000,0.0714,1.452E-7,18.7238,0.0981,0.0843,0.0556,0.1429,1.002E-11
Elaphria_versicolor,125,2.5626,3.2882,500,0.9818,15,2.6126,0.9086,0.0429,10125,6.8651,1.6302,1.4905,0.6347,2.3614,17.5318,0.3371,1.4012,3.9413,3.5655,0.0000,3.1539,16.6976,0.3170,8.8578,1.1265,0.0738,0.1698,0.0762,2.7020,2.3913,9.1511,2.3175,5.1963,0.1898,5.1394,0.7175,0.3791,0.3897,1.1949,0.0000,6.7434,0.0385,1.0000,0.0054,0.5854,0.0000,0.0667,3.775E-3,5.0000,0.0217,0.2968,0.0000,0.0667,4.462E-7,10.0000,0.0480,0.1723,0.0240,0.2000,1.859E-7,5.5868,0.0243,0.2760,0.0000,0.2000,3.68E-5,29.7363,0.2398,0.0315,0.0960,0.2667,3.686E-14,21.3123,0.1369,0.0640,0.0640,0.2667,7.91E-11,25.1589,0.1755,0.0464,0.0640,0.2667,2.474E-12,8.5072,0.0391,0.2000,0.0160,0.2000,1.011E-6,48.7267,0.6603,0.0086,0.3360,0.2667,2.493E-20,5.5868,0.0243,0.2760,0.0000,0.2000,3.68E-5,18.1006,0.1062,0.0838,0.0560,0.2667,1.411E-9
Elaphria_versicolor,126,2.5364,3.2325,500,0.9820,14,2.9379,0.9681,0.0145,10126,2.2211,2.9768,3.4513,0.1289,2.9234,14.9122,0.2383,3.3156,3.9649,4.1216,0.0000,3.8716,16.0820,0.3360,6.4851,1.7030,1.0194,0.1879,0.0566,0.2892,4.0982,12.4657,5.6803,2.7013,0.0080,3.4069,1.0947,0.4454,0.9192,0.8955,0.0000,6.8005,0.0409,1.0000,0.0057,0.6283,0.0000,0.0000,1.493E-3,5.0000,0.0212,0.3305,0.0000,0.0000,1.858E-7,10.0000,0.0455,0.1925,0.0159,0.0000,9.577E-11,6.5238,0.0277,0.2762,0.0000,0.0000,1.505E-8,27.1467,0.2032,0.0437,0.0952,0.2143,3.53E-13,21.2425,0.1283,0.0714,0.0714,0.2143,7.306E-11,24.1110,0.1592,0.0559,0.0794,0.2143,5.173E-12,17.9236,0.0974,0.0947,0.0476,0.0714,6.297E-13,17.9236,0.0974,0.0947,0.0476,0.0714,6.297E-13,6.5238,0.0277,0.2762,0.0000,0.0000,1.505E-8,18.6852,0.1037,0.0887,0.0556,0.2143,7.532E-10
Elaphria_versicolor,126,2.5963,3.2761,500,0.9802,14,2.4135,0.8950,0.0592,10126,3.8189,3.7216,0.6093,0.7848,2.8057,14.7023,0.1917,3.3792,4.5114,3.7124,0.0000,3.9927,15.6333,0.4679,10.3625,1.3116,0.8152,0.1463,0.0176,1.0812,4.2605,12.4098,2.6959,2.0597,0.1052,3.3509,0.6988,0.3183,0.2089,1.8141,0.0124,6.7067,0.0370,1.0000,0.0050,0.5781,0.0000,0.0714,5.225E-3,5.0000,0.0210,0.2851,0.0000,0.1429,1.426E-5,10.0000,0.0476,0.1636,0.0238,0.2143,5.039E-7,5.5121,0.0237,0.2669,0.0000,0.1429,6.769E-6,32.8600,0.3144,0.0230,0.0952,0.2143,3.269E-16,17.7325,0.1034,0.0794,0.0794,0.2143,2.295E-10,32.8600,0.3144,0.0230,0.0952,0.2143,3.269E-16,7.3859,0.0330,0.2143,0.0238,0.2143,8.278E-6,39.2122,0.4425,0.0147,0.1667,0.2143,2.447E-18,5.5121,0.0237,0.2669,0.0000,0.1429,6.769E-6,17.5517,0.1008,0.0807,0.0794,0.2143,2.727E-10
Elaphria_versicolor,125,2.5961,3.3385,500,0.9840,15,2.0430,0.9312,0.0283,10125,6.8349,1.7413,2.1377,0.2067,3.2483,15.3155,0.1260,2.6950,3.7866,3.6756,0.0151,4.3782,16.3512,0.4905,4.8268,1.5928,0.9696,0.1642,0.0348,0.8835,1.9329,10.4154,6.8405,3.9271,0.0689,4.1234,0.7329,0.7164,0.4783,1.2897,0.0000,6.7309,0.0378,1.0000,0.0051,0.6234,0.0000,0.0000,8.348E-4,5.0000,0.0195,0.3154,0.0000,0.0667,1.018E-6,10.0000,0.0441,0.1789,0.0160,0.2000,2.841E-7,6.6299,0.0266,0.2578,0.0000,0.0667,6.516E-8,32.7406,0.2913,0.0239,0.0960,0.4000,1.118E-11,22.8646,0.1474,0.0560,0.0560,0.2667,1.878E-11,28.9866,0.2197,0.0332,0.0720,0.2667,6.484E-14,9.2013,0.0395,0.1941,0.0160,0.2000,7.191E-7,17.6843,0.0961,0.0878,0.0480,0.2000,7.414E-11,6.6299,0.0266,0.2578,0.0000,0.0667,6.516E-8,18.3654,0.1017,0.0827,0.0480,0.2667,1.227E-9
Elaphria_versicolor,127,2.6519,3.2853,500,0.9835,13,1.4267,0.8185,0.0922,10127,3.8019,3.4096,2.0441,0.8499,2.8639,15.1593,2.2129,1.8738,3.7820,3.7175,0.0054,5.1777,17.5260,0.4529,4.5729,1.5722,1.1761,0.6371,0.3257,0.4146,2.4138,12.3009,6.8244,1.6472,0.0124,2.7450,0.9057,0.2851,0.4076,0.8747,0.0077,6.6660,0.0354,1.0000,0.0050,0.5540,0.0000,0.1538,2.87E-2,5.0000,0.0213,0.2779,0.0079,0.2308,3.286E-4,10.0000,0.0466,0.1582,0.0157,0.2308,1.763E-6,4.4650,0.0191,0.2979,0.0000,0.2308,6.128E-4,27.5385,0.2246,0.0326,0.0945,0.3077,2.63E-11,20.8434,0.1315,0.0578,0.0630,0.2308,1.007E-10,19.9235,0.1215,0.0627,0.0394,0.2308,2.254E-10,6.5246,0.0278,0.2308,0.0079,0.2308,6.055E-5,21.4818,0.1407,0.0546,0.0630,0.2308,5.788E-11,4.4650,0.0191,0.2979,0.0000,0.2308,6.128E-4,17.5560,0.1002,0.0775,0.0394,0.2308,1.799E-9
Elaphria_versicolor,127,2.5903,3.2649,500,0.9786,13,2.1701,0.9046,0.0388,10127,2.3527,3.7541,3.3102,0.1014,2.5255,14.1567,0.3659,2.5871,4.0635,3.9127,0.0175,4.1098,14.1601,0.6089,5.7000,1.0329,1.0814,0.0580,0.0431,1.5895,4.2581,13.9482,3.3094,4.8944,0.1257,3.0799,1.0318,0.3008,1.0340,2.4533,0.0336,6.7176,0.0372,1.0000,0.0051,0.6328,0.0079,0.0000,2.607E-3,5.0000,0.0189,0.3221,0.0079,0.0769,1.14E-5,10.0000,0.0404,0.1791,0.0157,0.3077,6.735E-5,0.6742,0.0039,0.6915,0.0000,0.0000,8.269E-3,26.7872,0.1986,0.0384,0.0866,0.3077,1.131E-10,19.5852,0.1151,0.0709,0.0709,0.3077,2.487E-8,24.6513,0.1742,0.0459,0.0709,0.3077,5.48E-10,7.5331,0.0290,0.2360,0.0157,0.3077,6.277E-4,35.9616,0.3646,0.0180,0.1496,0.3077,1.31E-13,7.5295,0.0290,0.2360,0.0079,0.1538,6.063E-6,18.0301,0.0989,0.0816,0.0630,0.3077,8.424E-8
Elaphria_versicolor,126,2.5790,3.2696,500,0.9798,14,2.4402,0.9017,0.0538,10126,3.3409,4.3546,0.6047,0.2474,2.7278,13.1945,0.1952,2.3373,3.0521,2.8048,0.0000,3.8319,20.8398,0.3699,7.7047,0.8432,1.2546,0.3496,0.0862,2.1590,4.6725,11.0745,4.8855,2.6678,0.0470,2.4369,0.0848,0.4791,0.2335,3.1205,0.0000,6.7190,0.0375,1.0000,0.0051,0.5832,0.0000,0.0714,5.789E-3,5.0000,0.0210,0.2862,0.0159,0.1429,1.489E-5,10.0000,0.0483,0.1630,0.0317,0.2143,4.851E-7,2.0966,0.0091,0.4547,0.0000,0.0714,2.871E-4,27.4925,0.2218,0.0353,0.0952,0.2857,2.607E-12,20.4398,0.1304,0.0635,0.0635,0.2143,2.058E-11,25.0008,0.1856,0.0433,0.0794,0.2857,1.955E-11,7.3853,0.0332,0.2143,0.0159,0.2143,8.278E-6,20.9276,0.1357,0.0608,0.0635,0.2143,1.294E-11,4.6924,0.0196,0.2982,0.0079,0.0714,1.495E-6,17.4933,0.1031,0.0817,0.0635,0.2143,3.108E-10
