Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Elasmucha_lateralis,249,3.4213,3.6245,500,0.9879,28,3.6342,0.9866,0.0017,10249,7.0286,0.9487,3.4603,0.2488,1.4461,5.2799,0.0711,0.6987,0.0000,1.3116,0.0434,0.1527,3.1444,0.6487,0.0000,15.9385,0.4428,0.0000,0.0000,0.0067,5.3091,17.5090,2.6614,0.1625,0.0709,8.1219,15.3093,4.0808,0.6768,5.1962,0.0310,5.8476,0.0159,1.0000,0.0041,0.1076,0.0000,0.0000,1E-52,5.0000,0.1088,0.0271,0.0000,0.0000,0E0,10.0000,0.5462,0.0234,0.0361,0.0000,0E0,9.7975,0.5148,0.0234,0.0000,0.0000,0E0,15.3566,0.5462,0.0219,0.0361,0.0000,0E0,10.1449,0.5462,0.0234,0.0361,0.0000,0E0,9.7975,0.5148,0.0234,0.0000,0.0000,0E0,15.3566,0.5462,0.0219,0.0361,0.0000,0E0,15.3566,0.5462,0.0219,0.0361,0.0000,0E0,2.1547,0.0133,0.0555,0.0000,0.0000,0E0,3.7055,0.0430,0.0338,0.0000,0.0000,0E0
Elasmucha_lateralis,249,3.4199,3.6247,500,0.9879,28,3.6583,0.9890,0.0014,10249,4.4174,2.3325,4.1739,0.1953,0.8510,4.1001,0.1543,1.1207,0.0033,1.8265,0.3236,0.0091,3.6100,0.5777,0.0000,14.0177,0.6116,0.0000,1.0602,0.0000,8.1986,19.4372,0.0000,0.1316,0.0583,5.7462,14.2835,1.8218,1.4587,9.4517,0.0272,5.8562,0.0160,1.0000,0.0039,0.1141,0.0000,0.0000,1.599E-49,5.0000,0.0999,0.0277,0.0000,0.0000,0E0,10.0000,0.5418,0.0234,0.0361,0.0000,0E0,9.9033,0.5191,0.0234,0.0000,0.0000,0E0,14.9985,0.5528,0.0221,0.0924,0.0000,0E0,10.2418,0.5418,0.0234,0.0361,0.0000,0E0,9.9033,0.5191,0.0234,0.0000,0.0000,0E0,14.9985,0.5528,0.0221,0.1687,0.0357,0E0,14.6446,0.5422,0.0221,0.0723,0.0000,0E0,2.2531,0.0133,0.0561,0.0000,0.0000,0E0,3.8159,0.0427,0.0341,0.0000,0.0000,0E0
Elasmucha_lateralis,249,3.4189,3.6248,500,0.9879,28,3.6576,0.9894,0.0014,10249,6.2577,0.7492,4.0838,2.7256,1.2521,4.9687,0.1720,0.4552,0.0000,2.4818,0.0418,0.1638,1.3492,0.6423,0.0055,14.2981,0.5548,0.0000,1.6512,0.0055,5.6727,17.5341,0.0000,0.2030,0.0000,8.8482,14.7280,4.2306,0.6529,6.2723,0.0000,5.8449,0.0158,1.0000,0.0040,0.1069,0.0000,0.0000,4.343E-53,5.0000,0.1091,0.0270,0.0000,0.0000,0E0,10.0000,0.5468,0.0234,0.0361,0.0000,0E0,7.3010,0.5097,0.0243,0.0000,0.0000,0E0,12.8567,0.5501,0.0226,0.0683,0.0357,0E0,7.3010,0.5097,0.0243,0.0361,0.0000,0E0,7.3010,0.5097,0.0243,0.0000,0.0000,0E0,10.0579,0.5468,0.0234,0.0683,0.0357,0E0,10.0579,0.5468,0.0234,0.0361,0.0000,0E0,2.1815,0.0133,0.0540,0.0000,0.0000,0E0,3.6521,0.0435,0.0337,0.0000,0.0000,0E0
Elasmucha_lateralis,249,3.4196,3.6246,500,0.9879,28,3.6453,0.9895,0.0016,10249,11.6755,5.3092,0.2076,0.1630,1.6953,4.0194,0.5178,2.7908,0.0000,0.3149,0.0275,0.2528,1.8693,0.5947,0.0000,14.1997,0.7219,0.0000,0.0000,0.0000,6.4888,17.3882,0.5533,0.1294,0.0416,8.5856,13.2224,1.6210,0.3278,7.2826,0.0000,5.8515,0.0159,1.0000,0.0039,0.1129,0.0000,0.0000,4.452E-50,5.0000,0.0979,0.0272,0.0000,0.0000,0E0,10.0000,0.5430,0.0234,0.0361,0.0000,0E0,7.3627,0.5095,0.0243,0.0000,0.0000,0E0,15.2186,0.5430,0.0219,0.0361,0.0000,0E0,7.3627,0.5095,0.0243,0.0361,0.0000,0E0,7.3627,0.5095,0.0243,0.0000,0.0000,0E0,15.2186,0.5430,0.0219,0.0361,0.0000,0E0,15.2186,0.5430,0.0219,0.0361,0.0000,0E0,2.2510,0.0133,0.0550,0.0000,0.0000,0E0,3.7486,0.0434,0.0339,0.0000,0.0000,0E0
Elasmucha_lateralis,249,3.4250,3.6270,500,0.9879,28,3.6426,0.9871,0.0016,10249,10.6437,0.2922,0.2954,0.0016,1.5920,4.3412,0.0177,0.4794,0.0023,2.2945,0.1030,0.1545,4.5412,0.5571,0.0000,13.6086,0.6171,0.0000,0.0000,0.0000,9.0411,18.8589,1.6050,0.1131,0.0706,3.5276,15.2340,5.2166,1.1178,5.6409,0.0328,5.8412,0.0158,1.0000,0.0041,0.1067,0.0000,0.0000,3.415E-53,5.0000,0.1088,0.0269,0.0000,0.0000,0E0,10.0000,0.5334,0.0230,0.0361,0.0000,0E0,7.1460,0.5141,0.0243,0.0000,0.0000,0E0,11.2781,0.5425,0.0230,0.0522,0.0357,0E0,7.1460,0.5141,0.0243,0.0361,0.0000,0E0,7.1460,0.5141,0.0243,0.0000,0.0000,0E0,11.2781,0.5425,0.0230,0.0522,0.0357,0E0,10.9336,0.5334,0.0230,0.0361,0.0000,0E0,2.1606,0.0133,0.0539,0.0000,0.0000,0E0,3.6297,0.0416,0.0336,0.0000,0.0000,0E0
Elasmucha_lateralis,249,3.4279,3.6305,500,0.9879,28,3.6010,0.9840,0.0016,10249,6.1816,2.4354,1.8053,0.2959,1.3142,2.8574,0.1305,2.8804,0.0000,0.5956,0.0719,1.9295,2.4554,0.7530,0.0000,13.0211,1.7645,0.9882,1.5583,0.1565,9.9745,18.1109,0.0000,0.1068,0.0643,4.3430,14.1761,2.0423,1.0720,8.8463,0.0693,5.8391,0.0157,1.0000,0.0039,0.1102,0.0000,0.0000,2.027E-51,5.0000,0.1187,0.0266,0.0000,0.0000,0E0,10.0000,0.5305,0.0231,0.0482,0.2143,0E0,8.3508,0.4882,0.0237,0.0000,0.0000,0E0,11.9813,0.5469,0.0227,0.0643,0.2500,0E0,8.6780,0.5292,0.0237,0.0241,0.1071,0E0,8.3508,0.4882,0.0237,0.0000,0.0000,0E0,8.3508,0.4882,0.0237,0.0000,0.0000,0E0,8.3508,0.4882,0.0237,0.0000,0.0000,0E0,2.2183,0.0132,0.0537,0.0000,0.0000,0E0,3.6397,0.0413,0.0335,0.0000,0.0000,0E0
Elasmucha_lateralis,249,3.4233,3.6265,500,0.9879,28,3.6387,0.9877,0.0016,10249,7.8050,1.6492,0.8023,2.9726,0.9879,3.7700,0.0058,4.6222,0.0000,1.3316,0.0426,0.0315,2.1102,0.5097,0.0000,12.8737,1.3115,0.3279,1.3846,0.0021,8.8314,17.8395,0.0000,0.1707,0.0642,5.5557,14.7851,1.8054,1.1106,7.2546,0.0424,5.8487,0.0159,1.0000,0.0040,0.1101,0.0000,0.0000,1.81E-51,5.0000,0.1101,0.0270,0.0000,0.0000,0E0,10.0000,0.5400,0.0229,0.0281,0.0714,0E0,9.2958,0.5338,0.0236,0.0000,0.0000,0E0,13.7337,0.5519,0.0224,0.0763,0.1429,0E0,9.6343,0.5400,0.0236,0.0281,0.0714,0E0,9.2958,0.5338,0.0236,0.0000,0.0000,0E0,9.2958,0.5338,0.0236,0.0000,0.0000,0E0,9.2958,0.5338,0.0236,0.0000,0.0000,0E0,2.1976,0.0133,0.0554,0.0000,0.0000,0E0,3.7483,0.0447,0.0338,0.0000,0.0000,0E0
Elasmucha_lateralis,250,3.4146,3.6224,500,0.9878,27,3.6500,0.9882,0.0015,10250,7.7001,3.0186,0.3435,0.3072,1.7332,4.0844,0.2184,0.6212,0.0000,2.3793,0.0697,0.0757,2.7547,0.6442,0.0000,13.8742,0.7286,0.0000,0.0000,0.0000,8.8205,17.9982,1.5323,0.1375,0.0550,6.0642,15.2123,5.3381,0.9743,4.6566,0.6579,5.8522,0.0159,1.0000,0.0039,0.1130,0.0000,0.0000,2.528E-48,5.0000,0.0995,0.0273,0.0000,0.0000,0E0,10.0000,0.5393,0.0231,0.0520,0.0370,0E0,9.6610,0.5151,0.0235,0.0000,0.0000,0E0,14.3334,0.5516,0.0222,0.0880,0.0370,0E0,9.9839,0.5292,0.0235,0.0360,0.0000,0E0,9.6610,0.5151,0.0235,0.0000,0.0000,0E0,9.9839,0.5292,0.0235,0.0520,0.0370,0E0,9.6610,0.5151,0.0235,0.0000,0.0000,0E0,2.2616,0.0134,0.0546,0.0000,0.0000,0E0,3.7379,0.0422,0.0340,0.0000,0.0000,0E0
Elasmucha_lateralis,250,3.4153,3.6204,500,0.9878,27,3.6591,0.9903,0.0013,10250,4.3420,4.7696,0.7195,0.5485,1.3257,4.3217,0.5937,3.2228,0.0030,1.2343,0.1002,0.0293,2.7816,0.6242,0.0000,14.2826,1.4640,0.0000,1.3471,0.0000,8.8696,17.8936,0.0000,0.1205,0.0711,5.1094,14.2492,1.8848,1.2324,8.8043,0.0553,5.8552,0.0160,1.0000,0.0040,0.1107,0.0000,0.0000,2.22E-49,5.0000,0.0915,0.0275,0.0000,0.0000,0E0,10.0000,0.5401,0.0235,0.0360,0.0000,0E0,7.3659,0.5136,0.0244,0.0000,0.0000,0E0,19.3844,0.5466,0.0208,0.0680,0.0370,0E0,7.3659,0.5136,0.0244,0.0360,0.0000,0E0,7.3659,0.5136,0.0244,0.0000,0.0000,0E0,12.8221,0.5466,0.0227,0.0680,0.0370,0E0,12.4767,0.5401,0.0227,0.0360,0.0000,0E0,2.2298,0.0134,0.0547,0.0000,0.0000,0E0,3.7310,0.0432,0.0340,0.0000,0.0000,0E0
Elasmucha_lateralis,250,3.4219,3.6266,500,0.9878,27,3.5837,0.9849,0.0018,10250,7.3792,0.1716,2.5370,3.0747,0.9574,4.0718,0.1826,1.8945,0.0029,1.7121,0.0181,0.1349,3.6364,0.5590,0.0000,11.8672,1.6576,0.0000,1.1561,0.0100,9.4514,20.3758,0.7206,0.1097,0.0771,4.4324,14.5967,2.3255,1.0635,5.8243,0.0000,5.8396,0.0157,1.0000,0.0038,0.1115,0.0000,0.0000,5.231E-49,5.0000,0.1179,0.0264,0.0000,0.0000,0E0,10.0000,0.5464,0.0232,0.0480,0.2222,0E0,6.8335,0.4718,0.0244,0.0000,0.0000,0E0,15.7914,0.5464,0.0217,0.0480,0.2222,0E0,8.2033,0.5313,0.0239,0.0200,0.1481,0E0,6.8335,0.4718,0.0244,0.0000,0.0000,0E0,6.8335,0.4718,0.0244,0.0000,0.0000,0E0,6.8335,0.4718,0.0244,0.0000,0.0000,0E0,2.2276,0.0131,0.0533,0.0000,0.0000,0E0,3.6229,0.0408,0.0335,0.0000,0.0000,0E0
