Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Epeorus_rubidus_subpallidus,110,3.5912,3.9818,500,0.9934,13,3.1685,0.9866,0.0030,10109,0.6360,1.1246,1.5878,3.6603,0.8999,1.8790,0.4321,0.0363,16.6523,4.1654,2.9807,0.2556,0.5241,0.1580,1.8281,0.2996,0.0000,2.3029,0.7832,3.0150,1.0275,0.4171,0.9934,0.1656,1.1156,47.6396,1.1288,2.6916,1.5727,0.0161,0.0111,5.7210,0.0139,1.0000,0.0048,0.1268,0.0000,0.0000,2.195E-12,5.0000,0.0441,0.0468,0.0000,0.0000,5.152E-18,10.0000,0.1206,0.0273,0.0091,0.1538,4.659E-16,8.1934,0.0876,0.0321,0.0000,0.1538,2.694E-15,23.9733,0.3927,0.0125,0.1000,0.4615,7.509E-11,11.8920,0.1503,0.0237,0.0273,0.1538,1.008E-16,8.1934,0.0876,0.0321,0.0000,0.1538,2.694E-15,7.1002,0.0675,0.0361,0.0000,0.0000,1.773E-19,7.1002,0.0675,0.0361,0.0000,0.0000,1.773E-19,2.0626,0.0119,0.0850,0.0000,0.0000,1.204E-14,8.8590,0.0972,0.0302,0.0091,0.1538,1.391E-15
Epeorus_rubidus_subpallidus,110,3.5757,3.9497,500,0.9933,13,3.4632,0.9878,0.0047,10110,2.1858,1.3085,2.1462,0.0171,1.0469,1.8553,0.7615,0.0703,18.2707,3.3958,2.8094,0.3039,0.3829,0.1346,2.6094,0.3424,0.1868,1.8718,0.9612,2.5180,0.6505,0.3631,1.1200,1.1352,0.6142,48.3731,0.7587,2.6955,1.0730,0.0000,0.0379,5.7301,0.0141,1.0000,0.0054,0.1144,0.0000,0.0000,5.775E-13,5.0000,0.0469,0.0448,0.0000,0.0769,8.161E-16,10.0000,0.1275,0.0271,0.0182,0.1538,4.298E-16,7.0107,0.0767,0.0355,0.0000,0.0769,5.053E-17,24.4076,0.4109,0.0129,0.0818,0.1538,1.21E-19,10.6567,0.1387,0.0258,0.0273,0.1538,2.524E-16,7.0107,0.0767,0.0355,0.0000,0.0769,5.053E-17,2.8824,0.0210,0.0648,0.0000,0.0769,6.684E-14,2.8755,0.0210,0.0648,0.0000,0.0000,3.543E-16,1.7897,0.0120,0.0855,0.0000,0.0000,1.297E-14,8.5837,0.1007,0.0305,0.0091,0.0769,8.075E-18
Epeorus_rubidus_subpallidus,110,3.5660,3.9658,500,0.9934,13,3.6868,0.9882,0.0065,10109,5.4169,0.6585,2.0624,0.1036,0.5446,1.6219,1.6000,0.0458,14.4866,2.6904,4.1391,0.1543,0.3754,0.2057,2.6272,0.3716,0.1066,0.0260,0.6720,2.8638,1.5706,0.4984,0.7661,0.5061,1.4854,48.5447,0.9665,3.3127,1.5272,0.0000,0.0499,5.7473,0.0143,1.0000,0.0049,0.1243,0.0000,0.0000,1.699E-12,5.0000,0.0451,0.0455,0.0000,0.0769,9.815E-16,10.0000,0.1269,0.0268,0.0091,0.0769,1.747E-18,5.5659,0.0524,0.0421,0.0000,0.0769,3.919E-16,28.4873,0.4782,0.0115,0.1000,0.1538,3.469E-20,12.5386,0.1850,0.0227,0.0182,0.0769,2.324E-19,10.6535,0.1436,0.0256,0.0091,0.0769,1.015E-18,2.3204,0.0146,0.0770,0.0000,0.0769,5.214E-13,1.7532,0.0099,0.0910,0.0000,0.0000,2.938E-14,2.0070,0.0122,0.0841,0.0000,0.0769,1.498E-12,8.3286,0.0982,0.0310,0.0091,0.0769,9.804E-18
Epeorus_rubidus_subpallidus,111,3.5707,3.9790,500,0.9936,12,3.3901,0.9873,0.0040,10110,6.4196,0.2023,1.6954,0.0287,0.6485,1.9017,0.8867,0.0660,17.3929,4.6430,4.4703,0.2177,0.3550,0.0683,1.1352,0.3466,0.0000,0.9599,1.2102,2.2023,1.2024,0.3926,2.6027,0.6722,0.4253,45.5126,0.8032,2.9258,0.6128,0.0000,0.0000,5.7535,0.0144,1.0000,0.0054,0.1234,0.0000,0.0000,1.252E-11,5.0000,0.0447,0.0477,0.0000,0.0833,3.319E-14,10.0000,0.1174,0.0281,0.0000,0.0833,1.005E-16,12.8106,0.1738,0.0229,0.0000,0.0833,1.092E-17,28.3005,0.4727,0.0114,0.0991,0.2500,6.8E-16,16.9762,0.2392,0.0180,0.0180,0.2500,4.159E-14,12.8106,0.1738,0.0229,0.0000,0.0833,1.092E-17,4.3437,0.0362,0.0527,0.0000,0.0833,9.986E-14,4.3353,0.0361,0.0527,0.0000,0.0000,4.61E-16,1.9973,0.0123,0.0869,0.0000,0.0000,1.866E-13,8.7748,0.1031,0.0312,0.0000,0.0833,3.131E-16
Epeorus_rubidus_subpallidus,111,3.5904,3.9771,500,0.9934,12,2.9559,0.9754,0.0115,10110,3.3824,0.5424,2.2586,2.1621,0.8469,1.8395,0.8906,0.0132,13.5406,4.5594,4.5915,0.1906,0.8500,0.2652,6.8840,0.7221,0.0000,2.7551,0.3710,2.9176,0.6433,0.1855,0.5905,0.1895,1.0852,45.3358,0.6142,1.3410,0.4321,0.0000,0.0000,5.7138,0.0138,1.0000,0.0054,0.1138,0.0000,0.0833,4.476E-10,5.0000,0.0508,0.0439,0.0000,0.1667,1.624E-12,10.0000,0.1286,0.0263,0.0000,0.1667,9.996E-15,11.5589,0.1553,0.0233,0.0000,0.1667,3.038E-15,25.3806,0.4376,0.0121,0.0991,0.2500,1.155E-15,14.7969,0.2116,0.0191,0.0180,0.1667,4.096E-16,11.5589,0.1553,0.0233,0.0000,0.1667,3.038E-15,1.1954,0.0066,0.1043,0.0000,0.0833,1.716E-10,0.8937,0.0047,0.1202,0.0000,0.0000,9.076E-12,1.9439,0.0118,0.0797,0.0000,0.1667,5.889E-10,8.4713,0.0945,0.0300,0.0000,0.1667,3.651E-14
Epeorus_rubidus_subpallidus,111,3.5697,3.9709,500,0.9934,12,3.9696,0.9930,0.0021,10110,1.7904,2.9869,0.0716,0.0000,0.5881,2.1184,0.6357,0.0603,16.6080,6.3335,3.1726,0.2817,0.3521,0.1113,4.1823,0.4620,0.0000,0.0739,0.7876,1.6787,2.7001,0.5333,0.9852,0.6124,0.9442,46.3837,0.8491,2.4616,2.2353,0.0000,0.0000,5.7251,0.0140,1.0000,0.0052,0.1164,0.0000,0.0000,6.199E-12,5.0000,0.0469,0.0440,0.0000,0.0000,5.288E-17,10.0000,0.1336,0.0265,0.0000,0.0833,5.318E-17,10.0572,0.1351,0.0264,0.0000,0.0833,5.104E-17,26.6633,0.4682,0.0117,0.0991,0.0833,6.501E-21,11.5093,0.1671,0.0239,0.0270,0.0833,1.735E-17,10.0572,0.1351,0.0264,0.0000,0.0833,5.104E-17,8.8360,0.1090,0.0291,0.0000,0.0000,3.657E-19,8.8360,0.1090,0.0291,0.0000,0.0000,3.657E-19,1.9690,0.0120,0.0804,0.0000,0.0000,7.313E-14,8.3885,0.0962,0.0303,0.0000,0.0000,5.911E-19
Epeorus_rubidus_subpallidus,111,3.5812,3.9553,500,0.9933,12,3.3795,0.9850,0.0072,10110,2.3754,2.9251,0.2789,0.0063,0.4879,1.6874,1.7506,0.0624,14.3706,3.8512,4.5633,0.1276,0.3585,0.1402,4.9292,0.4360,0.0000,0.0777,1.5354,3.9374,0.8006,0.2282,1.8569,0.1560,1.1449,46.5249,0.8103,3.5679,0.9638,0.0453,0.0000,5.7418,0.0142,1.0000,0.0050,0.1250,0.0000,0.0000,1.459E-11,5.0000,0.0444,0.0463,0.0000,0.0833,2.403E-14,10.0000,0.1252,0.0268,0.0090,0.0833,6.009E-17,9.3360,0.1071,0.0285,0.0000,0.0833,1.172E-16,24.7509,0.4514,0.0126,0.0901,0.2500,1.656E-15,11.8994,0.1545,0.0233,0.0270,0.0833,1.317E-17,9.3360,0.1071,0.0285,0.0000,0.0833,1.172E-16,2.0745,0.0125,0.0834,0.0000,0.0833,1.501E-11,1.6488,0.0089,0.0955,0.0000,0.0000,5.79E-13,2.0303,0.0122,0.0845,0.0000,0.0833,1.73E-11,8.5019,0.0962,0.0308,0.0000,0.0833,2.722E-16
Epeorus_rubidus_subpallidus,111,3.6219,3.9992,500,0.9934,12,2.8743,0.9784,0.0082,10110,1.1920,2.9306,0.5902,0.0759,0.7397,1.7833,0.7714,0.1059,17.7255,5.3117,4.8283,0.3123,0.5969,0.1682,2.7700,0.3186,0.1753,1.8237,1.5074,6.1372,0.2032,0.3525,1.9824,0.7936,1.1797,42.1651,0.7638,2.3937,0.3017,0.0000,0.0000,5.6770,0.0133,1.0000,0.0050,0.1134,0.0000,0.0000,4.5E-12,5.0000,0.0473,0.0422,0.0000,0.1667,1.102E-12,10.0000,0.1266,0.0252,0.0090,0.2500,8.484E-13,7.5812,0.0839,0.0311,0.0000,0.2500,5.434E-12,24.9101,0.4562,0.0117,0.0991,0.3333,1.635E-13,13.5419,0.1867,0.0197,0.0180,0.2500,9.248E-14,7.5812,0.0839,0.0311,0.0000,0.2500,5.434E-12,1.7368,0.0099,0.0834,0.0000,0.0833,1.501E-11,1.4657,0.0080,0.0921,0.0000,0.0000,3.719E-13,1.9095,0.0114,0.0787,0.0000,0.0833,8.025E-12,8.3976,0.0999,0.0289,0.0090,0.2500,2.843E-12
Epeorus_rubidus_subpallidus,111,3.5492,3.9387,500,0.9933,12,3.6099,0.9901,0.0020,10110,4.8785,2.1500,1.4682,0.6259,0.3556,1.7763,0.5856,0.0106,15.9624,5.5004,1.7215,0.1072,0.3341,0.1548,1.8524,0.3616,0.0499,0.0581,0.6926,2.2860,0.3960,0.2925,2.4234,0.3625,1.2478,50.2334,0.8283,2.5264,0.7553,0.0028,0.0000,5.7557,0.0143,1.0000,0.0045,0.1350,0.0000,0.0000,3.669E-11,5.0000,0.0413,0.0488,0.0000,0.0000,1.808E-16,10.0000,0.1170,0.0280,0.0090,0.0000,2.314E-19,9.1494,0.1036,0.0302,0.0000,0.0000,5.683E-19,25.0803,0.4090,0.0126,0.0991,0.2500,1.656E-15,11.3606,0.1414,0.0252,0.0270,0.0000,6.629E-20,9.1494,0.1036,0.0302,0.0000,0.0000,5.683E-19,12.2146,0.1588,0.0236,0.0270,0.0000,3.046E-20,12.2146,0.1588,0.0236,0.0270,0.0000,3.046E-20,2.1362,0.0123,0.0879,0.0000,0.0000,2.137E-13,8.7970,0.0959,0.0312,0.0000,0.0000,8.37E-19
Epeorus_rubidus_subpallidus,111,3.5432,3.9272,500,0.9932,12,3.5490,0.9823,0.0121,10110,1.3207,0.6781,2.6323,0.1655,0.9293,1.5673,0.8386,0.0084,15.9316,4.8389,3.9000,0.1365,0.7131,0.2712,7.2564,0.3880,0.0240,1.2086,0.9543,1.5213,1.3092,0.1483,0.7890,0.2943,0.7968,46.4640,0.6984,3.5254,0.6905,0.0000,0.0000,5.7745,0.0147,1.0000,0.0053,0.1238,0.0000,0.0833,1.117E-9,5.0000,0.0465,0.0477,0.0000,0.0833,3.319E-14,10.0000,0.1258,0.0289,0.0090,0.0833,1.363E-16,9.2504,0.1106,0.0306,0.0000,0.0833,2.536E-16,26.2798,0.4298,0.0126,0.0991,0.0833,1.458E-20,13.9145,0.1853,0.0222,0.0180,0.0833,7.426E-18,9.2504,0.1106,0.0306,0.0000,0.0833,2.536E-16,2.0923,0.0134,0.0834,0.0000,0.0833,1.501E-11,27.2853,0.4390,0.0121,0.1081,0.0833,9.377E-21,2.0186,0.0125,0.0852,0.0000,0.0833,1.891E-11,8.8401,0.1036,0.0318,0.0000,0.0833,3.852E-16
