Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Epigaea_repens,138,1.5838,2.0441,500,0.9315,16,1.1498,0.8613,0.0490,10137,2.6006,1.2858,0.8997,0.5614,1.1372,18.0963,8.8090,4.2999,0.0063,1.0333,0.0000,4.8176,23.3610,7.4855,0.9196,0.9545,0.2614,0.8161,2.2445,0.7702,2.0317,1.2437,0.8221,0.1592,0.2427,2.6663,3.9783,0.1194,8.0300,0.3266,0.0199,7.6784,0.1055,1.0000,0.0169,0.7392,0.0072,0.0625,5.278E-2,5.0000,0.0497,0.4715,0.0435,0.0625,1.131E-4,10.0000,0.0903,0.3249,0.0435,0.1875,8.612E-5,0.6675,0.0134,0.7852,0.0000,0.0000,2.09E-2,18.6288,0.1653,0.1948,0.0942,0.1875,1.795E-7,24.1124,0.2177,0.1453,0.1449,0.3125,1.306E-6,22.1564,0.2005,0.1611,0.1087,0.3125,3.733E-6,18.7365,0.1669,0.1936,0.1014,0.1875,1.665E-7,18.7365,0.1669,0.1936,0.1014,0.1875,1.665E-7,3.1366,0.0349,0.5629,0.0217,0.0625,1.364E-3,17.0071,0.1520,0.2132,0.0870,0.1875,5.431E-7
Epigaea_repens,138,1.5868,2.0243,500,0.9336,16,1.2054,0.7983,0.0762,10137,2.5084,0.0689,0.3096,0.0317,2.9837,17.4970,11.2550,6.3646,3.7514,1.6337,0.1074,4.9066,16.3369,4.5704,0.8114,0.7099,0.2666,0.5771,2.2950,0.3176,4.9461,1.4274,0.8613,0.2452,0.1934,1.2130,2.0396,0.0060,11.3966,0.3476,0.0213,7.6596,0.1035,1.0000,0.0163,0.6828,0.0072,0.1875,2.02E-1,5.0000,0.0541,0.4288,0.0217,0.1875,2.038E-3,10.0000,0.0992,0.2989,0.0652,0.2500,2.558E-4,0.3450,0.0082,0.7933,0.0000,0.0625,1.272E-1,16.1079,0.1533,0.2091,0.0942,0.2500,5.414E-6,23.7145,0.2301,0.1408,0.1377,0.3125,9.432E-7,23.6863,0.2301,0.1410,0.1304,0.3125,9.569E-7,12.9468,0.1261,0.2500,0.0942,0.2500,3.807E-5,32.6638,0.3198,0.0905,0.2029,0.3125,9.411E-9,4.0786,0.0452,0.4658,0.0145,0.1875,5.021E-3,16.1079,0.1533,0.2091,0.0942,0.2500,5.414E-6
Epigaea_repens,138,1.6704,2.1318,500,0.9381,16,0.1196,0.7445,0.0579,10137,3.1137,1.9539,0.0079,0.0250,3.4770,18.5544,9.3222,6.0659,0.4217,1.5820,0.0000,4.4151,16.9138,6.1807,0.9254,0.9203,0.4426,2.6598,1.5352,0.6744,4.2904,0.8494,0.5641,0.0000,0.3990,0.9937,4.6846,0.3622,8.3502,0.3079,0.0076,7.5760,0.0948,1.0000,0.0142,0.6752,0.0072,0.0625,1.621E-2,5.0000,0.0492,0.4111,0.0217,0.3125,2.39E-2,10.0000,0.0922,0.2802,0.0797,0.3125,8.338E-4,0.4036,0.0079,0.7795,0.0000,0.0000,1.859E-2,14.0135,0.1308,0.2174,0.0942,0.5000,1.178E-2,22.4109,0.2158,0.1377,0.1377,0.5000,5.899E-4,27.9694,0.2680,0.1038,0.1377,0.6250,3.978E-3,8.4420,0.0783,0.3125,0.0652,0.3125,2.27E-3,10.0049,0.0922,0.2801,0.0797,0.3125,8.31E-4,3.1099,0.0329,0.4975,0.0072,0.1250,1.965E-3,16.1287,0.1500,0.1924,0.1159,0.5000,5.469E-3
Epigaea_repens,138,1.5168,1.9519,500,0.9262,16,1.6634,0.9431,0.0159,10137,1.9803,1.2437,1.4438,2.2413,2.1926,20.1150,8.8007,4.5598,0.0000,1.0389,0.1008,4.0076,21.6211,5.9887,0.7439,1.0717,0.2949,0.8446,1.3903,0.4195,1.7906,0.3357,0.6980,0.3977,0.3109,2.1144,3.9118,0.5771,9.4427,0.3218,0.0000,7.7438,0.1131,1.0000,0.0181,0.7495,0.0072,0.0000,9.923E-3,5.0000,0.0536,0.4869,0.0290,0.0000,9.987E-6,10.0000,0.0949,0.3411,0.0507,0.0000,3.362E-8,0.2459,0.0086,0.8771,0.0000,0.0000,1.226E-1,18.3753,0.1678,0.2109,0.0942,0.0625,9.331E-10,24.7456,0.2265,0.1517,0.1522,0.0625,7.132E-12,26.8587,0.2492,0.1362,0.1522,0.0625,1.442E-12,28.5828,0.2647,0.1250,0.1884,0.1250,2.126E-11,27.3206,0.2527,0.1332,0.1739,0.0625,1.029E-12,3.1158,0.0379,0.5767,0.0145,0.0000,1.497E-4,16.9711,0.1553,0.2276,0.0942,0.0625,2.864E-9
Epigaea_repens,139,1.5389,1.9910,500,0.9338,15,1.5582,0.8791,0.0580,10138,3.1921,0.1428,0.5841,1.9235,2.5079,18.3996,7.6348,4.4957,0.0117,0.9070,0.1519,4.7284,19.8181,8.3448,0.7938,0.8369,0.5146,1.1805,2.4118,0.5853,1.8888,0.8801,0.5218,0.1839,0.2885,1.9837,1.7304,0.3855,12.7530,0.1955,0.0235,7.7155,0.1096,1.0000,0.0171,0.7064,0.0072,0.0667,3.934E-2,5.0000,0.0550,0.4499,0.0288,0.1333,1.104E-3,10.0000,0.1008,0.3158,0.0504,0.1333,1.634E-5,0.4221,0.0100,0.8013,0.0000,0.0667,1.702E-1,16.9168,0.1627,0.2128,0.0935,0.1333,1.238E-7,25.6373,0.2473,0.1367,0.1367,0.2667,2.494E-7,25.5495,0.2464,0.1373,0.1295,0.2667,2.608E-7,20.5221,0.1979,0.1765,0.1151,0.2000,2.435E-7,20.5187,0.1978,0.1765,0.1151,0.1333,1.181E-8,3.7627,0.0435,0.5029,0.0144,0.0667,5.262E-4,16.1966,0.1564,0.2211,0.0935,0.1333,2.007E-7
Epigaea_repens,139,1.6740,2.1844,500,0.9394,15,-0.1569,0.7096,0.0577,10139,4.3581,2.0042,0.4306,0.0188,1.5100,19.1293,8.7114,8.1813,0.0174,2.1352,0.1106,3.4221,13.3209,7.1095,0.8373,0.9751,0.2479,2.2229,1.4192,0.8080,5.3824,0.5159,0.9201,0.1543,0.6557,2.2897,0.5678,1.8644,10.2250,0.4548,0.0000,7.5791,0.0951,1.0000,0.0147,0.6893,0.0072,0.0667,2.925E-2,5.0000,0.0493,0.4302,0.0288,0.2667,1.749E-2,10.0000,0.0901,0.2973,0.0576,0.4000,1.432E-2,0.6168,0.0106,0.7477,0.0000,0.0667,7.736E-2,16.7252,0.1482,0.1981,0.0935,0.5333,1.718E-2,23.4548,0.2067,0.1367,0.1367,0.7333,1.384E-1,25.5426,0.2256,0.1221,0.1367,0.7333,1.008E-1,5.8782,0.0569,0.4000,0.0288,0.4000,9.51E-2,2.5592,0.0287,0.5495,0.0144,0.0667,1.671E-3,4.0954,0.0415,0.4669,0.0144,0.2667,3.444E-2,17.2035,0.1514,0.1929,0.1079,0.5333,1.487E-2
Epigaea_repens,139,1.5097,1.9344,500,0.9307,15,1.8761,0.9294,0.0388,10138,2.1974,4.3060,0.0459,0.0085,2.1615,17.2499,7.7678,3.2438,0.0071,1.3721,0.1087,3.8069,19.8252,8.5143,0.7171,1.6455,0.0816,1.6846,3.1778,1.3295,3.4829,2.1914,0.6386,0.0622,0.3240,1.8468,0.9782,0.0970,10.7051,0.4227,0.0000,7.7619,0.1152,1.0000,0.0184,0.7346,0.0072,0.0000,9.782E-3,5.0000,0.0566,0.4746,0.0288,0.0667,2.455E-4,10.0000,0.1012,0.3354,0.0432,0.0667,2.346E-6,0.4533,0.0116,0.8181,0.0000,0.0000,4.922E-2,20.3091,0.1948,0.1911,0.0935,0.0667,1.065E-9,25.1655,0.2360,0.1499,0.1511,0.0667,3.742E-11,22.6181,0.2149,0.1702,0.1007,0.0667,2.151E-10,27.5132,0.2590,0.1334,0.1583,0.1333,3.402E-10,27.0154,0.2537,0.1366,0.1583,0.0667,1.032E-11,3.7680,0.0450,0.5279,0.0144,0.0667,9.936E-4,16.5568,0.1600,0.2317,0.0863,0.0667,1.511E-8
Epigaea_repens,139,1.6252,2.0872,500,0.9390,15,0.4318,0.7384,0.0800,10138,1.1976,0.1930,0.5457,0.4605,2.4925,17.9279,10.0496,3.7652,0.0188,4.4946,0.3169,3.6316,23.9609,6.6487,0.8023,1.7968,0.1697,1.0599,1.9430,0.4929,1.9304,1.2937,0.6617,0.0955,0.2903,1.5292,2.0753,0.1868,9.6321,0.3371,0.0000,7.6642,0.1036,1.0000,0.0159,0.6983,0.0072,0.1333,1.239E-1,5.0000,0.0530,0.4359,0.0216,0.2667,1.952E-2,10.0000,0.0984,0.3036,0.0576,0.3333,4.026E-3,0.6142,0.0118,0.7564,0.0000,0.1333,2.537E-1,19.7453,0.1851,0.1753,0.0935,0.4000,2.806E-4,24.5085,0.2294,0.1367,0.1367,0.4000,3.81E-5,35.8775,0.3454,0.0763,0.1727,0.5333,5.609E-5,8.5691,0.0862,0.3333,0.0576,0.3333,8.498E-3,25.8975,0.2427,0.1272,0.1367,0.4000,2.115E-5,4.3848,0.0472,0.4605,0.0144,0.2667,3.08E-2,16.3465,0.1561,0.2101,0.0719,0.3333,1.752E-4
Epigaea_repens,139,1.6142,2.0383,500,0.9343,15,0.5368,0.8070,0.0596,10138,3.7707,0.9209,0.0357,1.0627,1.4174,19.6120,7.5028,7.3922,0.0293,1.7479,0.1275,4.7632,18.2164,5.4423,1.3518,0.8665,0.4816,0.3103,2.1556,1.3447,4.8297,0.6914,0.6804,0.2325,0.1836,2.3781,2.2766,1.1408,8.6693,0.3541,0.0119,7.6726,0.1047,1.0000,0.0165,0.7349,0.0072,0.0667,6.31E-2,5.0000,0.0494,0.4659,0.0216,0.1333,1.651E-3,10.0000,0.0910,0.3209,0.0432,0.2000,1.896E-4,0.6530,0.0129,0.7842,0.0000,0.0667,1.337E-1,16.9817,0.1506,0.2107,0.0935,0.3333,1.797E-4,23.0497,0.2088,0.1511,0.1511,0.4000,8.588E-5,27.9954,0.2586,0.1167,0.1655,0.4667,1.032E-4,12.9401,0.1157,0.2666,0.0576,0.2667,2.163E-4,21.6542,0.1970,0.1628,0.1367,0.3333,1.763E-5,8.4418,0.0781,0.3568,0.0216,0.2000,5.864E-4,16.8830,0.1499,0.2119,0.0935,0.3333,1.888E-4
Epigaea_repens,139,1.6116,2.0917,500,0.9379,15,0.8039,0.8469,0.0635,10138,1.3088,3.2052,0.8578,0.0466,4.1130,18.5850,6.9470,4.9179,0.0000,2.5856,0.2149,4.8490,22.4897,6.4104,1.0155,0.8283,0.1094,0.7545,1.5963,0.6919,2.6337,2.0291,0.5643,0.2527,0.2916,1.9464,1.4871,0.1540,8.2992,0.7907,0.0244,7.6516,0.1025,1.0000,0.0157,0.7101,0.0000,0.0667,4.193E-2,5.0000,0.0515,0.4437,0.0144,0.0667,1.007E-4,10.0000,0.0939,0.3074,0.0791,0.1333,1.172E-5,4.0714,0.0426,0.4827,0.0000,0.0667,3.076E-4,16.0437,0.1472,0.2144,0.0935,0.2000,2.222E-6,25.5031,0.2372,0.1295,0.1295,0.2667,1.417E-7,26.1398,0.2448,0.1254,0.1295,0.2667,1.008E-7,17.2932,0.1581,0.2000,0.1007,0.2000,1.014E-6,23.1106,0.2115,0.1466,0.1223,0.2000,2.895E-8,4.0714,0.0426,0.4827,0.0000,0.0667,3.076E-4,16.6369,0.1525,0.2074,0.1007,0.2000,1.528E-6
