Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Etheostoma_gutselli,32,3.6410,4.7100,500,0.9973,4,3.1809,0.9905,0.0036,10032,2.8587,3.4142,1.7978,2.0957,0.8166,20.7027,2.7167,1.8847,5.5510,0.2428,0.3973,2.6342,6.8428,4.5710,0.0000,0.5232,0.0930,0.2352,1.4510,22.7366,5.8099,0.2064,0.0293,0.0000,0.0000,0.1642,0.7684,3.7613,7.5655,0.1295,0.0000,5.6445,0.0128,1.0000,0.0034,0.2268,0.0000,0.0000,2.645E-3,5.0000,0.0195,0.0995,0.0000,0.0000,9.794E-5,10.0000,0.0462,0.0549,0.0000,0.0000,9.1E-6,20.4620,0.1390,0.0200,0.0000,0.0000,1.612E-7,43.8025,0.5929,0.0041,0.0938,0.7500,1.625E-2,20.5197,0.1401,0.0200,0.0312,0.2500,3.169E-5,20.4620,0.1390,0.0200,0.0000,0.0000,1.612E-7,20.4620,0.1390,0.0200,0.0000,0.0000,1.612E-7,20.4620,0.1390,0.0200,0.0000,0.0000,1.612E-7,3.0984,0.0111,0.1357,0.0000,0.0000,3.388E-4,16.8147,0.0950,0.0281,0.0000,0.0000,6.244E-7
Etheostoma_gutselli,32,3.7985,4.8436,500,0.9978,4,1.5575,0.9153,0.0489,10032,1.9084,3.8828,0.9342,1.1775,4.3959,13.6702,4.3059,3.5847,9.0290,1.2831,0.6661,2.1787,7.0584,2.8572,0.0634,0.3635,0.1578,0.1871,3.6194,17.7375,4.4685,0.0000,0.1222,0.0000,0.0632,0.3302,2.3221,4.2612,9.3497,0.0158,0.0062,5.4823,0.0108,1.0000,0.0033,0.1896,0.0000,0.2500,2.338E-2,5.0000,0.0192,0.0777,0.0000,0.5000,3.254E-2,10.0000,0.0517,0.0397,0.0000,0.5000,8.952E-3,21.5671,0.1803,0.0132,0.0000,0.5000,1.021E-3,41.0802,0.5869,0.0042,0.0625,0.5000,1.046E-4,21.5671,0.1803,0.0132,0.0000,0.5000,1.021E-3,21.5671,0.1803,0.0132,0.0000,0.5000,1.021E-3,0.4699,0.0017,0.2418,0.0000,0.2500,4.631E-2,0.4693,0.0017,0.2418,0.0000,0.0000,3.42E-3,2.8180,0.0095,0.1155,0.0000,0.2500,5.634E-3,15.1131,0.0966,0.0239,0.0000,0.5000,3.325E-3
Etheostoma_gutselli,32,3.6287,4.6990,500,0.9975,4,3.5296,0.9919,0.0033,10032,4.2371,1.8427,2.7440,1.2214,2.6607,17.0730,3.5194,4.5311,2.1349,1.5869,0.0474,2.5824,8.4247,2.1288,0.0000,0.3362,0.1474,0.5104,2.9723,22.9406,3.8035,0.0000,0.0189,0.0000,0.1299,0.1786,1.3050,3.5760,9.2685,0.0000,0.0782,5.6326,0.0127,1.0000,0.0035,0.2191,0.0000,0.0000,2.304E-3,5.0000,0.0198,0.0946,0.0000,0.0000,8.008E-5,10.0000,0.0471,0.0513,0.0000,0.0000,6.945E-6,23.0589,0.1934,0.0153,0.0000,0.2500,1.403E-5,44.2448,0.5901,0.0041,0.0938,0.5000,9.967E-5,23.0589,0.1934,0.0153,0.0000,0.2500,1.403E-5,23.0589,0.1934,0.0153,0.0000,0.2500,1.403E-5,21.1415,0.1605,0.0178,0.0000,0.0000,1.014E-7,21.1415,0.1605,0.0178,0.0000,0.0000,1.014E-7,3.1223,0.0110,0.1298,0.0000,0.0000,2.837E-4,16.2375,0.0954,0.0278,0.0000,0.0000,5.982E-7
Etheostoma_gutselli,32,3.6196,4.7326,500,0.9976,4,3.5411,0.9878,0.0046,10032,1.9357,0.3338,1.9123,0.8014,1.8702,18.3267,2.4101,0.1839,0.0005,1.9156,0.3937,2.3103,8.9326,4.8840,0.0000,0.2583,1.2727,0.1136,5.1627,26.2216,1.6031,0.0000,0.3635,0.0000,0.0271,0.2302,1.5207,3.2997,13.4760,0.2252,0.0147,5.6733,0.0132,1.0000,0.0036,0.2264,0.0000,0.0000,2.626E-3,5.0000,0.0197,0.1000,0.0000,0.0000,9.992E-5,10.0000,0.0480,0.0549,0.0000,0.0000,9.1E-6,24.9286,0.2066,0.0140,0.0000,0.2500,1.076E-5,42.8345,0.5896,0.0043,0.0938,0.7500,1.704E-2,24.9286,0.2066,0.0140,0.0000,0.2500,1.076E-5,24.9286,0.2066,0.0140,0.0000,0.2500,1.076E-5,17.9205,0.1162,0.0256,0.0000,0.0000,4.307E-7,17.9205,0.1162,0.0256,0.0000,0.0000,4.307E-7,3.1095,0.0115,0.1357,0.0000,0.0000,3.388E-4,16.5692,0.0997,0.0289,0.0000,0.0000,6.983E-7
Etheostoma_gutselli,32,3.6978,4.7013,500,0.9971,4,2.6061,0.9733,0.0155,10032,2.7690,0.9545,1.9023,2.4954,2.0523,18.2666,4.4684,3.8007,6.3396,1.4172,0.3490,2.2512,6.9035,3.0460,0.0000,0.3563,0.1004,0.1881,1.9191,10.9960,9.7384,0.0000,0.0893,0.1673,0.1015,1.1531,0.6152,2.0854,15.3971,0.0258,0.0516,5.5822,0.0120,1.0000,0.0034,0.2210,0.0000,0.0000,2.385E-3,5.0000,0.0179,0.0969,0.0000,0.0000,8.813E-5,10.0000,0.0443,0.0516,0.0000,0.2500,5.293E-4,18.4269,0.1166,0.0221,0.0000,0.2500,4.263E-5,39.3985,0.5202,0.0046,0.0938,0.5000,1.254E-4,18.4767,0.1168,0.0221,0.0312,0.5000,2.852E-3,18.4269,0.1166,0.0221,0.0000,0.2500,4.263E-5,6.5222,0.0253,0.0784,0.0000,0.0000,3.787E-5,6.5222,0.0253,0.0784,0.0000,0.0000,3.787E-5,3.0907,0.0105,0.1332,0.0000,0.0000,3.145E-4,16.5622,0.0942,0.0264,0.0000,0.2500,7.227E-5
Etheostoma_gutselli,32,3.6131,4.6634,500,0.9974,4,3.7598,0.9949,0.0013,10032,2.2864,0.8982,2.1086,5.5793,1.5111,17.5341,2.1699,2.1910,5.3807,1.4288,0.4761,1.9938,7.3770,4.2373,0.0000,0.1964,0.3103,0.3726,1.8736,21.0107,2.7464,0.0000,0.2285,0.0000,0.0087,0.4169,0.7172,4.2513,12.3273,0.1075,0.2602,5.6506,0.0129,1.0000,0.0037,0.2259,0.0000,0.0000,2.603E-3,5.0000,0.0191,0.1009,0.0000,0.0000,1.036E-4,10.0000,0.0454,0.0544,0.0000,0.0000,8.774E-6,23.9386,0.1948,0.0144,0.0000,0.0000,4.245E-8,37.4974,0.4335,0.0057,0.0938,0.2500,7.306E-7,23.9386,0.1948,0.0144,0.0000,0.0000,4.245E-8,23.9386,0.1948,0.0144,0.0000,0.0000,4.245E-8,32.2071,0.3587,0.0081,0.0312,0.0000,4.25E-9,32.2071,0.3587,0.0081,0.0312,0.0000,4.25E-9,3.1470,0.0112,0.1360,0.0000,0.0000,3.417E-4,16.4509,0.0958,0.0283,0.0000,0.0000,6.423E-7
Etheostoma_gutselli,33,3.7490,4.7432,500,0.9975,3,0.5267,0.9150,0.0370,10033,4.1300,3.3748,0.8499,0.5407,3.3643,11.9176,3.3051,3.4200,5.3257,1.7820,0.0885,3.0154,9.6614,2.9107,0.0000,1.6969,0.0109,0.0742,0.4786,15.6130,4.4278,0.0000,0.2553,0.0000,0.0000,2.4197,1.5730,4.5313,15.1130,0.1203,0.0000,5.5055,0.0110,1.0000,0.0033,0.2033,0.0000,0.0000,8.406E-3,5.0000,0.0180,0.0853,0.0000,0.6667,2.347E-1,10.0000,0.0452,0.0444,0.0000,0.6667,1.272E-1,22.3192,0.1896,0.0127,0.0000,0.6667,3.75E-2,40.0255,0.5457,0.0043,0.0606,1.0000,1E0,22.3192,0.1896,0.0127,0.0000,0.6667,3.75E-2,22.3192,0.1896,0.0127,0.0000,0.6667,3.75E-2,1.7125,0.0056,0.1629,0.0000,0.0000,4.32E-3,1.7125,0.0056,0.1629,0.0000,0.0000,4.32E-3,2.9309,0.0097,0.1230,0.0000,0.3333,4.166E-2,15.4351,0.0892,0.0245,0.0000,0.6667,7.177E-2
Etheostoma_gutselli,33,3.7764,4.7947,500,0.9975,3,-0.1367,0.9132,0.0246,10033,2.6800,3.1889,1.2659,0.5678,4.8531,15.7147,1.2449,5.2796,4.7480,1.1734,0.0000,5.1172,7.7848,3.4372,0.0000,0.8812,0.1022,0.0475,2.0192,13.5491,8.1269,0.0000,0.0000,0.1127,0.0000,0.1369,1.6082,1.6374,14.4903,0.2287,0.0040,5.4835,0.0108,1.0000,0.0029,0.2011,0.0000,0.0000,8.137E-3,5.0000,0.0183,0.0818,0.0000,0.6667,2.259E-1,10.0000,0.0490,0.0433,0.0000,0.6667,1.242E-1,18.7119,0.1215,0.0181,0.0000,1.0000,1E0,41.2245,0.6221,0.0040,0.0909,1.0000,1E0,18.7119,0.1215,0.0181,0.0303,1.0000,1E0,18.7119,0.1215,0.0181,0.0000,1.0000,1E0,2.9774,0.0100,0.1168,0.0000,0.0000,1.594E-3,2.9774,0.0100,0.1168,0.0000,0.0000,1.594E-3,2.8331,0.0095,0.1204,0.0000,0.0000,1.745E-3,15.8255,0.0927,0.0239,0.0000,1.0000,1E0
Etheostoma_gutselli,33,3.5877,4.6167,500,0.9971,3,4.2889,0.9966,0.0008,10033,2.3813,2.7165,2.1997,2.3926,2.4122,14.5749,2.0688,4.7388,5.0752,2.1613,0.1364,2.2089,6.7288,4.7713,0.0000,0.3741,0.1298,0.0765,1.8717,21.6893,1.5552,0.0000,0.0336,0.2986,0.2590,0.1261,1.4593,2.2003,15.2398,0.1201,0.0000,5.6725,0.0131,1.0000,0.0036,0.2349,0.0000,0.0000,1.297E-2,5.0000,0.0193,0.1064,0.0000,0.0000,1.206E-3,10.0000,0.0436,0.0583,0.0000,0.0000,1.982E-4,20.6978,0.1305,0.0200,0.0000,0.0000,8.041E-6,39.1665,0.5090,0.0053,0.0909,0.0000,1.474E-7,20.6978,0.1305,0.0200,0.0303,0.0000,8.041E-6,20.6978,0.1305,0.0200,0.0000,0.0000,8.041E-6,39.1665,0.5090,0.0053,0.0909,0.0000,1.474E-7,39.1665,0.5090,0.0053,0.0909,0.0000,1.474E-7,3.2247,0.0115,0.1408,0.0000,0.0000,2.793E-3,16.9468,0.0940,0.0289,0.0000,0.0000,2.415E-5
Etheostoma_gutselli,33,3.6096,4.6514,500,0.9973,3,3.0691,0.9907,0.0035,10033,3.2246,3.2786,1.6362,1.0928,2.6626,13.8782,3.2203,3.0072,4.5500,1.6514,0.7607,1.4115,8.1815,3.7236,0.0000,0.3619,0.1316,0.0421,1.9059,19.8723,5.5655,0.0000,0.1680,0.0576,0.0722,0.4004,1.3817,4.7194,12.7603,0.2527,0.0292,5.6764,0.0132,1.0000,0.0036,0.2404,0.0000,0.0000,1.389E-2,5.0000,0.0185,0.1053,0.0000,0.0000,1.166E-3,10.0000,0.0446,0.0570,0.0000,0.0000,1.853E-4,22.3490,0.1623,0.0168,0.0000,0.3333,8.416E-4,40.7430,0.5403,0.0048,0.0909,0.6667,1.428E-2,22.4163,0.1642,0.0168,0.0303,0.3333,8.416E-4,22.3490,0.1623,0.0168,0.0000,0.3333,8.416E-4,22.0601,0.1553,0.0173,0.0000,0.0000,5.216E-6,22.0601,0.1553,0.0173,0.0000,0.0000,5.216E-6,3.3534,0.0115,0.1381,0.0000,0.0000,2.636E-3,16.6432,0.0937,0.0290,0.0000,0.0000,2.44E-5
