Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Euchlaena_amoenaria,65,3.3504,4.0454,500,0.9936,8,4.4877,0.9968,0.0007,10065,4.8582,1.8081,4.5717,0.6526,5.0612,3.6315,13.7420,2.6002,1.0029,3.3217,0.0314,10.4804,7.9822,1.5842,30.4606,1.9350,0.0000,0.0083,0.3235,0.9637,0.5335,0.7300,0.4076,0.6070,0.3582,1.6876,0.2566,0.0703,0.3245,0.0000,0.0056,5.9262,0.0168,1.0000,0.0029,0.3242,0.0000,0.0000,1.22E-4,5.0000,0.0171,0.1276,0.0000,0.0000,7.015E-8,10.0000,0.0486,0.0648,0.0154,0.0000,3.101E-10,8.1400,0.0352,0.0810,0.0000,0.0000,1.848E-9,31.3896,0.3419,0.0105,0.0923,0.0000,1.513E-16,16.7064,0.1101,0.0334,0.0308,0.0000,1.542E-12,14.1388,0.0835,0.0424,0.0154,0.0000,1.049E-11,47.6587,0.6827,0.0047,0.3385,0.0000,2.261E-19,47.6587,0.6827,0.0047,0.3385,0.0000,2.261E-19,4.4583,0.0146,0.1401,0.0000,0.0000,1.483E-7,15.5565,0.0973,0.0372,0.0308,0.0000,3.635E-12
Euchlaena_amoenaria,65,3.4702,4.1043,500,0.9934,8,2.8765,0.9242,0.0650,10065,2.8431,3.5724,3.8931,0.9225,3.9351,4.5310,13.3333,1.9558,0.6064,2.7428,0.0000,8.2516,8.4340,1.5923,33.4716,1.6193,0.0000,0.0138,0.2627,2.5848,0.5321,1.9365,0.2340,0.3289,0.2308,1.2028,0.2721,0.1446,0.4745,0.0780,0.0000,5.7747,0.0142,1.0000,0.0025,0.2997,0.0000,0.1250,1.28E-3,5.0000,0.0167,0.1102,0.0000,0.1250,1.425E-6,10.0000,0.0476,0.0539,0.0154,0.1250,1.014E-8,5.7533,0.0200,0.0972,0.0000,0.1250,5.987E-7,28.8840,0.3056,0.0098,0.0923,0.2500,2.493E-11,15.2573,0.0956,0.0308,0.0308,0.1250,2.047E-10,17.8818,0.1259,0.0239,0.0308,0.1250,3.534E-11,4.3017,0.0131,0.1250,0.0000,0.1250,3.395E-6,19.5442,0.1526,0.0206,0.0615,0.1250,1.223E-11,4.1804,0.0126,0.1280,0.0000,0.1250,3.992E-6,14.8673,0.0934,0.0320,0.0308,0.1250,2.667E-10
Euchlaena_amoenaria,65,3.4341,4.0964,500,0.9935,8,3.1631,0.9867,0.0056,10065,5.0567,4.7638,3.7607,0.7287,6.5976,5.8111,13.3280,1.8757,1.4484,0.0878,0.0338,7.4053,8.6995,1.4572,31.3540,1.6722,0.0000,0.0000,0.3918,0.9219,0.1636,1.3331,0.2895,0.4573,0.2873,1.1892,0.2311,0.1849,0.4346,0.0060,0.0292,5.8244,0.0149,1.0000,0.0025,0.3267,0.0000,0.0000,1.297E-4,5.0000,0.0149,0.1234,0.0000,0.0000,5.376E-8,10.0000,0.0444,0.0598,0.0154,0.0000,1.638E-10,8.2720,0.0322,0.0745,0.0000,0.0000,9.506E-10,28.6393,0.3299,0.0103,0.0923,0.3750,6.427E-9,14.5721,0.0828,0.0364,0.0308,0.1250,6.512E-10,11.6416,0.0568,0.0495,0.0154,0.0000,3.592E-11,11.6416,0.0568,0.0495,0.0154,0.0000,3.592E-11,11.6416,0.0568,0.0495,0.0154,0.0000,3.592E-11,4.5248,0.0132,0.1346,0.0000,0.0000,1.079E-7,15.3585,0.0899,0.0336,0.0462,0.1250,3.74E-10
Euchlaena_amoenaria,65,3.4535,4.1095,500,0.9937,8,3.0463,0.9598,0.0225,10065,3.8574,2.3152,2.8715,1.8041,4.7820,3.9768,15.2483,3.0312,0.7753,1.6973,0.0000,10.2751,9.1273,1.5598,19.3938,1.8166,0.0000,0.0074,0.3399,0.0816,0.2797,1.7449,11.6036,0.3796,0.3341,1.5323,0.2921,0.0044,0.8031,0.0000,0.0655,5.8159,0.0149,1.0000,0.0027,0.2993,0.0000,0.0000,6.432E-5,5.0000,0.0170,0.1152,0.0000,0.2500,5.304E-5,10.0000,0.0460,0.0575,0.0154,0.2500,9.172E-7,7.4363,0.0295,0.0799,0.0000,0.2500,6.313E-6,31.6275,0.3549,0.0087,0.0923,0.2500,1.232E-11,14.8572,0.0899,0.0341,0.0308,0.2500,4.133E-8,13.5983,0.0780,0.0387,0.0154,0.2500,8.858E-8,3.5288,0.0111,0.1501,0.0000,0.2500,2.435E-4,3.5259,0.0111,0.1501,0.0000,0.0000,2.58E-7,4.0449,0.0132,0.1361,0.0000,0.2500,1.39E-4,15.1301,0.0937,0.0333,0.0462,0.2500,3.593E-8
Euchlaena_amoenaria,65,3.4996,4.1697,500,0.9944,8,2.7023,0.9450,0.0357,10065,7.6633,3.3298,6.2042,0.9670,5.5715,5.7691,13.7738,1.8654,0.0377,1.7355,0.0686,7.4256,9.5299,1.4265,26.5299,1.8128,0.0519,0.0123,0.2939,2.2188,0.0689,0.6037,0.1369,0.3443,0.5776,0.9254,0.2056,0.2017,0.4127,0.2357,0.0000,5.7604,0.0140,1.0000,0.0026,0.2805,0.0000,0.1250,8.243E-4,5.0000,0.0174,0.1022,0.0000,0.2500,2.662E-5,10.0000,0.0497,0.0506,0.0154,0.2500,4.287E-7,8.3464,0.0368,0.0621,0.0000,0.2500,1.439E-6,27.1513,0.3048,0.0104,0.0769,0.2500,3.545E-11,14.6456,0.0914,0.0308,0.0308,0.2500,2.266E-8,20.8188,0.1720,0.0172,0.0308,0.2500,7.009E-10,3.9262,0.0125,0.1250,0.0000,0.1250,3.395E-6,4.7806,0.0162,0.1063,0.0000,0.1250,1.113E-6,3.9142,0.0124,0.1253,0.0000,0.1250,3.451E-6,14.4248,0.0894,0.0315,0.0308,0.2500,2.587E-8
Euchlaena_amoenaria,66,3.4084,4.0927,500,0.9939,7,3.8367,0.9906,0.0055,10066,3.9731,4.5209,1.7583,1.8394,4.2756,6.0254,12.0875,1.6185,0.3945,3.4225,0.0806,7.2625,13.6575,1.4941,29.0199,1.9072,0.0000,0.0276,0.3319,1.6976,0.1129,0.4569,0.2573,0.3328,0.2396,1.1751,0.2414,0.0841,1.6786,0.0267,0.0000,5.8424,0.0153,1.0000,0.0027,0.3155,0.0000,0.0000,3.113E-4,5.0000,0.0162,0.1208,0.0000,0.0000,3.754E-7,10.0000,0.0473,0.0602,0.0152,0.0000,2.866E-9,9.5578,0.0431,0.0635,0.0000,0.0000,4.154E-9,30.0516,0.3437,0.0100,0.0909,0.1429,7.082E-12,15.4047,0.0904,0.0340,0.0303,0.1429,1.045E-8,12.0091,0.0622,0.0482,0.0152,0.0000,6.028E-10,12.7672,0.0694,0.0444,0.0303,0.0000,3.405E-10,12.7672,0.0694,0.0444,0.0303,0.0000,3.405E-10,4.2970,0.0135,0.1368,0.0000,0.0000,8.965E-7,15.3471,0.0898,0.0342,0.0303,0.1429,1.082E-8
Euchlaena_amoenaria,67,3.4995,4.1867,500,0.9951,6,2.5679,0.9280,0.0437,10067,4.3794,1.7317,3.6706,1.4414,4.2334,6.3431,17.5431,1.8300,0.0025,2.0253,0.0273,7.5970,10.8574,1.4493,22.2448,2.0912,0.0217,0.0000,1.6921,0.8016,0.4787,1.0068,5.2370,0.4393,0.3314,1.8548,0.2710,0.1118,0.2589,0.0274,0.0000,5.7816,0.0143,1.0000,0.0026,0.2896,0.0000,0.0000,5.894E-4,5.0000,0.0175,0.1078,0.0000,0.3333,1.691E-3,10.0000,0.0479,0.0530,0.0000,0.3333,1.089E-4,12.8447,0.0743,0.0385,0.0000,0.3333,3.109E-5,29.9448,0.3710,0.0092,0.0896,0.3333,1.076E-7,15.3614,0.1021,0.0299,0.0299,0.3333,1.142E-5,12.8447,0.0743,0.0385,0.0000,0.3333,3.109E-5,2.7873,0.0080,0.1667,0.0000,0.1667,6.648E-4,1.0573,0.0027,0.2826,0.0000,0.0000,5.094E-4,3.9496,0.0127,0.1302,0.0000,0.3333,3.464E-3,14.6006,0.0924,0.0322,0.0299,0.3333,1.528E-5
Euchlaena_amoenaria,67,3.4109,4.0739,500,0.9935,6,2.5675,0.9090,0.0775,10067,3.4688,9.3279,4.1790,0.0196,3.4856,5.7937,16.0161,4.2694,0.7609,2.0016,0.0185,7.9217,9.2125,0.5195,24.8915,1.6386,0.0093,0.0000,0.2927,2.0076,0.1501,1.2693,0.4263,0.3569,0.3082,1.0182,0.2306,0.0348,0.3445,0.0115,0.0151,5.8342,0.0152,1.0000,0.0026,0.3153,0.0000,0.1667,1.378E-2,5.0000,0.0162,0.1168,0.0000,0.1667,1.178E-4,10.0000,0.0476,0.0582,0.0299,0.1667,3.815E-6,8.2885,0.0357,0.0717,0.0000,0.1667,1.07E-5,28.7475,0.3291,0.0108,0.0896,0.3333,2.026E-7,15.5616,0.1008,0.0321,0.0299,0.1667,1.986E-7,15.5616,0.1008,0.0321,0.0299,0.1667,1.986E-7,3.1991,0.0091,0.1667,0.0000,0.1667,6.648E-4,25.4988,0.2459,0.0135,0.0597,0.1667,2.669E-9,4.3473,0.0134,0.1317,0.0000,0.1667,2.118E-4,14.9941,0.0923,0.0339,0.0299,0.1667,2.6E-7
Euchlaena_amoenaria,66,3.4282,4.1138,500,0.9938,7,3.6256,0.9856,0.0080,10066,7.0921,4.6586,1.9676,0.2556,3.5115,2.9537,15.2216,3.6083,0.8771,2.0922,0.0041,8.3298,11.3037,1.4133,19.8980,1.7779,0.0013,0.0000,0.2328,1.3762,0.3692,1.8874,7.7987,0.5066,0.2982,1.4301,0.2885,0.1379,0.6217,0.0730,0.0135,5.8477,0.0153,1.0000,0.0027,0.3164,0.0000,0.0000,3.175E-4,5.0000,0.0165,0.1199,0.0000,0.0000,3.564E-7,10.0000,0.0460,0.0599,0.0152,0.1429,3.069E-7,7.0786,0.0274,0.0871,0.0000,0.0000,3.811E-8,30.1367,0.3347,0.0098,0.0909,0.2857,1.901E-9,16.4905,0.1072,0.0303,0.0303,0.1429,5.276E-9,19.8114,0.1489,0.0223,0.0303,0.2857,1.104E-7,9.8187,0.0448,0.0612,0.0152,0.0000,3.214E-9,9.8187,0.0448,0.0612,0.0152,0.0000,3.214E-9,4.3201,0.0136,0.1354,0.0000,0.0000,8.346E-7,15.1748,0.0931,0.0344,0.0303,0.1429,1.121E-8
Euchlaena_amoenaria,66,3.4485,4.0839,500,0.9933,7,2.9815,0.9788,0.0089,10066,2.1960,6.1235,6.3019,1.0039,4.0106,5.7444,11.5665,3.6728,0.9730,0.2008,0.0000,8.2250,8.1617,1.3854,31.3839,1.7619,0.0097,0.0000,0.3669,1.1233,1.2558,1.5199,0.1206,0.3548,0.3958,1.0570,0.2650,0.0836,0.7249,0.0113,0.0000,5.8049,0.0147,1.0000,0.0026,0.2947,0.0000,0.0000,1.928E-4,5.0000,0.0166,0.1098,0.0000,0.0000,1.921E-7,10.0000,0.0502,0.0551,0.0152,0.1429,1.874E-7,6.9479,0.0280,0.0807,0.0000,0.0000,2.223E-8,23.8409,0.2149,0.0149,0.0909,0.4286,1.665E-6,13.6551,0.0821,0.0374,0.0303,0.1429,1.841E-8,13.5214,0.0806,0.0378,0.0152,0.1429,1.961E-8,8.2618,0.0378,0.0676,0.0152,0.0000,6.42E-9,8.2618,0.0378,0.0676,0.0152,0.0000,6.42E-9,4.1100,0.0130,0.1297,0.0000,0.0000,6.189E-7,14.9847,0.0978,0.0329,0.0455,0.2857,7.637E-7
