Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Eunotia_rhomboidea,97,2.5223,3.1551,500,0.9864,11,2.2715,0.9648,0.0157,10096,4.2596,0.1392,0.0194,0.1875,1.7697,1.4107,1.1049,0.8926,1.3571,6.8100,11.0543,0.7946,0.9868,1.5231,1.7018,1.2397,0.0942,0.0900,0.9261,0.8183,0.3425,3.0892,1.8176,0.3229,0.6051,34.1426,0.3203,2.2289,19.6532,0.2591,0.0389,6.7583,0.0400,1.0000,0.0048,0.4561,0.0000,0.0000,1.778E-4,5.0000,0.0306,0.1952,0.0000,0.0909,7.276E-7,10.0000,0.0772,0.1129,0.0000,0.0909,3.326E-9,12.1954,0.1007,0.0936,0.0000,0.0909,5.195E-10,25.7554,0.2870,0.0398,0.0928,0.1818,1.286E-11,22.9419,0.2442,0.0466,0.0515,0.0909,5.036E-13,17.1362,0.1683,0.0659,0.0103,0.0909,1.59E-11,12.5566,0.1056,0.0909,0.0103,0.0909,3.898E-10,25.2238,0.2783,0.0410,0.0928,0.0909,1.424E-13,5.2926,0.0329,0.1877,0.0000,0.0909,4.952E-7,13.3839,0.1179,0.0853,0.0103,0.0909,2.065E-10
Eunotia_rhomboidea,97,2.6011,3.2082,500,0.9867,11,1.5641,0.9139,0.0480,10096,2.7780,0.5650,1.4720,0.4196,2.0647,1.9721,1.0819,0.6823,2.1046,7.4223,11.1024,0.5595,1.1501,1.4798,1.4789,0.7464,0.0155,0.2172,1.7557,0.4804,0.5219,2.4977,1.3292,0.5320,0.9678,28.0058,0.7735,2.4211,23.0456,0.3308,0.0264,6.6965,0.0376,1.0000,0.0048,0.4215,0.0000,0.0909,1.2E-3,5.0000,0.0309,0.1810,0.0000,0.0909,3.461E-7,10.0000,0.0785,0.1043,0.0000,0.1818,6.596E-8,10.0997,0.0792,0.1034,0.0000,0.1818,6.117E-8,28.0911,0.3183,0.0336,0.0928,0.3636,1.41E-8,20.7755,0.2289,0.0493,0.0515,0.1818,8.683E-11,14.3752,0.1340,0.0732,0.0103,0.1818,2.895E-9,5.1079,0.0316,0.1783,0.0000,0.1818,7.059E-6,21.6132,0.2379,0.0470,0.0515,0.1818,5.698E-11,5.1070,0.0316,0.1783,0.0000,0.0909,2.991E-7,13.1571,0.1157,0.0801,0.0103,0.1818,6.45E-9
Eunotia_rhomboidea,97,2.6141,3.1977,500,0.9864,11,1.5211,0.9182,0.0387,10096,1.0869,0.9651,1.8897,0.5323,2.0201,0.8915,0.1246,0.6033,1.1389,9.0713,11.6213,0.5112,0.8961,1.8469,1.1592,0.6056,0.0000,0.0235,1.0329,0.6132,0.3503,3.0096,1.1532,0.3413,0.8122,34.2168,0.6413,1.8101,20.6906,0.2271,0.1139,6.6752,0.0368,1.0000,0.0045,0.3876,0.0000,0.0909,5.449E-4,5.0000,0.0353,0.1652,0.0000,0.1818,3.657E-6,10.0000,0.0864,0.0981,0.0206,0.1818,3.833E-8,8.2492,0.0657,0.1147,0.0000,0.1818,1.52E-7,25.9047,0.2949,0.0366,0.0928,0.4545,9.544E-7,21.5364,0.2300,0.0466,0.0515,0.3636,1.324E-7,20.4137,0.2147,0.0495,0.0309,0.3636,2.02E-7,4.6051,0.0318,0.1742,0.0000,0.1818,5.787E-6,13.8494,0.1392,0.0735,0.0206,0.1818,3.001E-9,4.4635,0.0304,0.1777,0.0000,0.0909,2.895E-7,12.9082,0.1237,0.0784,0.0206,0.1818,5.345E-9
Eunotia_rhomboidea,97,2.5696,3.1831,500,0.9862,11,1.3682,0.8584,0.0720,10096,1.1800,1.6591,1.8565,0.0539,2.0951,1.4924,0.9868,0.3496,1.6567,7.0292,9.2701,0.5342,0.9868,1.4399,2.5240,0.8617,0.0570,0.1195,0.8894,0.2841,0.5411,4.3145,0.8758,0.1478,0.7400,32.9670,0.4870,3.0772,21.1389,0.3848,0.0000,6.7327,0.0386,1.0000,0.0044,0.4832,0.0000,0.0909,4.277E-3,5.0000,0.0271,0.1978,0.0000,0.1818,1.723E-5,10.0000,0.0725,0.1094,0.0103,0.3636,4.131E-5,9.4236,0.0664,0.1158,0.0000,0.2727,3.85E-6,27.1480,0.3106,0.0345,0.0928,0.4545,6.671E-7,20.0109,0.2152,0.0515,0.0515,0.3636,2.639E-7,17.2738,0.1702,0.0611,0.0206,0.3636,8.436E-7,5.2778,0.0292,0.1899,0.0000,0.1818,1.213E-5,5.2778,0.0292,0.1899,0.0000,0.1818,1.213E-5,5.6770,0.0322,0.1794,0.0000,0.2727,1.052E-4,13.0808,0.1086,0.0831,0.0206,0.3636,6.682E-6
Eunotia_rhomboidea,97,2.5926,3.1731,500,0.9863,11,1.6250,0.9290,0.0322,10096,2.0499,1.2936,0.2157,0.1422,2.1602,2.0283,0.9203,1.1421,4.1996,6.8135,9.3319,1.1315,0.9520,1.5048,3.0157,0.8320,0.0784,0.1498,1.2423,0.4904,0.8524,2.6419,1.4958,0.5018,0.6894,28.1741,0.5277,4.1688,20.6837,0.5630,0.0072,6.7229,0.0385,1.0000,0.0047,0.4467,0.0000,0.0000,1.414E-4,5.0000,0.0301,0.1897,0.0000,0.1818,1.203E-5,10.0000,0.0755,0.1095,0.0000,0.1818,1.016E-7,13.7012,0.1180,0.0803,0.0000,0.2727,2.291E-7,26.1525,0.3022,0.0372,0.0928,0.2727,5.52E-10,20.3803,0.2089,0.0515,0.0515,0.2727,7.101E-9,13.7012,0.1180,0.0803,0.0000,0.2727,2.291E-7,5.3077,0.0328,0.1819,0.0000,0.1818,8.371E-6,12.7235,0.1040,0.0867,0.0000,0.1818,1.29E-8,5.2270,0.0319,0.1838,0.0000,0.1818,9.19E-6,13.3830,0.1147,0.0823,0.0000,0.2727,2.768E-7
Eunotia_rhomboidea,97,2.5402,3.1263,500,0.9850,11,2.0284,0.9591,0.0143,10096,0.9303,0.7689,1.2615,0.3677,2.3720,1.6524,1.0720,0.9438,5.4612,6.5960,6.5641,0.1563,0.9408,1.4677,1.0978,0.8803,0.0433,0.0979,0.8212,0.3370,0.4926,2.1196,2.7112,0.7119,0.1759,33.6260,0.7386,3.0351,22.3284,0.1883,0.0401,6.7436,0.0393,1.0000,0.0043,0.4773,0.0000,0.0000,2.93E-4,5.0000,0.0289,0.1977,0.0000,0.0000,1.804E-8,10.0000,0.0742,0.1125,0.0103,0.0909,3.212E-9,8.7371,0.0613,0.1273,0.0000,0.0909,1.085E-8,26.8719,0.3008,0.0370,0.0928,0.3636,2.769E-8,20.8712,0.2175,0.0515,0.0515,0.1818,1.276E-10,14.8319,0.1337,0.0760,0.0206,0.1818,4.024E-9,12.4547,0.1014,0.0909,0.0206,0.0909,3.898E-10,6.0663,0.0375,0.1715,0.0000,0.0000,3.764E-9,5.4229,0.0325,0.1865,0.0000,0.0000,9.5E-9,13.4762,0.1169,0.0840,0.0206,0.1818,9.78E-9
Eunotia_rhomboidea,97,2.6237,3.2060,500,0.9867,11,1.1130,0.9221,0.0202,10097,2.1802,1.5968,1.4660,0.0319,1.6627,1.8035,1.3705,0.6422,1.9006,8.9562,11.0344,0.3985,0.6977,1.7095,0.5356,0.8716,0.0126,0.0803,1.0225,0.7225,0.3250,4.2373,0.8110,0.0858,0.4528,33.5807,0.3399,3.2945,17.9134,0.1943,0.0693,6.6785,0.0366,1.0000,0.0044,0.4441,0.0000,0.0000,1.325E-4,5.0000,0.0285,0.1814,0.0000,0.0909,3.552E-7,10.0000,0.0758,0.1014,0.0000,0.4545,3.196E-4,12.3819,0.1035,0.0823,0.0000,0.4545,9.972E-5,28.9586,0.3513,0.0296,0.0928,0.6364,2.147E-4,19.8459,0.2076,0.0488,0.0515,0.4545,5.057E-6,12.3819,0.1035,0.0823,0.0000,0.4545,9.972E-5,5.8490,0.0353,0.1611,0.0000,0.1818,2.945E-6,4.2619,0.0228,0.2036,0.0000,0.0000,2.495E-8,5.2322,0.0305,0.1755,0.0000,0.0909,2.562E-7,12.9296,0.1122,0.0787,0.0206,0.4545,7.77E-5
Eunotia_rhomboidea,97,2.6296,3.2101,500,0.9868,11,0.9235,0.8709,0.0738,10096,5.1198,2.8191,0.0599,0.1189,1.5104,1.2651,0.9929,0.7151,3.3515,2.4594,7.8679,0.4540,0.6712,0.4314,0.6571,0.8067,0.0494,0.0720,1.6677,0.4405,0.2355,3.4339,1.4743,0.4482,1.0603,34.1655,0.4313,3.0830,23.4780,0.4302,0.2295,6.6864,0.0372,1.0000,0.0048,0.4189,0.0000,0.0909,1.133E-3,5.0000,0.0303,0.1797,0.0000,0.0909,3.227E-7,10.0000,0.0789,0.1026,0.0000,0.2727,1.523E-6,11.3891,0.0930,0.0908,0.0000,0.3636,1.209E-5,25.1310,0.2807,0.0379,0.0928,0.5455,2.995E-5,20.0177,0.2083,0.0504,0.0515,0.5455,1.164E-4,14.5231,0.1403,0.0716,0.0103,0.3636,2.462E-6,8.7932,0.0637,0.1150,0.0000,0.0909,3.984E-9,8.7932,0.0637,0.1150,0.0000,0.0909,3.984E-9,5.0423,0.0308,0.1787,0.0000,0.0909,3.057E-7,13.0816,0.1173,0.0793,0.0103,0.3636,4.899E-6
Eunotia_rhomboidea,98,2.4703,3.0843,500,0.9848,10,2.9005,0.9758,0.0107,10097,2.7488,1.8665,0.8768,2.2275,1.5776,1.2609,0.5921,0.9525,4.1762,6.6594,9.9266,0.6436,0.7093,1.5382,0.8794,0.8953,0.0568,0.1123,1.1791,0.2995,0.5296,2.8701,1.0431,0.3110,0.3801,30.1367,0.6056,2.1950,22.3945,0.3309,0.0248,6.8087,0.0419,1.0000,0.0050,0.4600,0.0000,0.0000,4.246E-4,5.0000,0.0313,0.1963,0.0000,0.0000,8.494E-8,10.0000,0.0811,0.1138,0.0000,0.0000,3.641E-10,10.1689,0.0834,0.1121,0.0000,0.0000,3.137E-10,23.7067,0.2669,0.0458,0.0918,0.2000,7.957E-10,20.0342,0.2208,0.0562,0.0612,0.2000,4.017E-9,14.0496,0.1303,0.0825,0.0102,0.1000,1.639E-9,11.5393,0.1007,0.1000,0.0102,0.1000,9.124E-9,11.2847,0.0981,0.1020,0.0102,0.0000,1.22E-10,5.3862,0.0346,0.1862,0.0000,0.0000,5.008E-8,12.9368,0.1158,0.0896,0.0102,0.1000,3.432E-9
Eunotia_rhomboidea,98,2.6298,3.2219,500,0.9869,10,0.8020,0.8969,0.0378,10097,5.3534,1.6694,1.4481,0.4452,2.1853,1.4354,0.9811,0.4659,1.4781,4.9163,13.3068,0.3514,0.9551,1.6392,2.4758,1.0881,0.0552,0.0377,1.4037,0.3880,0.2194,2.5964,2.0186,0.5177,0.5880,27.7608,0.6703,2.6967,20.4678,0.3001,0.0846,6.6740,0.0366,1.0000,0.0044,0.4424,0.0000,0.0000,2.872E-4,5.0000,0.0282,0.1813,0.0000,0.2000,3.704E-5,10.0000,0.0775,0.1020,0.0000,0.3000,1.043E-5,10.3487,0.0813,0.0989,0.0000,0.3000,8.492E-6,24.3108,0.2735,0.0385,0.0918,0.5000,1.817E-5,20.1756,0.2076,0.0488,0.0510,0.4000,2.399E-6,17.0087,0.1674,0.0596,0.0204,0.4000,7.65E-6,4.3685,0.0235,0.2000,0.0000,0.2000,7.781E-5,7.4841,0.0499,0.1315,0.0000,0.2000,3.143E-6,5.3081,0.0303,0.1733,0.0000,0.2000,2.623E-5,13.1545,0.1146,0.0783,0.0204,0.3000,1.757E-6
