Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Eupatorium_steelei,32,1.8411,2.8579,500,0.9771,4,-0.5464,0.6882,0.1783,10032,6.3287,0.9325,1.3917,2.2863,10.7760,16.8910,4.5449,1.1131,0.8270,4.3263,0.6974,4.5741,17.9810,5.8330,1.1972,0.1842,0.8589,4.6081,0.5394,2.2211,0.1364,5.8257,0.0000,0.2245,0.0000,4.3643,0.8241,0.0049,0.2562,0.2519,0.0000,7.3838,0.0787,1.0000,0.0117,0.6549,0.0000,0.2500,5.717E-1,5.0000,0.0407,0.3922,0.0000,0.2500,1.704E-1,10.0000,0.0772,0.2582,0.0000,0.2500,5.55E-2,14.4825,0.1131,0.1889,0.0000,0.5000,1.64E-1,36.1948,0.3559,0.0534,0.0938,0.7500,1.972E-1,33.3916,0.3121,0.0625,0.0625,0.7500,2.275E-1,33.4482,0.3129,0.0622,0.0625,0.7500,2.265E-1,10.4374,0.0807,0.2500,0.0000,0.2500,5.078E-2,12.5165,0.0976,0.2157,0.0000,0.2500,3.365E-2,7.8186,0.0603,0.3057,0.0000,0.2500,8.809E-2,17.0326,0.1382,0.1604,0.0312,0.5000,1.233E-1
Eupatorium_steelei,32,1.8908,2.9565,500,0.9786,4,-1.2017,0.5912,0.1605,10032,4.7372,1.7197,0.2863,0.7412,13.5513,14.3428,3.4593,1.0649,0.0040,6.2437,0.7461,7.1538,17.8643,5.0219,0.5208,0.7686,1.0019,0.7557,1.2296,7.5951,0.2521,6.8303,0.0000,1.6418,0.0000,0.6648,0.3399,0.1504,1.0412,0.2711,0.0000,7.3366,0.0749,1.0000,0.0107,0.6203,0.0000,0.2500,5.106E-1,5.0000,0.0416,0.3605,0.0000,0.5000,4.557E-1,10.0000,0.0790,0.2364,0.0000,0.5000,2.391E-1,12.0198,0.0955,0.2039,0.0000,0.5000,1.869E-1,38.3008,0.3970,0.0463,0.0938,0.7500,1.726E-1,32.3515,0.3277,0.0625,0.0625,0.7500,2.275E-1,31.0401,0.3114,0.0667,0.0312,0.7500,2.412E-1,2.2102,0.0206,0.5000,0.0000,0.5000,6.875E-1,13.4464,0.1070,0.1844,0.0312,0.5000,1.573E-1,7.1513,0.0577,0.2969,0.0000,0.5000,3.427E-1,16.2726,0.1349,0.1530,0.0312,0.7500,4.853E-1
Eupatorium_steelei,32,1.6571,2.5594,500,0.9579,4,1.5130,0.9563,0.0086,10032,2.8807,2.1897,1.6506,0.3682,11.3933,18.2312,5.9146,0.7420,1.7152,8.6542,0.9809,4.0315,16.1323,5.8923,0.0038,0.1938,1.5740,3.0166,0.3414,2.5197,0.2967,5.4032,0.0425,0.9897,0.0000,3.6084,0.3321,0.0000,0.6278,0.2737,0.0000,7.5735,0.0963,1.0000,0.0148,0.7129,0.0000,0.0000,2.583E-1,5.0000,0.0469,0.4465,0.0000,0.0000,3.974E-2,10.0000,0.0855,0.3051,0.0625,0.0000,8.668E-3,8.6064,0.0750,0.3362,0.0000,0.0000,1.278E-2,28.9874,0.2665,0.1017,0.0938,0.0000,1.069E-4,28.9874,0.2665,0.1017,0.0938,0.0000,1.069E-4,26.6808,0.2406,0.1149,0.0625,0.0000,1.745E-4,38.9022,0.3790,0.0602,0.1562,0.0000,1.314E-5,38.9022,0.3790,0.0602,0.1562,0.0000,1.314E-5,8.1665,0.0720,0.3470,0.0000,0.0000,1.45E-2,17.2246,0.1471,0.1940,0.0625,0.0000,1.416E-3
Eupatorium_steelei,32,1.9092,2.8558,500,0.9643,4,-0.8429,0.6900,0.0922,10032,4.4757,1.2025,3.1289,0.8869,10.8896,15.6152,7.9611,0.4380,0.0016,9.6106,0.8257,6.9777,16.2041,4.4850,0.1418,0.2268,0.4855,0.0150,0.6141,6.8513,0.0933,4.8240,0.1201,2.5288,0.0562,0.5529,0.2999,0.0828,0.0071,0.3595,0.0383,7.3195,0.0732,1.0000,0.0101,0.6523,0.0000,0.0000,1.811E-1,5.0000,0.0378,0.3695,0.0312,0.2500,1.459E-1,10.0000,0.0752,0.2368,0.0625,0.5000,2.397E-1,4.8455,0.0365,0.3756,0.0000,0.2500,1.522E-1,30.9770,0.3115,0.0636,0.0938,1.0000,1E0,28.0040,0.2702,0.0746,0.0625,1.0000,1E0,28.0040,0.2702,0.0746,0.0625,1.0000,1E0,5.3762,0.0402,0.3556,0.0312,0.2500,1.319E-1,1.5651,0.0139,0.5815,0.0000,0.0000,1.144E-1,4.8455,0.0365,0.3756,0.0000,0.2500,1.522E-1,16.3209,0.1312,0.1504,0.0625,0.7500,4.79E-1
Eupatorium_steelei,32,1.6546,2.5135,500,0.9608,4,0.6662,0.7702,0.1244,10032,2.9174,0.6411,1.1120,0.0653,12.3976,17.0446,6.3438,0.1686,0.0796,10.5075,0.9540,7.3955,15.2215,5.3583,0.5855,1.1849,1.3675,0.7352,0.3833,7.2392,0.2225,4.6862,0.0000,2.4275,0.0175,0.2058,0.4550,0.0161,0.0086,0.1828,0.0755,7.5634,0.0948,1.0000,0.0142,0.6887,0.0000,0.0000,2.25E-1,5.0000,0.0483,0.4272,0.0000,0.2500,2.12E-1,10.0000,0.0909,0.2936,0.0625,0.2500,7.891E-2,7.5747,0.0692,0.3475,0.0000,0.2500,1.241E-1,33.3803,0.3157,0.0782,0.0938,0.5000,3.302E-2,31.3947,0.2957,0.0869,0.0938,0.5000,4.025E-2,31.3947,0.2957,0.0869,0.0625,0.5000,4.025E-2,10.5553,0.0960,0.2832,0.0625,0.2500,7.155E-2,61.8136,0.6616,0.0161,0.4688,0.5000,1.531E-3,7.5747,0.0692,0.3475,0.0000,0.2500,1.241E-1,16.9297,0.1479,0.1920,0.0625,0.5000,1.686E-1
Eupatorium_steelei,32,1.6354,2.5112,500,0.9614,4,0.1368,0.6954,0.2001,10032,0.5253,0.5909,2.6162,0.1305,9.2653,15.5209,3.4244,0.3168,0.0002,13.6881,0.3542,5.6293,20.9542,4.2135,0.0296,1.7989,1.5998,0.4640,0.6589,3.7057,1.0420,3.9116,0.1026,3.1231,0.0000,5.8384,0.0962,0.0110,0.0217,0.3669,0.0000,7.5794,0.0958,1.0000,0.0146,0.6727,0.0000,0.2500,6.034E-1,5.0000,0.0506,0.4167,0.0000,0.2500,1.989E-1,10.0000,0.0916,0.2852,0.0312,0.2500,7.293E-2,8.5425,0.0801,0.3156,0.0000,0.2500,9.597E-2,32.5556,0.3223,0.0804,0.0938,0.5000,3.479E-2,29.5834,0.2865,0.0938,0.0938,0.5000,4.642E-2,32.5556,0.3223,0.0804,0.0938,0.5000,3.479E-2,11.9929,0.1075,0.2500,0.0625,0.2500,5.078E-2,13.2701,0.1198,0.2306,0.0625,0.2500,4.055E-2,7.6272,0.0724,0.3372,0.0000,0.2500,1.146E-1,16.0439,0.1460,0.1951,0.0625,0.5000,1.733E-1
Eupatorium_steelei,33,1.8139,2.7573,500,0.9570,3,-0.9102,0.6252,0.2012,10033,1.7706,1.8443,1.4130,0.6977,12.8192,12.6439,7.6613,0.2702,0.1435,11.2725,0.8474,6.2858,19.8596,3.7028,0.1541,0.1872,1.2047,0.3111,0.5229,2.8768,0.3921,7.0197,0.0000,1.9599,0.0000,3.5639,0.0887,0.0000,0.1099,0.3772,0.0000,7.4082,0.0807,1.0000,0.0115,0.6763,0.0000,0.3333,7.534E-1,5.0000,0.0413,0.4042,0.0303,0.3333,3.58E-1,10.0000,0.0769,0.2678,0.0606,0.3333,1.768E-1,4.8001,0.0399,0.4118,0.0000,0.3333,3.691E-1,22.7286,0.1912,0.1168,0.0909,0.6667,3.111E-1,22.7430,0.1912,0.1167,0.1212,0.6667,3.109E-1,22.0298,0.1837,0.1217,0.0606,0.6667,3.225E-1,7.1848,0.0562,0.3333,0.0606,0.3333,2.592E-1,12.8854,0.0987,0.2182,0.0606,0.3333,1.22E-1,4.8001,0.0399,0.4118,0.0000,0.3333,3.691E-1,17.1901,0.1360,0.1644,0.0606,0.6667,4.165E-1
Eupatorium_steelei,33,1.8466,2.8383,500,0.9610,3,-0.9061,0.6910,0.0489,10033,4.6306,1.7850,0.7366,1.2500,12.7818,19.2125,5.0064,0.9202,0.0043,6.3048,0.8866,4.8966,15.0923,5.3685,0.1763,1.0416,1.4078,0.7731,1.1494,5.7382,0.1226,6.6086,0.1725,2.4558,0.0192,0.6958,0.3034,0.1093,0.0756,0.2747,0.0000,7.3721,0.0779,1.0000,0.0110,0.6686,0.0000,0.0000,2.989E-1,5.0000,0.0393,0.3919,0.0303,0.3333,3.404E-1,10.0000,0.0764,0.2579,0.0606,0.6667,5.914E-1,2.1316,0.0193,0.5495,0.0000,0.0000,1.659E-1,37.3325,0.3757,0.0506,0.0909,1.0000,1E0,28.1838,0.2515,0.0830,0.0909,1.0000,1E0,37.3325,0.3757,0.0506,0.0909,1.0000,1E0,6.7668,0.0526,0.3333,0.0303,0.3333,2.592E-1,4.5004,0.0357,0.4123,0.0303,0.0000,7.011E-2,2.1316,0.0193,0.5495,0.0000,0.0000,1.659E-1,17.2052,0.1371,0.1586,0.0606,1.0000,1E0
Eupatorium_steelei,33,1.6352,2.5518,500,0.9574,3,1.8127,0.9650,0.0102,10033,0.8150,2.8255,0.4786,2.0017,11.0998,14.2916,6.3302,0.4144,0.0000,10.6965,0.8560,4.1184,20.7327,5.7257,0.3214,0.6964,1.7026,0.9057,0.4830,2.2931,0.5050,5.4578,0.0000,2.3827,0.0000,4.2894,0.1815,0.0000,0.0911,0.3043,0.0000,7.5819,0.0965,1.0000,0.0143,0.6899,0.0000,0.0000,3.284E-1,5.0000,0.0488,0.4244,0.0303,0.0000,7.644E-2,10.0000,0.0908,0.2898,0.0606,0.0000,2.435E-2,4.9709,0.0485,0.4255,0.0000,0.0000,7.703E-2,27.5415,0.2650,0.1061,0.0909,0.0000,1.193E-3,27.5415,0.2650,0.1061,0.0909,0.0000,1.193E-3,27.4865,0.2644,0.1062,0.0606,0.0000,1.199E-3,41.1606,0.4249,0.0534,0.1515,0.0000,1.525E-4,41.1606,0.4249,0.0534,0.1515,0.0000,1.525E-4,4.9709,0.0485,0.4255,0.0000,0.0000,7.703E-2,16.2832,0.1462,0.1956,0.0606,0.0000,7.478E-3
Eupatorium_steelei,33,1.6782,2.5993,500,0.9602,3,1.2899,0.9239,0.0291,10033,6.9696,0.9548,0.0430,1.7710,15.0536,18.3831,7.3016,0.6061,0.0133,3.2091,1.1899,4.3754,16.9594,4.9533,0.4071,1.0494,0.8497,0.1773,0.4403,3.8488,0.8020,6.4566,0.0000,3.2817,0.0294,0.2723,0.1389,0.0117,0.0844,0.3608,0.0063,7.5465,0.0936,1.0000,0.0141,0.7064,0.0000,0.0000,3.524E-1,5.0000,0.0454,0.4395,0.0000,0.0000,8.492E-2,10.0000,0.0852,0.2998,0.0606,0.0000,2.695E-2,7.1486,0.0625,0.3681,0.0000,0.0000,4.987E-2,30.2246,0.2759,0.0923,0.0909,0.6667,2.521E-1,30.2246,0.2759,0.0923,0.0909,0.6667,2.521E-1,28.7422,0.2567,0.1001,0.0606,0.3333,2.804E-2,24.9813,0.2142,0.1231,0.0606,0.0000,1.865E-3,24.9813,0.2142,0.1231,0.0606,0.0000,1.865E-3,7.1486,0.0625,0.3681,0.0000,0.0000,4.987E-2,17.4507,0.1475,0.1888,0.0606,0.0000,6.727E-3
