Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Euphorbia_corollata,62,3.3900,3.9894,500,0.9924,7,3.0005,0.9554,0.0260,10062,1.6087,1.2825,0.0065,0.2759,0.8751,3.3258,0.7616,18.0985,0.6030,3.4524,0.9508,0.2855,8.2391,17.8415,1.8547,0.4783,0.9930,0.1495,0.1896,2.7499,31.1275,0.0925,1.2552,0.3168,0.1087,0.1268,0.3079,0.1752,1.8064,0.4689,0.1922,5.8793,0.0160,1.0000,0.0036,0.2902,0.0000,0.0000,1.733E-4,5.0000,0.0187,0.1328,0.0000,0.1429,3.399E-5,10.0000,0.0433,0.0718,0.0161,0.2857,3.532E-5,5.6684,0.0214,0.1210,0.0000,0.1429,1.974E-5,28.0471,0.2597,0.0126,0.0968,0.4286,8.616E-7,16.9686,0.0933,0.0343,0.0323,0.2857,9.391E-7,14.3382,0.0688,0.0448,0.0161,0.2857,3.521E-6,4.4930,0.0166,0.1428,0.0000,0.1429,5.212E-5,2.7682,0.0098,0.1902,0.0000,0.0000,9.012E-6,3.9202,0.0140,0.1559,0.0000,0.1429,8.718E-5,16.6286,0.0913,0.0355,0.0323,0.2857,1.112E-6
Euphorbia_corollata,62,3.5030,4.1099,500,0.9942,7,0.7846,0.8830,0.0373,10062,0.6976,0.2559,0.1602,0.0377,1.3316,3.4296,0.4960,18.5794,2.1613,1.8312,1.0004,0.4527,13.0499,10.1727,2.4397,0.3936,0.9231,0.4725,0.2492,2.5812,34.6009,0.0000,0.4395,0.4597,0.0617,0.4132,0.3726,0.0770,2.0553,0.5897,0.2150,5.7794,0.0144,1.0000,0.0035,0.2731,0.0000,0.0000,1.133E-4,5.0000,0.0169,0.1239,0.0000,0.5714,4.529E-2,10.0000,0.0389,0.0612,0.0000,0.5714,6.661E-3,12.2480,0.0544,0.0461,0.0000,0.5714,2.983E-3,28.0123,0.3070,0.0107,0.0968,0.5714,4.19E-5,15.3286,0.0841,0.0323,0.0323,0.5714,1.069E-3,12.2480,0.0544,0.0461,0.0000,0.5714,2.983E-3,1.7555,0.0062,0.2219,0.0000,0.2857,7.521E-3,1.7410,0.0061,0.2226,0.0000,0.0000,2.71E-5,3.8034,0.0127,0.1498,0.0000,0.5714,7.348E-2,15.3855,0.0843,0.0321,0.0323,0.5714,1.05E-3
Euphorbia_corollata,62,3.2943,3.9051,500,0.9923,7,3.5607,0.9907,0.0044,10062,0.5928,0.5147,0.4063,0.2351,1.3301,4.2752,0.4932,17.7866,0.1996,9.4036,0.7667,0.3201,11.3193,14.4114,1.7281,0.4281,1.0780,0.5726,0.0439,5.3326,25.2565,0.0191,0.4161,0.2525,0.0477,0.2447,0.0415,0.1441,2.1104,0.1974,0.0320,5.9495,0.0172,1.0000,0.0033,0.3335,0.0000,0.0000,4.592E-4,5.0000,0.0175,0.1545,0.0000,0.0000,2.105E-6,10.0000,0.0398,0.0837,0.0000,0.0000,2.873E-8,11.7736,0.0499,0.0692,0.0000,0.0000,7.577E-9,29.8491,0.2801,0.0125,0.0968,0.1429,2.67E-11,16.6845,0.0816,0.0415,0.0484,0.0000,2.135E-10,11.7736,0.0499,0.0692,0.0000,0.0000,7.577E-9,18.1523,0.0958,0.0358,0.0645,0.0000,7.505E-11,18.1523,0.0958,0.0358,0.0645,0.0000,7.505E-11,4.3866,0.0150,0.1688,0.0000,0.0000,3.897E-6,17.5474,0.0909,0.0381,0.0484,0.0000,1.158E-10
Euphorbia_corollata,62,3.3398,3.9282,500,0.9917,7,2.6085,0.9639,0.0203,10062,0.7162,0.1434,0.5223,0.4682,0.8069,3.1096,0.4552,16.7796,1.2624,7.1703,2.0121,0.7266,11.1568,14.8460,2.2529,0.2743,0.9446,0.2295,0.0121,5.4317,27.5270,0.0670,0.4492,0.1375,0.0147,0.2238,0.0356,0.1904,1.6652,0.3626,0.0063,5.9327,0.0169,1.0000,0.0036,0.3101,0.0000,0.0000,2.756E-4,5.0000,0.0186,0.1473,0.0000,0.1429,6.244E-5,10.0000,0.0407,0.0805,0.0323,0.1429,1.774E-6,8.2248,0.0314,0.0983,0.0000,0.1429,5.78E-6,27.8326,0.2269,0.0142,0.0968,0.4286,1.38E-6,16.6969,0.0851,0.0403,0.0484,0.2857,2.098E-6,16.6722,0.0851,0.0403,0.0323,0.2857,2.098E-6,5.2345,0.0193,0.1428,0.0000,0.1429,5.212E-5,4.4584,0.0167,0.1586,0.0000,0.0000,2.526E-6,3.9848,0.0148,0.1697,0.0000,0.0000,4.061E-6,17.4573,0.0939,0.0375,0.0484,0.2857,1.455E-6
Euphorbia_corollata,62,3.3084,3.9131,500,0.9910,7,3.2069,0.9870,0.0050,10062,1.2141,0.0939,0.8216,0.0355,1.3545,4.0520,2.7660,19.5695,0.0090,6.4721,1.7949,0.5319,10.3926,14.1449,1.8899,0.3311,0.7259,0.0043,0.1990,2.4802,26.4731,0.0000,0.1236,0.3293,0.1139,0.1609,0.3893,0.0240,2.5911,0.8940,0.0180,5.9536,0.0173,1.0000,0.0039,0.3153,0.0000,0.0000,3.101E-4,5.0000,0.0185,0.1525,0.0161,0.0000,1.914E-6,10.0000,0.0396,0.0832,0.0161,0.0000,2.756E-8,4.5441,0.0168,0.1622,0.0000,0.0000,2.953E-6,26.5304,0.2058,0.0166,0.0968,0.2857,2.572E-8,16.3092,0.0818,0.0435,0.0484,0.0000,2.962E-10,16.2861,0.0815,0.0435,0.0323,0.0000,2.962E-10,17.6264,0.0920,0.0382,0.0484,0.0000,1.179E-10,17.6264,0.0920,0.0382,0.0484,0.0000,1.179E-10,4.0606,0.0151,0.1736,0.0000,0.0000,4.756E-6,17.6101,0.0919,0.0383,0.0484,0.0000,1.201E-10
Euphorbia_corollata,62,3.2703,3.9072,500,0.9922,7,4.1435,0.9961,0.0011,10062,1.2249,0.3859,0.0089,0.2875,1.2077,3.7078,0.5070,17.2945,0.0008,5.4271,1.0194,1.2240,9.6022,15.5936,3.3424,0.4333,0.8993,0.1662,0.1163,8.1162,24.0526,0.0000,0.5778,0.3998,0.2137,0.4387,0.0379,0.9754,2.0030,0.7188,0.0176,5.9860,0.0180,1.0000,0.0042,0.3054,0.0000,0.0000,2.478E-4,5.0000,0.0197,0.1476,0.0000,0.0000,1.525E-6,10.0000,0.0431,0.0825,0.0000,0.0000,2.599E-8,10.6230,0.0462,0.0772,0.0000,0.0000,1.637E-8,30.6780,0.2980,0.0125,0.0968,0.0000,4.828E-14,15.3406,0.0782,0.0484,0.0484,0.0000,6.222E-10,13.3302,0.0647,0.0587,0.0161,0.0000,2.412E-9,34.6869,0.3851,0.0094,0.1452,0.0000,6.688E-15,34.6869,0.3851,0.0094,0.1452,0.0000,6.688E-15,3.8625,0.0156,0.1726,0.0000,0.0000,4.569E-6,17.4647,0.0933,0.0395,0.0484,0.0000,1.488E-10
Euphorbia_corollata,62,3.3514,3.9726,500,0.9917,7,3.0481,0.9753,0.0164,10062,0.5235,0.6986,0.0458,0.3943,2.2245,3.6987,0.6820,17.9412,0.1234,5.1703,0.9799,0.9536,10.8015,14.9682,1.8561,0.3602,1.0257,0.8315,0.0730,3.1492,28.8299,0.0000,0.6718,0.4805,0.1252,0.2281,0.3849,0.4056,1.7621,0.4615,0.1490,5.9303,0.0168,1.0000,0.0037,0.3130,0.0000,0.0000,2.94E-4,5.0000,0.0182,0.1481,0.0000,0.0000,1.561E-6,10.0000,0.0396,0.0810,0.0161,0.1429,1.839E-6,6.6492,0.0243,0.1197,0.0000,0.1429,1.844E-5,28.9435,0.2848,0.0121,0.0968,0.4286,7.346E-7,14.7606,0.0689,0.0484,0.0484,0.1429,8.625E-8,12.2435,0.0514,0.0632,0.0161,0.1429,4.222E-7,5.9930,0.0221,0.1301,0.0000,0.1429,3.015E-5,5.9873,0.0221,0.1301,0.0000,0.0000,6.306E-7,4.0545,0.0147,0.1695,0.0000,0.0000,4.028E-6,17.2266,0.0873,0.0374,0.0645,0.1429,1.845E-8
Euphorbia_corollata,62,3.4513,4.1057,500,0.9935,7,1.2279,0.9066,0.0537,10062,0.5693,0.5340,0.3329,0.0119,0.6559,4.2112,1.8155,19.0813,0.3109,5.8916,1.5899,0.1830,8.7937,13.7978,4.9449,0.4557,1.4027,0.0389,0.1907,5.0195,25.4366,0.1332,0.2304,0.5709,0.0515,0.3301,0.0275,0.0398,2.5338,0.7989,0.0160,5.7981,0.0147,1.0000,0.0033,0.2749,0.0000,0.1429,2.309E-3,5.0000,0.0174,0.1213,0.0000,0.2857,4.466E-4,10.0000,0.0401,0.0615,0.0161,0.2857,1.666E-5,7.6027,0.0282,0.0843,0.0000,0.2857,7.72E-5,31.8113,0.3836,0.0087,0.0968,0.7143,1.56E-3,15.6863,0.0864,0.0323,0.0323,0.4286,3.522E-5,12.8431,0.0619,0.0441,0.0161,0.4286,1.192E-4,3.9618,0.0137,0.1428,0.0000,0.1429,5.212E-5,4.5370,0.0160,0.1303,0.0000,0.1429,3.042E-5,3.7853,0.0129,0.1471,0.0000,0.1429,6.195E-5,15.5726,0.0851,0.0327,0.0323,0.4286,3.695E-5
Euphorbia_corollata,62,3.3670,3.9894,500,0.9934,7,2.4667,0.9506,0.0290,10062,0.9493,0.1306,0.8466,0.3393,1.6878,3.7803,0.6073,17.5562,0.0913,6.4965,2.1259,1.6054,8.9683,15.3359,3.4746,0.3396,1.1473,0.3974,0.2377,2.9050,27.4066,0.0000,0.2437,0.2180,0.1011,0.2703,0.3350,0.0756,1.8410,0.4145,0.0718,5.8878,0.0162,1.0000,0.0037,0.2776,0.0000,0.0000,1.27E-4,5.0000,0.0193,0.1261,0.0000,0.1429,2.512E-5,10.0000,0.0442,0.0670,0.0000,0.2857,2.525E-5,12.8358,0.0653,0.0491,0.0000,0.2857,5.51E-6,29.1172,0.2932,0.0120,0.0968,0.2857,5.176E-9,14.3444,0.0781,0.0420,0.0484,0.2857,2.568E-6,12.8358,0.0653,0.0491,0.0000,0.2857,5.51E-6,4.1727,0.0161,0.1428,0.0000,0.1429,5.212E-5,1.8047,0.0068,0.2216,0.0000,0.0000,2.626E-5,3.7334,0.0141,0.1531,0.0000,0.1429,7.817E-5,15.9608,0.0933,0.0358,0.0484,0.2857,1.159E-6
Euphorbia_corollata,63,3.3371,3.9159,500,0.9921,6,2.2411,0.8975,0.0875,10063,0.9820,0.3853,0.2713,0.2216,1.6276,3.9400,1.7544,13.1942,0.2976,5.4734,1.4802,0.5030,16.5231,13.6533,3.9194,0.7334,0.1726,0.3018,0.0757,2.5374,27.6741,0.0000,0.6062,0.1028,0.0933,0.2763,0.6284,0.1602,1.8496,0.4229,0.1388,5.9202,0.0168,1.0000,0.0040,0.2857,0.0000,0.1667,8.702E-3,5.0000,0.0197,0.1338,0.0000,0.1667,2.283E-4,10.0000,0.0440,0.0737,0.0159,0.1667,1.227E-5,7.5383,0.0315,0.0973,0.0000,0.1667,4.805E-5,29.4210,0.2769,0.0126,0.0952,0.3333,3.729E-7,15.1699,0.0800,0.0430,0.0476,0.1667,8.533E-7,13.7664,0.0678,0.0495,0.0159,0.1667,1.708E-6,3.5140,0.0136,0.1667,0.0000,0.1667,6.641E-4,27.2859,0.2414,0.0149,0.0952,0.1667,4.361E-9,3.7713,0.0146,0.1600,0.0000,0.1667,5.451E-4,16.7167,0.0931,0.0370,0.0635,0.1667,4.015E-7
