Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Euplexia_benesimilis,137,2.3444,2.9879,500,0.9729,16,2.4285,0.9483,0.0213,10137,2.2775,1.6622,3.5403,0.7175,7.7611,12.2717,4.2304,0.1504,1.8609,4.9588,0.3870,6.8100,5.5478,1.5617,17.8595,3.5087,0.0847,0.3139,0.1858,0.7803,4.0691,4.9826,2.6223,0.0329,0.7820,0.6599,0.2655,1.1524,0.0956,8.8603,0.0071,6.9511,0.0480,1.0000,0.0067,0.6055,0.0000,0.0000,3.265E-4,5.0000,0.0258,0.3136,0.0219,0.0000,8.752E-9,10.0000,0.0563,0.1853,0.0292,0.1250,4.607E-9,2.6381,0.0142,0.4370,0.0000,0.0000,1.77E-6,25.5102,0.2103,0.0538,0.0949,0.1875,1.506E-14,20.3481,0.1475,0.0790,0.0803,0.1875,2.086E-12,24.7043,0.1960,0.0570,0.0803,0.1875,3.203E-14,13.5676,0.0839,0.1353,0.0438,0.1250,6.341E-11,27.0519,0.2291,0.0481,0.1095,0.1875,3.641E-15,2.6381,0.0142,0.4370,0.0000,0.0000,1.77E-6,16.9142,0.1127,0.1030,0.0584,0.1875,6.075E-11
Euplexia_benesimilis,137,2.3199,2.9759,500,0.9715,16,2.6423,0.9623,0.0176,10137,1.5528,5.2370,0.8815,0.8292,7.6646,10.6796,5.6568,0.1277,3.1563,1.5429,0.4512,6.0184,5.6756,1.0861,19.7765,3.5437,0.1839,0.3507,0.1851,0.5449,4.7922,5.7160,2.5440,0.1545,0.8619,0.7555,0.2258,0.6567,0.0477,9.0946,0.0065,6.9983,0.0505,1.0000,0.0071,0.6179,0.0000,0.0000,4.519E-4,5.0000,0.0267,0.3298,0.0219,0.0000,1.957E-8,10.0000,0.0563,0.1974,0.0438,0.1250,1.089E-8,2.1139,0.0127,0.4933,0.0000,0.0000,1.231E-5,26.8967,0.2264,0.0522,0.0949,0.1250,1.206E-16,23.6521,0.1801,0.0662,0.0657,0.1250,3.275E-15,23.6521,0.1801,0.0662,0.0657,0.1250,3.275E-15,15.3219,0.0966,0.1250,0.0511,0.1250,2.126E-11,28.9517,0.2545,0.0452,0.1241,0.1250,1.626E-17,6.3965,0.0342,0.2815,0.0219,0.0000,1.559E-9,17.1669,0.1140,0.1079,0.0584,0.1250,2.822E-12
Euplexia_benesimilis,139,2.3687,3.0867,500,0.9783,14,1.6779,0.8569,0.0662,10139,3.6305,1.1934,2.0903,2.2370,7.1767,11.1073,4.9142,0.0620,1.9137,3.1525,0.3186,6.4019,5.4843,1.5801,18.7627,3.2202,0.0989,0.3229,0.6360,0.2572,4.9644,4.1142,2.1221,0.1950,1.1455,0.7039,0.0961,3.5774,0.3511,8.1472,0.0229,6.9414,0.0473,1.0000,0.0065,0.6021,0.0000,0.0714,8.442E-3,5.0000,0.0256,0.3097,0.0144,0.2143,3.371E-4,10.0000,0.0569,0.1808,0.0216,0.2143,1.426E-6,2.2157,0.0120,0.4655,0.0000,0.1429,3.076E-3,28.0828,0.2518,0.0432,0.0863,0.2857,1.93E-11,24.0815,0.1937,0.0576,0.0576,0.2857,3.245E-10,25.9892,0.2194,0.0501,0.0576,0.2857,8.283E-11,8.2578,0.0446,0.2143,0.0216,0.2143,8.287E-6,31.9676,0.3181,0.0331,0.1151,0.2857,1.415E-12,7.4549,0.0392,0.2332,0.0144,0.2143,1.962E-5,16.6765,0.1099,0.1020,0.0360,0.2857,8.258E-8
Euplexia_benesimilis,138,2.3341,3.0145,500,0.9737,15,2.3610,0.9472,0.0303,10138,2.5590,4.7216,1.3395,0.7506,6.8843,12.4589,4.2579,0.1287,1.0491,2.2097,0.3246,5.5786,6.0740,1.3842,18.3707,3.3807,0.0440,0.3139,0.4781,0.5958,5.2631,2.7599,5.8638,0.1377,0.8184,0.7354,0.2249,2.4748,0.2177,8.6007,0.0000,6.9952,0.0503,1.0000,0.0069,0.6256,0.0000,0.0000,8.792E-4,5.0000,0.0265,0.3320,0.0145,0.0667,2.048E-6,10.0000,0.0556,0.1975,0.0290,0.0667,1.678E-9,1.4152,0.0089,0.5693,0.0000,0.0000,2.141E-4,27.8098,0.2357,0.0492,0.0870,0.1333,9.517E-16,23.9419,0.1827,0.0655,0.0652,0.1333,3.78E-14,26.3511,0.2118,0.0546,0.0725,0.1333,3.666E-15,14.5832,0.0906,0.1334,0.0362,0.1333,3.402E-10,33.7779,0.3326,0.0327,0.1449,0.1333,4.918E-18,6.0825,0.0318,0.2931,0.0145,0.0667,3.755E-7,17.2861,0.1145,0.1076,0.0580,0.1333,2.209E-11
Euplexia_benesimilis,137,2.4594,3.1063,500,0.9782,16,1.2232,0.8413,0.0680,10137,4.1528,2.8695,3.7454,0.3416,8.3722,9.5308,6.6437,0.3426,2.0916,2.4021,0.4589,4.9477,5.1569,1.4021,19.9010,3.4898,0.2800,0.2615,0.5375,0.3332,4.1154,3.9317,2.3811,0.1964,1.1976,0.7535,0.1148,3.2045,0.0632,6.7809,0.0000,6.8511,0.0432,1.0000,0.0060,0.5414,0.0000,0.1250,5.482E-3,5.0000,0.0263,0.2690,0.0146,0.1250,7.001E-7,10.0000,0.0588,0.1563,0.0292,0.2500,2.071E-7,2.9380,0.0154,0.3620,0.0000,0.1250,3.5E-5,23.3447,0.1984,0.0530,0.0949,0.4375,2.671E-8,18.9806,0.1430,0.0730,0.0730,0.3750,2.281E-8,17.6663,0.1290,0.0808,0.0511,0.3750,6.009E-8,7.0154,0.0384,0.2118,0.0219,0.1875,5.015E-7,5.7766,0.0304,0.2443,0.0146,0.1250,1.925E-7,4.3545,0.0225,0.2933,0.0073,0.1250,2.206E-6,15.8724,0.1096,0.0931,0.0511,0.3750,2.313E-7
Euplexia_benesimilis,137,2.3330,3.0011,500,0.9752,16,1.7104,0.9121,0.0385,10137,3.8940,0.7560,1.2111,1.3554,8.2870,12.3433,4.8176,0.1786,2.2320,6.5882,0.0689,6.2753,5.1134,1.6529,17.7305,3.6370,0.1246,0.1860,0.4903,0.5984,2.4602,5.8615,1.8641,0.0944,0.7826,0.9768,0.2195,1.8221,0.4271,7.9167,0.0346,6.9881,0.0501,1.0000,0.0072,0.6136,0.0000,0.0625,4.472E-3,5.0000,0.0269,0.3336,0.0219,0.0625,7.766E-7,10.0000,0.0566,0.2020,0.0292,0.1250,1.492E-8,1.5174,0.0099,0.5487,0.0000,0.0625,9.555E-4,29.3797,0.2454,0.0447,0.0949,0.5000,1.481E-7,24.2079,0.1779,0.0655,0.0584,0.3125,3.053E-10,22.8880,0.1654,0.0723,0.0438,0.3125,8.763E-10,15.7532,0.0969,0.1250,0.0365,0.1250,2.126E-11,20.7840,0.1440,0.0846,0.0365,0.1250,9.858E-14,3.7374,0.0206,0.3896,0.0073,0.0625,7.335E-6,17.7548,0.1142,0.1068,0.0365,0.1250,2.455E-12
Euplexia_benesimilis,138,2.3149,2.9759,500,0.9693,15,2.2713,0.9520,0.0268,10138,6.1385,1.4679,1.1024,0.1514,6.1600,13.0049,5.3835,0.2341,1.9682,3.8755,0.2477,5.6064,4.7668,1.3606,15.5789,3.0540,0.0939,0.1281,0.6065,0.4392,5.4873,5.2578,2.2069,0.1369,0.7080,1.0416,0.1795,2.7677,0.1041,10.7131,0.0284,6.9891,0.0501,1.0000,0.0072,0.6062,0.0000,0.0000,5.49E-4,5.0000,0.0272,0.3239,0.0290,0.0667,1.466E-6,10.0000,0.0572,0.1955,0.0362,0.0667,1.461E-9,1.0198,0.0073,0.6034,0.0000,0.0000,5.114E-4,26.5772,0.2177,0.0532,0.0870,0.1333,2.573E-15,23.7954,0.1829,0.0652,0.0652,0.1333,3.566E-14,25.1807,0.1996,0.0589,0.0652,0.1333,9.608E-15,16.9446,0.1115,0.1098,0.0435,0.1333,2.85E-11,34.8271,0.3484,0.0301,0.1594,0.1333,1.641E-18,5.5414,0.0300,0.3043,0.0290,0.0667,6.27E-7,17.2865,0.1147,0.1069,0.0507,0.1333,2.034E-11
Euplexia_benesimilis,137,2.2634,2.9330,500,0.9723,16,3.4037,0.9887,0.0038,10137,4.8806,3.9570,2.8745,1.5966,7.8085,9.8082,4.2828,0.2627,1.5744,1.8246,0.3991,5.9332,4.9078,0.7246,16.3658,3.0647,0.0490,0.3096,0.3300,0.1668,4.1759,4.7000,5.5079,0.1919,0.9096,1.1469,0.1760,3.5370,0.0712,8.4081,0.0549,7.0478,0.0535,1.0000,0.0073,0.6077,0.0000,0.0000,3.457E-4,5.0000,0.0290,0.3250,0.0219,0.0000,1.553E-8,10.0000,0.0607,0.1975,0.0365,0.0000,5.356E-12,1.3795,0.0096,0.5569,0.0000,0.0000,8.552E-5,26.8466,0.2287,0.0561,0.0949,0.0625,2.622E-18,25.7393,0.2139,0.0606,0.0584,0.0000,3.282E-20,25.7393,0.2139,0.0606,0.0584,0.0000,3.282E-20,26.1230,0.2180,0.0591,0.0803,0.0625,5.651E-18,26.1230,0.2180,0.0591,0.0730,0.0000,2.209E-20,6.1158,0.0357,0.2870,0.0219,0.0000,2.115E-9,16.8792,0.1186,0.1134,0.0365,0.0000,7.527E-16
Euplexia_benesimilis,139,2.3314,2.9881,500,0.9727,14,2.4069,0.9495,0.0275,10139,5.2124,1.1347,1.5809,1.2327,7.8345,13.1403,3.5492,0.5820,1.4552,2.9007,0.3177,5.6714,5.0100,1.6025,15.4367,3.3435,0.0191,0.2112,0.3338,0.7859,4.6420,6.0921,5.1525,0.2533,0.6903,0.7987,0.2291,2.1056,0.1558,8.3609,0.1649,6.9930,0.0502,1.0000,0.0069,0.6140,0.0000,0.0000,1.081E-3,5.0000,0.0270,0.3244,0.0216,0.0714,4.309E-6,10.0000,0.0568,0.1935,0.0360,0.1429,1.693E-7,1.8168,0.0109,0.5151,0.0000,0.0000,9.267E-5,26.1432,0.2140,0.0544,0.0935,0.1429,5.567E-14,21.1337,0.1537,0.0791,0.0791,0.1429,4.692E-12,29.6801,0.2731,0.0425,0.1007,0.1429,2.925E-15,13.5100,0.0833,0.1428,0.0432,0.1429,4.938E-9,40.4534,0.4443,0.0212,0.1871,0.1429,7.231E-19,3.8134,0.0206,0.3773,0.0072,0.0000,1.183E-6,17.0723,0.1148,0.1073,0.0432,0.1429,1.722E-10
Euplexia_benesimilis,138,2.3129,2.9732,500,0.9743,15,2.7306,0.9738,0.0090,10138,0.1238,4.4146,3.0503,0.1233,5.7750,10.9855,3.9165,0.2434,1.6567,5.5127,0.5079,7.1147,6.2028,0.9569,15.6722,2.9198,0.1465,0.3467,0.1601,0.4490,4.5398,6.1735,1.4277,0.4925,0.6388,0.9677,0.1863,3.7492,0.9793,10.5507,0.0158,6.9979,0.0506,1.0000,0.0070,0.6016,0.0000,0.0000,4.893E-4,5.0000,0.0274,0.3181,0.0217,0.0000,3.457E-8,10.0000,0.0586,0.1912,0.0290,0.0000,1.663E-11,1.4607,0.0095,0.5416,0.0000,0.0000,1.013E-4,27.4693,0.2322,0.0509,0.0942,0.2000,1.19E-13,21.9391,0.1666,0.0754,0.0725,0.2000,1.23E-11,18.0821,0.1287,0.0997,0.0362,0.0667,1.309E-13,20.1764,0.1481,0.0855,0.0652,0.0667,1.545E-14,16.9261,0.1157,0.1086,0.0362,0.0000,3.448E-15,4.8614,0.0266,0.3234,0.0072,0.0000,4.434E-8,17.0190,0.1167,0.1079,0.0362,0.0667,3.917E-13
