Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Eurybia_macrophylla,44,2.2099,3.0741,500,0.9785,5,0.6333,0.8563,0.0833,10044,3.2563,2.4445,0.0257,0.0365,6.3304,19.4869,6.6361,1.3690,0.2501,2.9559,0.7843,2.0655,19.7532,10.7303,0.0526,0.9324,0.1170,0.0492,1.2236,1.4005,15.9171,0.0404,2.0406,0.0000,0.0353,0.7628,0.5421,0.0000,0.3870,0.3528,0.0217,7.0253,0.0539,1.0000,0.0069,0.5838,0.0000,0.0000,6.783E-2,5.0000,0.0311,0.3058,0.0000,0.2000,3.301E-2,10.0000,0.0661,0.1893,0.0227,0.2000,5.445E-3,9.5426,0.0633,0.1967,0.0000,0.2000,6.311E-3,21.6565,0.1757,0.0831,0.0909,0.2000,2.229E-4,20.4183,0.1635,0.0899,0.0909,0.2000,3.032E-4,19.2660,0.1515,0.0967,0.0455,0.2000,4.03E-4,9.3465,0.0618,0.2000,0.0000,0.2000,6.723E-3,22.6397,0.1884,0.0782,0.1136,0.2000,1.749E-4,6.8180,0.0428,0.2522,0.0000,0.2000,1.614E-2,17.0610,0.1302,0.1119,0.0455,0.2000,7.14E-4
Eurybia_macrophylla,44,2.1110,2.9894,500,0.9765,5,1.8067,0.8514,0.1243,10044,2.1419,3.2630,0.8406,0.8286,6.8063,24.5484,4.7295,0.7411,0.0527,1.0000,0.3128,3.2472,15.6869,11.7910,0.0000,1.1728,0.5199,0.2949,0.9023,2.1948,13.9264,0.2524,1.7131,0.0647,0.3800,0.5129,0.7129,0.0000,0.6709,0.6472,0.0447,7.1331,0.0602,1.0000,0.0081,0.6226,0.0000,0.2000,3.77E-1,5.0000,0.0316,0.3367,0.0000,0.2000,4.696E-2,10.0000,0.0675,0.2087,0.0227,0.2000,7.899E-3,8.6978,0.0569,0.2335,0.0000,0.2000,1.208E-2,21.9283,0.1827,0.0908,0.0909,0.2000,3.152E-4,21.9105,0.1820,0.0909,0.0909,0.2000,3.165E-4,19.8976,0.1596,0.1030,0.0455,0.2000,5.173E-4,10.5230,0.0711,0.2000,0.0227,0.2000,6.723E-3,51.0338,0.5557,0.0166,0.2500,0.2000,3.77E-7,7.3523,0.0475,0.2641,0.0000,0.2000,1.92E-2,16.9997,0.1285,0.1247,0.0455,0.2000,1.087E-3
Eurybia_macrophylla,44,2.1477,3.0660,500,0.9786,5,1.5410,0.9523,0.0135,10044,4.6755,1.5512,0.0485,1.3188,7.3996,24.1629,4.8744,0.8699,0.3054,0.6666,0.7748,3.4132,17.3010,11.7755,0.0913,0.9147,0.0786,0.2069,1.2053,1.5919,13.1734,0.0932,0.8303,0.0000,0.0937,0.4263,0.6569,0.1884,0.8450,0.3855,0.0812,7.1049,0.0586,1.0000,0.0080,0.6022,0.0000,0.0000,7.916E-2,5.0000,0.0328,0.3261,0.0000,0.0000,3.686E-3,10.0000,0.0687,0.2048,0.0000,0.0000,3.603E-4,10.9507,0.0761,0.1900,0.0000,0.0000,2.474E-4,22.7716,0.1854,0.0857,0.0909,0.2000,2.515E-4,21.8457,0.1767,0.0909,0.0909,0.0000,6.206E-6,39.2967,0.3915,0.0321,0.1136,0.6000,9.634E-3,22.0451,0.1784,0.0897,0.0909,0.0000,5.809E-6,22.0451,0.1784,0.0897,0.0909,0.0000,5.809E-6,7.0841,0.0463,0.2641,0.0000,0.0000,1.286E-3,17.3245,0.1330,0.1212,0.0682,0.0000,2.612E-5
Eurybia_macrophylla,44,2.1552,3.0458,500,0.9773,5,1.6107,0.8976,0.0584,10044,4.2831,1.0928,3.3236,0.8000,5.4743,25.0961,5.7505,2.3379,0.0339,1.3927,0.2507,2.7402,19.0692,7.2118,0.1004,1.4344,0.4341,0.0428,1.2422,4.0892,8.3813,0.1204,2.1623,0.0000,0.2831,0.5230,0.4667,0.0000,1.2305,0.6327,0.0000,7.1003,0.0578,1.0000,0.0074,0.6227,0.0000,0.0000,9.36E-2,5.0000,0.0304,0.3238,0.0000,0.2000,4.071E-2,10.0000,0.0671,0.1972,0.0227,0.2000,6.372E-3,9.3645,0.0616,0.2084,0.0000,0.2000,7.856E-3,20.4644,0.1655,0.0926,0.0909,0.2000,3.403E-4,20.4644,0.1655,0.0926,0.0909,0.2000,3.403E-4,35.6973,0.3673,0.0368,0.1136,0.6000,1.26E-2,9.8403,0.0655,0.2000,0.0227,0.2000,6.723E-3,23.0047,0.1943,0.0786,0.1136,0.2000,1.784E-4,7.2693,0.0460,0.2535,0.0000,0.2000,1.646E-2,16.5001,0.1261,0.1207,0.0455,0.2000,9.578E-4
Eurybia_macrophylla,44,2.1320,3.0161,500,0.9768,5,1.2724,0.8466,0.0866,10044,2.6149,1.7894,0.9048,0.9546,6.8066,23.7630,5.3969,1.2498,1.2078,3.0508,0.3924,3.0160,16.4503,11.6657,0.0000,0.9305,0.2137,0.2987,0.7479,1.9521,9.7723,0.9259,2.1515,0.0607,0.0557,0.4391,1.9608,0.0000,0.6967,0.4257,0.1058,7.1114,0.0590,1.0000,0.0079,0.6228,0.0000,0.0000,9.367E-2,5.0000,0.0315,0.3377,0.0000,0.2000,4.747E-2,10.0000,0.0657,0.2103,0.0000,0.4000,6.612E-2,12.2164,0.0827,0.1761,0.0000,0.4000,4.122E-2,17.7896,0.1327,0.1184,0.0909,0.4000,1.378E-2,18.4136,0.1376,0.1136,0.1136,0.4000,1.228E-2,42.7718,0.4643,0.0262,0.1364,0.4000,1.726E-4,8.5689,0.0550,0.2376,0.0000,0.2000,1.29E-2,46.3495,0.5099,0.0215,0.1818,0.4000,9.628E-5,7.4106,0.0465,0.2641,0.0000,0.2000,1.92E-2,17.3594,0.1289,0.1220,0.0909,0.4000,1.499E-2
Eurybia_macrophylla,44,2.2171,3.1275,500,0.9774,5,1.0375,0.8377,0.0728,10044,4.8425,2.2269,0.5755,0.0498,4.9739,27.0012,8.3992,0.4713,0.1681,4.1062,0.2117,2.2749,16.9866,9.7590,0.0136,1.3954,0.3185,0.1057,0.6243,3.0906,5.8771,0.2745,1.4689,0.1025,0.0112,0.7394,1.3516,0.0000,1.1673,1.4127,0.0000,7.0231,0.0535,1.0000,0.0068,0.6151,0.0000,0.0000,8.805E-2,5.0000,0.0283,0.3199,0.0000,0.2000,3.896E-2,10.0000,0.0620,0.1915,0.0227,0.4000,5.157E-2,6.2966,0.0357,0.2759,0.0000,0.4000,1.327E-1,26.4321,0.2239,0.0589,0.0909,0.6000,3.082E-2,19.9593,0.1542,0.0909,0.0909,0.6000,6.861E-2,42.1020,0.4568,0.0240,0.1136,0.6000,5.486E-3,5.2884,0.0300,0.3091,0.0000,0.4000,1.754E-1,3.3083,0.0191,0.3990,0.0000,0.0000,1.012E-2,6.2966,0.0357,0.2759,0.0000,0.4000,1.327E-1,16.9334,0.1261,0.1117,0.0682,0.4000,1.171E-2
Eurybia_macrophylla,44,2.2401,3.1296,500,0.9796,5,0.7018,0.8150,0.0878,10044,3.1426,0.4090,3.0553,0.0182,7.7341,20.5737,8.2887,1.1843,0.2717,7.9366,0.3515,1.4601,17.7744,5.8291,0.0000,1.1818,0.4936,0.0000,1.9067,2.2055,11.7270,0.4899,1.5726,0.0000,0.2528,0.1581,1.1924,0.0000,0.7056,0.0848,0.0000,7.0110,0.0527,1.0000,0.0068,0.5778,0.0000,0.0000,6.438E-2,5.0000,0.0300,0.2979,0.0000,0.4000,1.603E-1,10.0000,0.0645,0.1787,0.0227,0.4000,4.287E-2,8.7955,0.0556,0.1996,0.0000,0.4000,5.763E-2,26.5359,0.2458,0.0567,0.0909,0.6000,2.861E-2,21.7773,0.1856,0.0762,0.0682,0.4000,3.929E-3,21.7773,0.1856,0.0762,0.0682,0.4000,3.929E-3,3.5489,0.0213,0.3592,0.0000,0.4000,2.497E-1,21.7773,0.1856,0.0762,0.0682,0.4000,3.929E-3,6.9463,0.0423,0.2394,0.0000,0.4000,9.27E-2,16.1760,0.1255,0.1103,0.0682,0.4000,1.13E-2
Eurybia_macrophylla,44,2.1304,3.0563,500,0.9781,5,1.3518,0.9046,0.0504,10044,3.7744,2.3432,0.0767,0.4701,7.1561,20.1133,6.7619,0.6696,0.3402,2.8650,0.8826,4.6812,18.0081,7.3317,0.1979,0.9135,0.2215,0.0000,3.5662,2.0086,11.2524,0.1695,3.1296,0.0000,0.3525,0.3671,1.1527,0.3519,0.4206,0.4220,0.0000,7.1156,0.0590,1.0000,0.0079,0.5983,0.0000,0.0000,7.664E-2,5.0000,0.0323,0.3190,0.0000,0.0000,3.303E-3,10.0000,0.0704,0.1984,0.0000,0.2000,6.521E-3,11.3849,0.0821,0.1779,0.0000,0.2000,4.297E-3,20.1513,0.1639,0.0976,0.0909,0.4000,7.982E-3,20.1513,0.1639,0.0976,0.0909,0.4000,7.982E-3,17.7503,0.1420,0.1141,0.0455,0.2000,7.7E-4,9.9076,0.0696,0.2000,0.0000,0.2000,6.723E-3,19.1753,0.1545,0.1039,0.0682,0.2000,5.351E-4,7.0088,0.0467,0.2587,0.0000,0.2000,1.775E-2,16.6568,0.1324,0.1226,0.0455,0.2000,1.018E-3
Eurybia_macrophylla,44,2.0594,2.9666,500,0.9779,5,2.6643,0.9351,0.0504,10044,1.9624,1.2373,1.9897,2.2482,5.7880,20.9674,7.8878,1.2679,0.2229,4.5217,0.6050,2.7176,17.8655,8.2994,0.0911,0.9089,0.0883,0.2310,0.4863,1.9121,14.0548,0.4685,1.1973,0.0000,0.0509,0.6879,0.9240,0.0083,0.7480,0.5617,0.0000,7.1918,0.0636,1.0000,0.0083,0.6133,0.0000,0.0000,8.677E-2,5.0000,0.0347,0.3303,0.0000,0.0000,3.934E-3,10.0000,0.0734,0.2063,0.0000,0.2000,7.561E-3,10.3399,0.0763,0.2008,0.0000,0.2000,6.825E-3,23.2579,0.2035,0.0843,0.0909,0.2000,2.358E-4,22.0321,0.1908,0.0909,0.0909,0.2000,3.165E-4,18.6995,0.1568,0.1118,0.0227,0.2000,7.115E-4,10.3898,0.0767,0.2000,0.0227,0.2000,6.723E-3,40.7468,0.4461,0.0319,0.1591,0.2000,5.02E-6,7.2051,0.0502,0.2636,0.0000,0.2000,1.906E-2,16.1573,0.1294,0.1322,0.0227,0.2000,1.366E-3
Eurybia_macrophylla,45,2.1737,3.0796,500,0.9814,4,-0.8095,0.7297,0.2106,10045,4.9846,0.5041,0.9437,1.2056,2.7126,24.4052,8.8156,0.3944,0.8728,3.4506,0.5416,5.2178,18.2839,7.6939,0.0598,1.0887,0.4271,0.1504,0.9497,3.3832,9.1953,0.1297,1.7957,0.0000,0.0592,0.9749,0.4328,0.2777,0.7434,0.3059,0.0000,7.0657,0.0564,1.0000,0.0078,0.5619,0.0000,0.2500,4.105E-1,5.0000,0.0340,0.3006,0.0000,0.2500,8.419E-2,10.0000,0.0726,0.1897,0.0000,0.2500,2.344E-2,15.0012,0.1153,0.1321,0.0000,0.2500,8.308E-3,26.7355,0.2376,0.0632,0.0889,0.2500,9.626E-4,23.9001,0.2062,0.0749,0.0667,0.2500,1.584E-3,18.5494,0.1462,0.1046,0.0222,0.2500,4.222E-3,6.8163,0.0468,0.2500,0.0000,0.2500,5.077E-2,33.2784,0.3233,0.0433,0.1556,0.2500,3.143E-4,6.5054,0.0445,0.2575,0.0000,0.2500,5.513E-2,16.8953,0.1337,0.1166,0.0222,0.2500,5.783E-3
