Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Galgula_partita,69,3.9183,4.3709,500,0.9922,9,0.8833,0.8726,0.0538,10069,2.1391,2.5572,1.9108,2.4641,3.2971,20.2291,9.5522,3.0398,0.0631,3.6405,0.0000,3.1728,9.2307,0.3502,31.2824,0.0239,0.0180,0.0000,0.5277,0.0000,0.0219,1.7029,3.1599,0.0059,0.3033,0.8549,0.0657,0.0000,0.3676,0.0191,0.0000,5.3281,0.0088,1.0000,0.0013,0.2934,0.0000,0.2222,3.727E-3,5.0000,0.0103,0.0672,0.0145,0.4444,1.376E-4,10.0000,0.0561,0.0217,0.0435,0.5556,2.583E-5,1.4645,0.0019,0.2318,0.0000,0.2222,8.235E-4,22.2057,0.4277,0.0072,0.0870,0.6667,3.098E-5,8.4033,0.0337,0.0290,0.0290,0.4444,2.344E-6,7.2131,0.0226,0.0374,0.0145,0.4444,8.169E-6,1.5562,0.0020,0.2223,0.0145,0.2222,6.266E-4,2.7137,0.0040,0.1401,0.0145,0.2222,2.942E-5,4.3394,0.0081,0.0820,0.0145,0.4444,3.53E-4,10.4092,0.0616,0.0205,0.0435,0.5556,2.033E-5
Galgula_partita,70,3.7055,4.1823,500,0.9898,8,4.0005,0.9938,0.0022,10070,0.3866,1.6822,2.7633,1.9683,2.7255,23.0347,8.8568,1.2836,0.6192,2.3134,0.0000,5.0606,9.6525,0.3695,36.1158,0.2312,0.0000,0.2610,0.1502,0.0599,0.0000,0.6246,0.1296,0.0000,0.2331,1.1878,0.0944,0.1049,0.0912,0.0000,0.0000,5.5655,0.0112,1.0000,0.0016,0.3418,0.0000,0.0000,1.863E-4,5.0000,0.0105,0.1021,0.0143,0.0000,1.18E-8,10.0000,0.0426,0.0391,0.0429,0.0000,5.492E-12,1.4062,0.0023,0.2880,0.0000,0.0000,4.731E-5,21.4146,0.2229,0.0104,0.1000,0.1250,1.062E-13,9.4079,0.0371,0.0429,0.0429,0.0000,1.147E-11,12.6984,0.0684,0.0269,0.0429,0.0000,2.751E-13,14.7082,0.0941,0.0209,0.0571,0.0000,3.577E-14,14.7082,0.0941,0.0209,0.0571,0.0000,3.577E-14,4.9198,0.0102,0.1041,0.0143,0.0000,1.376E-8,12.9866,0.0723,0.0259,0.0571,0.0000,2.037E-13
Galgula_partita,69,3.7938,4.2481,500,0.9887,9,2.9814,0.9209,0.0699,10069,2.4803,0.7848,1.1057,1.7649,3.0663,23.2576,11.1961,5.1529,0.4617,0.5435,0.0000,4.0388,13.2059,0.2072,27.4441,0.2897,0.0314,0.2089,0.0593,0.0000,0.0341,2.6151,0.2493,0.0000,0.3558,1.0414,0.0841,0.0509,0.2703,0.0000,0.0000,5.4598,0.0102,1.0000,0.0018,0.2567,0.0145,0.1111,1.311E-4,5.0000,0.0138,0.0741,0.0290,0.1111,7.633E-9,10.0000,0.0529,0.0303,0.0290,0.1111,6.207E-12,0.5658,0.0010,0.3329,0.0000,0.1111,9.559E-4,21.6172,0.2568,0.0091,0.0870,0.1111,4.336E-16,10.3365,0.0554,0.0290,0.0290,0.1111,4.386E-12,13.2784,0.0966,0.0202,0.0290,0.1111,2.412E-13,3.3906,0.0075,0.1111,0.0290,0.1111,1.887E-7,21.6172,0.2568,0.0091,0.0870,0.1111,4.336E-16,1.8419,0.0035,0.1791,0.0145,0.1111,7.999E-6,12.0085,0.0747,0.0233,0.0290,0.1111,7.759E-13
Galgula_partita,71,3.6659,4.1529,500,0.9895,7,4.6246,0.9969,0.0009,10071,3.2793,4.2755,0.4685,2.5188,2.1285,24.0443,5.8420,0.0574,0.0213,2.5473,0.0038,4.3265,9.3582,0.3847,36.5722,0.1767,0.0184,0.3211,0.1157,0.0212,0.0463,1.6036,0.0565,0.0000,0.1517,1.1819,0.0355,0.0656,0.3774,0.0000,0.0000,5.6096,0.0117,1.0000,0.0016,0.3558,0.0000,0.0000,7.215E-4,5.0000,0.0107,0.1093,0.0282,0.0000,1.866E-7,10.0000,0.0410,0.0413,0.0282,0.0000,2.052E-10,1.4337,0.0024,0.2968,0.0000,0.0000,2.028E-4,24.7081,0.3305,0.0085,0.0986,0.0000,3.311E-15,10.5891,0.0459,0.0378,0.0423,0.0000,1.109E-10,10.5891,0.0459,0.0378,0.0282,0.0000,1.109E-10,34.3487,0.6316,0.0059,0.2394,0.0000,2.368E-16,34.3487,0.6316,0.0059,0.2394,0.0000,2.368E-16,4.6116,0.0094,0.1197,0.0141,0.0000,3.531E-7,12.9762,0.0721,0.0271,0.0423,0.0000,1.076E-11
Galgula_partita,69,3.6726,4.1750,500,0.9894,9,4.5397,0.9965,0.0008,10069,3.6235,2.0181,1.9273,1.1854,2.4038,18.3522,7.8752,0.0000,0.0609,2.7720,0.0000,4.4582,13.9458,0.3250,36.9200,0.2236,0.0299,0.2938,0.1586,0.0400,0.0641,1.5296,0.0593,0.0000,0.1925,1.1733,0.0590,0.0742,0.2348,0.0000,0.0000,5.6006,0.0116,1.0000,0.0017,0.3556,0.0000,0.0000,9.103E-5,5.0000,0.0104,0.1111,0.0145,0.0000,2.586E-9,10.0000,0.0390,0.0414,0.0290,0.0000,3.584E-13,1.3267,0.0022,0.3104,0.0000,0.0000,2.672E-5,20.7898,0.2072,0.0117,0.0870,0.0000,4.169E-18,10.3254,0.0433,0.0394,0.0435,0.0000,2.303E-13,10.3254,0.0433,0.0394,0.0290,0.0000,2.303E-13,26.0067,0.3713,0.0078,0.1014,0.0000,1.127E-19,26.0067,0.3713,0.0078,0.1014,0.0000,1.127E-19,5.0512,0.0106,0.1098,0.0145,0.0000,2.328E-9,13.0796,0.0717,0.0268,0.0580,0.0000,7.168E-15
Galgula_partita,70,3.7171,4.1977,500,0.9903,8,3.9082,0.9844,0.0117,10070,2.9387,2.2671,2.0626,1.6510,2.9422,18.8919,7.8840,0.2336,0.0768,2.1569,0.0133,4.7599,12.2639,0.3609,35.9886,0.1910,0.0351,0.2403,0.0870,0.0145,0.0985,3.3538,0.0894,0.0355,0.2322,0.9091,0.0016,0.0448,0.1757,0.0000,0.0000,5.5644,0.0111,1.0000,0.0016,0.3543,0.0000,0.0000,2.484E-4,5.0000,0.0100,0.1091,0.0143,0.0000,2.013E-8,10.0000,0.0381,0.0401,0.0286,0.1250,1.291E-9,1.6621,0.0027,0.2722,0.0000,0.0000,3.013E-5,24.2259,0.3577,0.0080,0.1000,0.1250,1.731E-14,10.8514,0.0466,0.0352,0.0286,0.1250,5.144E-10,10.8514,0.0466,0.0352,0.0286,0.1250,5.144E-10,5.2387,0.0107,0.1033,0.0143,0.1250,9.12E-7,5.2355,0.0107,0.1033,0.0143,0.0000,1.294E-8,5.2355,0.0107,0.1033,0.0143,0.0000,1.294E-8,13.0144,0.0677,0.0258,0.0571,0.1250,5.981E-11
Galgula_partita,70,3.6914,4.1774,500,0.9893,8,4.3601,0.9953,0.0021,10070,4.0296,0.9510,3.4113,0.0310,3.4592,17.7342,11.2586,2.2706,0.0000,3.9723,0.0000,3.7759,12.6858,0.4230,31.2754,0.2136,0.0291,0.3231,0.1793,0.0220,0.0772,1.4589,0.1511,0.0000,0.2988,1.5586,0.0610,0.0802,0.2694,0.0000,0.0000,5.5929,0.0115,1.0000,0.0017,0.3440,0.0143,0.0000,1.961E-4,5.0000,0.0107,0.1067,0.0143,0.0000,1.674E-8,10.0000,0.0403,0.0399,0.0429,0.0000,6.45E-12,0.9192,0.0015,0.3574,0.0000,0.0000,2.662E-4,24.2849,0.3000,0.0087,0.1000,0.1250,3.09E-14,9.8451,0.0386,0.0410,0.0429,0.0000,8.005E-12,13.2817,0.0795,0.0252,0.0429,0.0000,1.638E-13,15.5263,0.1083,0.0194,0.0571,0.0000,1.977E-14,15.5263,0.1083,0.0194,0.0571,0.0000,1.977E-14,4.9445,0.0105,0.1080,0.0143,0.0000,1.857E-8,12.8825,0.0731,0.0266,0.0429,0.0000,2.517E-13
Galgula_partita,72,3.7558,4.2485,500,0.9918,6,3.0214,0.9383,0.0520,10072,4.1279,0.7869,2.8158,0.4887,3.3211,20.4291,9.8069,2.1623,0.0261,3.9995,0.0054,3.9902,14.7080,0.3997,28.1036,0.1475,0.0351,0.2565,0.1858,0.0145,0.0853,2.0355,0.0841,0.0000,0.2106,1.3052,0.0104,0.1043,0.3542,0.0000,0.0000,5.5133,0.0107,1.0000,0.0015,0.3075,0.0000,0.1667,1.227E-2,5.0000,0.0118,0.0818,0.0139,0.1667,2.049E-5,10.0000,0.0539,0.0307,0.0278,0.1667,1.589E-7,1.5291,0.0025,0.2412,0.0000,0.1667,3.911E-3,25.0349,0.4257,0.0077,0.0972,0.3333,5.329E-8,10.7300,0.0611,0.0278,0.0278,0.1667,9.732E-8,12.2920,0.0769,0.0226,0.0278,0.1667,3.499E-8,2.5447,0.0045,0.1667,0.0139,0.1667,6.651E-4,20.1183,0.2345,0.0105,0.0694,0.1667,7.678E-10,4.5153,0.0097,0.0927,0.0139,0.1667,3.796E-5,11.6853,0.0710,0.0245,0.0278,0.1667,5.213E-8
Galgula_partita,72,3.6971,4.1776,500,0.9898,6,4.0215,0.9928,0.0028,10072,2.0426,4.7258,1.0159,1.9874,3.4447,19.1050,6.1942,0.1868,0.1162,2.5814,0.0000,4.0723,14.4803,0.2181,36.9610,0.2482,0.0280,0.1607,0.2200,0.0000,0.0701,0.7074,0.0915,0.0395,0.2285,0.6901,0.0718,0.0512,0.2612,0.0000,0.0000,5.5919,0.0115,1.0000,0.0016,0.3580,0.0000,0.0000,2.106E-3,5.0000,0.0105,0.1082,0.0139,0.0000,1.606E-6,10.0000,0.0390,0.0398,0.0278,0.0000,3.983E-9,1.3650,0.0022,0.3067,0.0000,0.0000,8.322E-4,24.8493,0.3892,0.0081,0.0972,0.1667,2.132E-10,10.3485,0.0419,0.0376,0.0417,0.0000,2.839E-9,10.3485,0.0419,0.0376,0.0278,0.0000,2.839E-9,14.0539,0.0851,0.0223,0.0694,0.0000,1.243E-10,14.0539,0.0851,0.0223,0.0694,0.0000,1.243E-10,5.0204,0.0105,0.1077,0.0139,0.0000,1.563E-6,12.7362,0.0683,0.0266,0.0556,0.0000,3.549E-10
Galgula_partita,70,3.7913,4.2570,500,0.9934,8,3.2260,0.9025,0.0878,10070,1.7386,0.7428,1.3730,1.3392,2.4775,22.7924,10.1319,2.0036,0.3430,2.7382,0.0000,4.1109,13.1007,0.3369,33.2808,0.1792,0.0890,0.4069,0.0409,0.0081,0.0454,1.3258,0.0650,0.3510,0.0617,0.5830,0.0725,0.0420,0.2201,0.0000,0.0000,5.4813,0.0104,1.0000,0.0016,0.2872,0.0000,0.1250,9.651E-4,5.0000,0.0121,0.0791,0.0143,0.1250,1.449E-7,10.0000,0.0508,0.0305,0.0429,0.1250,1.906E-10,4.6386,0.0106,0.0867,0.0000,0.1250,2.721E-7,24.4252,0.3802,0.0078,0.1000,0.1250,1.453E-14,7.8900,0.0297,0.0429,0.0429,0.1250,2.059E-9,15.3082,0.1270,0.0161,0.0429,0.1250,2.2E-12,3.2975,0.0066,0.1250,0.0000,0.1250,3.402E-6,34.2123,0.5777,0.0056,0.2286,0.1250,1.309E-15,4.3149,0.0094,0.0944,0.0000,0.1250,4.917E-7,11.8399,0.0755,0.0238,0.0429,0.1250,3.421E-11
