Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Gastrellarius_honestus,41,3.0051,4.0119,500,0.9928,5,3.3025,0.9547,0.0363,10041,5.8911,0.8239,1.7032,2.0864,14.2031,9.8186,11.3768,3.1963,0.0087,7.5636,1.0012,3.3923,14.1548,0.6470,0.3214,1.8418,3.2787,0.0000,0.5775,0.5394,0.3035,3.6168,10.2515,0.0562,0.2236,0.2524,0.7029,0.4076,1.6459,0.1137,0.0000,6.2447,0.0242,1.0000,0.0035,0.4091,0.0000,0.0000,1.146E-2,5.0000,0.0194,0.1791,0.0000,0.2000,4.404E-3,10.0000,0.0486,0.0986,0.0244,0.2000,4.352E-4,8.6796,0.0399,0.1133,0.0000,0.2000,7.502E-4,36.8263,0.3731,0.0139,0.0976,0.4000,2.654E-5,27.5547,0.2350,0.0249,0.0244,0.2000,1.883E-6,27.5547,0.2350,0.0249,0.0244,0.2000,1.883E-6,4.2639,0.0162,0.2000,0.0000,0.2000,6.717E-3,4.0386,0.0152,0.2073,0.0000,0.0000,3.824E-4,5.1233,0.0201,0.1760,0.0000,0.2000,4.12E-3,17.5387,0.1121,0.0513,0.0244,0.2000,3.318E-5
Gastrellarius_honestus,41,3.1936,4.1920,500,0.9931,5,0.3606,0.8678,0.0801,10041,2.5251,1.6656,1.0244,3.6934,12.6323,10.6127,13.1611,3.2048,0.0000,8.3454,1.3480,5.5897,17.1145,0.4006,0.3544,0.9762,2.1949,0.0000,0.1727,0.4647,0.0962,3.3156,7.0667,0.0224,0.1754,0.4917,1.7347,0.0144,1.5856,0.0169,0.0000,6.0354,0.0192,1.0000,0.0028,0.3987,0.0000,0.2000,8.602E-2,5.0000,0.0162,0.1661,0.0000,0.2000,3.302E-3,10.0000,0.0413,0.0881,0.0244,0.4000,5.974E-3,9.5565,0.0392,0.0925,0.0000,0.2000,3.393E-4,36.3299,0.3776,0.0102,0.0976,0.8000,4.977E-2,17.2484,0.0981,0.0437,0.0488,0.4000,7.819E-4,17.2484,0.0981,0.0437,0.0244,0.4000,7.819E-4,3.8817,0.0115,0.2000,0.0000,0.2000,6.717E-3,9.5565,0.0392,0.0925,0.0000,0.2000,3.393E-4,5.0528,0.0164,0.1648,0.0000,0.2000,3.204E-3,17.8501,0.1059,0.0415,0.0488,0.4000,6.724E-4
Gastrellarius_honestus,41,2.9898,4.0136,500,0.9918,5,3.0570,0.9035,0.0825,10041,4.6734,3.4674,0.3605,0.9139,8.8391,11.9962,9.1499,3.1511,0.0290,9.4400,1.0247,4.6729,15.7017,0.8808,5.1816,2.0110,4.0437,0.0223,0.9086,0.0000,0.2425,2.9783,5.7088,0.0000,0.2088,1.3979,1.3753,0.1256,1.2410,0.2536,0.0000,6.2696,0.0248,1.0000,0.0038,0.3956,0.0000,0.2000,8.369E-2,5.0000,0.0209,0.1772,0.0000,0.2000,4.228E-3,10.0000,0.0509,0.0996,0.0244,0.2000,4.527E-4,9.0314,0.0441,0.1099,0.0000,0.2000,6.664E-4,30.9070,0.2762,0.0205,0.0976,0.2000,8.713E-7,20.8586,0.1512,0.0412,0.0488,0.2000,1.397E-5,20.8249,0.1511,0.0412,0.0244,0.2000,1.397E-5,4.1711,0.0170,0.2000,0.0000,0.2000,6.717E-3,34.6543,0.3310,0.0160,0.1220,0.2000,3.263E-7,4.9186,0.0206,0.1793,0.0000,0.2000,4.423E-3,17.5170,0.1154,0.0526,0.0244,0.2000,3.662E-5
Gastrellarius_honestus,41,3.0060,4.0351,500,0.9923,5,2.6927,0.9366,0.0412,10041,4.2870,2.6659,2.4841,0.2214,13.2375,10.2888,10.9858,2.7098,0.0000,6.6507,1.2264,3.4466,15.8452,0.5968,8.5193,3.7452,2.1942,0.0000,1.6562,0.2905,1.2029,3.5172,0.6370,0.0174,0.0945,1.2514,0.6996,0.3708,1.0046,0.1531,0.0000,6.2239,0.0237,1.0000,0.0035,0.4141,0.0000,0.0000,1.218E-2,5.0000,0.0189,0.1847,0.0000,0.2000,4.963E-3,10.0000,0.0460,0.1018,0.0000,0.2000,4.929E-4,11.9250,0.0596,0.0842,0.0000,0.2000,2.339E-4,37.2649,0.3623,0.0127,0.0976,0.4000,2.032E-5,18.3911,0.1171,0.0488,0.0488,0.4000,1.079E-3,28.2646,0.2300,0.0239,0.0488,0.4000,1.317E-4,4.4573,0.0164,0.2000,0.0000,0.2000,6.717E-3,3.3407,0.0117,0.2398,0.0000,0.0000,7.932E-4,5.2322,0.0197,0.1789,0.0000,0.2000,4.386E-3,18.0282,0.1139,0.0502,0.0488,0.4000,1.171E-3
Gastrellarius_honestus,41,2.9646,3.9871,500,0.9921,5,2.7918,0.9842,0.0079,10041,4.6745,6.9064,1.5562,0.9747,8.6415,9.3961,10.2977,3.1610,0.0313,7.8601,2.0925,5.7982,16.4637,0.7217,0.2014,1.5263,2.2638,0.0000,1.2667,1.6120,0.4225,3.6527,7.4543,0.0002,0.4073,0.6226,0.6330,0.1829,1.1414,0.0374,0.0000,6.2470,0.0242,1.0000,0.0035,0.4378,0.0000,0.0000,1.608E-2,5.0000,0.0179,0.1979,0.0000,0.0000,3.035E-4,10.0000,0.0443,0.1095,0.0000,0.0000,1.571E-5,13.5282,0.0664,0.0782,0.0000,0.0000,2.921E-6,35.3722,0.3282,0.0152,0.0976,0.2000,2.663E-7,19.0516,0.1146,0.0488,0.0488,0.2000,2.725E-5,27.7017,0.2263,0.0259,0.0488,0.2000,2.201E-6,18.6480,0.1108,0.0504,0.0488,0.0000,3.25E-7,18.6480,0.1108,0.0504,0.0488,0.0000,3.25E-7,5.5248,0.0202,0.1839,0.0000,0.0000,2.106E-4,18.4172,0.1083,0.0514,0.0488,0.0000,3.584E-7
Gastrellarius_honestus,41,2.9912,4.0031,500,0.9919,5,2.5537,0.9780,0.0125,10041,5.3625,5.5831,0.4722,0.1735,14.9646,8.5544,11.3403,2.6017,0.4948,8.1165,0.9331,5.3498,14.2239,0.9418,5.6628,1.1366,1.6206,0.0000,1.0016,0.3814,0.1299,3.6924,1.5655,0.0000,0.4065,1.4253,0.5949,2.1702,1.1000,0.0000,0.0000,6.2561,0.0245,1.0000,0.0034,0.4466,0.0000,0.0000,1.776E-2,5.0000,0.0181,0.2000,0.0000,0.0000,3.198E-4,10.0000,0.0445,0.1120,0.0000,0.0000,1.766E-5,11.4085,0.0549,0.0978,0.0000,0.0000,8.947E-6,34.8802,0.3203,0.0159,0.0732,0.4000,3.95E-5,19.7793,0.1191,0.0488,0.0488,0.2000,2.725E-5,33.7551,0.3008,0.0171,0.0488,0.2000,4.246E-7,14.1475,0.0730,0.0769,0.0488,0.0000,2.687E-6,14.1475,0.0730,0.0769,0.0488,0.0000,2.687E-6,5.5007,0.0203,0.1867,0.0000,0.0000,2.271E-4,19.0023,0.1117,0.0519,0.0488,0.2000,3.474E-5
Gastrellarius_honestus,42,3.0039,3.9891,500,0.9902,4,2.5201,0.9688,0.0205,10042,4.7243,5.4256,1.6414,0.1756,15.4272,7.7875,12.2750,3.2721,0.3312,5.8536,0.7357,5.2516,15.3797,0.9238,0.7021,1.8688,3.2387,0.0000,0.4215,0.5076,0.4337,3.2682,7.1888,0.1627,0.1517,0.7114,0.3785,0.0023,1.7596,0.0000,0.0000,6.2263,0.0237,1.0000,0.0034,0.4257,0.0000,0.0000,3.284E-2,5.0000,0.0185,0.1914,0.0000,0.0000,1.342E-3,10.0000,0.0452,0.1072,0.0238,0.0000,1.323E-4,6.2418,0.0241,0.1626,0.0000,0.0000,6.993E-4,33.9426,0.3183,0.0158,0.0952,0.2500,1.569E-5,19.2989,0.1167,0.0476,0.0476,0.2500,4.16E-4,28.3008,0.2237,0.0238,0.0476,0.2500,5.296E-5,10.5334,0.0481,0.1018,0.0238,0.0000,1.073E-4,10.5334,0.0481,0.1018,0.0238,0.0000,1.073E-4,5.2651,0.0197,0.1845,0.0000,0.0000,1.159E-3,18.6232,0.1087,0.0503,0.0476,0.2500,4.895E-4
Gastrellarius_honestus,42,2.9664,3.9174,500,0.9923,4,2.5770,0.8857,0.0966,10042,8.9716,0.1596,2.4575,3.2446,11.7240,9.0596,11.2899,1.6175,0.4539,9.7889,1.0946,4.6233,15.2829,0.4973,0.4405,1.8990,2.0894,0.0000,1.2382,0.2936,0.3814,5.7045,5.3769,0.0927,0.2591,0.2396,0.3228,0.0764,1.1322,0.1886,0.0000,6.3031,0.0258,1.0000,0.0036,0.4450,0.0000,0.2500,2.349E-1,5.0000,0.0188,0.2037,0.0000,0.2500,2.866E-2,10.0000,0.0467,0.1133,0.0000,0.2500,5.327E-3,14.8782,0.0808,0.0728,0.0000,0.2500,1.459E-3,31.9928,0.2819,0.0202,0.0952,0.2500,3.254E-5,20.1684,0.1295,0.0476,0.0476,0.2500,4.16E-4,14.8782,0.0808,0.0728,0.0000,0.2500,1.459E-3,3.6229,0.0134,0.2500,0.0000,0.2500,5.081E-2,50.5673,0.6050,0.0061,0.1905,0.2500,8.925E-7,5.6245,0.0213,0.1871,0.0000,0.2500,2.253E-2,18.4563,0.1145,0.0544,0.0476,0.2500,6.167E-4
Gastrellarius_honestus,42,2.9308,3.9464,500,0.9917,4,3.9238,0.9930,0.0033,10042,5.6286,1.2125,2.8019,2.3643,11.7385,8.7183,10.7839,2.1231,0.0885,9.2078,0.9475,5.4495,12.5653,0.8456,7.2795,2.1254,3.8475,0.0000,0.7715,0.2818,0.1926,3.6606,3.9660,0.0235,0.0972,1.2882,0.6750,0.1289,1.1869,0.0000,0.0000,6.2811,0.0251,1.0000,0.0037,0.4159,0.0000,0.0000,2.991E-2,5.0000,0.0198,0.1855,0.0000,0.0000,1.185E-3,10.0000,0.0505,0.1034,0.0000,0.0000,1.142E-4,11.5052,0.0600,0.0897,0.0000,0.0000,6.481E-5,36.4016,0.3790,0.0144,0.0952,0.0000,4.347E-8,19.2538,0.1262,0.0476,0.0476,0.0000,5.134E-6,30.3130,0.2701,0.0217,0.0476,0.0000,2.221E-7,36.4016,0.3790,0.0144,0.0952,0.0000,4.347E-8,36.4016,0.3790,0.0144,0.0952,0.0000,4.347E-8,5.2378,0.0208,0.1794,0.0000,0.0000,1.037E-3,17.8012,0.1167,0.0532,0.0476,0.0000,7.996E-6
Gastrellarius_honestus,42,3.0101,4.0183,500,0.9902,4,2.3943,0.9575,0.0313,10042,7.5766,2.2186,2.1937,0.6517,14.4078,8.4688,8.1552,2.1312,0.1483,8.7604,0.8954,5.3357,15.4109,0.6293,0.4296,1.3043,3.0002,0.0000,0.4771,0.3709,0.2606,3.6721,9.3364,0.0567,0.3455,1.0235,1.2279,0.2104,1.1571,0.0829,0.0609,6.2474,0.0242,1.0000,0.0034,0.4440,0.0000,0.0000,3.887E-2,5.0000,0.0174,0.1971,0.0000,0.0000,1.508E-3,10.0000,0.0441,0.1079,0.0238,0.2500,4.624E-3,6.9871,0.0269,0.1509,0.0000,0.0000,5.18E-4,36.1811,0.3557,0.0137,0.0952,0.2500,1.027E-5,18.9961,0.1172,0.0476,0.0476,0.2500,4.16E-4,36.0742,0.3508,0.0139,0.0714,0.2500,1.073E-5,6.9925,0.0270,0.1508,0.0238,0.2500,1.216E-2,6.9871,0.0269,0.1509,0.0000,0.0000,5.18E-4,5.6242,0.0202,0.1802,0.0000,0.0000,1.055E-3,18.0687,0.1077,0.0514,0.0476,0.2500,5.218E-4
