Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Gentiana_decora,47,2.5581,3.2662,500,0.9847,6,0.6164,0.8243,0.0888,10047,1.1693,0.8539,1.0859,0.4588,3.3185,40.8303,7.1957,0.1415,2.6222,0.2426,0.0117,5.0872,10.7158,7.8326,0.1708,1.3140,1.5336,0.0000,0.1671,0.0000,0.0000,0.3172,0.1788,0.1744,0.2387,0.6905,0.6299,2.3867,10.3956,0.2329,0.0040,6.6783,0.0377,1.0000,0.0051,0.5222,0.0000,0.1667,1.316E-1,5.0000,0.0232,0.2513,0.0000,0.3333,3.83E-2,10.0000,0.0552,0.1440,0.0000,0.3333,5.056E-3,11.4831,0.0655,0.1257,0.0000,0.3333,3.032E-3,23.8836,0.1959,0.0486,0.0851,0.5000,2.051E-3,18.7554,0.1324,0.0703,0.0638,0.3333,3.258E-4,15.8364,0.1041,0.0876,0.0213,0.3333,7.636E-4,3.0994,0.0141,0.3333,0.0000,0.3333,1.001E-1,22.5887,0.1774,0.0532,0.0851,0.3333,1.098E-4,6.4871,0.0306,0.2084,0.0000,0.3333,1.969E-2,17.1775,0.1169,0.0790,0.0426,0.3333,5.135E-4
Gentiana_decora,47,2.4547,3.1430,500,0.9798,6,2.8430,0.9808,0.0061,10047,0.9299,2.6455,0.1244,0.0185,3.9138,36.8043,5.9528,0.8243,3.1172,0.0008,0.0238,4.1032,12.3988,8.0458,0.1191,0.2234,0.5742,0.0000,0.2294,0.0472,0.1045,0.8295,0.0000,0.2699,0.4310,1.0097,0.5349,0.0551,13.2008,3.4683,0.0000,6.7754,0.0417,1.0000,0.0056,0.5426,0.0000,0.0000,2.553E-2,5.0000,0.0245,0.2656,0.0000,0.0000,3.507E-4,10.0000,0.0575,0.1543,0.0213,0.0000,1.348E-5,8.1669,0.0439,0.1846,0.0000,0.0000,3.961E-5,25.3949,0.2165,0.0492,0.0851,0.0000,1.413E-8,19.0842,0.1441,0.0745,0.0851,0.0000,1.717E-7,16.9539,0.1194,0.0868,0.0426,0.0000,4.274E-7,27.8819,0.2502,0.0421,0.1277,0.0000,5.57E-9,27.8819,0.2502,0.0421,0.1277,0.0000,5.57E-9,6.5839,0.0337,0.2192,0.0000,0.0000,1.108E-4,16.8921,0.1191,0.0872,0.0426,0.0000,4.393E-7
Gentiana_decora,47,2.4962,3.2582,500,0.9822,6,1.9026,0.9323,0.0415,10047,2.8214,0.0558,0.4030,0.0025,5.5915,42.2825,4.6001,0.5313,2.7327,0.0000,0.2743,4.8695,11.4426,9.2998,0.0000,0.3971,0.3448,0.0000,1.9757,0.0127,0.0506,0.7375,0.1290,0.2198,0.2378,0.5384,0.6529,0.1851,8.4665,1.1452,0.0000,6.7279,0.0396,1.0000,0.0054,0.5318,0.0000,0.0000,2.262E-2,5.0000,0.0232,0.2530,0.0000,0.1667,4.909E-3,10.0000,0.0553,0.1408,0.0213,0.1667,2.934E-4,5.9007,0.0277,0.2243,0.0000,0.1667,2.772E-3,21.8132,0.1929,0.0562,0.0851,0.3333,1.368E-4,19.8518,0.1629,0.0638,0.0638,0.3333,2.238E-4,19.3513,0.1562,0.0659,0.0426,0.3333,2.537E-4,8.3912,0.0440,0.1666,0.0213,0.1667,6.635E-4,15.6147,0.1104,0.0862,0.0426,0.1667,2.65E-5,5.9007,0.0277,0.2243,0.0000,0.1667,2.772E-3,16.1063,0.1190,0.0831,0.0426,0.3333,6.238E-4
Gentiana_decora,48,2.5352,3.2788,500,0.9814,5,1.9919,0.9430,0.0356,10048,0.6053,1.2977,0.1936,2.6743,3.0090,37.3067,6.2721,1.2501,3.1085,0.0000,0.3518,3.8502,12.4070,7.3567,0.1414,0.1263,0.7697,0.0000,0.7873,0.0000,0.0995,0.6851,0.1350,0.2828,0.4341,1.5485,0.7594,0.1102,11.1235,3.3142,0.0000,6.6946,0.0383,1.0000,0.0052,0.5122,0.0000,0.0000,3.527E-2,5.0000,0.0243,0.2447,0.0000,0.0000,8.778E-4,10.0000,0.0572,0.1419,0.0625,0.2000,1.798E-3,8.7805,0.0489,0.1594,0.0000,0.2000,2.819E-3,21.8376,0.1722,0.0555,0.0833,0.2000,4.544E-5,19.6115,0.1491,0.0649,0.0625,0.2000,8.404E-5,19.6115,0.1491,0.0649,0.0625,0.2000,8.404E-5,6.6320,0.0334,0.2000,0.0000,0.2000,6.725E-3,6.0491,0.0299,0.2144,0.0000,0.0000,4.527E-4,6.2730,0.0312,0.2087,0.0000,0.2000,7.902E-3,16.7149,0.1134,0.0803,0.0625,0.2000,1.947E-4
Gentiana_decora,48,2.4653,3.2021,500,0.9794,5,2.9590,0.9593,0.0273,10048,1.4445,1.4447,0.2060,0.9423,3.9747,37.5364,5.3633,1.7499,3.2126,0.0000,0.3341,4.8072,10.7533,8.1467,0.2825,1.1932,1.0736,0.0000,0.4137,0.0830,0.0000,0.2680,0.0886,0.0830,0.5907,0.8431,0.9007,0.3421,11.3108,2.6114,0.0000,6.7693,0.0414,1.0000,0.0056,0.5278,0.0000,0.0000,4.095E-2,5.0000,0.0245,0.2539,0.0000,0.0000,1.055E-3,10.0000,0.0600,0.1465,0.0625,0.2000,2.033E-3,8.9823,0.0518,0.1614,0.0000,0.0000,1.096E-4,16.9284,0.1228,0.0828,0.0833,0.2000,2.195E-4,16.8482,0.1221,0.0833,0.0833,0.2000,2.247E-4,16.7845,0.1212,0.0837,0.0625,0.2000,2.289E-4,8.9886,0.0518,0.1614,0.0208,0.2000,2.957E-3,8.9823,0.0518,0.1614,0.0000,0.0000,1.096E-4,6.4357,0.0335,0.2115,0.0000,0.0000,4.231E-4,16.3342,0.1171,0.0866,0.0625,0.2000,2.615E-4
Gentiana_decora,48,2.5824,3.3298,500,0.9839,5,0.7026,0.8753,0.0734,10048,3.4661,1.7368,0.0640,0.2186,2.9698,39.2899,4.8506,0.8591,2.8128,0.0808,0.2573,4.3935,13.2061,7.5596,0.3009,0.2162,2.8608,0.0000,0.7819,0.0021,0.0026,0.0119,0.1095,0.5323,0.4333,0.9490,0.7061,0.1655,8.6996,2.4630,0.0000,6.6451,0.0365,1.0000,0.0048,0.5011,0.0000,0.0000,3.159E-2,5.0000,0.0231,0.2300,0.0000,0.2000,1.142E-2,10.0000,0.0575,0.1307,0.0000,0.2000,1.305E-3,10.4333,0.0610,0.1253,0.0000,0.2000,1.109E-3,22.7687,0.1907,0.0489,0.0833,0.4000,1.083E-3,19.1968,0.1477,0.0625,0.0625,0.4000,2.218E-3,22.0562,0.1807,0.0513,0.0625,0.4000,1.245E-3,6.0618,0.0298,0.2000,0.0000,0.2000,6.725E-3,14.3562,0.0976,0.0895,0.0625,0.2000,2.975E-4,6.0338,0.0297,0.2007,0.0000,0.2000,6.815E-3,16.4245,0.1179,0.0764,0.0625,0.4000,3.969E-3
Gentiana_decora,48,2.5970,3.3328,500,0.9838,5,0.2485,0.8101,0.0865,10048,2.2941,2.1618,0.5752,0.4302,3.1987,37.6397,6.0850,1.9105,2.8315,0.0000,0.1917,2.5632,13.1132,7.1738,0.0084,0.1341,0.6582,0.0224,0.5210,0.0000,0.0000,0.4765,0.0630,0.3179,0.5776,0.5897,0.8313,0.1509,11.1383,4.3423,0.0000,6.6334,0.0360,1.0000,0.0046,0.5266,0.0000,0.0000,4.048E-2,5.0000,0.0213,0.2368,0.0000,0.4000,9.005E-2,10.0000,0.0561,0.1316,0.0208,0.4000,1.852E-2,6.2415,0.0285,0.1993,0.0000,0.4000,5.742E-2,20.4669,0.1591,0.0570,0.0833,0.6000,2.897E-2,18.3896,0.1376,0.0660,0.0625,0.4000,2.596E-3,14.6991,0.0988,0.0871,0.0208,0.4000,5.771E-3,2.0638,0.0084,0.4000,0.0000,0.4000,3.174E-1,1.7890,0.0074,0.4261,0.0000,0.0000,1.404E-2,6.2415,0.0285,0.1993,0.0000,0.4000,5.742E-2,16.5382,0.1177,0.0756,0.0625,0.4000,3.851E-3
Gentiana_decora,48,2.3930,3.1120,500,0.9783,5,3.8196,0.9914,0.0055,10048,1.4457,1.7729,0.1435,0.0841,4.3119,40.5912,6.1112,1.0914,3.1960,0.6233,0.1900,4.2252,13.0983,4.5919,0.2661,0.2272,0.8428,0.0000,0.5556,0.0317,0.0257,0.2874,0.1300,0.6111,0.3908,0.6335,0.8159,0.6995,10.5098,2.4963,0.0000,6.8353,0.0441,1.0000,0.0060,0.5352,0.0000,0.0000,4.392E-2,5.0000,0.0255,0.2586,0.0000,0.0000,1.156E-3,10.0000,0.0622,0.1491,0.0208,0.0000,7.365E-5,7.4502,0.0429,0.1924,0.0000,0.0000,2.635E-4,19.0956,0.1595,0.0725,0.0833,0.0000,1.996E-6,17.1045,0.1347,0.0833,0.0833,0.0000,4.011E-6,19.0956,0.1595,0.0725,0.0833,0.0000,1.996E-6,32.4360,0.3516,0.0326,0.1875,0.0000,3.707E-8,32.4360,0.3516,0.0326,0.1875,0.0000,3.707E-8,6.5181,0.0357,0.2136,0.0000,0.0000,4.444E-4,15.6548,0.1185,0.0926,0.0833,0.0000,6.792E-6
Gentiana_decora,48,2.4698,3.1512,500,0.9787,5,2.2485,0.9735,0.0085,10048,1.1381,1.7174,1.8136,0.8716,4.3785,37.6174,5.5179,1.5137,3.0276,0.0088,0.2823,4.6653,12.8563,4.5655,0.0046,0.1395,0.7828,0.0000,0.5960,0.0016,0.0087,0.4230,0.1272,0.3430,0.3015,0.5484,0.6581,0.0954,12.2085,3.7599,0.0277,6.7550,0.0409,1.0000,0.0054,0.5424,0.0000,0.0000,4.694E-2,5.0000,0.0240,0.2630,0.0000,0.0000,1.259E-3,10.0000,0.0570,0.1525,0.0208,0.0000,8.239E-5,7.1963,0.0372,0.2020,0.0000,0.0000,3.366E-4,21.1843,0.1661,0.0636,0.0833,0.0000,1.04E-6,17.6821,0.1261,0.0812,0.0833,0.0000,3.532E-6,16.7547,0.1151,0.0870,0.0417,0.0000,4.979E-6,24.0864,0.2010,0.0524,0.1250,0.0000,3.969E-7,24.0864,0.2010,0.0524,0.1250,0.0000,3.969E-7,6.6519,0.0330,0.2148,0.0000,0.0000,4.569E-4,17.0017,0.1182,0.0854,0.0625,0.0000,4.54E-6
Gentiana_decora,48,2.5492,3.2617,500,0.9817,5,1.4850,0.9301,0.0321,10048,2.4070,1.0051,0.0540,0.6817,5.4181,38.4457,4.8009,2.3419,2.9572,0.0017,0.3092,3.6498,13.0334,8.0754,0.0537,0.2218,0.4169,0.0000,0.5607,0.0032,0.0434,0.5398,0.1084,0.2254,0.6387,0.5695,0.7874,0.4212,10.6169,1.6122,0.0000,6.6971,0.0386,1.0000,0.0051,0.5334,0.0000,0.0000,4.319E-2,5.0000,0.0226,0.2491,0.0000,0.0000,9.592E-4,10.0000,0.0558,0.1407,0.0000,0.2000,1.74E-3,10.0144,0.0559,0.1406,0.0000,0.2000,1.735E-3,16.5392,0.1166,0.0804,0.0833,0.4000,4.593E-3,16.0750,0.1127,0.0833,0.0833,0.4000,5.082E-3,10.0144,0.0559,0.1406,0.0000,0.2000,1.735E-3,8.0176,0.0410,0.1727,0.0000,0.2000,3.831E-3,8.0138,0.0410,0.1727,0.0000,0.0000,1.535E-4,6.4208,0.0312,0.2071,0.0000,0.0000,3.81E-4,16.5067,0.1164,0.0806,0.0833,0.4000,4.626E-3
