Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Glischrochilus_sanguinolentus,110,4.0413,4.3213,500,0.9944,13,4.2788,0.9944,0.0010,10110,1.5752,3.7362,0.0000,0.0133,3.5708,4.7438,0.0032,0.0000,0.0000,28.6582,0.0887,1.7140,8.9481,0.0011,9.8661,0.6781,0.0391,0.0484,0.3494,0.2764,0.0713,15.5622,4.1539,0.0702,0.0619,2.8037,3.4684,7.6260,1.7785,0.0312,0.0629,5.2184,0.0083,1.0000,0.0018,0.1186,0.0000,0.0000,9.181E-13,5.0000,0.0372,0.0218,0.0091,0.0000,2.453E-22,10.0000,0.1974,0.0115,0.0273,0.0000,5.973E-26,4.8483,0.0347,0.0225,0.0000,0.0000,3.686E-22,15.2842,0.5820,0.0099,0.0909,0.2308,2.495E-18,6.9305,0.0716,0.0155,0.0182,0.0000,3.054E-24,4.8483,0.0347,0.0225,0.0000,0.0000,3.686E-22,11.5837,0.3325,0.0107,0.0273,0.0000,2.359E-26,11.5837,0.3325,0.0107,0.0273,0.0000,2.359E-26,2.2616,0.0072,0.0528,0.0000,0.0000,2.49E-17,5.9167,0.0546,0.0182,0.0091,0.0000,2.404E-23
Glischrochilus_sanguinolentus,110,4.0459,4.3538,500,0.9945,13,3.8539,0.9786,0.0163,10110,2.9977,2.5739,3.2977,0.0356,3.5253,9.1055,0.0163,0.0191,0.0000,24.9614,0.0222,1.3982,9.6687,0.0003,8.8211,1.0066,0.0452,0.0280,0.2633,0.1386,0.0407,12.7958,5.1077,0.0000,0.1779,2.6797,4.4131,3.9539,2.7635,0.1149,0.0283,5.2340,0.0084,1.0000,0.0019,0.1195,0.0000,0.0769,9.794E-11,5.0000,0.0350,0.0227,0.0000,0.0769,2.322E-19,10.0000,0.1637,0.0118,0.0091,0.0769,9.094E-23,6.8240,0.0753,0.0163,0.0000,0.0769,4.572E-21,15.2756,0.5552,0.0100,0.0818,0.0769,1.273E-23,11.3174,0.2829,0.0109,0.0091,0.0769,3.542E-23,6.8240,0.0753,0.0163,0.0000,0.0769,4.572E-21,1.6385,0.0041,0.0770,0.0000,0.0769,5.208E-13,22.3806,0.5802,0.0090,0.1727,0.0769,3.646E-24,2.3030,0.0073,0.0543,0.0000,0.0769,8.118E-15,6.0393,0.0546,0.0185,0.0000,0.0769,2.049E-20
Glischrochilus_sanguinolentus,110,4.0266,4.3286,500,0.9944,13,4.3734,0.9947,0.0009,10110,5.8829,1.4975,2.8883,0.3623,3.4342,3.9863,0.0010,0.0000,0.0000,22.4632,0.0413,2.9222,9.8070,0.0025,6.7261,0.9536,0.1067,0.0000,0.3309,0.0763,0.0516,15.8520,3.9248,0.0300,0.0015,2.7854,4.5197,5.7336,2.7279,2.8551,0.0362,5.2332,0.0084,1.0000,0.0017,0.1328,0.0000,0.0000,4.011E-12,5.0000,0.0374,0.0226,0.0000,0.0000,3.903E-22,10.0000,0.2091,0.0116,0.0182,0.0000,6.678E-26,5.5444,0.0424,0.0201,0.0000,0.0000,8.623E-23,14.9941,0.5658,0.0100,0.0818,0.0769,1.273E-23,7.4111,0.0834,0.0148,0.0182,0.0000,1.688E-24,5.5444,0.0424,0.0201,0.0000,0.0000,8.623E-23,12.0254,0.3593,0.0105,0.0273,0.0000,1.85E-26,12.0254,0.3593,0.0105,0.0273,0.0000,1.85E-26,2.4845,0.0074,0.0532,0.0000,0.0000,2.744E-17,5.9924,0.0511,0.0185,0.0091,0.0000,2.966E-23
Glischrochilus_sanguinolentus,111,4.0519,4.3146,500,0.9943,12,3.3095,0.9315,0.0581,10111,3.5532,6.9674,0.6100,2.6781,3.4789,9.0826,0.0027,0.0041,0.0000,24.9358,0.0000,0.9041,11.7515,0.0287,8.4140,0.7069,0.0144,0.0000,0.1836,0.1108,0.0293,13.9034,0.4899,0.0024,0.0266,1.6386,4.5358,3.3952,2.5409,0.0112,0.0000,5.2120,0.0082,1.0000,0.0018,0.1206,0.0000,0.0833,8.349E-10,5.0000,0.0350,0.0212,0.0090,0.0833,4.493E-18,10.0000,0.2449,0.0112,0.0270,0.0833,4.035E-21,3.6016,0.0177,0.0312,0.0000,0.0833,3.128E-16,15.8530,0.5651,0.0099,0.0991,0.1667,5.804E-19,8.1061,0.1210,0.0131,0.0090,0.0833,2.226E-20,8.1061,0.1210,0.0131,0.0090,0.0833,2.226E-20,1.4896,0.0032,0.0834,0.0000,0.0833,1.5E-11,11.0310,0.3135,0.0107,0.0270,0.0833,2.454E-21,2.3276,0.0071,0.0515,0.0000,0.0833,7.774E-14,5.7493,0.0510,0.0181,0.0090,0.0833,8.056E-19
Glischrochilus_sanguinolentus,111,4.0175,4.3190,500,0.9943,12,4.4390,0.9950,0.0009,10111,4.4143,1.4764,0.0198,1.7852,4.6481,5.0575,0.0188,0.0000,0.0000,21.6068,0.0373,0.8504,10.4315,0.0219,12.7633,0.7110,0.0329,0.0000,0.2696,0.1945,0.0337,15.6818,1.1413,0.0813,0.0449,2.3527,4.0421,7.5200,1.9612,2.7314,0.0702,5.2252,0.0083,1.0000,0.0020,0.1157,0.0000,0.0000,5.764E-12,5.0000,0.0411,0.0213,0.0090,0.0000,8.545E-21,10.0000,0.2030,0.0116,0.0270,0.0000,5.764E-24,4.5451,0.0324,0.0235,0.0000,0.0000,2.893E-20,15.6361,0.5660,0.0100,0.0901,0.0000,9.87E-25,7.0425,0.0827,0.0152,0.0180,0.0000,1.559E-22,4.5451,0.0324,0.0235,0.0000,0.0000,2.893E-20,15.6361,0.5660,0.0100,0.0901,0.0000,9.87E-25,15.6361,0.5660,0.0100,0.0901,0.0000,9.87E-25,2.2747,0.0072,0.0523,0.0000,0.0000,4.207E-16,5.8263,0.0532,0.0183,0.0090,0.0000,1.408E-21
Glischrochilus_sanguinolentus,111,4.0455,4.3402,500,0.9943,12,4.0914,0.9932,0.0018,10111,1.0004,1.4219,0.0418,4.0340,3.0814,6.3055,0.0301,0.0199,0.0000,24.9751,0.0778,1.7464,10.7205,0.0022,10.9865,0.8099,0.0312,0.0000,0.2255,0.1146,0.0271,15.2899,1.1345,0.3729,0.0918,2.5401,10.9339,1.3252,2.6194,0.0404,0.0000,5.1914,0.0081,1.0000,0.0017,0.1182,0.0000,0.0000,7.428E-12,5.0000,0.0415,0.0193,0.0090,0.0833,1.618E-18,10.0000,0.2683,0.0110,0.0180,0.0833,3.316E-21,3.1050,0.0122,0.0345,0.0000,0.0000,2.86E-18,15.6035,0.5521,0.0098,0.0811,0.0833,9.43E-22,9.1301,0.1795,0.0115,0.0090,0.0833,5.381E-21,9.1301,0.1795,0.0115,0.0090,0.0833,5.381E-21,3.8991,0.0208,0.0256,0.0090,0.0000,7.981E-20,3.8991,0.0208,0.0256,0.0090,0.0000,7.981E-20,2.3636,0.0071,0.0485,0.0000,0.0000,1.678E-16,5.4301,0.0470,0.0177,0.0090,0.0833,6.32E-19
Glischrochilus_sanguinolentus,111,4.0094,4.3149,500,0.9943,12,4.4289,0.9949,0.0009,10111,1.3765,1.0370,2.8983,1.0163,3.2309,4.1756,0.0763,0.0000,0.0000,28.0309,0.0336,3.1524,8.9433,0.0008,8.0199,0.6973,0.0743,0.3868,0.2395,0.1749,0.0108,16.4610,1.1831,0.0202,0.0012,2.9091,4.1527,7.1872,1.6407,2.8134,0.0557,5.2472,0.0085,1.0000,0.0017,0.1315,0.0000,0.0000,2.683E-11,5.0000,0.0363,0.0229,0.0090,0.0000,2.13E-20,10.0000,0.1884,0.0118,0.0270,0.0000,7.064E-24,4.5338,0.0292,0.0255,0.0000,0.0000,7.619E-20,16.6003,0.5679,0.0098,0.0901,0.0000,7.764E-25,7.8380,0.0929,0.0143,0.0180,0.0000,7.566E-23,7.8380,0.0929,0.0143,0.0090,0.0000,7.566E-23,16.6003,0.5679,0.0098,0.0901,0.0000,7.764E-25,16.6003,0.5679,0.0098,0.0901,0.0000,7.764E-25,2.4697,0.0074,0.0524,0.0000,0.0000,4.303E-16,6.0231,0.0531,0.0188,0.0090,0.0000,1.939E-21
Glischrochilus_sanguinolentus,111,4.0178,4.3088,500,0.9943,12,4.2939,0.9953,0.0009,10111,3.7245,1.0759,0.6719,3.6090,2.9975,4.0027,0.5466,0.0000,0.0000,26.6718,0.0168,0.8892,9.1718,0.0045,11.1809,0.9754,0.0538,0.0030,0.3008,0.2319,0.0650,15.7141,0.9714,0.5779,0.0000,2.9458,3.1113,6.7568,3.5842,0.1453,0.0000,5.2180,0.0083,1.0000,0.0018,0.1207,0.0000,0.0000,9.523E-12,5.0000,0.0387,0.0210,0.0090,0.0000,7.219E-21,10.0000,0.2410,0.0113,0.0360,0.0833,4.445E-21,4.1906,0.0244,0.0257,0.0000,0.0000,8.359E-20,16.0099,0.5475,0.0098,0.0811,0.0833,9.43E-22,6.2166,0.0621,0.0167,0.0180,0.0000,4.755E-22,4.1906,0.0244,0.0257,0.0000,0.0000,8.359E-20,8.7846,0.1578,0.0124,0.0180,0.0000,1.275E-23,8.7846,0.1578,0.0124,0.0180,0.0000,1.275E-23,2.3269,0.0072,0.0518,0.0000,0.0000,3.754E-16,5.7364,0.0517,0.0182,0.0090,0.0000,1.319E-21
Glischrochilus_sanguinolentus,111,4.0810,4.3640,500,0.9945,12,3.3736,0.9441,0.0477,10111,1.6004,2.8836,0.0037,2.0885,4.1145,4.5472,0.0904,0.0310,0.0000,25.7247,0.0043,1.5742,9.7911,0.0000,10.6242,0.5298,0.0498,0.0000,0.1431,0.0570,0.0218,15.6078,3.8097,0.1133,0.0000,2.5373,3.7886,6.6220,3.5351,0.0376,0.0694,5.1719,0.0080,1.0000,0.0017,0.0993,0.0000,0.0833,1.009E-10,5.0000,0.0470,0.0177,0.0000,0.0833,6.32E-19,10.0000,0.3050,0.0109,0.0270,0.1667,1.503E-18,8.0438,0.1541,0.0122,0.0000,0.0833,1.025E-20,14.9762,0.5536,0.0100,0.0901,0.2500,2.12E-16,8.6873,0.2024,0.0117,0.0090,0.1667,3.028E-18,8.0438,0.1541,0.0122,0.0000,0.0833,1.025E-20,1.1828,0.0023,0.0834,0.0000,0.0833,1.5E-11,8.0438,0.1541,0.0122,0.0000,0.0833,1.025E-20,2.0272,0.0069,0.0465,0.0000,0.0833,2.515E-14,5.0990,0.0504,0.0174,0.0000,0.0833,5.249E-19
Glischrochilus_sanguinolentus,111,4.0175,4.3165,500,0.9944,12,4.4131,0.9949,0.0009,10111,0.4747,4.6395,1.1654,0.0000,4.0558,6.1057,0.1339,0.0000,0.0000,29.3201,0.0397,1.3408,9.9653,0.0268,8.0956,0.5975,0.0538,0.0000,0.3269,0.2062,0.0080,15.9806,1.0768,0.0660,0.0445,2.9241,3.9366,3.8595,2.4957,3.0605,0.0000,5.2300,0.0084,1.0000,0.0021,0.1075,0.0000,0.0000,2.384E-12,5.0000,0.0433,0.0213,0.0000,0.0000,8.545E-21,10.0000,0.2381,0.0117,0.0270,0.0000,6.383E-24,5.2628,0.0473,0.0203,0.0000,0.0000,4.825E-21,16.6524,0.5390,0.0098,0.0901,0.1667,5.25E-19,6.8745,0.0811,0.0157,0.0180,0.0000,2.287E-22,5.2628,0.0473,0.0203,0.0000,0.0000,4.825E-21,14.7789,0.5373,0.0102,0.0721,0.0000,1.249E-24,14.7789,0.5373,0.0102,0.0721,0.0000,1.249E-24,2.2047,0.0073,0.0515,0.0000,0.0000,3.504E-16,5.8318,0.0578,0.0184,0.0090,0.0000,1.502E-21
