Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Gomphus_animalia_rogersi,36,4.8103,5.2805,500,0.9981,4,5.1503,0.9979,0.0006,10036,0.7109,1.1633,0.1015,2.9187,11.2116,11.2282,0.2740,0.2245,5.0467,3.3231,37.3370,3.7014,4.0027,0.0000,0.3106,0.0839,0.0000,0.0000,0.4776,0.5704,5.6491,0.6140,9.3276,0.7130,0.0000,0.1605,0.0000,0.0514,0.7983,0.0000,0.0000,4.4152,0.0036,1.0000,0.0017,0.0774,0.0000,0.0000,3.593E-5,5.0000,0.0209,0.0173,0.0000,0.0000,9.036E-8,10.0000,0.0704,0.0075,0.0000,0.0000,3.119E-9,11.5636,0.1063,0.0061,0.0000,0.0000,1.365E-9,20.8318,0.4462,0.0032,0.0833,0.2500,1.294E-7,11.5636,0.1063,0.0061,0.0000,0.0000,1.365E-9,11.5636,0.1063,0.0061,0.0000,0.0000,1.365E-9,17.7961,0.3285,0.0036,0.0833,0.0000,1.656E-10,17.7961,0.3285,0.0036,0.0833,0.0000,1.656E-10,1.7405,0.0033,0.0511,0.0000,0.0000,6.827E-6,9.3773,0.0672,0.0082,0.0000,0.0000,4.457E-9
Gomphus_animalia_rogersi,36,4.9621,5.3411,500,0.9981,4,2.2210,0.9599,0.0305,10036,2.2321,0.0766,0.7507,0.0019,14.3448,9.3147,1.5438,0.0685,5.3563,7.3696,40.5979,2.7949,5.9381,0.0166,0.0624,0.0890,0.0171,0.0000,0.2581,0.5055,2.2535,0.5094,5.4780,0.2479,0.0282,0.0569,0.0000,0.0061,0.0816,0.0000,0.0000,4.2694,0.0032,1.0000,0.0015,0.0592,0.0000,0.2500,7.925E-4,5.0000,0.0237,0.0116,0.0000,0.2500,6.123E-6,10.0000,0.1058,0.0051,0.0278,0.5000,1.539E-4,7.0618,0.0526,0.0076,0.0000,0.5000,3.406E-4,20.0702,0.6012,0.0033,0.0833,0.5000,6.459E-5,7.0618,0.0526,0.0076,0.0000,0.5000,3.406E-4,7.0618,0.0526,0.0076,0.0000,0.5000,3.406E-4,0.2403,0.0002,0.1455,0.0000,0.2500,1.097E-2,0.2400,0.0002,0.1455,0.0000,0.0000,4.479E-4,1.5479,0.0028,0.0403,0.0000,0.2500,2.531E-4,7.6258,0.0693,0.0071,0.0278,0.5000,2.975E-4
Gomphus_animalia_rogersi,36,4.8005,5.2830,500,0.9981,4,5.5137,0.9986,0.0005,10036,0.7670,2.3308,2.2221,0.8947,11.0292,9.0444,0.3413,0.2745,10.4755,2.7274,37.4962,0.1002,4.4111,0.0000,0.0000,0.0194,0.0000,0.0000,1.3726,0.9669,3.0527,0.6739,9.7882,0.4442,0.0000,0.1275,0.0000,0.0749,1.3653,0.0000,0.0000,4.4286,0.0037,1.0000,0.0017,0.0758,0.0000,0.0000,3.306E-5,5.0000,0.0207,0.0176,0.0000,0.0000,9.675E-8,10.0000,0.0758,0.0075,0.0000,0.0000,3.119E-9,12.0903,0.1127,0.0059,0.0000,0.0000,1.194E-9,21.4442,0.4582,0.0033,0.0833,0.0000,1.169E-10,12.0903,0.1127,0.0059,0.0000,0.0000,1.194E-9,12.0903,0.1127,0.0059,0.0000,0.0000,1.194E-9,45.6542,0.6537,0.0021,0.2778,0.0000,1.917E-11,45.6542,0.6537,0.0021,0.2778,0.0000,1.917E-11,1.6964,0.0033,0.0519,0.0000,0.0000,7.263E-6,9.3570,0.0639,0.0083,0.0000,0.0000,4.678E-9
Gomphus_animalia_rogersi,36,4.8135,5.2999,500,0.9981,4,5.0935,0.9974,0.0005,10036,6.4495,1.1117,0.6885,2.9396,13.3361,6.3994,1.8163,0.4068,2.8440,1.6886,37.6288,0.6341,4.9378,0.0000,0.0100,0.0576,0.0000,0.0000,0.8039,0.1039,2.7474,0.5329,12.9533,0.4162,0.0000,0.4470,0.0000,0.0546,0.9917,0.0000,0.0000,4.4357,0.0037,1.0000,0.0016,0.0802,0.0000,0.0000,4.139E-5,5.0000,0.0192,0.0185,0.0000,0.0000,1.18E-7,10.0000,0.0745,0.0079,0.0000,0.0000,3.839E-9,14.3726,0.1473,0.0047,0.0000,0.0000,4.81E-10,21.0735,0.4481,0.0033,0.0833,0.2500,1.419E-7,14.3726,0.1473,0.0047,0.0000,0.0000,4.81E-10,14.3726,0.1473,0.0047,0.0000,0.0000,4.81E-10,18.7647,0.3318,0.0035,0.0556,0.0000,1.479E-10,18.7647,0.3318,0.0035,0.0556,0.0000,1.479E-10,1.7562,0.0034,0.0532,0.0000,0.0000,8.015E-6,9.5852,0.0708,0.0084,0.0000,0.0000,4.908E-9
Gomphus_animalia_rogersi,36,4.8035,5.2796,500,0.9981,4,5.5270,0.9989,0.0006,10036,5.2088,2.6812,0.3438,1.7727,15.7053,6.5696,0.2505,0.4658,4.6901,4.0113,37.0759,0.3778,4.6330,0.0000,0.0000,0.0230,0.0000,0.0000,0.6332,7.0387,0.4580,1.1138,5.1808,0.4177,0.0000,0.3795,0.0000,0.0637,0.9057,0.0000,0.0000,4.4354,0.0037,1.0000,0.0018,0.0752,0.0000,0.0000,3.203E-5,5.0000,0.0212,0.0179,0.0000,0.0000,1.035E-7,10.0000,0.0758,0.0077,0.0000,0.0000,3.465E-9,12.3691,0.1169,0.0058,0.0000,0.0000,1.115E-9,21.5005,0.4476,0.0032,0.0833,0.0000,1.034E-10,12.3691,0.1169,0.0058,0.0000,0.0000,1.115E-9,12.3691,0.1169,0.0058,0.0000,0.0000,1.115E-9,29.9075,0.6403,0.0028,0.1389,0.0000,6.059E-11,29.9075,0.6403,0.0028,0.1389,0.0000,6.059E-11,1.6441,0.0033,0.0532,0.0000,0.0000,8.015E-6,9.4247,0.0696,0.0084,0.0000,0.0000,4.908E-9
Gomphus_animalia_rogersi,36,4.7976,5.2748,500,0.9981,4,5.5441,0.9990,0.0005,10036,4.0069,0.0993,0.0038,0.2985,9.6442,11.9478,0.2671,0.3018,11.4365,4.0291,36.4494,0.7667,6.2742,0.0000,0.0000,0.0099,0.0000,0.0000,0.8866,0.5290,3.2513,0.5219,7.4432,0.5410,0.0000,0.1297,0.0077,0.1123,1.0420,0.0000,0.0000,4.4308,0.0037,1.0000,0.0017,0.0772,0.0000,0.0000,3.556E-5,5.0000,0.0196,0.0178,0.0000,0.0000,1.012E-7,10.0000,0.0759,0.0076,0.0000,0.0000,3.289E-9,11.8538,0.1084,0.0061,0.0000,0.0000,1.365E-9,21.4112,0.4584,0.0033,0.0833,0.0000,1.169E-10,11.8538,0.1084,0.0061,0.0000,0.0000,1.365E-9,11.8538,0.1084,0.0061,0.0000,0.0000,1.365E-9,45.6981,0.6540,0.0021,0.2778,0.0000,1.917E-11,45.6981,0.6540,0.0021,0.2778,0.0000,1.917E-11,1.6811,0.0033,0.0535,0.0000,0.0000,8.197E-6,9.4507,0.0639,0.0083,0.0000,0.0000,4.678E-9
Gomphus_animalia_rogersi,36,4.9145,5.3956,500,0.9982,4,3.4331,0.9712,0.0237,10036,1.2421,0.7073,1.7255,1.4897,13.2459,10.2526,0.4621,0.0599,9.9491,1.1549,36.8960,1.8354,5.8319,0.0000,0.0249,0.0377,0.0000,0.0949,1.1876,0.2104,2.4308,0.3335,8.7014,0.9419,0.0450,0.0823,0.0000,0.0130,1.0444,0.0000,0.0000,4.2946,0.0033,1.0000,0.0019,0.0562,0.0000,0.2500,6.8E-4,5.0000,0.0228,0.0122,0.0000,0.2500,7.12E-6,10.0000,0.1106,0.0054,0.0000,0.2500,6.206E-7,13.9225,0.2515,0.0040,0.0000,0.2500,2.525E-7,20.0787,0.5992,0.0033,0.0833,0.2500,1.419E-7,13.9225,0.2515,0.0040,0.0000,0.2500,2.525E-7,13.9225,0.2515,0.0040,0.0000,0.2500,2.525E-7,0.3129,0.0004,0.1109,0.0000,0.0000,1.513E-4,0.3129,0.0004,0.1109,0.0000,0.0000,1.513E-4,1.4384,0.0029,0.0427,0.0000,0.2500,3.024E-4,7.5565,0.0685,0.0073,0.0000,0.2500,1.531E-6
Gomphus_animalia_rogersi,36,4.7999,5.2821,500,0.9981,4,5.4783,0.9982,0.0006,10036,3.3936,1.0074,2.4216,0.0511,7.0375,12.7072,0.1825,0.1361,6.4251,3.3423,39.2979,0.0815,5.7925,0.0000,0.0000,0.0369,0.0000,0.0000,0.9183,0.9321,3.0743,0.8577,9.8596,0.4436,0.0000,0.1518,0.0000,0.1822,1.6673,0.0000,0.0000,4.4332,0.0037,1.0000,0.0017,0.0777,0.0000,0.0000,3.649E-5,5.0000,0.0201,0.0182,0.0000,0.0000,1.106E-7,10.0000,0.0716,0.0076,0.0000,0.0000,3.289E-9,12.3276,0.1240,0.0057,0.0000,0.0000,1.041E-9,21.4135,0.4440,0.0033,0.0833,0.0000,1.169E-10,12.3276,0.1240,0.0057,0.0000,0.0000,1.041E-9,12.3276,0.1240,0.0057,0.0000,0.0000,1.041E-9,27.5877,0.6442,0.0030,0.1667,0.0000,7.984E-11,27.5877,0.6442,0.0030,0.1667,0.0000,7.984E-11,1.7084,0.0033,0.0529,0.0000,0.0000,7.837E-6,9.3640,0.0620,0.0084,0.0000,0.0000,4.908E-9
Gomphus_animalia_rogersi,36,4.9538,5.3878,500,0.9982,4,2.9855,0.9545,0.0383,10036,0.6864,0.0000,0.6898,0.7478,10.6891,13.7370,0.0298,0.3094,7.6371,3.9590,40.8543,4.4445,4.7641,0.0000,0.0000,0.0000,0.0000,0.0209,0.4305,0.3581,2.3906,0.1700,6.0950,0.2835,0.0000,0.2264,0.0000,0.1894,1.2874,0.0000,0.0000,4.2828,0.0033,1.0000,0.0022,0.0437,0.0000,0.2500,3.238E-4,5.0000,0.0336,0.0110,0.0000,0.2500,5.224E-6,10.0000,0.1153,0.0055,0.0000,0.2500,6.557E-7,15.0701,0.2700,0.0039,0.0000,0.2500,2.34E-7,20.4379,0.5795,0.0033,0.0833,0.2500,1.419E-7,15.0701,0.2700,0.0039,0.0000,0.2500,2.34E-7,15.0701,0.2700,0.0039,0.0000,0.2500,2.34E-7,0.0460,0.0001,0.1782,0.0000,0.2500,1.96E-2,0.0460,0.0001,0.1782,0.0000,0.0000,1.007E-3,1.2198,0.0028,0.0375,0.0000,0.2500,2.044E-4,7.5839,0.0714,0.0072,0.0000,0.2500,1.469E-6
Gomphus_animalia_rogersi,36,4.8266,5.2919,500,0.9981,4,5.3971,0.9978,0.0006,10036,5.7448,2.8778,0.6270,1.6339,13.7298,9.9937,0.2420,0.4284,3.6517,3.3302,38.0769,1.7479,4.1061,0.0000,0.0011,0.0119,0.0000,0.0000,1.3166,0.4912,2.9288,0.5902,6.4564,0.5614,0.0000,0.1477,0.0000,0.2589,1.0455,0.0000,0.0000,4.4211,0.0036,1.0000,0.0017,0.0740,0.0000,0.0000,3.004E-5,5.0000,0.0219,0.0175,0.0000,0.0000,9.458E-8,10.0000,0.0703,0.0076,0.0000,0.0000,3.289E-9,11.7393,0.1047,0.0062,0.0000,0.0000,1.457E-9,21.1028,0.4841,0.0033,0.0833,0.0000,1.169E-10,11.7393,0.1047,0.0062,0.0000,0.0000,1.457E-9,11.7393,0.1047,0.0062,0.0000,0.0000,1.457E-9,23.0173,0.6143,0.0032,0.1111,0.0000,1.034E-10,23.0173,0.6143,0.0032,0.1111,0.0000,1.034E-10,1.6311,0.0033,0.0524,0.0000,0.0000,7.546E-6,9.4086,0.0660,0.0083,0.0000,0.0000,4.678E-9
