Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Gyrinophilus_porphyriticus,141,2.0497,2.5340,500,0.9576,16,1.6255,0.8903,0.0421,10141,3.0482,2.9696,3.4052,0.0656,7.8835,5.7119,0.6816,0.2780,3.0110,6.6089,2.7630,0.2122,7.9746,1.1388,1.1937,1.8487,0.2597,0.2088,0.8185,15.4048,1.0699,0.1343,26.1404,0.2474,1.1064,1.4263,0.3034,2.0821,0.3380,1.6565,0.0090,7.2390,0.0658,1.0000,0.0100,0.6447,0.0000,0.0000,8.909E-4,5.0000,0.0337,0.3715,0.0213,0.1250,4.884E-5,10.0000,0.0670,0.2344,0.0496,0.1250,1.107E-7,3.2313,0.0234,0.4552,0.0000,0.1250,6.522E-4,19.2318,0.1471,0.1213,0.0993,0.2500,1.148E-8,20.2591,0.1561,0.1134,0.1135,0.3125,1.007E-7,24.7934,0.2065,0.0850,0.1206,0.3125,4.876E-9,11.7262,0.0814,0.2047,0.0638,0.1875,3.302E-7,11.5422,0.0796,0.2076,0.0638,0.1250,2.151E-8,3.2313,0.0234,0.4552,0.0000,0.1250,6.522E-4,17.3555,0.1295,0.1373,0.0993,0.2500,4.74E-8
Gyrinophilus_porphyriticus,141,2.0231,2.5084,500,0.9537,16,2.2762,0.9267,0.0360,10141,3.2071,4.7917,0.3905,1.7763,6.2465,9.5211,0.0873,0.3663,2.0736,6.8802,3.4565,0.2447,7.3690,1.2614,0.1374,1.7581,0.4000,0.1079,0.7381,14.1196,0.1374,0.2365,23.7937,0.4514,0.5650,3.4000,0.2691,3.4206,0.3366,2.3839,0.0725,7.2623,0.0674,1.0000,0.0100,0.6646,0.0000,0.0000,1.45E-3,5.0000,0.0333,0.3844,0.0213,0.0625,6.046E-6,10.0000,0.0662,0.2433,0.0709,0.0625,7.639E-9,3.2387,0.0232,0.4709,0.0000,0.0625,1.108E-4,18.3679,0.1368,0.1309,0.0993,0.1250,3.992E-11,20.4960,0.1593,0.1135,0.1135,0.1875,2.08E-10,30.1482,0.2713,0.0618,0.1631,0.3125,1.647E-10,19.0389,0.1432,0.1250,0.1064,0.1250,2.138E-11,15.6794,0.1101,0.1577,0.0993,0.0625,1.262E-11,3.2387,0.0232,0.4709,0.0000,0.0625,1.108E-4,17.3204,0.1269,0.1405,0.0993,0.1250,1.06E-10
Gyrinophilus_porphyriticus,141,2.1464,2.6204,500,0.9601,16,0.6996,0.7735,0.0718,10141,4.5740,3.1960,1.8694,0.0890,6.8401,6.5283,0.0704,0.2177,2.3456,6.4329,1.4562,0.1212,6.3578,1.3769,1.0560,1.7275,0.2175,0.3907,0.8766,14.0592,0.9196,0.1461,26.7244,0.6580,0.6563,2.1233,0.1574,2.6456,0.2782,5.8879,0.0000,7.1542,0.0601,1.0000,0.0086,0.6348,0.0000,0.2500,2.476E-1,5.0000,0.0307,0.3496,0.0284,0.3125,6.13E-3,10.0000,0.0634,0.2148,0.0496,0.3125,6.574E-5,1.2062,0.0097,0.6066,0.0000,0.2500,1.804E-1,23.0284,0.1908,0.0842,0.0993,0.4375,1.406E-6,21.6782,0.1757,0.0919,0.0922,0.4375,2.929E-6,16.9809,0.1258,0.1255,0.0496,0.4375,3.839E-5,6.0280,0.0371,0.3125,0.0284,0.3125,2.269E-3,43.6257,0.4605,0.0236,0.2766,0.4375,2.209E-11,6.0280,0.0371,0.3125,0.0284,0.3125,2.269E-3,16.9135,0.1252,0.1261,0.0496,0.4375,3.989E-5
Gyrinophilus_porphyriticus,141,2.0007,2.4469,500,0.9514,16,2.2231,0.9502,0.0168,10141,5.5928,1.1921,0.1928,1.8495,5.8382,6.8959,0.4444,0.2354,3.0937,2.5909,2.2108,0.1811,9.1833,1.9331,0.6000,2.2782,2.0324,0.3436,1.2131,18.6482,0.0541,0.1139,25.8608,0.4484,0.7614,0.5106,0.3450,3.6071,0.3297,1.4017,0.0178,7.3162,0.0716,1.0000,0.0106,0.6771,0.0000,0.0000,1.95E-3,5.0000,0.0354,0.4002,0.0213,0.0000,4.322E-7,10.0000,0.0686,0.2591,0.0638,0.0000,4.137E-10,2.8370,0.0224,0.5100,0.0000,0.0000,2.095E-5,16.6631,0.1199,0.1607,0.0993,0.1250,6.661E-10,21.1005,0.1641,0.1206,0.1206,0.1875,4.478E-10,29.6148,0.2531,0.0715,0.1418,0.2500,2.47E-11,20.5257,0.1584,0.1250,0.1206,0.1250,2.138E-11,11.7639,0.0811,0.2267,0.0709,0.0000,4.868E-11,3.8806,0.0284,0.4506,0.0071,0.0000,2.893E-6,17.8753,0.1325,0.1483,0.1135,0.1250,2.219E-10
Gyrinophilus_porphyriticus,141,2.0384,2.4864,500,0.9518,16,1.9713,0.9129,0.0534,10141,2.0180,1.5060,1.3961,0.3178,7.1306,8.6816,0.0413,0.3562,1.1834,8.7736,3.6677,0.1551,8.0658,1.3119,5.6086,1.8957,0.2670,0.2845,0.9336,15.1585,0.8026,0.2366,22.5378,0.7032,0.5133,1.2632,0.3503,2.8600,0.5133,1.4078,0.0588,7.2481,0.0665,1.0000,0.0101,0.6660,0.0000,0.0625,1.352E-2,5.0000,0.0331,0.3869,0.0213,0.0625,6.655E-6,10.0000,0.0645,0.2445,0.0638,0.0625,8.204E-9,1.3426,0.0122,0.6237,0.0000,0.0625,5.587E-3,16.4468,0.1149,0.1502,0.0993,0.0625,6.131E-12,19.6399,0.1475,0.1206,0.1206,0.0625,2.356E-13,20.5989,0.1565,0.1131,0.1206,0.0625,9.072E-14,20.6121,0.1565,0.1131,0.1277,0.1250,5.383E-12,20.5989,0.1565,0.1131,0.1206,0.0625,9.072E-14,4.7147,0.0314,0.3988,0.0142,0.0625,1.027E-5,17.6023,0.1252,0.1385,0.1064,0.0625,1.852E-12
Gyrinophilus_porphyriticus,141,2.1139,2.5641,500,0.9585,16,1.0960,0.8371,0.0575,10141,2.0807,3.4700,0.5887,2.1149,8.1515,8.0522,0.1786,0.3295,0.4459,10.4330,3.2058,0.2095,4.2462,1.1661,2.0302,1.8390,0.1971,0.3286,0.5253,16.0895,0.6847,0.6795,25.3925,0.0720,0.3965,0.9584,0.2357,2.4209,0.9110,2.5551,0.0113,7.1948,0.0629,1.0000,0.0091,0.6300,0.0000,0.0625,6.405E-3,5.0000,0.0331,0.3512,0.0213,0.1250,2.361E-5,10.0000,0.0679,0.2204,0.0638,0.3125,8.461E-5,1.4611,0.0118,0.5722,0.0000,0.1250,1.058E-2,19.0720,0.1486,0.1149,0.0993,0.3750,1.657E-6,19.8106,0.1554,0.1094,0.1064,0.3750,1.047E-6,28.2350,0.2538,0.0645,0.1418,0.5000,2.404E-6,9.5779,0.0646,0.2283,0.0567,0.2500,1.418E-5,7.5327,0.0502,0.2730,0.0213,0.1250,8.496E-7,4.1159,0.0274,0.3884,0.0071,0.1250,8.69E-5,17.0542,0.1287,0.1313,0.0851,0.3750,5.72E-6
Gyrinophilus_porphyriticus,141,2.1137,2.5820,500,0.9566,16,1.2076,0.8693,0.0360,10141,7.3381,4.0048,1.1236,0.2977,5.6723,7.5181,0.1058,0.4320,3.0534,6.4099,3.3343,0.3989,7.4983,1.2641,3.0456,1.8632,0.5253,0.2496,0.8916,13.7405,0.8048,0.3115,22.4656,0.6674,0.4198,1.7170,0.1568,3.2699,0.3968,1.0233,0.0000,7.1467,0.0595,1.0000,0.0087,0.6503,0.0000,0.0000,1.024E-3,5.0000,0.0301,0.3652,0.0355,0.0625,2.879E-6,10.0000,0.0610,0.2253,0.0638,0.3125,1.049E-4,2.8890,0.0187,0.4731,0.0000,0.0000,6.305E-6,19.5435,0.1384,0.1098,0.0993,0.3750,1.083E-6,19.9803,0.1431,0.1064,0.1064,0.3750,8.1E-7,23.4203,0.1806,0.0838,0.1206,0.4375,1.351E-6,8.1354,0.0483,0.2661,0.0638,0.2500,7.472E-5,5.3865,0.0323,0.3501,0.0355,0.0625,1.562E-6,2.8890,0.0187,0.4731,0.0000,0.0000,6.305E-6,17.6985,0.1230,0.1251,0.0993,0.3750,3.661E-6
Gyrinophilus_porphyriticus,142,2.1395,2.6134,500,0.9585,15,0.7444,0.8028,0.0728,10142,3.4748,4.5940,1.0041,0.3143,4.6461,8.0808,0.0228,0.5663,5.4450,3.3495,3.6951,0.1335,7.4839,1.2461,0.5602,3.0902,0.4180,0.2025,0.7998,16.0716,1.2978,0.2572,26.1470,0.4618,0.7565,2.5766,0.3133,2.2686,0.5221,0.1856,0.0153,7.1729,0.0613,1.0000,0.0087,0.6229,0.0070,0.1333,4.002E-2,5.0000,0.0333,0.3457,0.0211,0.2000,4.2E-4,10.0000,0.0663,0.2158,0.0634,0.2667,2.683E-5,0.6500,0.0065,0.6820,0.0000,0.1333,9.902E-2,19.7785,0.1532,0.1070,0.0986,0.4000,5.013E-6,19.9748,0.1555,0.1056,0.1056,0.4000,4.497E-6,28.8114,0.2559,0.0600,0.1268,0.4667,7.415E-7,9.6812,0.0641,0.2217,0.0634,0.2000,3.224E-6,15.2740,0.1132,0.1448,0.0845,0.2667,4.55E-7,4.1582,0.0277,0.3802,0.0141,0.2000,1.141E-3,17.0365,0.1291,0.1285,0.0915,0.4000,2.29E-5
Gyrinophilus_porphyriticus,142,2.0800,2.5491,500,0.9555,15,1.6900,0.8556,0.0653,10142,3.6080,4.0395,2.6360,0.0571,6.5302,8.2742,0.1147,0.2833,0.4766,4.9705,3.1872,0.1762,8.8296,1.7866,1.2879,2.5118,0.3708,0.2800,0.7573,15.6751,1.1456,0.1729,25.6018,0.3685,0.4782,1.2026,0.3468,2.3431,0.3862,2.1016,0.0000,7.2289,0.0651,1.0000,0.0093,0.6453,0.0000,0.1333,5.743E-2,5.0000,0.0338,0.3674,0.0352,0.2000,7.978E-4,10.0000,0.0667,0.2318,0.0563,0.2000,5.327E-6,1.8293,0.0146,0.5502,0.0000,0.1333,1.069E-2,19.1231,0.1454,0.1195,0.0986,0.2667,6.096E-8,20.8859,0.1663,0.1065,0.1056,0.2667,1.808E-8,25.5925,0.2179,0.0790,0.1127,0.2667,7.539E-10,11.8612,0.0815,0.2000,0.0704,0.2000,1.009E-6,34.1849,0.3235,0.0466,0.1831,0.2667,2.602E-12,1.8293,0.0146,0.5502,0.0000,0.1333,1.069E-2,17.2405,0.1274,0.1359,0.0775,0.2667,2.338E-7
Gyrinophilus_porphyriticus,142,2.1016,2.5480,500,0.9523,15,1.1812,0.8615,0.0371,10142,4.2855,2.5694,1.3760,2.8181,5.8538,10.0709,0.4548,0.2140,0.0118,7.9283,3.2677,0.1024,7.7017,1.2761,0.7246,3.0130,0.1640,0.1469,0.8798,12.5630,1.4213,0.1696,23.9274,0.1609,0.8555,1.5877,0.3787,1.9020,0.5273,3.5243,0.1234,7.1828,0.0619,1.0000,0.0090,0.6311,0.0000,0.0000,1.004E-3,5.0000,0.0322,0.3528,0.0423,0.0667,4.654E-6,10.0000,0.0667,0.2198,0.0775,0.3333,2.605E-4,2.3262,0.0168,0.4953,0.0000,0.0000,2.646E-5,15.9381,0.1138,0.1398,0.0986,0.4000,4.575E-5,19.0738,0.1483,0.1127,0.1127,0.4000,7.742E-6,28.0711,0.2440,0.0634,0.1479,0.4667,1.12E-6,7.7946,0.0501,0.2667,0.0634,0.2667,2.17E-4,5.9580,0.0383,0.3186,0.0493,0.0667,1.169E-6,2.3262,0.0168,0.4953,0.0000,0.0000,2.646E-5,16.9950,0.1251,0.1298,0.1056,0.4000,2.484E-5
