Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Haploa_clymene,26,3.9072,4.9634,500,0.9977,3,4.9165,0.9981,0.0004,10026,7.0677,3.6512,0.4027,0.3391,2.4429,2.3871,15.8311,0.0373,1.0891,3.5857,1.6168,1.6021,5.1959,0.0313,18.5989,3.4503,0.0000,0.0458,0.0000,1.2423,0.1384,0.1859,18.3559,0.4089,3.1163,4.3816,1.2330,0.0000,3.5308,0.0208,0.0111,5.3322,0.0092,1.0000,0.0025,0.2074,0.0000,0.0000,8.916E-3,5.0000,0.0147,0.0814,0.0000,0.0000,5.391E-4,10.0000,0.0392,0.0382,0.0000,0.0000,5.575E-5,19.0266,0.1366,0.0145,0.0000,0.0000,3.025E-6,39.2856,0.5316,0.0037,0.0769,0.0000,5.026E-8,19.0266,0.1366,0.0145,0.0000,0.0000,3.025E-6,19.0266,0.1366,0.0145,0.0000,0.0000,3.025E-6,50.0172,0.6779,0.0023,0.1923,0.0000,1.207E-8,50.0172,0.6779,0.0023,0.1923,0.0000,1.207E-8,3.0633,0.0082,0.1175,0.0000,0.0000,1.622E-3,15.4797,0.0884,0.0205,0.0000,0.0000,8.674E-6
Haploa_clymene,26,3.8879,4.9507,500,0.9977,3,4.8456,0.9979,0.0004,10026,7.8338,3.8492,0.7751,0.3380,1.4287,1.1345,19.0449,0.0278,0.8184,2.5672,1.3785,1.4103,6.1417,0.0395,25.4322,3.5313,0.0000,0.0166,0.0000,1.5928,0.1655,0.1027,7.9079,0.5242,3.2051,5.1342,1.1890,0.0000,4.3638,0.0473,0.0000,5.3608,0.0095,1.0000,0.0026,0.2082,0.0000,0.0000,9.02E-3,5.0000,0.0154,0.0826,0.0000,0.0000,5.633E-4,10.0000,0.0401,0.0394,0.0000,0.0000,6.115E-5,18.7010,0.1275,0.0153,0.0000,0.0000,3.554E-6,40.3604,0.5439,0.0036,0.0769,0.0000,4.629E-8,18.7010,0.1275,0.0153,0.0000,0.0000,3.554E-6,18.7010,0.1275,0.0153,0.0000,0.0000,3.554E-6,51.6269,0.7155,0.0023,0.2308,0.0000,1.207E-8,51.6269,0.7155,0.0023,0.2308,0.0000,1.207E-8,3.0366,0.0084,0.1186,0.0000,0.0000,1.668E-3,15.4796,0.0887,0.0211,0.0000,0.0000,9.454E-6
Haploa_clymene,26,4.2162,5.2161,500,0.9983,3,-0.5617,0.8132,0.0927,10026,8.7642,2.2268,1.9279,0.3786,1.6436,1.5992,23.2815,0.0454,0.9129,2.0432,1.6763,0.7932,6.4787,0.0000,27.1397,4.8094,0.0000,0.0041,0.0000,0.6350,0.0000,0.2219,5.6899,0.6804,2.0708,2.0372,1.3073,0.1143,3.5185,0.0000,0.0000,5.0071,0.0066,1.0000,0.0017,0.1630,0.0000,0.6667,4.136E-1,5.0000,0.0139,0.0499,0.0000,0.6667,1.423E-1,10.0000,0.0471,0.0204,0.0000,0.6667,6.009E-2,15.5028,0.1233,0.0109,0.0000,0.6667,3.226E-2,42.1299,0.6196,0.0025,0.0769,0.6667,7.462E-3,15.5028,0.1233,0.0109,0.0000,0.6667,3.226E-2,15.5028,0.1233,0.0109,0.0000,0.6667,3.226E-2,0.1427,0.0002,0.3333,0.0000,0.3333,2.593E-1,0.0703,0.0001,0.3935,0.0000,0.0000,6.092E-2,2.6634,0.0059,0.0873,0.0000,0.6667,2.396E-1,12.5220,0.0827,0.0149,0.0000,0.6667,4.392E-2
Haploa_clymene,26,4.1026,5.1210,500,0.9980,3,0.1273,0.7668,0.1891,10026,4.3927,4.8525,2.6179,0.7036,2.7946,1.1234,16.7184,0.0000,0.9428,3.7334,1.2104,0.9505,4.1531,0.0000,18.4095,4.1607,0.0000,0.5889,0.0000,0.4855,0.0593,1.1930,17.2557,0.0320,2.2949,4.7095,1.0823,0.0572,5.4781,0.0000,0.0000,5.1304,0.0075,1.0000,0.0023,0.1676,0.0000,0.3333,7.482E-2,5.0000,0.0152,0.0625,0.0000,0.3333,1.124E-2,10.0000,0.0413,0.0291,0.0000,0.3333,2.495E-3,15.0055,0.0941,0.0163,0.0000,0.3333,7.843E-4,40.2413,0.6066,0.0029,0.0769,0.3333,2.505E-5,15.0055,0.0941,0.0163,0.0000,0.3333,7.843E-4,15.0055,0.0941,0.0163,0.0000,0.3333,7.843E-4,0.1121,0.0003,0.3333,0.0000,0.3333,2.593E-1,50.5343,0.7347,0.0021,0.2308,0.3333,1.314E-5,2.6120,0.0067,0.1013,0.0000,0.3333,2.873E-2,14.6436,0.0891,0.0169,0.0000,0.3333,8.428E-4
Haploa_clymene,27,3.8888,4.9617,500,0.9977,2,5.6148,0.9991,0.0006,10027,6.9103,2.3045,2.3196,0.0328,1.7113,2.0501,19.1959,0.7726,2.0033,2.8701,1.3907,1.8241,5.4185,0.0708,30.2249,4.2825,0.0000,0.0028,0.0000,1.4372,0.0790,1.1878,1.6994,0.7092,2.9074,3.1058,1.4065,0.0000,4.0111,0.0701,0.0017,5.3438,0.0093,1.0000,0.0024,0.2034,0.0000,0.0000,4.135E-2,5.0000,0.0154,0.0770,0.0000,0.0000,5.928E-3,10.0000,0.0447,0.0369,0.0000,0.0000,1.362E-3,18.6129,0.1339,0.0150,0.0000,0.0000,2.238E-4,39.6875,0.5327,0.0037,0.0741,0.0000,1.362E-5,18.6129,0.1339,0.0150,0.0000,0.0000,2.238E-4,18.6129,0.1339,0.0150,0.0000,0.0000,2.238E-4,58.0253,0.8056,0.0019,0.2963,0.0000,3.591E-6,58.0253,0.8056,0.0019,0.2963,0.0000,3.591E-6,3.0423,0.0083,0.1123,0.0000,0.0000,1.261E-2,15.1817,0.0903,0.0208,0.0000,0.0000,4.345E-4
Haploa_clymene,26,4.0946,5.0643,500,0.9975,3,1.0886,0.9014,0.0703,10026,5.5173,4.5888,1.2772,0.6352,2.0818,0.3554,18.6532,0.5201,0.7609,3.9058,1.2177,0.8804,3.9237,0.0027,39.1932,3.1333,0.0164,0.0461,0.1695,1.1819,0.0000,0.0786,1.1304,0.7370,2.4471,2.9116,1.4897,0.0000,2.9099,0.2350,0.0000,5.1230,0.0074,1.0000,0.0020,0.1892,0.0000,0.3333,9.385E-2,5.0000,0.0129,0.0697,0.0000,0.3333,1.39E-2,10.0000,0.0373,0.0323,0.0000,0.3333,3.065E-3,12.4983,0.0539,0.0234,0.0000,0.3333,1.622E-3,23.5136,0.2063,0.0073,0.0769,0.6667,2.168E-2,12.5323,0.0541,0.0234,0.0385,0.6667,6.868E-2,12.4983,0.0539,0.0234,0.0000,0.3333,1.622E-3,0.3714,0.0007,0.2703,0.0000,0.3333,1.797E-1,0.3711,0.0007,0.2703,0.0000,0.0000,1.975E-2,2.8729,0.0067,0.1075,0.0000,0.3333,3.22E-2,15.4330,0.0821,0.0167,0.0385,0.6667,4.914E-2
Haploa_clymene,26,4.0822,5.1550,500,0.9982,3,-0.1947,0.7488,0.2033,10026,4.5875,2.3045,0.0538,1.3829,3.0574,1.6407,21.7154,0.4633,1.1421,3.3003,2.4621,1.2948,5.8607,0.0336,25.5295,3.3192,0.0000,0.0000,0.0000,0.8307,0.0785,0.0132,7.3109,0.3390,2.3969,3.3913,2.5853,0.0000,4.8537,0.0527,0.0000,5.1661,0.0077,1.0000,0.0020,0.1990,0.0000,0.3333,1.03E-1,5.0000,0.0130,0.0705,0.0000,0.3333,1.422E-2,10.0000,0.0370,0.0316,0.0000,0.3333,2.936E-3,17.9746,0.1359,0.0125,0.0000,0.3333,4.624E-4,38.7345,0.5577,0.0031,0.0385,0.3333,2.862E-5,17.9746,0.1359,0.0125,0.0000,0.3333,4.624E-4,17.9746,0.1359,0.0125,0.0000,0.3333,4.624E-4,0.2193,0.0004,0.3333,0.0000,0.3333,2.593E-1,42.9352,0.6216,0.0026,0.1538,0.3333,2.014E-5,3.0895,0.0069,0.1056,0.0000,0.3333,3.111E-2,14.8327,0.0818,0.0175,0.0000,0.3333,9.034E-4
Haploa_clymene,26,3.9720,4.9551,500,0.9973,3,3.5534,0.9916,0.0047,10026,5.6692,1.4090,2.8471,1.2540,1.7626,1.8505,19.8766,0.0618,1.6349,2.2724,1.3197,1.0881,5.6166,0.0121,35.9399,3.3960,0.0000,0.0000,0.0060,1.0015,0.0267,0.2935,0.5999,0.8503,2.3673,4.4433,0.9360,0.0000,3.3464,0.0839,0.0345,5.2544,0.0085,1.0000,0.0022,0.2110,0.0000,0.0000,9.387E-3,5.0000,0.0133,0.0776,0.0000,0.0000,4.673E-4,10.0000,0.0391,0.0352,0.0000,0.0000,4.365E-5,14.7096,0.0764,0.0197,0.0000,0.0000,7.702E-6,21.4213,0.1799,0.0103,0.0769,0.3333,3.145E-4,14.7531,0.0769,0.0197,0.0385,0.3333,1.155E-3,14.7096,0.0764,0.0197,0.0000,0.0000,7.702E-6,14.7096,0.0764,0.0197,0.0000,0.0000,7.702E-6,14.7096,0.0764,0.0197,0.0000,0.0000,7.702E-6,3.1919,0.0076,0.1117,0.0000,0.0000,1.394E-3,15.0658,0.0800,0.0191,0.0385,0.3333,1.075E-3
Haploa_clymene,26,3.9069,4.9763,500,0.9977,3,4.6894,0.9970,0.0013,10026,6.2793,6.8119,0.1240,4.3512,2.0738,1.0179,18.4290,0.0434,0.0000,3.0589,1.3611,1.4257,6.0166,0.0325,23.6009,3.1882,0.0000,0.0482,0.0000,0.9761,0.0209,0.2168,7.9885,0.4806,3.4057,3.0447,1.8186,0.0000,4.1189,0.0587,0.0081,5.3238,0.0091,1.0000,0.0023,0.2182,0.0000,0.0000,1.039E-2,5.0000,0.0137,0.0835,0.0000,0.0000,5.818E-4,10.0000,0.0376,0.0384,0.0000,0.0000,5.662E-5,19.0344,0.1312,0.0142,0.0000,0.0000,2.841E-6,39.2619,0.5078,0.0036,0.0769,0.3333,3.859E-5,19.0344,0.1312,0.0142,0.0000,0.0000,2.841E-6,19.0344,0.1312,0.0142,0.0000,0.0000,2.841E-6,29.4805,0.3414,0.0062,0.0769,0.0000,2.365E-7,29.4805,0.3414,0.0062,0.0769,0.0000,2.365E-7,3.1907,0.0081,0.1178,0.0000,0.0000,1.634E-3,15.3691,0.0874,0.0204,0.0000,0.0000,8.548E-6
Haploa_clymene,26,3.9346,4.9920,500,0.9979,3,3.6095,0.9936,0.0022,10026,7.5577,6.3913,0.8028,1.9884,2.7633,2.1432,16.1706,0.2044,0.0000,0.0553,1.7686,1.5229,5.8404,0.0234,24.7677,3.4766,0.0000,0.0416,0.0000,1.3918,0.1016,0.1435,11.2024,0.5337,3.2807,3.7581,1.1969,0.0000,2.7507,0.1065,0.0158,5.3135,0.0091,1.0000,0.0027,0.1870,0.0000,0.0000,6.541E-3,5.0000,0.0162,0.0736,0.0000,0.0000,3.988E-4,10.0000,0.0434,0.0354,0.0000,0.0000,4.439E-5,20.1685,0.1631,0.0121,0.0000,0.0000,1.758E-6,41.8114,0.5502,0.0033,0.0769,0.6667,9.842E-3,20.1685,0.1631,0.0121,0.0000,0.0000,1.758E-6,20.1685,0.1631,0.0121,0.0000,0.0000,1.758E-6,21.4512,0.1834,0.0109,0.0385,0.0000,1.285E-6,21.4512,0.1834,0.0109,0.0385,0.0000,1.285E-6,2.7936,0.0080,0.1118,0.0000,0.0000,1.398E-3,14.8344,0.0860,0.0202,0.0000,0.0000,8.301E-6
