Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Heuchera_americana,34,2.0086,2.8627,500,0.9554,4,0.4991,0.8294,0.0950,10034,3.5825,2.2447,0.6499,1.3822,6.7635,8.3651,4.4540,0.8158,0.6927,2.4394,0.4379,9.2003,13.4982,7.2946,0.0765,0.1439,0.0578,0.0000,1.5664,26.5948,2.6668,2.4851,0.2685,0.0246,0.4700,0.0488,0.2550,0.5804,2.4138,0.5268,0.0000,7.2150,0.0695,1.0000,0.0102,0.6689,0.0000,0.0000,2.002E-1,5.0000,0.0351,0.4096,0.0294,0.2500,1.904E-1,10.0000,0.0668,0.2781,0.0294,0.2500,6.806E-2,2.0377,0.0170,0.5648,0.0000,0.0000,1.017E-1,20.2736,0.1390,0.1493,0.0882,0.2500,1.182E-2,24.4985,0.1699,0.1176,0.1176,0.5000,7.054E-2,29.2974,0.2108,0.0895,0.1176,0.5000,4.251E-2,11.6020,0.0770,0.2500,0.0294,0.2500,5.081E-2,21.0630,0.1434,0.1427,0.1176,0.2500,1.038E-2,2.0377,0.0170,0.5648,0.0000,0.0000,1.017E-1,21.9954,0.1506,0.1354,0.1176,0.5000,9.12E-2
Heuchera_americana,34,2.1066,3.0857,500,0.9622,4,-0.2273,0.7795,0.0620,10034,3.4123,2.2949,0.1475,0.6412,6.1508,8.3185,7.7251,0.0528,6.3185,0.8638,0.0000,5.4712,12.9582,4.7482,0.0000,0.1887,0.3575,0.0198,1.1519,33.9502,0.2960,1.3018,0.1362,0.0000,0.5033,0.1182,0.2245,0.7404,1.8175,0.0910,0.0000,7.1203,0.0629,1.0000,0.0090,0.6668,0.0000,0.0000,1.977E-1,5.0000,0.0323,0.4032,0.0294,0.0000,2.644E-2,10.0000,0.0595,0.2707,0.0294,0.2500,6.322E-2,1.4387,0.0117,0.6147,0.0000,0.0000,1.428E-1,20.8668,0.1329,0.1353,0.0882,0.7500,4.41E-1,23.2404,0.1494,0.1176,0.1176,0.7500,3.937E-1,47.8006,0.3985,0.0241,0.1471,1.0000,1E0,10.4938,0.0627,0.2613,0.0294,0.2500,5.739E-2,5.1786,0.0331,0.3968,0.0294,0.0000,2.478E-2,7.7990,0.0470,0.3189,0.0294,0.2500,9.871E-2,22.4627,0.1437,0.1232,0.1176,0.7500,4.089E-1
Heuchera_americana,34,2.1332,3.1043,500,0.9682,4,-0.2262,0.7498,0.1081,10034,3.2751,0.6670,0.5832,2.1314,5.4049,11.0318,5.1378,0.8947,4.0810,1.5178,0.0000,7.4807,11.4365,6.2004,0.0155,0.3320,0.1316,0.0000,4.3291,29.5766,0.7174,1.0677,0.1954,0.0108,0.5282,0.0189,0.1885,1.2731,1.6409,0.1321,0.0000,7.1182,0.0625,1.0000,0.0090,0.6563,0.0000,0.0000,1.855E-1,5.0000,0.0316,0.3898,0.0294,0.2500,1.676E-1,10.0000,0.0613,0.2575,0.0294,0.2500,5.512E-2,3.4278,0.0227,0.4598,0.0000,0.2500,2.548E-1,28.9038,0.2099,0.0775,0.0882,0.7500,2.759E-1,26.7459,0.1902,0.0882,0.0882,0.7500,3.088E-1,20.5873,0.1342,0.1282,0.0294,0.5000,8.252E-2,10.4054,0.0638,0.2500,0.0294,0.2500,5.081E-2,10.4054,0.0638,0.2500,0.0294,0.2500,5.081E-2,3.4278,0.0227,0.4598,0.0000,0.2500,2.548E-1,21.2657,0.1390,0.1230,0.0882,0.7500,4.084E-1
Heuchera_americana,34,2.0883,3.0679,500,0.9658,4,0.6264,0.7057,0.1859,10034,3.6149,1.7439,0.5202,0.4045,7.5665,11.6573,6.4760,0.6846,6.4014,0.4112,0.0000,4.9981,7.7485,3.9497,0.0948,0.7576,1.5393,0.0000,1.4372,29.1017,2.6524,1.4498,0.0428,0.0000,0.9943,0.1955,0.3324,1.0283,3.8508,0.3463,0.0000,7.1497,0.0640,1.0000,0.0095,0.5947,0.0000,0.2500,4.66E-1,5.0000,0.0363,0.3483,0.0294,0.2500,1.249E-1,10.0000,0.0709,0.2331,0.0294,0.5000,2.336E-1,1.0429,0.0099,0.5891,0.0000,0.2500,4.564E-1,28.8919,0.2280,0.0755,0.0882,0.5000,3.089E-2,26.1704,0.2018,0.0882,0.0882,0.5000,4.137E-2,19.0938,0.1435,0.1314,0.0294,0.5000,8.628E-2,8.5030,0.0613,0.2600,0.0294,0.2500,5.66E-2,69.7185,0.7283,0.0049,0.5000,0.5000,1.422E-4,6.6685,0.0483,0.3002,0.0294,0.2500,8.384E-2,19.7116,0.1489,0.1269,0.0588,0.5000,8.101E-2
Heuchera_americana,34,2.0667,2.9883,500,0.9578,4,0.6388,0.8341,0.1165,10034,2.5600,3.3556,0.8252,0.0384,8.3626,14.9537,5.1020,0.0505,7.0986,1.0213,0.0000,8.0752,14.3298,3.0650,0.0114,0.3153,0.0207,0.0000,1.4904,22.8729,0.1977,1.5295,0.4412,0.0000,0.5538,0.3037,0.2006,0.8565,2.3686,0.0000,0.0000,7.1617,0.0658,1.0000,0.0097,0.6541,0.0294,0.0000,1.83E-1,5.0000,0.0343,0.3958,0.0294,0.2500,1.743E-1,10.0000,0.0641,0.2667,0.0294,0.2500,6.07E-2,0.7683,0.0079,0.6878,0.0000,0.0000,2.237E-1,32.6241,0.2423,0.0699,0.0882,0.2500,1.292E-3,28.4976,0.2065,0.0882,0.0882,0.2500,2.563E-3,32.6241,0.2423,0.0699,0.0882,0.2500,1.292E-3,10.9362,0.0700,0.2500,0.0294,0.2500,5.081E-2,40.7162,0.3194,0.0427,0.2059,0.2500,3.005E-4,7.5609,0.0489,0.3195,0.0294,0.2500,9.921E-2,21.8255,0.1476,0.1285,0.0882,0.2500,7.663E-3
Heuchera_americana,34,2.1372,3.1364,500,0.9659,4,-0.2444,0.5911,0.1678,10034,3.7931,1.8578,0.0199,0.7718,9.9623,11.1333,8.0104,0.9767,3.0205,1.5820,0.0000,7.9254,13.2509,3.0370,1.3351,1.0565,0.0305,0.0000,1.3017,23.0813,1.2814,2.1348,0.2596,0.0000,0.4126,0.0499,0.2867,1.3370,1.8718,0.2201,0.0000,7.1093,0.0611,1.0000,0.0087,0.6341,0.0000,0.5000,8.579E-1,5.0000,0.0321,0.3710,0.0294,0.5000,4.742E-1,10.0000,0.0632,0.2448,0.0588,0.5000,2.529E-1,1.7121,0.0131,0.5545,0.0000,0.5000,7.645E-1,34.2283,0.2765,0.0534,0.0882,0.7500,1.972E-1,28.3473,0.2119,0.0757,0.0882,0.7500,2.703E-1,28.3473,0.2119,0.0757,0.0588,0.7500,2.703E-1,2.3979,0.0173,0.5000,0.0294,0.5000,6.875E-1,16.4006,0.1083,0.1583,0.0588,0.5000,1.205E-1,7.2239,0.0464,0.3037,0.0294,0.5000,3.548E-1,20.5867,0.1396,0.1219,0.0588,0.7500,4.054E-1
Heuchera_americana,34,2.0982,3.0054,500,0.9706,4,-0.7677,0.5967,0.1937,10034,2.6729,0.8758,1.7472,0.2382,9.1499,11.9873,10.5089,0.1847,4.0177,0.9140,0.1903,4.5790,14.2548,7.8004,0.3731,0.4555,0.0243,0.0000,1.3688,20.7529,0.0618,1.7922,1.8627,0.0103,0.8739,0.1148,0.3978,0.8107,1.9798,0.0000,0.0000,7.1541,0.0650,1.0000,0.0095,0.6253,0.0000,0.5000,8.487E-1,5.0000,0.0350,0.3716,0.0000,0.5000,4.753E-1,10.0000,0.0681,0.2508,0.0000,0.5000,2.631E-1,11.6480,0.0800,0.2244,0.0000,0.5000,2.194E-1,28.6024,0.2123,0.0835,0.0882,0.5000,3.734E-2,27.6505,0.2062,0.0882,0.0882,0.5000,4.137E-2,28.6024,0.2123,0.0835,0.0882,0.5000,3.734E-2,2.3404,0.0183,0.5000,0.0000,0.5000,6.875E-1,41.1147,0.3420,0.0400,0.1765,0.5000,9.08E-3,6.9568,0.0485,0.3140,0.0000,0.5000,3.731E-1,21.0871,0.1494,0.1275,0.0882,0.5000,8.171E-2
Heuchera_americana,34,1.9478,2.8383,500,0.9506,4,0.9335,0.7783,0.0887,10034,1.5704,3.3977,0.3861,0.1835,11.3824,9.8948,8.2369,0.2801,1.5199,1.9606,0.2532,9.4992,13.0337,1.0803,0.1905,0.7287,0.4253,0.0000,1.7666,26.8134,0.5150,1.3189,0.8395,0.0000,0.4961,0.1488,0.1173,1.0002,2.2952,0.6657,0.0000,7.2883,0.0750,1.0000,0.0109,0.6745,0.0000,0.0000,2.07E-1,5.0000,0.0377,0.4117,0.0294,0.2500,1.929E-1,10.0000,0.0707,0.2803,0.0882,0.5000,3.138E-1,1.4148,0.0139,0.6262,0.0000,0.0000,1.537E-1,28.1651,0.2176,0.0975,0.0882,0.7500,3.365E-1,28.1651,0.2176,0.0975,0.0882,0.7500,3.365E-1,28.1651,0.2176,0.0975,0.0882,0.7500,3.365E-1,9.6726,0.0687,0.2867,0.0588,0.2500,7.401E-2,3.5722,0.0283,0.4734,0.0294,0.0000,5.022E-2,7.6346,0.0551,0.3321,0.0294,0.2500,1.1E-1,20.8165,0.1526,0.1458,0.0882,0.5000,1.041E-1
Heuchera_americana,35,2.1176,3.0208,500,0.9586,3,-2.5948,0.6455,0.2605,10035,0.3095,2.6175,1.0996,0.9345,5.8525,13.2265,5.3943,0.2311,5.3485,0.9548,0.0097,5.8440,9.1280,4.4217,0.1316,0.3182,0.0000,0.0000,1.7138,28.1459,2.7613,4.9805,0.5870,0.0000,0.8696,1.5422,0.1721,0.3677,2.1589,0.8789,0.0000,7.1214,0.0625,1.0000,0.0099,0.5551,0.0286,0.3333,5.823E-1,5.0000,0.0385,0.3300,0.0286,0.3333,2.549E-1,10.0000,0.0747,0.2236,0.0571,0.3333,1.277E-1,0.7718,0.0081,0.5860,0.0000,0.3333,6.278E-1,22.3812,0.1722,0.1058,0.0857,0.3333,3.123E-2,22.3980,0.1724,0.1058,0.1143,0.3333,3.123E-2,28.9357,0.2327,0.0736,0.1143,0.3333,1.547E-2,4.8955,0.0379,0.3333,0.0286,0.3333,2.593E-1,29.5428,0.2381,0.0713,0.1429,0.3333,1.451E-2,5.4987,0.0423,0.3154,0.0286,0.3333,2.357E-1,19.6994,0.1483,0.1234,0.0857,0.3333,4.19E-2
Heuchera_americana,35,1.9014,2.8621,500,0.9618,3,2.9835,0.9742,0.0168,10035,4.1094,1.6656,0.8569,0.6319,6.3525,10.6964,7.1514,0.8294,5.5267,0.6700,0.0000,5.5917,10.5316,6.3438,0.0629,0.5960,0.2226,0.0000,1.9125,29.4548,0.1457,0.4687,2.6852,0.0000,0.8230,0.0332,0.8039,0.2575,1.2321,0.3352,0.0091,7.3322,0.0776,1.0000,0.0115,0.6880,0.0000,0.0000,3.256E-1,5.0000,0.0387,0.4244,0.0286,0.0000,7.645E-2,10.0000,0.0736,0.2908,0.0286,0.0000,2.459E-2,2.6324,0.0227,0.5412,0.0000,0.0000,1.585E-1,27.9937,0.2088,0.1018,0.0857,0.0000,1.056E-3,27.9937,0.2088,0.1018,0.1143,0.0000,1.056E-3,26.1646,0.1943,0.1129,0.0571,0.0000,1.439E-3,35.4865,0.2838,0.0664,0.1429,0.0000,2.923E-4,35.4865,0.2838,0.0664,0.1429,0.0000,2.923E-4,2.6324,0.0227,0.5412,0.0000,0.0000,1.585E-1,20.7742,0.1517,0.1523,0.0571,0.0000,3.53E-3
