Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Hydropsyche_morosa,54,3.0594,3.9711,500,0.9934,6,1.8770,0.9697,0.0078,10054,9.4608,6.4657,4.4702,0.1767,1.3784,17.9560,3.3304,1.6782,2.1197,7.1885,0.0000,0.9007,9.1579,2.0381,0.1234,0.3986,0.9817,0.1886,0.5351,6.2731,0.9323,0.4125,18.9237,0.0082,0.3008,1.6547,0.2562,0.0802,2.5688,0.0408,0.0000,6.1695,0.0217,1.0000,0.0033,0.4186,0.0000,0.0000,5.383E-3,5.0000,0.0174,0.1863,0.0000,0.0000,4.18E-5,10.0000,0.0416,0.1010,0.0000,0.0000,1.059E-6,11.3236,0.0498,0.0878,0.0000,0.0000,4.589E-7,33.9515,0.3587,0.0127,0.0741,0.6667,2.35E-3,20.5978,0.1217,0.0364,0.0370,0.6667,1.803E-2,20.5978,0.1217,0.0364,0.0185,0.3333,2.483E-5,17.2267,0.0934,0.0497,0.0185,0.0000,1.513E-8,17.2267,0.0934,0.0497,0.0185,0.0000,1.513E-8,5.2502,0.0186,0.1799,0.0000,0.0000,3.393E-5,17.7398,0.0971,0.0474,0.0185,0.3333,7.034E-5
Hydropsyche_morosa,54,3.0016,3.9432,500,0.9934,6,3.5192,0.9917,0.0030,10054,9.6915,2.3732,5.7354,3.5493,2.7734,10.3728,4.5756,1.2981,0.0027,10.0816,0.2857,0.3770,9.0772,1.7914,0.1292,0.8466,1.0818,0.1695,0.4624,11.9619,0.5656,0.4027,16.5650,0.0741,0.2080,1.4953,0.3843,0.3141,3.3141,0.0354,0.0054,6.2128,0.0226,1.0000,0.0033,0.4398,0.0000,0.0000,7.239E-3,5.0000,0.0174,0.1955,0.0000,0.0000,5.591E-5,10.0000,0.0405,0.1043,0.0000,0.0000,1.29E-6,14.5784,0.0740,0.0647,0.0000,0.0000,7.302E-8,29.8727,0.2848,0.0176,0.0556,0.1667,9.998E-9,20.5085,0.1290,0.0370,0.0370,0.0000,2.566E-9,28.6301,0.2696,0.0191,0.0370,0.0000,4.85E-11,29.3232,0.2809,0.0182,0.0556,0.0000,3.636E-11,29.3232,0.2809,0.0182,0.0556,0.0000,3.636E-11,5.5379,0.0195,0.1814,0.0000,0.0000,3.565E-5,17.3602,0.0946,0.0496,0.0185,0.0000,1.495E-8
Hydropsyche_morosa,54,2.9667,3.9069,500,0.9933,6,3.9125,0.9943,0.0023,10054,6.4944,2.7550,5.0835,1.6527,2.8162,9.3897,3.4648,1.3861,2.1934,7.7110,0.0000,0.8478,8.4770,2.1902,0.1016,1.0309,1.6658,0.2293,0.9900,19.5499,0.0873,0.3763,10.4129,0.0498,0.2697,8.4047,0.3039,0.0621,1.9608,0.0431,0.0000,6.2479,0.0237,1.0000,0.0035,0.4163,0.0000,0.0000,5.202E-3,5.0000,0.0194,0.1843,0.0000,0.0000,3.919E-5,10.0000,0.0451,0.1010,0.0000,0.0000,1.059E-6,12.2428,0.0600,0.0801,0.0000,0.0000,2.635E-7,32.1653,0.3344,0.0161,0.0556,0.1667,6.429E-9,20.8688,0.1423,0.0370,0.0370,0.0000,2.566E-9,27.4321,0.2470,0.0221,0.0370,0.0000,1.159E-10,31.6868,0.3236,0.0165,0.0556,0.0000,2.026E-11,31.6868,0.3236,0.0165,0.0556,0.0000,2.026E-11,5.1522,0.0201,0.1804,0.0000,0.0000,3.45E-5,17.0541,0.1023,0.0513,0.0185,0.0000,1.828E-8
Hydropsyche_morosa,54,3.0305,3.9302,500,0.9926,6,2.8797,0.9872,0.0047,10054,9.7151,1.7258,4.0827,1.1651,3.0764,13.6714,1.8465,0.7572,2.0624,12.2771,0.0000,0.9500,7.2379,2.2973,0.5627,0.4593,1.5017,0.1623,2.4751,17.3848,0.0810,0.2476,12.0824,0.0509,0.3675,1.5153,0.2833,0.0059,1.9194,0.0315,0.0042,6.1836,0.0220,1.0000,0.0033,0.4174,0.0000,0.0000,5.292E-3,5.0000,0.0178,0.1839,0.0000,0.0000,3.869E-5,10.0000,0.0435,0.0996,0.0000,0.0000,9.74E-7,12.2360,0.0560,0.0789,0.0000,0.0000,2.408E-7,28.7559,0.2644,0.0183,0.0926,0.1667,1.213E-8,20.1124,0.1248,0.0374,0.0370,0.0000,2.736E-9,19.9948,0.1245,0.0378,0.0185,0.0000,2.915E-9,20.1124,0.1248,0.0374,0.0370,0.0000,2.736E-9,20.1124,0.1248,0.0374,0.0370,0.0000,2.736E-9,5.2636,0.0189,0.1771,0.0000,0.0000,3.09E-5,17.3271,0.0994,0.0481,0.0185,0.0000,1.245E-8
Hydropsyche_morosa,54,3.1247,4.0380,500,0.9941,6,-3.1626,0.8344,0.1485,10054,6.5252,2.7900,4.4094,1.5011,2.7403,9.7413,1.9073,1.4400,1.5700,10.1949,0.0000,1.2162,9.8192,2.2093,0.4375,0.9008,1.6349,0.3358,1.1843,20.8622,0.1426,0.1721,10.5432,0.0130,0.1808,5.8130,0.3928,0.2173,1.0849,0.0206,0.0000,6.0919,0.0201,1.0000,0.0037,0.3304,0.0000,0.1667,1.712E-2,5.0000,0.0202,0.1431,0.0000,0.1667,3.174E-4,10.0000,0.0498,0.0774,0.0000,0.1667,1.557E-5,11.9491,0.0642,0.0632,0.0000,0.1667,5.713E-6,35.7963,0.4184,0.0105,0.0556,0.1667,7.747E-10,17.7597,0.1216,0.0370,0.0370,0.1667,4.032E-7,31.3256,0.3569,0.0136,0.0370,0.1667,2.787E-9,4.0390,0.0157,0.1667,0.0000,0.1667,6.651E-4,36.6679,0.4256,0.0099,0.1296,0.1667,5.792E-10,4.4237,0.0173,0.1566,0.0000,0.1667,4.906E-4,15.7918,0.1014,0.0440,0.0370,0.1667,9.492E-7
Hydropsyche_morosa,54,3.0390,3.9062,500,0.9924,6,3.0820,0.9868,0.0064,10054,4.9387,9.5616,1.8047,2.0634,2.9760,9.6034,1.7324,1.3407,0.2762,13.3847,0.0000,1.6868,8.6115,1.4725,0.2171,0.7797,0.8175,0.0399,0.2396,12.1904,0.0352,0.3537,20.2251,0.0890,0.5564,1.4564,0.2611,0.5656,2.6209,0.0773,0.0227,6.1969,0.0223,1.0000,0.0032,0.4283,0.0000,0.0000,6.172E-3,5.0000,0.0173,0.1895,0.0000,0.0000,4.627E-5,10.0000,0.0421,0.1020,0.0000,0.0000,1.129E-6,16.2547,0.0864,0.0546,0.0000,0.0000,2.651E-8,31.0803,0.2925,0.0157,0.0926,0.1667,5.676E-9,17.8309,0.0998,0.0470,0.0741,0.1667,1.329E-6,16.2547,0.0864,0.0546,0.0000,0.0000,2.651E-8,17.7632,0.0997,0.0473,0.0185,0.0000,1.126E-8,17.7632,0.0997,0.0473,0.0185,0.0000,1.126E-8,5.3873,0.0191,0.1793,0.0000,0.0000,3.326E-5,17.4318,0.0959,0.0488,0.0185,0.0000,1.357E-8
Hydropsyche_morosa,54,3.1636,4.0926,500,0.9950,6,0.4917,0.7778,0.1345,10054,4.8949,3.1056,1.1873,0.7695,3.2790,13.3647,3.9060,1.5169,2.2795,11.7418,0.0012,1.4779,8.6509,1.7554,0.0499,1.7063,1.2364,0.2873,0.6733,10.0056,2.8494,0.5570,19.1350,0.0842,0.5670,1.4428,0.0951,0.6761,2.6494,0.0546,0.0000,6.0639,0.0193,1.0000,0.0029,0.3914,0.0000,0.1667,3.713E-2,5.0000,0.0165,0.1620,0.0000,0.3333,7.839E-3,10.0000,0.0424,0.0837,0.0000,0.3333,6.425E-4,18.0565,0.1108,0.0367,0.0000,0.5000,9.095E-4,31.8461,0.3329,0.0122,0.0741,0.6667,2.173E-3,22.4160,0.1687,0.0249,0.0185,0.5000,2.906E-4,18.0565,0.1108,0.0367,0.0000,0.5000,9.095E-4,1.4897,0.0043,0.3333,0.0000,0.3333,1.001E-1,12.3105,0.0578,0.0647,0.0000,0.3333,2.357E-4,5.0757,0.0168,0.1601,0.0000,0.3333,7.505E-3,16.4178,0.0929,0.0428,0.0000,0.5000,1.419E-3
Hydropsyche_morosa,54,3.0293,3.8982,500,0.9926,6,3.2264,0.9866,0.0066,10054,5.1039,4.4307,10.9878,2.4748,2.2982,10.0855,2.0286,1.0423,0.1489,9.7725,0.0000,0.5477,8.9449,2.2792,0.3059,0.3863,0.8783,0.0270,0.6933,21.9343,0.0852,0.3012,8.4508,0.0294,0.2982,4.5324,0.4434,0.3532,1.0592,0.0770,0.0000,6.2043,0.0225,1.0000,0.0032,0.4456,0.0000,0.0000,7.828E-3,5.0000,0.0167,0.1945,0.0000,0.0000,5.422E-5,10.0000,0.0404,0.1038,0.0000,0.0000,1.254E-6,17.5608,0.0967,0.0478,0.0000,0.0000,1.199E-8,31.2450,0.3113,0.0154,0.0926,0.1667,5.158E-9,17.5608,0.0967,0.0478,0.0556,0.1667,1.444E-6,17.5608,0.0967,0.0478,0.0000,0.0000,1.199E-8,17.5608,0.0967,0.0478,0.0000,0.0000,1.199E-8,17.5608,0.0967,0.0478,0.0000,0.0000,1.199E-8,5.6643,0.0193,0.1767,0.0000,0.0000,3.049E-5,17.2831,0.0941,0.0491,0.0000,0.0000,1.407E-8
Hydropsyche_morosa,54,3.0261,3.9695,500,0.9941,6,2.6387,0.9414,0.0452,10054,7.0065,1.1645,4.4173,4.0790,1.8294,17.2686,2.5140,0.8519,1.0985,13.5319,0.0000,1.4215,9.7699,1.5174,0.0000,1.9936,1.2890,0.2408,0.4509,4.5206,0.7340,0.3234,13.1728,0.0200,0.0200,8.0636,0.2186,0.0049,2.4108,0.0667,0.0000,6.2239,0.0230,1.0000,0.0035,0.4167,0.0000,0.0000,5.239E-3,5.0000,0.0184,0.1864,0.0000,0.1667,1.14E-3,10.0000,0.0437,0.1018,0.0000,0.1667,5.989E-5,16.3143,0.0904,0.0538,0.0000,0.1667,2.585E-6,31.0507,0.3096,0.0161,0.0370,0.3333,9.852E-7,20.5437,0.1358,0.0370,0.0370,0.1667,4.032E-7,31.0507,0.3096,0.0161,0.0370,0.3333,9.852E-7,5.8105,0.0222,0.1667,0.0000,0.1667,6.651E-4,22.7469,0.1565,0.0305,0.0370,0.1667,1.552E-7,5.2780,0.0197,0.1792,0.0000,0.1667,9.44E-4,17.0942,0.0985,0.0501,0.0185,0.1667,1.82E-6
Hydropsyche_morosa,54,3.1312,4.0640,500,0.9934,6,1.7638,0.9253,0.0458,10054,8.0295,9.2942,5.0486,0.6465,3.7354,13.8331,3.9356,1.2972,0.0009,12.7014,0.0000,0.7955,7.8705,1.8581,1.3681,0.5785,0.6003,0.1057,0.4004,12.7595,0.0489,0.1230,12.1717,0.0701,0.3875,0.7675,0.3877,0.0803,0.9096,0.1655,0.0292,6.0969,0.0201,1.0000,0.0029,0.4197,0.0000,0.0000,5.468E-3,5.0000,0.0158,0.1751,0.0000,0.1667,8.424E-4,10.0000,0.0400,0.0899,0.0000,0.1667,3.262E-5,14.9122,0.0757,0.0532,0.0000,0.3333,1.103E-4,39.1400,0.4929,0.0079,0.0926,0.5000,9.532E-6,14.9122,0.0757,0.0532,0.0556,0.5000,2.668E-3,14.9122,0.0757,0.0532,0.0000,0.3333,1.103E-4,5.3165,0.0171,0.1667,0.0000,0.1667,6.651E-4,13.6498,0.0658,0.0605,0.0000,0.1667,4.608E-6,5.3718,0.0174,0.1653,0.0000,0.1667,6.386E-4,16.8090,0.0957,0.0442,0.0556,0.5000,1.557E-3
