Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Hydropsyche_slossonae,133,3.0662,3.5570,500,0.9885,15,2.3150,0.9144,0.0454,10133,5.7965,3.0392,1.1504,0.8429,2.4926,4.0413,2.1508,1.1461,2.3708,4.6178,1.1673,2.2660,3.7219,0.3271,10.5131,1.3375,0.3228,0.7587,0.5591,8.8518,2.6899,0.9013,12.3183,1.1896,0.8182,21.5437,0.0849,1.6539,0.7442,0.4513,0.1309,6.1862,0.0218,1.0000,0.0042,0.2691,0.0000,0.1333,2.296E-6,5.0000,0.0287,0.1089,0.0226,0.2000,9.166E-10,10.0000,0.0747,0.0602,0.0376,0.2000,8.683E-13,3.7471,0.0200,0.1330,0.0000,0.2000,9.438E-9,28.7856,0.3945,0.0158,0.0977,0.2667,1.959E-17,13.2349,0.1083,0.0444,0.0451,0.2000,2.361E-14,20.0914,0.2106,0.0261,0.0451,0.2000,4.137E-17,2.9012,0.0144,0.1561,0.0000,0.1333,2.514E-9,27.9776,0.3799,0.0164,0.0977,0.2000,1.624E-19,3.4981,0.0188,0.1391,0.0000,0.2000,1.575E-8,12.3944,0.0975,0.0480,0.0376,0.2000,5.886E-14
Hydropsyche_slossonae,133,3.0653,3.5571,500,0.9888,15,3.1896,0.9839,0.0063,10133,3.6168,1.2205,2.9438,3.4819,2.9884,4.5856,6.0878,1.3978,0.0000,4.8617,3.5402,1.6929,3.0315,0.4134,10.2823,1.4114,0.5185,0.5171,0.4607,7.3065,2.7479,1.0738,6.9397,1.3428,1.5221,23.5180,0.1630,1.5504,0.2715,0.5006,0.0114,6.2284,0.0226,1.0000,0.0037,0.3161,0.0000,0.0000,3.143E-8,5.0000,0.0244,0.1224,0.0075,0.0000,2.067E-14,10.0000,0.0687,0.0639,0.0301,0.0667,2.698E-16,4.3045,0.0201,0.1378,0.0000,0.0000,1.222E-13,28.8185,0.3926,0.0158,0.0977,0.2000,1.046E-19,13.6115,0.1123,0.0451,0.0451,0.0667,2.07E-18,21.4471,0.2249,0.0248,0.0526,0.0667,4.798E-22,9.6136,0.0646,0.0667,0.0301,0.0667,4.865E-16,21.4471,0.2249,0.0248,0.0526,0.0667,4.798E-22,4.2286,0.0196,0.1396,0.0000,0.0000,1.497E-13,12.4870,0.0966,0.0499,0.0451,0.0667,8.573E-18
Hydropsyche_slossonae,133,3.0633,3.5533,500,0.9886,15,2.9854,0.9794,0.0088,10133,1.2419,0.1168,2.3901,2.5597,4.4869,3.5915,3.7845,0.8089,2.3685,10.7671,4.2451,1.9010,2.8522,0.4008,10.3063,1.3036,0.7492,1.5296,0.7485,5.1839,3.4304,0.7627,10.4791,1.4020,0.7319,20.8037,0.1012,0.6030,0.1661,0.1390,0.0446,6.2144,0.0223,1.0000,0.0035,0.3211,0.0000,0.0000,3.983E-8,5.0000,0.0237,0.1209,0.0150,0.0667,1.895E-12,10.0000,0.0675,0.0627,0.0301,0.0667,2.034E-16,2.6115,0.0102,0.1953,0.0000,0.0000,2.294E-11,27.4959,0.3700,0.0169,0.0827,0.2000,2.316E-19,14.9294,0.1296,0.0393,0.0376,0.0667,3.005E-19,19.0243,0.1877,0.0286,0.0451,0.1333,8.598E-19,9.4354,0.0616,0.0667,0.0301,0.0667,4.865E-16,18.0580,0.1777,0.0307,0.0451,0.0667,9.589E-21,2.6115,0.0102,0.1953,0.0000,0.0000,2.294E-11,12.3985,0.0975,0.0492,0.0376,0.0667,7.059E-18
Hydropsyche_slossonae,133,3.0961,3.5990,500,0.9885,15,3.0415,0.9453,0.0398,10133,1.0855,2.3918,0.6274,4.8493,4.2998,2.9896,5.5506,1.0642,2.4906,4.3153,4.0307,2.1066,3.2450,0.3553,14.3101,1.5169,0.5180,0.9935,0.3429,9.5853,3.0037,0.6449,7.9245,1.1047,1.3218,16.7458,0.1619,1.7894,0.2579,0.3772,0.0000,6.1907,0.0218,1.0000,0.0039,0.2900,0.0000,0.0667,3.262E-7,5.0000,0.0264,0.1106,0.0150,0.1333,3.143E-11,10.0000,0.0731,0.0583,0.0376,0.1333,8.489E-15,1.7217,0.0069,0.2242,0.0000,0.0667,9.627E-9,30.0551,0.4296,0.0146,0.0977,0.2000,4.117E-20,14.8784,0.1382,0.0376,0.0376,0.1333,2.936E-17,21.7948,0.2490,0.0226,0.0451,0.1333,4.037E-20,4.1394,0.0199,0.1285,0.0075,0.1333,2.119E-10,27.3265,0.3636,0.0165,0.0752,0.1333,6.738E-22,3.9491,0.0189,0.1331,0.0075,0.0667,7.216E-12,11.9413,0.0962,0.0482,0.0376,0.1333,7.183E-16
Hydropsyche_slossonae,133,3.1078,3.5841,500,0.9886,15,2.5329,0.9375,0.0457,10133,4.3842,0.9096,2.5692,0.7941,4.4708,3.4834,4.0758,0.8147,2.2725,5.2599,4.1627,1.0018,2.1521,0.3488,12.7249,1.7373,0.6443,1.3534,0.3333,7.9335,4.6543,0.6279,8.3180,0.8987,1.0363,20.5761,0.1006,1.4178,0.2571,0.5173,0.1698,6.1676,0.0213,1.0000,0.0039,0.2765,0.0000,0.0667,1.701E-7,5.0000,0.0270,0.1076,0.0150,0.0667,3.748E-13,10.0000,0.0730,0.0566,0.0451,0.1333,5.828E-15,2.5456,0.0115,0.1719,0.0000,0.0667,2.48E-10,29.2450,0.4361,0.0149,0.0977,0.3333,1.515E-15,12.3302,0.1006,0.0451,0.0451,0.1333,3.079E-16,17.8408,0.1814,0.0287,0.0451,0.2667,1.344E-14,8.5462,0.0572,0.0667,0.0226,0.0667,4.865E-16,9.6312,0.0673,0.0590,0.0376,0.0667,8.81E-17,2.5456,0.0115,0.1719,0.0000,0.0667,2.48E-10,11.8719,0.0963,0.0471,0.0451,0.1333,5.352E-16
Hydropsyche_slossonae,133,3.0402,3.5279,500,0.9882,15,3.5364,0.9912,0.0019,10133,2.9162,1.4301,2.4011,0.1723,4.0193,5.9241,4.8197,1.3692,3.1801,3.5812,5.1756,1.7874,2.7347,0.4090,14.8787,1.7281,0.5124,1.8787,0.3037,6.1377,2.0809,0.5996,4.1791,1.0967,0.0923,23.8796,0.1506,1.8261,0.2581,0.4738,0.0040,6.2253,0.0226,1.0000,0.0037,0.3169,0.0000,0.0000,3.262E-8,5.0000,0.0245,0.1209,0.0150,0.0000,1.722E-14,10.0000,0.0683,0.0628,0.0376,0.0000,9.242E-19,3.5345,0.0154,0.1577,0.0000,0.0000,9.281E-13,24.2729,0.2775,0.0204,0.0977,0.0667,3.243E-23,13.4939,0.1115,0.0451,0.0451,0.0000,6.496E-21,20.6367,0.2202,0.0261,0.0526,0.0000,1.73E-24,22.5816,0.2473,0.0229,0.0752,0.0000,2.49E-25,22.5816,0.2473,0.0229,0.0752,0.0000,2.49E-25,3.5345,0.0154,0.1577,0.0000,0.0000,9.281E-13,12.3733,0.0973,0.0498,0.0451,0.0000,2.906E-20
Hydropsyche_slossonae,133,3.0420,3.5556,500,0.9882,15,3.9644,0.9944,0.0020,10133,6.0353,0.7753,1.1028,0.4384,3.1098,4.9159,5.2454,1.4255,2.6651,4.6995,2.2619,1.7624,3.8873,0.4137,12.4677,1.2891,0.5951,1.7121,0.3789,6.6143,2.7137,1.2779,5.6736,0.3858,1.3219,23.0553,0.3158,2.6127,0.3848,0.4410,0.0218,6.2438,0.0230,1.0000,0.0039,0.3118,0.0000,0.0000,2.554E-8,5.0000,0.0257,0.1219,0.0150,0.0000,1.945E-14,10.0000,0.0704,0.0649,0.0376,0.0000,1.539E-18,3.3839,0.0156,0.1619,0.0000,0.0000,1.382E-12,31.6041,0.4538,0.0144,0.0977,0.0667,2.459E-25,13.8420,0.1140,0.0451,0.0451,0.0000,6.496E-21,21.7588,0.2301,0.0248,0.0526,0.0667,4.798E-22,18.7805,0.1864,0.0305,0.0526,0.0000,1.834E-23,18.7805,0.1864,0.0305,0.0526,0.0000,1.834E-23,3.3839,0.0156,0.1619,0.0000,0.0000,1.382E-12,12.5313,0.0969,0.0507,0.0451,0.0000,3.788E-20
Hydropsyche_slossonae,133,3.0717,3.5715,500,0.9893,15,3.0803,0.9696,0.0207,10133,3.0561,2.0073,0.2159,5.6370,4.4228,3.9602,5.3151,1.2332,1.8398,4.4718,2.6165,1.6554,3.3482,0.4235,15.1110,1.4221,0.5313,1.8854,0.3927,4.4542,2.0418,0.3597,5.0669,1.1386,0.1150,23.5193,0.1893,1.5722,1.1367,0.8277,0.0334,6.2243,0.0226,1.0000,0.0037,0.3080,0.0000,0.0667,7.391E-7,5.0000,0.0254,0.1186,0.0150,0.0667,1.457E-12,10.0000,0.0697,0.0625,0.0301,0.0667,1.947E-16,3.6175,0.0169,0.1512,0.0000,0.0667,4.201E-11,29.2369,0.3888,0.0159,0.0977,0.2000,1.127E-19,14.2857,0.1238,0.0418,0.0451,0.0667,7.271E-19,21.3537,0.2298,0.0248,0.0451,0.1333,1.325E-19,9.3965,0.0648,0.0667,0.0301,0.0667,4.865E-16,21.2745,0.2282,0.0250,0.0451,0.0667,5.361E-22,3.6175,0.0169,0.1512,0.0000,0.0667,4.201E-11,12.3135,0.0965,0.0497,0.0301,0.0667,8.112E-18
Hydropsyche_slossonae,134,3.1464,3.6314,500,0.9895,14,2.0535,0.9574,0.0137,10134,4.2864,0.6361,0.2215,1.5742,0.9523,5.5715,6.5271,1.4114,0.1070,6.7323,3.9460,2.1476,3.6572,0.3853,11.0077,1.9797,0.6165,1.1871,0.3913,7.8292,2.9212,1.5917,4.4653,1.3361,0.4019,25.3763,0.2080,1.7370,0.2973,0.4949,0.0030,6.1252,0.0203,1.0000,0.0035,0.2854,0.0000,0.0000,2.376E-8,5.0000,0.0250,0.1062,0.0149,0.1429,1.52E-10,10.0000,0.0706,0.0552,0.0299,0.2857,2.125E-10,3.0218,0.0129,0.1549,0.0000,0.0714,3.55E-10,28.3280,0.4271,0.0144,0.0970,0.5714,2.431E-8,13.9318,0.1193,0.0378,0.0448,0.4286,1.018E-8,13.9022,0.1191,0.0378,0.0299,0.2857,5.175E-12,4.3900,0.0208,0.1181,0.0075,0.1429,5.328E-10,2.3035,0.0091,0.1846,0.0000,0.0000,5.347E-11,3.0218,0.0129,0.1549,0.0000,0.0714,3.55E-10,11.9932,0.0932,0.0451,0.0299,0.2857,2.945E-11
Hydropsyche_slossonae,134,3.0867,3.5665,500,0.9879,14,2.3320,0.9684,0.0099,10134,4.7850,2.7275,0.3746,2.2630,1.2300,6.5046,3.9773,1.1628,4.8455,4.2964,3.4318,1.7273,3.2737,0.7046,11.2184,1.3890,0.6320,1.8266,0.2251,6.2895,2.5570,0.5725,4.5270,1.1193,0.5535,25.0739,0.1841,1.6011,0.4298,0.4742,0.0227,6.2068,0.0221,1.0000,0.0036,0.3113,0.0000,0.0000,8.036E-8,5.0000,0.0243,0.1204,0.0149,0.0714,1.387E-11,10.0000,0.0665,0.0622,0.0299,0.1429,2.694E-13,2.0213,0.0081,0.2215,0.0000,0.0000,6.856E-10,29.3163,0.4052,0.0151,0.0970,0.5000,5.591E-10,11.7529,0.0878,0.0517,0.0522,0.2857,1.128E-10,15.7713,0.1462,0.0361,0.0522,0.2857,3.307E-12,7.6478,0.0432,0.0821,0.0224,0.0714,9.957E-14,4.4222,0.0207,0.1327,0.0149,0.0000,5.262E-13,2.0213,0.0081,0.2215,0.0000,0.0000,6.856E-10,12.3196,0.0941,0.0489,0.0522,0.2857,6.583E-11
