Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Hydropsyche_species,115,2.8789,3.4413,500,0.9867,13,2.0942,0.9512,0.0190,10114,4.1791,1.9029,1.9650,0.5958,0.8867,2.2636,0.4057,0.2890,10.5272,5.8085,9.4073,0.0936,1.3470,0.3670,6.3520,0.4120,0.1297,0.9496,1.0210,4.3915,1.3261,0.8142,0.2836,0.5568,0.0510,36.2626,0.7928,0.7426,4.8216,1.0495,0.0051,6.3970,0.0272,1.0000,0.0036,0.3490,0.0000,0.0000,1.14E-6,5.0000,0.0282,0.1297,0.0174,0.1538,1.06E-8,10.0000,0.0816,0.0714,0.0348,0.2308,8.038E-10,1.6654,0.0067,0.2687,0.0000,0.0000,3.813E-8,31.4401,0.4236,0.0187,0.0957,0.4615,1.237E-9,13.7545,0.1297,0.0522,0.0522,0.2308,3.717E-11,25.3382,0.3092,0.0249,0.0609,0.3077,2.417E-12,4.0021,0.0206,0.1538,0.0087,0.1538,6.578E-8,2.6039,0.0117,0.2058,0.0087,0.0000,1.185E-9,4.3765,0.0231,0.1439,0.0087,0.1538,3.211E-8,12.1154,0.1073,0.0593,0.0435,0.2308,1.308E-10
Hydropsyche_species,115,2.8554,3.4021,500,0.9869,13,2.8076,0.9711,0.0147,10113,1.2100,2.0117,4.9408,0.3166,0.9538,2.7139,0.4264,0.0000,11.3820,3.6645,11.5408,0.3673,1.4761,0.2328,2.9150,0.5934,0.1837,0.3845,1.0697,2.9325,1.2451,0.8693,2.8449,0.4322,0.1278,37.2078,0.8170,1.5690,3.5959,1.9661,0.0094,6.4436,0.0286,1.0000,0.0036,0.3665,0.0000,0.0000,2.149E-6,5.0000,0.0277,0.1377,0.0087,0.0769,5.293E-10,10.0000,0.0830,0.0755,0.0261,0.0769,4.179E-13,2.2405,0.0097,0.2396,0.0000,0.0000,8.573E-9,28.1691,0.3655,0.0229,0.0957,0.2308,1.084E-14,14.5117,0.1374,0.0522,0.0522,0.1538,5.556E-13,11.0801,0.0949,0.0688,0.0261,0.0769,1.375E-13,9.8127,0.0807,0.0769,0.0261,0.0769,5.19E-13,12.3766,0.1093,0.0616,0.0348,0.0769,3.663E-14,4.5542,0.0243,0.1482,0.0087,0.0769,1.262E-9,12.2863,0.1080,0.0621,0.0348,0.0769,4.03E-14
Hydropsyche_species,115,2.8151,3.3857,500,0.9857,13,2.8534,0.9808,0.0054,10113,5.4428,2.8713,0.7967,2.0889,1.2991,2.4146,2.3226,0.0413,6.8194,7.6738,6.8800,0.1303,1.3520,0.2998,2.6609,0.8145,0.0829,0.4478,1.0462,4.0637,2.0157,0.3760,1.1251,0.7755,0.0449,38.2948,0.9135,1.0910,4.7460,1.0690,0.0000,6.4461,0.0286,1.0000,0.0039,0.3623,0.0000,0.0000,1.853E-6,5.0000,0.0279,0.1395,0.0174,0.0000,7.593E-12,10.0000,0.0771,0.0765,0.0348,0.0000,3.092E-15,2.3875,0.0107,0.2317,0.0000,0.0000,5.541E-9,28.4189,0.3644,0.0224,0.0957,0.3846,7.499E-11,14.5246,0.1371,0.0522,0.0522,0.0769,5.076E-15,14.5246,0.1371,0.0522,0.0435,0.0769,5.076E-15,12.0940,0.1050,0.0633,0.0435,0.0769,5.051E-14,12.0775,0.1046,0.0633,0.0435,0.0000,2.612E-16,2.3875,0.0107,0.2317,0.0000,0.0000,5.541E-9,12.2830,0.1074,0.0623,0.0435,0.0769,4.186E-14
Hydropsyche_species,115,2.8558,3.3758,500,0.9859,13,2.3730,0.9727,0.0071,10113,2.1988,3.6097,0.9839,1.6527,0.6119,3.2547,0.8173,0.3994,10.5555,10.5169,12.8401,0.4776,0.6287,0.1226,4.2112,1.0451,0.0469,0.3766,0.9929,5.0200,1.5280,0.8135,0.6121,0.4306,0.0497,30.7693,0.4647,1.0944,2.1609,1.6522,0.0618,6.4233,0.0280,1.0000,0.0039,0.3448,0.0000,0.0000,9.737E-7,5.0000,0.0290,0.1353,0.0174,0.0000,5.078E-12,10.0000,0.0834,0.0750,0.0348,0.0769,3.804E-13,2.4541,0.0115,0.2173,0.0000,0.0000,2.415E-9,29.2781,0.3713,0.0214,0.0957,0.4615,3.108E-9,13.2285,0.1181,0.0573,0.0609,0.0769,1.527E-14,9.7426,0.0804,0.0767,0.0261,0.0769,5.033E-13,9.7143,0.0797,0.0769,0.0261,0.0769,5.19E-13,8.0740,0.0574,0.0907,0.0261,0.0000,2.801E-14,2.4541,0.0115,0.2173,0.0000,0.0000,2.415E-9,12.4576,0.1090,0.0609,0.0522,0.0769,3.201E-14
Hydropsyche_species,115,2.9280,3.4739,500,0.9863,13,2.3004,0.9284,0.0331,10113,4.9759,2.9522,1.1680,2.3367,1.0877,1.7766,0.4514,0.0000,7.0728,6.7725,9.6550,0.3384,1.1589,0.2464,3.0770,0.6083,0.0757,0.8111,0.7746,3.5465,0.7740,0.5168,0.5805,1.1297,0.0677,40.2259,1.4063,0.4656,3.2951,2.6528,0.0000,6.3624,0.0264,1.0000,0.0047,0.2805,0.0087,0.1538,3.648E-5,5.0000,0.0338,0.1167,0.0174,0.2308,9.56E-8,10.0000,0.0856,0.0671,0.0348,0.2308,4.408E-10,0.3890,0.0017,0.4050,0.0000,0.0000,7.893E-6,31.2515,0.4179,0.0185,0.0957,0.3077,1.69E-13,15.5073,0.1586,0.0435,0.0435,0.2308,6.159E-12,20.1156,0.2248,0.0322,0.0435,0.2308,3.17E-13,1.5357,0.0078,0.2308,0.0087,0.2308,6.061E-5,20.4783,0.2333,0.0315,0.0522,0.2308,2.556E-13,3.6161,0.0224,0.1448,0.0087,0.2308,7.575E-7,11.8507,0.1076,0.0573,0.0348,0.2308,9.22E-11
Hydropsyche_species,115,2.7962,3.3476,500,0.9851,13,3.4858,0.9911,0.0022,10114,6.4859,3.5383,0.2327,0.5471,0.7000,2.4412,2.2836,0.0162,11.5065,4.1699,9.1704,0.2050,1.5854,0.2825,3.2358,0.6621,0.1225,0.6328,0.9814,2.9965,1.9799,1.2717,0.4319,0.3428,0.0932,37.2259,1.0387,1.1305,3.7946,0.8857,0.0095,6.4928,0.0302,1.0000,0.0042,0.3517,0.0000,0.0000,1.259E-6,5.0000,0.0305,0.1424,0.0174,0.0000,9.879E-12,10.0000,0.0842,0.0807,0.0435,0.0000,6.137E-15,1.6133,0.0075,0.2808,0.0000,0.0000,6.747E-8,31.0435,0.4056,0.0216,0.0957,0.1538,3.496E-17,14.0404,0.1285,0.0582,0.0609,0.0000,8.861E-17,29.3184,0.3721,0.0232,0.0783,0.0769,3.15E-19,25.5731,0.2987,0.0282,0.0783,0.0000,7.063E-21,25.5731,0.2987,0.0282,0.0783,0.0000,7.063E-21,4.3756,0.0254,0.1567,0.0087,0.0000,3.439E-11,12.5709,0.1128,0.0653,0.0522,0.0000,3.891E-16
Hydropsyche_species,115,2.8769,3.4034,500,0.9856,13,2.2903,0.9546,0.0201,10113,6.7277,2.7190,4.4245,0.6096,0.8935,2.3064,2.1225,0.0100,3.7025,5.3987,10.5171,0.4050,1.6420,0.1988,3.6079,0.7748,0.2156,0.6006,0.5800,2.8462,2.0823,0.6371,0.2313,0.2915,0.0898,36.8577,0.8906,1.4586,4.1780,2.9806,0.0000,6.4370,0.0284,1.0000,0.0038,0.3593,0.0000,0.0000,1.666E-6,5.0000,0.0275,0.1376,0.0174,0.1538,2.002E-8,10.0000,0.0834,0.0744,0.0435,0.1538,2.603E-11,1.7266,0.0071,0.2738,0.0000,0.0000,4.861E-8,30.8266,0.4077,0.0200,0.0957,0.3846,2.982E-11,14.1953,0.1336,0.0526,0.0522,0.1538,6.033E-13,22.4814,0.2598,0.0308,0.0609,0.3846,8.964E-10,4.3307,0.0228,0.1539,0.0174,0.1538,6.585E-8,15.2928,0.1500,0.0486,0.0609,0.1538,2.516E-13,4.0055,0.0208,0.1628,0.0087,0.0769,3.818E-9,12.1949,0.1076,0.0617,0.0522,0.1538,3.427E-12
Hydropsyche_species,115,2.8925,3.4383,500,0.9872,13,2.3652,0.9258,0.0485,10113,4.9528,4.3744,1.7539,0.0580,0.6315,2.6150,0.5162,0.0318,9.3984,5.4699,10.1057,0.3030,1.5668,0.2688,2.8722,0.7517,0.1015,0.5111,0.7705,3.4490,2.2531,0.4895,0.3493,1.2479,0.1700,37.0424,0.9283,0.5257,4.7766,1.6683,0.0466,6.3910,0.0273,1.0000,0.0044,0.2871,0.0000,0.0769,2.991E-6,5.0000,0.0349,0.1173,0.0261,0.1538,3.586E-9,10.0000,0.0914,0.0690,0.0348,0.1538,1.159E-11,2.3283,0.0134,0.1881,0.0000,0.1538,5.565E-7,34.4175,0.4582,0.0171,0.0957,0.3077,8.431E-14,16.3167,0.1711,0.0435,0.0435,0.1538,7.604E-14,23.6650,0.2815,0.0284,0.0435,0.2308,8.961E-14,3.3118,0.0205,0.1539,0.0174,0.1538,6.585E-8,23.5300,0.2809,0.0286,0.0435,0.1538,7.678E-16,2.3283,0.0134,0.1881,0.0000,0.1538,5.565E-7,11.9460,0.1170,0.0589,0.0435,0.1538,2.079E-12
Hydropsyche_species,116,2.8295,3.3605,500,0.9854,12,2.5965,0.9791,0.0048,10114,7.2767,4.0015,1.3133,2.6999,0.6532,1.9049,0.2966,0.0151,7.0746,5.8779,8.1185,0.2917,1.1136,0.1305,3.8339,1.0840,0.1710,0.4246,1.0324,4.3284,1.2599,1.3449,3.0749,0.4191,0.0399,34.7820,0.9070,0.5645,5.1290,0.7608,0.0757,6.4339,0.0283,1.0000,0.0037,0.3534,0.0000,0.0000,3.791E-6,5.0000,0.0291,0.1350,0.0259,0.0000,3.652E-11,10.0000,0.0824,0.0762,0.0345,0.0000,3.851E-14,2.1646,0.0095,0.2354,0.0000,0.0000,2.898E-8,29.6808,0.3780,0.0214,0.0948,0.3333,1.984E-11,12.8037,0.1143,0.0603,0.0603,0.0000,2.317E-15,11.6559,0.1010,0.0661,0.0345,0.0000,7.015E-15,14.2367,0.1306,0.0540,0.0603,0.0833,1.295E-13,14.2239,0.1304,0.0540,0.0603,0.0000,6.127E-16,2.1646,0.0095,0.2354,0.0000,0.0000,2.898E-8,12.5575,0.1115,0.0615,0.0603,0.0000,2.927E-15
Hydropsyche_species,116,2.8801,3.4196,500,0.9865,12,2.7642,0.9591,0.0280,10114,4.0704,0.7487,0.3278,4.2176,0.8135,2.0833,0.4483,0.0000,9.7997,7.3884,10.0385,0.4704,1.5513,0.2574,0.7691,0.6947,0.1213,0.6110,1.4270,3.5118,2.0906,0.9232,2.8426,0.9952,0.0662,34.9548,1.2481,0.6427,3.1561,3.7181,0.0124,6.4304,0.0283,1.0000,0.0041,0.3256,0.0000,0.0833,3.669E-5,5.0000,0.0317,0.1258,0.0172,0.0833,1.322E-9,10.0000,0.0844,0.0718,0.0259,0.0833,2.923E-12,1.1672,0.0049,0.3028,0.0000,0.0833,1.704E-5,28.0682,0.3709,0.0229,0.0948,0.3333,3.494E-11,13.9759,0.1372,0.0517,0.0517,0.0833,8.081E-14,12.4093,0.1146,0.0583,0.0259,0.0833,3.024E-13,8.4155,0.0697,0.0833,0.0259,0.0833,1.495E-11,23.4536,0.2982,0.0286,0.0776,0.0833,1.212E-16,4.1726,0.0239,0.1438,0.0086,0.0833,5.648E-9,11.8187,0.1100,0.0613,0.0259,0.0833,5.203E-13
