Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Hypogastrura_species,425,2.9447,3.1211,500,0.9796,48,3.1163,0.9733,0.0022,10425,0.8139,1.6131,0.8542,1.5388,1.0923,1.7481,0.0623,0.0219,0.0000,2.0146,0.0705,0.3737,4.0878,0.9433,0.1638,5.3247,0.0000,0.5928,0.7721,0.0905,7.4702,21.4681,0.0000,0.5306,0.0000,11.0064,12.8665,3.1310,0.4578,20.8909,0.0000,6.3342,0.0256,1.0000,0.0056,0.1331,0.0000,0.0000,0E0,5.0000,0.1661,0.0426,0.0000,0.0000,0E0,10.0000,0.5435,0.0374,0.0847,0.2917,0E0,6.3409,0.5297,0.0409,0.0000,0.0000,0E0,13.8511,0.5435,0.0374,0.0847,0.2917,0E0,9.0327,0.5413,0.0396,0.0306,0.0208,0E0,6.3409,0.5297,0.0409,0.0000,0.0000,0E0,8.8233,0.5399,0.0396,0.0071,0.0208,0E0,6.3409,0.5297,0.0409,0.0000,0.0000,0E0,2.1804,0.0211,0.0703,0.0000,0.0000,0E0,3.1592,0.0481,0.0540,0.0000,0.0000,0E0
Hypogastrura_species,425,2.9430,3.1208,500,0.9796,48,3.1311,0.9792,0.0021,10425,3.4448,0.7972,0.0557,0.3662,1.1536,2.5314,5.3709,0.0720,0.0000,1.0377,0.0779,0.2779,3.4659,0.6680,0.0266,5.3774,0.6057,0.4204,0.4581,0.0069,4.4604,20.7669,0.0000,0.6082,0.8100,9.6480,9.7889,2.8765,0.3896,24.4372,0.0000,6.3378,0.0257,1.0000,0.0057,0.1351,0.0000,0.0000,0E0,5.0000,0.1620,0.0429,0.0000,0.0000,0E0,10.0000,0.5447,0.0362,0.0282,0.0417,0E0,6.3799,0.5387,0.0409,0.0000,0.0000,0E0,16.4863,0.5447,0.0362,0.0282,0.0417,0E0,16.4863,0.5447,0.0362,0.0282,0.0417,0E0,6.3799,0.5387,0.0409,0.0000,0.0000,0E0,6.3799,0.5387,0.0409,0.0188,0.0417,0E0,6.3799,0.5387,0.0409,0.0000,0.0000,0E0,2.2210,0.0212,0.0711,0.0000,0.0000,0E0,3.2209,0.0477,0.0542,0.0000,0.0000,0E0
Hypogastrura_species,425,2.9405,3.1179,500,0.9795,48,3.1365,0.9819,0.0019,10425,0.7635,0.7726,0.3876,1.0025,0.7522,2.2032,0.1388,0.1847,0.0000,2.7726,0.3545,0.8534,5.5715,0.9526,0.0602,6.9627,0.0637,0.4290,0.1993,0.0098,7.0569,20.2970,0.0000,0.3778,0.0453,9.9606,10.5294,3.1498,0.4745,23.6743,0.0000,6.3372,0.0257,1.0000,0.0060,0.1303,0.0000,0.0000,0E0,5.0000,0.1691,0.0429,0.0000,0.0000,0E0,10.0000,0.5423,0.0367,0.0094,0.0000,0E0,7.0576,0.5086,0.0405,0.0000,0.0000,0E0,15.2327,0.5423,0.0367,0.0094,0.0000,0E0,15.2327,0.5423,0.0367,0.0094,0.0000,0E0,7.0576,0.5086,0.0405,0.0000,0.0000,0E0,15.4429,0.5431,0.0367,0.1012,0.0625,0E0,15.2327,0.5423,0.0367,0.0094,0.0000,0E0,2.2053,0.0212,0.0704,0.0000,0.0000,0E0,3.1918,0.0489,0.0542,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9441,3.1173,500,0.9796,47,3.1375,0.9823,0.0019,10426,1.7888,0.4717,0.3687,1.6322,0.9003,2.8920,2.1529,0.1104,0.0000,1.5924,0.0617,0.1435,4.5354,0.8976,0.1801,5.6221,0.0752,0.4236,0.7087,0.0248,6.4741,20.4549,0.0000,0.7208,0.1333,9.3419,12.4719,2.9261,0.7775,22.1172,0.0000,6.3345,0.0257,1.0000,0.0059,0.1266,0.0000,0.0000,0E0,5.0000,0.1681,0.0428,0.0000,0.0000,0E0,10.0000,0.5433,0.0368,0.0986,0.0851,0E0,6.4751,0.5271,0.0410,0.0000,0.0000,0E0,15.3501,0.5433,0.0368,0.0986,0.0851,0E0,7.4809,0.5385,0.0405,0.0094,0.0000,0E0,6.4751,0.5271,0.0410,0.0000,0.0000,0E0,7.4809,0.5385,0.0405,0.0094,0.0000,0E0,7.4809,0.5385,0.0405,0.0094,0.0000,0E0,2.1594,0.0212,0.0691,0.0000,0.0000,0E0,3.0690,0.0498,0.0540,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9434,3.1195,500,0.9795,47,3.1269,0.9787,0.0022,10426,1.2812,1.5100,0.8845,0.7337,0.7994,2.1585,0.0498,0.0430,0.0000,1.7889,0.0658,0.1443,4.6135,0.9026,0.2180,6.3136,0.0187,0.3431,0.2888,0.0077,7.2429,21.1621,0.0000,0.2516,0.0000,10.5622,12.1465,2.3732,1.5027,22.5937,0.0000,6.3301,0.0256,1.0000,0.0057,0.1268,0.0000,0.0000,0E0,5.0000,0.1749,0.0425,0.0000,0.0000,0E0,10.0000,0.5427,0.0371,0.0258,0.0638,0E0,6.2410,0.5082,0.0410,0.0000,0.0000,0E0,14.5668,0.5482,0.0371,0.0939,0.2128,0E0,14.3506,0.5427,0.0371,0.0258,0.0638,0E0,6.2410,0.5082,0.0410,0.0000,0.0000,0E0,8.2180,0.5302,0.0399,0.0070,0.0213,0E0,6.2410,0.5082,0.0410,0.0000,0.0000,0E0,2.1250,0.0209,0.0692,0.0000,0.0000,0E0,3.0535,0.0478,0.0538,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9421,3.1189,500,0.9795,47,3.1330,0.9786,0.0020,10426,1.6112,1.6057,0.2380,0.1461,1.1950,2.8527,0.1605,0.0998,0.0000,1.8903,0.0649,0.1785,4.6948,0.8031,0.0905,6.3421,0.0000,0.4725,0.2304,0.0000,7.1431,22.6136,0.0000,0.3004,0.1015,10.0615,10.2796,1.9438,0.3856,24.4598,0.0349,6.3281,0.0255,1.0000,0.0059,0.1249,0.0000,0.0000,0E0,5.0000,0.1860,0.0424,0.0000,0.0000,0E0,10.0000,0.5445,0.0363,0.1150,0.1489,0E0,6.2363,0.5331,0.0410,0.0000,0.0000,0E0,8.7403,0.5410,0.0398,0.0282,0.0426,0E0,8.7403,0.5410,0.0398,0.0282,0.0426,0E0,6.2363,0.5331,0.0410,0.0000,0.0000,0E0,7.0581,0.5408,0.0406,0.0282,0.0426,0E0,7.0581,0.5408,0.0406,0.0094,0.0000,0E0,2.1369,0.0210,0.0682,0.0000,0.0000,0E0,3.0354,0.0481,0.0537,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9384,3.1159,500,0.9795,47,3.1185,0.9770,0.0021,10426,2.0758,1.1649,0.4353,1.3946,1.0116,1.8746,0.0520,0.0402,0.0000,1.6862,0.1049,0.1110,3.8888,0.9163,0.0919,5.8573,0.3836,0.3606,0.6826,0.2815,7.6619,19.8004,0.0000,0.5044,0.0589,10.2860,10.4852,3.3794,1.1628,24.2473,0.0000,6.3422,0.0258,1.0000,0.0057,0.1347,0.0000,0.0000,0E0,5.0000,0.1622,0.0431,0.0000,0.0000,0E0,10.0000,0.5447,0.0379,0.0751,0.1702,0E0,6.5480,0.5097,0.0410,0.0000,0.0000,0E0,14.7887,0.5451,0.0370,0.0962,0.1915,0E0,7.2965,0.5312,0.0406,0.0094,0.0000,0E0,6.5480,0.5097,0.0410,0.0000,0.0000,0E0,7.2965,0.5312,0.0406,0.0094,0.0000,0E0,7.2965,0.5312,0.0406,0.0094,0.0000,0E0,2.2285,0.0213,0.0711,0.0000,0.0000,0E0,3.2204,0.0482,0.0545,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9394,3.1168,500,0.9796,47,3.1327,0.9816,0.0018,10426,0.9959,0.4907,1.3059,1.7775,0.8028,1.8757,0.1446,0.1385,0.0000,2.2503,0.0499,0.1131,4.5994,0.9378,0.1479,6.5778,0.0226,0.4264,0.3545,0.0215,7.5844,21.6527,0.0000,0.4574,0.1301,9.1561,12.5884,2.8826,0.8506,21.3223,0.3426,6.3411,0.0258,1.0000,0.0058,0.1330,0.0000,0.0000,0E0,5.0000,0.1649,0.0430,0.0000,0.0000,0E0,10.0000,0.5485,0.0370,0.0939,0.0000,0E0,6.5504,0.5277,0.0410,0.0000,0.0000,0E0,15.2490,0.5485,0.0370,0.0939,0.0000,0E0,7.5674,0.5476,0.0405,0.0094,0.0000,0E0,6.5504,0.5277,0.0410,0.0000,0.0000,0E0,15.2490,0.5485,0.0370,0.1854,0.0638,0E0,15.2490,0.5485,0.0370,0.0939,0.0000,0E0,2.2297,0.0213,0.0702,0.0000,0.0000,0E0,3.1952,0.0474,0.0544,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9432,3.1189,500,0.9796,47,3.1312,0.9792,0.0020,10426,3.2114,0.2562,1.0005,0.0496,1.2701,3.5758,5.3025,0.0763,0.0000,0.8942,0.0949,0.2197,5.4524,0.6576,0.0512,6.3239,0.1115,0.4680,0.4183,0.0120,3.4216,19.4540,0.0000,0.3368,0.0676,9.4131,10.3063,3.3302,0.4869,23.7376,0.0000,6.3343,0.0257,1.0000,0.0057,0.1313,0.0000,0.0000,0E0,5.0000,0.1844,0.0426,0.0000,0.0000,0E0,10.0000,0.5447,0.0371,0.0094,0.0000,0E0,6.9145,0.5249,0.0406,0.0000,0.0000,0E0,23.6875,0.5447,0.0330,0.0939,0.0000,0E0,14.5579,0.5447,0.0371,0.0094,0.0000,0E0,6.9145,0.5249,0.0406,0.0000,0.0000,0E0,23.6875,0.5447,0.0330,0.0939,0.0000,0E0,23.6875,0.5447,0.0330,0.0939,0.0000,0E0,2.2603,0.0211,0.0683,0.0000,0.0000,0E0,3.1254,0.0466,0.0540,0.0000,0.0000,0E0
Hypogastrura_species,426,2.9443,3.1187,500,0.9795,47,3.1312,0.9833,0.0019,10426,0.1681,1.5023,1.3287,0.8037,0.7742,2.6622,0.0884,0.1881,0.0000,2.2056,0.0763,0.1667,4.0306,0.9766,0.0850,5.9401,0.0823,0.2741,0.4689,0.0044,7.2474,21.1613,0.0000,0.4209,0.2361,11.3304,12.3069,2.2242,1.1285,22.1181,0.0000,6.3271,0.0255,1.0000,0.0060,0.1214,0.0000,0.0000,0E0,5.0000,0.1873,0.0424,0.0000,0.0000,0E0,10.0000,0.5390,0.0364,0.0258,0.0638,0E0,6.2637,0.4927,0.0410,0.0000,0.0000,0E0,15.8195,0.5390,0.0364,0.0258,0.0638,0E0,15.8195,0.5390,0.0364,0.0258,0.0638,0E0,6.2637,0.4927,0.0410,0.0000,0.0000,0E0,6.2637,0.4927,0.0410,0.0047,0.0426,0E0,6.2637,0.4927,0.0410,0.0000,0.0000,0E0,2.0726,0.0210,0.0686,0.0000,0.0000,0E0,3.0224,0.0506,0.0536,0.0000,0.0000,0E0
