Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Hyppa_contrasta,37,3.1853,4.1101,500,0.9908,5,0.5250,0.7519,0.1111,10037,7.1391,1.2466,3.8508,3.6899,8.5180,47.8128,2.7787,0.1714,0.5907,1.7711,0.0865,3.4784,5.0639,1.3008,6.0262,0.2641,0.0895,0.0083,1.3238,0.0000,1.1667,0.2305,0.0894,0.0000,0.0000,0.1516,0.0036,1.1724,0.4137,1.5614,0.0000,6.0441,0.0194,1.0000,0.0026,0.5307,0.0000,0.2000,2.283E-1,5.0000,0.0117,0.2473,0.0000,0.6000,3.615E-1,10.0000,0.0276,0.1325,0.0000,0.6000,1.335E-1,11.4837,0.0342,0.1127,0.0000,0.6000,1.007E-1,26.3611,0.1391,0.0282,0.0811,0.6000,7.511E-3,19.1518,0.0800,0.0541,0.0541,0.6000,2.623E-2,19.0489,0.0793,0.0545,0.0270,0.6000,2.659E-2,3.7713,0.0087,0.2977,0.0000,0.2000,2.992E-2,3.7713,0.0087,0.2977,0.0000,0.2000,2.992E-2,6.7937,0.0165,0.1943,0.0000,0.6000,2.511E-1,22.0071,0.1005,0.0419,0.0541,0.6000,1.616E-2
Hyppa_contrasta,37,3.0681,4.0235,500,0.9883,5,1.1296,0.7577,0.1259,10037,4.9197,7.4441,5.3778,1.9436,7.0107,43.6553,0.3130,0.2186,0.0699,7.3000,0.5763,3.0654,2.8690,1.0778,5.6017,0.9035,0.1094,0.0000,1.0699,0.0000,0.0660,1.4728,0.3008,0.4590,0.0298,1.3043,0.0121,2.6461,0.0115,0.1395,0.0324,6.1764,0.0224,1.0000,0.0031,0.5633,0.0000,0.2000,2.766E-1,5.0000,0.0131,0.2829,0.0000,0.4000,1.411E-1,10.0000,0.0276,0.1607,0.0000,0.4000,3.214E-2,14.0189,0.0446,0.1078,0.0000,0.4000,1.059E-2,24.5807,0.1155,0.0416,0.0811,0.6000,1.594E-2,19.3192,0.0750,0.0663,0.0541,0.4000,2.627E-3,14.0189,0.0446,0.1078,0.0000,0.4000,1.059E-2,2.6202,0.0070,0.4000,0.0000,0.4000,3.175E-1,19.3192,0.0750,0.0663,0.0541,0.4000,2.627E-3,7.0357,0.0188,0.2217,0.0000,0.4000,7.593E-2,23.0013,0.1030,0.0479,0.0811,0.6000,2.084E-2
Hyppa_contrasta,38,3.1982,4.1673,500,0.9923,4,-0.3747,0.6479,0.1517,10038,5.2557,3.1043,6.5530,1.7829,8.0371,42.2385,2.1279,0.1927,0.8259,9.2388,0.3119,2.6158,4.8020,1.1331,5.5376,0.7492,0.0000,0.0000,0.6864,0.0000,0.0887,0.7477,0.2535,0.1301,0.0000,0.1230,0.7746,1.3735,0.5703,0.7459,0.0000,6.0636,0.0198,1.0000,0.0026,0.5497,0.0000,0.2500,3.905E-1,5.0000,0.0112,0.2550,0.0000,0.5000,2.702E-1,10.0000,0.0278,0.1364,0.0000,0.5000,9.234E-2,15.5084,0.0532,0.0770,0.0000,0.7500,2.742E-1,27.3011,0.1510,0.0260,0.0789,0.7500,1E-1,19.4767,0.0798,0.0526,0.0526,0.7500,1.944E-1,15.5084,0.0532,0.0770,0.0000,0.7500,2.742E-1,1.3427,0.0033,0.5000,0.0000,0.5000,6.875E-1,10.3540,0.0292,0.1312,0.0000,0.5000,8.61E-2,6.9962,0.0168,0.1942,0.0000,0.5000,1.719E-1,21.7801,0.1012,0.0427,0.0526,0.7500,1.603E-1
Hyppa_contrasta,38,2.9697,3.9335,500,0.9901,4,4.4724,0.9977,0.0012,10038,2.9192,7.2773,6.4001,3.1217,8.1240,45.2310,0.7850,0.1493,0.0699,4.2082,0.2175,2.5502,5.0086,1.3046,6.5442,0.5799,0.0338,0.0000,0.5539,0.0000,1.0520,0.7748,0.0547,0.3561,0.0000,0.5795,0.1012,1.1744,0.2774,0.5314,0.0199,6.2580,0.0246,1.0000,0.0033,0.5870,0.0000,0.0000,1.187E-1,5.0000,0.0134,0.2966,0.0000,0.0000,7.736E-3,10.0000,0.0299,0.1691,0.0000,0.0000,8.168E-4,17.8894,0.0692,0.0822,0.0000,0.0000,4.563E-5,30.4796,0.1680,0.0282,0.0789,0.0000,6.318E-7,21.6053,0.0932,0.0601,0.0526,0.0000,1.302E-5,17.8894,0.0692,0.0822,0.0000,0.0000,4.563E-5,45.9994,0.4418,0.0058,0.2105,0.0000,1.115E-9,45.9994,0.4418,0.0058,0.2105,0.0000,1.115E-9,7.3760,0.0204,0.2234,0.0000,0.0000,2.489E-3,23.3245,0.1077,0.0520,0.0789,0.0000,7.313E-6
Hyppa_contrasta,38,3.1989,4.1968,500,0.9914,4,0.8868,0.8296,0.0826,10038,4.5504,1.3051,6.0286,0.0018,7.6839,50.2577,1.9566,0.0351,0.6118,8.0561,0.0332,3.6465,6.8798,1.3658,3.1920,0.2096,0.0000,0.0000,0.6169,0.0000,0.0000,0.4289,0.4700,0.1609,0.0000,0.1349,0.0565,1.3667,0.7848,0.1538,0.0127,6.0400,0.0191,1.0000,0.0024,0.5691,0.0000,0.0000,1.049E-1,5.0000,0.0107,0.2642,0.0000,0.5000,2.859E-1,10.0000,0.0256,0.1402,0.0000,0.5000,9.701E-2,13.8431,0.0421,0.0931,0.0000,0.5000,4.582E-2,29.4427,0.1632,0.0206,0.0789,0.5000,2.482E-3,19.6595,0.0759,0.0526,0.0526,0.5000,1.546E-2,17.7282,0.0641,0.0633,0.0263,0.5000,2.203E-2,4.3647,0.0093,0.2905,0.0000,0.2500,7.669E-2,2.8212,0.0061,0.3750,0.0000,0.0000,1.977E-2,7.2156,0.0164,0.1957,0.0000,0.5000,1.742E-1,22.1377,0.0973,0.0417,0.0789,0.5000,9.881E-3
Hyppa_contrasta,38,3.1933,4.1653,500,0.9895,4,0.9527,0.8299,0.1067,10038,5.3038,1.8926,5.5615,3.0340,8.3205,42.2328,1.8098,0.2049,0.1675,10.2908,0.0011,2.3935,4.6784,1.2067,3.9720,0.8452,0.0088,0.0294,0.3793,0.0000,0.0626,1.1002,0.7698,0.0708,0.1427,0.5771,0.0393,2.1169,0.5129,2.2713,0.0036,6.0165,0.0186,1.0000,0.0026,0.5568,0.0000,0.0000,9.611E-2,5.0000,0.0111,0.2689,0.0000,0.2500,6.207E-2,10.0000,0.0247,0.1469,0.0000,0.2500,1.129E-2,13.1701,0.0364,0.1048,0.0000,0.5000,5.705E-2,20.4802,0.0744,0.0496,0.0789,0.5000,1.381E-2,18.7295,0.0648,0.0593,0.0526,0.5000,1.945E-2,18.5278,0.0639,0.0605,0.0263,0.5000,2.021E-2,5.5478,0.0124,0.2500,0.0000,0.2500,5.081E-2,12.2224,0.0321,0.1158,0.0000,0.2500,5.666E-3,7.1362,0.0160,0.2043,0.0000,0.2500,2.889E-2,22.4129,0.0903,0.0408,0.1053,0.5000,9.473E-3
Hyppa_contrasta,38,3.0461,4.0818,500,0.9911,4,3.2548,0.8518,0.1275,10038,5.4387,2.6668,5.4790,0.6186,8.2736,41.7639,0.7824,0.1085,0.0552,8.1861,0.0081,3.5632,6.4145,1.0788,7.9588,0.5418,0.0692,0.0031,0.4377,0.0000,0.1812,0.8604,0.1183,0.3117,0.0000,0.5250,0.1226,3.1954,1.0231,0.2144,0.0000,6.1727,0.0223,1.0000,0.0031,0.5352,0.0000,0.2500,3.67E-1,5.0000,0.0138,0.2574,0.0000,0.2500,5.506E-2,10.0000,0.0305,0.1434,0.0000,0.2500,1.052E-2,15.9216,0.0620,0.0804,0.0000,0.2500,1.953E-3,25.6846,0.1396,0.0343,0.0789,0.2500,1.569E-4,20.7429,0.0932,0.0526,0.0526,0.2500,5.592E-4,15.9216,0.0620,0.0804,0.0000,0.2500,1.953E-3,5.2225,0.0144,0.2500,0.0000,0.2500,5.081E-2,74.3202,0.9079,0.0011,0.7105,0.2500,5.259E-9,6.7483,0.0187,0.2066,0.0000,0.2500,2.981E-2,21.8425,0.1022,0.0477,0.0526,0.2500,4.191E-4
Hyppa_contrasta,38,3.1220,4.1236,500,0.9918,4,1.6286,0.7885,0.1786,10038,4.8549,3.1674,10.0279,1.0268,6.5506,39.3654,0.8168,0.2297,0.0736,9.2422,0.0284,6.2171,6.8304,1.2558,4.5074,0.3679,0.0145,0.0000,0.7116,0.0000,0.4282,0.9382,0.4504,0.2129,0.0000,0.6451,0.0404,1.4896,0.3498,0.1196,0.0374,6.1055,0.0207,1.0000,0.0027,0.5484,0.0000,0.2500,3.884E-1,5.0000,0.0122,0.2587,0.0000,0.2500,5.583E-2,10.0000,0.0292,0.1416,0.0000,0.2500,1.014E-2,14.6872,0.0500,0.0884,0.0000,0.2500,2.577E-3,30.9410,0.1877,0.0206,0.0789,0.2500,3.454E-5,20.4587,0.0878,0.0526,0.0526,0.2500,5.592E-4,20.1614,0.0857,0.0539,0.0263,0.2500,6.009E-4,5.2475,0.0128,0.2500,0.0000,0.2500,5.081E-2,36.9837,0.2803,0.0114,0.1579,0.2500,5.809E-6,6.8464,0.0175,0.2031,0.0000,0.2500,2.842E-2,22.3312,0.1032,0.0446,0.0526,0.2500,3.437E-4
Hyppa_contrasta,38,3.0954,4.0740,500,0.9890,4,2.0160,0.8561,0.1216,10038,3.1056,1.7500,3.6519,0.1176,6.6672,51.2200,1.5879,0.3410,0.6096,6.9391,0.4175,4.1853,6.1688,0.8412,5.3176,0.1851,0.0852,0.0000,0.3313,0.0000,0.0000,1.3148,0.3015,0.1483,0.0000,0.3315,0.1743,3.0334,0.8447,0.2974,0.0323,6.1593,0.0220,1.0000,0.0028,0.5733,0.0000,0.0000,1.08E-1,5.0000,0.0123,0.2769,0.0000,0.2500,6.732E-2,10.0000,0.0286,0.1533,0.0263,0.2500,1.276E-2,9.0343,0.0249,0.1700,0.0000,0.2500,1.713E-2,25.2147,0.1259,0.0373,0.0789,0.2500,2.011E-4,21.3614,0.0914,0.0526,0.0526,0.2500,5.592E-4,24.2049,0.1155,0.0408,0.0526,0.2500,2.642E-4,5.7704,0.0144,0.2500,0.0000,0.2500,5.081E-2,46.0599,0.4722,0.0048,0.2105,0.2500,4.358E-7,7.1545,0.0185,0.2108,0.0000,0.2500,3.154E-2,22.5939,0.1006,0.0471,0.0526,0.2500,4.037E-4
Hyppa_contrasta,38,2.9436,3.9026,500,0.9891,4,4.6763,0.9983,0.0007,10038,5.4920,3.7608,8.3828,0.8354,6.0448,48.5988,0.6814,0.1523,0.0914,3.1070,0.0218,2.8718,5.8992,1.1624,7.4570,0.3340,0.0347,0.0000,0.4273,0.0000,0.4432,0.7005,0.1063,0.2355,0.0000,0.5364,0.1557,1.0429,0.6479,0.6784,0.0983,6.3137,0.0262,1.0000,0.0035,0.5887,0.0000,0.0000,1.201E-1,5.0000,0.0143,0.2985,0.0000,0.0000,7.936E-3,10.0000,0.0313,0.1709,0.0000,0.0000,8.521E-4,15.9299,0.0599,0.0995,0.0000,0.0000,9.81E-5,28.5568,0.1586,0.0353,0.0789,0.0000,1.547E-6,23.2991,0.1140,0.0542,0.0526,0.0000,8.626E-6,15.9299,0.0599,0.0995,0.0000,0.0000,9.81E-5,51.1525,0.5796,0.0040,0.2895,0.0000,2.521E-10,51.1525,0.5796,0.0040,0.2895,0.0000,2.521E-10,7.3089,0.0215,0.2265,0.0000,0.0000,2.634E-3,23.1133,0.1131,0.0550,0.0526,0.0000,9.145E-6
