Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Hypsibius_cf_dujardini,506,2.8288,2.9443,500,0.9756,57,2.5933,0.9650,0.0038,10506,0.9086,1.1266,0.5847,0.2456,2.1233,0.7030,3.5812,0.4821,8.2688,0.8446,4.8282,0.6032,1.5430,0.2204,24.2493,0.0400,0.0423,0.0750,2.3109,0.1284,0.9155,0.9198,26.3620,0.2829,0.5233,0.8247,0.3532,0.4012,16.4810,0.0071,0.0201,6.4517,0.0290,1.0000,0.0101,0.1012,0.0020,0.0175,0E0,5.0000,0.2465,0.0487,0.0099,0.0702,0E0,10.0000,0.5069,0.0446,0.0771,0.2807,0E0,0.6181,0.0048,0.1349,0.0000,0.0175,0E0,14.1155,0.5093,0.0423,0.0968,0.2982,0E0,8.0698,0.4613,0.0460,0.0494,0.1754,0E0,4.7731,0.2066,0.0491,0.0079,0.0702,0E0,3.6914,0.1267,0.0526,0.0079,0.0526,0E0,4.0220,0.1449,0.0513,0.0079,0.0526,0E0,1.6407,0.0235,0.0760,0.0020,0.0526,0E0,2.5916,0.0514,0.0603,0.0040,0.0526,0E0
Hypsibius_cf_dujardini,506,2.7959,2.9266,500,0.9754,57,2.9668,0.9753,0.0020,10506,3.4331,0.6476,0.2311,0.1184,2.7562,0.4337,0.0695,0.0000,6.1208,2.3477,5.1352,0.0610,2.0743,0.4818,18.9301,0.1018,0.0776,0.3093,1.8521,0.1463,2.2359,0.8412,35.2910,0.1481,0.3252,0.4707,0.1941,0.6426,14.5178,0.0057,0.0000,6.4914,0.0299,1.0000,0.0071,0.1299,0.0020,0.0000,0E0,5.0000,0.1620,0.0508,0.0099,0.0000,0E0,10.0000,0.4681,0.0449,0.0711,0.0702,0E0,0.7221,0.0045,0.1608,0.0000,0.0000,0E0,12.1677,0.5272,0.0437,0.0968,0.0702,0E0,8.5120,0.4547,0.0461,0.0474,0.0351,0E0,5.4382,0.1977,0.0495,0.0099,0.0000,0E0,9.9281,0.4644,0.0449,0.0613,0.0351,0E0,7.0924,0.3888,0.0471,0.0158,0.0000,0E0,2.0427,0.0245,0.0802,0.0020,0.0000,0E0,3.1169,0.0541,0.0627,0.0040,0.0000,0E0
Hypsibius_cf_dujardini,506,2.7979,2.9303,500,0.9754,57,2.9122,0.9759,0.0024,10506,2.1723,0.8812,0.3767,0.0129,2.6290,1.1370,0.0625,0.0377,7.4909,2.3662,7.2569,0.0803,0.7263,0.5954,24.0015,0.0937,0.1210,0.2902,2.6414,0.1179,0.9518,1.5545,27.5863,0.2586,0.3709,0.5416,0.1606,0.4163,15.0666,0.0018,0.0000,6.4818,0.0296,1.0000,0.0067,0.1273,0.0020,0.0000,0E0,5.0000,0.1845,0.0500,0.0099,0.0175,0E0,10.0000,0.5003,0.0442,0.0711,0.1228,0E0,0.7412,0.0043,0.1569,0.0000,0.0000,0E0,11.3757,0.5129,0.0440,0.0909,0.1404,0E0,7.6294,0.4356,0.0465,0.0534,0.0877,0E0,5.1378,0.1916,0.0496,0.0099,0.0175,0E0,6.5791,0.3997,0.0475,0.0277,0.0526,0E0,4.5010,0.1379,0.0516,0.0099,0.0000,0E0,2.0166,0.0243,0.0781,0.0020,0.0000,0E0,2.9640,0.0501,0.0622,0.0040,0.0000,0E0
Hypsibius_cf_dujardini,507,2.7967,2.9272,500,0.9754,56,2.9685,0.9787,0.0021,10507,0.7474,2.9039,0.2457,2.1865,2.8193,0.5850,1.0746,0.0000,6.4020,6.9341,5.1231,0.0667,1.6899,0.3574,27.1595,0.3828,0.0691,0.5610,1.9606,0.4144,2.1057,0.4002,20.4285,0.0045,0.2345,0.6719,0.1965,1.0172,13.2306,0.0274,0.0000,6.4873,0.0298,1.0000,0.0071,0.1262,0.0020,0.0000,0E0,5.0000,0.1666,0.0503,0.0099,0.0000,0E0,10.0000,0.5140,0.0444,0.0848,0.0714,0E0,0.7242,0.0046,0.1565,0.0000,0.0000,0E0,12.2913,0.5220,0.0436,0.0986,0.0714,0E0,8.7750,0.4482,0.0458,0.0414,0.0536,0E0,5.3998,0.2228,0.0492,0.0099,0.0000,0E0,7.9094,0.4432,0.0465,0.0394,0.0536,0E0,6.4047,0.3584,0.0479,0.0158,0.0000,0E0,2.0242,0.0244,0.0788,0.0020,0.0000,0E0,2.9981,0.0532,0.0624,0.0039,0.0000,0E0
Hypsibius_cf_dujardini,507,2.8089,2.9337,500,0.9756,56,2.8589,0.9747,0.0027,10507,0.5215,2.0822,0.3320,0.0055,2.1143,1.6928,0.0714,0.0000,7.7739,1.8024,7.3493,0.1153,0.7437,0.4544,22.4034,0.0598,0.0229,0.3548,2.2396,0.0672,1.1985,1.4772,28.9024,0.1687,0.4231,0.3625,0.3826,0.8616,15.9079,0.0357,0.0731,6.4749,0.0296,1.0000,0.0088,0.1113,0.0020,0.0000,0E0,5.0000,0.1739,0.0501,0.0099,0.0179,0E0,10.0000,0.5110,0.0447,0.0769,0.1071,0E0,0.9329,0.0080,0.1160,0.0000,0.0000,0E0,11.9964,0.5136,0.0438,0.0966,0.1250,0E0,9.1928,0.4569,0.0454,0.0454,0.0714,0E0,5.3078,0.2223,0.0493,0.0099,0.0179,0E0,6.0798,0.3197,0.0481,0.0158,0.0536,0E0,5.8708,0.3059,0.0483,0.0118,0.0179,0E0,1.7621,0.0241,0.0792,0.0020,0.0179,0E0,2.8817,0.0582,0.0617,0.0059,0.0179,0E0
Hypsibius_cf_dujardini,507,2.7933,2.9259,500,0.9755,56,2.9870,0.9795,0.0019,10507,1.2843,2.4667,0.0305,0.6427,2.9966,0.1443,0.6594,0.2008,6.0748,0.4716,7.4774,0.0642,1.4107,0.5003,27.0419,0.1230,0.0368,0.4246,1.6316,0.1115,0.8934,1.1191,27.5747,0.0089,0.2478,0.4054,0.2726,0.5418,15.1427,0.0000,0.0000,6.4949,0.0300,1.0000,0.0070,0.1324,0.0020,0.0000,0E0,5.0000,0.1546,0.0507,0.0099,0.0000,0E0,10.0000,0.4955,0.0451,0.0690,0.0179,0E0,0.6870,0.0041,0.1692,0.0000,0.0000,4.782E-62,12.8917,0.5015,0.0432,0.0828,0.0536,0E0,8.6117,0.4444,0.0462,0.0473,0.0000,0E0,5.4782,0.2153,0.0494,0.0099,0.0000,0E0,10.9151,0.4972,0.0444,0.0710,0.0357,0E0,8.4908,0.4437,0.0462,0.0335,0.0000,0E0,2.0969,0.0245,0.0799,0.0020,0.0000,0E0,3.1287,0.0534,0.0629,0.0039,0.0000,0E0
Hypsibius_cf_dujardini,507,2.7997,2.9283,500,0.9755,56,2.8602,0.9716,0.0024,10507,1.0014,0.7585,0.6486,0.2527,2.6088,0.8753,2.6243,0.0000,5.3461,2.4967,5.2171,0.0963,2.3167,0.4862,13.8818,0.0888,0.0196,0.5364,1.2829,0.3144,1.0058,0.4810,39.8422,0.0036,0.6499,0.4183,0.3005,0.7459,15.6615,0.0386,0.0000,6.4853,0.0297,1.0000,0.0071,0.1266,0.0000,0.0000,0E0,5.0000,0.1775,0.0502,0.0118,0.0179,0E0,10.0000,0.5078,0.0444,0.0828,0.1786,0E0,1.0555,0.0078,0.1219,0.0000,0.0000,0E0,10.9089,0.5078,0.0444,0.0828,0.1786,0E0,7.5648,0.4558,0.0467,0.0493,0.1786,0E0,3.5760,0.0732,0.0573,0.0039,0.0000,0E0,6.5436,0.3945,0.0476,0.0276,0.0536,0E0,4.0392,0.1021,0.0542,0.0099,0.0000,0E0,2.0286,0.0243,0.0786,0.0020,0.0000,0E0,3.0294,0.0540,0.0623,0.0039,0.0000,0E0
Hypsibius_cf_dujardini,507,2.7979,2.9345,500,0.9756,56,2.8685,0.9737,0.0041,10507,3.3073,1.0947,0.0596,1.2055,3.1020,2.0127,0.0662,0.0103,6.8298,4.1066,5.1352,0.0867,1.2234,0.3577,23.0644,0.4065,0.0773,0.2527,2.5359,1.0419,0.0472,0.9743,26.0165,0.0040,0.4541,0.3542,0.2523,1.0241,14.8972,0.0000,0.0000,6.4919,0.0299,1.0000,0.0067,0.1315,0.0000,0.0179,0E0,5.0000,0.1909,0.0503,0.0079,0.0179,0E0,10.0000,0.4802,0.0453,0.0651,0.0357,0E0,2.0233,0.0230,0.0797,0.0000,0.0179,0E0,12.5695,0.5134,0.0437,0.0986,0.0536,0E0,8.5078,0.4713,0.0464,0.0434,0.0357,0E0,5.3063,0.2326,0.0496,0.0079,0.0179,0E0,10.8431,0.4806,0.0446,0.0671,0.0357,0E0,6.7964,0.4167,0.0477,0.0158,0.0179,0E0,2.0233,0.0230,0.0797,0.0000,0.0179,0E0,2.9832,0.0534,0.0627,0.0020,0.0179,0E0
Hypsibius_cf_dujardini,507,2.8155,2.9422,500,0.9756,56,2.6417,0.9662,0.0048,10507,3.1575,0.0718,0.0118,0.9602,3.0126,0.5101,1.7417,0.0306,5.6691,4.9964,1.6197,0.0571,1.2390,0.6397,30.6679,0.0421,0.0341,0.5485,2.1833,0.2635,1.5579,0.4410,17.3178,0.0000,0.6981,0.5419,0.7770,0.4352,20.7682,0.0061,0.0000,6.4723,0.0295,1.0000,0.0085,0.1112,0.0020,0.0357,0E0,5.0000,0.2064,0.0496,0.0079,0.0536,0E0,10.0000,0.5149,0.0446,0.0769,0.1071,0E0,0.7426,0.0056,0.1342,0.0000,0.0357,0E0,12.3077,0.5152,0.0437,0.0966,0.2143,0E0,8.4619,0.4417,0.0460,0.0394,0.1071,0E0,4.7685,0.1802,0.0502,0.0039,0.0536,0E0,3.8760,0.1133,0.0536,0.0039,0.0536,0E0,6.5532,0.3858,0.0475,0.0118,0.0536,0E0,1.7535,0.0239,0.0788,0.0020,0.0536,0E0,2.8111,0.0554,0.0615,0.0020,0.0536,0E0
Hypsibius_cf_dujardini,507,2.7949,2.9266,500,0.9754,56,2.9995,0.9800,0.0019,10507,1.9060,2.4028,0.4030,0.0497,3.0859,1.8410,0.5191,0.0049,6.1067,2.7025,5.1623,0.0695,1.9425,0.5040,27.3824,0.1242,0.0481,0.5785,1.4147,0.0704,1.9867,0.3000,18.9260,0.0151,0.8303,0.5670,0.5868,0.2918,20.1282,0.0501,0.0000,6.4899,0.0299,1.0000,0.0074,0.1258,0.0020,0.0000,0E0,5.0000,0.1584,0.0506,0.0099,0.0000,0E0,10.0000,0.4878,0.0451,0.0690,0.0179,0E0,0.8444,0.0057,0.1407,0.0000,0.0000,0E0,11.0580,0.5211,0.0444,0.0828,0.0179,0E0,8.6652,0.4681,0.0461,0.0493,0.0179,0E0,5.2445,0.1943,0.0499,0.0099,0.0000,0E0,16.7195,0.5355,0.0413,0.1479,0.0536,0E0,8.5315,0.4470,0.0461,0.0335,0.0000,0E0,1.9500,0.0243,0.0807,0.0020,0.0000,0E0,3.0370,0.0559,0.0626,0.0039,0.0000,0E0
