Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Idia_americalis,194,2.5202,3.1248,500,0.9786,23,2.0556,0.8709,0.0595,10194,1.0380,4.1536,0.8351,0.1287,3.1352,12.6163,3.7694,0.0000,0.2297,1.6555,0.0000,3.9496,9.9397,1.4840,19.5713,0.8629,0.2296,0.8008,2.3185,6.2133,2.3085,8.4970,11.3672,0.9676,0.4748,0.7141,0.0745,1.7110,0.9171,0.0371,0.0000,6.7767,0.0389,1.0000,0.0052,0.5483,0.0052,0.1304,1.174E-3,5.0000,0.0225,0.2540,0.0103,0.1304,9.627E-10,10.0000,0.0537,0.1357,0.0258,0.1739,1.678E-13,0.0522,0.0007,0.8736,0.0000,0.0870,4.298E-1,29.7194,0.3611,0.0262,0.0979,0.3043,1.01E-20,19.6230,0.1537,0.0532,0.0567,0.2174,2.996E-19,19.6230,0.1537,0.0532,0.0464,0.2174,2.996E-19,7.8678,0.0392,0.1739,0.0155,0.1739,1.587E-11,14.7658,0.0970,0.0831,0.0309,0.1739,1.886E-17,5.3699,0.0244,0.2407,0.0103,0.1304,3.466E-10,14.4042,0.0946,0.0860,0.0309,0.1739,3.611E-17
Idia_americalis,192,2.4835,3.0261,500,0.9751,25,2.2992,0.9290,0.0342,10192,0.6337,4.4908,1.2739,1.9498,3.1118,15.3881,5.2619,0.0000,0.1177,1.9783,0.0000,2.2509,10.3415,2.1222,20.9884,0.4158,0.2123,0.4388,0.5197,5.7732,1.9175,8.4000,8.2235,0.8130,0.2452,0.5354,0.1434,1.5642,0.8391,0.0449,0.0053,6.8029,0.0401,1.0000,0.0055,0.5584,0.0052,0.0400,9.789E-6,5.0000,0.0227,0.2683,0.0156,0.0800,1.2E-11,10.0000,0.0509,0.1439,0.0417,0.1600,1.469E-14,0.0184,0.0004,0.9195,0.0000,0.0000,1.228E-1,25.1125,0.2525,0.0371,0.0990,0.2000,1.076E-24,18.3927,0.1419,0.0628,0.0625,0.2000,3.547E-20,22.7128,0.2060,0.0444,0.0677,0.2000,3.874E-23,9.2991,0.0459,0.1562,0.0365,0.1600,7.747E-14,30.3908,0.3631,0.0266,0.1406,0.2000,1.458E-27,4.4245,0.0202,0.2917,0.0052,0.0400,2.592E-12,14.6823,0.0923,0.0883,0.0573,0.2000,2.847E-17
Idia_americalis,197,2.4630,3.0605,500,0.9749,20,2.6069,0.9542,0.0188,10197,2.4756,4.6030,0.7139,0.9026,4.3496,12.7971,4.5313,0.3132,0.1554,2.3999,0.0232,2.6141,9.9776,1.3377,18.7962,0.4119,0.1863,0.3114,1.1208,7.7857,2.3248,8.1416,8.7899,1.1596,0.3651,0.4535,0.1059,1.8872,0.8974,0.0685,0.0000,6.8292,0.0411,1.0000,0.0056,0.5650,0.0051,0.0000,1.098E-5,5.0000,0.0230,0.2718,0.0152,0.0500,2.651E-10,10.0000,0.0532,0.1459,0.0355,0.1500,4.508E-12,0.0418,0.0007,0.8905,0.0000,0.0000,9.824E-2,29.5691,0.3408,0.0283,0.0964,0.2500,8.286E-20,18.0931,0.1352,0.0660,0.0660,0.2000,4.86E-16,21.8024,0.1951,0.0486,0.0660,0.2000,3.945E-18,9.7523,0.0513,0.1500,0.0355,0.1500,7.139E-12,15.5508,0.1044,0.0831,0.0609,0.1500,3.806E-16,7.3091,0.0347,0.2001,0.0152,0.0500,8.54E-13,14.6253,0.0950,0.0906,0.0609,0.1500,1.632E-15
Idia_americalis,195,2.4620,3.0350,500,0.9761,22,2.6632,0.9535,0.0231,10195,0.1711,2.7518,2.7698,1.7075,3.4413,14.8602,5.2274,1.1175,0.8414,2.0626,0.0069,2.0492,9.1643,1.4642,19.6337,0.2905,0.2368,0.9726,1.0011,4.9820,2.7373,7.3444,12.2195,0.5763,0.3589,0.5530,0.0979,0.8715,0.3798,0.0991,0.0106,6.8436,0.0418,1.0000,0.0056,0.5778,0.0051,0.0000,5.75E-6,5.0000,0.0232,0.2804,0.0103,0.0909,1.123E-9,10.0000,0.0523,0.1533,0.0308,0.0909,8.669E-15,0.0259,0.0006,0.9193,0.0000,0.0000,1.57E-1,27.2288,0.2812,0.0339,0.0974,0.1818,2.29E-23,20.8105,0.1697,0.0549,0.0513,0.0909,1.297E-23,20.8105,0.1697,0.0549,0.0513,0.0909,1.297E-23,15.0936,0.0957,0.0909,0.0462,0.0909,2.876E-19,23.2197,0.2132,0.0455,0.0667,0.0909,3.074E-25,7.0840,0.0342,0.2141,0.0103,0.0909,6.011E-12,14.9813,0.0946,0.0919,0.0462,0.0909,3.557E-19
Idia_americalis,194,2.5169,3.1055,500,0.9759,23,2.0145,0.9067,0.0398,10194,1.4120,4.1542,1.1266,0.1024,2.0664,14.2944,6.2487,0.0000,0.3528,2.0033,0.0036,3.1697,8.6700,1.2229,20.1429,0.4394,0.1529,1.4694,1.6580,8.3012,1.9176,9.0363,8.0634,0.8761,0.2562,0.6676,0.0495,1.7099,0.4020,0.0307,0.0000,6.7615,0.0384,1.0000,0.0052,0.5369,0.0052,0.0435,1.277E-5,5.0000,0.0226,0.2503,0.0258,0.1304,7.318E-10,10.0000,0.0540,0.1329,0.0258,0.1739,1.151E-13,0.0747,0.0009,0.8347,0.0000,0.0000,1.568E-2,26.9761,0.3013,0.0304,0.0928,0.2609,1.379E-21,18.2780,0.1422,0.0590,0.0567,0.2609,8.993E-17,21.4590,0.1929,0.0454,0.0619,0.2609,1.156E-18,7.7021,0.0378,0.1739,0.0258,0.1739,1.587E-11,16.3165,0.1173,0.0700,0.0464,0.1739,7.75E-19,6.9056,0.0328,0.1925,0.0258,0.1739,9.988E-11,14.3105,0.0929,0.0847,0.0361,0.1739,2.675E-17
Idia_americalis,197,2.4261,3.0206,500,0.9755,20,3.2188,0.9849,0.0060,10197,1.0928,1.7999,1.1571,0.3938,4.0370,14.8721,5.3144,0.0000,1.4321,2.1864,0.0000,2.3713,9.7711,1.3346,19.0763,0.3703,0.1845,1.7043,1.0922,4.1121,2.1943,8.6033,12.9701,0.8174,0.2066,0.5977,0.0799,1.5694,0.5580,0.0895,0.0117,6.8842,0.0436,1.0000,0.0059,0.5858,0.0051,0.0000,2.262E-5,5.0000,0.0238,0.2888,0.0152,0.0000,1.63E-11,10.0000,0.0531,0.1590,0.0305,0.0000,1.062E-16,0.0244,0.0006,0.9241,0.0000,0.0000,2.062E-1,26.7488,0.2730,0.0370,0.0964,0.0500,1.189E-26,19.1936,0.1450,0.0660,0.0660,0.0500,6.986E-22,22.8548,0.2032,0.0491,0.0660,0.0500,2.607E-24,22.6239,0.1984,0.0500,0.0660,0.0500,3.654E-24,28.1056,0.3052,0.0337,0.1066,0.0500,2.092E-27,4.5268,0.0217,0.3082,0.0051,0.0000,5.99E-11,15.0381,0.0959,0.0957,0.0457,0.0500,7.91E-19
Idia_americalis,196,2.5058,3.0592,500,0.9787,21,1.8691,0.9026,0.0448,10196,1.4183,0.9282,0.3116,1.9166,2.0673,12.7983,6.3916,0.0000,2.5742,1.9880,0.0114,2.4250,11.5615,1.3214,26.7271,0.1464,0.1689,1.1333,1.6065,5.1753,1.4601,10.1796,3.2135,1.2315,0.4162,0.5161,0.3583,1.4369,0.3779,0.0648,0.0741,6.8221,0.0408,1.0000,0.0056,0.5659,0.0051,0.0476,1.099E-4,5.0000,0.0231,0.2753,0.0051,0.1429,4.438E-8,10.0000,0.0513,0.1493,0.0204,0.1429,1.14E-12,0.8736,0.0050,0.5874,0.0000,0.0476,2.212E-4,26.0166,0.2704,0.0351,0.0918,0.2857,6.747E-18,17.5838,0.1227,0.0697,0.0663,0.2857,1.622E-13,24.5786,0.2362,0.0390,0.0867,0.2857,3.23E-17,10.3975,0.0548,0.1429,0.0255,0.1429,5.308E-13,12.1985,0.0680,0.1181,0.0306,0.1429,1.857E-14,6.4218,0.0303,0.2281,0.0051,0.1429,1.795E-9,14.8828,0.0929,0.0899,0.0459,0.2381,2.397E-13
Idia_americalis,195,2.4769,3.0575,500,0.9767,22,2.4325,0.9076,0.0499,10195,3.3643,6.1520,0.6468,0.8675,3.1014,10.3455,7.0486,1.4366,0.2570,1.9282,0.0072,2.1815,9.2446,1.5385,22.1123,0.1920,0.1784,0.1246,1.1580,4.6837,2.3873,9.3509,5.3642,2.0289,0.5058,0.7879,0.0488,1.3773,1.4667,0.1135,0.0000,6.8094,0.0403,1.0000,0.0056,0.5516,0.0051,0.0909,3.554E-4,5.0000,0.0229,0.2649,0.0051,0.0909,3.749E-10,10.0000,0.0538,0.1428,0.0308,0.0909,2.148E-15,0.0403,0.0007,0.8846,0.0000,0.0455,2.609E-1,22.2370,0.2061,0.0459,0.0974,0.2273,3.766E-19,16.8945,0.1179,0.0718,0.0718,0.1818,1.419E-17,21.2683,0.1864,0.0494,0.0718,0.1818,1.878E-20,10.4287,0.0573,0.1363,0.0359,0.1364,3.671E-14,15.5699,0.1028,0.0813,0.0615,0.1364,2.377E-18,5.6220,0.0259,0.2429,0.0051,0.0909,6.958E-11,14.6382,0.0949,0.0889,0.0462,0.1364,1.255E-17
Idia_americalis,195,2.4180,3.0082,500,0.9754,22,2.8882,0.9803,0.0066,10195,3.8467,3.1822,0.4624,0.3581,2.6958,14.3581,5.9866,0.1805,0.2654,1.2303,0.0000,2.6449,9.8763,1.2778,19.6612,0.4063,0.0756,0.8294,0.8625,4.1395,2.5063,7.4109,13.0506,1.1478,0.3089,1.0845,0.1088,0.9525,1.0077,0.0821,0.0000,6.8749,0.0433,1.0000,0.0059,0.5807,0.0051,0.0000,6.406E-6,5.0000,0.0238,0.2830,0.0051,0.0000,8.683E-13,10.0000,0.0537,0.1556,0.0256,0.0000,1.668E-18,0.0241,0.0006,0.9221,0.0000,0.0000,1.68E-1,27.3199,0.2970,0.0357,0.0974,0.0909,2.443E-27,18.8785,0.1441,0.0667,0.0667,0.0455,4.173E-24,23.2075,0.2130,0.0473,0.0718,0.0455,3.092E-27,23.7629,0.2263,0.0454,0.0769,0.0455,1.331E-27,25.0034,0.2472,0.0415,0.0821,0.0455,2.004E-28,6.2546,0.0304,0.2402,0.0051,0.0000,2.362E-14,14.9444,0.0940,0.0949,0.0615,0.0455,6.592E-21
Idia_americalis,198,2.4235,3.0449,500,0.9775,19,3.4295,0.9890,0.0042,10198,2.0569,5.2035,1.6057,0.0892,4.3425,9.1201,6.5517,0.0000,0.3043,1.7914,0.0172,2.6786,10.7519,1.4427,16.4273,0.4775,0.2460,0.6558,0.9408,7.9807,3.2568,10.6365,9.0716,0.9430,0.3235,0.7983,0.0620,1.0664,1.0453,0.1041,0.0089,6.8926,0.0440,1.0000,0.0060,0.5792,0.0051,0.0000,3.12E-5,5.0000,0.0243,0.2855,0.0051,0.0000,4.548E-11,10.0000,0.0542,0.1562,0.0202,0.0000,4.79E-16,0.0261,0.0006,0.9186,0.0000,0.0000,1.993E-1,30.0100,0.3447,0.0304,0.0909,0.0526,9.064E-27,19.1523,0.1497,0.0657,0.0657,0.0526,9.267E-21,26.1379,0.2650,0.0387,0.0707,0.0526,7.047E-25,21.9214,0.1929,0.0527,0.0657,0.0526,1.749E-22,35.2376,0.4664,0.0227,0.1212,0.0526,4.952E-29,6.1824,0.0298,0.2444,0.0051,0.0000,2.358E-12,14.7617,0.0967,0.0965,0.0505,0.0000,5.071E-20
