Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Ilex_montana,380,0.9887,1.2484,500,0.8834,43,0.7579,0.8080,0.0356,10379,5.3912,1.3863,1.9100,0.3327,5.3824,26.6699,5.9782,0.1399,0.0252,8.8956,0.1720,0.9929,6.5239,3.5682,1.6333,1.0840,0.0095,0.3631,0.1944,8.4219,1.6773,3.6993,0.4380,0.4394,1.9816,5.9672,0.4473,1.6866,2.7338,1.8547,0.0000,8.2921,0.1909,1.0000,0.0435,0.8220,0.0026,0.0233,3.997E-3,5.0000,0.0945,0.6133,0.0263,0.1163,1.354E-4,10.0000,0.1392,0.4669,0.0474,0.1395,1.153E-7,0.2208,0.0199,0.9134,0.0000,0.0000,2.173E-2,16.1915,0.1958,0.3474,0.1000,0.2093,5.156E-10,29.2642,0.3139,0.1957,0.1947,0.3256,1.257E-15,29.0132,0.3119,0.1979,0.1842,0.3256,2.201E-15,22.4530,0.2504,0.2628,0.1474,0.2558,3.728E-13,35.5974,0.3769,0.1494,0.2526,0.3256,2.318E-22,2.4799,0.0665,0.7245,0.0079,0.0465,3.889E-4,13.9879,0.1757,0.3846,0.0816,0.1628,5.295E-10
Ilex_montana,380,1.0315,1.3088,500,0.8887,43,0.2410,0.7194,0.0423,10379,4.9390,2.9207,0.8910,0.0392,6.5696,26.1681,6.9032,0.5563,0.0328,6.4088,0.1373,0.7076,5.8251,4.6423,0.7305,0.9619,0.2308,0.6429,0.7420,8.2310,1.3891,3.0549,0.7056,0.5805,2.2785,8.1847,0.5887,1.3555,2.6882,0.8946,0.0000,8.2429,0.1812,1.0000,0.0391,0.8111,0.0026,0.0233,2.757E-3,5.0000,0.0884,0.5941,0.0316,0.1628,5.841E-4,10.0000,0.1363,0.4471,0.0632,0.3256,1.356E-3,0.8835,0.0365,0.8219,0.0000,0.0233,3.972E-3,15.8277,0.1886,0.3355,0.1000,0.3488,5.821E-6,29.1311,0.3138,0.1859,0.1868,0.3953,8.333E-13,28.8440,0.3113,0.1882,0.1789,0.3953,1.399E-12,15.0006,0.1804,0.3489,0.0947,0.3488,1.599E-5,29.3120,0.3148,0.1843,0.1895,0.3953,5.857E-13,3.5333,0.0737,0.6551,0.0105,0.1628,5.992E-3,13.9952,0.1712,0.3661,0.0789,0.3488,5.225E-5
Ilex_montana,381,0.9998,1.2792,500,0.8864,42,0.8346,0.7915,0.0401,10380,6.6861,0.8764,1.3522,0.5723,6.0894,25.5915,4.1094,1.0086,2.2642,6.1041,0.3003,0.8899,6.5658,5.3497,1.1081,0.9473,0.1790,0.2994,0.6460,9.2799,1.7373,4.2762,0.5134,1.9518,1.4482,5.8842,0.3620,0.9462,1.6984,0.9592,0.0035,8.2714,0.1862,1.0000,0.0400,0.8174,0.0026,0.0476,1.179E-2,5.0000,0.0916,0.6023,0.0262,0.1429,3.699E-4,10.0000,0.1385,0.4557,0.0499,0.1905,2.068E-6,0.9547,0.0390,0.8216,0.0000,0.0476,1.341E-2,16.0659,0.1933,0.3394,0.0997,0.2143,5.028E-10,28.0249,0.3046,0.1995,0.1995,0.3571,3.254E-13,31.3157,0.3343,0.1730,0.2126,0.3571,4.158E-16,20.3149,0.2301,0.2798,0.1286,0.2857,1.767E-10,20.1858,0.2288,0.2813,0.1286,0.2381,2.151E-12,3.2596,0.0732,0.6757,0.0131,0.0952,7.597E-4,13.8508,0.1730,0.3767,0.0840,0.2143,2.243E-8
Ilex_montana,380,0.9794,1.2418,500,0.8818,43,0.8755,0.8538,0.0240,10379,5.9858,1.6746,2.3890,2.5930,4.6645,27.1578,7.5723,0.9639,0.0334,4.8437,0.0679,0.7081,5.8233,4.4331,0.9928,1.1010,0.1225,0.5894,0.2255,7.4054,1.5592,5.2094,0.8745,0.5814,1.1307,6.1680,0.6419,1.5205,1.8137,1.1536,0.0000,8.2899,0.1904,1.0000,0.0435,0.8282,0.0000,0.0000,1.411E-3,5.0000,0.0934,0.6189,0.0211,0.0000,1.336E-7,10.0000,0.1369,0.4704,0.0605,0.0698,7.629E-10,1.1176,0.0458,0.8185,0.0000,0.0000,1.007E-3,14.9358,0.1803,0.3691,0.1000,0.1163,1.346E-12,28.3811,0.3073,0.2026,0.2026,0.2791,1.387E-17,24.0624,0.2642,0.2443,0.1474,0.2093,3.784E-17,26.2874,0.2850,0.2217,0.1789,0.2093,1.325E-19,19.1143,0.2180,0.3044,0.1184,0.1163,7.505E-17,2.5575,0.0671,0.7268,0.0026,0.0000,2.9E-5,14.1183,0.1731,0.3838,0.0921,0.1163,7.827E-12
Ilex_montana,381,0.9906,1.2653,500,0.8844,42,0.7416,0.8237,0.0304,10380,2.6155,0.7154,4.9535,1.5008,6.6342,26.9622,7.1126,0.2484,0.9509,4.3541,0.2036,0.9856,6.0494,5.2223,0.9527,0.9751,0.1948,0.5762,0.6210,8.2897,1.4601,3.7927,1.2247,0.8257,1.1901,6.0040,0.3878,0.9362,3.1687,0.8923,0.0000,8.2821,0.1890,1.0000,0.0442,0.8336,0.0000,0.0000,1.894E-3,5.0000,0.0920,0.6253,0.0289,0.0476,5.967E-6,10.0000,0.1344,0.4745,0.0499,0.1190,6.62E-8,1.6408,0.0553,0.7870,0.0000,0.0000,3.737E-4,17.1342,0.1974,0.3351,0.0997,0.1905,3.652E-11,29.0296,0.3075,0.1962,0.1969,0.3571,1.575E-13,32.8629,0.3407,0.1656,0.2178,0.4286,7.465E-13,25.3747,0.2691,0.2307,0.1575,0.2381,1.531E-16,25.3719,0.2691,0.2307,0.1575,0.2143,6.881E-18,2.6408,0.0679,0.7293,0.0026,0.0238,1.584E-4,14.4244,0.1721,0.3807,0.0787,0.1667,7.67E-10
Ilex_montana,381,0.9700,1.2397,500,0.8810,42,1.0646,0.8640,0.0274,10380,5.2735,1.2237,1.9557,1.3022,4.9943,26.9055,8.7494,0.4250,0.7242,4.6766,0.1389,0.8094,6.1299,4.4060,1.3315,0.9551,0.1455,0.5800,0.2409,7.0167,1.4432,2.8902,1.5056,1.3030,2.3138,6.3815,0.5730,1.0427,3.8821,0.6674,0.0136,8.3122,0.1953,1.0000,0.0440,0.8260,0.0000,0.0238,5.124E-3,5.0000,0.0976,0.6187,0.0394,0.0238,9.208E-7,10.0000,0.1442,0.4749,0.0551,0.0714,1.951E-9,1.4556,0.0529,0.7911,0.0000,0.0238,1.587E-3,18.1549,0.2161,0.3265,0.0997,0.1190,9.098E-15,29.1062,0.3149,0.2049,0.2047,0.2619,5.611E-18,35.0149,0.3650,0.1601,0.2336,0.2857,5.999E-23,28.3080,0.3075,0.2119,0.1969,0.2143,4.579E-20,24.6073,0.2728,0.2475,0.1627,0.1190,9.289E-22,2.9326,0.0732,0.7053,0.0052,0.0238,5.888E-5,14.0494,0.1790,0.3924,0.0709,0.0714,5.536E-13
Ilex_montana,381,0.9841,1.2633,500,0.8839,42,0.7378,0.7908,0.0382,10381,2.4078,1.2105,1.2624,4.5612,6.1128,26.5087,5.6165,0.5071,1.0299,6.8791,0.2143,1.1452,4.8086,4.8734,1.6472,0.8757,0.1070,0.6227,0.6335,9.1014,1.7137,4.8793,0.9488,0.4968,1.2752,4.7442,0.3975,1.3117,3.6852,0.3856,0.0370,8.2850,0.1889,1.0000,0.0421,0.8226,0.0000,0.0476,1.383E-2,5.0000,0.0935,0.6100,0.0236,0.0952,4.484E-5,10.0000,0.1379,0.4640,0.0604,0.1667,7.962E-7,1.4001,0.0493,0.7905,0.0000,0.0476,4.966E-3,16.4101,0.1954,0.3402,0.0997,0.2619,2.632E-8,28.6555,0.3084,0.1969,0.1969,0.3810,2.994E-12,31.7994,0.3375,0.1718,0.2100,0.3810,7.612E-15,19.5549,0.2223,0.2948,0.1286,0.2857,1.238E-9,34.2013,0.3621,0.1546,0.2310,0.3810,4.202E-17,2.6954,0.0678,0.7113,0.0079,0.0714,9.441E-4,13.9506,0.1736,0.3818,0.0892,0.2143,3.547E-8
Ilex_montana,381,1.0080,1.2666,500,0.8826,42,0.5846,0.7897,0.0353,10380,5.6666,2.4878,0.4714,1.3498,4.3006,26.8658,7.2355,0.2132,1.9651,4.2355,0.1076,0.6408,5.6568,5.6943,1.5276,0.7510,0.2050,0.6421,0.4256,10.2315,1.5693,3.9338,0.3508,0.5270,2.0959,5.6301,0.4329,2.1330,1.9767,0.6607,0.0163,8.2564,0.1839,1.0000,0.0409,0.8178,0.0026,0.0238,3.919E-3,5.0000,0.0897,0.6052,0.0262,0.0952,3.569E-5,10.0000,0.1344,0.4564,0.0630,0.1429,9.208E-8,0.8191,0.0371,0.8344,0.0000,0.0238,6.716E-3,13.8654,0.1697,0.3763,0.0997,0.2143,2.165E-8,28.4956,0.3055,0.1942,0.1942,0.3810,1.706E-12,27.1415,0.2907,0.2061,0.1732,0.3333,7.923E-14,16.9914,0.1979,0.3245,0.1102,0.3333,1.085E-6,34.8176,0.3653,0.1478,0.2441,0.3810,3.784E-18,5.6162,0.0954,0.5829,0.0262,0.0952,1.164E-5,14.1544,0.1723,0.3711,0.1050,0.2143,1.333E-8
Ilex_montana,381,0.9990,1.2590,500,0.8879,42,0.5597,0.7620,0.0423,10380,3.0881,4.8777,0.3166,1.8734,4.9307,25.7165,8.7821,0.4785,1.6043,4.5315,0.3892,0.6674,3.5487,6.2599,1.2137,0.8965,0.1211,0.3477,0.2313,11.6410,1.2642,5.3329,0.8705,0.7528,1.2205,6.2648,0.9350,0.9659,0.1201,0.7402,0.0173,8.2734,0.1876,1.0000,0.0420,0.8245,0.0000,0.0714,3.808E-2,5.0000,0.0934,0.6164,0.0262,0.0952,6.066E-5,10.0000,0.1372,0.4699,0.0394,0.2381,7.498E-5,3.3931,0.0766,0.6820,0.0000,0.0952,9.671E-4,18.1670,0.2073,0.3194,0.0997,0.2619,2.934E-9,29.5542,0.3063,0.1930,0.1942,0.4286,2.562E-10,32.7265,0.3366,0.1677,0.2100,0.4762,3.277E-10,20.6594,0.2289,0.2857,0.1312,0.2857,3.933E-10,23.2197,0.2509,0.2550,0.1444,0.2857,4.281E-12,3.3931,0.0766,0.6820,0.0000,0.0952,9.671E-4,14.5348,0.1763,0.3775,0.0656,0.2381,1.375E-7
Ilex_montana,381,0.9648,1.2364,500,0.8815,42,1.0227,0.8494,0.0290,10380,2.4513,2.1043,1.7767,1.8842,5.9391,26.9087,9.1071,1.2951,0.5427,4.8079,0.1195,1.1164,7.1089,5.8295,1.6469,1.0342,0.1959,0.4683,0.5975,6.6135,1.1287,7.2067,0.9070,0.3224,1.7828,4.9296,0.6198,0.8117,0.2936,0.4500,0.0000,8.3070,0.1938,1.0000,0.0434,0.8267,0.0000,0.0000,1.502E-3,5.0000,0.0965,0.6175,0.0262,0.0238,8.646E-7,10.0000,0.1423,0.4730,0.0551,0.1190,5.949E-8,1.7831,0.0577,0.7695,0.0000,0.0000,1.946E-4,18.1474,0.2149,0.3238,0.0997,0.1667,8.501E-13,29.7220,0.3180,0.1968,0.1969,0.2619,5.588E-19,31.5213,0.3332,0.1823,0.2073,0.2619,5.28E-21,23.9992,0.2659,0.2511,0.1496,0.2619,1.681E-13,36.1307,0.3767,0.1492,0.2572,0.2619,4.546E-27,1.7831,0.0577,0.7695,0.0000,0.0000,1.946E-4,14.0116,0.1779,0.3904,0.0814,0.1429,2.805E-10
