Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Isoperla_species,158,2.8219,3.3118,500,0.9874,18,2.9062,0.9619,0.0196,10156,2.9381,1.3848,1.8157,0.9054,3.5464,3.1027,4.8618,0.1653,0.6100,4.0515,18.9761,0.3104,4.5968,0.1376,0.1730,1.0194,0.1813,2.4571,1.0667,0.6592,0.8528,1.5875,10.8647,1.6130,0.6983,8.7915,2.1212,2.2460,17.4931,0.6382,0.1343,6.4623,0.0286,1.0000,0.0036,0.3981,0.0000,0.0000,6.305E-8,5.0000,0.0261,0.1462,0.0000,0.1111,4.968E-12,10.0000,0.0720,0.0773,0.0127,0.1111,2.135E-16,7.4822,0.0474,0.1031,0.0000,0.1111,2.031E-14,23.7395,0.2847,0.0270,0.0949,0.1111,1.145E-23,16.2669,0.1550,0.0443,0.0443,0.1111,3.101E-20,16.0399,0.1522,0.0451,0.0316,0.1111,4.105E-20,6.8978,0.0421,0.1111,0.0000,0.1111,6.579E-14,29.2812,0.4015,0.0200,0.1582,0.1111,9.562E-26,4.8482,0.0246,0.1500,0.0000,0.1111,7.383E-12,12.0727,0.0966,0.0630,0.0190,0.1111,8.373E-18
Isoperla_species,158,2.8082,3.2685,500,0.9865,18,3.1958,0.9854,0.0037,10156,2.6662,1.9743,1.5223,1.5845,3.3660,2.8195,4.9915,0.3663,1.6821,3.0972,21.6250,0.1987,4.1154,0.2197,0.4679,0.7818,0.4959,2.9424,0.1198,0.4143,1.2289,1.4215,12.4488,1.3989,0.1451,2.7448,0.7971,2.7346,20.8824,0.5204,0.2266,6.4873,0.0294,1.0000,0.0035,0.4041,0.0000,0.0000,8.255E-8,5.0000,0.0254,0.1475,0.0063,0.0000,1.092E-15,10.0000,0.0740,0.0775,0.0127,0.0000,1.015E-20,4.8934,0.0247,0.1503,0.0000,0.0000,1.524E-15,21.4126,0.2533,0.0320,0.0886,0.1667,2.815E-20,15.3324,0.1494,0.0480,0.0506,0.0556,6.439E-22,11.7510,0.0957,0.0650,0.0127,0.0000,4.273E-22,15.3324,0.1494,0.0480,0.0506,0.0556,6.439E-22,15.3057,0.1491,0.0480,0.0443,0.0000,1.797E-24,4.8934,0.0247,0.1503,0.0000,0.0000,1.524E-15,11.8322,0.0967,0.0646,0.0190,0.0000,3.831E-22
Isoperla_species,158,2.8359,3.2923,500,0.9860,18,2.8528,0.9747,0.0093,10157,1.6820,2.1671,2.2258,1.2203,3.7975,2.9679,3.2900,0.5951,1.6381,2.9105,17.7797,0.1403,3.9278,0.3037,4.3903,1.2327,0.2471,2.0818,0.2254,0.4562,0.5590,1.5472,9.6258,2.1681,0.6350,7.7520,1.4647,2.7942,19.5595,0.6112,0.0039,6.4387,0.0280,1.0000,0.0038,0.3517,0.0000,0.0000,6.771E-9,5.0000,0.0281,0.1309,0.0127,0.0556,1.543E-14,10.0000,0.0823,0.0717,0.0253,0.1111,6.455E-17,3.9667,0.0202,0.1571,0.0000,0.0000,3.41E-15,24.4190,0.3055,0.0256,0.0949,0.2778,1.539E-17,14.0169,0.1339,0.0506,0.0506,0.1667,2.578E-17,10.9757,0.0941,0.0655,0.0253,0.1111,1.536E-17,7.5105,0.0545,0.0930,0.0190,0.1111,4.016E-15,7.5075,0.0545,0.0930,0.0190,0.0556,4.816E-17,3.9667,0.0202,0.1571,0.0000,0.0000,3.41E-15,11.6762,0.1029,0.0615,0.0316,0.1111,5.737E-18
Isoperla_species,158,2.8257,3.2885,500,0.9863,18,3.1188,0.9815,0.0065,10156,5.0020,1.3453,1.4084,0.5969,4.1068,3.2707,3.7539,0.5721,0.1377,2.9860,21.2597,0.1989,3.9633,0.3659,0.4564,0.6368,0.1319,1.4375,0.9858,0.5332,0.9551,1.2858,10.7527,1.3643,0.2655,9.3882,0.5623,2.3193,19.1868,0.7709,0.0000,6.4391,0.0280,1.0000,0.0036,0.3676,0.0000,0.0000,1.5E-8,5.0000,0.0276,0.1347,0.0000,0.0000,2.131E-16,10.0000,0.0797,0.0731,0.0253,0.0556,8.069E-19,5.4903,0.0323,0.1250,0.0000,0.0000,5.512E-17,23.7098,0.2893,0.0266,0.0949,0.1111,9.056E-24,13.3120,0.1194,0.0544,0.0570,0.1111,7.99E-19,9.9909,0.0795,0.0732,0.0190,0.0556,8.255E-19,10.1349,0.0810,0.0721,0.0316,0.0556,6.413E-19,6.2467,0.0384,0.1122,0.0063,0.0000,7.878E-18,4.5535,0.0240,0.1451,0.0000,0.0000,8.165E-16,11.8521,0.1028,0.0615,0.0443,0.1111,5.746E-18
Isoperla_species,158,2.8209,3.2837,500,0.9865,18,3.2949,0.9869,0.0036,10156,2.0415,1.4750,1.0668,0.9157,3.5003,3.1591,2.6762,0.0774,2.1645,5.9143,19.1498,0.1227,4.2594,0.2940,2.0216,1.1742,0.3145,2.5420,0.1072,0.6201,0.6520,1.5912,10.7511,1.5705,0.6560,5.8152,0.6048,1.8687,21.9023,0.8688,0.1229,6.4687,0.0288,1.0000,0.0035,0.4019,0.0000,0.0000,7.494E-8,5.0000,0.0249,0.1470,0.0000,0.0000,1.028E-15,10.0000,0.0732,0.0767,0.0190,0.0000,8.446E-21,6.0269,0.0329,0.1249,0.0000,0.0000,5.434E-17,21.7923,0.2559,0.0308,0.0886,0.1667,1.606E-20,16.3638,0.1625,0.0443,0.0443,0.0556,1.687E-22,17.9951,0.1876,0.0393,0.0443,0.0556,2.193E-23,13.5014,0.1182,0.0555,0.0443,0.0556,7.751E-21,12.8295,0.1111,0.0588,0.0380,0.0000,7.023E-23,4.9727,0.0247,0.1477,0.0000,0.0000,1.118E-15,11.9756,0.1006,0.0634,0.0316,0.0000,2.747E-22
Isoperla_species,158,2.8802,3.3441,500,0.9872,18,2.3986,0.9362,0.0325,10156,4.2127,1.7728,0.9205,1.5599,3.7476,2.4105,5.4654,0.4869,0.6645,3.0366,19.8797,0.2715,4.8431,0.2241,2.0109,0.8723,0.2836,2.3058,0.5239,0.6474,0.9690,1.1034,10.4088,1.8956,0.7493,3.4063,0.6665,2.5786,21.5972,0.4134,0.0720,6.4204,0.0275,1.0000,0.0034,0.3631,0.0000,0.0556,3.927E-7,5.0000,0.0276,0.1278,0.0000,0.1111,6.001E-13,10.0000,0.0839,0.0689,0.0253,0.2222,1.281E-13,5.9596,0.0360,0.1102,0.0000,0.1111,5.799E-14,26.6706,0.3521,0.0222,0.0949,0.3333,2.293E-16,14.6519,0.1436,0.0466,0.0443,0.2778,3.332E-14,11.5400,0.1037,0.0599,0.0253,0.2222,1.847E-14,5.9052,0.0356,0.1111,0.0000,0.1111,6.579E-14,5.9596,0.0360,0.1102,0.0000,0.1111,5.799E-14,4.4645,0.0236,0.1401,0.0000,0.1111,2.545E-12,11.4286,0.1011,0.0605,0.0253,0.2222,2.114E-14
Isoperla_species,159,2.8509,3.2917,500,0.9863,17,2.3451,0.9654,0.0101,10157,5.2229,1.7580,0.8125,0.8676,3.5541,2.6108,4.5387,1.1503,0.0000,0.4701,27.7827,0.2018,3.0113,0.1238,0.0979,0.6878,0.1844,2.3968,0.7645,0.5525,0.3781,1.5123,11.8362,2.0085,0.7960,3.7510,1.0848,1.8464,19.4092,0.4451,0.1437,6.4364,0.0278,1.0000,0.0034,0.3917,0.0000,0.0000,1.205E-7,5.0000,0.0249,0.1416,0.0063,0.0588,3.839E-13,10.0000,0.0715,0.0736,0.0252,0.1765,7.58E-14,4.7921,0.0235,0.1467,0.0000,0.0000,6.748E-15,19.6375,0.2249,0.0324,0.0943,0.2941,7.093E-15,15.0922,0.1428,0.0454,0.0440,0.2353,6.95E-15,15.0922,0.1428,0.0454,0.0440,0.2353,6.95E-15,6.1733,0.0343,0.1177,0.0063,0.1176,1.233E-12,4.8901,0.0243,0.1443,0.0063,0.0000,5.12E-15,4.7921,0.0235,0.1467,0.0000,0.0000,6.748E-15,11.7812,0.0927,0.0614,0.0314,0.1765,6.215E-15
Isoperla_species,159,2.8814,3.3281,500,0.9863,17,1.7841,0.9142,0.0377,10157,3.2836,0.9386,3.4574,0.0423,3.3169,2.7355,4.1174,0.7033,1.2099,5.3635,21.7746,0.5350,4.0438,0.3993,3.3156,0.7200,0.0875,1.5577,0.1998,0.5033,1.3832,1.5558,9.8836,0.8771,1.0661,4.5594,1.1497,2.3780,18.2770,0.5442,0.0211,6.4209,0.0275,1.0000,0.0035,0.3678,0.0000,0.0588,1.248E-6,5.0000,0.0266,0.1292,0.0063,0.1765,1.666E-10,10.0000,0.0794,0.0680,0.0126,0.2941,4.399E-11,1.5900,0.0058,0.2891,0.0000,0.0588,2.94E-8,22.9480,0.2975,0.0266,0.0881,0.4118,2.888E-12,14.6500,0.1490,0.0451,0.0440,0.2941,3.536E-13,11.7458,0.1029,0.0575,0.0126,0.2941,6.151E-12,4.4654,0.0226,0.1420,0.0063,0.1176,1.961E-11,4.4654,0.0226,0.1420,0.0063,0.1176,1.961E-11,4.5754,0.0236,0.1392,0.0063,0.1765,4.601E-10,11.2043,0.0969,0.0605,0.0126,0.2941,1.106E-11
Isoperla_species,159,2.8356,3.3020,500,0.9868,17,3.0638,0.9799,0.0073,10157,3.5233,2.2039,1.2673,0.4265,3.4492,2.3605,4.3505,0.7520,1.0031,3.3922,17.8955,0.2386,4.7471,0.2254,1.9174,0.9481,0.5595,2.9397,0.1369,1.0742,1.2055,1.5657,15.4886,1.0872,0.8505,3.1233,0.5063,2.3642,19.2223,0.9409,0.2345,6.4540,0.0285,1.0000,0.0040,0.3523,0.0000,0.0000,1.981E-8,5.0000,0.0286,0.1350,0.0063,0.0000,1.639E-15,10.0000,0.0810,0.0736,0.0189,0.1176,1.198E-15,3.6715,0.0187,0.1696,0.0000,0.0000,7.977E-14,24.6892,0.3184,0.0261,0.0943,0.1765,4.277E-20,16.0693,0.1648,0.0440,0.0440,0.1176,5.624E-19,12.8722,0.1134,0.0567,0.0189,0.1176,2.46E-17,7.4368,0.0513,0.0969,0.0126,0.1176,6.987E-14,6.9159,0.0461,0.1032,0.0063,0.0000,1.703E-17,3.6715,0.0187,0.1696,0.0000,0.0000,7.977E-14,11.7677,0.1020,0.0625,0.0189,0.1176,1.05E-16
Isoperla_species,159,2.8568,3.3145,500,0.9865,17,2.5217,0.9630,0.0149,10158,2.6228,1.4814,4.6914,0.6736,3.3162,2.6195,4.1031,0.5337,1.2340,3.2542,21.0262,0.2245,4.5969,0.0654,1.2628,1.0579,0.2529,2.3922,0.6055,0.6244,1.0262,1.4811,10.1353,1.3832,0.5493,2.5281,1.3851,1.4589,22.6065,0.7853,0.0222,6.4220,0.0274,1.0000,0.0033,0.3842,0.0000,0.0000,8.67E-8,5.0000,0.0256,0.1342,0.0126,0.1176,8.553E-12,10.0000,0.0774,0.0709,0.0189,0.1176,6.787E-16,4.7047,0.0235,0.1413,0.0000,0.1176,1.823E-11,19.6592,0.2205,0.0329,0.0881,0.1765,1.069E-18,15.5140,0.1536,0.0440,0.0440,0.1176,5.616E-19,11.4821,0.0976,0.0615,0.0189,0.1176,8.28E-17,5.8176,0.0329,0.1176,0.0126,0.1176,1.232E-12,15.7170,0.1576,0.0433,0.0440,0.1176,4.438E-19,4.7047,0.0235,0.1413,0.0000,0.1176,1.823E-11,11.6773,0.0992,0.0605,0.0252,0.1176,6.513E-17
