Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Itame_pustularia,28,4.0598,5.1192,500,0.9908,4,5.4652,0.9987,0.0004,10028,3.5215,6.2430,2.9955,0.1664,10.3499,25.6480,2.6129,11.8556,0.0625,5.5247,0.0000,4.1124,9.7984,0.1360,2.4138,7.0686,0.0957,0.0988,0.5174,0.0000,0.0685,3.6802,0.2375,0.0000,0.0000,1.6163,0.8465,0.0000,0.2325,0.0948,0.0027,5.1845,0.0075,1.0000,0.0011,0.3774,0.0000,0.0000,2.03E-2,5.0000,0.0065,0.1273,0.0357,0.0000,2.63E-4,10.0000,0.0208,0.0502,0.0357,0.0000,6.33E-6,2.6664,0.0030,0.2207,0.0000,0.0000,2.372E-3,36.0168,0.5926,0.0028,0.0714,0.0000,6.078E-11,12.1488,0.0304,0.0357,0.0357,0.0000,1.624E-6,34.4324,0.5659,0.0030,0.0357,0.0000,8.01E-11,41.3272,0.7643,0.0024,0.1429,0.0000,3.281E-11,41.3272,0.7643,0.0024,0.1429,0.0000,3.281E-11,2.6664,0.0030,0.2207,0.0000,0.0000,2.372E-3,16.7219,0.0655,0.0178,0.0357,0.0000,9.927E-8
Itame_pustularia,28,4.1696,5.2031,500,0.9937,4,2.9246,0.9800,0.0111,10028,12.3977,2.7297,2.7209,1.6596,4.3939,32.2238,2.7136,9.9002,0.0398,0.5551,0.0000,3.4510,13.0330,0.0006,0.0000,6.4755,0.4577,0.0004,0.4109,0.0000,0.0021,3.9174,0.0662,0.0000,0.0000,1.3292,0.6057,0.0000,0.5017,0.4099,0.0042,5.0728,0.0066,1.0000,0.0010,0.3829,0.0000,0.0000,2.15E-2,5.0000,0.0058,0.1245,0.0357,0.0000,2.399E-4,10.0000,0.0190,0.0464,0.0357,0.2500,3.849E-4,4.5072,0.0049,0.1391,0.0000,0.0000,3.745E-4,33.9672,0.5817,0.0027,0.0714,0.5000,4.334E-5,11.4747,0.0243,0.0357,0.0357,0.2500,1.771E-4,33.0961,0.5359,0.0027,0.0357,0.5000,4.334E-5,8.9109,0.0150,0.0565,0.0357,0.0000,1.022E-5,8.9109,0.0150,0.0565,0.0357,0.0000,1.022E-5,4.5072,0.0049,0.1391,0.0000,0.0000,3.745E-4,16.2063,0.0579,0.0159,0.0357,0.5000,1.477E-3
Itame_pustularia,29,4.0684,5.1117,500,0.9910,3,5.5848,0.9990,0.0005,10029,4.8877,4.5699,2.0900,0.0842,10.8593,24.0246,2.3451,9.6437,0.1706,4.9460,0.0000,2.9216,12.4365,0.2960,2.9089,7.6363,0.1178,0.0522,0.5164,0.0000,0.0667,3.0941,0.7224,0.0000,0.0628,1.7866,0.6134,0.0000,0.2019,2.9243,0.0212,5.1780,0.0074,1.0000,0.0011,0.3785,0.0000,0.0000,5.423E-2,5.0000,0.0064,0.1264,0.0345,0.0000,2.021E-3,10.0000,0.0212,0.0494,0.0345,0.0000,1.202E-4,2.6634,0.0030,0.2205,0.0000,0.0000,1.072E-2,34.0330,0.5647,0.0029,0.0690,0.0000,2.418E-8,12.2342,0.0315,0.0345,0.0345,0.0000,4.106E-5,33.3015,0.5530,0.0031,0.0345,0.0000,2.953E-8,42.1077,0.7720,0.0023,0.1724,0.0000,1.206E-8,42.1077,0.7720,0.0023,0.1724,0.0000,1.206E-8,2.6634,0.0030,0.2205,0.0000,0.0000,1.072E-2,16.5283,0.0609,0.0176,0.0345,0.0000,5.497E-6
Itame_pustularia,29,4.1923,5.1286,500,0.9884,3,2.5048,0.9000,0.0796,10029,9.4492,1.3944,3.1938,1.6686,9.7624,26.8392,2.4321,10.7876,0.0880,4.2730,0.0000,4.6382,10.9382,0.1310,0.0000,6.8583,0.1978,0.2847,0.1554,0.0000,0.0002,1.9910,0.0949,0.0000,0.0135,1.0385,0.6018,0.0000,0.3879,2.7803,0.0000,5.0366,0.0063,1.0000,0.0009,0.3835,0.0000,0.0000,5.64E-2,5.0000,0.0054,0.1201,0.0345,0.3333,3.978E-2,10.0000,0.0184,0.0429,0.0345,0.3333,5.357E-3,1.6674,0.0015,0.2962,0.0000,0.0000,2.6E-2,38.4451,0.6771,0.0023,0.0690,0.3333,1.575E-5,11.1786,0.0237,0.0345,0.0345,0.3333,3.489E-3,30.5721,0.5013,0.0030,0.0345,0.3333,2.679E-5,1.6781,0.0015,0.2951,0.0345,0.3333,2.099E-1,1.6778,0.0015,0.2951,0.0345,0.0000,2.571E-2,1.6674,0.0015,0.2962,0.0000,0.0000,2.6E-2,15.6242,0.0525,0.0153,0.0345,0.3333,6.911E-4
Itame_pustularia,29,4.1330,5.1369,500,0.9897,3,3.2195,0.9288,0.0578,10029,7.5714,1.4705,2.2772,0.9957,11.8412,23.8693,2.7785,13.6718,0.1189,5.0713,0.0000,2.3802,11.5205,0.3360,0.0000,8.4522,0.0333,0.1018,0.3647,0.0000,0.0000,2.0605,0.3911,0.0000,0.0228,1.4187,0.3182,0.0000,0.2709,2.6608,0.0024,5.0949,0.0068,1.0000,0.0011,0.3384,0.0000,0.0000,3.876E-2,5.0000,0.0068,0.1068,0.0345,0.3333,3.178E-2,10.0000,0.0230,0.0410,0.0345,0.3333,4.901E-3,1.6769,0.0018,0.2598,0.0000,0.0000,1.754E-2,33.4678,0.5741,0.0028,0.0690,0.3333,2.334E-5,11.0418,0.0282,0.0345,0.0345,0.3333,3.489E-3,32.0256,0.4882,0.0030,0.0345,0.3333,2.679E-5,2.3036,0.0026,0.2128,0.0345,0.3333,1.166E-1,2.3033,0.0026,0.2128,0.0345,0.0000,9.634E-3,1.6769,0.0018,0.2598,0.0000,0.0000,1.754E-2,15.9541,0.0664,0.0163,0.0345,0.3333,7.839E-4
Itame_pustularia,29,4.1950,5.2075,500,0.9935,3,0.7281,0.7122,0.2323,10029,8.5123,3.5042,2.4303,2.0590,9.6990,19.6217,2.7065,12.5889,0.0174,6.6253,0.0000,1.0711,15.8495,0.0498,0.0019,6.9970,0.1408,0.0971,0.3065,0.0000,0.0085,0.6619,0.1505,0.0000,0.1268,1.0532,0.7076,0.0173,2.3556,2.6361,0.0042,5.0311,0.0063,1.0000,0.0010,0.3596,0.0000,0.3333,2.949E-1,5.0000,0.0058,0.1142,0.0345,0.3333,3.613E-2,10.0000,0.0201,0.0418,0.0345,0.3333,5.091E-3,3.8748,0.0041,0.1493,0.0000,0.3333,6.019E-2,33.6641,0.6851,0.0026,0.0690,0.6667,7.757E-3,11.0811,0.0245,0.0345,0.0345,0.3333,3.489E-3,29.7485,0.5037,0.0030,0.0345,0.6667,8.947E-3,1.1800,0.0011,0.3333,0.0000,0.3333,2.593E-1,25.4372,0.2776,0.0041,0.0345,0.3333,5E-5,3.8748,0.0041,0.1493,0.0000,0.3333,6.019E-2,15.8570,0.0578,0.0153,0.0345,0.3333,6.911E-4
Itame_pustularia,29,4.0871,5.1271,500,0.9907,3,5.2233,0.9983,0.0006,10029,10.8278,4.1322,0.3368,0.0000,12.4393,24.6037,2.7765,13.5601,0.2164,4.9324,0.0000,1.6203,11.0020,0.0930,0.0000,5.5162,0.0783,0.0896,1.5559,0.0000,0.0212,1.8491,0.0783,0.0000,0.0000,1.1063,0.6330,0.0000,0.1595,2.3720,0.0000,5.1524,0.0072,1.0000,0.0011,0.3771,0.0000,0.0000,5.363E-2,5.0000,0.0062,0.1263,0.0345,0.0000,2.016E-3,10.0000,0.0206,0.0489,0.0345,0.0000,1.166E-4,2.4976,0.0027,0.2303,0.0000,0.0000,1.222E-2,34.4186,0.5742,0.0029,0.0690,0.0000,2.418E-8,12.1705,0.0306,0.0345,0.0345,0.0000,4.106E-5,32.8870,0.5443,0.0031,0.0345,0.0000,2.953E-8,37.3288,0.6589,0.0026,0.1034,0.0000,1.742E-8,37.3288,0.6589,0.0026,0.1034,0.0000,1.742E-8,2.4976,0.0027,0.2303,0.0000,0.0000,1.222E-2,16.5712,0.0623,0.0172,0.0345,0.0000,5.044E-6
Itame_pustularia,29,4.4741,5.4277,500,0.9985,3,-0.9346,0.6820,0.2579,10029,3.2799,7.8398,1.1262,0.0602,9.1088,28.6389,1.7335,8.3273,0.0131,4.8301,0.0000,2.9870,12.0766,0.0000,2.1284,8.2905,0.1279,0.0000,0.0641,0.0000,0.0018,0.9739,0.4618,0.8184,0.0000,1.0676,1.6454,0.0668,1.0701,3.1565,0.1053,4.7578,0.0049,1.0000,0.0010,0.1954,0.0000,0.3333,9.965E-2,5.0000,0.0094,0.0523,0.0000,0.3333,7.934E-3,10.0000,0.0354,0.0196,0.0000,0.3333,1.142E-3,26.4078,0.4426,0.0032,0.0000,0.3333,3.048E-5,31.4094,0.6742,0.0026,0.0690,0.3333,2.013E-5,26.4078,0.4426,0.0032,0.0000,0.3333,3.048E-5,26.4078,0.4426,0.0032,0.0000,0.3333,3.048E-5,0.3082,0.0003,0.3333,0.0000,0.3333,2.593E-1,33.2622,0.6834,0.0025,0.1034,0.3333,1.861E-5,3.1484,0.0046,0.0852,0.0000,0.3333,2.052E-2,13.4935,0.0628,0.0116,0.0000,0.3333,3.983E-4
Itame_pustularia,29,4.0569,5.1294,500,0.9909,3,5.7304,0.9997,0.0001,10029,5.0960,5.0964,0.4668,2.0772,12.2197,20.5290,2.3801,12.2668,0.0438,5.2917,0.0000,1.0814,14.9216,0.0204,3.4383,8.0404,0.1296,0.0600,0.9668,0.0000,0.0186,1.9272,0.6436,0.0000,0.0000,1.4141,0.9503,0.0000,0.3420,0.5783,0.0000,5.1778,0.0074,1.0000,0.0011,0.3711,0.0000,0.0000,5.112E-2,5.0000,0.0065,0.1236,0.0345,0.0000,1.89E-3,10.0000,0.0217,0.0487,0.0345,0.0000,1.152E-4,2.5457,0.0029,0.2231,0.0000,0.0000,1.11E-2,34.9428,0.5786,0.0028,0.0690,0.0000,2.176E-8,12.1352,0.0319,0.0345,0.0345,0.0000,4.106E-5,33.3947,0.5593,0.0031,0.0345,0.0000,2.953E-8,84.6397,0.8449,0.0006,0.7931,0.0000,2.141E-10,84.6397,0.8449,0.0006,0.7931,0.0000,2.141E-10,2.5457,0.0029,0.2231,0.0000,0.0000,1.11E-2,16.4753,0.0630,0.0176,0.0345,0.0000,5.497E-6
Itame_pustularia,29,4.1041,5.1167,500,0.9910,3,5.1010,0.9979,0.0004,10029,7.7448,2.1274,0.4977,1.4957,9.8333,28.6384,1.8420,14.1024,0.3966,4.6442,0.0000,1.6384,11.9983,0.2037,0.0000,6.3339,0.0800,0.0497,0.5324,0.0000,0.3469,3.1736,0.0970,0.0000,0.0000,1.0122,0.8130,0.0000,0.2642,2.1342,0.0000,5.1355,0.0071,1.0000,0.0011,0.3641,0.0000,0.0000,4.829E-2,5.0000,0.0065,0.1203,0.0345,0.0000,1.739E-3,10.0000,0.0209,0.0470,0.0345,0.0000,1.036E-4,2.4885,0.0028,0.2215,0.0000,0.0000,1.086E-2,34.3879,0.5643,0.0028,0.0690,0.0000,2.176E-8,11.9067,0.0298,0.0345,0.0345,0.0000,4.106E-5,33.6259,0.5477,0.0030,0.0345,0.0000,2.677E-8,37.2323,0.6462,0.0025,0.1034,0.0000,1.549E-8,37.2323,0.6462,0.0025,0.1034,0.0000,1.549E-8,2.4885,0.0028,0.2215,0.0000,0.0000,1.086E-2,16.4789,0.0642,0.0169,0.0345,0.0000,4.785E-6
