Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Lambdina_fervidaria,51,3.0241,3.9712,500,0.9902,5,4.2828,0.9970,0.0009,10051,5.5360,4.6059,1.5046,2.5017,6.9089,26.6117,3.0379,0.4212,0.0580,3.2080,0.0271,4.0490,6.9760,0.9404,23.4456,1.8095,0.0558,0.0000,0.6917,0.0897,0.4671,0.2395,1.1648,0.4352,0.0000,4.3615,0.1260,0.3393,0.0854,0.3026,0.0000,6.2398,0.0236,1.0000,0.0035,0.4715,0.0000,0.0000,2.33E-2,5.0000,0.0161,0.2180,0.0000,0.0000,4.922E-4,10.0000,0.0385,0.1194,0.0196,0.0000,2.426E-5,8.8475,0.0329,0.1353,0.0000,0.0000,4.536E-5,28.6310,0.2134,0.0227,0.0784,0.0000,6.007E-9,18.6792,0.0998,0.0528,0.0588,0.0000,4.116E-7,18.6576,0.0997,0.0528,0.0392,0.0000,4.116E-7,48.6930,0.6232,0.0054,0.1765,0.0000,4.476E-12,48.6930,0.6232,0.0054,0.1765,0.0000,4.476E-12,6.0050,0.0200,0.1899,0.0000,0.0000,2.472E-4,19.0977,0.1031,0.0509,0.0588,0.0000,3.43E-7
Lambdina_fervidaria,50,3.1289,4.0694,500,0.9918,6,2.3181,0.8494,0.1329,10050,6.9615,3.2280,2.8175,1.0051,5.9486,27.6275,2.2426,1.0427,0.0050,3.7618,0.4070,2.8339,7.8527,0.9173,22.7607,1.2573,0.0750,0.0636,1.1160,0.0417,0.2844,0.2321,1.8933,0.5183,0.7344,2.8169,0.7264,0.4364,0.2966,0.0956,0.0000,6.1357,0.0210,1.0000,0.0031,0.4692,0.0000,0.1667,8.306E-2,5.0000,0.0143,0.2096,0.0000,0.1667,2.001E-3,10.0000,0.0357,0.1102,0.0200,0.1667,8.875E-5,9.8588,0.0350,0.1120,0.0000,0.1667,9.604E-5,32.7114,0.2874,0.0136,0.1000,0.1667,2.792E-9,18.8035,0.1014,0.0452,0.0400,0.1667,1.086E-6,28.6593,0.2164,0.0191,0.0600,0.1667,1.503E-8,6.6121,0.0200,0.1667,0.0000,0.1667,6.644E-4,32.7114,0.2874,0.0136,0.1000,0.1667,2.792E-9,6.0695,0.0180,0.1795,0.0000,0.1667,9.509E-4,18.6349,0.0984,0.0460,0.0400,0.1667,1.185E-6
Lambdina_fervidaria,50,3.1675,4.1346,500,0.9914,6,1.4403,0.8520,0.1108,10050,8.8265,3.6660,3.1401,0.1901,4.4555,29.4047,1.4256,0.9068,0.1044,4.7368,0.0299,2.2052,9.4373,0.8732,19.8423,1.6072,0.0294,0.0081,0.5062,0.1717,0.4478,0.1770,0.4804,0.5042,0.0000,3.4694,0.3713,0.2660,2.4984,0.2185,0.0000,6.0933,0.0202,1.0000,0.0031,0.4391,0.0000,0.1667,6.211E-2,5.0000,0.0153,0.1984,0.0000,0.1667,1.54E-3,10.0000,0.0365,0.1070,0.0200,0.1667,7.653E-5,7.8740,0.0263,0.1364,0.0000,0.1667,2.512E-4,34.4244,0.3175,0.0111,0.0800,0.5000,2.699E-5,15.7517,0.0733,0.0600,0.0600,0.5000,3.764E-3,24.5698,0.1505,0.0273,0.0600,0.5000,3.81E-4,6.2706,0.0197,0.1667,0.0000,0.1667,6.644E-4,15.2670,0.0694,0.0627,0.0600,0.1667,5.505E-6,5.6458,0.0173,0.1813,0.0000,0.1667,9.975E-4,19.2211,0.1025,0.0440,0.0600,0.5000,1.539E-3
Lambdina_fervidaria,51,3.2055,4.1414,500,0.9916,5,0.7525,0.8248,0.1420,10051,3.1760,4.2470,3.0305,2.4415,5.0263,28.2732,3.6849,0.6229,0.0926,4.6901,0.0000,2.6510,7.0653,0.9199,24.7294,1.8560,0.0000,0.0000,0.7428,0.0175,0.1748,0.3066,1.2285,0.4140,0.0000,3.4469,0.8416,0.1735,0.1375,0.0097,0.0000,6.0796,0.0196,1.0000,0.0028,0.4594,0.0000,0.2000,1.408E-1,5.0000,0.0139,0.2015,0.0000,0.2000,6.91E-3,10.0000,0.0352,0.1054,0.0196,0.2000,5.643E-4,6.1151,0.0180,0.1713,0.0000,0.2000,3.717E-3,31.8188,0.2767,0.0127,0.0784,0.6000,1.581E-3,19.5255,0.1061,0.0392,0.0392,0.2000,1.144E-5,23.3647,0.1459,0.0274,0.0392,0.4000,1.965E-4,5.0518,0.0141,0.2000,0.0000,0.2000,6.717E-3,20.5248,0.1143,0.0356,0.0392,0.2000,7.818E-6,5.8830,0.0171,0.1771,0.0000,0.2000,4.221E-3,18.4705,0.0924,0.0434,0.0392,0.2000,1.709E-5
Lambdina_fervidaria,50,3.0663,4.0096,500,0.9909,6,3.0153,0.9560,0.0367,10050,8.1838,4.8551,1.1066,0.9784,5.2025,31.1194,3.3818,0.4159,0.9890,3.6969,0.0000,3.5630,6.3729,0.8703,21.5100,1.2935,0.1166,0.0000,0.5741,0.1553,0.4969,0.2192,0.6864,0.1746,0.0000,3.4012,0.1294,0.1358,0.1345,0.2367,0.0000,6.2002,0.0227,1.0000,0.0033,0.4626,0.0000,0.0000,9.799E-3,5.0000,0.0157,0.2113,0.0000,0.1667,2.084E-3,10.0000,0.0389,0.1160,0.0200,0.1667,1.139E-4,9.9880,0.0388,0.1161,0.0000,0.1667,1.144E-4,32.4825,0.2745,0.0157,0.0800,0.1667,5.687E-9,18.6154,0.0973,0.0523,0.0600,0.1667,2.254E-6,27.0241,0.1813,0.0250,0.0600,0.1667,5.709E-8,6.7852,0.0234,0.1667,0.0000,0.1667,6.644E-4,47.2588,0.5721,0.0055,0.2200,0.1667,2.932E-11,5.9025,0.0192,0.1865,0.0000,0.1667,1.142E-3,19.3883,0.1043,0.0490,0.0600,0.1667,1.618E-6
Lambdina_fervidaria,50,3.0706,4.0178,500,0.9902,6,2.6956,0.9479,0.0408,10050,6.4558,4.2952,1.6296,1.8031,5.2445,30.3665,3.6700,0.8249,0.0170,0.8653,0.2266,3.2191,6.5892,1.0021,25.8218,1.2330,0.0411,0.0000,1.2991,0.2584,0.1889,0.1628,0.1550,0.1124,0.0000,3.5848,0.3466,0.2139,0.0572,0.2553,0.0608,6.1829,0.0221,1.0000,0.0032,0.4801,0.0000,0.0000,1.225E-2,5.0000,0.0144,0.2211,0.0000,0.1667,2.586E-3,10.0000,0.0360,0.1183,0.0200,0.1667,1.254E-4,9.0720,0.0311,0.1311,0.0000,0.1667,2.073E-4,32.7385,0.2723,0.0146,0.1000,0.3333,6.706E-7,16.7740,0.0822,0.0600,0.0600,0.1667,4.432E-6,30.6891,0.2347,0.0175,0.0600,0.1667,9.739E-9,7.0697,0.0224,0.1667,0.0000,0.1667,6.644E-4,30.8668,0.2373,0.0173,0.1000,0.1667,9.199E-9,6.2149,0.0189,0.1862,0.0000,0.1667,1.134E-3,19.2486,0.1006,0.0482,0.0600,0.1667,1.492E-6
Lambdina_fervidaria,50,2.9963,3.9835,500,0.9909,6,4.5574,0.9971,0.0014,10050,7.1572,1.5310,2.5003,2.3123,7.3960,26.2772,2.5854,0.3704,0.1935,2.3213,0.0522,3.0653,8.0107,1.0365,24.7468,1.8936,0.1264,0.0000,0.3853,0.1897,0.3671,0.1767,0.0398,0.3133,0.0000,5.9292,0.1956,0.4759,0.1016,0.2498,0.0000,6.2759,0.0245,1.0000,0.0036,0.4867,0.0000,0.0000,1.329E-2,5.0000,0.0160,0.2284,0.0000,0.0000,1.418E-4,10.0000,0.0389,0.1257,0.0200,0.0000,3.939E-6,8.7867,0.0323,0.1431,0.0000,0.0000,8.581E-6,29.3913,0.2208,0.0225,0.0800,0.0000,1.293E-10,22.4992,0.1343,0.0400,0.0400,0.0000,4.096E-9,24.1952,0.1548,0.0347,0.0400,0.0000,1.754E-9,40.3286,0.4370,0.0094,0.1200,0.0000,6.695E-13,40.3286,0.4370,0.0094,0.1200,0.0000,6.695E-13,6.1666,0.0207,0.1952,0.0000,0.0000,5.536E-5,19.2717,0.1022,0.0528,0.0400,0.0000,2.176E-8
Lambdina_fervidaria,50,3.1120,4.0946,500,0.9927,6,2.8678,0.8947,0.0922,10050,5.7345,6.7659,1.6098,0.1472,7.1440,26.0989,3.0129,0.3550,0.1395,4.6012,0.4209,2.9093,8.2589,0.9745,22.3764,1.3927,0.1311,0.0000,0.7877,0.2347,0.0889,0.1932,1.6186,0.4113,0.0000,2.8155,0.8626,0.4211,0.3314,0.1622,0.0000,6.1842,0.0222,1.0000,0.0033,0.4671,0.0000,0.1667,8.146E-2,5.0000,0.0154,0.2110,0.0000,0.1667,2.07E-3,10.0000,0.0373,0.1131,0.0000,0.1667,1.007E-4,11.5543,0.0461,0.0957,0.0000,0.1667,4.437E-5,33.8923,0.3173,0.0133,0.1000,0.1667,2.5E-9,20.9155,0.1189,0.0400,0.0400,0.1667,5.939E-7,31.4369,0.2633,0.0161,0.0600,0.1667,6.442E-9,6.7284,0.0220,0.1667,0.0000,0.1667,6.644E-4,33.8923,0.3173,0.0133,0.1000,0.1667,2.5E-9,5.9498,0.0189,0.1848,0.0000,0.1667,1.093E-3,18.8282,0.1010,0.0483,0.0400,0.1667,1.507E-6
Lambdina_fervidaria,51,3.2469,4.3139,500,0.9954,5,0.4066,0.7772,0.0860,10051,6.0267,2.5268,0.4463,0.9099,4.3622,26.7052,3.6298,0.5287,0.0225,4.3757,0.2510,4.8358,8.3195,0.7853,24.2872,2.2241,0.0000,0.0000,2.9059,0.1488,0.2780,0.1384,1.2604,0.3980,0.0000,2.8177,0.0767,1.1027,0.3037,0.2938,0.0391,6.0161,0.0184,1.0000,0.0027,0.4296,0.0000,0.2000,1.118E-1,5.0000,0.0144,0.1844,0.0000,0.6000,2.31E-1,10.0000,0.0351,0.0954,0.0000,0.6000,7.488E-2,13.0381,0.0536,0.0682,0.0000,0.6000,4.043E-2,41.9625,0.5505,0.0058,0.0784,0.6000,3.292E-4,25.5391,0.1819,0.0196,0.0196,0.6000,3.693E-3,25.7030,0.1835,0.0193,0.0196,0.6000,3.584E-3,2.1778,0.0057,0.3084,0.0000,0.2000,3.408E-2,0.6502,0.0019,0.4926,0.0000,0.0000,2.9E-2,5.5114,0.0160,0.1709,0.0000,0.6000,2.045E-1,18.1316,0.0911,0.0407,0.0196,0.6000,1.525E-2
Lambdina_fervidaria,51,3.0148,4.0005,500,0.9909,5,5.4661,0.9996,0.0002,10051,6.0501,3.2833,3.3798,0.5333,6.5402,24.4280,2.7097,1.0775,0.1664,4.8287,0.0466,4.0330,7.4068,1.0751,22.3165,1.7369,0.0369,0.0000,1.1693,0.2212,0.2534,0.2916,0.0974,0.7096,0.0000,5.8862,0.1784,0.8752,0.3668,0.2571,0.0451,6.2466,0.0237,1.0000,0.0035,0.4504,0.0000,0.0000,1.854E-2,5.0000,0.0171,0.2054,0.0000,0.0000,3.652E-4,10.0000,0.0416,0.1124,0.0000,0.0000,1.796E-5,10.0109,0.0416,0.1123,0.0000,0.0000,1.788E-5,28.2062,0.2166,0.0228,0.0784,0.0000,6.139E-9,18.8518,0.1090,0.0492,0.0588,0.0000,2.897E-7,18.8518,0.1090,0.0492,0.0392,0.0000,2.897E-7,80.3853,0.8940,0.0012,0.7647,0.0000,2.426E-15,80.3853,0.8940,0.0012,0.7647,0.0000,2.426E-15,5.7511,0.0201,0.1851,0.0000,0.0000,2.17E-4,18.3626,0.1054,0.0513,0.0392,0.0000,3.566E-7
