Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Lambdina_pellucidaria,71,3.4016,4.2040,500,0.9933,7,2.8237,0.9672,0.0170,10071,6.6637,4.1065,4.3336,0.2076,5.4573,15.6963,4.9234,1.3639,0.0546,3.9667,0.0000,3.1780,20.7325,1.0167,14.1987,0.9797,0.2843,0.0000,1.0595,0.0000,1.3599,5.6969,0.6503,0.0824,0.4799,2.1786,1.0943,0.2076,0.0000,0.0271,0.0000,5.8925,0.0159,1.0000,0.0024,0.3607,0.0000,0.0000,7.95E-4,5.0000,0.0149,0.1309,0.0000,0.0000,6.575E-7,10.0000,0.0433,0.0618,0.0282,0.2857,1.698E-5,6.3672,0.0211,0.1037,0.0000,0.0000,1.286E-7,34.2573,0.5374,0.0077,0.0986,0.4286,1.236E-7,16.8533,0.1120,0.0282,0.0282,0.2857,3.571E-7,23.2134,0.2144,0.0155,0.0282,0.2857,1.825E-8,6.3672,0.0211,0.1037,0.0000,0.0000,1.286E-7,6.3672,0.0211,0.1037,0.0000,0.0000,1.286E-7,4.7520,0.0142,0.1369,0.0000,0.0000,9.025E-7,14.5151,0.0855,0.0359,0.0282,0.2857,1.186E-6
Lambdina_pellucidaria,71,3.3740,4.2524,500,0.9958,7,3.9585,0.9923,0.0037,10071,4.2403,8.3095,3.1537,1.4459,5.3550,16.7966,4.0363,3.0246,0.1229,1.7821,0.0000,3.9735,17.1729,1.0242,13.4351,1.1562,0.2545,0.0000,1.8170,0.0000,1.1778,6.1795,0.4891,0.2405,0.5395,2.9824,0.8886,0.3069,0.0952,0.0000,0.0000,5.9015,0.0161,1.0000,0.0025,0.3489,0.0000,0.0000,6.297E-4,5.0000,0.0158,0.1301,0.0000,0.0000,6.301E-7,10.0000,0.0440,0.0626,0.0000,0.0000,3.749E-9,27.0412,0.2961,0.0120,0.0000,0.1429,2.084E-11,33.5879,0.4787,0.0080,0.0986,0.1429,1.882E-12,27.1587,0.3005,0.0119,0.0141,0.1429,1.983E-11,27.0412,0.2961,0.0120,0.0000,0.1429,2.084E-11,16.1773,0.1015,0.0312,0.0000,0.0000,2.864E-11,16.1773,0.1015,0.0312,0.0000,0.0000,2.864E-11,4.6574,0.0143,0.1383,0.0000,0.0000,9.686E-7,14.7619,0.0841,0.0362,0.0000,0.0000,8.214E-11
Lambdina_pellucidaria,70,3.3436,4.2166,500,0.9958,8,4.2758,0.9959,0.0010,10070,7.2863,3.4942,0.8417,1.9338,3.6861,19.1331,3.4494,2.7113,0.0922,3.2744,0.0000,5.4465,16.1652,0.9911,15.1855,0.9618,0.2767,0.0000,2.5770,0.0000,1.5058,5.6325,0.9581,0.2589,0.6326,2.8775,0.5176,0.0743,0.0362,0.0000,0.0000,5.9500,0.0169,1.0000,0.0026,0.3714,0.0000,0.0000,3.62E-4,5.0000,0.0156,0.1427,0.0000,0.0000,1.72E-7,10.0000,0.0427,0.0697,0.0000,0.0000,5.578E-10,26.5507,0.2609,0.0134,0.0000,0.0000,1.043E-15,34.0480,0.4674,0.0083,0.1000,0.0000,2.344E-17,26.6436,0.2627,0.0134,0.0143,0.0000,1.043E-15,26.5507,0.2609,0.0134,0.0000,0.0000,1.043E-15,37.8291,0.5572,0.0070,0.1286,0.0000,5.452E-18,37.8291,0.5572,0.0070,0.1286,0.0000,5.452E-18,4.8698,0.0150,0.1460,0.0000,0.0000,2.062E-7,15.3662,0.0856,0.0380,0.0000,0.0000,4.379E-12
Lambdina_pellucidaria,70,3.3520,4.2313,500,0.9958,8,4.1688,0.9954,0.0008,10070,5.4526,3.1480,1.6070,2.1115,4.9518,19.5677,3.6507,3.1726,0.1554,1.0728,0.0000,4.5434,17.8688,0.8599,16.4019,1.5037,0.3216,0.0000,2.5465,0.0000,1.0434,4.8187,0.5625,0.2542,0.6391,3.2877,0.2103,0.2106,0.0376,0.0000,0.0000,5.9168,0.0164,1.0000,0.0025,0.3609,0.0000,0.0000,2.876E-4,5.0000,0.0153,0.1382,0.0000,0.0000,1.333E-7,10.0000,0.0430,0.0669,0.0000,0.0000,4.028E-10,25.8492,0.2631,0.0137,0.0000,0.0000,1.244E-15,34.0434,0.4695,0.0081,0.1000,0.0000,1.933E-17,25.8492,0.2631,0.0137,0.0143,0.0000,1.244E-15,25.8492,0.2631,0.0137,0.0000,0.0000,1.244E-15,34.5455,0.4888,0.0079,0.1143,0.0000,1.587E-17,34.5455,0.4888,0.0079,0.1143,0.0000,1.587E-17,4.8097,0.0145,0.1429,0.0000,0.0000,1.739E-7,15.2227,0.0863,0.0368,0.0000,0.0000,3.394E-12
Lambdina_pellucidaria,70,3.4186,4.2464,500,0.9933,8,2.5634,0.9660,0.0155,10070,5.1675,7.0253,0.6100,3.2498,4.8038,18.0611,4.6916,3.8111,0.3638,0.4753,0.0000,3.7911,16.5548,0.8696,14.6216,0.8084,0.1682,0.0000,1.6022,0.0000,1.0578,5.7332,0.1808,0.1550,0.3875,4.5168,0.9492,0.1481,0.1184,0.0779,0.0000,5.8350,0.0149,1.0000,0.0021,0.3810,0.0000,0.0000,4.443E-4,5.0000,0.0130,0.1372,0.0000,0.0000,1.258E-7,10.0000,0.0380,0.0620,0.0286,0.2500,1.421E-6,6.3407,0.0181,0.1081,0.0000,0.0000,1.871E-8,34.6237,0.5398,0.0070,0.1000,0.5000,1.598E-7,16.0243,0.0950,0.0286,0.0286,0.3750,9.968E-7,24.4954,0.2587,0.0125,0.0286,0.3750,1.664E-8,6.3407,0.0181,0.1081,0.0000,0.0000,1.871E-8,6.3407,0.0181,0.1081,0.0000,0.0000,1.871E-8,5.1028,0.0134,0.1347,0.0000,0.0000,1.081E-7,14.5527,0.0758,0.0340,0.0286,0.2500,4.05E-8
Lambdina_pellucidaria,70,3.4394,4.3178,500,0.9960,8,2.2091,0.9064,0.0528,10070,6.2507,4.0020,3.5949,1.2348,4.9269,18.0379,2.2823,3.2108,0.7672,2.4777,0.0477,3.8512,19.3733,0.9432,15.1890,0.7073,0.0617,0.0000,1.4617,0.0000,1.4853,5.6279,0.2435,0.0000,0.2827,2.6806,0.7784,0.2999,0.1751,0.0063,0.0000,5.8471,0.0151,1.0000,0.0022,0.3644,0.0000,0.1250,4.653E-3,5.0000,0.0144,0.1323,0.0000,0.2500,1.179E-4,10.0000,0.0393,0.0620,0.0000,0.2500,1.421E-6,22.5253,0.1908,0.0154,0.0000,0.3750,4.655E-8,34.4437,0.5580,0.0071,0.1000,0.3750,9.586E-10,23.3233,0.2088,0.0143,0.0143,0.3750,3.23E-8,22.5253,0.1908,0.0154,0.0000,0.3750,4.655E-8,2.1014,0.0048,0.2500,0.0000,0.2500,4.231E-3,14.2115,0.0744,0.0365,0.0000,0.2500,6.258E-8,4.8538,0.0136,0.1358,0.0000,0.2500,1.374E-4,14.7718,0.0803,0.0344,0.0000,0.3750,2.458E-6
Lambdina_pellucidaria,70,3.3438,4.2322,500,0.9958,8,4.4059,0.9964,0.0009,10070,6.5805,4.3623,2.2675,2.8223,4.7207,19.4483,4.2883,2.5182,0.0539,1.9124,0.0000,4.1744,17.6803,0.9768,12.5069,1.1823,0.2427,0.0000,2.2819,0.0000,1.4610,5.3284,0.2036,0.2065,0.5315,3.0165,0.6693,0.1758,0.3877,0.0000,0.0000,5.9506,0.0169,1.0000,0.0025,0.3731,0.0000,0.0000,3.754E-4,5.0000,0.0155,0.1439,0.0000,0.0000,1.838E-7,10.0000,0.0419,0.0700,0.0000,0.0000,5.771E-10,27.4630,0.2875,0.0125,0.0000,0.0000,6.008E-16,34.2393,0.4686,0.0082,0.1000,0.0000,2.13E-17,27.4630,0.2875,0.0125,0.0000,0.0000,6.008E-16,27.4630,0.2875,0.0125,0.0000,0.0000,6.008E-16,36.6772,0.5363,0.0073,0.1429,0.0000,8.504E-18,36.6772,0.5363,0.0073,0.1429,0.0000,8.504E-18,4.8681,0.0150,0.1472,0.0000,0.0000,2.201E-7,15.3630,0.0893,0.0380,0.0000,0.0000,4.379E-12
Lambdina_pellucidaria,70,3.3861,4.2743,500,0.9959,8,3.3184,0.9884,0.0048,10070,4.2622,7.3231,2.8485,1.1594,2.7732,21.1049,6.2814,3.8755,0.6618,3.3622,0.1714,5.0225,15.0501,1.0798,11.6971,1.4006,0.2147,0.0000,2.3282,0.0000,1.0039,3.6660,0.2648,0.2103,0.4976,3.3298,0.2551,0.1559,0.0000,0.0000,0.0000,5.9010,0.0160,1.0000,0.0024,0.3708,0.0000,0.0000,3.574E-4,5.0000,0.0147,0.1378,0.0000,0.0000,1.303E-7,10.0000,0.0403,0.0650,0.0000,0.0000,3.204E-10,25.7423,0.2760,0.0129,0.0000,0.1250,4.727E-13,33.2990,0.4897,0.0081,0.1000,0.2500,8.05E-12,25.8476,0.2778,0.0129,0.0143,0.1250,4.727E-13,25.7423,0.2760,0.0129,0.0000,0.1250,4.727E-13,12.6138,0.0613,0.0468,0.0000,0.0000,2.291E-11,12.6138,0.0613,0.0468,0.0000,0.0000,2.291E-11,4.8896,0.0143,0.1406,0.0000,0.0000,1.529E-7,14.8820,0.0836,0.0362,0.0000,0.1250,6.367E-10
Lambdina_pellucidaria,70,3.3449,4.2240,500,0.9958,8,4.1863,0.9946,0.0023,10070,6.4160,3.6487,2.1076,1.6056,5.1939,14.0660,4.2103,2.7769,0.0267,3.6505,0.2570,4.3799,13.7576,0.9620,19.6293,1.6444,0.2862,0.0000,2.9197,0.0000,1.1366,5.5171,0.8605,0.1873,0.4721,3.7896,0.0218,0.1224,0.3542,0.0000,0.0000,5.9437,0.0169,1.0000,0.0027,0.3522,0.0000,0.0000,2.369E-4,5.0000,0.0162,0.1369,0.0000,0.0000,1.237E-7,10.0000,0.0451,0.0677,0.0000,0.0000,4.426E-10,26.0370,0.2655,0.0140,0.0000,0.1250,8.338E-13,34.0409,0.4405,0.0083,0.1000,0.1250,2.232E-14,26.1334,0.2687,0.0140,0.0143,0.1250,8.338E-13,26.0370,0.2655,0.0140,0.0000,0.1250,8.338E-13,21.2479,0.1626,0.0210,0.0000,0.0000,3.716E-14,21.2479,0.1626,0.0210,0.0000,0.0000,3.716E-14,4.6398,0.0149,0.1456,0.0000,0.0000,2.018E-7,15.3282,0.0899,0.0378,0.0000,0.0000,4.199E-12
Lambdina_pellucidaria,70,3.3439,4.2237,500,0.9957,8,4.2770,0.9961,0.0009,10070,5.3674,2.3742,3.1304,0.7222,3.9365,18.5851,4.0427,2.9127,0.7555,3.6652,0.0000,3.8295,17.9916,0.9171,14.9233,1.6636,0.1661,0.0000,4.3234,0.0000,0.9242,4.2978,0.3332,0.1993,0.4038,3.6360,0.1416,0.2043,0.5467,0.0065,0.0000,5.9324,0.0166,1.0000,0.0026,0.3667,0.0000,0.0000,3.272E-4,5.0000,0.0153,0.1405,0.0000,0.0000,1.52E-7,10.0000,0.0412,0.0682,0.0000,0.0000,4.693E-10,26.0529,0.2644,0.0135,0.0000,0.0000,1.107E-15,33.8591,0.4674,0.0082,0.1000,0.0000,2.13E-17,26.0529,0.2644,0.0135,0.0000,0.0000,1.107E-15,26.0529,0.2644,0.0135,0.0000,0.0000,1.107E-15,36.3013,0.5431,0.0073,0.1429,0.0000,8.504E-18,36.3013,0.5431,0.0073,0.1429,0.0000,8.504E-18,4.8534,0.0147,0.1442,0.0000,0.0000,1.869E-7,15.2267,0.0849,0.0374,0.0000,0.0000,3.859E-12
