Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Laportea_canadensis,253,1.2920,1.6789,500,0.9254,29,0.5105,0.7617,0.0507,10252,6.3053,1.7973,1.7778,0.2588,4.3905,23.1049,3.4298,2.8728,0.2563,3.2008,0.1848,2.2430,22.3201,3.1732,0.1655,1.6131,0.2280,0.8938,0.1049,1.3577,2.2593,0.6608,4.6243,0.3269,0.0090,0.3693,0.3196,4.6392,2.4616,4.6385,0.0130,7.9924,0.1410,1.0000,0.0240,0.7543,0.0000,0.0690,1.352E-2,5.0000,0.0685,0.5021,0.0198,0.2069,8.63E-4,10.0000,0.1198,0.3591,0.0277,0.2414,3.662E-6,1.8069,0.0342,0.6761,0.0000,0.1724,4.061E-2,20.6292,0.2263,0.2062,0.0988,0.4138,2.118E-7,27.2687,0.2910,0.1506,0.1502,0.4138,2.715E-11,24.4365,0.2621,0.1720,0.1186,0.4138,1.694E-9,12.5884,0.1466,0.3104,0.0474,0.3103,5.057E-6,18.5764,0.2042,0.2278,0.0870,0.3103,1.506E-9,3.5905,0.0545,0.5647,0.0079,0.1724,2.147E-3,13.9570,0.1597,0.2885,0.0632,0.3103,9.318E-7
Laportea_canadensis,253,1.2095,1.6228,500,0.9219,29,1.3887,0.8937,0.0298,10252,5.6683,2.5347,1.5578,0.0922,4.2772,23.0457,3.6215,3.1314,0.8917,4.0448,0.3135,1.8254,17.0216,3.3737,0.1195,0.9655,0.2687,2.4684,1.0008,1.9704,2.3556,0.6413,3.5482,0.8789,0.0000,0.4730,0.2896,3.7288,5.7821,4.1095,0.0000,8.0624,0.1519,1.0000,0.0273,0.7856,0.0000,0.0000,2.452E-3,5.0000,0.0727,0.5388,0.0158,0.0345,2.018E-6,10.0000,0.1199,0.3911,0.0198,0.0690,1.279E-9,2.6451,0.0485,0.6529,0.0000,0.0345,2.031E-4,20.3509,0.2197,0.2283,0.0988,0.1379,2.146E-16,28.4499,0.3003,0.1556,0.1542,0.1724,8.929E-24,28.4228,0.3002,0.1558,0.1502,0.1724,9.678E-24,26.2450,0.2770,0.1725,0.1502,0.1724,4.868E-21,32.4814,0.3416,0.1291,0.1976,0.1724,1.713E-29,3.3351,0.0556,0.6140,0.0040,0.0345,5.051E-5,14.2759,0.1610,0.3094,0.0435,0.1379,6.032E-11
Laportea_canadensis,254,1.2446,1.6282,500,0.9171,28,1.0537,0.8787,0.0261,10253,6.6149,1.1258,1.3066,2.0379,6.1248,21.4159,3.2928,2.7742,0.5675,2.9343,0.0000,1.9960,15.8859,3.7493,0.2246,1.3101,0.2032,2.0824,0.4746,1.8580,2.7234,0.4981,4.6962,0.5410,0.0859,0.8937,0.3249,5.3449,4.3123,4.6006,0.0000,8.0407,0.1487,1.0000,0.0264,0.7773,0.0000,0.0000,2.312E-3,5.0000,0.0725,0.5302,0.0118,0.0000,3.161E-7,10.0000,0.1203,0.3845,0.0354,0.1071,1.602E-8,2.1675,0.0413,0.6744,0.0000,0.0000,1.183E-4,17.8431,0.1936,0.2530,0.0984,0.1071,3.396E-15,26.0775,0.2769,0.1708,0.1693,0.2500,1.902E-16,25.1526,0.2678,0.1783,0.1535,0.2500,1.353E-15,22.8770,0.2455,0.1984,0.1457,0.2143,3.26E-15,21.5458,0.2307,0.2113,0.1299,0.1071,4.977E-19,4.6997,0.0693,0.5421,0.0079,0.0000,5.77E-7,14.3459,0.1596,0.3027,0.0787,0.1071,5.36E-12
Laportea_canadensis,254,1.2333,1.6198,500,0.9209,28,1.0975,0.8053,0.0538,10253,4.3552,1.2167,2.7647,2.9016,4.6379,23.7177,3.6650,3.8196,0.4430,4.1322,0.1421,1.7138,17.1522,3.0431,1.0015,0.9802,0.3743,0.8731,0.2334,1.8686,1.4880,0.5667,3.2853,0.5365,0.1719,1.8134,0.2420,4.6322,5.4303,2.7904,0.0074,8.0436,0.1487,1.0000,0.0262,0.7631,0.0000,0.0714,1.973E-2,5.0000,0.0740,0.5189,0.0157,0.1786,6.771E-4,10.0000,0.1232,0.3769,0.0315,0.2500,2.307E-5,2.7804,0.0495,0.6222,0.0000,0.1071,1.567E-3,20.3890,0.2246,0.2193,0.0984,0.2857,1.216E-10,26.2241,0.2832,0.1669,0.1654,0.3214,1.912E-13,24.2746,0.2648,0.1827,0.1299,0.3214,5.572E-12,15.0936,0.1691,0.2857,0.0669,0.2857,2.575E-7,41.2260,0.4385,0.0845,0.2717,0.3214,6.193E-30,4.1676,0.0651,0.5526,0.0079,0.1071,1.468E-4,13.9355,0.1586,0.3036,0.0551,0.2857,1.146E-6
Laportea_canadensis,254,1.2461,1.6258,500,0.9204,28,0.9963,0.8642,0.0326,10253,3.9377,0.1275,2.2769,2.2790,5.0750,22.5557,2.6325,4.4076,0.2483,6.1458,0.1028,2.8848,18.7212,2.4710,0.3382,0.8108,0.3192,1.4390,0.1727,2.1512,2.7155,1.0140,3.8381,0.2657,0.0000,0.2619,0.3243,3.8353,3.6302,4.9268,0.0911,8.0222,0.1455,1.0000,0.0261,0.7762,0.0000,0.0357,8.465E-3,5.0000,0.0701,0.5255,0.0118,0.0357,1.662E-6,10.0000,0.1173,0.3776,0.0236,0.0714,9.091E-10,2.8412,0.0477,0.6295,0.0000,0.0357,1.22E-4,19.2014,0.2044,0.2301,0.0984,0.2143,1.418E-12,25.9510,0.2729,0.1660,0.1654,0.2857,3.16E-15,22.5570,0.2393,0.1951,0.1181,0.2500,6.288E-14,19.2014,0.2044,0.2301,0.0984,0.2143,1.418E-12,15.9122,0.1723,0.2723,0.0787,0.1071,8.128E-14,5.3846,0.0739,0.5108,0.0118,0.0357,7.91E-7,14.2658,0.1568,0.2973,0.0709,0.1071,2.69E-12
Laportea_canadensis,254,1.2924,1.6921,500,0.9245,28,0.4759,0.7759,0.0469,10253,4.4951,1.3353,2.6190,0.0505,5.2752,22.2150,3.5388,4.2015,0.0552,4.6426,0.0753,1.5898,18.3910,2.3697,0.1717,0.9431,0.1230,0.9347,0.0626,2.3208,2.4752,0.7231,4.1900,1.4376,0.0000,0.2577,0.3127,4.9812,4.0332,6.1719,0.0074,7.9872,0.1404,1.0000,0.0249,0.7525,0.0039,0.0714,1.542E-2,5.0000,0.0693,0.5082,0.0157,0.1429,1.108E-4,10.0000,0.1179,0.3647,0.0276,0.2857,6.067E-5,0.4548,0.0157,0.8285,0.0000,0.0357,2.834E-2,18.7999,0.2000,0.2270,0.0984,0.4286,6.755E-6,26.2786,0.2785,0.1575,0.1575,0.4286,9.141E-10,23.4538,0.2464,0.1803,0.1181,0.4286,3.67E-8,14.3700,0.1574,0.2857,0.0669,0.2857,2.575E-7,38.9737,0.4127,0.0872,0.2835,0.4643,2.006E-17,7.3753,0.0916,0.4297,0.0157,0.2143,7.085E-5,14.2813,0.1568,0.2870,0.0669,0.2857,2.903E-7
Laportea_canadensis,254,1.2108,1.6078,500,0.9185,28,1.2704,0.8857,0.0312,10254,5.1030,1.2172,2.9015,2.6356,5.5537,23.6283,3.7586,3.4579,0.7144,3.1979,0.2119,1.6150,16.2788,3.5319,0.3110,1.0999,0.0271,0.4531,0.6073,1.7187,1.8645,0.8701,3.4157,1.1391,0.1430,2.3126,0.4662,4.6325,2.7397,4.3936,0.0000,8.0700,0.1533,1.0000,0.0280,0.7857,0.0000,0.0357,1.065E-2,5.0000,0.0742,0.5416,0.0079,0.0357,3.587E-6,10.0000,0.1230,0.3956,0.0315,0.0357,3.761E-10,3.4150,0.0574,0.6123,0.0000,0.0357,6.61E-5,17.3794,0.1905,0.2686,0.0984,0.1071,4.558E-14,27.5165,0.2861,0.1654,0.1654,0.2143,5.024E-19,29.7485,0.3108,0.1490,0.1693,0.2143,1.525E-21,23.0718,0.2441,0.2041,0.1417,0.2143,1.124E-14,32.5232,0.3409,0.1311,0.2047,0.2143,5.091E-25,5.9031,0.0836,0.5087,0.0079,0.0357,7.092E-7,14.4126,0.1621,0.3118,0.0630,0.1071,1.592E-11
Laportea_canadensis,254,1.2732,1.6526,500,0.9213,28,0.7113,0.8233,0.0349,10253,7.3430,2.1985,1.6960,0.3307,3.8111,25.6972,4.0072,2.4040,0.6478,4.7245,0.0721,1.6304,17.4193,3.1099,0.1414,0.8563,0.2019,0.9872,0.1583,2.1790,2.6117,0.3531,4.4767,0.1351,0.0303,0.1552,0.0855,3.7640,7.2032,1.5130,0.0562,8.0059,0.1431,1.0000,0.0251,0.7710,0.0000,0.0000,1.964E-3,5.0000,0.0690,0.5222,0.0276,0.0714,8.35E-6,10.0000,0.1161,0.3754,0.0354,0.1429,7.035E-8,1.7586,0.0349,0.6994,0.0000,0.0000,2.612E-4,19.6866,0.2093,0.2239,0.0984,0.3571,5.262E-8,26.9201,0.2778,0.1575,0.1575,0.3929,3.263E-11,27.7307,0.2854,0.1514,0.1575,0.3929,8.544E-12,16.7853,0.1798,0.2591,0.0827,0.2500,1.535E-9,10.7215,0.1234,0.3599,0.0354,0.1429,2.103E-8,3.2157,0.0512,0.6036,0.0039,0.0000,9.018E-6,14.4948,0.1575,0.2924,0.0512,0.2500,5.096E-8
Laportea_canadensis,254,1.2564,1.6455,500,0.9231,28,0.7809,0.8288,0.0424,10253,6.6746,0.9772,0.3151,0.0520,5.5972,22.0293,3.8339,5.2277,0.5174,6.8267,0.1344,1.9816,17.8757,3.6125,0.3355,0.8640,0.2447,1.2076,0.3113,1.9333,1.7925,0.6607,4.1726,0.1998,0.0221,0.3089,0.2349,4.1509,5.3767,2.4716,0.0578,8.0192,0.1451,1.0000,0.0253,0.7645,0.0000,0.0357,6.354E-3,5.0000,0.0715,0.5160,0.0157,0.0714,6.269E-6,10.0000,0.1200,0.3735,0.0276,0.1071,6.662E-9,2.3114,0.0420,0.6509,0.0000,0.0357,2.521E-4,20.1129,0.2159,0.2189,0.0984,0.3214,2.012E-9,26.2200,0.2808,0.1640,0.1654,0.3571,3.832E-12,24.4834,0.2640,0.1777,0.1299,0.3571,6.017E-11,15.4959,0.1713,0.2762,0.0591,0.2857,1.083E-7,13.2824,0.1487,0.3106,0.0394,0.1429,2.064E-10,4.7553,0.0688,0.5257,0.0118,0.0714,9.807E-6,14.1634,0.1574,0.2963,0.0551,0.2143,7.081E-9
Laportea_canadensis,254,1.2724,1.6585,500,0.9206,28,0.6274,0.8006,0.0419,10253,5.3071,1.1255,1.4643,0.5805,5.3020,22.4429,3.3453,4.4987,0.4104,5.2078,0.1176,2.0216,21.4124,2.5124,0.0723,0.5981,0.0485,0.3789,0.7713,2.6190,1.7707,0.9823,2.6641,1.0264,0.0562,0.9172,0.3105,2.9737,3.5345,5.4127,0.1150,8.0025,0.1427,1.0000,0.0254,0.7585,0.0039,0.0357,5.477E-3,5.0000,0.0708,0.5127,0.0118,0.0714,5.355E-6,10.0000,0.1189,0.3704,0.0433,0.1786,3.871E-7,0.6242,0.0192,0.8069,0.0000,0.0357,1.743E-2,18.5272,0.1990,0.2349,0.0984,0.3214,1.524E-8,25.7425,0.2699,0.1653,0.1654,0.3929,1.549E-10,22.4715,0.2377,0.1935,0.1260,0.3929,1.508E-8,14.7110,0.1619,0.2857,0.0748,0.2857,2.575E-7,17.2360,0.1854,0.2506,0.0827,0.2857,7.456E-9,4.4242,0.0650,0.5358,0.0079,0.0714,1.543E-5,14.3340,0.1587,0.2914,0.0748,0.2857,4.24E-7
