Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Lasioglossum_bruneri,44,4.8311,5.3029,500,0.9978,5,5.1654,0.9971,0.0007,10044,7.2606,4.8655,5.7910,2.3666,5.7658,11.7532,1.5521,1.1705,7.9410,2.4569,2.2387,2.5242,30.6610,0.0000,5.7701,3.0921,0.0000,1.1312,0.0000,0.0000,0.0000,0.5176,0.0277,0.0000,0.0265,0.0386,2.6434,0.0000,0.4058,0.0000,0.0000,4.3972,0.0036,1.0000,0.0007,0.1185,0.0000,0.0000,2.335E-5,5.0000,0.0197,0.0128,0.0000,0.0000,3.495E-10,10.0000,0.1377,0.0048,0.0000,0.0000,2.493E-12,13.3646,0.4883,0.0042,0.0000,0.0000,1.279E-12,18.0892,0.5723,0.0040,0.0909,0.4000,6.279E-7,13.3646,0.4883,0.0042,0.0000,0.0000,1.279E-12,13.3646,0.4883,0.0042,0.0000,0.0000,1.279E-12,13.3646,0.4883,0.0042,0.0000,0.0000,1.279E-12,13.3646,0.4883,0.0042,0.0000,0.0000,1.279E-12,2.3412,0.0032,0.0402,0.0000,0.0000,1.053E-7,6.7124,0.0435,0.0081,0.0000,0.0000,3.411E-11
Lasioglossum_bruneri,44,4.8283,5.3060,500,0.9978,5,5.1549,0.9968,0.0006,10044,14.2384,5.3695,0.0094,5.0655,2.3132,11.3039,1.5923,1.7491,9.1383,0.0000,3.3054,3.6034,29.7908,0.0000,3.1663,3.7153,0.0000,1.0061,0.0000,0.0000,0.0000,0.2363,0.0193,0.0000,0.0248,0.0681,3.2909,0.0000,0.9935,0.0000,0.0000,4.3946,0.0035,1.0000,0.0007,0.1302,0.0000,0.0000,3.745E-5,5.0000,0.0178,0.0128,0.0000,0.0000,3.495E-10,10.0000,0.1431,0.0047,0.0000,0.0000,2.244E-12,11.8438,0.4720,0.0043,0.0000,0.0000,1.438E-12,18.2059,0.5949,0.0040,0.0909,0.2000,1.254E-9,11.8438,0.4720,0.0043,0.0000,0.0000,1.438E-12,11.8438,0.4720,0.0043,0.0000,0.0000,1.438E-12,11.8438,0.4720,0.0043,0.0000,0.0000,1.438E-12,11.8438,0.4720,0.0043,0.0000,0.0000,1.438E-12,2.4796,0.0032,0.0402,0.0000,0.0000,1.053E-7,6.5959,0.0408,0.0081,0.0000,0.0000,3.411E-11
Lasioglossum_bruneri,44,4.8186,5.3046,500,0.9978,5,5.2763,0.9974,0.0006,10044,8.2609,3.1995,5.6387,6.5792,2.3441,11.9356,3.2789,2.9589,5.2997,0.0000,0.0000,0.0147,37.9431,0.0000,0.7482,3.3918,0.0000,0.7828,0.0000,0.0000,0.0000,0.6684,0.0056,0.1541,0.0556,0.0409,4.6392,0.0000,0.2206,1.8394,0.0000,4.3964,0.0036,1.0000,0.0007,0.1175,0.0000,0.0000,2.238E-5,5.0000,0.0170,0.0127,0.0000,0.0000,3.361E-10,10.0000,0.1453,0.0048,0.0000,0.0000,2.493E-12,15.3881,0.5467,0.0041,0.0000,0.0000,1.133E-12,16.9203,0.5543,0.0041,0.0682,0.0000,1.133E-12,15.3881,0.5467,0.0041,0.0000,0.0000,1.133E-12,15.3881,0.5467,0.0041,0.0000,0.0000,1.133E-12,20.1124,0.5740,0.0038,0.1136,0.0000,7.751E-13,20.1124,0.5740,0.0038,0.1136,0.0000,7.751E-13,2.3283,0.0032,0.0410,0.0000,0.0000,1.161E-7,6.6846,0.0438,0.0081,0.0000,0.0000,3.411E-11
Lasioglossum_bruneri,44,4.7880,5.2945,500,0.9978,5,5.3864,0.9989,0.0002,10044,9.2643,2.1524,5.1894,1.9497,3.8687,7.5819,2.5383,1.4926,8.1448,0.0000,0.0112,0.0528,35.6794,0.0176,10.0786,3.9224,0.0000,0.8736,0.0000,0.0000,0.0000,0.8621,0.0206,0.2179,0.0169,0.0357,4.0144,0.0000,2.0149,0.0000,0.0000,4.4554,0.0037,1.0000,0.0006,0.1491,0.0000,0.0000,7.379E-5,5.0000,0.0172,0.0157,0.0000,0.0000,9.633E-10,10.0000,0.1252,0.0053,0.0000,0.0000,4.091E-12,13.3456,0.5527,0.0044,0.0000,0.0000,1.613E-12,17.7918,0.5756,0.0041,0.0682,0.0000,1.133E-12,13.3456,0.5527,0.0044,0.0000,0.0000,1.613E-12,13.3456,0.5527,0.0044,0.0000,0.0000,1.613E-12,52.1613,0.6518,0.0023,0.4773,0.0000,6.297E-14,52.1613,0.6518,0.0023,0.4773,0.0000,6.297E-14,2.6556,0.0034,0.0421,0.0000,0.0000,1.325E-7,7.2608,0.0449,0.0086,0.0000,0.0000,4.602E-11
Lasioglossum_bruneri,44,4.8354,5.3017,500,0.9978,5,5.1272,0.9972,0.0007,10044,6.1240,6.7015,0.0133,6.1632,3.4760,9.2535,1.0281,5.2320,16.2631,0.0000,1.4015,3.5290,29.8863,0.0000,1.9108,2.2830,0.0000,1.3169,0.0111,0.0000,0.0000,1.9593,0.0157,0.0000,0.0276,0.0652,2.2580,0.0000,1.0808,0.0000,0.0000,4.4015,0.0036,1.0000,0.0007,0.1237,0.0000,0.0000,2.891E-5,5.0000,0.0192,0.0129,0.0000,0.0000,3.632E-10,10.0000,0.1459,0.0048,0.0000,0.0000,2.493E-12,13.3549,0.4843,0.0042,0.0000,0.0000,1.279E-12,18.1329,0.5774,0.0039,0.0909,0.4000,5.82E-7,13.3549,0.4843,0.0042,0.0000,0.0000,1.279E-12,13.3549,0.4843,0.0042,0.0000,0.0000,1.279E-12,13.3549,0.4843,0.0042,0.0000,0.0000,1.279E-12,13.3549,0.4843,0.0042,0.0000,0.0000,1.279E-12,2.3933,0.0032,0.0402,0.0000,0.0000,1.053E-7,6.8170,0.0471,0.0081,0.0000,0.0000,3.411E-11
Lasioglossum_bruneri,44,4.8305,5.3065,500,0.9978,5,5.2489,0.9970,0.0006,10044,8.5483,7.7503,6.5537,5.0920,1.8294,6.5450,4.0594,3.7627,3.2164,2.4695,0.0000,0.0536,38.4729,0.0093,0.0000,3.1596,0.0000,1.1683,0.0000,0.0000,0.0000,0.2947,2.7976,0.0000,0.0231,0.0437,3.5859,0.0000,0.5649,0.0000,0.0000,4.3947,0.0035,1.0000,0.0007,0.1153,0.0000,0.0000,2.037E-5,5.0000,0.0179,0.0127,0.0000,0.0000,3.361E-10,10.0000,0.1557,0.0047,0.0000,0.0000,2.244E-12,12.3713,0.5458,0.0044,0.0000,0.0000,1.613E-12,16.8917,0.5573,0.0041,0.0682,0.0000,1.133E-12,12.3713,0.5458,0.0044,0.0000,0.0000,1.613E-12,12.3713,0.5458,0.0044,0.0000,0.0000,1.613E-12,20.1859,0.5851,0.0038,0.1136,0.0000,7.751E-13,20.1859,0.5851,0.0038,0.1136,0.0000,7.751E-13,2.3673,0.0032,0.0393,0.0000,0.0000,9.407E-8,6.7085,0.0433,0.0081,0.0000,0.0000,3.411E-11
Lasioglossum_bruneri,44,4.7880,5.2945,500,0.9978,5,5.3864,0.9989,0.0002,10044,9.2643,2.1524,5.1894,1.9497,3.8687,7.5819,2.5383,1.4926,8.1448,0.0000,0.0112,0.0528,35.6794,0.0176,10.0786,3.9224,0.0000,0.8736,0.0000,0.0000,0.0000,0.8621,0.0206,0.2179,0.0169,0.0357,4.0144,0.0000,2.0149,0.0000,0.0000,4.4554,0.0037,1.0000,0.0006,0.1491,0.0000,0.0000,7.379E-5,5.0000,0.0172,0.0157,0.0000,0.0000,9.633E-10,10.0000,0.1252,0.0053,0.0000,0.0000,4.091E-12,13.3456,0.5527,0.0044,0.0000,0.0000,1.613E-12,17.7918,0.5756,0.0041,0.0682,0.0000,1.133E-12,13.3456,0.5527,0.0044,0.0000,0.0000,1.613E-12,13.3456,0.5527,0.0044,0.0000,0.0000,1.613E-12,52.1613,0.6518,0.0023,0.4773,0.0000,6.297E-14,52.1613,0.6518,0.0023,0.4773,0.0000,6.297E-14,2.6556,0.0034,0.0421,0.0000,0.0000,1.325E-7,7.2608,0.0449,0.0086,0.0000,0.0000,4.602E-11
Lasioglossum_bruneri,44,4.8144,5.3002,500,0.9978,5,5.2174,0.9977,0.0007,10044,7.5585,4.0496,0.4266,5.4540,2.5274,11.5102,1.1823,3.3347,10.2451,0.0000,1.4580,0.0777,37.8436,0.0000,4.0598,3.5897,0.0000,0.9532,0.0000,0.0000,0.0000,0.7132,0.0238,0.0000,0.0058,0.0844,2.8735,0.0000,2.0288,0.0000,0.0000,4.4138,0.0036,1.0000,0.0006,0.1354,0.0000,0.0000,4.552E-5,5.0000,0.0183,0.0136,0.0000,0.0000,4.721E-10,10.0000,0.1407,0.0049,0.0000,0.0000,2.763E-12,12.2368,0.4663,0.0044,0.0000,0.0000,1.613E-12,18.5011,0.5953,0.0040,0.0909,0.2000,1.254E-9,12.2368,0.4663,0.0044,0.0000,0.0000,1.613E-12,12.2368,0.4663,0.0044,0.0000,0.0000,1.613E-12,12.2368,0.4663,0.0044,0.0000,0.0000,1.613E-12,12.2368,0.4663,0.0044,0.0000,0.0000,1.613E-12,2.5623,0.0033,0.0402,0.0000,0.0000,1.053E-7,6.8121,0.0451,0.0082,0.0000,0.0000,3.627E-11
Lasioglossum_bruneri,44,4.8200,5.3024,500,0.9978,5,5.2321,0.9977,0.0007,10044,8.7122,4.7041,6.4249,0.0163,5.0617,8.3825,1.1142,3.4832,9.2006,1.4439,2.0473,0.7570,38.5823,0.0020,2.3921,2.4182,0.0000,1.1037,0.0000,0.0000,0.0000,0.2264,0.0327,0.0000,0.0220,0.0375,2.9179,0.0000,0.9173,0.0000,0.0000,4.4048,0.0036,1.0000,0.0007,0.1250,0.0000,0.0000,3.058E-5,5.0000,0.0180,0.0133,0.0000,0.0000,4.227E-10,10.0000,0.1430,0.0048,0.0000,0.0000,2.493E-12,13.3365,0.4811,0.0042,0.0000,0.0000,1.279E-12,18.2993,0.5934,0.0039,0.0909,0.2000,1.133E-9,13.3365,0.4811,0.0042,0.0000,0.0000,1.279E-12,13.3365,0.4811,0.0042,0.0000,0.0000,1.279E-12,13.3365,0.4811,0.0042,0.0000,0.0000,1.279E-12,13.3365,0.4811,0.0042,0.0000,0.0000,1.279E-12,2.4234,0.0032,0.0400,0.0000,0.0000,1.027E-7,6.8413,0.0450,0.0081,0.0000,0.0000,3.411E-11
Lasioglossum_bruneri,45,4.7805,5.2770,500,0.9978,4,5.3695,0.9988,0.0002,10045,7.9510,2.7148,5.8880,0.0230,2.6344,8.9358,2.1498,1.1031,7.3174,0.0000,1.5820,1.9930,36.5034,0.0205,7.7892,3.9756,0.0000,1.1576,0.0045,0.0000,0.0000,1.1099,0.0197,0.0000,0.0365,0.0350,3.0189,0.0000,2.8825,0.0000,1.1544,4.4518,0.0037,1.0000,0.0006,0.1445,0.0000,0.0000,4.366E-4,5.0000,0.0179,0.0148,0.0000,0.0000,4.841E-8,10.0000,0.1262,0.0051,0.0000,0.0000,6.645E-10,15.6665,0.5481,0.0042,0.0000,0.0000,3.056E-10,17.2027,0.5686,0.0042,0.0667,0.0000,3.056E-10,15.6665,0.5481,0.0042,0.0000,0.0000,3.056E-10,15.6665,0.5481,0.0042,0.0000,0.0000,3.056E-10,50.8278,0.6471,0.0024,0.4667,0.0000,3.259E-11,50.8278,0.6471,0.0024,0.4667,0.0000,3.259E-11,2.5696,0.0034,0.0418,0.0000,0.0000,3.056E-6,7.0396,0.0448,0.0085,0.0000,0.0000,5.127E-9
