Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Lebia_viridis,51,4.3304,4.8695,500,0.9965,6,4.5367,0.9970,0.0013,10051,36.6001,0.5386,2.2484,0.1545,5.1709,0.5816,16.0952,1.9902,0.0000,1.7772,0.2995,1.2452,22.4868,0.0412,0.0000,2.3061,0.0044,0.0000,0.8922,0.0000,0.0007,5.7269,0.1619,0.1032,0.0000,0.2231,0.0000,0.0000,0.0580,1.2941,0.0000,4.8932,0.0057,1.0000,0.0010,0.2023,0.0000,0.0000,6.848E-5,5.0000,0.0114,0.0428,0.0196,0.0000,6.131E-9,10.0000,0.0461,0.0145,0.0196,0.0000,9.394E-12,4.4281,0.0090,0.0502,0.0000,0.0000,1.609E-8,22.5764,0.5121,0.0045,0.0980,0.1667,1.075E-11,8.4550,0.0347,0.0196,0.0196,0.0000,5.669E-11,12.8117,0.0875,0.0091,0.0196,0.1667,3.623E-10,12.4386,0.0824,0.0096,0.0196,0.0000,7.592E-13,12.4386,0.0824,0.0096,0.0196,0.0000,7.592E-13,3.2125,0.0053,0.0736,0.0000,0.0000,1.593E-7,10.5197,0.0506,0.0132,0.0196,0.0000,5.369E-12
Lebia_viridis,51,4.3456,4.8705,500,0.9959,6,4.1883,0.9874,0.0097,10051,30.2119,2.1752,6.8145,0.2624,6.6333,0.5890,16.6525,2.3040,0.0032,0.2727,0.0000,0.1069,19.8856,0.0154,0.0000,6.4285,0.0316,0.0000,2.9674,0.0000,0.0000,1.7514,0.0988,0.0373,0.0154,0.1994,0.0051,0.0000,0.6584,1.8743,0.0055,4.8762,0.0056,1.0000,0.0008,0.2168,0.0000,0.0000,1.038E-4,5.0000,0.0108,0.0421,0.0196,0.1667,7.644E-7,10.0000,0.0522,0.0134,0.0196,0.1667,2.593E-9,3.0627,0.0044,0.0791,0.0000,0.0000,2.449E-7,22.1404,0.5392,0.0045,0.0980,0.1667,1.075E-11,8.1098,0.0303,0.0196,0.0196,0.1667,1.707E-8,12.5512,0.0904,0.0089,0.0196,0.1667,3.242E-10,3.5747,0.0056,0.0659,0.0196,0.0000,8.164E-8,3.5747,0.0056,0.0659,0.0196,0.0000,8.164E-8,3.0627,0.0044,0.0791,0.0000,0.0000,2.449E-7,10.1960,0.0535,0.0130,0.0196,0.1667,2.232E-9
Lebia_viridis,51,4.3632,4.8771,500,0.9964,6,3.3811,0.9001,0.0894,10051,25.8808,1.7708,2.0962,7.3149,4.3625,0.6321,16.1699,2.2607,0.0000,2.7267,1.4642,0.1615,20.3025,0.0379,0.0000,3.0272,0.0000,0.0478,1.2972,0.0000,0.0000,8.4968,0.1887,0.3395,0.0000,0.2522,0.0677,0.0000,0.0473,1.0529,0.0019,4.8563,0.0055,1.0000,0.0011,0.1644,0.0000,0.1667,6.211E-4,5.0000,0.0136,0.0350,0.0196,0.1667,3.069E-7,10.0000,0.0592,0.0128,0.0196,0.1667,2.067E-9,3.5869,0.0072,0.0532,0.0000,0.1667,2.45E-6,22.7814,0.5545,0.0045,0.0980,0.1667,1.075E-11,7.6580,0.0317,0.0196,0.0196,0.1667,1.707E-8,10.6630,0.0639,0.0114,0.0196,0.1667,1.165E-9,0.9800,0.0011,0.1667,0.0000,0.1667,6.641E-4,50.8689,0.6872,0.0027,0.2549,0.1667,8.374E-13,2.9014,0.0051,0.0676,0.0000,0.1667,7.967E-6,10.0509,0.0595,0.0127,0.0196,0.1667,1.988E-9
Lebia_viridis,51,4.2948,4.8472,500,0.9959,6,5.2036,0.9984,0.0004,10051,37.3516,2.3170,1.2793,0.5015,4.4542,2.3734,12.1905,1.7590,0.0091,0.0549,0.0000,0.5130,20.3932,0.0833,0.0000,6.2133,0.0089,0.0000,0.8746,0.0000,0.0000,1.1763,7.8550,0.0562,0.0204,0.4362,0.0000,0.0000,0.0279,0.0494,0.0019,4.9241,0.0058,1.0000,0.0010,0.2088,0.0000,0.0000,8.295E-5,5.0000,0.0113,0.0441,0.0196,0.0000,7.331E-9,10.0000,0.0482,0.0153,0.0196,0.0000,1.294E-11,3.0272,0.0048,0.0806,0.0000,0.0000,2.739E-7,23.2211,0.4844,0.0046,0.0980,0.0000,9.189E-15,8.6653,0.0346,0.0196,0.0196,0.0000,5.669E-11,13.1964,0.0929,0.0092,0.0196,0.0000,5.881E-13,33.6176,0.6651,0.0037,0.2353,0.0000,2.489E-15,33.6176,0.6651,0.0037,0.2353,0.0000,2.489E-15,3.0272,0.0048,0.0806,0.0000,0.0000,2.739E-7,10.6863,0.0554,0.0136,0.0196,0.0000,6.413E-12
Lebia_viridis,51,4.4899,5.0003,500,0.9974,6,2.8652,0.8666,0.1187,10051,25.0995,7.7365,3.6240,4.2316,4.2575,0.6928,16.2413,2.0173,0.0000,0.0002,0.0026,0.2083,23.2031,0.0106,0.0000,2.0952,0.0000,0.0000,0.0973,0.0000,0.0000,2.3089,7.5212,0.0169,0.0256,0.1975,0.0000,0.0000,0.3393,0.0700,0.0029,4.7328,0.0050,1.0000,0.0014,0.1113,0.0000,0.1667,9.31E-5,5.0000,0.0197,0.0240,0.0000,0.1667,4.66E-8,10.0000,0.0870,0.0090,0.0000,0.1667,3.428E-10,13.3791,0.1612,0.0063,0.0000,0.1667,5.775E-11,20.3943,0.5186,0.0047,0.0980,0.1667,1.336E-11,13.3791,0.1612,0.0063,0.0000,0.1667,5.775E-11,13.3791,0.1612,0.0063,0.0000,0.1667,5.775E-11,0.5502,0.0006,0.1667,0.0000,0.1667,6.641E-4,21.3478,0.5200,0.0045,0.1176,0.1667,1.075E-11,2.1768,0.0045,0.0578,0.0000,0.1667,3.686E-6,8.5991,0.0513,0.0112,0.0000,0.1667,1.068E-9
Lebia_viridis,51,4.3791,4.9138,500,0.9966,6,3.5858,0.9219,0.0688,10051,32.6075,5.8271,1.9736,0.7632,6.2565,0.6581,13.7653,2.0142,0.0000,2.0751,0.0043,0.2875,21.3070,0.0431,7.4867,2.3062,0.0000,0.0000,0.1753,0.0000,0.0000,0.2113,0.0823,0.0526,0.0000,0.9750,0.0111,0.0000,0.0344,1.0733,0.0091,4.8440,0.0054,1.0000,0.0008,0.2040,0.0000,0.1667,1.758E-3,5.0000,0.0109,0.0396,0.0196,0.1667,5.649E-7,10.0000,0.0519,0.0119,0.0196,0.1667,1.441E-9,4.5907,0.0094,0.0446,0.0000,0.1667,1.016E-6,21.7596,0.5132,0.0045,0.0980,0.1667,1.075E-11,7.7464,0.0268,0.0196,0.0196,0.1667,1.707E-8,13.5051,0.1318,0.0070,0.0196,0.1667,9.774E-11,1.3020,0.0012,0.1667,0.0000,0.1667,6.641E-4,48.5739,0.6852,0.0028,0.2549,0.1667,1.004E-12,3.2968,0.0050,0.0686,0.0000,0.1667,8.625E-6,9.7546,0.0490,0.0125,0.0196,0.1667,1.838E-9
Lebia_viridis,51,4.4431,4.9663,500,0.9972,6,3.4283,0.9412,0.0504,10051,26.7344,7.7900,4.4256,1.1730,6.9366,0.5408,15.0808,0.5322,0.0054,1.7154,0.0019,0.1473,20.2530,0.0763,0.0000,5.7631,0.0135,0.0000,0.9708,0.0000,0.0000,0.8516,5.2275,0.0548,0.0074,1.3731,0.0000,0.0002,0.3182,0.0071,0.0000,4.7824,0.0051,1.0000,0.0008,0.1878,0.0000,0.1667,1.184E-3,5.0000,0.0125,0.0322,0.0000,0.1667,2.032E-7,10.0000,0.0647,0.0097,0.0196,0.1667,4.983E-10,6.9606,0.0239,0.0189,0.0000,0.1667,1.426E-8,20.8532,0.4882,0.0046,0.0980,0.1667,1.2E-11,6.9814,0.0242,0.0189,0.0196,0.1667,1.426E-8,6.9606,0.0239,0.0189,0.0000,0.1667,1.426E-8,1.1671,0.0010,0.1667,0.0000,0.1667,6.641E-4,20.8532,0.4882,0.0046,0.0980,0.1667,1.2E-11,3.1652,0.0047,0.0615,0.0000,0.1667,5.003E-6,8.9738,0.0447,0.0118,0.0196,0.1667,1.382E-9
Lebia_viridis,52,4.2884,4.8319,500,0.9958,5,5.1674,0.9981,0.0006,10052,24.4827,8.3959,3.3983,3.3444,4.9152,0.9515,17.9383,2.2230,0.0036,0.0730,1.3085,0.0840,22.0440,0.0361,0.0000,1.3252,0.0149,0.0000,0.0568,0.0000,0.0000,7.7499,0.1284,0.1034,0.0171,0.1141,0.0000,0.0000,0.0794,1.2083,0.0039,4.9379,0.0059,1.0000,0.0010,0.2128,0.0000,0.0000,4.363E-4,5.0000,0.0112,0.0447,0.0192,0.0000,1.778E-7,10.0000,0.0479,0.0152,0.0192,0.0000,8.169E-10,3.0673,0.0048,0.0811,0.0000,0.0000,3.504E-6,23.0237,0.4858,0.0046,0.0962,0.0000,2.007E-12,8.7840,0.0352,0.0192,0.0192,0.0000,2.609E-9,12.7511,0.0845,0.0097,0.0192,0.0000,8.808E-11,51.5801,0.6987,0.0027,0.2692,0.0000,1.398E-13,51.5801,0.6987,0.0027,0.2692,0.0000,1.398E-13,3.0673,0.0048,0.0811,0.0000,0.0000,3.504E-6,10.5908,0.0557,0.0138,0.0192,0.0000,5.056E-10
Lebia_viridis,52,4.3070,4.8431,500,0.9962,5,5.0854,0.9975,0.0007,10052,34.7805,3.6222,4.1334,0.3801,4.3140,2.4982,14.3508,0.5346,0.0237,0.3625,0.7301,0.0810,22.8534,0.0234,0.4634,0.6964,0.0233,0.0000,0.4939,0.0000,0.0000,8.4224,0.1118,0.0699,0.0219,0.1629,0.0000,0.0000,0.5092,0.3338,0.0034,4.9174,0.0058,1.0000,0.0009,0.2091,0.0000,0.0000,3.999E-4,5.0000,0.0113,0.0428,0.0192,0.0000,1.432E-7,10.0000,0.0489,0.0146,0.0192,0.0000,6.688E-10,3.7484,0.0066,0.0618,0.0000,0.0000,8.999E-7,22.5927,0.4711,0.0046,0.0962,0.0000,2.007E-12,8.5595,0.0352,0.0192,0.0192,0.0000,2.609E-9,13.0429,0.0903,0.0089,0.0192,0.0000,5.441E-11,24.5537,0.6047,0.0045,0.1346,0.0000,1.798E-12,24.5537,0.6047,0.0045,0.1346,0.0000,1.798E-12,3.3303,0.0054,0.0712,0.0000,0.0000,1.834E-6,10.4712,0.0545,0.0135,0.0192,0.0000,4.533E-10
Lebia_viridis,52,4.3587,4.8561,500,0.9959,5,3.9219,0.9858,0.0107,10052,29.0840,1.6083,4.7265,2.9243,6.8880,0.8014,16.2788,0.8617,0.0126,1.9473,0.0000,0.7668,22.5090,0.0415,1.1965,3.0703,0.0046,0.0000,0.1928,0.0000,0.0000,5.8361,0.0738,0.0175,0.0456,0.1112,0.0000,0.0000,0.0541,0.9472,0.0000,4.8611,0.0055,1.0000,0.0009,0.2094,0.0000,0.0000,4.027E-4,5.0000,0.0105,0.0401,0.0192,0.2000,1.25E-5,10.0000,0.0509,0.0125,0.0192,0.2000,1.222E-7,3.0407,0.0045,0.0767,0.0000,0.0000,2.655E-6,21.2147,0.4944,0.0047,0.0962,0.2000,2.381E-9,7.9052,0.0304,0.0192,0.0192,0.2000,6.691E-7,11.1886,0.0709,0.0101,0.0192,0.2000,5.258E-8,3.6447,0.0062,0.0620,0.0192,0.0000,9.145E-7,3.6447,0.0062,0.0620,0.0192,0.0000,9.145E-7,3.0407,0.0045,0.0767,0.0000,0.0000,2.655E-6,9.8841,0.0503,0.0128,0.0192,0.2000,1.342E-7
