Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Leucopelmonus_annulicornis,71,4.3532,4.7854,500,0.9965,8,4.7581,0.9979,0.0007,10071,5.2477,1.5699,0.3507,3.5167,3.2455,8.7970,0.4428,0.0000,0.0102,18.5873,0.0000,4.1607,25.6758,0.0000,1.0428,1.6454,0.1482,0.0000,0.0140,0.0000,0.0000,9.6989,0.0000,0.1890,0.0000,2.1629,12.3000,0.0000,0.7868,0.3938,0.0142,4.8796,0.0059,1.0000,0.0015,0.1006,0.0000,0.0000,1.048E-8,5.0000,0.0287,0.0180,0.0000,0.0000,1.089E-14,10.0000,0.1909,0.0083,0.0000,0.0000,2.342E-17,13.6959,0.3784,0.0070,0.0000,0.0000,5.448E-18,19.5363,0.5676,0.0064,0.0986,0.1250,3.33E-15,13.6959,0.3784,0.0070,0.0000,0.0000,5.448E-18,13.6959,0.3784,0.0070,0.0000,0.0000,5.448E-18,13.6959,0.3784,0.0070,0.0000,0.0000,5.448E-18,13.6959,0.3784,0.0070,0.0000,0.0000,5.448E-18,2.1137,0.0052,0.0492,0.0000,0.0000,3.406E-11,6.5645,0.0500,0.0130,0.0000,0.0000,8.196E-16
Leucopelmonus_annulicornis,71,4.3661,4.7889,500,0.9965,8,4.6914,0.9952,0.0008,10071,2.7679,2.7467,0.0626,2.7978,4.0537,9.0471,1.3818,0.0000,0.0074,15.0912,0.0008,2.9755,31.1372,0.0000,0.7747,1.1635,0.1344,0.0000,0.0021,0.0000,0.0021,7.8183,0.0000,0.2334,0.0000,2.9625,11.8180,0.0000,2.8316,0.1896,0.0000,4.8696,0.0058,1.0000,0.0015,0.1020,0.0000,0.0000,1.169E-8,5.0000,0.0280,0.0180,0.0000,0.0000,1.089E-14,10.0000,0.1983,0.0081,0.0000,0.0000,1.932E-17,13.3698,0.4008,0.0070,0.0000,0.0000,6.102E-18,18.6922,0.5144,0.0063,0.0704,0.1250,2.983E-15,13.3698,0.4008,0.0070,0.0141,0.0000,6.102E-18,13.3698,0.4008,0.0070,0.0000,0.0000,6.102E-18,15.4711,0.5045,0.0068,0.0423,0.0000,4.32E-18,15.4711,0.5045,0.0068,0.0423,0.0000,4.32E-18,2.1291,0.0051,0.0484,0.0000,0.0000,2.99E-11,6.5225,0.0493,0.0129,0.0000,0.0000,7.708E-16
Leucopelmonus_annulicornis,71,4.3595,4.7882,500,0.9965,8,4.8168,0.9974,0.0008,10071,3.1742,1.7959,4.7113,0.0952,5.3569,7.2727,0.3988,0.0000,0.0106,19.7029,0.0262,4.4882,26.1711,0.1307,0.2099,5.5692,0.1586,0.0000,0.0044,0.5813,0.0000,6.4833,0.0000,0.2393,0.0000,1.9122,10.1171,0.0000,0.3730,1.0170,0.0000,4.8870,0.0059,1.0000,0.0015,0.1053,0.0000,0.0000,1.506E-8,5.0000,0.0287,0.0188,0.0000,0.0000,1.539E-14,10.0000,0.1808,0.0082,0.0000,0.0000,2.128E-17,13.7952,0.3991,0.0070,0.0000,0.0000,5.448E-18,23.4881,0.5725,0.0059,0.0986,0.1250,1.885E-15,13.7952,0.3991,0.0070,0.0000,0.0000,5.448E-18,13.7952,0.3991,0.0070,0.0000,0.0000,5.448E-18,15.1165,0.4669,0.0068,0.0141,0.0000,4.32E-18,15.1165,0.4669,0.0068,0.0141,0.0000,4.32E-18,2.1487,0.0052,0.0498,0.0000,0.0000,3.811E-11,6.6963,0.0494,0.0131,0.0000,0.0000,8.71E-16
Leucopelmonus_annulicornis,71,4.3639,4.7879,500,0.9965,8,4.6271,0.9963,0.0009,10071,8.1735,0.9337,2.6386,0.8461,3.4589,7.1705,0.3257,0.0000,0.0073,14.6351,0.4221,5.0020,28.0906,0.2114,0.2399,1.5342,0.1217,0.0000,0.0199,0.6326,0.0000,8.4504,0.0000,0.1864,0.0000,1.5748,15.0111,0.0000,0.2752,0.0276,0.0108,4.8678,0.0058,1.0000,0.0014,0.1065,0.0000,0.0000,1.66E-8,5.0000,0.0284,0.0183,0.0000,0.0000,1.242E-14,10.0000,0.1859,0.0081,0.0000,0.0000,1.932E-17,11.2221,0.2386,0.0075,0.0000,0.0000,1.052E-17,18.9241,0.5508,0.0063,0.0563,0.1250,2.983E-15,11.2221,0.2386,0.0075,0.0141,0.1250,1.108E-14,11.2221,0.2386,0.0075,0.0000,0.0000,1.052E-17,11.2221,0.2386,0.0075,0.0000,0.0000,1.052E-17,11.2221,0.2386,0.0075,0.0000,0.0000,1.052E-17,2.1775,0.0051,0.0493,0.0000,0.0000,3.462E-11,6.5482,0.0443,0.0129,0.0000,0.0000,7.708E-16
Leucopelmonus_annulicornis,71,4.3878,4.8003,500,0.9965,8,3.9120,0.9811,0.0150,10071,3.8445,5.4380,0.6519,2.1319,2.4376,7.9299,0.2520,0.0000,0.0027,15.2747,0.5809,3.2500,29.4342,0.0000,0.1286,1.3407,0.1308,0.0130,0.0000,0.0003,0.0047,8.8852,0.0102,0.1762,0.0000,2.3741,15.0289,0.0000,0.6211,0.0422,0.0157,4.8449,0.0057,1.0000,0.0016,0.0939,0.0000,0.1250,4.738E-7,5.0000,0.0319,0.0155,0.0000,0.1250,1.689E-12,10.0000,0.2216,0.0078,0.0000,0.1250,1.452E-14,13.2321,0.4327,0.0070,0.0000,0.1250,6.882E-15,23.5021,0.5651,0.0059,0.0986,0.1250,1.885E-15,13.2321,0.4327,0.0070,0.0000,0.1250,6.882E-15,13.2321,0.4327,0.0070,0.0000,0.1250,6.882E-15,0.6965,0.0009,0.1250,0.0000,0.1250,3.4E-6,25.6376,0.5757,0.0057,0.1690,0.1250,1.481E-15,2.0640,0.0050,0.0456,0.0000,0.1250,3.138E-9,5.9483,0.0491,0.0126,0.0000,0.1250,4.012E-13
Leucopelmonus_annulicornis,71,4.3726,4.7935,500,0.9965,8,4.7501,0.9949,0.0007,10071,4.1451,1.5899,4.8303,1.3192,3.4873,5.2976,1.5658,0.0000,0.0100,15.3012,0.0036,3.1851,30.4549,0.0988,0.3162,1.6723,0.1403,0.0108,0.0026,0.5916,0.0000,8.5125,0.0000,0.2506,0.0000,1.6900,12.4757,0.0000,2.7979,0.2507,0.0000,4.8728,0.0058,1.0000,0.0014,0.1053,0.0000,0.0000,1.506E-8,5.0000,0.0273,0.0184,0.0000,0.0000,1.297E-14,10.0000,0.1849,0.0081,0.0000,0.0000,1.932E-17,13.3079,0.4025,0.0070,0.0000,0.0000,6.102E-18,18.9455,0.5462,0.0064,0.0986,0.1250,3.33E-15,13.3079,0.4025,0.0070,0.0141,0.0000,6.102E-18,13.3079,0.4025,0.0070,0.0000,0.0000,6.102E-18,14.6831,0.4733,0.0068,0.0141,0.0000,4.32E-18,14.6831,0.4733,0.0068,0.0141,0.0000,4.32E-18,2.1771,0.0051,0.0488,0.0000,0.0000,3.192E-11,6.6181,0.0489,0.0129,0.0000,0.0000,7.708E-16
Leucopelmonus_annulicornis,71,4.3746,4.7920,500,0.9965,8,4.7149,0.9950,0.0007,10071,6.4348,2.5931,2.7098,0.0142,6.4168,8.3764,0.4437,0.0000,0.0035,14.7964,0.0032,3.0240,31.0273,0.0000,1.0006,1.1418,0.1598,0.0000,0.0167,0.0000,0.0000,6.9639,0.0000,0.1986,0.0000,0.6285,11.0883,0.0000,2.9299,0.0289,0.0000,4.8682,0.0058,1.0000,0.0015,0.1003,0.0000,0.0000,1.023E-8,5.0000,0.0290,0.0176,0.0000,0.0000,9.103E-15,10.0000,0.1772,0.0081,0.0000,0.0000,1.932E-17,13.3632,0.3971,0.0070,0.0000,0.0000,5.448E-18,19.2119,0.5708,0.0064,0.0986,0.1250,3.33E-15,13.3632,0.3971,0.0070,0.0000,0.0000,5.448E-18,13.3632,0.3971,0.0070,0.0000,0.0000,5.448E-18,13.3632,0.3971,0.0070,0.0000,0.0000,5.448E-18,13.3632,0.3971,0.0070,0.0000,0.0000,5.448E-18,2.1142,0.0051,0.0477,0.0000,0.0000,2.663E-11,6.4460,0.0484,0.0129,0.0000,0.0000,7.708E-16
Leucopelmonus_annulicornis,71,4.3496,4.7902,500,0.9965,8,4.8604,0.9981,0.0006,10071,8.7002,1.6746,1.5757,1.5968,2.7398,6.4930,0.7203,0.0000,0.0269,14.5352,0.0000,3.2517,28.0240,0.2549,0.2359,1.7827,0.1509,0.0000,0.0069,0.0000,0.0007,9.7763,0.0000,0.2319,0.0000,2.1547,15.0397,0.0000,0.8168,0.2002,0.0104,4.8911,0.0059,1.0000,0.0015,0.1079,0.0000,0.0000,1.842E-8,5.0000,0.0275,0.0190,0.0000,0.0000,1.674E-14,10.0000,0.1926,0.0083,0.0000,0.0000,2.342E-17,13.8458,0.4149,0.0070,0.0000,0.0000,6.102E-18,17.8647,0.5644,0.0066,0.0704,0.0000,3.402E-18,13.8458,0.4149,0.0070,0.0141,0.0000,6.102E-18,13.8458,0.4149,0.0070,0.0000,0.0000,6.102E-18,24.8661,0.5736,0.0058,0.1127,0.0000,1.21E-18,24.8661,0.5736,0.0058,0.1127,0.0000,1.21E-18,2.2025,0.0052,0.0494,0.0000,0.0000,3.575E-11,6.6454,0.0465,0.0132,0.0000,0.0000,9.252E-16
Leucopelmonus_annulicornis,71,4.3429,4.7837,500,0.9965,8,4.8327,0.9965,0.0007,10071,5.9554,1.5897,1.3268,3.0096,3.7319,10.6052,0.9878,0.0000,0.0083,13.8116,0.0000,2.7597,25.5578,0.0029,0.2914,1.4592,0.1453,0.0000,0.0081,0.0000,0.0000,7.6722,0.0000,0.2159,0.0000,2.6359,7.5975,0.0000,8.7504,1.8775,0.0000,4.8896,0.0059,1.0000,0.0014,0.1128,0.0000,0.0000,2.621E-8,5.0000,0.0259,0.0193,0.0000,0.0000,1.896E-14,10.0000,0.2023,0.0082,0.0000,0.0000,2.128E-17,13.2631,0.4021,0.0071,0.0000,0.0000,6.825E-18,20.1314,0.5437,0.0062,0.0704,0.0000,2.063E-18,13.2631,0.4021,0.0071,0.0141,0.0000,6.825E-18,13.2631,0.4021,0.0071,0.0000,0.0000,6.825E-18,20.1314,0.5437,0.0062,0.0704,0.0000,2.063E-18,20.1314,0.5437,0.0062,0.0704,0.0000,2.063E-18,2.2634,0.0052,0.0504,0.0000,0.0000,4.191E-11,6.7092,0.0453,0.0131,0.0000,0.0000,8.71E-16
Leucopelmonus_annulicornis,72,4.3408,4.7704,500,0.9964,7,4.6145,0.9964,0.0009,10072,2.7662,2.4777,5.4599,1.4167,5.3525,11.0413,1.3125,0.0071,0.0090,13.0329,0.0000,4.1453,29.5047,0.0000,0.1945,1.6688,0.1577,0.0000,0.0074,0.0000,0.0000,8.9170,0.0000,0.2051,0.0000,0.1688,11.6201,0.0000,0.1073,0.4274,0.0000,4.8944,0.0059,1.0000,0.0014,0.1128,0.0000,0.0000,2.322E-7,5.0000,0.0279,0.0190,0.0000,0.0000,8.819E-13,10.0000,0.1951,0.0083,0.0000,0.0000,2.806E-15,11.2182,0.2298,0.0076,0.0000,0.0000,1.526E-15,23.2909,0.5698,0.0060,0.0972,0.1429,3.112E-13,11.4802,0.2592,0.0076,0.0139,0.1429,1.388E-12,11.2182,0.2298,0.0076,0.0000,0.0000,1.526E-15,11.2182,0.2298,0.0076,0.0000,0.0000,1.526E-15,11.2182,0.2298,0.0076,0.0000,0.0000,1.526E-15,2.2575,0.0052,0.0503,0.0000,0.0000,8.189E-10,6.6005,0.0454,0.0132,0.0000,0.0000,7.001E-14
