Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Leucothoe_recurva,42,1.9374,2.7591,500,0.9669,5,0.1036,0.6996,0.1249,10042,3.3702,8.2432,2.9388,2.6867,21.3261,7.8657,0.2691,4.8427,1.6488,4.1892,0.0000,12.7728,7.0357,0.8600,0.0000,2.5737,0.4691,0.0000,0.5212,1.6462,4.1391,0.7654,0.0832,1.9251,0.7093,7.6137,1.2191,0.0024,0.1809,0.0834,0.0196,7.2933,0.0716,1.0000,0.0099,0.6109,0.0000,0.2000,3.561E-1,5.0000,0.0399,0.3474,0.0238,0.4000,2.312E-1,10.0000,0.0804,0.2277,0.0476,0.6000,3.203E-1,4.8890,0.0389,0.3514,0.0000,0.4000,2.374E-1,26.3514,0.2432,0.0840,0.0952,0.6000,5.95E-2,24.0871,0.2171,0.0952,0.0952,0.6000,7.458E-2,26.3514,0.2432,0.0840,0.0952,0.6000,5.95E-2,3.7114,0.0301,0.4000,0.0000,0.4000,3.175E-1,64.3405,0.7062,0.0098,0.4762,0.6000,9.339E-4,4.8890,0.0389,0.3514,0.0000,0.4000,2.374E-1,16.6866,0.1416,0.1464,0.0714,0.6000,1.582E-1
Leucothoe_recurva,42,1.9370,2.8225,500,0.9664,5,0.9843,0.9016,0.0496,10042,0.7957,5.3925,4.0049,2.2991,22.9829,10.8454,1.5864,4.2785,0.5956,4.2955,0.0000,10.8618,8.6897,1.5523,0.0111,2.5317,0.5106,0.0000,0.3587,4.8443,2.1318,0.8125,0.1906,0.4223,0.6297,5.6252,1.8353,1.4476,0.4118,0.0565,0.0000,7.3075,0.0726,1.0000,0.0109,0.6253,0.0000,0.0000,9.558E-2,5.0000,0.0391,0.3649,0.0238,0.0000,6.467E-3,10.0000,0.0773,0.2390,0.0476,0.2000,1.319E-2,1.8680,0.0172,0.5335,0.0000,0.0000,4.32E-2,31.4954,0.2934,0.0639,0.0952,0.4000,2.369E-3,29.5042,0.2725,0.0714,0.0714,0.2000,1.225E-4,29.5545,0.2730,0.0712,0.0714,0.2000,1.212E-4,12.5061,0.0982,0.2000,0.0476,0.2000,6.715E-3,31.2721,0.2916,0.0647,0.0952,0.2000,8.322E-5,7.3027,0.0560,0.2958,0.0238,0.2000,2.921E-2,17.0704,0.1382,0.1485,0.0476,0.2000,2.141E-3
Leucothoe_recurva,42,2.0606,2.9478,500,0.9727,5,-0.4182,0.7128,0.1330,10042,1.8401,8.7813,2.3849,0.2951,21.4772,9.1815,1.8083,4.1367,0.3837,1.6651,0.0000,10.4641,11.5434,2.8334,0.0000,2.3461,0.3914,0.0000,0.0627,4.3129,2.1755,2.1405,0.1045,0.0347,0.7167,7.9740,1.0410,1.6929,0.0488,0.1438,0.0195,7.1840,0.0637,1.0000,0.0092,0.6099,0.0000,0.2000,3.543E-1,5.0000,0.0350,0.3447,0.0000,0.2000,5.11E-2,10.0000,0.0702,0.2198,0.0476,0.4000,7.424E-2,7.2809,0.0499,0.2764,0.0000,0.4000,1.333E-1,29.9907,0.2693,0.0599,0.0952,0.8000,2.659E-1,24.6577,0.2073,0.0824,0.0714,0.8000,3.493E-1,24.6577,0.2073,0.0824,0.0714,0.8000,3.493E-1,5.1622,0.0361,0.3389,0.0000,0.4000,2.182E-1,5.1600,0.0360,0.3389,0.0000,0.2000,4.806E-2,7.2729,0.0499,0.2766,0.0000,0.4000,1.336E-1,17.2643,0.1331,0.1312,0.0714,0.6000,1.313E-1
Leucothoe_recurva,42,1.8750,2.7362,500,0.9679,5,0.7930,0.7889,0.1194,10042,3.9909,6.7469,1.7213,0.7912,23.0426,9.1819,0.4781,5.3260,0.1769,2.2562,0.0000,10.1014,8.4891,2.5808,0.0000,2.4171,2.4246,0.0822,0.7651,3.7467,4.8548,1.4814,0.3008,0.0419,0.1170,8.2119,0.2789,0.0171,0.0833,0.2505,0.0434,7.3671,0.0774,1.0000,0.0120,0.6419,0.0000,0.2000,4.13E-1,5.0000,0.0409,0.3811,0.0000,0.2000,7.331E-2,10.0000,0.0791,0.2519,0.0476,0.4000,1.056E-1,5.8069,0.0472,0.3533,0.0000,0.2000,5.589E-2,40.3715,0.3982,0.0427,0.0952,0.4000,7.306E-4,31.1716,0.2882,0.0714,0.0714,0.4000,3.261E-3,35.5033,0.3358,0.0561,0.0714,0.4000,1.617E-3,7.1883,0.0567,0.3134,0.0476,0.4000,1.812E-1,42.8105,0.4320,0.0372,0.1667,0.4000,4.882E-4,5.8069,0.0472,0.3533,0.0000,0.2000,5.589E-2,17.1720,0.1406,0.1576,0.0714,0.4000,3.049E-2
Leucothoe_recurva,42,1.9180,2.7524,500,0.9606,5,0.6646,0.7433,0.1460,10042,2.3619,5.2059,1.7992,1.6350,20.6917,9.4768,0.5632,7.1323,1.4208,3.4186,0.0000,10.3945,8.1356,2.3330,0.0000,2.7351,1.2433,0.0574,0.0688,4.3814,0.3277,0.5761,0.0450,0.0153,0.8163,12.2091,0.9481,1.8048,0.1585,0.0153,0.0292,7.3074,0.0728,1.0000,0.0102,0.6244,0.0238,0.2000,3.803E-1,5.0000,0.0398,0.3549,0.0238,0.4000,2.428E-1,10.0000,0.0800,0.2330,0.0476,0.4000,8.642E-2,0.8001,0.0088,0.6553,0.0000,0.2000,4.387E-1,30.8069,0.2921,0.0673,0.0952,0.4000,2.751E-3,25.6853,0.2269,0.0892,0.0952,0.4000,6.187E-3,25.6657,0.2269,0.0892,0.0714,0.4000,6.187E-3,3.8882,0.0312,0.4000,0.0238,0.4000,3.175E-1,52.4377,0.5599,0.0205,0.2381,0.4000,8.369E-5,7.0760,0.0560,0.2934,0.0238,0.4000,1.544E-1,16.8566,0.1410,0.1485,0.0714,0.4000,2.588E-2
Leucothoe_recurva,42,1.9603,2.8741,500,0.9682,5,0.3077,0.7693,0.1357,10042,3.9156,7.8335,0.0361,0.4641,16.3401,11.9325,1.7374,5.5941,0.7865,2.4829,0.0969,8.3163,9.5267,2.4550,0.0000,3.7375,1.3701,0.0478,0.1370,1.5621,3.9877,0.2272,0.2960,0.0490,1.1864,10.7586,3.4044,0.5402,0.5380,0.6236,0.0167,7.2886,0.0708,1.0000,0.0105,0.5945,0.0000,0.2000,3.275E-1,5.0000,0.0405,0.3382,0.0476,0.2000,4.77E-2,10.0000,0.0812,0.2204,0.0476,0.4000,7.476E-2,4.0162,0.0329,0.3760,0.0000,0.2000,6.989E-2,34.8128,0.3393,0.0512,0.0952,0.4000,1.24E-3,28.7698,0.2702,0.0714,0.0714,0.4000,3.261E-3,30.2264,0.2881,0.0659,0.0714,0.4000,2.589E-3,7.7026,0.0622,0.2639,0.0476,0.2000,1.913E-2,36.1995,0.3583,0.0474,0.1429,0.4000,9.907E-4,4.0162,0.0329,0.3760,0.0000,0.2000,6.989E-2,16.2134,0.1408,0.1457,0.0476,0.4000,2.456E-2
Leucothoe_recurva,42,1.8357,2.6750,500,0.9641,5,1.2877,0.8513,0.0726,10042,6.1626,1.5052,3.6867,1.0467,21.0794,13.2989,1.1828,3.3891,1.0766,2.7599,0.0118,9.3963,8.6012,1.5525,0.0000,2.5326,1.3094,0.0000,0.3238,1.4802,5.8607,0.5132,0.0810,0.0000,0.9372,6.9611,3.3766,0.5052,1.0315,0.2728,0.0652,7.3927,0.0786,1.0000,0.0118,0.6500,0.0000,0.0000,1.16E-1,5.0000,0.0408,0.3806,0.0238,0.0000,7.986E-3,10.0000,0.0804,0.2498,0.0476,0.4000,1.033E-1,3.6973,0.0312,0.4375,0.0000,0.0000,1.602E-2,30.2692,0.2872,0.0728,0.0952,0.4000,3.448E-3,28.7408,0.2658,0.0793,0.0714,0.4000,4.407E-3,28.7408,0.2658,0.0793,0.0714,0.4000,4.407E-3,6.9275,0.0561,0.3186,0.0238,0.4000,1.885E-1,5.1932,0.0423,0.3733,0.0238,0.0000,7.252E-3,3.6973,0.0312,0.4375,0.0000,0.0000,1.602E-2,16.5334,0.1404,0.1617,0.0714,0.4000,3.27E-2
Leucothoe_recurva,43,1.8787,2.7387,500,0.9651,4,1.1698,0.8517,0.1082,10043,1.7770,6.4765,3.3346,3.2936,24.4461,8.2299,0.8727,6.7625,0.8108,2.1179,0.0000,8.3185,7.3251,2.2556,0.0000,2.8710,0.6581,0.0908,0.5017,2.7260,7.7702,0.4546,0.4935,0.2150,1.0273,2.4500,3.3175,0.1201,1.0750,0.2023,0.0060,7.3619,0.0769,1.0000,0.0112,0.6529,0.0000,0.0000,1.817E-1,5.0000,0.0398,0.3821,0.0233,0.2500,1.592E-1,10.0000,0.0782,0.2515,0.0465,0.2500,5.164E-2,4.4453,0.0356,0.4043,0.0000,0.2500,1.841E-1,31.0680,0.2814,0.0716,0.0930,0.2500,1.389E-3,27.3809,0.2407,0.0880,0.0930,0.2500,2.548E-3,27.3809,0.2407,0.0880,0.0698,0.2500,2.548E-3,10.0820,0.0789,0.2500,0.0465,0.2500,5.08E-2,40.4686,0.3924,0.0420,0.1628,0.2500,2.874E-4,4.4453,0.0356,0.4043,0.0000,0.2500,1.841E-1,17.2489,0.1433,0.1567,0.0698,0.2500,1.359E-2
Leucothoe_recurva,43,1.9777,2.8791,500,0.9670,4,-0.2263,0.7696,0.0752,10043,2.1025,8.0539,1.2195,0.5091,19.8788,11.1410,1.2950,3.5863,0.4361,3.2400,0.0115,12.4160,11.1975,1.4003,0.1157,2.4959,1.9471,0.2329,0.1707,3.8150,2.0576,3.0334,0.3916,0.0000,0.7115,5.7713,1.0251,0.6107,0.5427,0.5590,0.0320,7.2696,0.0700,1.0000,0.0103,0.6187,0.0000,0.0000,1.466E-1,5.0000,0.0383,0.3568,0.0465,0.5000,4.49E-1,10.0000,0.0754,0.2327,0.0465,0.5000,2.329E-1,3.8217,0.0298,0.4049,0.0000,0.0000,2.687E-2,32.6829,0.3053,0.0587,0.0930,0.7500,2.151E-1,28.5164,0.2536,0.0741,0.0698,0.7500,2.65E-1,23.9963,0.2029,0.0963,0.0465,0.7500,3.33E-1,4.9060,0.0376,0.3602,0.0465,0.2500,1.364E-1,4.1062,0.0320,0.3920,0.0233,0.0000,2.362E-2,3.8217,0.0298,0.4049,0.0000,0.0000,2.687E-2,17.2944,0.1402,0.1430,0.0465,0.5000,1.005E-1
Leucothoe_recurva,43,1.8714,2.7440,500,0.9715,4,1.8053,0.8242,0.1471,10043,2.5320,8.5869,1.4563,4.5215,15.1677,11.3588,0.7341,3.3715,0.7892,1.6820,0.0000,11.7200,7.7707,1.7177,0.0000,2.5741,0.6425,0.7349,0.4810,1.3719,6.6613,0.2290,0.3119,0.3597,0.2676,8.1068,5.5493,0.0000,0.8882,0.3830,0.0304,7.3609,0.0763,1.0000,0.0112,0.6090,0.0000,0.2500,4.908E-1,5.0000,0.0436,0.3498,0.0233,0.2500,1.263E-1,10.0000,0.0856,0.2300,0.0233,0.2500,4.028E-2,4.3237,0.0378,0.3748,0.0000,0.2500,1.514E-1,31.4154,0.3079,0.0668,0.0930,0.2500,1.133E-3,26.7337,0.2545,0.0856,0.0930,0.2500,2.35E-3,23.3124,0.2187,0.1029,0.0465,0.2500,4.017E-3,8.8894,0.0754,0.2500,0.0233,0.2500,5.08E-2,60.4576,0.6544,0.0141,0.3953,0.2500,1.119E-5,4.3237,0.0378,0.3748,0.0000,0.2500,1.514E-1,15.8825,0.1438,0.1566,0.0233,0.2500,1.356E-2
