Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Limnochares_species,28,4.7326,5.3276,500,0.9983,4,-2.8589,0.7494,0.1222,10028,15.1373,0.3486,3.5495,1.7589,3.3388,6.1713,0.0920,0.0397,10.5616,35.8521,0.3166,1.3748,1.0873,0.0000,0.0000,0.0000,0.1993,0.0000,0.1366,0.0486,0.0115,0.3686,0.0486,0.3655,0.1895,16.6497,1.9021,0.0425,0.0767,0.2473,0.0851,4.5221,0.0040,1.0000,0.0018,0.0911,0.0000,0.5000,4.399E-2,5.0000,0.0164,0.0241,0.0000,0.5000,3.383E-3,10.0000,0.0615,0.0098,0.0000,0.7500,3.852E-2,11.4706,0.0914,0.0080,0.0000,0.7500,3.153E-2,26.0726,0.4940,0.0030,0.0714,0.7500,1.191E-2,11.4706,0.0914,0.0080,0.0000,0.7500,3.153E-2,11.4706,0.0914,0.0080,0.0000,0.7500,3.153E-2,0.0003,0.0000,0.4950,0.0000,0.5000,6.8E-1,0.0003,0.0000,0.4950,0.0000,0.0000,6.004E-2,1.7718,0.0037,0.0633,0.0000,0.5000,2.208E-2,10.4642,0.0668,0.0092,0.0000,0.7500,3.62E-2
Limnochares_species,28,4.4721,5.2444,500,0.9980,4,4.0700,0.9952,0.0026,10028,14.6832,3.1004,2.0564,5.4505,6.4261,5.2870,0.4507,0.4873,9.7995,34.7346,0.5596,2.2301,2.6742,0.0000,0.0000,0.0579,0.0961,0.4853,0.4123,0.8534,0.0000,0.1748,0.0000,0.2079,0.1765,6.4903,1.6454,0.1578,0.8316,0.4498,0.0212,4.7744,0.0050,1.0000,0.0007,0.2778,0.0000,0.0000,5.958E-3,5.0000,0.0067,0.0637,0.0000,0.0000,1.649E-5,10.0000,0.0287,0.0186,0.0000,0.0000,1.209E-7,10.5006,0.0317,0.0169,0.0000,0.0000,8.067E-8,31.3790,0.5310,0.0028,0.0357,0.5000,4.66E-5,10.5006,0.0317,0.0169,0.0000,0.0000,8.067E-8,10.5006,0.0317,0.0169,0.0000,0.0000,8.067E-8,11.5890,0.0428,0.0134,0.0357,0.0000,3.188E-8,11.5890,0.0428,0.0134,0.0357,0.0000,3.188E-8,4.0790,0.0047,0.0832,0.0000,0.0000,4.784E-5,12.2561,0.0506,0.0118,0.0357,0.2500,6.46E-6
Limnochares_species,29,4.4034,5.1682,500,0.9977,3,5.5315,0.9987,0.0007,10029,12.4914,1.9419,3.2695,0.0066,6.5227,9.4162,0.4703,0.1415,6.9321,31.8651,0.6482,2.9597,2.7681,0.0000,0.0000,0.0017,0.1829,0.3580,0.1704,0.0520,0.0000,0.3536,0.0103,0.1771,0.3098,15.9538,1.6561,0.2772,0.4755,0.5884,0.0000,4.8338,0.0053,1.0000,0.0008,0.2515,0.0000,0.0000,1.59E-2,5.0000,0.0081,0.0585,0.0000,0.0000,2.005E-4,10.0000,0.0340,0.0192,0.0345,0.0000,7.127E-6,8.9901,0.0251,0.0233,0.0000,0.0000,1.27E-5,31.6956,0.5408,0.0029,0.0690,0.0000,2.418E-8,9.0106,0.0252,0.0233,0.0345,0.0000,1.27E-5,8.9901,0.0251,0.0233,0.0000,0.0000,1.27E-5,33.9991,0.5658,0.0027,0.1724,0.0000,1.951E-8,33.9991,0.5658,0.0027,0.1724,0.0000,1.951E-8,3.6671,0.0050,0.0842,0.0000,0.0000,5.96E-4,12.5686,0.0593,0.0125,0.0345,0.0000,1.936E-6
Limnochares_species,29,4.3970,5.1724,500,0.9978,3,4.9101,0.9977,0.0005,10029,12.9850,2.7723,1.1396,0.1054,7.1395,6.8573,0.3468,0.7993,6.7539,31.9564,1.1664,2.8788,2.8043,0.0000,0.0000,0.0535,0.2202,0.3863,0.5499,0.1242,0.0000,0.2521,0.0269,0.1569,0.2426,17.0589,2.0037,0.1132,0.5689,0.4952,0.0425,4.8283,0.0053,1.0000,0.0009,0.2348,0.0000,0.0000,1.295E-2,5.0000,0.0083,0.0583,0.0000,0.0000,1.985E-4,10.0000,0.0326,0.0200,0.0345,0.0000,8.05E-6,9.8730,0.0321,0.0205,0.0000,0.0000,8.666E-6,31.3767,0.5239,0.0029,0.0690,0.0000,2.418E-8,9.8730,0.0321,0.0205,0.0345,0.0000,8.666E-6,9.8730,0.0321,0.0205,0.0000,0.0000,8.666E-6,31.3767,0.5239,0.0029,0.0690,0.0000,2.418E-8,31.3767,0.5239,0.0029,0.0690,0.0000,2.418E-8,3.5992,0.0050,0.0851,0.0000,0.0000,6.153E-4,12.9227,0.0605,0.0124,0.0345,0.0000,1.89E-6
Limnochares_species,29,4.5994,5.3678,500,0.9984,3,2.5305,0.8938,0.0855,10029,14.7119,0.3651,3.6814,6.0628,5.5834,7.2920,0.2180,0.3394,11.8227,33.8345,0.5115,2.2845,3.2660,0.0000,0.0000,0.0233,0.1118,0.5017,0.7207,0.7069,0.0000,0.3612,0.0163,0.0191,0.0573,4.7080,1.8998,0.1151,0.5691,0.1438,0.0728,4.6239,0.0043,1.0000,0.0007,0.2193,0.0000,0.3333,1.231E-1,5.0000,0.0078,0.0415,0.0000,0.3333,5.019E-3,10.0000,0.0462,0.0115,0.0000,0.3333,3.914E-4,18.8469,0.2575,0.0046,0.0000,0.3333,6.292E-5,27.3685,0.4838,0.0030,0.0690,0.3333,2.679E-5,18.8469,0.2575,0.0046,0.0000,0.3333,6.292E-5,18.8469,0.2575,0.0046,0.0000,0.3333,6.292E-5,0.5374,0.0003,0.3157,0.0000,0.3333,2.36E-1,0.5371,0.0003,0.3157,0.0000,0.0000,3.146E-2,3.4052,0.0040,0.0702,0.0000,0.3333,1.409E-2,10.7547,0.0561,0.0101,0.0000,0.3333,3.022E-4
Limnochares_species,29,4.4050,5.1899,500,0.9978,3,4.6400,0.9974,0.0006,10029,13.8387,2.8271,2.6096,4.0374,6.0659,6.9602,0.3346,0.4105,9.3074,34.2161,1.8333,2.6651,2.3506,0.0000,0.0000,0.0396,0.1003,0.3162,0.2856,0.0830,0.0000,0.4420,0.5210,0.1505,0.1877,7.0556,1.8462,0.1903,0.3737,0.7540,0.1979,4.8150,0.0052,1.0000,0.0008,0.2564,0.0000,0.0000,1.685E-2,5.0000,0.0078,0.0607,0.0000,0.0000,2.239E-4,10.0000,0.0320,0.0200,0.0000,0.0000,8.05E-6,10.2451,0.0341,0.0191,0.0000,0.0000,7.017E-6,30.4530,0.5227,0.0030,0.0690,0.3333,2.679E-5,10.2738,0.0341,0.0191,0.0345,0.0000,7.017E-6,10.2451,0.0341,0.0191,0.0000,0.0000,7.017E-6,24.6241,0.3097,0.0039,0.0690,0.0000,5.881E-8,24.6241,0.3097,0.0039,0.0690,0.0000,5.881E-8,3.7626,0.0049,0.0853,0.0000,0.0000,6.196E-4,12.8765,0.0576,0.0123,0.0345,0.0000,1.845E-6
Limnochares_species,29,4.4099,5.1810,500,0.9978,3,4.7385,0.9977,0.0009,10029,13.1398,2.4599,1.8622,2.0166,5.7305,8.5855,0.2012,0.7410,6.8231,32.7060,0.1275,2.6437,2.8493,0.0000,0.0000,0.1333,0.1478,0.4059,0.1016,0.0569,0.0000,0.4542,0.0368,0.1514,0.2439,15.2574,1.8699,0.2254,0.2256,0.6979,0.1058,4.8161,0.0052,1.0000,0.0008,0.2609,0.0000,0.0000,1.777E-2,5.0000,0.0077,0.0603,0.0000,0.0000,2.195E-4,10.0000,0.0320,0.0193,0.0345,0.0000,7.238E-6,9.3609,0.0258,0.0219,0.0000,0.0000,1.056E-5,30.0777,0.5134,0.0031,0.0690,0.6667,9.244E-3,9.3826,0.0262,0.0219,0.0345,0.0000,1.056E-5,9.3609,0.0258,0.0219,0.0000,0.0000,1.056E-5,27.4646,0.4203,0.0034,0.0690,0.0000,3.896E-8,27.4646,0.4203,0.0034,0.0690,0.0000,3.896E-8,3.8633,0.0049,0.0828,0.0000,0.0000,5.668E-4,12.6664,0.0645,0.0123,0.0345,0.0000,1.845E-6
Limnochares_species,29,4.5231,5.2100,500,0.9980,3,1.1062,0.9282,0.0440,10029,50.2188,0.0695,1.9495,0.0070,5.9902,6.6392,1.8453,0.2104,6.5127,4.7123,0.5602,3.1308,2.8902,0.0000,0.0105,0.0620,0.0135,0.3813,0.1710,0.2176,0.0000,0.1350,0.0046,0.2588,0.1626,11.7099,1.3886,0.0868,0.5070,0.1546,0.0000,4.6941,0.0046,1.0000,0.0009,0.2091,0.0000,0.0000,9.142E-3,5.0000,0.0083,0.0488,0.0000,0.3333,6.9E-3,10.0000,0.0335,0.0153,0.0000,0.6667,4.507E-2,10.2226,0.0349,0.0146,0.0000,0.6667,4.304E-2,26.0837,0.4902,0.0033,0.0690,0.6667,9.839E-3,10.2226,0.0349,0.0146,0.0000,0.6667,4.304E-2,10.2226,0.0349,0.0146,0.0000,0.6667,4.304E-2,1.2919,0.0012,0.1778,0.0000,0.3333,8.358E-2,1.2910,0.0012,0.1778,0.0000,0.0000,5.619E-3,3.2874,0.0043,0.0800,0.0000,0.3333,1.816E-2,11.7833,0.0510,0.0109,0.0345,0.6667,3.225E-2
Limnochares_species,29,4.3903,5.1644,500,0.9977,3,5.2340,0.9984,0.0007,10029,13.2991,2.8430,0.0192,6.2671,8.6530,6.0715,1.3153,0.6843,8.4524,30.2989,0.6017,2.5388,4.0403,0.0000,0.0000,0.0075,0.1526,0.3968,0.6024,0.0323,0.0000,0.2983,0.0728,0.1363,0.2067,9.7862,1.9424,0.1120,0.8828,0.1600,0.1262,4.8374,0.0054,1.0000,0.0008,0.2558,0.0000,0.0000,1.673E-2,5.0000,0.0079,0.0604,0.0000,0.0000,2.206E-4,10.0000,0.0325,0.0195,0.0345,0.0000,7.464E-6,9.0217,0.0251,0.0238,0.0000,0.0000,1.353E-5,31.6615,0.5369,0.0030,0.0690,0.3333,2.679E-5,9.0217,0.0251,0.0238,0.0345,0.0000,1.353E-5,9.0217,0.0251,0.0238,0.0000,0.0000,1.353E-5,29.5346,0.4769,0.0032,0.0690,0.0000,3.248E-8,29.5346,0.4769,0.0032,0.0690,0.0000,3.248E-8,3.7550,0.0050,0.0847,0.0000,0.0000,6.067E-4,12.6655,0.0598,0.0126,0.0345,0.0000,1.983E-6
Limnochares_species,29,4.4079,5.1666,500,0.9973,3,5.1288,0.9982,0.0012,10029,13.5440,0.0040,2.8035,1.9243,6.3843,10.0237,0.5816,0.6843,6.7288,31.4469,0.1514,1.8866,2.9314,0.0000,0.0000,0.2235,0.1215,0.5139,0.4607,1.1088,0.0000,0.3876,0.0539,0.2081,0.1789,14.6466,2.2925,0.0791,0.3181,0.2428,0.0692,4.8218,0.0053,1.0000,0.0009,0.2355,0.0000,0.0000,1.306E-2,5.0000,0.0081,0.0560,0.0000,0.0000,1.76E-4,10.0000,0.0346,0.0185,0.0345,0.0000,6.379E-6,6.8674,0.0151,0.0355,0.0000,0.0000,4.473E-5,30.7371,0.5100,0.0031,0.0690,0.3333,2.86E-5,7.0047,0.0155,0.0345,0.0345,0.0000,4.106E-5,6.8674,0.0151,0.0355,0.0000,0.0000,4.473E-5,22.1874,0.3042,0.0046,0.0345,0.0000,9.649E-8,22.1874,0.3042,0.0046,0.0345,0.0000,9.649E-8,3.5833,0.0049,0.0839,0.0000,0.0000,5.897E-4,12.4855,0.0605,0.0124,0.0345,0.0000,1.89E-6
