Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,cat_availablewatersupply0-100cm contribution,cat_availablewatersupply0-150cm contribution,cat_availablewatersupply0-25cm contribution,cat_availablewatersupply0-50cm contribution,cat_averageyearlyrainfall contribution,cat_geology contribution,cat_historicaldisturbance contribution,cat_leafonclasses contribution,cat_soildrainageclass contribution,cat_soilpercentorganicmatter contribution,cat_streamsonly contribution,cat_understorydensity contribution,cat_vegetation contribution,cat_yearsincefire contribution,con_TopographicRuggednessIndex contribution,con_beersaspect contribution,con_convergenceindex contribution,con_curvature contribution,con_diurnalanisotropicheatingindex contribution,con_elevation contribution,con_meanannualtemperature contribution,con_morphometricprotectionindex contribution,con_percentslope contribution,con_plancurvature contribution,con_profilecurvature contribution,con_slopeheight contribution,con_slopelength contribution,con_solarradiation contribution,con_streampowerindex contribution,con_topographicwetness contribution,con_topographicwetnessindex contribution,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
Limnophila_fuscovaria,37,5.0654,5.4552,500,0.9982,5,5.5559,0.9990,0.0002,10037,3.7685,17.9451,0.1634,0.0003,0.8415,2.1880,0.4221,0.0522,1.1048,1.7173,0.0201,1.1022,18.6969,0.1385,1.4320,9.3018,0.0113,0.0000,0.0000,0.0000,0.0000,0.0063,0.0000,0.6307,0.0801,36.7373,3.6297,0.0000,0.0097,0.0000,0.0000,4.1494,0.0028,1.0000,0.0013,0.0566,0.0000,0.0000,5.804E-7,5.0000,0.0270,0.0081,0.0000,0.0000,3.423E-11,10.0000,0.2814,0.0038,0.0000,0.0000,7.779E-13,11.4570,0.3764,0.0037,0.0000,0.0000,6.808E-13,16.8140,0.5952,0.0034,0.0811,0.0000,4.46E-13,11.4570,0.3764,0.0037,0.0000,0.0000,6.808E-13,11.4570,0.3764,0.0037,0.0000,0.0000,6.808E-13,48.4410,0.6135,0.0020,0.2432,0.0000,3.141E-14,48.4410,0.6135,0.0020,0.2432,0.0000,3.141E-14,1.5846,0.0025,0.0366,0.0000,0.0000,6.536E-8,6.0020,0.0411,0.0063,0.0000,0.0000,9.743E-12
Limnophila_fuscovaria,37,5.0693,5.4560,500,0.9982,5,5.5511,0.9987,0.0003,10037,4.6474,21.0754,1.8831,0.6630,1.0605,0.1454,0.4795,0.7647,1.3230,1.2919,0.0179,2.0854,17.6036,0.0246,0.7144,5.8634,0.0082,0.0000,0.0000,0.0000,0.0000,0.0048,0.0000,0.6643,0.1217,35.6800,3.8127,0.0000,0.0653,0.0000,0.0000,4.1486,0.0028,1.0000,0.0013,0.0579,0.0000,0.0000,6.499E-7,5.0000,0.0256,0.0082,0.0000,0.0000,3.64E-11,10.0000,0.2682,0.0038,0.0000,0.0000,7.779E-13,11.2621,0.3635,0.0036,0.0000,0.0000,5.936E-13,16.6823,0.5953,0.0034,0.0811,0.0000,4.46E-13,11.2621,0.3635,0.0036,0.0000,0.0000,5.936E-13,11.2621,0.3635,0.0036,0.0000,0.0000,5.936E-13,30.7764,0.6113,0.0028,0.2432,0.0000,1.69E-13,30.7764,0.6113,0.0028,0.2432,0.0000,1.69E-13,1.5867,0.0025,0.0376,0.0000,0.0000,7.476E-8,6.0206,0.0415,0.0063,0.0000,0.0000,9.743E-12
Limnophila_fuscovaria,38,5.1768,5.4790,500,0.9981,4,-15.6156,0.7525,0.2122,10038,6.3972,19.4973,0.1466,2.4576,0.4263,0.0905,0.3348,0.0000,1.7734,0.2853,0.0000,1.0263,17.8154,0.1250,0.1011,7.1883,0.3154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0105,1.0813,0.0000,37.8463,2.7763,0.0000,0.0000,0.3050,0.0000,4.0447,0.0026,1.0000,0.0014,0.0412,0.0000,0.2500,2.719E-4,5.0000,0.0538,0.0049,0.0000,0.2500,4.636E-7,10.0000,0.4937,0.0036,0.0000,0.2500,1.84E-7,10.9913,0.4937,0.0036,0.0000,0.2500,1.84E-7,13.2184,0.5598,0.0036,0.0526,0.2500,1.84E-7,10.9913,0.4937,0.0036,0.0000,0.2500,1.84E-7,10.9913,0.4937,0.0036,0.0000,0.2500,1.84E-7,0.0236,0.0000,0.2500,0.0000,0.2500,5.081E-2,10.9913,0.4937,0.0036,0.0000,0.2500,1.84E-7,1.3858,0.0023,0.0287,0.0000,0.2500,9.244E-5,4.4367,0.0290,0.0057,0.0000,0.2500,7.293E-7
Limnophila_fuscovaria,38,5.0606,5.4326,500,0.9981,4,5.4482,0.9978,0.0006,10038,4.8098,22.4721,5.4072,0.0003,0.7558,0.2810,0.1694,0.0000,0.0000,0.9017,0.0370,1.8407,21.5748,0.0000,1.1867,9.8743,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5835,0.0633,27.8921,2.1349,0.0000,0.0088,0.0000,0.0000,4.1609,0.0029,1.0000,0.0013,0.0558,0.0000,0.0000,9.686E-6,5.0000,0.0261,0.0081,0.0000,0.0000,4.24E-9,10.0000,0.2670,0.0039,0.0000,0.0000,2.279E-10,10.9920,0.3601,0.0037,0.0000,0.0000,1.846E-10,16.1381,0.5760,0.0035,0.0789,0.0000,1.478E-10,10.9920,0.3601,0.0037,0.0000,0.0000,1.846E-10,10.9920,0.3601,0.0037,0.0000,0.0000,1.846E-10,14.0195,0.4926,0.0035,0.0263,0.0000,1.478E-10,14.0195,0.4926,0.0035,0.0263,0.0000,1.478E-10,1.5240,0.0025,0.0379,0.0000,0.0000,2.054E-6,5.8716,0.0393,0.0064,0.0000,0.0000,1.652E-9
Limnophila_fuscovaria,38,5.0560,5.4346,500,0.9981,4,5.5226,0.9985,0.0004,10038,4.2464,20.1427,1.5903,0.0002,1.4769,0.0919,0.1737,0.1709,0.0000,3.1864,0.0345,2.3472,16.8308,0.0000,1.3333,5.3683,0.0186,0.0000,0.0000,0.0000,0.0000,0.0010,0.0052,0.6977,0.1073,38.1081,4.0611,0.0000,0.0072,0.0000,0.0000,4.1550,0.0029,1.0000,0.0013,0.0529,0.0000,0.0000,7.83E-6,5.0000,0.0274,0.0077,0.0000,0.0000,3.462E-9,10.0000,0.2667,0.0039,0.0000,0.0000,2.279E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,16.2705,0.5919,0.0035,0.0789,0.0000,1.478E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,30.0463,0.6049,0.0029,0.2368,0.0000,6.966E-11,30.0463,0.6049,0.0029,0.2368,0.0000,6.966E-11,1.4906,0.0025,0.0361,0.0000,0.0000,1.691E-6,5.8358,0.0441,0.0063,0.0000,0.0000,1.552E-9
Limnophila_fuscovaria,38,5.0912,5.4351,500,0.9981,4,5.2042,0.9972,0.0006,10038,3.4001,22.8404,1.7102,0.4115,0.6269,0.1895,0.8379,0.0323,1.8174,2.3470,0.0215,0.6208,18.9005,0.0000,0.4894,4.9995,0.0168,0.0000,0.0000,0.0000,0.0000,0.0028,0.0000,0.5942,0.0660,36.9550,3.1145,0.0000,0.0059,0.0000,0.0000,4.1342,0.0028,1.0000,0.0013,0.0526,0.0000,0.0000,7.655E-6,5.0000,0.0289,0.0072,0.0000,0.0000,2.647E-9,10.0000,0.3336,0.0038,0.0000,0.0000,2.054E-10,10.3927,0.3336,0.0038,0.0000,0.0000,2.054E-10,13.5071,0.5797,0.0036,0.0526,0.2500,1.84E-7,10.3927,0.3336,0.0038,0.0000,0.0000,2.054E-10,10.3927,0.3336,0.0038,0.0000,0.0000,2.054E-10,10.3927,0.3336,0.0038,0.0000,0.0000,2.054E-10,10.3927,0.3336,0.0038,0.0000,0.0000,2.054E-10,1.5037,0.0025,0.0353,0.0000,0.0000,1.547E-6,5.6235,0.0419,0.0062,0.0000,0.0000,1.455E-9
Limnophila_fuscovaria,38,5.0677,5.4375,500,0.9981,4,5.4643,0.9975,0.0005,10038,4.6968,24.3733,2.7133,3.9492,3.5729,0.3697,0.2662,0.0197,0.0000,2.2614,0.0245,0.0053,19.9159,0.0074,0.4334,5.7797,0.0091,0.0000,0.0000,0.0000,0.0000,0.1463,0.0000,0.5425,0.0765,29.4945,1.3370,0.0000,0.0052,0.0000,0.0000,4.1492,0.0028,1.0000,0.0013,0.0559,0.0000,0.0000,9.756E-6,5.0000,0.0252,0.0077,0.0000,0.0000,3.462E-9,10.0000,0.3697,0.0038,0.0000,0.0000,2.054E-10,10.6771,0.3697,0.0038,0.0000,0.0000,2.054E-10,15.8853,0.5843,0.0035,0.0789,0.0000,1.478E-10,10.6771,0.3697,0.0038,0.0000,0.0000,2.054E-10,10.6771,0.3697,0.0038,0.0000,0.0000,2.054E-10,15.8853,0.5843,0.0035,0.0789,0.0000,1.478E-10,15.8853,0.5843,0.0035,0.0789,0.0000,1.478E-10,1.5708,0.0025,0.0363,0.0000,0.0000,1.729E-6,5.7728,0.0408,0.0063,0.0000,0.0000,1.552E-9
Limnophila_fuscovaria,38,5.0560,5.4346,500,0.9981,4,5.5226,0.9985,0.0004,10038,4.2464,20.1427,1.5903,0.0002,1.4769,0.0919,0.1737,0.1709,0.0000,3.1864,0.0345,2.3472,16.8308,0.0000,1.3333,5.3683,0.0186,0.0000,0.0000,0.0000,0.0000,0.0010,0.0052,0.6977,0.1073,38.1081,4.0611,0.0000,0.0072,0.0000,0.0000,4.1550,0.0029,1.0000,0.0013,0.0529,0.0000,0.0000,7.83E-6,5.0000,0.0274,0.0077,0.0000,0.0000,3.462E-9,10.0000,0.2667,0.0039,0.0000,0.0000,2.279E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,16.2705,0.5919,0.0035,0.0789,0.0000,1.478E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,30.0463,0.6049,0.0029,0.2368,0.0000,6.966E-11,30.0463,0.6049,0.0029,0.2368,0.0000,6.966E-11,1.4906,0.0025,0.0361,0.0000,0.0000,1.691E-6,5.8358,0.0441,0.0063,0.0000,0.0000,1.552E-9
Limnophila_fuscovaria,38,5.0560,5.4346,500,0.9981,4,5.5226,0.9985,0.0004,10038,4.2464,20.1427,1.5903,0.0002,1.4769,0.0919,0.1737,0.1709,0.0000,3.1864,0.0345,2.3472,16.8308,0.0000,1.3333,5.3683,0.0186,0.0000,0.0000,0.0000,0.0000,0.0010,0.0052,0.6977,0.1073,38.1081,4.0611,0.0000,0.0072,0.0000,0.0000,4.1550,0.0029,1.0000,0.0013,0.0529,0.0000,0.0000,7.83E-6,5.0000,0.0274,0.0077,0.0000,0.0000,3.462E-9,10.0000,0.2667,0.0039,0.0000,0.0000,2.279E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,16.2705,0.5919,0.0035,0.0789,0.0000,1.478E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,10.9717,0.3620,0.0038,0.0000,0.0000,2.054E-10,30.0463,0.6049,0.0029,0.2368,0.0000,6.966E-11,30.0463,0.6049,0.0029,0.2368,0.0000,6.966E-11,1.4906,0.0025,0.0361,0.0000,0.0000,1.691E-6,5.8358,0.0441,0.0063,0.0000,0.0000,1.552E-9
Limnophila_fuscovaria,38,5.0823,5.4322,500,0.9981,4,5.2073,0.9977,0.0007,10038,1.2686,21.6050,0.1622,0.2287,3.4518,0.1439,0.0535,0.0015,0.0000,4.3327,0.0267,2.6659,17.9702,0.0439,0.7778,4.9918,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.5881,0.1015,38.0567,3.4875,0.0000,0.0102,0.0012,0.0000,4.1349,0.0028,1.0000,0.0013,0.0515,0.0000,0.0000,7.037E-6,5.0000,0.0301,0.0072,0.0000,0.0000,2.647E-9,10.0000,0.3259,0.0038,0.0000,0.0000,2.054E-10,10.4296,0.3259,0.0037,0.0000,0.0000,1.846E-10,22.3628,0.5797,0.0031,0.0526,0.2500,1.175E-7,10.4296,0.3259,0.0037,0.0000,0.0000,1.846E-10,10.4296,0.3259,0.0037,0.0000,0.0000,1.846E-10,10.4296,0.3259,0.0037,0.0000,0.0000,1.846E-10,10.4296,0.3259,0.0037,0.0000,0.0000,1.846E-10,1.4763,0.0025,0.0352,0.0000,0.0000,1.529E-6,5.6399,0.0395,0.0062,0.0000,0.0000,1.455E-9
